sequence,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFTgBxhBfqBcsBCr?BlrB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhF6mBTiB2pB8qBXs?BFqB,v115@FhB8HeB8HeD8BeA8BeC8Je1FJvhFxhB0kBGnBikB3q?BzrB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFTiBxkBVrBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBxhBTnBFqB0r?BCrB,v115@FhB8HeB8HeD8BeA8BeC8Je2EJvhFfmBTiBxpBFsB6r?BUqB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhFzfBFiBcsBxqBGr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBTiBFqBxrBCr?B0rB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhF1pB0lBxmBGnBzr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhF8kBfmBxhBTqBCs?BFsB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhFlhBTkB2qBCsBcs?B3qB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhFWmB3kBTqBxrBcs?BlrB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhF0gBxhBGnBlqBzr?BfqB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFxkBVrBTnBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeFBJvhFTiBxkBSrB2pBXs?BUqB,v115@FhB8HeB8HeD8BeA8BeC8Jel/IvhF2pB0lBxmBqrBTn?B3qB
TILOSJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIZLSJO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TIZJSLO,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZJOLS,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TIZJOSL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZSLJO,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZSOLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZOLJS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TIZOLSJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X
TIZOJSL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIZOSLJ,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TIZOSJL,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X
TIOLJSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TIOLJZS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOLSJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TIOJLZS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOJSLZ,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X
TIOJSZL,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOJZSL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TIOSJLZ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TIOSJZL,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TIOSZJL,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TIOZJSL,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TLIJSZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLIJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLISOJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLISOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TLIZOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TLIOZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TLJIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TLJSZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLJSOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLSIJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLSIZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TLSIOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLSJIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSZJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLSZOJI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLSOZJI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLZISJO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZIOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLZIOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZJISO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLZJSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TLZJOSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLZSOJI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
TLZOISJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X
TLZOJSI,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLZOSIJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TLOISJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOISZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TLOIZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOSIJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOSIZJ,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X
TLOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
TLOSZJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TLOZISJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLOZSIJ,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISZLO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJISZOL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TJIZLOS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TJIZSLO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TJIZSOL,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TJIZOLS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
TJIZOSL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O
TJIOLSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJLZIOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TJLZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TJSILZO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJSILOZ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSIZLO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJSIZOL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSIOZL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
TJSZIOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
TJSZLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
