sequence,v115@HhA8IeA8DeG8AeA8BeB8Lel/IvhFmhBRqBcqBftB6t?BTrB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFylBzhBfqBUrBGt?BFtB,v115@HhA8IeA8DeG8AeA8BeB8Lel/IvhFihBziBRqBcqB+t?B3rB,v115@HhA8IeA8DeG8AeA8BeB8Lel/IvhF2mBCjBRqBcqBTt?B3rB,v115@HhA8IeA8DeG8AeA8BeB8Le6EJvhFZlBFhBWoBfrB8r?BTtB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFzhBfqB0lBKrBGt?BFtB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFWoBfqB0lBlrBir?BTtB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFWoBfqB0lBirBlr?BTtB,v115@HhA8IeA8DeG8AeA8BeB8Le6EJvhFZlBFhBziBfrB8r?B+tB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFymBfqB0lBFtBTr?BGtB,v115@HhA8IeA8DeG8AeA8BeB8LeRBJvhFSoBzkBfrBlrBmp?BUtB,v115@HhA8IeA8DeG8AeA8BeB8LeSIJvhFzkBRmBfrBmpBlr?BUtB
TLSZJOI,X,X,X,X,X,X,X,X,X,O,X,X
TLSZOIJ,X,X,X,X,X,X,X,X,X,O,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,O,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJZI,X,X,X,X,X,X,X,X,X,X,O,X
TLSOZIJ,X,X,X,X,X,X,X,X,X,X,O,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,O,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X,O
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X,O
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,X,X,O,X
TLOSIZJ,X,X,X,X,X,X,X,X,X,X,O,X
TLOSJIZ,X,X,X,X,X,X,X,X,X,X,O,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X,O,X
TLOSZIJ,X,X,X,X,X,X,X,X,X,X,O,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,O,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,X,O,O,X,X,X,X
TJISZOL,O,X,X,X,X,X,O,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,O,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,O,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,O,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,O,O,X,X,X,X
TJSIZOL,X,X,X,X,X,X,O,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,O,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,O,O,X,X,X,X
TJSZIOL,X,X,X,X,X,X,O,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,O,O,X,X,X,X
TJSZLOI,X,X,X,X,X,X,O,O,X,X,X,X
TJSZOIL,X,X,X,X,X,X,O,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,O,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,O,X,X,X,O,X,X,X
TSILJOZ,X,X,X,X,X,X,X,X,O,X,X,X
TSILZJO,X,X,X,X,O,X,X,X,O,X,X,X
TSILZOJ,X,X,X,X,O,X,X,X,O,X,X,X
TSILOJZ,X,X,X,X,X,X,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,O,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,O,O,X,X,X,X
TSIJZOL,X,X,X,X,X,X,O,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X,X,X,X,X
TSIZLJO,X,O,X,X,X,O,O,O,X,O,X,X
TSIZLOJ,X,O,X,X,X,O,X,X,X,O,X,X
TSIZJLO,X,O,X,X,X,O,O,O,X,O,X,X
TSIZJOL,X,O,X,X,X,X,O,X,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,X,X,X,O,X,X
TSIZOJL,X,O,X,X,X,X,O,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X,X,X,X,X,X,X
TSLIJZO,X,X,X,X,O,X,X,X,O,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,X,O,X,X,X
TSLIZJO,X,X,X,X,O,X,X,X,O,X,X,X
TSLIZOJ,X,X,X,X,O,X,X,X,O,X,X,X
TSLIOJZ,X,X,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X,X,X,X,O,X,X
TSLZIOJ,X,X,X,X,X,X,X,X,X,O,X,X
