sequence,v115@RhA8AeB8EeG8BeB8Je/EJvhFUgBRhBGjBTmBisBlsB,v115@RhA8AeB8EeG8BeB8JeaGJvhFumB3iBcoBxkBlkBTsB,v115@RhA8AeB8EeG8BeB8Jex/IvhFcnBTjBlkBGmBimB3sB,v115@RhA8AeB8EeG8BeB8Je/EJvhFFgBxhBTjBUmBisBGsB,v115@RhA8AeB8EeG8BeB8Je/EJvhFRgBzhBmlBFoBCoBUsB,v115@RhA8AeB8EeG8BeB8Je/EJvhFUgBxiBimBFoBGmBTsB,v115@RhA8AeB8EeG8BeB8JeaGJvhFzhBWoBxkBlkBXoBUsB,v115@RhA8AeB8EeG8BeB8Je/EJvhFUgBamBTjBRsBGsBFsB,v115@RhA8AeB8EeG8BeB8Je2EJvhFFmBxnBClB0mBXoBTsB,v115@RhA8AeB8EeG8BeB8JeaGJvhFWoBxkBzmBlkBXoBUsB
TLOJSIZ,O,X,O,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,O,X,X
TLOSIZJ,O,X,O,O,X,O,X,O,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X
TLOSZIJ,O,X,O,O,X,O,X,O,X,X
TLOSZJI,O,X,O,O,X,O,X,X,X,X
TLOZIJS,X,O,X,X,X,X,X,X,X,X
TLOZISJ,X,O,X,O,X,X,X,X,X,X
TLOZJIS,X,O,X,X,X,X,X,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,X,X,X,X
TLOZSJI,X,O,X,O,X,X,X,X,X,X
TJILSZO,X,X,O,X,X,O,X,X,O,X
TJILSOZ,X,X,O,X,X,X,X,X,O,X
TJILZSO,X,O,X,X,X,X,X,X,O,X
TJILZOS,X,X,X,X,X,X,O,X,O,X
TJILOSZ,X,X,O,X,X,X,X,X,O,O
TJILOZS,X,O,X,X,X,X,X,X,O,O
TJISLZO,X,X,O,X,O,O,X,X,O,X
TJISLOZ,X,X,O,X,X,X,X,X,O,X
TJISZLO,X,X,O,X,O,O,X,X,O,X
TJISZOL,X,X,O,X,O,X,X,X,O,X
TJISOLZ,X,X,O,X,X,X,X,X,O,X
TJISOZL,X,X,O,X,O,X,X,X,O,X
TJIZLSO,X,O,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,X,O,X,O,X
TJIZSLO,X,O,O,X,O,X,X,X,O,X
TJIZSOL,X,X,O,X,O,X,X,X,O,X
TJIZOLS,X,X,X,X,X,X,O,X,O,X
TJIZOSL,X,X,O,X,O,X,X,X,O,X
TJIOLSZ,X,X,O,X,X,X,X,X,O,O
TJIOLZS,X,O,X,X,X,X,X,X,O,O
TJIOSLZ,X,X,O,X,X,X,X,X,O,X
TJIOSZL,X,X,O,X,X,X,X,X,O,X
TJIOZLS,X,O,X,X,X,X,X,X,O,X
TJIOZSL,X,O,O,X,X,X,X,X,O,X
TJLISZO,X,X,O,X,X,O,X,X,O,X
TJLISOZ,X,X,O,X,X,X,X,X,O,X
TJLIZSO,X,O,X,X,X,X,X,X,O,X
TJLIZOS,X,X,X,X,X,X,O,X,O,X
TJLIOSZ,X,X,O,X,X,X,X,X,O,O
TJLIOZS,X,O,X,X,X,X,X,X,O,O
TJLSIZO,X,X,O,X,O,O,X,X,X,X
TJLSIOZ,X,X,O,X,X,X,X,X,X,X
TJLSZIO,O,X,O,X,O,O,X,X,X,X
TJLSZOI,O,X,O,X,O,O,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,O,X,X,X
TJLZSIO,X,O,X,X,O,X,X,X,X,X
TJLZSOI,X,X,X,X,O,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,O,X,X,X,X,X
TJLOISZ,O,X,O,X,X,X,X,X,X,O
TJLOIZS,X,O,X,X,X,X,X,X,X,O
TJLOSIZ,O,X,O,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,O,O,X,X,O,X
TJSILOZ,X,X,O,X,X,X,X,X,O,X
TJSIZLO,X,X,O,X,O,O,X,X,O,X
TJSIZOL,X,X,O,X,O,X,X,X,O,X
TJSIOLZ,X,X,O,X,X,X,X,X,O,X
TJSIOZL,X,X,O,X,O,X,X,X,O,X
TJSLIZO,X,X,O,X,O,O,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,X,X,X
TJSLZIO,O,X,O,X,O,O,X,X,X,X
TJSLZOI,O,X,O,X,O,O,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,X,X,X
TJSLOZI,O,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,O,O,X,X,X,X
TJSZIOL,O,X,O,X,O,X,X,X,X,X
TJSZLIO,O,X,O,X,O,O,X,X,X,X
TJSZLOI,O,X,O,X,O,O,X,X,X,X
TJSZOIL,O,X,O,X,O,X,X,X,X,X
TJSZOLI,O,X,O,X,O,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,O,X,X,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,O,X,X,X,X,X
TJSOZLI,O,X,O,X,O,X,X,X,X,X
TJZILSO,X,O,X,X,X,X,X,X,O,X
TJZILOS,X,X,X,X,X,X,O,X,O,X
TJZISLO,X,O,O,X,O,X,X,X,O,X
TJZISOL,X,X,O,X,O,X,X,X,O,X
TJZIOLS,X,X,X,X,X,X,O,X,O,X
TJZIOSL,X,X,O,X,O,X,X,X,O,X
TJZLISO,X,O,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,O,X,X,X
TJZLSIO,X,O,X,X,O,X,X,X,X,X
TJZLSOI,X,X,X,X,O,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,O,X,X,X,X,X
TJZSILO,X,O,O,X,O,X,X,X,X,X
TJZSIOL,X,X,O,X,O,X,X,X,X,X
TJZSLIO,X,O,O,X,O,X,X,X,X,X
TJZSLOI,X,X,O,X,O,X,X,X,X,X
TJZSOIL,X,X,O,X,O,X,X,X,X,X
TJZSOLI,X,X,O,X,O,X,X,X,X,X
TJZOILS,X,X,X,X,X,X,O,X,X,X
TJZOISL,X,X,O,X,O,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,O,X,X,X
TJZOLSI,X,X,X,X,O,X,X,X,X,X
TJZOSIL,X,X,O,X,O,X,X,X,X,X
TJZOSLI,X,X,O,X,O,X,X,X,X,X
TJOILSZ,X,X,O,X,X,X,X,X,O,O
TJOILZS,X,O,X,X,X,X,X,X,O,O
TJOISLZ,X,X,O,X,X,X,X,X,O,X
TJOISZL,O,X,O,X,X,X,X,X,O,X
TJOIZLS,X,O,X,X,X,X,X,X,O,X
TJOIZSL,X,O,O,X,X,X,X,X,O,X
TJOLISZ,O,X,O,X,X,X,X,X,X,O
TJOLIZS,X,O,X,X,X,X,X,X,X,O
TJOLSIZ,O,X,O,X,X,X,X,X,X,X
TJOLSZI,O,X,O,X,X,X,X,X,X,X
TJOLZIS,X,O,X,X,X,X,X,X,X,X
TJOLZSI,X,O,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X,X,X
TJOSIZL,O,X,O,X,O,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,X,X,X,X,X
TJOSLZI,O,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,O,X,X,X,X,X
TJOSZLI,O,X,O,X,O,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X,X,X
TJOZISL,X,O,O,X,O,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X,X,X
TJOZLSI,X,O,X,X,O,X,X,X,X,X
TJOZSIL,X,O,O,X,O,X,X,X,X,X
TJOZSLI,X,O,O,X,O,X,X,X,X,X
TSILJZO,X,X,O,X,O,O,X,O,X,X
TSILJOZ,X,X,O,X,X,X,X,O,X,X
TSILZJO,X,X,O,O,X,O,X,O,X,X
TSILZOJ,X,X,O,O,X,O,X,O,X,X
TSILOJZ,X,X,O,X,X,X,X,O,X,X
TSILOZJ,X,X,O,O,X,O,X,O,X,X
TSIJLZO,X,X,O,X,O,O,X,X,O,X
TSIJLOZ,X,X,O,X,X,X,X,X,O,X
TSIJZLO,X,X,O,X,O,O,X,X,O,X
TSIJZOL,X,X,O,X,O,X,X,X,O,X
TSIJOLZ,X,X,O,X,X,X,X,X,O,X
TSIJOZL,X,X,O,X,O,X,X,X,O,X
TSIZLJO,X,X,O,O,X,O,X,O,X,X
TSIZLOJ,X,X,O,O,X,O,X,O,X,X
TSIZJLO,X,X,O,O,O,O,X,X,X,X
TSIZJOL,X,X,O,O,O,X,X,X,X,X
TSIZOLJ,X,X,O,O,X,O,X,O,X,X
TSIZOJL,X,X,O,O,O,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,X,X,O,X,X
TSIOLZJ,X,X,O,O,X,O,X,O,X,X
TSIOJLZ,X,X,O,X,X,X,X,X,X,X
TSIOJZL,X,X,O,X,O,X,X,X,X,X
TSIOZLJ,X,X,O,O,X,O,X,O,X,X
TSIOZJL,X,X,O,O,X,X,X,X,X,X
TSLIJZO,X,X,O,X,O,O,X,O,X,X
TSLIJOZ,X,X,O,X,X,X,X,O,X,X
TSLIZJO,X,X,O,O,X,O,X,O,X,X
TSLIZOJ,X,X,O,O,X,O,X,O,X,X
TSLIOJZ,X,X,O,X,X,X,X,O,X,X
TSLIOZJ,X,X,O,O,X,O,X,O,X,X
TSLJIZO,X,X,O,X,O,O,X,X,X,X
TSLJIOZ,X,X,O,X,X,X,X,X,X,X
TSLJZIO,O,X,O,O,O,O,X,X,X,X
TSLJZOI,O,X,O,O,O,O,X,X,X,X
TSLJOIZ,O,X,O,X,X,X,X,X,X,X
TSLJOZI,O,X,O,O,X,X,X,X,X,X
TSLZIJO,O,X,O,O,X,O,X,O,X,X
TSLZIOJ,X,X,O,O,X,O,X,O,X,X
TSLZJIO,O,X,O,O,O,O,X,X,X,X
TSLZJOI,O,X,O,O,O,O,X,X,X,X
TSLZOIJ,O,X,O,O,X,O,X,O,X,X
TSLZOJI,O,X,O,O,O,O,X,X,X,X
TSLOIJZ,O,X,O,X,X,X,X,O,X,X
TSLOIZJ,O,X,O,O,X,O,X,O,X,X
TSLOJIZ,O,X,O,X,X,X,X,X,X,X
TSLOJZI,O,X,O,O,X,X,X,X,X,X
TSLOZIJ,O,X,O,O,X,O,X,O,X,X
TSLOZJI,O,X,O,O,X,O,X,X,X,X
TSJILZO,X,X,O,X,O,O,X,X,O,X
TSJILOZ,X,X,O,X,X,X,X,X,O,X
TSJIZLO,X,X,O,X,O,O,X,X,O,X
TSJIZOL,X,X,O,X,O,X,X,X,O,X
TSJIOLZ,X,X,O,X,X,X,X,X,O,X
TSJIOZL,X,X,O,X,O,X,X,X,O,X
TSJLIZO,X,X,O,X,O,O,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,X,X,X,X
TSJLZIO,O,X,O,O,O,O,X,X,X,X
TSJLZOI,O,X,O,O,O,O,X,X,X,X
TSJLOIZ,O,X,O,X,X,X,X,X,X,X
TSJLOZI,O,X,O,O,X,X,X,X,X,X
TSJZILO,O,X,O,O,O,O,X,X,X,X
TSJZIOL,O,X,O,O,O,X,X,X,X,X
TSJZLIO,O,X,O,O,O,O,X,X,X,X
TSJZLOI,O,X,O,O,O,O,X,X,X,X
TSJZOIL,O,X,O,O,O,X,X,X,X,X
TSJZOLI,O,X,O,O,O,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X,X,X,X,X
TSJOIZL,O,X,O,X,O,X,X,X,X,X
TSJOLIZ,O,X,O,X,X,X,X,X,X,X
TSJOLZI,O,X,O,O,X,X,X,X,X,X
TSJOZIL,O,X,O,O,O,X,X,X,X,X
TSJOZLI,O,X,O,O,O,X,X,X,X,X
TSZILJO,O,X,O,O,X,O,X,O,X,X
TSZILOJ,X,X,O,O,X,O,X,O,X,X
TSZIJLO,O,X,O,O,O,O,X,X,X,X
TSZIJOL,O,X,O,O,O,X,X,X,X,X
TSZIOLJ,O,X,O,O,X,O,X,O,X,X
TSZIOJL,O,X,O,O,O,X,X,X,X,X
TSZLIJO,O,X,O,O,X,O,X,O,X,X
TSZLIOJ,X,X,O,O,X,O,X,O,X,X
TSZLJIO,O,X,O,O,O,O,X,X,X,X
TSZLJOI,O,X,O,O,O,O,X,X,X,X
TSZLOIJ,O,X,O,O,X,O,X,O,X,X
TSZLOJI,O,X,O,O,O,O,X,X,X,X
TSZJILO,O,X,O,O,O,O,X,X,X,X
TSZJIOL,O,X,O,O,O,X,X,X,X,X
TSZJLIO,O,X,O,O,O,O,X,X,X,X
TSZJLOI,O,X,O,O,O,O,X,X,X,X
TSZJOIL,O,X,O,O,O,X,X,X,X,X
TSZJOLI,O,X,O,O,O,X,X,X,X,X
TSZOILJ,O,X,O,O,X,O,X,O,X,X
TSZOIJL,O,X,O,O,O,O,X,X,X,X
TSZOLIJ,O,X,O,O,X,O,X,O,X,X
TSZOLJI,O,X,O,O,O,O,X,X,X,X
TSZOJIL,O,X,O,O,O,O,X,X,X,X
TSZOJLI,O,X,O,O,O,O,X,X,X,X
TSOILJZ,O,X,O,X,X,O,X,O,X,X
TSOILZJ,O,X,O,O,X,O,X,O,X,X
TSOIJLZ,X,X,O,X,X,O,X,X,X,X
TSOIJZL,O,X,O,X,O,O,X,X,X,X
TSOIZLJ,O,X,O,O,X,O,X,O,X,X
TSOIZJL,O,X,O,O,X,O,X,X,X,X
TSOLIJZ,O,X,O,X,X,O,X,O,X,X
TSOLIZJ,O,X,O,O,X,O,X,O,X,X
TSOLJIZ,O,X,O,X,X,O,X,X,X,X
