sequence,v115@RhD8FeF8AeB8KeT/IvhFxgBXiBmlBUoBFsB6tB,v115@RhD8FeF8AeB8KeT/IvhFigBmiB5oBUmB1sBfsB,v115@RhD8FeF8AeB8KeT/IvhF2lBxiBfsB0nB6tBFrB,v115@RhD8FeF8AeB8KeT/IvhF2lBRhB3mBcsB6tBFtB,v115@RhD8FeF8AeB8KeT/IvhF2lBynB5oBfsBFrB0sB,v115@RhD8FeF8AeB8KeT/IvhF2lBfsBxnBFmB0nB6tB
IOLTZSJ,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,X
IOLJTZS,X,O,X,X,X,X
IOLJSTZ,X,X,X,X,O,X
IOLJSZT,X,X,O,X,O,X
IOLJZTS,X,O,X,X,X,X
IOLJZST,X,X,X,O,X,X
IOLSTJZ,X,X,X,X,O,X
IOLSTZJ,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,O,X
IOLSJZT,X,X,O,X,O,X
IOLSZTJ,X,O,O,X,X,X
IOLSZJT,X,X,O,X,O,X
IOLZTJS,X,O,X,X,X,X
IOLZTSJ,X,O,X,X,X,X
IOLZJTS,X,O,X,X,X,X
IOLZJST,X,X,X,O,X,X
IOLZSTJ,X,O,X,O,X,X
IOLZSJT,X,X,X,O,X,X
IOJTLSZ,O,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X
IOJTSLZ,O,X,X,X,O,X
IOJTSZL,O,X,X,X,X,X
IOJTZLS,O,O,X,X,X,X
IOJTZSL,O,O,X,X,X,X
IOJLTSZ,O,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X
IOJLSTZ,X,X,X,X,O,X
IOJLSZT,X,X,O,X,O,X
IOJLZTS,X,O,X,X,X,X
IOJLZST,X,X,X,O,X,X
IOJSTLZ,O,X,X,X,O,O
IOJSTZL,O,X,X,X,X,O
IOJSLTZ,X,X,X,X,O,O
IOJSLZT,X,X,O,X,O,O
IOJSZTL,X,X,X,X,X,O
IOJSZLT,X,X,O,X,O,O
IOJZTLS,O,O,X,X,X,X
IOJZTSL,O,O,X,X,X,X
IOJZLTS,X,O,X,X,X,X
IOJZLST,X,X,X,O,X,X
IOJZSTL,X,X,X,O,X,X
IOJZSLT,X,X,X,O,O,X
IOSTLJZ,X,X,X,X,O,X
IOSTLZJ,X,O,X,X,X,X
IOSTJLZ,X,X,X,X,O,O
IOSTJZL,X,X,X,X,X,O
IOSTZLJ,X,O,X,X,X,X
IOSTZJL,X,O,X,X,X,X
IOSLTJZ,X,X,X,X,O,X
IOSLTZJ,X,O,X,X,X,X
IOSLJTZ,X,X,X,X,O,O
IOSLJZT,X,X,O,X,O,O
IOSLZTJ,X,O,O,X,X,X
IOSLZJT,X,X,O,X,O,X
IOSJTLZ,X,X,X,X,O,O
IOSJTZL,X,X,X,X,X,O
IOSJLTZ,X,X,X,X,O,O
IOSJLZT,X,X,O,X,O,O
IOSJZTL,X,X,X,X,X,O
IOSJZLT,X,X,O,X,O,O
IOSZTLJ,X,O,X,X,X,X
IOSZTJL,X,O,X,X,X,X
IOSZLTJ,X,O,O,X,X,X
IOSZLJT,X,X,O,X,O,X
IOSZJTL,X,X,X,X,X,O
IOSZJLT,X,X,O,X,O,O
IOZTLJS,X,O,X,X,X,X
IOZTLSJ,X,O,X,X,X,X
IOZTJLS,O,O,X,X,X,X
IOZTJSL,O,O,X,X,X,X
IOZTSLJ,X,O,X,X,X,X
IOZTSJL,O,O,X,X,X,X
IOZLTJS,X,O,X,X,X,X
IOZLTSJ,X,O,X,X,X,X
IOZLJTS,X,O,X,X,X,X
IOZLJST,X,X,X,O,X,X
IOZLSTJ,X,O,X,O,X,X
IOZLSJT,X,X,X,O,X,X
IOZJTLS,O,O,X,X,X,X
IOZJTSL,O,O,X,X,X,X
IOZJLTS,X,O,X,X,X,X
IOZJLST,X,X,X,O,X,X
IOZJSTL,X,X,X,O,X,X
IOZJSLT,X,X,X,O,O,X
IOZSTLJ,X,O,X,O,X,X
IOZSTJL,X,O,X,O,X,X
IOZSLTJ,X,O,X,O,X,X
IOZSLJT,X,X,X,O,O,X
IOZSJTL,X,X,X,O,X,X
IOZSJLT,X,X,X,O,O,X
LTIJSZO,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X
LTIJZSO,X,O,X,X,X,X
LTIJZOS,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,X,X
LTIJOZS,X,O,X,X,X,X
LTISJZO,X,X,X,X,X,X
LTISJOZ,X,X,X,X,X,X
LTISZJO,X,O,X,X,X,X
LTISZOJ,X,O,X,X,X,X
LTISOJZ,X,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X
LTIZJSO,X,O,X,X,X,X
LTIZJOS,X,O,X,X,X,X
LTIZSJO,X,O,X,X,X,X
LTIZSOJ,X,O,X,X,X,X
LTIZOJS,X,O,X,X,X,X
LTIZOSJ,X,O,X,X,X,X
LTIOJSZ,X,X,X,X,X,X
LTIOJZS,X,O,X,X,X,X
LTIOSJZ,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X
LTIOZJS,X,O,X,X,X,X
LTIOZSJ,X,O,X,X,X,X
LTJISZO,O,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X
LTJIZSO,O,O,X,X,X,X
LTJIZOS,O,O,X,X,X,X
LTJIOSZ,O,X,X,X,X,X
LTJIOZS,O,O,X,X,X,X
LTJSIZO,O,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X
LTJSZIO,O,X,O,X,X,X
LTJSZOI,O,X,O,X,X,X
LTJSOIZ,O,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,O,X,X,X,X
LTJZSIO,O,X,X,O,X,X
LTJZSOI,O,X,X,O,X,X
LTJZOIS,O,O,X,X,X,X
LTJZOSI,O,X,X,O,X,X
LTJOISZ,O,X,X,X,X,X
LTJOIZS,O,O,X,X,X,X
LTJOSIZ,O,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X
LTJOZIS,O,O,X,X,X,X
LTJOZSI,O,X,X,O,X,X
LTSIJZO,O,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,X,O,X,X,X,X
LTSIOJZ,X,X,X,X,X,X
LTSIOZJ,X,O,X,X,X,X
LTSJIZO,O,X,X,X,X,X
LTSJIOZ,O,X,X,X,X,X
LTSJZIO,O,X,O,X,X,X
LTSJZOI,O,X,O,X,X,X
LTSJOIZ,O,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X
LTSZIJO,O,O,O,X,X,X
LTSZIOJ,X,O,O,X,X,X
LTSZJIO,O,X,O,X,X,X
LTSZJOI,O,X,O,X,X,X
LTSZOIJ,X,O,O,X,X,X
LTSZOJI,O,X,O,X,X,X
LTSOIJZ,X,X,X,X,X,X
LTSOIZJ,X,O,X,X,X,X
LTSOJIZ,O,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X
LTSOZIJ,X,O,O,X,X,X
LTSOZJI,O,X,O,X,X,X
LTZIJSO,X,O,X,X,X,X
LTZIJOS,X,O,X,X,X,X
LTZISJO,X,O,X,X,X,X
LTZISOJ,X,O,X,X,X,X
LTZIOJS,X,O,X,X,X,X
LTZIOSJ,X,O,X,X,X,X
LTZJISO,O,O,X,X,X,X
LTZJIOS,O,O,X,X,X,X
LTZJSIO,O,X,X,O,X,X
LTZJSOI,O,X,X,O,X,X
LTZJOIS,O,O,X,X,X,X
LTZJOSI,O,X,X,O,X,X
LTZSIJO,O,O,X,O,X,X
LTZSIOJ,X,O,X,O,X,X
LTZSJIO,O,X,X,O,X,X
LTZSJOI,O,X,X,O,X,X
LTZSOIJ,X,O,X,O,X,X
LTZSOJI,O,X,X,O,X,X
LTZOIJS,X,O,X,X,X,X
LTZOISJ,X,O,X,X,X,X
LTZOJIS,O,O,X,X,X,X
LTZOJSI,O,X,X,O,X,X
LTZOSIJ,X,O,X,O,X,X
LTZOSJI,O,X,X,O,X,X
LTOIJSZ,X,X,X,X,X,X
LTOIJZS,X,O,X,X,X,X
LTOISJZ,X,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X
LTOIZJS,X,O,X,X,X,X
LTOIZSJ,X,O,X,X,X,X
LTOJISZ,O,X,X,X,X,X
LTOJIZS,O,O,X,X,X,X
LTOJSIZ,O,X,X,X,X,X
LTOJSZI,O,X,O,X,X,X
LTOJZIS,O,O,X,X,X,X
LTOJZSI,O,X,X,O,X,X
LTOSIJZ,X,X,X,X,X,X
LTOSIZJ,X,O,X,X,X,X
LTOSJIZ,O,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X
LTOSZIJ,X,O,O,X,X,X
LTOSZJI,O,X,O,X,X,X
LTOZIJS,X,O,X,X,X,X
LTOZISJ,X,O,X,X,X,X
LTOZJIS,O,O,X,X,X,X
LTOZJSI,O,X,X,O,X,X
LTOZSIJ,X,O,X,O,X,X
LTOZSJI,O,X,X,O,X,X
LITJSZO,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,X
LITJZSO,X,O,X,X,X,X
LITJZOS,X,O,X,X,X,X
LITJOSZ,X,X,X,X,X,X
LITJOZS,X,O,X,X,X,X
LITSJZO,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,X
LITSZJO,X,O,X,X,X,X
LITSZOJ,X,O,X,X,X,X
LITSOJZ,X,X,X,X,X,X
LITSOZJ,X,O,X,X,X,X
LITZJSO,X,O,X,X,X,X
LITZJOS,X,O,X,X,X,X
LITZSJO,X,O,X,X,X,X
LITZSOJ,X,O,X,X,X,X
LITZOJS,X,O,X,X,X,X
LITZOSJ,X,O,X,X,X,X
LITOJSZ,X,X,X,X,X,X
LITOJZS,X,O,X,X,X,X
LITOSJZ,X,X,X,X,X,X
LITOSZJ,X,O,X,X,X,X
LITOZJS,X,O,X,X,X,X
LITOZSJ,X,O,X,X,X,X
LIJTSZO,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,X,X
LIJTZSO,X,O,X,X,X,X
LIJTZOS,X,O,X,X,X,X
LIJTOSZ,X,X,X,X,X,X
LIJTOZS,X,O,X,X,X,X
LIJSTZO,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,O,X
LIJSZTO,X,X,O,X,X,X
LIJSZOT,X,X,O,X,O,X
LIJSOTZ,X,X,X,X,O,X
LIJSOZT,X,X,O,X,O,X
LIJZTSO,X,O,X,X,X,X
LIJZTOS,X,O,X,X,X,X
LIJZSTO,X,X,X,O,X,X
LIJZSOT,X,X,X,O,X,X
LIJZOTS,X,O,X,X,X,X
LIJZOST,X,X,X,O,X,X
LIJOTSZ,X,X,X,X,X,X
LIJOTZS,X,O,X,X,X,X
LIJOSTZ,X,X,X,X,O,X
LIJOSZT,X,X,O,X,O,X
LIJOZTS,X,O,X,X,X,X
LIJOZST,X,X,X,O,X,X
LISTJZO,X,X,X,X,X,X
LISTJOZ,X,X,X,X,O,X
LISTZJO,X,O,X,X,X,X
LISTZOJ,X,O,X,X,X,X
LISTOJZ,X,X,X,X,O,X
LISTOZJ,X,O,X,X,X,X
LISJTZO,X,X,X,X,X,X
LISJTOZ,X,X,X,X,O,X
LISJZTO,X,X,O,X,X,X
LISJZOT,X,X,O,X,O,X
LISJOTZ,X,X,X,X,O,X
LISJOZT,X,X,O,X,O,X
LISZTJO,X,O,O,X,X,X
LISZTOJ,X,O,O,X,X,X
LISZJTO,X,X,O,X,X,X
LISZJOT,X,X,O,X,O,X
LISZOTJ,X,O,O,X,X,X
LISZOJT,X,X,O,X,O,X
LISOTJZ,X,X,X,X,O,X
LISOTZJ,X,O,X,X,X,X
LISOJTZ,X,X,X,X,O,X
LISOJZT,X,X,O,X,O,X
LISOZTJ,X,O,O,X,X,X
LISOZJT,X,X,O,X,O,X
LIZTJSO,X,O,X,X,X,X
LIZTJOS,X,O,X,X,X,X
LIZTSJO,X,O,X,X,X,X
LIZTSOJ,X,O,X,X,X,X
LIZTOJS,X,O,X,X,X,X
LIZTOSJ,X,O,X,X,X,X
LIZJTSO,X,O,X,X,X,X
LIZJTOS,X,O,X,X,X,X
LIZJSTO,X,X,X,O,X,X
LIZJSOT,X,X,X,O,X,X
LIZJOTS,X,O,X,X,X,X
LIZJOST,X,X,X,O,X,X
LIZSTJO,X,O,X,O,X,X
LIZSTOJ,X,O,X,O,X,X
LIZSJTO,X,X,X,O,X,X
LIZSJOT,X,X,X,O,X,X
LIZSOTJ,X,O,X,O,X,X
LIZSOJT,X,X,X,O,X,X
LIZOTJS,X,O,X,X,X,X
LIZOTSJ,X,O,X,X,X,X
LIZOJTS,X,O,X,X,X,X
LIZOJST,X,X,X,O,X,X
LIZOSTJ,X,O,X,O,X,X
LIZOSJT,X,X,X,O,X,X
LIOTJSZ,X,X,X,X,X,X
LIOTJZS,X,O,X,X,X,X
LIOTSJZ,X,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,X,O,X,X,X,X
LIOTZSJ,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,X,X
LIOJTZS,X,O,X,X,X,X
LIOJSTZ,X,X,X,X,O,X
LIOJSZT,X,X,O,X,O,X
LIOJZTS,X,O,X,X,X,X
LIOJZST,X,X,X,O,X,X
LIOSTJZ,X,X,X,X,O,X
LIOSTZJ,X,O,X,X,X,X
LIOSJTZ,X,X,X,X,O,X
LIOSJZT,X,X,O,X,O,X
LIOSZTJ,X,O,O,X,X,X
LIOSZJT,X,X,O,X,O,X
LIOZTJS,X,O,X,X,X,X
LIOZTSJ,X,O,X,X,X,X
LIOZJTS,X,O,X,X,X,X
LIOZJST,X,X,X,O,X,X
LIOZSTJ,X,O,X,O,X,X
LIOZSJT,X,X,X,O,X,X
LJTISZO,O,X,X,X,X,X
LJTISOZ,O,X,X,X,X,X
LJTIZSO,O,O,X,X,X,X
LJTIZOS,O,O,X,X,X,X
LJTIOSZ,O,X,X,X,X,X
LJTIOZS,O,O,X,X,X,X
LJTSIZO,O,X,X,X,X,X
LJTSIOZ,O,X,X,X,X,X
LJTSZIO,O,X,O,X,X,X
LJTSZOI,O,X,O,X,X,X
LJTSOIZ,O,X,X,X,X,X
LJTSOZI,O,X,O,X,X,X
LJTZISO,O,O,X,X,X,X
LJTZIOS,O,O,X,X,X,X
LJTZSIO,O,X,X,O,X,X
LJTZSOI,O,X,X,O,X,X
LJTZOIS,O,O,X,X,X,X
LJTZOSI,O,X,X,O,X,X
LJTOISZ,O,X,X,X,X,X
LJTOIZS,O,O,X,X,X,X
LJTOSIZ,O,X,X,X,X,X
LJTOSZI,O,X,O,X,X,X
LJTOZIS,O,O,X,X,X,X
LJTOZSI,O,X,X,O,X,X
LJITSZO,O,X,X,X,X,X
LJITSOZ,O,X,X,X,X,X
LJITZSO,O,O,X,X,X,X
LJITZOS,O,O,X,X,X,X
LJITOSZ,O,X,X,X,X,X
LJITOZS,O,O,X,X,X,X
LJISTZO,X,X,X,X,X,X
LJISTOZ,X,X,X,X,O,X
LJISZTO,X,X,O,X,X,X
LJISZOT,X,X,O,X,O,X
LJISOTZ,X,X,X,X,O,X
LJISOZT,X,X,O,X,O,X
LJIZTSO,X,O,X,X,X,X
LJIZTOS,X,O,X,X,X,X
LJIZSTO,X,X,X,O,X,X
LJIZSOT,X,X,X,O,X,X
LJIZOTS,X,O,X,X,X,X
LJIZOST,X,X,X,O,X,X
LJIOTSZ,O,X,X,X,X,X
LJIOTZS,O,O,X,X,X,X
LJIOSTZ,X,X,X,X,O,X
LJIOSZT,X,X,O,X,O,X
LJIOZTS,X,O,X,X,X,X
LJIOZST,X,X,X,O,X,X
LJSTIZO,X,X,X,X,X,X
LJSTIOZ,X,X,X,X,O,X
LJSTZIO,X,X,O,X,X,X
LJSTZOI,X,X,O,X,X,X
LJSTOIZ,X,X,X,X,O,X
LJSTOZI,X,X,O,X,X,X
LJSITZO,X,X,X,X,X,X
LJSITOZ,X,X,X,X,O,X
LJSIZTO,X,X,O,X,X,X
LJSIZOT,X,X,O,X,O,X
LJSIOTZ,X,X,X,X,O,O
LJSIOZT,X,X,O,X,O,O
LJSZTIO,X,X,O,O,X,X
LJSZTOI,X,X,O,O,X,X
LJSZITO,X,X,O,O,X,X
LJSZIOT,X,X,O,O,O,X
LJSZOTI,X,X,O,O,X,X
LJSZOIT,X,X,O,O,O,X
LJSOTIZ,X,X,X,X,O,X
LJSOTZI,X,X,O,X,X,X
LJSOITZ,X,X,X,X,O,O
LJSOIZT,X,X,O,X,O,O
LJSOZTI,X,X,O,O,X,X
LJSOZIT,X,X,O,O,O,X
LJZTISO,O,O,X,X,X,X
LJZTIOS,O,O,X,X,X,X
LJZTSIO,O,X,X,O,X,X
LJZTSOI,O,X,X,O,X,X
LJZTOIS,O,O,X,X,X,X
LJZTOSI,O,X,X,O,X,X
LJZITSO,X,O,X,X,X,X
LJZITOS,X,O,X,X,X,X
LJZISTO,X,X,X,O,X,X
LJZISOT,X,X,X,O,X,X
LJZIOTS,X,O,X,X,X,X
LJZIOST,X,X,X,O,X,X
LJZSTIO,X,X,O,O,X,X
LJZSTOI,X,X,O,O,X,X
LJZSITO,X,X,O,O,X,X
LJZSIOT,X,X,O,O,X,X
LJZSOTI,X,X,O,O,X,X
LJZSOIT,X,X,O,O,X,X
LJZOTIS,O,O,X,X,X,X
LJZOTSI,O,X,X,O,X,X
LJZOITS,X,O,X,X,X,X
LJZOIST,X,X,X,O,X,X
LJZOSTI,X,X,O,O,X,X
LJZOSIT,X,X,O,O,X,X
LJOTISZ,O,X,X,X,X,X
LJOTIZS,O,O,X,X,X,X
LJOTSIZ,O,X,X,X,X,X
LJOTSZI,O,X,O,X,X,X
LJOTZIS,O,O,X,X,X,X
LJOTZSI,O,X,X,O,X,X
LJOITSZ,O,X,X,X,X,X
LJOITZS,O,O,X,X,X,X
LJOISTZ,X,X,X,X,O,X
LJOISZT,X,X,O,X,O,X
LJOIZTS,X,O,X,X,X,X
LJOIZST,X,X,X,O,X,X
LJOSTIZ,X,X,X,X,O,X
LJOSTZI,X,X,O,X,X,X
LJOSITZ,X,X,X,X,O,O
LJOSIZT,X,X,O,X,O,O
LJOSZTI,X,X,O,O,X,X
LJOSZIT,X,X,O,O,O,X
LJOZTIS,O,O,X,X,X,X
LJOZTSI,O,X,X,O,X,X
LJOZITS,X,O,X,X,X,X
LJOZIST,X,X,X,O,X,X
LJOZSTI,X,X,O,O,X,X
LJOZSIT,X,X,O,O,X,X
LSTIJZO,X,X,X,X,X,X
LSTIJOZ,X,X,X,X,O,X
LSTIZJO,X,O,X,X,X,X
LSTIZOJ,X,O,X,X,X,X
LSTIOJZ,X,X,X,X,O,X
LSTIOZJ,X,O,X,X,X,X
LSTJIZO,X,X,X,X,X,X
LSTJIOZ,X,X,X,X,O,X
LSTJZIO,X,X,O,X,X,X
LSTJZOI,X,X,O,X,X,X
LSTJOIZ,X,X,X,X,O,X
LSTJOZI,X,X,O,X,X,X
LSTZIJO,X,O,O,X,X,X
LSTZIOJ,X,O,O,X,X,X
LSTZJIO,X,X,O,X,X,X
LSTZJOI,X,X,O,X,X,X
LSTZOIJ,X,O,O,X,X,X
LSTZOJI,X,X,O,X,X,X
LSTOIJZ,X,X,X,X,O,X
LSTOIZJ,X,O,X,X,X,X
LSTOJIZ,X,X,X,X,O,X
LSTOJZI,X,X,O,X,X,X
LSTOZIJ,X,O,O,X,X,X
LSTOZJI,X,X,O,X,X,X
LSITJZO,X,X,X,X,X,X
LSITJOZ,X,X,X,X,O,X
LSITZJO,X,O,X,X,X,X
LSITZOJ,X,O,X,X,X,X
LSITOJZ,X,X,X,X,O,X
LSITOZJ,X,O,X,X,X,X
LSIJTZO,X,X,X,X,X,X
LSIJTOZ,X,X,X,X,O,X
LSIJZTO,X,X,O,X,X,X
LSIJZOT,X,X,O,X,O,X
LSIJOTZ,X,X,X,X,O,O
LSIJOZT,X,X,O,X,O,O
LSIZTJO,X,O,O,X,X,X
LSIZTOJ,X,O,O,X,X,X
LSIZJTO,X,X,O,X,X,X
LSIZJOT,X,X,O,X,O,X
LSIZOTJ,X,O,O,X,X,X
LSIZOJT,X,X,O,X,O,X
LSIOTJZ,X,X,X,X,O,X
LSIOTZJ,X,O,X,X,X,X
LSIOJTZ,X,X,X,X,O,O
LSIOJZT,X,X,O,X,O,O
LSIOZTJ,X,O,O,X,X,X
LSIOZJT,X,X,O,X,O,X
LSJTIZO,X,X,X,X,X,X
LSJTIOZ,X,X,X,X,O,X
LSJTZIO,X,X,O,X,X,X
LSJTZOI,X,X,O,X,X,X
LSJTOIZ,X,X,X,X,O,X
LSJTOZI,X,X,O,X,X,X
LSJITZO,X,X,X,X,X,X
LSJITOZ,X,X,X,X,O,X
LSJIZTO,X,X,O,X,X,X
LSJIZOT,X,X,O,X,O,X
LSJIOTZ,X,X,X,X,O,O
LSJIOZT,X,X,O,X,O,O
LSJZTIO,X,X,O,O,X,X
LSJZTOI,X,X,O,O,X,X
LSJZITO,X,X,O,O,X,X
LSJZIOT,X,X,O,O,O,X
LSJZOTI,X,X,O,O,X,X
LSJZOIT,X,X,O,O,O,X
LSJOTIZ,X,X,X,X,O,X
LSJOTZI,X,X,O,X,X,X
LSJOITZ,X,X,X,X,O,O
LSJOIZT,X,X,O,X,O,O
LSJOZTI,X,X,O,O,X,X
LSJOZIT,X,X,O,O,O,X
LSZTIJO,X,O,O,O,X,X
LSZTIOJ,X,O,O,O,X,X
LSZTJIO,X,X,O,O,X,X
LSZTJOI,X,X,O,O,X,X
LSZTOIJ,X,O,O,O,X,X
LSZTOJI,X,X,O,O,X,X
LSZITJO,X,O,O,O,X,X
LSZITOJ,X,O,O,O,X,X
LSZIJTO,X,X,O,O,X,X
LSZIJOT,X,X,O,O,O,X
LSZIOTJ,X,O,O,O,X,X
LSZIOJT,X,X,O,O,O,X
LSZJTIO,X,X,O,O,X,X
LSZJTOI,X,X,O,O,X,X
LSZJITO,X,X,O,O,X,X
LSZJIOT,X,X,O,O,O,X
LSZJOTI,X,X,O,O,X,X
LSZJOIT,X,X,O,O,O,X
LSZOTIJ,X,O,O,O,X,X
LSZOTJI,X,X,O,O,X,X
LSZOITJ,X,O,O,O,X,X
LSZOIJT,X,X,O,O,O,X
LSZOJTI,X,X,O,O,X,X
LSZOJIT,X,X,O,O,O,X
LSOTIJZ,X,X,X,X,O,X
LSOTIZJ,X,O,X,X,X,X
LSOTJIZ,X,X,X,X,O,X
LSOTJZI,X,X,O,X,X,X
LSOTZIJ,X,O,O,X,X,X
LSOTZJI,X,X,O,X,X,X
LSOITJZ,X,X,X,X,O,X
LSOITZJ,X,O,X,X,X,X
LSOIJTZ,X,X,X,X,O,O
LSOIJZT,X,X,O,X,O,O
LSOIZTJ,X,O,O,X,X,X
LSOIZJT,X,X,O,X,O,X
LSOJTIZ,X,X,X,X,O,X
LSOJTZI,X,X,O,X,X,X
LSOJITZ,X,X,X,X,O,O
LSOJIZT,X,X,O,X,O,O
LSOJZTI,X,X,O,O,X,X
LSOJZIT,X,X,O,O,O,X
LSOZTIJ,X,O,O,O,X,X
LSOZTJI,X,X,O,O,X,X
LSOZITJ,X,O,O,O,X,X
LSOZIJT,X,X,O,O,O,X
LSOZJTI,X,X,O,O,X,X
LSOZJIT,X,X,O,O,O,X
LZTIJSO,X,O,X,X,X,X
LZTIJOS,X,O,X,X,X,X
LZTISJO,X,O,X,X,X,X
LZTISOJ,X,O,X,X,X,X
LZTIOJS,X,O,X,X,X,X
LZTIOSJ,X,O,X,X,X,X
LZTJISO,O,O,X,X,X,X
LZTJIOS,O,O,X,X,X,X
LZTJSIO,O,X,X,O,X,X
LZTJSOI,O,X,X,O,X,X
LZTJOIS,O,O,X,X,X,X
LZTJOSI,O,X,X,O,X,X
LZTSIJO,O,O,X,O,X,X
LZTSIOJ,X,O,X,O,X,X
LZTSJIO,O,X,X,O,X,X
LZTSJOI,O,X,X,O,X,X
LZTSOIJ,X,O,X,O,X,X
LZTSOJI,O,X,X,O,X,X
LZTOIJS,X,O,X,X,X,X
LZTOISJ,X,O,X,X,X,X
LZTOJIS,O,O,X,X,X,X
LZTOJSI,O,X,X,O,X,X
LZTOSIJ,X,O,X,O,X,X
LZTOSJI,O,X,X,O,X,X
LZITJSO,X,O,X,X,X,X
LZITJOS,X,O,X,X,X,X
LZITSJO,X,O,X,X,X,X
LZITSOJ,X,O,X,X,X,X
LZITOJS,X,O,X,X,X,X
LZITOSJ,X,O,X,X,X,X
LZIJTSO,X,O,X,X,X,X
LZIJTOS,X,O,X,X,X,X
LZIJSTO,X,X,X,O,X,X
LZIJSOT,X,X,X,O,X,X
LZIJOTS,X,O,X,X,X,X
LZIJOST,X,X,X,O,X,X
LZISTJO,X,O,X,O,X,X
LZISTOJ,X,O,X,O,X,X
LZISJTO,X,X,X,O,X,X
LZISJOT,X,X,X,O,X,X
LZISOTJ,X,O,X,O,X,X
LZISOJT,X,X,X,O,X,X
LZIOTJS,X,O,X,X,X,X
LZIOTSJ,X,O,X,X,X,X
LZIOJTS,X,O,X,X,X,X
LZIOJST,X,X,X,O,X,X
LZIOSTJ,X,O,X,O,X,X
LZIOSJT,X,X,X,O,X,X
LZJTISO,O,O,X,X,X,X
LZJTIOS,O,O,X,X,X,X
LZJTSIO,O,X,X,O,X,X
LZJTSOI,O,X,X,O,X,X
LZJTOIS,O,O,X,X,X,X
LZJTOSI,O,X,X,O,X,X
LZJITSO,X,O,X,X,X,X
LZJITOS,X,O,X,X,X,X
LZJISTO,X,X,X,O,X,X
LZJISOT,X,X,X,O,X,X
LZJIOTS,X,O,X,X,X,X
LZJIOST,X,X,X,O,X,X
LZJSTIO,X,X,O,O,X,X
LZJSTOI,X,X,O,O,X,X
LZJSITO,X,X,O,O,X,X
LZJSIOT,X,X,O,O,X,X
LZJSOTI,X,X,O,O,X,X
LZJSOIT,X,X,O,O,X,X
LZJOTIS,O,O,X,X,X,X
LZJOTSI,O,X,X,O,X,X
LZJOITS,X,O,X,X,X,X
LZJOIST,X,X,X,O,X,X
LZJOSTI,X,X,O,O,X,X
LZJOSIT,X,X,O,O,X,X
LZSTIJO,X,O,O,O,X,X
LZSTIOJ,X,O,O,O,X,X
LZSTJIO,X,X,O,O,X,X
LZSTJOI,X,X,O,O,X,X
LZSTOIJ,X,O,O,O,X,X
LZSTOJI,X,X,O,O,X,X
LZSITJO,X,O,O,O,X,X
LZSITOJ,X,O,O,O,X,X
LZSIJTO,X,X,O,O,X,X
LZSIJOT,X,X,O,O,X,X
LZSIOTJ,X,O,O,O,X,X
LZSIOJT,X,X,O,O,X,X
LZSJTIO,X,X,O,O,X,X
LZSJTOI,X,X,O,O,X,X
LZSJITO,X,X,O,O,X,X
LZSJIOT,X,X,O,O,X,X
LZSJOTI,X,X,O,O,X,X
LZSJOIT,X,X,O,O,X,X
LZSOTIJ,X,O,O,O,X,X
LZSOTJI,X,X,O,O,X,X
LZSOITJ,X,O,O,O,X,X
LZSOIJT,X,X,O,O,X,X
LZSOJTI,X,X,O,O,X,X
LZSOJIT,X,X,O,O,X,X
LZOTIJS,X,O,X,X,X,X
LZOTISJ,X,O,X,X,X,X
LZOTJIS,O,O,X,X,X,X
LZOTJSI,O,X,X,O,X,X
LZOTSIJ,X,O,X,O,X,X
LZOTSJI,O,X,X,O,X,X
LZOITJS,X,O,X,X,X,X
LZOITSJ,X,O,X,X,X,X
LZOIJTS,X,O,X,X,X,X
LZOIJST,X,X,X,O,X,X
LZOISTJ,X,O,X,O,X,X
LZOISJT,X,X,X,O,X,X
LZOJTIS,O,O,X,X,X,X
LZOJTSI,O,X,X,O,X,X
LZOJITS,X,O,X,X,X,X
LZOJIST,X,X,X,O,X,X
LZOJSTI,X,X,O,O,X,X
