sequence,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBCiBeoB5oBXn?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFqlBThBmiB5oB0n?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBumB3iB5oBys?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFulBcmBiiB5oBzn?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBcnBeoB5oBSr?B3rB
TOZJISL,O,O,O,X,X
TOZJLIS,O,O,O,X,O
TOZJLSI,O,O,O,X,O
TOZJSIL,O,O,O,X,X
TOZJSLI,O,O,O,X,X
TOZSILJ,O,O,O,O,X
TOZSIJL,O,O,O,O,X
TOZSLIJ,O,O,O,O,X
TOZSLJI,O,O,O,O,X
TOZSJIL,O,O,O,O,X
TOZSJLI,O,O,O,O,X
ITLJSZO,O,O,O,X,O
ITLJSOZ,O,O,O,X,O
ITLJZSO,O,O,O,X,O
ITLJZOS,O,O,O,X,O
ITLJOSZ,X,X,X,X,O
ITLJOZS,X,O,X,X,O
ITLSJZO,X,O,O,O,O
ITLSJOZ,X,O,O,X,O
ITLSZJO,X,O,O,O,X
ITLSZOJ,X,O,O,O,X
ITLSOJZ,X,O,O,O,O
ITLSOZJ,X,O,O,O,X
