sequence,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBCiBeoB5oBXn?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFqlBThBmiB5oB0n?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBumB3iB5oBys?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFulBcmBiiB5oBzn?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBcnBeoB5oBSr?B3rB
LTJOIZS,X,O,X,X,O
LTJOSIZ,X,X,X,X,O
LTJOSZI,X,X,X,X,O
LTJOZIS,X,O,X,X,O
LTJOZSI,X,O,X,X,O
LTSIJZO,O,O,O,O,O
LTSIJOZ,O,O,O,X,O
LTSIZJO,O,O,O,O,X
LTSIZOJ,O,O,O,O,X
LTSIOJZ,X,O,O,O,O
LTSIOZJ,X,O,O,O,X
LTSJIZO,O,O,O,O,O
LTSJIOZ,O,O,O,X,O
LTSJZIO,O,O,O,O,O
LTSJZOI,O,O,O,O,O
LTSJOIZ,O,O,O,X,O
LTSJOZI,O,O,O,X,O
LTSZIJO,O,O,O,O,X
LTSZIOJ,O,O,O,O,X
LTSZJIO,O,O,O,O,O
LTSZJOI,O,O,O,O,O
LTSZOIJ,O,O,O,O,X
LTSZOJI,O,O,O,O,O
LTSOIJZ,X,O,O,O,O
LTSOIZJ,X,O,O,O,X
LTSOJIZ,O,O,O,O,O
LTSOJZI,O,O,O,O,O
LTSOZIJ,O,O,O,O,X
LTSOZJI,O,O,O,O,O
LTZIJSO,O,O,O,X,O
LTZIJOS,O,O,O,X,O
LTZISJO,X,O,O,X,X
LTZISOJ,X,O,O,X,X
LTZIOJS,O,O,O,X,O
LTZIOSJ,X,O,O,X,X
LTZJISO,O,O,O,X,O
LTZJIOS,O,O,O,X,O
LTZJSIO,O,O,O,X,O
LTZJSOI,O,O,O,X,O
LTZJOIS,O,O,O,X,O
LTZJOSI,O,O,O,X,O
LTZSIJO,O,O,O,X,X
LTZSIOJ,O,O,O,X,X
LTZSJIO,O,O,O,X,O
LTZSJOI,O,O,O,X,O
LTZSOIJ,O,O,O,X,X
LTZSOJI,O,O,O,X,O
LTZOIJS,O,O,O,X,O
LTZOISJ,X,O,O,X,X
LTZOJIS,O,O,O,X,O
LTZOJSI,O,O,O,X,O
LTZOSIJ,O,O,O,X,X
LTZOSJI,O,O,O,X,O
LTOIJSZ,X,X,X,O,O
LTOIJZS,X,O,X,X,O
LTOISJZ,X,O,O,O,O
LTOISZJ,X,O,O,O,X
LTOIZJS,X,O,O,X,O
LTOIZSJ,X,O,O,O,X
LTOJISZ,X,X,X,O,O
LTOJIZS,X,O,X,X,O
LTOJSIZ,X,X,X,O,O
LTOJSZI,X,X,X,O,O
LTOJZIS,X,O,X,X,O
LTOJZSI,X,O,X,X,O
LTOSIJZ,X,O,O,O,O
LTOSIZJ,X,O,O,O,X
LTOSJIZ,X,O,O,O,O
LTOSJZI,X,O,O,O,O
LTOSZIJ,X,O,O,O,X
LTOSZJI,X,O,O,O,O
LTOZIJS,X,O,O,X,O
LTOZISJ,X,O,O,O,X
LTOZJIS,X,O,O,X,O
LTOZJSI,X,O,O,X,O
LTOZSIJ,X,O,O,O,X
LTOZSJI,X,O,O,O,O
LITJSZO,O,O,O,X,O
LITJSOZ,O,O,O,X,O
LITJZSO,O,O,O,X,O
LITJZOS,O,O,O,X,O
LITJOSZ,X,X,X,X,O
LITJOZS,X,O,X,X,O
LITSJZO,X,O,O,O,O
LITSJOZ,X,O,O,X,O
LITSZJO,X,O,O,O,X
LITSZOJ,X,O,O,O,X
LITSOJZ,X,O,O,O,O
LITSOZJ,X,O,O,O,X
LITZJSO,O,O,O,X,O
LITZJOS,O,O,O,X,O
LITZSJO,X,O,O,X,X
LITZSOJ,X,O,O,X,X
LITZOJS,O,O,O,X,O
LITZOSJ,X,O,O,X,X
LITOJSZ,X,X,X,O,O
LITOJZS,X,O,X,X,O
LITOSJZ,X,O,O,O,O
LITOSZJ,X,O,O,O,X
LITOZJS,X,O,O,X,O
LITOZSJ,X,O,O,O,X
LIJTSZO,O,O,O,X,O
LIJTSOZ,O,O,O,X,O
LIJTZSO,O,O,O,X,O
LIJTZOS,O,O,O,X,O
LIJTOSZ,X,X,X,X,O
LIJTOZS,X,O,X,X,O
LIJSTZO,O,O,O,X,O
LIJSTOZ,O,O,O,X,O
LIJSZTO,O,O,O,X,O
LIJSZOT,O,O,O,X,O
LIJSOTZ,O,O,O,X,O
LIJSOZT,O,O,O,X,O
LIJZTSO,O,O,O,X,O
LIJZTOS,O,O,O,X,O
LIJZSTO,O,O,O,X,O
LIJZSOT,O,O,O,X,O
LIJZOTS,O,O,O,X,O
LIJZOST,O,O,O,X,O
LIJOTSZ,X,X,X,X,O
LIJOTZS,X,O,X,X,O
LIJOSTZ,X,X,X,X,O
LIJOSZT,X,X,X,X,O
LIJOZTS,X,O,X,X,O
LIJOZST,X,O,X,X,O
LISTJZO,X,O,O,O,O
LISTJOZ,X,O,O,X,O
LISTZJO,X,O,O,O,X
LISTZOJ,X,O,O,O,X
LISTOJZ,X,O,O,O,O
LISTOZJ,X,O,O,O,X
LISJTZO,X,O,O,O,O
LISJTOZ,X,O,O,X,O
LISJZTO,X,O,O,O,O
LISJZOT,X,O,O,O,O
LISJOTZ,X,O,O,X,O
LISJOZT,X,O,O,X,O
LISZTJO,X,O,O,O,X
LISZTOJ,X,O,O,O,X
LISZJTO,X,O,O,O,X
LISZJOT,X,O,O,O,X
LISZOTJ,X,O,O,O,X
LISZOJT,X,O,O,O,X
LISOTJZ,X,O,O,O,O
LISOTZJ,X,O,O,O,X
LISOJTZ,X,O,O,O,O
LISOJZT,X,O,O,O,O
LISOZTJ,X,O,O,O,X
LISOZJT,X,O,O,O,X
LIZTJSO,O,O,O,X,O
LIZTJOS,O,O,O,X,O
LIZTSJO,X,O,O,X,X
LIZTSOJ,X,O,O,X,X
LIZTOJS,O,O,O,X,O
LIZTOSJ,X,O,O,X,X
LIZJTSO,O,O,O,X,O
LIZJTOS,O,O,O,X,O
LIZJSTO,O,O,O,X,O
LIZJSOT,O,O,O,X,O
LIZJOTS,O,O,O,X,O
LIZJOST,O,O,O,X,O
LIZSTJO,X,O,O,X,X
LIZSTOJ,X,O,O,X,X
LIZSJTO,X,O,O,X,X
LIZSJOT,X,O,O,X,X
LIZSOTJ,X,O,O,X,X
LIZSOJT,X,O,O,X,X
LIZOTJS,O,O,O,X,O
LIZOTSJ,X,O,O,X,X
LIZOJTS,O,O,O,X,O
LIZOJST,O,O,O,X,O
LIZOSTJ,X,O,O,X,X
LIZOSJT,X,O,O,X,X
LIOTJSZ,X,X,X,O,O
LIOTJZS,X,O,X,X,O
LIOTSJZ,X,O,O,O,O
LIOTSZJ,X,O,O,O,X
LIOTZJS,X,O,O,X,O
LIOTZSJ,X,O,O,O,X
LIOJTSZ,X,X,X,O,O
LIOJTZS,X,O,X,X,O
LIOJSTZ,X,X,X,O,O
LIOJSZT,X,X,X,O,O
LIOJZTS,X,O,X,X,O
LIOJZST,X,O,X,X,O
LIOSTJZ,X,O,O,O,O
LIOSTZJ,X,O,O,O,X
LIOSJTZ,X,O,O,O,O
LIOSJZT,X,O,O,O,O
LIOSZTJ,X,O,O,O,X
LIOSZJT,X,O,O,O,X
LIOZTJS,X,O,O,X,O
LIOZTSJ,X,O,O,O,X
LIOZJTS,X,O,O,X,O
LIOZJST,X,O,O,X,O
LIOZSTJ,X,O,O,O,X
LIOZSJT,X,O,O,O,X
LJTISZO,O,O,O,X,O
LJTISOZ,O,O,O,X,O
LJTIZSO,O,O,O,X,O
LJTIZOS,O,O,O,X,O
LJTIOSZ,X,X,X,X,O
LJTIOZS,X,O,X,X,O
LJTSIZO,O,O,O,X,O
LJTSIOZ,O,O,O,X,O
LJTSZIO,O,O,O,X,O
LJTSZOI,O,O,O,X,O
LJTSOIZ,O,O,O,X,O
LJTSOZI,O,O,O,X,O
LJTZISO,O,O,O,X,O
LJTZIOS,O,O,O,X,O
LJTZSIO,O,O,O,X,O
LJTZSOI,O,O,O,X,O
LJTZOIS,O,O,O,X,O
LJTZOSI,O,O,O,X,O
LJTOISZ,X,X,X,X,O
LJTOIZS,X,O,X,X,O
LJTOSIZ,X,X,X,X,O
LJTOSZI,X,X,X,X,O
LJTOZIS,X,O,X,X,O
LJTOZSI,X,O,X,X,O
LJITSZO,O,O,O,X,O
LJITSOZ,O,O,O,X,O
LJITZSO,O,O,O,X,O
LJITZOS,O,O,O,X,O
LJITOSZ,X,X,X,X,O
LJITOZS,X,O,X,X,O
LJISTZO,O,O,O,X,O
LJISTOZ,O,O,O,X,O
LJISZTO,O,O,O,X,O
LJISZOT,O,O,O,X,O
LJISOTZ,O,O,O,X,O
LJISOZT,O,O,O,X,O
LJIZTSO,O,O,O,X,O
LJIZTOS,O,O,O,X,O
LJIZSTO,O,O,O,X,O
LJIZSOT,O,O,O,X,O
LJIZOTS,O,O,O,X,O
LJIZOST,O,O,O,X,O
LJIOTSZ,X,X,X,X,O
LJIOTZS,X,O,X,X,O
LJIOSTZ,X,X,X,X,O
LJIOSZT,X,X,X,X,O
LJIOZTS,X,O,X,X,O
LJIOZST,X,O,X,X,O
LJSTIZO,O,O,O,X,O
LJSTIOZ,O,O,O,X,O
LJSTZIO,O,O,O,X,O
LJSTZOI,O,O,O,X,O
LJSTOIZ,O,O,O,X,O
LJSTOZI,O,O,O,X,O
LJSITZO,O,O,O,X,O
LJSITOZ,O,O,O,X,O
LJSIZTO,O,O,O,X,O
LJSIZOT,O,O,O,X,O
LJSIOTZ,O,O,O,X,O
LJSIOZT,O,O,O,X,O
LJSZTIO,O,O,O,X,O
LJSZTOI,O,O,O,X,O
LJSZITO,O,O,O,X,O
LJSZIOT,O,O,O,X,O
LJSZOTI,O,O,O,X,O
LJSZOIT,O,O,O,X,O
LJSOTIZ,O,O,O,X,O
LJSOTZI,O,O,O,X,O
LJSOITZ,O,O,O,X,O
LJSOIZT,O,O,O,X,O
LJSOZTI,O,O,O,X,O
LJSOZIT,O,O,O,X,O
LJZTISO,O,O,O,X,O
LJZTIOS,O,O,O,X,O
LJZTSIO,O,O,O,X,O
LJZTSOI,O,O,O,X,O
LJZTOIS,O,O,O,X,O
LJZTOSI,O,O,O,X,O
LJZITSO,O,O,O,X,O
LJZITOS,O,O,O,X,O
LJZISTO,O,O,O,X,O
LJZISOT,O,O,O,X,O
LJZIOTS,O,O,O,X,O
LJZIOST,O,O,O,X,O
LJZSTIO,O,O,O,X,O
LJZSTOI,O,O,O,X,O
LJZSITO,O,O,O,X,O
LJZSIOT,O,O,O,X,O
LJZSOTI,O,O,O,X,O
LJZSOIT,O,O,O,X,O
LJZOTIS,O,O,O,X,O
LJZOTSI,O,O,O,X,O
LJZOITS,O,O,O,X,O
LJZOIST,O,O,O,X,O
LJZOSTI,O,O,O,X,O
LJZOSIT,O,O,O,X,O
LJOTISZ,X,X,X,X,O
LJOTIZS,X,O,X,X,O
LJOTSIZ,X,X,X,X,O
LJOTSZI,X,X,X,X,O
LJOTZIS,X,O,X,X,O
LJOTZSI,X,O,X,X,O
LJOITSZ,X,X,X,X,O
LJOITZS,X,O,X,X,O
LJOISTZ,X,X,X,X,O
LJOISZT,X,X,X,X,O
LJOIZTS,X,O,X,X,O
LJOIZST,X,O,X,X,O
LJOSTIZ,X,X,X,X,O
LJOSTZI,X,X,X,X,O
LJOSITZ,X,X,X,X,O
LJOSIZT,X,X,X,X,O
LJOSZTI,X,X,X,X,O
LJOSZIT,X,X,X,X,O
LJOZTIS,X,O,X,X,O
LJOZTSI,X,O,X,X,O
LJOZITS,X,O,X,X,O
LJOZIST,X,O,X,X,O
LJOZSTI,X,O,X,X,O
LJOZSIT,X,O,X,X,O
LSTIJZO,O,O,O,O,O
LSTIJOZ,O,O,O,X,O
LSTIZJO,O,O,O,O,X
LSTIZOJ,O,O,O,O,X
LSTIOJZ,X,O,O,O,O
LSTIOZJ,X,O,O,O,X
LSTJIZO,O,O,O,O,O
LSTJIOZ,O,O,O,X,O
LSTJZIO,O,O,O,O,O
LSTJZOI,O,O,O,O,O
LSTJOIZ,O,O,O,X,O
LSTJOZI,O,O,O,X,O
LSTZIJO,O,O,O,O,X
LSTZIOJ,O,O,O,O,X
LSTZJIO,O,O,O,O,O
LSTZJOI,O,O,O,O,O
LSTZOIJ,O,O,O,O,X
LSTZOJI,O,O,O,O,O
LSTOIJZ,X,O,O,O,O
LSTOIZJ,X,O,O,O,X
LSTOJIZ,O,O,O,O,O
LSTOJZI,O,O,O,O,O
LSTOZIJ,O,O,O,O,X
LSTOZJI,O,O,O,O,O
LSITJZO,O,O,O,O,O
LSITJOZ,O,O,O,X,O
LSITZJO,O,O,O,O,X
LSITZOJ,O,O,O,O,X
LSITOJZ,X,O,O,O,O
LSITOZJ,X,O,O,O,X
LSIJTZO,O,O,O,O,O
LSIJTOZ,O,O,O,X,O
LSIJZTO,O,O,O,O,O
LSIJZOT,O,O,O,O,O
LSIJOTZ,O,O,O,X,O
LSIJOZT,O,O,O,X,O
LSIZTJO,O,O,O,O,X
LSIZTOJ,O,O,O,O,X
LSIZJTO,O,O,O,O,X
LSIZJOT,O,O,O,O,X
LSIZOTJ,O,O,O,O,X
LSIZOJT,O,O,O,O,X
LSIOTJZ,X,O,O,O,O
LSIOTZJ,X,O,O,O,X
LSIOJTZ,X,O,O,O,O
LSIOJZT,X,O,O,O,O
LSIOZTJ,X,O,O,O,X
LSIOZJT,X,O,O,O,X
LSJTIZO,O,O,O,O,O
LSJTIOZ,O,O,O,X,O
LSJTZIO,O,O,O,O,O
LSJTZOI,O,O,O,O,O
LSJTOIZ,O,O,O,X,O
LSJTOZI,O,O,O,X,O
LSJITZO,O,O,O,O,O
LSJITOZ,O,O,O,X,O
LSJIZTO,O,O,O,O,O
LSJIZOT,O,O,O,O,O
LSJIOTZ,O,O,O,X,O
LSJIOZT,O,O,O,X,O
LSJZTIO,O,O,O,O,O
LSJZTOI,O,O,O,O,O
LSJZITO,O,O,O,O,O
LSJZIOT,O,O,O,O,O
LSJZOTI,O,O,O,O,O
LSJZOIT,O,O,O,O,O
LSJOTIZ,O,O,O,X,O
LSJOTZI,O,O,O,X,O
LSJOITZ,O,O,O,X,O
LSJOIZT,O,O,O,X,O
LSJOZTI,O,O,O,X,O
LSJOZIT,O,O,O,X,O
LSZTIJO,O,O,O,O,X
LSZTIOJ,O,O,O,O,X
LSZTJIO,O,O,O,O,O
LSZTJOI,O,O,O,O,O
LSZTOIJ,O,O,O,O,X
LSZTOJI,O,O,O,O,O
LSZITJO,O,O,O,O,X
LSZITOJ,O,O,O,O,X
LSZIJTO,O,O,O,O,X
LSZIJOT,O,O,O,O,X
LSZIOTJ,O,O,O,O,X
LSZIOJT,O,O,O,O,X
LSZJTIO,O,O,O,O,O
LSZJTOI,O,O,O,O,O
LSZJITO,O,O,O,O,O
LSZJIOT,O,O,O,O,O
LSZJOTI,O,O,O,O,O
LSZJOIT,O,O,O,O,O
LSZOTIJ,O,O,O,O,X
LSZOTJI,O,O,O,O,O
LSZOITJ,O,O,O,O,X
LSZOIJT,O,O,O,O,X
LSZOJTI,O,O,O,O,O
LSZOJIT,O,O,O,O,O
LSOTIJZ,X,O,O,O,O
LSOTIZJ,X,O,O,O,X
LSOTJIZ,O,O,O,O,O
LSOTJZI,O,O,O,O,O
LSOTZIJ,O,O,O,O,X
LSOTZJI,O,O,O,O,O
LSOITJZ,X,O,O,O,O
LSOITZJ,X,O,O,O,X
LSOIJTZ,X,O,O,O,O
LSOIJZT,X,O,O,O,O
LSOIZTJ,X,O,O,O,X
LSOIZJT,X,O,O,O,X
LSOJTIZ,O,O,O,O,O
LSOJTZI,O,O,O,O,O
LSOJITZ,O,O,O,O,O
LSOJIZT,O,O,O,O,O
LSOJZTI,O,O,O,O,O
LSOJZIT,O,O,O,O,O
LSOZTIJ,O,O,O,O,X
LSOZTJI,O,O,O,O,O
LSOZITJ,O,O,O,O,X
LSOZIJT,O,O,O,O,X
LSOZJTI,O,O,O,O,O
LSOZJIT,O,O,O,O,O
LZTIJSO,O,O,O,X,O
LZTIJOS,O,O,O,X,O
LZTISJO,X,O,O,X,X
LZTISOJ,X,O,O,X,X
LZTIOJS,O,O,O,X,O
LZTIOSJ,X,O,O,X,X
LZTJISO,O,O,O,X,O
LZTJIOS,O,O,O,X,O
LZTJSIO,O,O,O,X,O
LZTJSOI,O,O,O,X,O
LZTJOIS,O,O,O,X,O
LZTJOSI,O,O,O,X,O
LZTSIJO,O,O,O,X,X
LZTSIOJ,O,O,O,X,X
LZTSJIO,O,O,O,X,O
LZTSJOI,O,O,O,X,O
LZTSOIJ,O,O,O,X,X
LZTSOJI,O,O,O,X,O
LZTOIJS,O,O,O,X,O
LZTOISJ,X,O,O,X,X
LZTOJIS,O,O,O,X,O
LZTOJSI,O,O,O,X,O
LZTOSIJ,O,O,O,X,X
LZTOSJI,O,O,O,X,O
LZITJSO,O,O,O,X,O
LZITJOS,O,O,O,X,O
LZITSJO,X,O,O,X,X
LZITSOJ,X,O,O,X,X
LZITOJS,O,O,O,X,O
LZITOSJ,X,O,O,X,X
LZIJTSO,O,O,O,X,O
LZIJTOS,O,O,O,X,O
LZIJSTO,O,O,O,X,O
LZIJSOT,O,O,O,X,O
LZIJOTS,O,O,O,X,O
LZIJOST,O,O,O,X,O
LZISTJO,X,O,O,X,X
LZISTOJ,X,O,O,X,X
LZISJTO,X,O,O,X,X
LZISJOT,X,O,O,X,X
LZISOTJ,X,O,O,X,X
LZISOJT,X,O,O,X,X
LZIOTJS,O,O,O,X,O
LZIOTSJ,X,O,O,X,X
LZIOJTS,O,O,O,X,O
LZIOJST,O,O,O,X,O
LZIOSTJ,X,O,O,X,X
LZIOSJT,X,O,O,X,X
LZJTISO,O,O,O,X,O
LZJTIOS,O,O,O,X,O
LZJTSIO,O,O,O,X,O
LZJTSOI,O,O,O,X,O
LZJTOIS,O,O,O,X,O
LZJTOSI,O,O,O,X,O
LZJITSO,O,O,O,X,O
LZJITOS,O,O,O,X,O
LZJISTO,O,O,O,X,O
LZJISOT,O,O,O,X,O
LZJIOTS,O,O,O,X,O
LZJIOST,O,O,O,X,O
LZJSTIO,O,O,O,X,O
LZJSTOI,O,O,O,X,O
LZJSITO,O,O,O,X,O
LZJSIOT,O,O,O,X,O
LZJSOTI,O,O,O,X,O
LZJSOIT,O,O,O,X,O
LZJOTIS,O,O,O,X,O
LZJOTSI,O,O,O,X,O
LZJOITS,O,O,O,X,O
LZJOIST,O,O,O,X,O
LZJOSTI,O,O,O,X,O
LZJOSIT,O,O,O,X,O
LZSTIJO,O,O,O,X,X
LZSTIOJ,O,O,O,X,X
LZSTJIO,O,O,O,X,O
LZSTJOI,O,O,O,X,O
LZSTOIJ,O,O,O,X,X
LZSTOJI,O,O,O,X,O
LZSITJO,O,O,O,X,X
LZSITOJ,O,O,O,X,X
LZSIJTO,O,O,O,X,X
LZSIJOT,O,O,O,X,X
LZSIOTJ,O,O,O,X,X
LZSIOJT,O,O,O,X,X
LZSJTIO,O,O,O,X,O
LZSJTOI,O,O,O,X,O
LZSJITO,O,O,O,X,O
LZSJIOT,O,O,O,X,O
LZSJOTI,O,O,O,X,O
LZSJOIT,O,O,O,X,O
LZSOTIJ,O,O,O,X,X
LZSOTJI,O,O,O,X,O
LZSOITJ,O,O,O,X,X
LZSOIJT,O,O,O,X,X
LZSOJTI,O,O,O,X,O
LZSOJIT,O,O,O,X,O
LZOTIJS,O,O,O,X,O
LZOTISJ,X,O,O,X,X
LZOTJIS,O,O,O,X,O
LZOTJSI,O,O,O,X,O
LZOTSIJ,O,O,O,X,X
LZOTSJI,O,O,O,X,O
LZOITJS,O,O,O,X,O
LZOITSJ,X,O,O,X,X
LZOIJTS,O,O,O,X,O
LZOIJST,O,O,O,X,O
LZOISTJ,X,O,O,X,X
LZOISJT,X,O,O,X,X
LZOJTIS,O,O,O,X,O
LZOJTSI,O,O,O,X,O
LZOJITS,O,O,O,X,O
LZOJIST,O,O,O,X,O
LZOJSTI,O,O,O,X,O
LZOJSIT,O,O,O,X,O
LZOSTIJ,O,O,O,X,X
LZOSTJI,O,O,O,X,O
LZOSITJ,O,O,O,X,X
LZOSIJT,O,O,O,X,X
LZOSJTI,O,O,O,X,O
LZOSJIT,O,O,O,X,O
LOTIJSZ,X,X,X,O,O
LOTIJZS,X,O,X,X,O
LOTISJZ,X,O,O,O,O
LOTISZJ,X,O,O,O,X
LOTIZJS,X,O,O,X,O
LOTIZSJ,X,O,O,O,X
LOTJISZ,X,X,X,O,O
LOTJIZS,X,O,X,X,O
LOTJSIZ,X,X,X,O,O
LOTJSZI,X,X,X,O,O
LOTJZIS,X,O,X,X,O
LOTJZSI,X,O,X,X,O
LOTSIJZ,X,O,O,O,O
LOTSIZJ,X,O,O,O,X
LOTSJIZ,X,O,O,O,O
LOTSJZI,X,O,O,O,O
LOTSZIJ,X,O,O,O,X
LOTSZJI,X,O,O,O,O
LOTZIJS,X,O,O,X,O
LOTZISJ,X,O,O,O,X
LOTZJIS,X,O,O,X,O
LOTZJSI,X,O,O,X,O
LOTZSIJ,X,O,O,O,X
LOTZSJI,X,O,O,O,O
LOITJSZ,X,X,X,O,O
LOITJZS,X,O,X,X,O
LOITSJZ,X,O,O,O,O
LOITSZJ,X,O,O,O,X
LOITZJS,X,O,O,X,O
LOITZSJ,X,O,O,O,X
LOIJTSZ,X,X,X,O,O
LOIJTZS,X,O,X,X,O
LOIJSTZ,X,X,X,O,O
LOIJSZT,X,X,X,O,O
LOIJZTS,X,O,X,X,O
LOIJZST,X,O,X,X,O
LOISTJZ,X,O,O,O,O
LOISTZJ,X,O,O,O,X
LOISJTZ,X,O,O,O,O
LOISJZT,X,O,O,O,O
LOISZTJ,X,O,O,O,X
LOISZJT,X,O,O,O,X
LOIZTJS,X,O,O,X,O
LOIZTSJ,X,O,O,O,X
LOIZJTS,X,O,O,X,O
LOIZJST,X,O,O,X,O
LOIZSTJ,X,O,O,O,X
LOIZSJT,X,O,O,O,X
LOJTISZ,X,X,X,O,O
LOJTIZS,X,O,X,X,O
LOJTSIZ,X,X,X,O,O
LOJTSZI,X,X,X,O,O
LOJTZIS,X,O,X,X,O
LOJTZSI,X,O,X,X,O
LOJITSZ,X,X,X,O,O
LOJITZS,X,O,X,X,O
LOJISTZ,X,X,X,O,O
LOJISZT,X,X,X,O,O
LOJIZTS,X,O,X,X,O
LOJIZST,X,O,X,X,O
LOJSTIZ,X,X,X,O,O
LOJSTZI,X,X,X,O,O
LOJSITZ,X,X,X,O,O
LOJSIZT,X,X,X,O,O
LOJSZTI,X,X,X,O,O
LOJSZIT,X,X,X,O,O
LOJZTIS,X,O,X,X,O
LOJZTSI,X,O,X,X,O
LOJZITS,X,O,X,X,O
LOJZIST,X,O,X,X,O
LOJZSTI,X,O,X,X,O
LOJZSIT,X,O,X,X,O
LOSTIJZ,X,O,O,O,O
LOSTIZJ,X,O,O,O,X
LOSTJIZ,X,O,O,O,O
LOSTJZI,X,O,O,O,O
LOSTZIJ,X,O,O,O,X
LOSTZJI,X,O,O,O,O
LOSITJZ,X,O,O,O,O
LOSITZJ,X,O,O,O,X
LOSIJTZ,X,O,O,O,O
LOSIJZT,X,O,O,O,O
LOSIZTJ,X,O,O,O,X
LOSIZJT,X,O,O,O,X
LOSJTIZ,X,O,O,O,O
LOSJTZI,X,O,O,O,O
LOSJITZ,X,O,O,O,O
LOSJIZT,X,O,O,O,O
LOSJZTI,X,O,O,O,O
LOSJZIT,X,O,O,O,O
LOSZTIJ,X,O,O,O,X
LOSZTJI,X,O,O,O,O
LOSZITJ,X,O,O,O,X
LOSZIJT,X,O,O,O,X
LOSZJTI,X,O,O,O,O
LOSZJIT,X,O,O,O,O
LOZTIJS,X,O,O,X,O
LOZTISJ,X,O,O,O,X
LOZTJIS,X,O,O,X,O
LOZTJSI,X,O,O,X,O
LOZTSIJ,X,O,O,O,X
LOZTSJI,X,O,O,O,O
LOZITJS,X,O,O,X,O
LOZITSJ,X,O,O,O,X
LOZIJTS,X,O,O,X,O
LOZIJST,X,O,O,X,O
LOZISTJ,X,O,O,O,X
LOZISJT,X,O,O,O,X
LOZJTIS,X,O,O,X,O
LOZJTSI,X,O,O,X,O
LOZJITS,X,O,O,X,O
LOZJIST,X,O,O,X,O
LOZJSTI,X,O,O,X,O
LOZJSIT,X,O,O,X,O
LOZSTIJ,X,O,O,O,X
LOZSTJI,X,O,O,O,O
LOZSITJ,X,O,O,O,X
LOZSIJT,X,O,O,O,X
LOZSJTI,X,O,O,O,O
LOZSJIT,X,O,O,O,O
JTILSZO,O,O,O,X,O
JTILSOZ,O,O,O,X,O
JTILZSO,O,O,O,X,O
JTILZOS,O,O,O,X,O
JTILOSZ,X,X,X,X,O
JTILOZS,X,O,X,X,O
JTISLZO,O,O,X,O,O
JTISLOZ,O,O,X,X,O
JTISZLO,O,O,X,O,O
JTISZOL,O,O,X,O,X
JTISOLZ,O,X,X,O,X
JTISOZL,O,X,X,O,X
JTIZLSO,O,O,O,X,O
JTIZLOS,O,O,O,X,O
JTIZSLO,O,O,O,X,O
JTIZSOL,O,O,O,X,X
JTIZOLS,O,O,O,X,O
JTIZOSL,O,O,O,X,X
JTIOLSZ,X,X,X,O,O
JTIOLZS,X,X,X,X,O
JTIOSLZ,O,X,X,O,X
JTIOSZL,O,X,X,O,X
JTIOZLS,O,X,X,X,O
JTIOZSL,O,X,X,X,X
JTLISZO,O,O,O,X,O
JTLISOZ,O,O,O,X,O
JTLIZSO,O,O,O,X,O
JTLIZOS,O,O,O,X,O
JTLIOSZ,X,X,X,X,O
JTLIOZS,X,O,X,X,O
JTLSIZO,O,O,O,X,O
JTLSIOZ,O,O,O,X,O
JTLSZIO,O,O,O,X,O
JTLSZOI,O,O,O,X,O
JTLSOIZ,O,O,O,X,O
JTLSOZI,O,O,O,X,O
JTLZISO,O,O,O,X,O
JTLZIOS,O,O,O,X,O
JTLZSIO,O,O,O,X,O
JTLZSOI,O,O,O,X,O
JTLZOIS,O,O,O,X,O
JTLZOSI,O,O,O,X,O
JTLOISZ,X,X,X,X,O
JTLOIZS,X,O,X,X,O
JTLOSIZ,X,X,X,X,O
JTLOSZI,X,X,X,X,O
JTLOZIS,X,O,X,X,O
JTLOZSI,X,O,X,X,O
JTSILZO,O,O,X,O,O
JTSILOZ,O,O,X,X,O
JTSIZLO,O,O,X,O,O
JTSIZOL,O,O,X,O,X
JTSIOLZ,O,X,X,O,X
JTSIOZL,O,X,X,O,X
JTSLIZO,O,O,X,O,O
JTSLIOZ,O,O,X,X,O
JTSLZIO,O,O,X,O,O
JTSLZOI,O,O,X,O,O
JTSLOIZ,O,O,X,X,O
JTSLOZI,O,O,X,X,O
JTSZILO,O,O,X,O,O
JTSZIOL,O,O,X,O,X
JTSZLIO,O,O,X,O,O
JTSZLOI,O,O,X,O,O
JTSZOIL,O,O,X,O,X
JTSZOLI,O,O,X,O,X
JTSOILZ,O,X,X,O,X
JTSOIZL,O,X,X,O,X
JTSOLIZ,O,X,X,O,X
JTSOLZI,O,X,X,O,X
JTSOZIL,O,X,X,O,X
JTSOZLI,O,X,X,O,X
JTZILSO,O,O,O,X,O
JTZILOS,O,O,O,X,O
JTZISLO,O,O,O,X,O
JTZISOL,O,O,O,X,X
JTZIOLS,O,O,O,X,O
JTZIOSL,O,O,O,X,X
JTZLISO,O,O,O,X,O
JTZLIOS,O,O,O,X,O
JTZLSIO,O,O,O,X,O
JTZLSOI,O,O,O,X,O
JTZLOIS,O,O,O,X,O
JTZLOSI,O,O,O,X,O
JTZSILO,O,O,O,X,O
