sequence,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFFgBzhBCjBX?oBmqB8qB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFUgBzhBerBF?tB3qBCtB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFUgBzhBerBC?tB3qBFtB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFUgBymBGjBz?nB1qBXrB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhF3gBzhBerBC?tBUqBFtB
JTZOSLI,X,X,X,X,X
JTOILSZ,X,X,X,X,O
JTOILZS,X,O,O,X,X
JTOISLZ,O,X,X,X,O
JTOISZL,O,O,X,X,X
JTOIZLS,X,O,O,X,X
JTOIZSL,X,O,X,X,X
JTOLISZ,X,X,X,X,O
JTOLIZS,X,O,O,X,X
JTOLSIZ,X,X,X,X,O
JTOLSZI,X,X,X,X,X
JTOLZIS,X,O,O,X,X
JTOLZSI,X,X,X,X,X
JTOSILZ,O,X,X,X,O
JTOSIZL,O,O,X,X,X
JTOSLIZ,O,X,X,X,O
JTOSLZI,X,X,X,X,X
JTOSZIL,X,O,X,X,X
JTOSZLI,X,X,X,X,X
JTOZILS,X,O,O,X,X
JTOZISL,X,O,X,X,X
JTOZLIS,X,O,O,X,X
JTOZLSI,X,X,X,X,X
JTOZSIL,X,O,X,X,X
JTOZSLI,X,X,X,X,X
JITLSZO,X,X,X,X,X
JITLSOZ,X,X,X,X,O
JITLZSO,X,X,X,X,X
JITLZOS,X,O,O,X,X
JITLOSZ,X,X,X,X,O
JITLOZS,X,O,O,X,X
JITSLZO,O,X,X,X,X
JITSLOZ,O,X,X,X,O
JITSZLO,O,X,X,X,X
JITSZOL,O,O,X,X,X
JITSOLZ,O,X,X,X,O
JITSOZL,O,O,X,X,X
JITZLSO,X,X,X,X,X
JITZLOS,X,O,O,X,X
JITZSLO,X,X,X,X,X
JITZSOL,X,O,X,X,X
JITZOLS,X,O,O,X,X
JITZOSL,X,O,X,X,X
JITOLSZ,X,X,X,X,O
JITOLZS,X,O,O,X,X
JITOSLZ,O,X,X,X,O
JITOSZL,O,O,X,X,X
JITOZLS,X,O,O,X,X
JITOZSL,X,O,X,X,X
JILTSZO,X,X,X,X,X
JILTSOZ,X,X,X,X,O
JILTZSO,X,X,X,X,X
JILTZOS,X,O,O,X,X
JILTOSZ,X,X,X,X,O
JILTOZS,X,O,O,X,X
JILSTZO,O,X,X,X,X
JILSTOZ,O,X,X,X,O
JILSZTO,O,X,X,X,X
JILSZOT,O,X,O,X,O
JILSOTZ,O,X,X,X,O
JILSOZT,O,X,O,X,O
JILZTSO,X,X,X,X,X
JILZTOS,X,O,O,X,X
JILZSTO,X,X,X,X,X
JILZSOT,X,X,O,X,O
JILZOTS,X,O,O,O,X
JILZOST,X,X,O,O,O
JILOTSZ,X,X,X,X,O
JILOTZS,X,O,O,O,X
JILOSTZ,O,X,X,X,O
JILOSZT,O,X,O,O,O
JILOZTS,X,O,O,O,X
JILOZST,X,X,O,O,O
JISTLZO,O,X,X,X,X
JISTLOZ,O,X,X,X,O
JISTZLO,O,X,X,X,X
JISTZOL,O,O,X,X,X
JISTOLZ,O,X,X,X,O
JISTOZL,O,O,X,X,X
JISLTZO,O,X,X,X,X
JISLTOZ,O,X,X,X,O
JISLZTO,O,X,X,X,X
JISLZOT,O,X,O,X,O
JISLOTZ,O,X,X,X,O
JISLOZT,O,X,O,X,O
JISZTLO,O,X,X,X,X
JISZTOL,O,O,X,X,X
JISZLTO,O,X,X,X,X
JISZLOT,O,X,O,X,O
JISZOTL,O,O,X,X,X
JISZOLT,O,X,O,X,O
JISOTLZ,O,X,X,X,O
JISOTZL,O,O,X,X,X
JISOLTZ,O,X,X,X,O
JISOLZT,O,X,O,X,O
JISOZTL,O,O,X,X,X
JISOZLT,O,X,O,X,O
JIZTLSO,X,X,X,X,X
JIZTLOS,X,O,O,X,X
JIZTSLO,X,X,X,X,X
JIZTSOL,X,O,X,X,X
JIZTOLS,X,O,O,X,X
JIZTOSL,X,O,X,X,X
JIZLTSO,X,X,X,X,X
JIZLTOS,X,O,O,X,X
JIZLSTO,X,X,X,X,X
JIZLSOT,X,X,O,X,O
JIZLOTS,X,O,O,O,X
JIZLOST,X,X,O,O,O
JIZSTLO,O,X,X,X,X
JIZSTOL,O,O,X,X,X
JIZSLTO,O,X,X,X,X
JIZSLOT,O,X,O,X,O
JIZSOTL,O,O,X,X,X
JIZSOLT,O,X,O,X,O
JIZOTLS,X,O,O,O,X
JIZOTSL,X,O,X,X,X
JIZOLTS,X,O,O,O,X
JIZOLST,X,X,O,O,O
JIZOSTL,O,O,X,X,X
JIZOSLT,O,X,O,O,O
JIOTLSZ,X,X,X,X,O
JIOTLZS,X,O,O,O,X
JIOTSLZ,O,X,X,X,O
JIOTSZL,O,O,X,X,X
JIOTZLS,X,O,O,O,X
JIOTZSL,X,O,X,X,X
JIOLTSZ,X,X,X,X,O
JIOLTZS,X,O,O,O,X
JIOLSTZ,O,X,X,X,O
JIOLSZT,O,X,O,O,O
JIOLZTS,X,O,O,O,X
JIOLZST,X,X,O,O,O
JIOSTLZ,O,X,X,X,O
JIOSTZL,O,O,X,X,X
JIOSLTZ,O,X,X,X,O
JIOSLZT,O,X,O,O,O
JIOSZTL,O,O,X,X,X
JIOSZLT,O,X,O,O,O
JIOZTLS,X,O,O,O,X
JIOZTSL,X,O,X,X,X
JIOZLTS,X,O,O,O,X
JIOZLST,X,X,O,O,O
JIOZSTL,O,O,X,X,X
JIOZSLT,O,X,O,O,O
JLTISZO,X,X,X,X,X
JLTISOZ,X,X,X,X,O
JLTIZSO,X,X,X,X,X
JLTIZOS,X,O,O,X,X
JLTIOSZ,X,X,X,X,O
JLTIOZS,X,O,O,X,X
JLTSIZO,X,X,X,X,X
JLTSIOZ,X,X,X,X,O
JLTSZIO,X,X,X,X,X
JLTSZOI,X,X,X,X,X
JLTSOIZ,X,X,X,X,O
JLTSOZI,X,X,X,X,X
JLTZISO,X,X,X,X,X
JLTZIOS,X,O,O,X,X
JLTZSIO,X,X,X,X,X
JLTZSOI,X,X,X,X,X
JLTZOIS,X,O,O,X,X
JLTZOSI,X,X,X,X,X
JLTOISZ,X,X,X,X,O
JLTOIZS,X,O,O,X,X
JLTOSIZ,X,X,X,X,O
JLTOSZI,X,X,X,X,X
JLTOZIS,X,O,O,X,X
JLTOZSI,X,X,X,X,X
JLITSZO,X,X,X,X,X
JLITSOZ,X,X,X,X,O
JLITZSO,X,X,X,X,X
JLITZOS,X,O,O,X,X
JLITOSZ,X,X,X,X,O
JLITOZS,X,O,O,X,X
JLISTZO,O,X,X,X,X
JLISTOZ,O,X,X,X,O
JLISZTO,O,X,X,X,X
JLISZOT,O,X,O,X,O
JLISOTZ,O,X,X,X,O
JLISOZT,O,X,O,X,O
JLIZTSO,X,X,X,X,X
JLIZTOS,X,O,O,X,X
JLIZSTO,X,X,X,X,X
JLIZSOT,X,X,O,X,O
JLIZOTS,X,O,O,O,X
JLIZOST,X,X,O,O,O
JLIOTSZ,X,X,X,X,O
JLIOTZS,X,O,O,O,X
JLIOSTZ,O,X,X,X,O
JLIOSZT,O,X,O,O,O
JLIOZTS,X,O,O,O,X
JLIOZST,X,X,O,O,O
JLSTIZO,O,X,X,X,X
JLSTIOZ,O,X,X,X,O
JLSTZIO,X,X,X,X,X
JLSTZOI,X,X,X,X,X
JLSTOIZ,O,X,X,X,O
JLSTOZI,X,X,X,X,X
JLSITZO,O,X,X,X,X
JLSITOZ,O,X,X,X,O
JLSIZTO,O,X,X,X,X
JLSIZOT,O,X,O,X,O
JLSIOTZ,O,X,X,X,O
JLSIOZT,O,X,O,X,O
JLSZTIO,X,X,X,X,X
JLSZTOI,X,X,X,X,X
JLSZITO,O,X,X,X,X
JLSZIOT,O,X,O,X,O
JLSZOTI,X,X,X,X,X
JLSZOIT,O,X,O,X,O
JLSOTIZ,O,X,X,X,O
JLSOTZI,X,X,X,X,X
JLSOITZ,O,X,X,X,O
JLSOIZT,O,X,O,X,O
JLSOZTI,X,X,X,X,X
JLSOZIT,O,X,O,X,O
JLZTISO,X,X,X,X,X
JLZTIOS,X,O,O,X,X
JLZTSIO,X,X,X,X,X
JLZTSOI,X,X,X,X,X
JLZTOIS,X,O,O,X,X
JLZTOSI,X,X,X,X,X
JLZITSO,X,X,X,X,X
JLZITOS,X,O,O,X,X
JLZISTO,X,X,X,X,X
JLZISOT,X,X,O,X,O
JLZIOTS,X,O,O,O,X
JLZIOST,X,X,O,O,O
JLZSTIO,X,X,X,X,X
JLZSTOI,X,X,X,X,X
JLZSITO,X,X,X,X,X
JLZSIOT,X,X,O,X,O
JLZSOTI,X,X,X,X,X
JLZSOIT,X,X,O,X,O
JLZOTIS,X,O,O,O,X
JLZOTSI,X,X,X,X,X
JLZOITS,X,O,O,O,X
JLZOIST,X,X,O,O,O
JLZOSTI,X,X,X,X,X
JLZOSIT,X,X,O,O,O
JLOTISZ,X,X,X,X,O
JLOTIZS,X,O,O,O,X
JLOTSIZ,X,X,X,X,O
JLOTSZI,X,X,X,X,X
JLOTZIS,X,O,O,O,X
JLOTZSI,X,X,X,X,X
JLOITSZ,X,X,X,X,O
JLOITZS,X,O,O,O,X
JLOISTZ,O,X,X,X,O
JLOISZT,O,X,O,O,O
JLOIZTS,X,O,O,O,X
JLOIZST,X,X,O,O,O
JLOSTIZ,O,X,X,X,O
JLOSTZI,X,X,X,X,X
JLOSITZ,O,X,X,X,O
JLOSIZT,O,X,O,O,O
JLOSZTI,X,X,X,X,X
JLOSZIT,O,X,O,O,O
JLOZTIS,X,O,O,O,X
JLOZTSI,X,X,X,X,X
JLOZITS,X,O,O,O,X
JLOZIST,X,X,O,O,O
JLOZSTI,X,X,X,X,X
JLOZSIT,X,X,O,O,O
JSTILZO,O,X,X,X,X
JSTILOZ,O,X,X,X,O
JSTIZLO,O,X,X,X,X
JSTIZOL,O,O,X,X,X
JSTIOLZ,O,X,X,X,O
JSTIOZL,O,O,X,X,X
JSTLIZO,O,X,X,X,X
JSTLIOZ,O,X,X,X,O
JSTLZIO,X,X,X,X,X
JSTLZOI,X,X,X,X,X
JSTLOIZ,O,X,X,X,O
JSTLOZI,X,X,X,X,X
JSTZILO,X,X,X,X,X
JSTZIOL,X,O,X,X,X
JSTZLIO,X,X,X,X,X
JSTZLOI,X,X,X,X,X
JSTZOIL,X,O,X,X,X
JSTZOLI,X,X,X,X,X
JSTOILZ,O,X,X,X,O
JSTOIZL,O,O,X,X,X
JSTOLIZ,O,X,X,X,O
JSTOLZI,X,X,X,X,X
JSTOZIL,X,O,X,X,X
JSTOZLI,X,X,X,X,X
JSITLZO,O,X,X,X,X
JSITLOZ,O,X,X,X,O
JSITZLO,O,X,X,X,X
JSITZOL,O,O,X,X,X
JSITOLZ,O,X,X,X,O
JSITOZL,O,O,X,X,X
JSILTZO,O,X,X,X,X
JSILTOZ,O,X,X,X,O
JSILZTO,O,X,X,X,X
JSILZOT,O,X,O,X,O
JSILOTZ,O,X,X,X,O
JSILOZT,O,X,O,X,O
JSIZTLO,O,X,X,X,X
JSIZTOL,O,O,X,X,X
JSIZLTO,O,X,X,X,X
JSIZLOT,O,X,O,X,O
JSIZOTL,O,O,X,X,X
JSIZOLT,O,X,O,X,O
JSIOTLZ,O,X,X,X,O
JSIOTZL,O,O,X,X,X
JSIOLTZ,O,X,X,X,O
JSIOLZT,O,X,O,X,O
JSIOZTL,O,O,X,X,X
JSIOZLT,O,X,O,X,O
JSLTIZO,O,X,X,X,X
JSLTIOZ,O,X,X,X,O
JSLTZIO,X,X,X,X,X
JSLTZOI,X,X,X,X,X
JSLTOIZ,O,X,X,X,O
JSLTOZI,X,X,X,X,X
JSLITZO,O,X,X,X,X
JSLITOZ,O,X,X,X,O
JSLIZTO,O,X,X,X,X
JSLIZOT,O,X,O,X,O
JSLIOTZ,O,X,X,X,O
JSLIOZT,O,X,O,X,O
JSLZTIO,X,X,X,X,X
JSLZTOI,X,X,X,X,X
JSLZITO,O,X,X,X,X
JSLZIOT,O,X,O,X,O
JSLZOTI,X,X,X,X,X
JSLZOIT,O,X,O,X,O
JSLOTIZ,O,X,X,X,O
JSLOTZI,X,X,X,X,X
JSLOITZ,O,X,X,X,O
JSLOIZT,O,X,O,X,O
JSLOZTI,X,X,X,X,X
JSLOZIT,O,X,O,X,O
JSZTILO,X,X,X,X,X
JSZTIOL,X,O,X,X,X
JSZTLIO,X,X,X,X,X
JSZTLOI,X,X,X,X,X
JSZTOIL,X,O,X,X,X
JSZTOLI,X,X,X,X,X
JSZITLO,O,X,X,X,X
JSZITOL,O,O,X,X,X
JSZILTO,O,X,X,X,X
JSZILOT,O,X,O,X,O
JSZIOTL,O,O,X,X,X
JSZIOLT,O,X,O,X,O
JSZLTIO,X,X,X,X,X
JSZLTOI,X,X,X,X,X
JSZLITO,O,X,X,X,X
JSZLIOT,O,X,O,X,O
JSZLOTI,X,X,X,X,X
JSZLOIT,O,X,O,X,O
JSZOTIL,X,O,X,X,X
JSZOTLI,X,X,X,X,X
JSZOITL,O,O,X,X,X
JSZOILT,O,X,O,X,O
JSZOLTI,X,X,X,X,X
JSZOLIT,O,X,O,X,O
JSOTILZ,O,X,X,X,O
JSOTIZL,O,O,X,X,X
JSOTLIZ,O,X,X,X,O
JSOTLZI,X,X,X,X,X
JSOTZIL,X,O,X,X,X
JSOTZLI,X,X,X,X,X
JSOITLZ,O,X,X,X,O
JSOITZL,O,O,X,X,X
JSOILTZ,O,X,X,X,O
JSOILZT,O,X,O,X,O
JSOIZTL,O,O,X,X,X
JSOIZLT,O,X,O,X,O
JSOLTIZ,O,X,X,X,O
JSOLTZI,X,X,X,X,X
JSOLITZ,O,X,X,X,O
JSOLIZT,O,X,O,X,O
JSOLZTI,X,X,X,X,X
JSOLZIT,O,X,O,X,O
JSOZTIL,X,O,X,X,X
JSOZTLI,X,X,X,X,X
JSOZITL,O,O,X,X,X
JSOZILT,O,X,O,X,O
JSOZLTI,X,X,X,X,X
JSOZLIT,O,X,O,X,O
JZTILSO,X,X,X,X,X
JZTILOS,X,O,O,X,X
JZTISLO,X,X,X,X,X
JZTISOL,X,O,X,X,X
JZTIOLS,X,O,O,X,X
JZTIOSL,X,O,X,X,X
JZTLISO,X,X,X,X,X
JZTLIOS,X,O,O,X,X
JZTLSIO,X,X,X,X,X
JZTLSOI,X,X,X,X,X
JZTLOIS,X,O,O,X,X
JZTLOSI,X,X,X,X,X
JZTSILO,X,X,X,X,X
JZTSIOL,X,O,X,X,X
JZTSLIO,X,X,X,X,X
JZTSLOI,X,X,X,X,X
JZTSOIL,X,O,X,X,X
JZTSOLI,X,X,X,X,X
JZTOILS,X,O,O,X,X
JZTOISL,X,O,X,X,X
JZTOLIS,X,O,O,X,X
JZTOLSI,X,X,X,X,X
JZTOSIL,X,O,X,X,X
JZTOSLI,X,X,X,X,X
JZITLSO,X,X,X,X,X
JZITLOS,X,O,O,X,X
JZITSLO,X,X,X,X,X
JZITSOL,X,O,X,X,X
JZITOLS,X,O,O,X,X
JZITOSL,X,O,X,X,X
JZILTSO,X,X,X,X,X
JZILTOS,X,O,O,X,X
JZILSTO,X,X,X,X,X
JZILSOT,X,X,O,X,O
JZILOTS,X,O,O,O,X
JZILOST,X,X,O,O,O
JZISTLO,O,X,X,X,X
JZISTOL,O,O,X,X,X
JZISLTO,O,X,X,X,X
JZISLOT,O,X,O,X,O
JZISOTL,O,O,X,X,X
JZISOLT,O,X,O,X,O
JZIOTLS,X,O,O,O,X
JZIOTSL,X,O,X,X,X
JZIOLTS,X,O,O,O,X
JZIOLST,X,X,O,O,O
JZIOSTL,O,O,X,X,X
JZIOSLT,O,X,O,O,O
JZLTISO,X,X,X,X,X
JZLTIOS,X,O,O,X,X
JZLTSIO,X,X,X,X,X
JZLTSOI,X,X,X,X,X
JZLTOIS,X,O,O,X,X
JZLTOSI,X,X,X,X,X
JZLITSO,X,X,X,X,X
JZLITOS,X,O,O,X,X
JZLISTO,X,X,X,X,X
JZLISOT,X,X,O,X,O
JZLIOTS,X,O,O,O,X
JZLIOST,X,X,O,O,O
JZLSTIO,X,X,X,X,X
JZLSTOI,X,X,X,X,X
JZLSITO,X,X,X,X,X
JZLSIOT,X,X,O,X,O
JZLSOTI,X,X,X,X,X
JZLSOIT,X,X,O,X,O
JZLOTIS,X,O,O,O,X
JZLOTSI,X,X,X,X,X
JZLOITS,X,O,O,O,X
JZLOIST,X,X,O,O,O
JZLOSTI,X,X,X,X,X
JZLOSIT,X,X,O,O,O
JZSTILO,X,X,X,X,X
JZSTIOL,X,O,X,X,X
JZSTLIO,X,X,X,X,X
JZSTLOI,X,X,X,X,X
JZSTOIL,X,O,X,X,X
JZSTOLI,X,X,X,X,X
JZSITLO,O,X,X,X,X
JZSITOL,O,O,X,X,X
JZSILTO,O,X,X,X,X
JZSILOT,O,X,O,X,O
JZSIOTL,O,O,X,X,X
JZSIOLT,O,X,O,X,O
JZSLTIO,X,X,X,X,X
JZSLTOI,X,X,X,X,X
JZSLITO,O,X,X,X,X
JZSLIOT,O,X,O,X,O
JZSLOTI,X,X,X,X,X
JZSLOIT,O,X,O,X,O
JZSOTIL,X,O,X,X,X
JZSOTLI,X,X,X,X,X
JZSOITL,O,O,X,X,X
JZSOILT,O,X,O,X,O
JZSOLTI,X,X,X,X,X
JZSOLIT,O,X,O,X,O
JZOTILS,X,O,O,O,X
JZOTISL,X,O,X,X,X
JZOTLIS,X,O,O,O,X
JZOTLSI,X,X,X,X,X
JZOTSIL,X,O,X,X,X
JZOTSLI,X,X,X,X,X
JZOITLS,X,O,O,O,X
JZOITSL,X,O,X,X,X
JZOILTS,X,O,O,O,X
JZOILST,X,X,O,O,O
JZOISTL,O,O,X,X,X
JZOISLT,O,X,O,O,O
JZOLTIS,X,O,O,O,X
JZOLTSI,X,X,X,X,X
JZOLITS,X,O,O,O,X
JZOLIST,X,X,O,O,O
JZOLSTI,X,X,X,X,X
JZOLSIT,X,X,O,O,O
JZOSTIL,X,O,X,X,X
JZOSTLI,X,X,X,X,X
JZOSITL,O,O,X,X,X
JZOSILT,O,X,O,O,O
JZOSLTI,X,X,X,X,X
JZOSLIT,O,X,O,O,O
JOTILSZ,X,X,X,X,O
JOTILZS,X,O,O,O,X
JOTISLZ,O,X,X,X,O
JOTISZL,O,O,X,X,X
JOTIZLS,X,O,O,O,X
JOTIZSL,X,O,X,X,X
JOTLISZ,X,X,X,X,O
JOTLIZS,X,O,O,O,X
JOTLSIZ,X,X,X,X,O
JOTLSZI,X,X,X,X,X
JOTLZIS,X,O,O,O,X
JOTLZSI,X,X,X,X,X
JOTSILZ,O,X,X,X,O
JOTSIZL,O,O,X,X,X
JOTSLIZ,O,X,X,X,O
JOTSLZI,X,X,X,X,X
JOTSZIL,X,O,X,X,X
JOTSZLI,X,X,X,X,X
JOTZILS,X,O,O,O,X
JOTZISL,X,O,X,X,X
JOTZLIS,X,O,O,O,X
JOTZLSI,X,X,X,X,X
JOTZSIL,X,O,X,X,X
JOTZSLI,X,X,X,X,X
JOITLSZ,X,X,X,X,O
JOITLZS,X,O,O,O,X
JOITSLZ,O,X,X,X,O
JOITSZL,O,O,X,X,X
JOITZLS,X,O,O,O,X
JOITZSL,X,O,X,X,X
JOILTSZ,X,X,X,X,O
JOILTZS,X,O,O,O,X
JOILSTZ,O,X,X,X,O
JOILSZT,O,X,O,O,O
JOILZTS,X,O,O,O,X
JOILZST,X,X,O,O,O
JOISTLZ,O,X,X,X,O
JOISTZL,O,O,X,X,X
JOISLTZ,O,X,X,X,O
JOISLZT,O,X,O,O,O
JOISZTL,O,O,X,X,X
JOISZLT,O,X,O,O,O
JOIZTLS,X,O,O,O,X
JOIZTSL,X,O,X,X,X
JOIZLTS,X,O,O,O,X
JOIZLST,X,X,O,O,O
JOIZSTL,O,O,X,X,X
JOIZSLT,O,X,O,O,O
JOLTISZ,X,X,X,X,O
JOLTIZS,X,O,O,O,X
JOLTSIZ,X,X,X,X,O
JOLTSZI,X,X,X,X,X
JOLTZIS,X,O,O,O,X
JOLTZSI,X,X,X,X,X
JOLITSZ,X,X,X,X,O
JOLITZS,X,O,O,O,X
JOLISTZ,O,X,X,X,O
JOLISZT,O,X,O,O,O
JOLIZTS,X,O,O,O,X
JOLIZST,X,X,O,O,O
JOLSTIZ,O,X,X,X,O
JOLSTZI,X,X,X,X,X
JOLSITZ,O,X,X,X,O
JOLSIZT,O,X,O,O,O
JOLSZTI,X,X,X,X,X
JOLSZIT,O,X,O,O,O
JOLZTIS,X,O,O,O,X
JOLZTSI,X,X,X,X,X
JOLZITS,X,O,O,O,X
JOLZIST,X,X,O,O,O
JOLZSTI,X,X,X,X,X
JOLZSIT,X,X,O,O,O
JOSTILZ,O,X,X,X,O
JOSTIZL,O,O,X,X,X
JOSTLIZ,O,X,X,X,O
JOSTLZI,X,X,X,X,X
JOSTZIL,X,O,X,X,X
JOSTZLI,X,X,X,X,X
JOSITLZ,O,X,X,X,O
JOSITZL,O,O,X,X,X
JOSILTZ,O,X,X,X,O
JOSILZT,O,X,O,O,O
JOSIZTL,O,O,X,X,X
JOSIZLT,O,X,O,O,O
JOSLTIZ,O,X,X,X,O
JOSLTZI,X,X,X,X,X
JOSLITZ,O,X,X,X,O
JOSLIZT,O,X,O,O,O
JOSLZTI,X,X,X,X,X
JOSLZIT,O,X,O,O,O
JOSZTIL,X,O,X,X,X
JOSZTLI,X,X,X,X,X
JOSZITL,O,O,X,X,X
JOSZILT,O,X,O,O,O
JOSZLTI,X,X,X,X,X
JOSZLIT,O,X,O,O,O
JOZTILS,X,O,O,O,X
JOZTISL,X,O,X,X,X
JOZTLIS,X,O,O,O,X
JOZTLSI,X,X,X,X,X
JOZTSIL,X,O,X,X,X
JOZTSLI,X,X,X,X,X
JOZITLS,X,O,O,O,X
JOZITSL,X,O,X,X,X
JOZILTS,X,O,O,O,X
JOZILST,X,X,O,O,O
JOZISTL,O,O,X,X,X
JOZISLT,O,X,O,O,O
JOZLTIS,X,O,O,O,X
JOZLTSI,X,X,X,X,X
JOZLITS,X,O,O,O,X
JOZLIST,X,X,O,O,O
JOZLSTI,X,X,X,X,X
JOZLSIT,X,X,O,O,O
JOZSTIL,X,O,X,X,X
JOZSTLI,X,X,X,X,X
JOZSITL,O,O,X,X,X
JOZSILT,O,X,O,O,O
JOZSLTI,X,X,X,X,X
JOZSLIT,O,X,O,O,O
STILJZO,O,X,X,X,X
STILJOZ,O,X,X,X,X
STILZJO,X,X,X,X,X
STILZOJ,X,X,X,X,X
STILOJZ,O,X,X,X,X
STILOZJ,X,X,X,X,X
STIJLZO,O,X,X,X,X
STIJLOZ,O,X,X,X,X
STIJZLO,O,X,X,X,X
STIJZOL,O,O,X,X,X
STIJOLZ,O,X,X,X,X
STIJOZL,O,O,X,X,X
STIZLJO,X,X,X,X,X
STIZLOJ,X,X,X,X,X
STIZJLO,X,X,X,X,X
STIZJOL,X,O,X,X,X
STIZOLJ,X,X,X,X,X
STIZOJL,X,X,X,X,X
STIOLJZ,O,X,X,X,X
STIOLZJ,X,X,X,X,X
STIOJLZ,O,X,X,X,X
STIOJZL,O,O,X,X,X
STIOZLJ,X,X,X,X,X
STIOZJL,X,X,X,X,X
STLIJZO,O,X,X,X,X
STLIJOZ,O,X,X,X,X
STLIZJO,X,X,X,X,X
STLIZOJ,X,X,X,X,X
STLIOJZ,O,X,X,X,X
STLIOZJ,X,X,X,X,X
STLJIZO,O,X,X,X,X
STLJIOZ,O,X,X,X,X
STLJZIO,X,X,X,X,X
STLJZOI,X,X,X,X,X
STLJOIZ,O,X,X,X,X
STLJOZI,X,X,X,X,X
STLZIJO,X,X,X,X,X
STLZIOJ,X,X,X,X,X
STLZJIO,X,X,X,X,X
STLZJOI,X,X,X,X,X
STLZOIJ,X,X,X,X,X
STLZOJI,X,X,X,X,X
STLOIJZ,O,X,X,X,X
STLOIZJ,X,X,X,X,X
STLOJIZ,O,X,X,X,X
STLOJZI,X,X,X,X,X
STLOZIJ,X,X,X,X,X
STLOZJI,X,X,X,X,X
STJILZO,O,X,X,X,X
STJILOZ,O,X,X,X,X
STJIZLO,O,X,X,X,X
STJIZOL,O,O,X,X,X
STJIOLZ,O,X,X,X,X
STJIOZL,O,O,X,X,X
STJLIZO,O,X,X,X,X
STJLIOZ,O,X,X,X,X
STJLZIO,X,X,X,X,X
STJLZOI,X,X,X,X,X
STJLOIZ,O,X,X,X,X
STJLOZI,X,X,X,X,X
STJZILO,X,X,X,X,X
STJZIOL,X,O,X,X,X
STJZLIO,X,X,X,X,X
STJZLOI,X,X,X,X,X
STJZOIL,X,O,X,X,X
STJZOLI,X,X,X,X,X
STJOILZ,O,X,X,X,X
STJOIZL,O,O,X,X,X
STJOLIZ,O,X,X,X,X
STJOLZI,X,X,X,X,X
STJOZIL,X,O,X,X,X
STJOZLI,X,X,X,X,X
STZILJO,X,X,X,X,X
STZILOJ,X,X,X,X,X
STZIJLO,X,X,X,X,X
STZIJOL,X,O,X,X,X
STZIOLJ,X,X,X,X,X
STZIOJL,X,X,X,X,X
STZLIJO,X,X,X,X,X
STZLIOJ,X,X,X,X,X
STZLJIO,X,X,X,X,X
STZLJOI,X,X,X,X,X
STZLOIJ,X,X,X,X,X
STZLOJI,X,X,X,X,X
STZJILO,X,X,X,X,X
STZJIOL,X,O,X,X,X
STZJLIO,X,X,X,X,X
STZJLOI,X,X,X,X,X
STZJOIL,X,O,X,X,X
STZJOLI,X,X,X,X,X
STZOILJ,X,X,X,X,X
STZOIJL,X,X,X,X,X
STZOLIJ,X,X,X,X,X
STZOLJI,X,X,X,X,X
STZOJIL,X,X,X,X,X
STZOJLI,X,X,X,X,X
STOILJZ,O,X,X,X,X
STOILZJ,X,X,X,X,X
STOIJLZ,O,X,X,X,X
STOIJZL,O,O,X,X,X
STOIZLJ,X,X,X,X,X
STOIZJL,X,X,X,X,X
STOLIJZ,O,X,X,X,X
STOLIZJ,X,X,X,X,X
STOLJIZ,O,X,X,X,X
STOLJZI,X,X,X,X,X
STOLZIJ,X,X,X,X,X
STOLZJI,X,X,X,X,X
STOJILZ,O,X,X,X,X
STOJIZL,O,O,X,X,X
STOJLIZ,O,X,X,X,X
STOJLZI,X,X,X,X,X
STOJZIL,X,O,X,X,X
STOJZLI,X,X,X,X,X
STOZILJ,X,X,X,X,X
STOZIJL,X,X,X,X,X
STOZLIJ,X,X,X,X,X
STOZLJI,X,X,X,X,X
STOZJIL,X,X,X,X,X
STOZJLI,X,X,X,X,X
SITLJZO,O,X,X,X,X
SITLJOZ,O,X,X,X,X
SITLZJO,X,X,X,X,X
SITLZOJ,X,X,X,X,X
SITLOJZ,O,X,X,X,X
SITLOZJ,X,X,X,X,X
SITJLZO,O,X,X,X,X
SITJLOZ,O,X,X,X,X
SITJZLO,O,X,X,X,X
SITJZOL,O,O,X,X,X
SITJOLZ,O,X,X,X,X
SITJOZL,O,O,X,X,X
SITZLJO,X,X,X,X,X
SITZLOJ,X,X,X,X,X
SITZJLO,X,X,X,X,X
SITZJOL,X,O,X,X,X
SITZOLJ,X,X,X,X,X
SITZOJL,X,X,X,X,X
SITOLJZ,O,X,X,X,X
SITOLZJ,X,X,X,X,X
SITOJLZ,O,X,X,X,X
SITOJZL,O,O,X,X,X
SITOZLJ,X,X,X,X,X
SITOZJL,X,X,X,X,X
SILTJZO,O,X,X,X,X
SILTJOZ,O,X,X,X,X
SILTZJO,X,X,X,X,X
SILTZOJ,X,X,X,X,X
SILTOJZ,O,X,X,X,X
SILTOZJ,X,X,X,X,X
SILJTZO,O,X,X,X,X
SILJTOZ,O,X,X,X,O
SILJZTO,O,X,X,X,X
