sequence,v115@RhD8DeG8DeA8JeT/IvhFxgBVnBmlBCsBctB3sB,v115@RhD8DeG8DeA8Je2EJvhFRgBzhBUmBXsBCtBFtB,v115@RhD8DeG8DeA8JeT/IvhF2lBRhB3iB1rBSxBctB,v115@RhD8DeG8DeA8JeT/IvhFigBRiBFmBGsBctBXsB,v115@RhD8DeG8DeA8JeT/IvhFxgBliBmlBqrB/sBctB,v115@RhD8DeG8DeA8JeT/IvhFxgBmlBCnBXsBctBlsB,v115@RhD8DeG8DeA8JeT/IvhFxgB8mBmlBXsBCtBFtB,v115@RhD8DeG8DeA8JeT/IvhFigBFmBxnBurBcsBXtB,v115@RhD8DeG8DeA8JeT/IvhF2lB8mBSoBFmB3nBRxB,v115@RhD8DeG8DeA8Jei/IvhFliBRlB3mBTsBctBGrB,v115@RhD8DeG8DeA8JeT/IvhFxlB8rBCoBmlBFsBXtB
TLSZIJO,X,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,O,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,X,X,X,X,X,X,X
TLSZOJI,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,O,O,O,X,X,X,X,X,X
TLSOJZI,O,X,O,O,O,X,X,X,X,X,X
TLSOZIJ,X,X,O,X,X,X,X,X,X,X,X
TLSOZJI,X,X,O,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,X,X,X,X,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X,X,X,X,X
TLZISJO,X,X,O,X,X,X,X,X,X,X,X
TLZISOJ,X,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,X,O,X,X,X,X,O,X,X,O
TLZIOSJ,X,X,O,X,X,X,X,O,X,X,X
TLZJISO,O,X,O,O,X,X,X,X,X,X,X
TLZJIOS,O,X,O,O,X,X,X,X,X,X,X
TLZJSIO,O,X,O,O,X,X,X,X,X,X,X
