sequence,v115@QhB8FeE8CeE8Jem/IvhFtlBxhBXjB0kBzmByvB,v115@QhB8FeE8CeE8Jex/IvhF6mBOnBXjB0kBdrBTqB,v115@QhB8FeE8CeE8Je/EJvhFUgBGhBxiBNrBinBTqB,v115@QhB8FeE8CeE8JeT/IvhF/lBGhBxiBNrBinBUqB,v115@QhB8FeE8CeE8JeT/IvhF9mBOnBXjBRqB0qBiqB
TZIOJLS,X,O,X,X,O
TZIOJSL,X,O,O,O,O
TZIOSLJ,X,O,O,O,X
TZIOSJL,X,O,O,O,O
TZLIJSO,X,O,O,O,X
TZLIJOS,X,O,O,O,X
TZLISJO,X,O,O,O,X
TZLISOJ,X,O,O,O,X
TZLIOJS,X,O,O,O,X
TZLIOSJ,X,O,O,O,X
TZLJISO,X,O,O,O,X
TZLJIOS,X,O,O,O,X
TZLJSIO,X,O,O,O,X
TZLJSOI,X,O,O,O,X
TZLJOIS,X,O,O,O,X
TZLJOSI,X,O,O,O,X
TZLSIJO,X,O,O,O,X
TZLSIOJ,X,O,O,O,X
TZLSJIO,X,O,O,O,X
TZLSJOI,X,O,O,O,X
TZLSOIJ,X,O,O,O,X
TZLSOJI,X,O,O,O,X
TZLOIJS,X,O,O,O,X
TZLOISJ,X,O,O,O,X
TZLOJIS,X,O,O,O,X
TZLOJSI,X,O,O,O,X
TZLOSIJ,X,O,O,O,X
TZLOSJI,X,O,O,O,X
TZJILSO,X,O,X,X,O
TZJILOS,X,O,X,X,O
TZJISLO,X,O,O,O,O
TZJISOL,X,O,O,O,O
TZJIOLS,X,O,X,X,O
TZJIOSL,X,O,O,O,O
TZJLISO,X,O,O,O,X
TZJLIOS,X,O,O,O,X
TZJLSIO,X,O,O,O,X
TZJLSOI,X,O,O,O,X
TZJLOIS,X,O,O,O,X
TZJLOSI,X,O,O,O,X
TZJSILO,X,O,O,O,O
TZJSIOL,X,O,O,O,O
TZJSLIO,X,O,O,O,X
TZJSLOI,X,O,O,O,X
TZJSOIL,X,O,O,O,O
TZJSOLI,O,O,O,O,X
TZJOILS,X,O,X,X,O
TZJOISL,X,O,O,O,O
TZJOLIS,O,O,O,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,X,O,O,O,O
TZJOSLI,O,O,O,O,X
TZSILJO,X,O,O,O,X
TZSILOJ,X,O,O,O,X
TZSIJLO,X,O,O,O,O
TZSIJOL,X,O,O,O,O
TZSIOLJ,X,O,O,O,X
TZSIOJL,X,O,O,O,O
TZSLIJO,X,O,O,O,X
TZSLIOJ,X,O,O,O,X
TZSLJIO,X,O,O,O,X
TZSLJOI,X,O,O,O,X
TZSLOIJ,X,O,O,O,X
TZSLOJI,X,O,O,O,X
TZSJILO,X,O,O,O,O
TZSJIOL,X,O,O,O,O
TZSJLIO,X,O,O,O,X
TZSJLOI,X,O,O,O,X
TZSJOIL,X,O,O,O,O
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,O,O,X
TZSOIJL,X,O,O,O,O
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,O,O,X
TZSOJIL,X,O,O,O,O
TZSOJLI,O,O,O,O,X
TZOILJS,O,O,X,O,X
TZOILSJ,O,O,X,O,X
TZOIJLS,X,O,X,X,O
TZOIJSL,X,O,O,O,O
TZOISLJ,O,O,O,O,X
TZOISJL,X,O,O,O,O
TZOLIJS,O,O,O,O,X
TZOLISJ,O,O,O,O,X
TZOLJIS,O,O,O,O,X
TZOLJSI,O,O,O,O,X
TZOLSIJ,O,O,O,O,X
TZOLSJI,O,O,O,O,X
TZOJILS,X,O,X,X,O
TZOJISL,X,O,O,O,O
TZOJLIS,O,O,O,O,X
TZOJLSI,O,O,O,O,X
TZOJSIL,X,O,O,O,O
TZOJSLI,O,O,O,O,X
TZOSILJ,O,O,O,O,X
TZOSIJL,X,O,O,O,O
TZOSLIJ,O,O,O,O,X
TZOSLJI,O,O,O,O,X
TZOSJIL,X,O,O,O,O
TZOSJLI,O,O,O,O,X
TOILJSZ,O,X,O,X,O
TOILJZS,O,X,O,O,O
TOILSJZ,O,X,O,X,O
TOILSZJ,O,X,O,O,X
TOILZJS,O,X,O,O,X
TOILZSJ,O,X,O,O,X
TOIJLSZ,X,X,O,X,O
TOIJLZS,X,X,O,X,O
TOIJSLZ,X,X,O,X,O
TOIJSZL,X,X,O,X,O
TOIJZLS,X,X,X,X,O
TOIJZSL,X,X,O,O,O
TOISLJZ,O,X,O,X,O
TOISLZJ,O,X,O,X,X
TOISJLZ,X,X,O,X,O
TOISJZL,X,X,O,X,O
TOISZLJ,O,X,O,O,X
TOISZJL,X,X,O,O,O
TOIZLJS,O,X,X,O,X
TOIZLSJ,O,X,X,O,X
TOIZJLS,X,X,X,X,O
TOIZJSL,X,X,O,O,O
TOIZSLJ,O,X,O,O,X
TOIZSJL,X,X,O,O,O
TOLIJSZ,O,X,O,X,O
TOLIJZS,O,X,O,O,O
TOLISJZ,O,X,O,X,O
TOLISZJ,O,X,O,O,X
TOLIZJS,O,X,O,O,X
TOLIZSJ,O,X,O,O,X
TOLJISZ,O,X,O,X,O
TOLJIZS,O,X,O,O,O
TOLJSIZ,O,X,O,X,O
TOLJSZI,O,O,O,X,X
TOLJZIS,O,O,O,O,X
TOLJZSI,O,O,O,O,X
TOLSIJZ,O,X,O,X,O
TOLSIZJ,O,X,O,O,X
TOLSJIZ,O,X,O,X,O
TOLSJZI,O,O,O,X,X
TOLSZIJ,O,O,O,O,X
TOLSZJI,O,O,O,O,X
TOLZIJS,O,O,O,O,X
TOLZISJ,O,O,O,O,X
TOLZJIS,O,O,O,O,X
TOLZJSI,O,O,O,O,X
TOLZSIJ,O,O,O,O,X
