sequence,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFOmB8mBziB5?oBqqBlsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFVmBUiBaoB5?oBzqBGsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeiBJvhFziB5oBGlB3?mBlsB0qB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFOmBliB5oBq?qBzmB8sB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhF0hB5oBuqBz?nBirBlsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeVFJvhFRhBGjB0mB6?sB/tBzqB
TISZOLJ,O,X,O,O,X,X
TISZOJL,O,X,X,X,X,O
TISOLJZ,O,O,O,X,X,O
TISOLZJ,O,O,O,X,X,X
TISOJLZ,O,O,O,X,O,O
TISOJZL,X,O,O,X,O,O
TISOZLJ,O,O,O,X,X,X
TISOZJL,O,O,X,X,X,X
TIZLJSO,O,X,X,O,X,O
TIZLJOS,O,X,X,O,X,X
TIZLSJO,O,X,X,O,X,O
TIZLSOJ,O,X,X,O,X,O
TIZLOJS,O,X,X,O,X,X
TIZLOSJ,O,X,X,O,X,O
TIZJLSO,O,X,X,O,X,X
TIZJLOS,O,X,X,O,X,X
TIZJSLO,O,X,O,O,X,O
TIZJSOL,O,X,O,X,X,O
TIZJOLS,O,X,X,O,X,X
TIZJOSL,O,X,O,O,X,X
TIZSLJO,O,X,O,O,X,O
TIZSLOJ,O,X,O,O,X,O
TIZSJLO,O,X,X,O,X,O
TIZSJOL,O,X,X,X,X,O
TIZSOLJ,O,X,O,O,X,X
TIZSOJL,O,X,X,O,X,O
TIZOLJS,O,X,X,O,X,X
TIZOLSJ,O,X,X,O,X,X
TIZOJLS,O,X,X,O,X,X
TIZOJSL,O,X,O,O,X,X
TIZOSLJ,O,X,O,O,X,X
TIZOSJL,O,X,X,O,X,O
TIOLJSZ,O,O,O,O,O,X
TIOLJZS,O,O,X,O,O,X
TIOLSJZ,O,O,O,O,X,O
TIOLSZJ,O,O,O,O,X,X
TIOLZJS,O,O,X,O,X,X
TIOLZSJ,O,O,X,O,X,X
TIOJLSZ,O,O,O,O,O,X
TIOJLZS,O,O,X,O,O,X
TIOJSLZ,O,O,O,X,O,X
TIOJSZL,X,O,O,X,O,X
TIOJZLS,O,O,X,O,X,X
TIOJZSL,O,O,O,O,O,X
TIOSLJZ,O,O,O,X,X,O
TIOSLZJ,O,O,O,X,X,X
TIOSJLZ,O,O,O,X,O,O
TIOSJZL,X,O,O,X,O,O
TIOSZLJ,O,O,O,X,X,X
TIOSZJL,O,O,X,X,X,X
TIOZLJS,O,O,X,O,X,X
TIOZLSJ,O,O,X,O,X,X
TIOZJLS,O,O,X,O,X,X
TIOZJSL,O,O,O,O,X,X
TIOZSLJ,O,O,O,O,X,X
TIOZSJL,O,O,X,O,X,O
TLIJSZO,O,O,O,O,O,O
TLIJSOZ,O,O,O,O,O,O
TLIJZSO,O,O,X,O,O,X
TLIJZOS,O,O,X,O,O,X
TLIJOSZ,O,O,O,O,O,X
TLIJOZS,O,O,X,O,O,X
TLISJZO,O,O,O,O,X,O
TLISJOZ,O,O,O,O,X,O
TLISZJO,O,X,O,O,X,O
TLISZOJ,O,X,O,O,X,O
TLISOJZ,O,O,O,O,X,O
TLISOZJ,O,O,O,O,X,X
TLIZJSO,O,X,X,O,X,O
TLIZJOS,O,X,X,O,X,X
TLIZSJO,O,X,X,O,X,O
TLIZSOJ,O,X,X,O,X,O
TLIZOJS,O,X,X,O,X,X
TLIZOSJ,O,X,X,O,X,O
TLIOJSZ,O,O,O,O,O,X
TLIOJZS,O,O,X,O,O,X
TLIOSJZ,O,O,O,O,X,O
TLIOSZJ,O,O,O,O,X,X
TLIOZJS,O,O,X,O,X,X
TLIOZSJ,O,O,X,O,X,X
TLJISZO,O,O,O,O,O,O
TLJISOZ,O,O,O,O,O,O
TLJIZSO,O,O,X,O,O,X
TLJIZOS,O,O,X,O,O,X
TLJIOSZ,O,O,O,O,O,X
TLJIOZS,O,O,X,O,O,X
TLJSIZO,O,O,O,O,O,O
TLJSIOZ,O,O,O,O,O,O
TLJSZIO,O,O,O,O,O,O
TLJSZOI,O,O,O,O,O,O
TLJSOIZ,O,O,O,O,O,O
TLJSOZI,O,O,O,O,O,O
TLJZISO,O,O,X,O,O,O
TLJZIOS,O,O,X,O,O,X
TLJZSIO,O,O,X,O,O,O
TLJZSOI,O,O,X,O,O,O
TLJZOIS,O,O,X,O,O,X
TLJZOSI,O,O,X,O,O,X
TLJOISZ,O,O,O,O,O,X
TLJOIZS,O,O,X,O,O,X
TLJOSIZ,O,O,O,O,O,X
TLJOSZI,O,O,O,O,O,X
TLJOZIS,O,O,X,O,O,X
TLJOZSI,O,O,X,O,O,X
TLSIJZO,O,O,O,O,X,O
TLSIJOZ,O,O,O,O,X,O
TLSIZJO,O,X,O,O,X,O
TLSIZOJ,O,X,O,O,X,O
TLSIOJZ,O,O,O,O,X,O
TLSIOZJ,O,O,O,O,X,X
TLSJIZO,O,O,O,O,X,O
TLSJIOZ,O,O,O,O,X,O
TLSJZIO,O,O,O,O,X,O
TLSJZOI,O,O,O,O,X,O
TLSJOIZ,O,O,O,O,X,O
TLSJOZI,O,O,O,O,X,O
TLSZIJO,O,X,O,O,X,O
TLSZIOJ,O,X,O,O,X,O
TLSZJIO,O,X,O,O,X,O
TLSZJOI,O,X,O,O,X,O
TLSZOIJ,O,X,O,O,X,O
TLSZOJI,O,X,O,O,X,O
TLSOIJZ,O,O,O,O,X,O
TLSOIZJ,O,O,O,O,X,O
TLSOJIZ,O,O,O,O,X,O
TLSOJZI,O,O,O,O,X,O
TLSOZIJ,O,O,O,O,X,O
TLSOZJI,O,O,O,O,X,O
TLZIJSO,O,X,X,O,X,O
TLZIJOS,O,X,X,O,X,X
TLZISJO,O,X,X,O,X,O
TLZISOJ,O,X,X,O,X,O
TLZIOJS,O,X,X,O,X,X
TLZIOSJ,O,X,X,O,X,O
TLZJISO,O,X,X,O,X,O
TLZJIOS,O,X,X,O,X,X
TLZJSIO,O,X,X,O,X,O
TLZJSOI,O,X,X,O,X,O
TLZJOIS,O,X,X,O,X,X
TLZJOSI,O,X,X,O,X,X
TLZSIJO,O,X,X,O,X,O
TLZSIOJ,O,X,X,O,X,O
TLZSJIO,O,X,X,O,X,O
TLZSJOI,O,X,X,O,X,O
TLZSOIJ,O,X,X,O,X,O
TLZSOJI,O,X,X,O,X,O
TLZOIJS,O,X,X,O,X,X
TLZOISJ,O,X,X,O,X,O
TLZOJIS,O,X,X,O,X,X
TLZOJSI,O,X,X,O,X,X
TLZOSIJ,O,X,X,O,X,O
TLZOSJI,O,X,X,O,X,O
TLOIJSZ,O,O,O,O,O,O
TLOIJZS,O,O,X,O,O,X
TLOISJZ,O,O,O,O,X,O
TLOISZJ,O,O,O,O,X,O
TLOIZJS,O,O,X,O,X,O
TLOIZSJ,O,O,X,O,X,O
TLOJISZ,O,O,O,O,O,O
TLOJIZS,O,O,X,O,O,X
TLOJSIZ,O,O,O,O,O,O
TLOJSZI,O,O,O,O,O,O
TLOJZIS,O,O,X,O,O,O
TLOJZSI,O,O,X,O,O,O
TLOSIJZ,O,O,O,O,X,O
TLOSIZJ,O,O,O,O,X,O
TLOSJIZ,O,O,O,O,X,O
TLOSJZI,O,O,O,O,X,O
TLOSZIJ,O,O,O,O,X,O
TLOSZJI,O,O,O,O,X,O
TLOZIJS,O,O,X,O,X,O
TLOZISJ,O,O,X,O,X,O
TLOZJIS,O,O,X,O,X,O
TLOZJSI,O,O,X,O,X,O
TLOZSIJ,O,O,X,O,X,O
TLOZSJI,O,O,X,O,X,O
TJILSZO,O,O,O,X,O,O
TJILSOZ,O,O,O,X,O,O
TJILZSO,O,O,X,X,O,X
TJILZOS,O,O,X,X,O,X
TJILOSZ,O,O,O,X,O,X
TJILOZS,O,O,X,X,O,X
TJISLZO,O,O,O,X,O,O
TJISLOZ,O,O,O,X,O,O
TJISZLO,X,O,O,X,O,O
TJISZOL,X,O,O,X,O,O
TJISOLZ,O,O,O,X,O,O
TJISOZL,X,O,O,X,O,O
TJIZLSO,O,O,X,X,O,X
TJIZLOS,O,O,X,X,O,X
TJIZSLO,O,O,O,X,O,O
TJIZSOL,O,O,O,X,O,O
TJIZOLS,O,O,X,X,X,X
TJIZOSL,O,O,O,X,O,X
TJIOLSZ,O,O,O,X,O,X
TJIOLZS,O,O,X,X,O,X
TJIOSLZ,O,O,O,X,O,X
TJIOSZL,X,O,O,X,O,X
TJIOZLS,O,O,X,X,X,X
TJIOZSL,O,O,O,X,O,X
TJLISZO,O,O,O,X,O,O
TJLISOZ,O,O,O,X,O,O
TJLIZSO,O,O,X,X,O,X
TJLIZOS,O,O,X,X,O,X
TJLIOSZ,O,O,O,X,O,X
TJLIOZS,O,O,X,X,O,X
TJLSIZO,O,O,O,X,O,O
TJLSIOZ,O,O,O,X,O,O
TJLSZIO,O,O,O,X,O,O
TJLSZOI,O,O,O,X,O,O
TJLSOIZ,O,O,O,X,O,O
TJLSOZI,O,O,O,X,O,O
TJLZISO,O,O,X,X,O,O
TJLZIOS,O,O,X,X,O,X
TJLZSIO,O,O,X,X,O,O
TJLZSOI,O,O,X,X,O,O
TJLZOIS,O,O,X,X,O,X
TJLZOSI,O,O,X,X,O,X
TJLOISZ,O,O,O,X,O,X
TJLOIZS,O,O,X,X,O,X
TJLOSIZ,O,O,O,X,O,X
TJLOSZI,O,O,O,X,O,X
TJLOZIS,O,O,X,X,O,X
TJLOZSI,O,O,X,X,O,X
TJSILZO,O,O,O,X,O,O
TJSILOZ,O,O,O,X,O,O
TJSIZLO,X,O,O,X,O,O
TJSIZOL,X,O,O,X,O,O
TJSIOLZ,O,O,O,X,O,O
TJSIOZL,X,O,O,X,O,O
TJSLIZO,O,O,O,X,O,O
TJSLIOZ,O,O,O,X,O,O
TJSLZIO,O,O,O,X,O,O
TJSLZOI,O,O,O,X,O,O
TJSLOIZ,O,O,O,X,O,O
TJSLOZI,O,O,O,X,O,O
TJSZILO,X,O,O,X,O,O
TJSZIOL,X,O,O,X,O,O
TJSZLIO,X,O,O,X,O,O
TJSZLOI,X,O,O,X,O,O
TJSZOIL,X,O,O,X,O,O
TJSZOLI,X,O,O,X,X,X
TJSOILZ,O,O,O,X,O,O
TJSOIZL,X,O,O,X,O,O
TJSOLIZ,O,O,O,X,O,O
TJSOLZI,O,O,O,X,O,O
TJSOZIL,X,O,O,X,O,O
TJSOZLI,X,O,O,X,X,X
TJZILSO,O,O,X,X,O,X
TJZILOS,O,O,X,X,O,X
TJZISLO,O,O,O,X,O,O
TJZISOL,O,O,O,X,O,O
TJZIOLS,O,O,X,X,X,X
TJZIOSL,O,O,O,X,O,X
TJZLISO,O,O,X,X,O,O
TJZLIOS,O,O,X,X,O,X
TJZLSIO,O,O,X,X,O,O
TJZLSOI,O,O,X,X,O,O
TJZLOIS,O,O,X,X,O,X
TJZLOSI,O,O,X,X,O,X
TJZSILO,O,O,O,X,O,O
TJZSIOL,O,O,O,X,O,O
TJZSLIO,O,O,O,X,O,O
TJZSLOI,O,O,O,X,O,O
TJZSOIL,O,O,O,X,O,O
TJZSOLI,O,O,O,X,X,X
TJZOILS,O,O,X,X,X,X
TJZOISL,O,O,O,X,O,X
TJZOLIS,O,O,X,X,X,X
TJZOLSI,O,O,X,X,X,X
TJZOSIL,O,O,O,X,O,X
TJZOSLI,O,O,O,X,X,X
TJOILSZ,O,O,O,X,O,X
TJOILZS,O,O,X,X,O,X
TJOISLZ,O,O,O,X,O,X
TJOISZL,X,O,O,X,O,X
TJOIZLS,O,O,X,X,X,X
TJOIZSL,O,O,O,X,O,X
TJOLISZ,O,O,O,X,O,X
TJOLIZS,O,O,X,X,O,X
TJOLSIZ,O,O,O,X,O,X
TJOLSZI,O,O,O,X,O,X
TJOLZIS,O,O,X,X,O,X
TJOLZSI,O,O,X,X,O,X
TJOSILZ,O,O,O,X,O,X
TJOSIZL,X,O,O,X,O,X
TJOSLIZ,O,O,O,X,O,X
TJOSLZI,O,O,O,X,O,X
TJOSZIL,X,O,O,X,O,X
TJOSZLI,X,O,O,X,X,X
TJOZILS,O,O,X,X,X,X
TJOZISL,O,O,O,X,O,X
TJOZLIS,O,O,X,X,X,X
TJOZLSI,O,O,X,X,X,X
TJOZSIL,O,O,O,X,O,X
TJOZSLI,O,O,O,X,X,X
TSILJZO,O,O,O,O,X,O
TSILJOZ,O,O,O,O,X,O
TSILZJO,O,X,O,O,X,O
TSILZOJ,O,X,O,O,X,O
TSILOJZ,O,O,O,O,X,O
TSILOZJ,O,O,O,O,X,X
TSIJLZO,O,O,O,X,O,O
TSIJLOZ,O,O,O,X,O,O
TSIJZLO,X,O,O,X,O,O
TSIJZOL,X,O,O,X,O,O
TSIJOLZ,O,O,O,X,O,O
TSIJOZL,X,O,O,X,O,O
TSIZLJO,O,X,O,O,X,O
TSIZLOJ,O,X,O,O,X,O
TSIZJLO,O,X,X,O,X,O
TSIZJOL,O,X,X,X,X,O
TSIZOLJ,O,X,O,O,X,X
TSIZOJL,O,X,X,X,X,O
TSIOLJZ,O,O,O,X,X,O
TSIOLZJ,O,O,O,X,X,X
TSIOJLZ,O,O,O,X,O,O
TSIOJZL,X,O,O,X,O,O
TSIOZLJ,O,O,O,X,X,X
TSIOZJL,O,O,X,X,X,X
TSLIJZO,O,O,O,O,X,O
TSLIJOZ,O,O,O,O,X,O
TSLIZJO,O,X,O,O,X,O
TSLIZOJ,O,X,O,O,X,O
TSLIOJZ,O,O,O,O,X,O
TSLIOZJ,O,O,O,O,X,X
TSLJIZO,O,O,O,O,X,O
TSLJIOZ,O,O,O,O,X,O
TSLJZIO,O,O,O,O,X,O
TSLJZOI,O,O,O,O,X,O
TSLJOIZ,O,O,O,O,X,O
TSLJOZI,O,O,O,O,X,O
TSLZIJO,O,X,O,O,X,O
TSLZIOJ,O,X,O,O,X,O
TSLZJIO,O,X,O,O,X,O
TSLZJOI,O,X,O,O,X,O
TSLZOIJ,O,X,O,O,X,O
TSLZOJI,O,X,O,O,X,O
TSLOIJZ,O,O,O,O,X,O
TSLOIZJ,O,O,O,O,X,O
TSLOJIZ,O,O,O,O,X,O
TSLOJZI,O,O,O,O,X,O
TSLOZIJ,O,O,O,O,X,O
TSLOZJI,O,O,O,O,X,O
TSJILZO,O,O,O,X,O,O
TSJILOZ,O,O,O,X,O,O
TSJIZLO,X,O,O,X,O,O
TSJIZOL,X,O,O,X,O,O
TSJIOLZ,O,O,O,X,O,O
TSJIOZL,X,O,O,X,O,O
TSJLIZO,O,O,O,X,O,O
TSJLIOZ,O,O,O,X,O,O
TSJLZIO,O,O,O,X,O,O
TSJLZOI,O,O,O,X,O,O
TSJLOIZ,O,O,O,X,O,O
TSJLOZI,O,O,O,X,O,O
TSJZILO,X,O,O,X,O,O
TSJZIOL,X,O,O,X,O,O
TSJZLIO,X,O,O,X,O,O
TSJZLOI,X,O,O,X,O,O
TSJZOIL,X,O,O,X,O,O
TSJZOLI,X,O,O,X,X,X
TSJOILZ,O,O,O,X,O,O
TSJOIZL,X,O,O,X,O,O
TSJOLIZ,O,O,O,X,O,O
TSJOLZI,O,O,O,X,O,O
TSJOZIL,X,O,O,X,O,O
TSJOZLI,X,O,O,X,X,O
TSZILJO,O,X,O,O,X,O
TSZILOJ,O,X,O,O,X,O
TSZIJLO,O,X,X,O,X,O
TSZIJOL,O,X,X,X,X,O
TSZIOLJ,O,X,O,O,X,X
TSZIOJL,O,X,X,X,X,O
TSZLIJO,O,X,O,O,X,O
TSZLIOJ,O,X,O,O,X,O
TSZLJIO,O,X,O,O,X,O
TSZLJOI,O,X,O,O,X,O
TSZLOIJ,O,X,O,O,X,O
TSZLOJI,O,X,O,O,X,O
TSZJILO,O,X,X,O,X,O
TSZJIOL,O,X,X,X,X,O
TSZJLIO,O,X,X,O,X,O
TSZJLOI,O,X,X,O,X,O
TSZJOIL,O,X,X,X,X,O
TSZJOLI,O,X,X,X,X,X
TSZOILJ,O,X,O,O,X,X
TSZOIJL,O,X,X,X,X,O
TSZOLIJ,O,X,O,O,X,O
TSZOLJI,O,X,O,O,X,O
TSZOJIL,O,X,X,X,X,O
TSZOJLI,O,X,X,X,X,X
TSOILJZ,O,O,O,X,X,O
TSOILZJ,O,O,O,X,X,O
TSOIJLZ,O,O,O,X,O,O
TSOIJZL,X,O,O,X,O,O
TSOIZLJ,O,O,O,X,X,O
TSOIZJL,O,O,X,X,X,O
TSOLIJZ,O,O,O,X,X,O
TSOLIZJ,O,O,O,X,X,O
TSOLJIZ,O,O,O,X,X,O
TSOLJZI,O,O,O,X,X,O
TSOLZIJ,O,O,O,X,X,O
TSOLZJI,O,O,O,X,X,O
TSOJILZ,O,O,O,X,O,O
TSOJIZL,X,O,O,X,O,O
TSOJLIZ,O,O,O,X,O,O
TSOJLZI,O,O,O,X,O,O
TSOJZIL,X,O,O,X,O,O
TSOJZLI,X,O,O,X,X,O
TSOZILJ,O,O,O,X,X,O
TSOZIJL,O,O,X,X,X,O
TSOZLIJ,O,O,O,X,X,O
TSOZLJI,O,O,O,X,X,O
TSOZJIL,O,O,X,X,X,O
TSOZJLI,O,O,X,X,X,O
TZILJSO,O,X,X,O,X,O
TZILJOS,O,X,X,O,X,X
TZILSJO,O,X,X,O,X,O
TZILSOJ,O,X,X,O,X,O
TZILOJS,O,X,X,O,X,X
TZILOSJ,O,X,X,O,X,O
TZIJLSO,O,X,X,O,X,X
TZIJLOS,O,X,X,O,X,X
TZIJSLO,O,X,O,O,X,O
TZIJSOL,O,X,O,X,X,O
TZIJOLS,O,X,X,O,X,X
TZIJOSL,O,X,O,O,X,X
TZISLJO,O,X,O,O,X,O
TZISLOJ,O,X,O,O,X,O
TZISJLO,O,X,X,O,X,O
TZISJOL,O,X,X,X,X,O
TZISOLJ,O,X,O,O,X,X
TZISOJL,O,X,X,O,X,O
TZIOLJS,O,X,X,O,X,X
TZIOLSJ,O,X,X,O,X,X
TZIOJLS,O,X,X,O,X,X
TZIOJSL,O,X,O,O,X,X
TZIOSLJ,O,X,O,O,X,X
TZIOSJL,O,X,X,O,X,O
TZLIJSO,O,X,X,O,X,O
TZLIJOS,O,X,X,O,X,X
TZLISJO,O,X,X,O,X,O
TZLISOJ,O,X,X,O,X,O
TZLIOJS,O,X,X,O,X,X
TZLIOSJ,O,X,X,O,X,O
TZLJISO,O,X,X,O,X,O
TZLJIOS,O,X,X,O,X,X
TZLJSIO,O,X,X,O,X,O
TZLJSOI,O,X,X,O,X,O
TZLJOIS,O,X,X,O,X,X
TZLJOSI,O,X,X,O,X,X
TZLSIJO,O,X,X,O,X,O
TZLSIOJ,O,X,X,O,X,O
TZLSJIO,O,X,X,O,X,O
TZLSJOI,O,X,X,O,X,O
TZLSOIJ,O,X,X,O,X,O
TZLSOJI,O,X,X,O,X,O
TZLOIJS,O,X,X,O,X,X
TZLOISJ,O,X,X,O,X,O
TZLOJIS,O,X,X,O,X,X
TZLOJSI,O,X,X,O,X,X
TZLOSIJ,O,X,X,O,X,O
TZLOSJI,O,X,X,O,X,O
TZJILSO,O,X,X,O,X,X
TZJILOS,O,X,X,O,X,X
TZJISLO,O,X,O,O,X,O
TZJISOL,O,X,O,X,X,O
TZJIOLS,O,X,X,O,X,X
TZJIOSL,O,X,O,O,X,X
TZJLISO,O,X,X,O,X,O
TZJLIOS,O,X,X,O,X,X
TZJLSIO,O,X,X,O,X,O
TZJLSOI,O,X,X,O,X,O
TZJLOIS,O,X,X,O,X,X
TZJLOSI,O,X,X,O,X,X
TZJSILO,O,X,O,O,X,O
TZJSIOL,O,X,O,X,X,O
TZJSLIO,O,X,O,O,X,O
TZJSLOI,O,X,O,O,X,O
TZJSOIL,O,X,O,X,X,O
TZJSOLI,O,X,O,X,X,X
TZJOILS,O,X,X,O,X,X
TZJOISL,O,X,O,O,X,X
TZJOLIS,O,X,X,O,X,X
TZJOLSI,O,X,X,O,X,X
TZJOSIL,O,X,O,O,X,X
TZJOSLI,O,X,O,O,X,X
TZSILJO,O,X,O,O,X,O
TZSILOJ,O,X,O,O,X,O
TZSIJLO,O,X,X,O,X,O
TZSIJOL,O,X,X,X,X,O
TZSIOLJ,O,X,O,O,X,X
TZSIOJL,O,X,X,O,X,O
TZSLIJO,O,X,O,O,X,O
TZSLIOJ,O,X,O,O,X,O
TZSLJIO,O,X,O,O,X,O
TZSLJOI,O,X,O,O,X,O
TZSLOIJ,O,X,O,O,X,O
TZSLOJI,O,X,O,O,X,O
TZSJILO,O,X,X,O,X,O
TZSJIOL,O,X,X,X,X,O
TZSJLIO,O,X,X,O,X,O
TZSJLOI,O,X,X,O,X,O
TZSJOIL,O,X,X,X,X,O
TZSJOLI,O,X,X,X,X,X
TZSOILJ,O,X,O,O,X,X
TZSOIJL,O,X,X,O,X,O
TZSOLIJ,O,X,O,O,X,O
TZSOLJI,O,X,O,O,X,O
TZSOJIL,O,X,X,O,X,O
TZSOJLI,O,X,X,O,X,X
TZOILJS,O,X,X,O,X,X
TZOILSJ,O,X,X,O,X,X
TZOIJLS,O,X,X,O,X,X
TZOIJSL,O,X,O,O,X,X
TZOISLJ,O,X,O,O,X,X
TZOISJL,O,X,X,O,X,O
TZOLIJS,O,X,X,O,X,X
TZOLISJ,O,X,X,O,X,O
TZOLJIS,O,X,X,O,X,X
TZOLJSI,O,X,X,O,X,X
TZOLSIJ,O,X,X,O,X,O
TZOLSJI,O,X,X,O,X,O
TZOJILS,O,X,X,O,X,X
TZOJISL,O,X,O,O,X,X
TZOJLIS,O,X,X,O,X,X
TZOJLSI,O,X,X,O,X,X
TZOJSIL,O,X,O,O,X,X
TZOJSLI,O,X,O,O,X,X
TZOSILJ,O,X,O,O,X,X
TZOSIJL,O,X,X,O,X,O
TZOSLIJ,O,X,O,O,X,O
TZOSLJI,O,X,O,O,X,O
TZOSJIL,O,X,X,O,X,O
TZOSJLI,O,X,X,O,X,X
TOILJSZ,O,O,O,O,O,O
TOILJZS,O,O,X,O,O,X
TOILSJZ,O,O,O,O,X,O
TOILSZJ,O,O,O,O,X,O
TOILZJS,O,O,X,O,X,O
TOILZSJ,O,O,X,O,X,O
TOIJLSZ,O,O,O,O,O,O
TOIJLZS,O,O,X,O,O,X
TOIJSLZ,O,O,O,X,O,O
TOIJSZL,X,O,O,X,O,O
TOIJZLS,O,O,X,O,X,X
TOIJZSL,O,O,O,O,O,O
TOISLJZ,O,O,O,X,X,O
TOISLZJ,O,O,O,X,X,O
TOISJLZ,O,O,O,X,O,O
TOISJZL,X,O,O,X,O,O
TOISZLJ,O,O,O,X,X,O
TOISZJL,O,O,X,X,X,O
TOIZLJS,O,O,X,O,X,O
TOIZLSJ,O,O,X,O,X,O
TOIZJLS,O,O,X,O,X,X
TOIZJSL,O,O,O,O,X,O
TOIZSLJ,O,O,O,O,X,O
TOIZSJL,O,O,X,O,X,O
TOLIJSZ,O,O,O,O,O,O
TOLIJZS,O,O,X,O,O,X
TOLISJZ,O,O,O,O,X,O
TOLISZJ,O,O,O,O,X,O
TOLIZJS,O,O,X,O,X,O
TOLIZSJ,O,O,X,O,X,O
TOLJISZ,O,O,O,O,O,O
TOLJIZS,O,O,X,O,O,X
TOLJSIZ,O,O,O,O,O,O
TOLJSZI,O,O,O,O,O,O
TOLJZIS,O,O,X,O,O,O
TOLJZSI,O,O,X,O,O,O
TOLSIJZ,O,O,O,O,X,O
TOLSIZJ,O,O,O,O,X,O
TOLSJIZ,O,O,O,O,X,O
TOLSJZI,O,O,O,O,X,O
TOLSZIJ,O,O,O,O,X,O
TOLSZJI,O,O,O,O,X,O
TOLZIJS,O,O,X,O,X,O
TOLZISJ,O,O,X,O,X,O
TOLZJIS,O,O,X,O,X,O
TOLZJSI,O,O,X,O,X,O
TOLZSIJ,O,O,X,O,X,O
TOLZSJI,O,O,X,O,X,O
TOJILSZ,O,O,O,O,O,O
TOJILZS,O,O,X,O,O,X
TOJISLZ,O,O,O,X,O,O
TOJISZL,X,O,O,X,O,O
TOJIZLS,O,O,X,O,X,X
TOJIZSL,O,O,O,O,O,O
TOJLISZ,O,O,O,O,O,O
TOJLIZS,O,O,X,O,O,X
TOJLSIZ,O,O,O,O,O,O
TOJLSZI,O,O,O,O,O,O
TOJLZIS,O,O,X,O,O,O
TOJLZSI,O,O,X,O,O,O
TOJSILZ,O,O,O,X,O,O
TOJSIZL,X,O,O,X,O,O
TOJSLIZ,O,O,O,X,O,O
TOJSLZI,O,O,O,X,O,O
