sequence,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeT/IvhFlgBanB5oB/?qBOrB0pB,v115@EhB8HeB8FeA8AeB8AeA8DeD8Kem/IvhFUhBanB5oBT?kBfrBVvB,v115@EhB8HeB8FeA8AeB8AeA8DeD8Ke0/IvhFlgBanB5oB/?pBOrBTqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeUBJvhFanB5oB/pBF?lBzqBmpB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeT/IvhFanB5oB/qBF?mB0pBmqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeOEJvhF8kBanB5oBF?mBXqBzqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeaHJvhF5oBTkB/qBF?mB0pBmqB
TIJSOLZ,O,O,O,X,X,X,O
TIJSOZL,O,O,O,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X
TIJZLOS,O,X,O,X,X,X,X
TIJZSLO,O,O,O,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X
TIJZOLS,O,X,O,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X
TIJOLSZ,O,O,O,X,X,X,X
TIJOLZS,X,O,O,X,X,X,X
TIJOSLZ,O,O,O,X,X,X,X
TIJOSZL,O,O,O,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X
TIJOZSL,X,O,O,X,X,X,X
TISLJZO,O,O,O,X,O,O,X
TISLJOZ,X,O,O,X,X,X,O
TISLZJO,O,O,O,X,O,O,X
TISLZOJ,O,O,O,X,O,O,O
TISLOJZ,X,O,O,O,X,X,O
TISLOZJ,O,O,O,O,O,O,O
TISJLZO,O,O,O,X,O,O,X
TISJLOZ,O,O,O,X,X,X,O
TISJZLO,O,O,O,X,O,O,X
TISJZOL,O,O,O,X,O,O,X
TISJOLZ,O,O,O,X,X,X,O
TISJOZL,O,O,O,X,X,X,X
TISZLJO,O,O,O,X,O,O,X
TISZLOJ,O,O,O,X,O,O,O
TISZJLO,O,O,O,X,O,O,X
TISZJOL,O,O,O,X,O,O,X
TISZOLJ,O,O,O,X,O,O,O
TISZOJL,O,O,O,X,O,O,X
TISOLJZ,X,O,O,O,X,X,O
TISOLZJ,O,O,O,O,O,O,O
TISOJLZ,X,O,O,O,X,X,O
TISOJZL,X,O,O,O,X,X,X
TISOZLJ,O,O,O,O,O,O,O
TISOZJL,O,O,O,O,O,O,X
TIZLJSO,O,O,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X
TIZLSJO,O,O,X,X,O,O,X
TIZLSOJ,O,O,X,X,O,O,O
TIZLOJS,O,O,X,X,X,X,X
TIZLOSJ,O,O,X,O,O,X,X
TIZJLSO,O,O,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X
TIZSLJO,O,O,X,X,O,O,X
TIZSLOJ,O,O,X,X,O,O,O
TIZSJLO,O,O,X,X,O,O,X
TIZSJOL,O,O,X,X,O,O,X
TIZSOLJ,O,O,X,X,O,O,O
TIZSOJL,O,O,X,X,O,O,X
TIZOLJS,O,O,X,X,X,X,X
TIZOLSJ,O,O,X,O,O,X,X
TIZOJLS,O,O,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X
TIZOSLJ,O,O,X,O,O,X,X
TIZOSJL,O,O,X,O,O,X,X
TIOLJSZ,X,O,O,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X
TIOLSJZ,X,O,O,O,X,X,O
TIOLSZJ,X,O,O,O,O,O,O
TIOLZJS,X,O,X,X,X,X,X
TIOLZSJ,X,O,O,O,X,X,X
TIOJLSZ,X,O,O,X,X,X,X
TIOJLZS,X,O,O,X,X,X,X
TIOJSLZ,X,O,O,X,X,X,X
TIOJSZL,X,O,O,X,X,X,X
TIOJZLS,X,O,O,X,X,X,X
TIOJZSL,X,O,O,X,X,X,X
TIOSLJZ,X,O,O,O,X,X,O
TIOSLZJ,X,O,O,O,O,O,O
TIOSJLZ,X,O,O,O,X,X,O
TIOSJZL,X,O,O,O,X,X,X
TIOSZLJ,X,O,O,O,O,O,O
TIOSZJL,X,O,O,O,O,O,X
TIOZLJS,X,O,X,X,X,X,X
TIOZLSJ,X,O,O,O,X,X,X
TIOZJLS,X,O,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X
TIOZSJL,X,O,O,O,X,X,X
TLIJSZO,O,O,O,X,O,O,X
TLIJSOZ,O,O,O,X,X,X,O
TLIJZSO,O,O,O,X,X,X,X
TLIJZOS,O,X,O,X,X,X,X
TLIJOSZ,O,O,O,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X
TLISJZO,O,O,O,X,O,O,X
TLISJOZ,X,O,O,X,X,X,O
TLISZJO,O,O,O,X,O,O,X
TLISZOJ,O,O,O,X,O,O,O
TLISOJZ,X,O,O,O,X,X,O
TLISOZJ,O,O,O,O,O,O,O
TLIZJSO,O,O,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X
TLIZSJO,O,O,X,X,O,O,X
TLIZSOJ,O,O,X,X,O,O,O
TLIZOJS,O,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,O,X,X
TLIOJSZ,X,O,O,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,X,O
TLIOSZJ,X,O,O,O,O,O,O
TLIOZJS,X,O,X,X,X,X,X
TLIOZSJ,X,O,O,O,X,X,X
TLJISZO,O,O,O,X,O,O,X
TLJISOZ,O,O,O,X,X,X,O
TLJIZSO,O,O,O,X,X,X,X
TLJIZOS,O,X,O,X,X,X,X
TLJIOSZ,O,O,O,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X
TLJSIZO,O,O,O,X,O,O,X
TLJSIOZ,O,O,O,X,X,X,O
TLJSZIO,O,O,O,X,O,O,X
TLJSZOI,O,O,O,X,O,O,X
TLJSOIZ,O,O,O,X,X,X,O
TLJSOZI,O,O,O,X,X,X,X
TLJZISO,O,O,O,X,X,X,X
TLJZIOS,O,X,O,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X
TLJOISZ,O,O,O,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X
TLSIJZO,O,O,O,X,O,O,X
TLSIJOZ,X,O,O,X,X,X,O
TLSIZJO,O,O,O,X,O,O,X
TLSIZOJ,O,O,O,X,O,O,O
TLSIOJZ,X,O,O,O,X,X,O
TLSIOZJ,O,O,O,O,O,O,O
TLSJIZO,O,O,O,X,O,O,X
TLSJIOZ,X,O,O,X,X,X,O
TLSJZIO,O,O,O,X,O,O,X
TLSJZOI,O,O,O,X,O,O,X
TLSJOIZ,X,O,O,X,X,X,O
TLSJOZI,X,O,O,X,X,X,X
TLSZIJO,O,O,O,X,O,O,X
TLSZIOJ,O,O,O,X,O,O,O
TLSZJIO,O,O,O,X,O,O,X
TLSZJOI,O,O,O,X,O,O,X
TLSZOIJ,O,O,O,X,O,O,O
TLSZOJI,O,O,O,X,O,O,X
TLSOIJZ,X,O,O,O,X,X,O
TLSOIZJ,O,O,O,O,O,O,O
TLSOJIZ,X,O,O,O,X,X,O
TLSOJZI,X,O,O,O,X,X,X
TLSOZIJ,O,O,O,O,O,O,O
TLSOZJI,O,O,O,O,O,O,X
TLZIJSO,O,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X
TLZISJO,O,O,X,X,O,O,X
TLZISOJ,O,O,X,X,O,O,O
TLZIOJS,O,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,O,X,X
TLZJISO,O,O,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,X,X
TLZJSOI,O,O,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X
TLZSIJO,O,O,X,X,O,O,X
TLZSIOJ,O,O,X,X,O,O,O
TLZSJIO,O,O,X,X,O,O,X
TLZSJOI,O,O,X,X,O,O,X
TLZSOIJ,O,O,X,X,O,O,O
TLZSOJI,O,O,X,X,O,O,X
TLZOIJS,O,O,X,X,X,X,X
TLZOISJ,O,O,X,O,O,X,X
TLZOJIS,O,O,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X
TLZOSIJ,O,O,X,O,O,X,X
TLZOSJI,O,O,X,O,O,X,X
TLOIJSZ,X,O,O,X,X,X,X
TLOIJZS,X,O,X,X,X,X,X
TLOISJZ,X,O,O,O,X,X,O
TLOISZJ,X,O,O,O,O,O,O
TLOIZJS,X,O,X,X,X,X,X
TLOIZSJ,X,O,O,O,X,X,X
TLOJISZ,X,O,O,X,X,X,X
TLOJIZS,X,O,X,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X
TLOSIJZ,X,O,O,O,X,X,O
TLOSIZJ,X,O,O,O,O,O,O
TLOSJIZ,X,O,O,O,X,X,O
TLOSJZI,X,O,O,O,X,X,X
TLOSZIJ,X,O,O,O,O,O,O
TLOSZJI,X,O,O,O,O,O,X
TLOZIJS,X,O,X,X,X,X,X
TLOZISJ,X,O,O,O,X,X,X
TLOZJIS,X,O,X,X,X,X,X
TLOZJSI,X,O,X,X,X,X,X
TLOZSIJ,X,O,O,O,X,X,X
TLOZSJI,X,O,O,O,X,X,X
TJILSZO,O,O,O,X,O,O,X
TJILSOZ,O,O,O,X,X,X,O
TJILZSO,O,O,O,X,X,X,X
TJILZOS,O,X,O,X,X,X,X
TJILOSZ,O,O,O,X,X,X,X
TJILOZS,X,O,O,X,X,X,X
TJISLZO,O,O,O,X,O,O,X
TJISLOZ,O,O,O,X,X,X,O
TJISZLO,O,O,O,X,O,O,X
TJISZOL,O,O,O,X,O,O,X
TJISOLZ,O,O,O,X,X,X,O
TJISOZL,O,O,O,X,X,X,X
TJIZLSO,O,O,O,X,X,X,X
TJIZLOS,O,X,O,X,X,X,X
TJIZSLO,O,O,O,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X
TJIZOLS,O,X,O,X,X,X,X
TJIZOSL,O,X,O,X,X,X,X
TJIOLSZ,O,O,O,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X
TJIOSLZ,O,O,O,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X
TJIOZLS,X,O,O,X,X,X,X
TJIOZSL,X,O,O,X,X,X,X
TJLISZO,O,O,O,X,O,O,X
TJLISOZ,O,O,O,X,X,X,O
TJLIZSO,O,O,O,X,X,X,X
TJLIZOS,O,X,O,X,X,X,X
TJLIOSZ,O,O,O,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X
TJLSIZO,O,O,O,X,O,O,X
TJLSIOZ,O,O,O,X,X,X,O
TJLSZIO,O,O,O,X,O,O,X
TJLSZOI,O,O,O,X,O,O,X
TJLSOIZ,O,O,O,X,X,X,O
TJLSOZI,O,O,O,X,X,X,X
TJLZISO,O,O,O,X,X,X,X
TJLZIOS,O,X,O,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X
TJLZOIS,O,X,O,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X
TJLOISZ,O,O,O,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X
TJLOSIZ,O,O,O,X,X,X,X
TJLOSZI,O,O,O,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X
TJLOZSI,X,O,O,X,X,X,X
TJSILZO,O,O,O,X,O,O,X
TJSILOZ,O,O,O,X,X,X,O
TJSIZLO,O,O,O,X,O,O,X
TJSIZOL,O,O,O,X,O,O,X
TJSIOLZ,O,O,O,X,X,X,O
TJSIOZL,O,O,O,X,X,X,X
TJSLIZO,O,O,O,X,O,O,X
TJSLIOZ,O,O,O,X,X,X,O
TJSLZIO,O,O,O,X,O,O,X
TJSLZOI,O,O,O,X,O,O,X
TJSLOIZ,O,O,O,X,X,X,O
TJSLOZI,O,O,O,X,X,X,X
TJSZILO,O,O,O,X,O,O,X
TJSZIOL,O,O,O,X,O,O,X
TJSZLIO,O,O,O,X,O,O,X
TJSZLOI,O,O,O,X,O,O,X
TJSZOIL,O,O,O,X,O,O,X
TJSZOLI,O,O,O,X,O,O,X
TJSOILZ,O,O,O,X,X,X,O
TJSOIZL,O,O,O,X,X,X,X
TJSOLIZ,O,O,O,X,X,X,O
TJSOLZI,O,O,O,X,X,X,X
TJSOZIL,O,O,O,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X
TJZILSO,O,O,O,X,X,X,X
TJZILOS,O,X,O,X,X,X,X
TJZISLO,O,O,O,X,X,X,X
TJZISOL,O,O,O,X,X,X,X
TJZIOLS,O,X,O,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X
TJZLISO,O,O,O,X,X,X,X
TJZLIOS,O,X,O,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,O,X,O,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X
TJZSOIL,O,O,O,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X
TJZOILS,O,X,O,X,X,X,X
TJZOISL,O,X,O,X,X,X,X
TJZOLIS,O,X,O,X,X,X,X
TJZOLSI,O,X,O,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X
TJZOSLI,O,X,O,X,X,X,X
TJOILSZ,O,O,O,X,X,X,X
TJOILZS,X,O,O,X,X,X,X
TJOISLZ,O,O,O,X,X,X,X
TJOISZL,O,O,O,X,X,X,X
TJOIZLS,X,O,O,X,X,X,X
TJOIZSL,X,O,O,X,X,X,X
TJOLISZ,O,O,O,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X
TJOLSIZ,O,O,O,X,X,X,X
TJOLSZI,O,O,O,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X
TJOLZSI,X,O,O,X,X,X,X
TJOSILZ,O,O,O,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,X
TJOSLZI,O,O,O,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X
TJOZILS,X,O,O,X,X,X,X
TJOZISL,X,O,O,X,X,X,X
TJOZLIS,X,O,O,X,X,X,X
TJOZLSI,X,O,O,X,X,X,X
TJOZSIL,X,O,O,X,X,X,X
TJOZSLI,X,O,O,X,X,X,X
TSILJZO,O,O,O,X,O,O,X
TSILJOZ,X,O,O,X,X,X,O
TSILZJO,O,O,O,X,O,O,X
TSILZOJ,O,O,O,X,O,O,O
TSILOJZ,X,O,O,O,X,X,O
TSILOZJ,O,O,O,O,O,O,O
TSIJLZO,O,O,O,X,O,O,X
TSIJLOZ,O,O,O,X,X,X,O
TSIJZLO,O,O,O,X,O,O,X
TSIJZOL,O,O,O,X,O,O,X
TSIJOLZ,O,O,O,X,X,X,O
TSIJOZL,O,O,O,X,X,X,X
TSIZLJO,O,O,O,X,O,O,X
TSIZLOJ,O,O,O,X,O,O,O
TSIZJLO,O,O,O,X,O,O,X
TSIZJOL,O,O,O,X,O,O,X
TSIZOLJ,O,O,O,X,O,O,O
TSIZOJL,O,O,O,X,O,O,X
TSIOLJZ,X,O,O,O,X,X,O
TSIOLZJ,O,O,O,O,O,O,O
TSIOJLZ,X,O,O,O,X,X,O
TSIOJZL,X,O,O,O,X,X,X
TSIOZLJ,O,O,O,O,O,O,O
TSIOZJL,O,O,O,O,O,O,X
TSLIJZO,O,O,O,X,O,O,X
TSLIJOZ,X,O,O,X,X,X,O
TSLIZJO,O,O,O,X,O,O,X
TSLIZOJ,O,O,O,X,O,O,O
TSLIOJZ,X,O,O,O,X,X,O
TSLIOZJ,O,O,O,O,O,O,O
TSLJIZO,O,O,O,X,O,O,X
TSLJIOZ,X,O,O,X,X,X,O
TSLJZIO,O,O,O,X,O,O,X
TSLJZOI,O,O,O,X,O,O,X
TSLJOIZ,X,O,O,X,X,X,O
TSLJOZI,X,O,O,X,X,X,X
TSLZIJO,O,O,O,X,O,O,X
TSLZIOJ,O,O,O,X,O,O,O
TSLZJIO,O,O,O,X,O,O,X
TSLZJOI,O,O,O,X,O,O,X
TSLZOIJ,O,O,O,X,O,O,O
TSLZOJI,O,O,O,X,O,O,X
TSLOIJZ,X,O,O,O,X,X,O
TSLOIZJ,O,O,O,O,O,O,O
TSLOJIZ,X,O,O,O,X,X,O
TSLOJZI,X,O,O,O,X,X,X
TSLOZIJ,O,O,O,O,O,O,O
TSLOZJI,O,O,O,O,O,O,X
TSJILZO,O,O,O,X,O,O,X
TSJILOZ,O,O,O,X,X,X,O
TSJIZLO,O,O,O,X,O,O,X
TSJIZOL,O,O,O,X,O,O,X
TSJIOLZ,O,O,O,X,X,X,O
TSJIOZL,O,O,O,X,X,X,X
TSJLIZO,O,O,O,X,O,O,X
TSJLIOZ,O,O,O,X,X,X,O
TSJLZIO,O,O,O,X,O,O,X
TSJLZOI,O,O,O,X,O,O,X
TSJLOIZ,O,O,O,X,X,X,O
TSJLOZI,O,O,O,X,X,X,X
TSJZILO,O,O,O,X,O,O,X
TSJZIOL,O,O,O,X,O,O,X
TSJZLIO,O,O,O,X,O,O,X
TSJZLOI,O,O,O,X,O,O,X
TSJZOIL,O,O,O,X,O,O,X
TSJZOLI,O,O,O,X,O,O,X
TSJOILZ,O,O,O,X,X,X,O
TSJOIZL,O,O,O,X,X,X,X
TSJOLIZ,O,O,O,X,X,X,O
TSJOLZI,O,O,O,X,X,X,X
TSJOZIL,O,O,O,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X
TSZILJO,O,O,O,X,O,O,X
TSZILOJ,O,O,O,X,O,O,O
TSZIJLO,O,O,O,X,O,O,X
TSZIJOL,O,O,O,X,O,O,X
TSZIOLJ,O,O,O,X,O,O,O
TSZIOJL,O,O,O,X,O,O,X
TSZLIJO,O,O,O,X,O,O,X
TSZLIOJ,O,O,O,X,O,O,O
TSZLJIO,O,O,O,X,O,O,X
TSZLJOI,O,O,O,X,O,O,X
TSZLOIJ,O,O,O,X,O,O,O
TSZLOJI,O,O,O,X,O,O,X
TSZJILO,O,O,O,X,O,O,X
TSZJIOL,O,O,O,X,O,O,X
TSZJLIO,O,O,O,X,O,O,X
TSZJLOI,O,O,O,X,O,O,X
TSZJOIL,O,O,O,X,O,O,X
TSZJOLI,O,O,O,X,O,O,X
TSZOILJ,O,O,O,X,O,O,O
TSZOIJL,O,O,O,X,O,O,X
TSZOLIJ,O,O,O,X,O,O,O
TSZOLJI,O,O,O,X,O,O,X
TSZOJIL,O,O,O,X,O,O,X
TSZOJLI,O,O,O,X,O,O,X
TSOILJZ,X,O,O,O,X,X,O
TSOILZJ,O,O,O,O,O,O,O
TSOIJLZ,X,O,O,O,X,X,O
TSOIJZL,X,O,O,O,X,X,X
TSOIZLJ,O,O,O,O,O,O,O
TSOIZJL,O,O,O,O,O,O,X
TSOLIJZ,X,O,O,O,X,X,O
TSOLIZJ,O,O,O,O,O,O,O
TSOLJIZ,X,O,O,O,X,X,O
TSOLJZI,X,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,O,O,O
TSOLZJI,O,O,O,O,O,O,X
TSOJILZ,X,O,O,O,X,X,O
TSOJIZL,X,O,O,O,X,X,X
TSOJLIZ,X,O,O,O,X,X,O
TSOJLZI,X,O,O,O,X,X,X
TSOJZIL,X,O,O,O,X,X,X
TSOJZLI,X,O,O,O,X,X,X
TSOZILJ,O,O,O,O,O,O,O
TSOZIJL,O,O,O,O,O,O,X
TSOZLIJ,O,O,O,O,O,O,O
TSOZLJI,O,O,O,O,O,O,X
TSOZJIL,O,O,O,O,O,O,X
TSOZJLI,O,O,O,O,O,O,X
TZILJSO,O,O,X,X,X,X,X
TZILJOS,O,X,X,X,X,X,X
TZILSJO,O,O,X,X,O,O,X
TZILSOJ,O,O,X,X,O,O,O
TZILOJS,O,O,X,X,X,X,X
TZILOSJ,O,O,X,O,O,X,X
TZIJLSO,O,O,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X
TZIJOLS,O,X,X,X,X,X,X
TZIJOSL,O,X,X,X,X,X,X
TZISLJO,O,O,X,X,O,O,X
TZISLOJ,O,O,X,X,O,O,O
TZISJLO,O,O,X,X,O,O,X
TZISJOL,O,O,X,X,O,O,X
TZISOLJ,O,O,X,X,O,O,O
TZISOJL,O,O,X,X,O,O,X
TZIOLJS,O,O,X,X,X,X,X
TZIOLSJ,O,O,X,O,O,X,X
TZIOJLS,O,O,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X
TZIOSLJ,O,O,X,O,O,X,X
TZIOSJL,O,O,X,O,O,X,X
TZLIJSO,O,O,X,X,X,X,X
TZLIJOS,O,X,X,X,X,X,X
TZLISJO,O,O,X,X,O,O,X
TZLISOJ,O,O,X,X,O,O,O
TZLIOJS,O,O,X,X,X,X,X
TZLIOSJ,O,O,X,O,O,X,X
TZLJISO,O,O,X,X,X,X,X
TZLJIOS,O,X,X,X,X,X,X
TZLJSIO,O,O,X,X,X,X,X
TZLJSOI,O,O,X,X,X,X,X
TZLJOIS,O,X,X,X,X,X,X
TZLJOSI,O,X,X,X,X,X,X
TZLSIJO,O,O,X,X,O,O,X
TZLSIOJ,O,O,X,X,O,O,O
TZLSJIO,O,O,X,X,O,O,X
TZLSJOI,O,O,X,X,O,O,X
TZLSOIJ,O,O,X,X,O,O,O
TZLSOJI,O,O,X,X,O,O,X
TZLOIJS,O,O,X,X,X,X,X
TZLOISJ,O,O,X,O,O,X,X
TZLOJIS,O,O,X,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X
TZLOSIJ,O,O,X,O,O,X,X
TZLOSJI,O,O,X,O,O,X,X
TZJILSO,O,O,X,X,X,X,X
TZJILOS,O,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X
TZJIOLS,O,X,X,X,X,X,X
TZJIOSL,O,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,X,X
TZJLIOS,O,X,X,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X
TZJLSOI,O,O,X,X,X,X,X
TZJLOIS,O,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X
TZJOILS,O,X,X,X,X,X,X
TZJOISL,O,X,X,X,X,X,X
TZJOLIS,O,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X
TZJOSIL,O,X,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X,X
TZSILJO,O,O,X,X,O,O,X
TZSILOJ,O,O,X,X,O,O,O
TZSIJLO,O,O,X,X,O,O,X
TZSIJOL,O,O,X,X,O,O,X
TZSIOLJ,O,O,X,X,O,O,O
TZSIOJL,O,O,X,X,O,O,X
TZSLIJO,O,O,X,X,O,O,X
TZSLIOJ,O,O,X,X,O,O,O
TZSLJIO,O,O,X,X,O,O,X
TZSLJOI,O,O,X,X,O,O,X
TZSLOIJ,O,O,X,X,O,O,O
TZSLOJI,O,O,X,X,O,O,X
TZSJILO,O,O,X,X,O,O,X
TZSJIOL,O,O,X,X,O,O,X
TZSJLIO,O,O,X,X,O,O,X
TZSJLOI,O,O,X,X,O,O,X
TZSJOIL,O,O,X,X,O,O,X
TZSJOLI,O,O,X,X,O,O,X
TZSOILJ,O,O,X,X,O,O,O
TZSOIJL,O,O,X,X,O,O,X
TZSOLIJ,O,O,X,X,O,O,O
TZSOLJI,O,O,X,X,O,O,X
TZSOJIL,O,O,X,X,O,O,X
TZSOJLI,O,O,X,X,O,O,X
TZOILJS,O,O,X,X,X,X,X
TZOILSJ,O,O,X,O,O,X,X
TZOIJLS,O,O,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X
TZOISLJ,O,O,X,O,O,X,X
TZOISJL,O,O,X,O,O,X,X
TZOLIJS,O,O,X,X,X,X,X
TZOLISJ,O,O,X,O,O,X,X
TZOLJIS,O,O,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X
TZOLSIJ,O,O,X,O,O,X,X
TZOLSJI,O,O,X,O,O,X,X
TZOJILS,O,O,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X
TZOSILJ,O,O,X,O,O,X,X
TZOSIJL,O,O,X,O,O,X,X
TZOSLIJ,O,O,X,O,O,X,X
TZOSLJI,O,O,X,O,O,X,X
TZOSJIL,O,O,X,O,O,X,X
