sequence,v115@MhB8GeC8CeB8AeD8BeA8JeOEJvhFxgB0iB6oBfqBll?BzsB,v115@MhB8GeC8CeB8AeD8BeA8Jem/IvhFFhBxiBTkBcqBCo?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Jei/IvhFFhBxiB3kBcqBGo?BzsB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFxgB0iBllBStBmp?BXtB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFXhB0iB6oBxpBzs?BFqB,v115@MhB8GeC8CeB8AeD8BeA8Jex/IvhFXhBTjBikBWtBFq?B0sB,v115@MhB8GeC8CeB8AeD8BeA8JeT/IvhFXhBliBxpBCtBOq?BctB,v115@MhB8GeC8CeB8AeD8BeA8Je2EJvhFFhBxiBcqBqsBTt?B3pB
TJIZOLS,X,O,X,O,X,X,X,X
TJIZOSL,X,O,O,O,X,X,X,X
TJIOLSZ,X,X,X,O,X,O,X,X
TJIOLZS,O,X,X,O,X,O,X,X
TJIOSLZ,X,X,X,O,X,O,X,X
TJIOSZL,X,X,X,O,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,X
TJIOZSL,X,X,O,O,X,X,X,X
TJLISZO,X,X,X,O,X,O,X,X
TJLISOZ,X,X,X,O,X,O,X,X
TJLIZSO,O,X,O,O,X,O,X,X
TJLIZOS,X,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,O,X,O,X,X
TJLIOZS,X,X,X,O,X,O,X,X
TJLSIZO,O,X,X,O,X,O,X,X
TJLSIOZ,O,X,X,O,X,O,X,X
TJLSZIO,O,X,X,O,X,O,X,X
TJLSZOI,O,X,X,O,X,O,X,X
TJLSOIZ,O,X,X,O,X,O,X,X
TJLSOZI,O,X,X,O,X,O,X,X
TJLZISO,O,X,O,O,X,O,X,X
TJLZIOS,X,X,X,O,X,O,X,O
TJLZSIO,O,X,O,O,X,O,X,X
TJLZSOI,O,X,O,O,X,O,X,O
TJLZOIS,X,X,X,O,X,O,X,O
TJLZOSI,X,X,X,O,X,O,X,O
TJLOISZ,X,X,X,O,X,O,X,X
TJLOIZS,X,X,X,O,X,O,X,O
TJLOSIZ,X,X,X,O,X,O,X,X
TJLOSZI,X,X,X,O,X,O,X,X
TJLOZIS,X,X,X,O,X,O,X,O
TJLOZSI,X,X,X,O,X,O,X,O
TJSILZO,O,X,X,O,X,O,X,X
TJSILOZ,O,X,X,O,X,O,X,X
TJSIZLO,O,O,O,O,X,X,X,X
TJSIZOL,O,O,O,O,X,X,X,X
TJSIOLZ,O,X,X,O,X,O,X,X
TJSIOZL,O,X,X,O,X,X,X,X
TJSLIZO,O,O,X,O,X,O,X,X
TJSLIOZ,O,X,X,O,X,O,X,X
TJSLZIO,O,O,X,O,X,O,X,X
TJSLZOI,O,O,X,O,X,O,X,X
TJSLOIZ,O,X,X,O,X,O,X,X
TJSLOZI,O,X,X,O,X,O,X,X
TJSZILO,O,O,O,O,X,X,X,X
TJSZIOL,O,O,O,O,X,X,X,X
TJSZLIO,O,O,O,O,X,O,X,X
TJSZLOI,O,O,O,O,X,O,X,X
TJSZOIL,O,O,O,O,X,X,X,X
TJSZOLI,O,O,O,O,X,O,X,X
TJSOILZ,O,X,X,O,X,O,X,X
TJSOIZL,O,X,X,O,X,X,X,X
TJSOLIZ,O,X,X,O,X,O,X,X
TJSOLZI,O,X,X,O,X,O,X,X
TJSOZIL,O,X,X,O,X,X,X,X
TJSOZLI,O,X,X,O,X,O,X,X
TJZILSO,O,O,O,O,X,X,X,X
TJZILOS,X,O,X,O,X,X,X,O
TJZISLO,X,O,O,O,X,X,X,X
TJZISOL,X,O,O,O,X,X,X,X
TJZIOLS,X,O,X,O,X,X,X,X
TJZIOSL,X,O,O,O,X,X,X,X
TJZLISO,O,O,O,O,X,O,X,X
TJZLIOS,X,O,X,O,X,O,X,O
TJZLSIO,O,O,O,O,X,O,X,X
TJZLSOI,O,O,O,O,X,O,X,O
TJZLOIS,X,X,X,O,X,O,X,O
TJZLOSI,X,X,X,O,X,O,X,O
TJZSILO,O,O,O,O,X,X,X,X
TJZSIOL,O,O,O,O,X,X,X,X
TJZSLIO,O,O,O,O,X,O,X,X
TJZSLOI,O,O,O,O,X,O,X,O
TJZSOIL,O,O,O,O,X,X,X,X
TJZSOLI,O,O,O,O,X,O,X,X
TJZOILS,X,O,O,O,X,X,X,X
TJZOISL,X,O,O,O,X,X,X,X
TJZOLIS,X,O,O,O,X,O,X,O
TJZOLSI,X,O,O,O,X,O,X,O
TJZOSIL,X,O,O,O,X,X,X,X
TJZOSLI,X,O,O,O,X,O,X,X
TJOILSZ,X,X,X,O,X,O,X,X
TJOILZS,O,X,O,O,X,O,X,X
TJOISLZ,X,X,X,O,X,O,X,X
TJOISZL,X,X,O,O,X,X,X,X
TJOIZLS,O,X,O,O,X,X,X,X
TJOIZSL,X,X,O,O,X,X,X,X
TJOLISZ,X,X,X,O,X,O,X,X
TJOLIZS,O,X,O,O,X,O,X,X
TJOLSIZ,O,X,X,O,X,O,X,X
TJOLSZI,O,X,X,O,X,O,X,X
TJOLZIS,O,X,O,O,X,O,X,X
TJOLZSI,O,X,O,O,X,O,X,X
TJOSILZ,O,X,X,O,X,O,X,X
TJOSIZL,O,X,O,O,X,X,X,X
TJOSLIZ,O,X,X,O,X,O,X,X
TJOSLZI,O,X,X,O,X,O,X,X
TJOSZIL,O,X,O,O,X,X,X,X
TJOSZLI,O,X,O,O,X,O,X,X
TJOZILS,O,X,O,O,X,X,X,X
TJOZISL,X,X,O,O,X,X,X,X
TJOZLIS,O,X,O,O,X,O,X,X
TJOZLSI,O,X,O,O,X,O,X,X
TJOZSIL,O,X,O,O,X,X,X,X
TJOZSLI,O,X,O,O,X,O,X,X
TSILJZO,O,O,X,O,X,O,O,X
TSILJOZ,O,X,X,O,X,O,O,X
TSILZJO,O,O,X,O,X,O,O,X
TSILZOJ,O,O,X,X,X,X,O,X
TSILOJZ,O,X,X,X,X,O,O,X
TSILOZJ,O,O,X,X,X,X,O,X
TSIJLZO,O,X,X,O,X,O,X,X
TSIJLOZ,O,X,X,O,X,O,X,X
TSIJZLO,O,O,X,O,X,X,X,X
TSIJZOL,O,O,X,O,X,X,X,X
TSIJOLZ,O,X,X,O,O,O,X,X
TSIJOZL,O,X,X,O,O,X,X,X
TSIZLJO,O,O,O,O,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,O,X,X,X,X
TSIZJOL,O,O,X,O,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,O,X,O,X
TSIOLZJ,O,X,X,X,O,X,O,X
TSIOJLZ,O,X,X,X,O,X,X,X
TSIOJZL,O,X,X,X,O,X,X,X
TSIOZLJ,O,O,X,X,O,X,X,X
TSIOZJL,O,O,X,X,O,X,X,X
TSLIJZO,O,O,X,O,X,O,O,X
TSLIJOZ,O,X,X,O,X,O,O,X
TSLIZJO,O,O,X,O,X,O,O,X
TSLIZOJ,O,O,X,X,X,X,O,X
TSLIOJZ,O,X,X,X,X,O,O,X
TSLIOZJ,O,O,X,X,X,X,O,X
TSLJIZO,O,O,X,O,X,O,X,X
TSLJIOZ,O,X,X,O,X,O,X,X
TSLJZIO,O,O,X,O,X,O,X,X
TSLJZOI,O,O,X,O,X,O,X,X
TSLJOIZ,O,X,X,O,X,O,X,X
TSLJOZI,O,X,X,O,X,O,X,X
TSLZIJO,O,O,X,O,X,O,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,O,X,O,X,X
TSLZJOI,O,O,X,O,X,O,X,O
TSLZOIJ,O,O,X,X,X,X,X,O
TSLZOJI,O,O,X,X,X,X,X,O
TSLOIJZ,O,X,X,X,X,O,X,X
TSLOIZJ,O,O,X,X,X,X,X,O
TSLOJIZ,O,X,X,X,X,O,X,X
TSLOJZI,O,X,X,X,X,O,X,X
TSLOZIJ,O,O,X,X,X,X,X,O
TSLOZJI,O,O,X,X,X,X,X,O
TSJILZO,O,X,X,O,X,O,X,X
TSJILOZ,O,X,X,O,X,O,X,X
TSJIZLO,O,O,O,O,X,X,X,X
TSJIZOL,O,O,O,O,X,X,X,X
TSJIOLZ,O,X,X,O,X,O,X,X
TSJIOZL,O,X,X,O,X,X,X,X
TSJLIZO,O,O,X,O,X,O,X,X
TSJLIOZ,O,X,X,O,X,O,X,X
TSJLZIO,O,O,X,O,X,O,X,X
TSJLZOI,O,O,X,O,X,O,X,X
TSJLOIZ,O,X,X,O,X,O,X,X
TSJLOZI,O,X,X,O,X,O,X,X
TSJZILO,O,O,O,O,X,X,X,X
TSJZIOL,O,O,O,O,X,X,X,X
TSJZLIO,O,O,O,O,X,O,X,X
TSJZLOI,O,O,O,O,X,O,X,X
TSJZOIL,O,O,O,O,X,X,X,X
TSJZOLI,O,O,O,O,X,O,X,X
TSJOILZ,O,X,X,O,X,O,X,X
TSJOIZL,O,X,X,O,X,X,X,X
TSJOLIZ,O,X,X,O,X,O,X,X
TSJOLZI,O,X,X,O,X,O,X,X
TSJOZIL,O,X,X,O,X,X,X,X
TSJOZLI,O,X,X,O,X,O,X,X
TSZILJO,O,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,O,X,X,X,X
TSZIJOL,O,O,O,O,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,X,O,X,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,O,X,O,X,X
TSZLJOI,O,O,O,O,X,O,X,O
TSZLOIJ,O,O,O,X,X,X,X,O
TSZLOJI,O,O,O,X,X,X,X,O
TSZJILO,O,O,O,O,X,X,X,X
TSZJIOL,O,O,O,O,X,X,X,X
TSZJLIO,O,O,O,O,X,O,X,X
TSZJLOI,O,O,O,O,X,O,X,O
TSZJOIL,O,O,O,O,X,X,X,X
TSZJOLI,O,O,O,O,X,O,X,X
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,O,X,X,X,O,X,X,X
TSOILZJ,O,X,X,X,O,X,X,X
TSOIJLZ,O,X,X,X,O,X,X,X
TSOIJZL,O,X,X,X,O,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,X
TSOIZJL,O,O,O,X,O,X,X,X
TSOLIJZ,O,X,X,X,O,O,X,X
TSOLIZJ,O,O,X,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,O,X,X
TSOLJZI,O,X,X,X,X,O,X,X
TSOLZIJ,O,O,X,X,O,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X
TSOJILZ,O,X,X,X,X,O,X,X
TSOJIZL,O,X,O,X,X,X,X,X
TSOJLIZ,O,X,X,X,X,O,X,X
TSOJLZI,O,X,X,X,X,O,X,X
TSOJZIL,O,X,O,X,X,X,X,X
TSOJZLI,O,X,O,X,X,O,X,X
TSOZILJ,O,O,O,X,O,X,X,X
TSOZIJL,O,O,O,X,O,X,X,X
TSOZLIJ,O,O,O,X,O,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X
TSOZJIL,O,O,O,X,X,X,X,X
TSOZJLI,O,O,O,X,X,X,X,X
TZILJSO,O,O,X,O,X,X,X,X
TZILJOS,X,O,X,O,X,X,X,O
TZILSJO,O,X,O,O,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X,X
TZILOJS,X,O,X,O,X,X,X,O
TZILOSJ,X,X,X,X,X,X,X,O
TZIJLSO,O,O,O,O,X,X,X,X
TZIJLOS,X,O,X,O,X,X,X,O
TZIJSLO,X,O,O,O,X,X,X,X
TZIJSOL,X,O,O,O,X,X,X,X
TZIJOLS,X,O,X,O,X,X,X,X
TZIJOSL,X,O,O,O,X,X,X,X
TZISLJO,O,O,O,O,X,X,X,X
TZISLOJ,X,O,O,X,X,X,X,X
TZISJLO,O,O,O,O,X,X,X,X
TZISJOL,X,O,O,O,X,X,X,X
TZISOLJ,X,O,O,X,X,X,X,X
TZISOJL,X,O,O,X,X,X,X,X
TZIOLJS,X,O,X,O,X,X,X,X
TZIOLSJ,X,X,O,X,X,X,X,X
TZIOJLS,X,O,O,O,X,X,X,X
TZIOJSL,X,O,O,O,X,X,X,X
TZIOSLJ,X,O,O,X,X,X,X,X
TZIOSJL,X,O,O,X,X,X,X,X
TZLIJSO,O,O,X,O,X,O,X,X
TZLIJOS,X,O,X,O,X,O,X,O
TZLISJO,O,X,O,O,X,O,X,X
TZLISOJ,X,X,O,X,X,X,X,X
TZLIOJS,X,O,X,O,X,X,X,O
TZLIOSJ,X,X,X,X,X,X,X,O
TZLJISO,O,O,O,O,X,O,X,X
TZLJIOS,X,O,X,O,X,O,X,O
TZLJSIO,O,O,O,O,X,O,X,X
TZLJSOI,O,O,O,O,X,O,X,O
TZLJOIS,X,X,X,O,X,O,X,O
TZLJOSI,X,X,X,O,X,O,X,O
TZLSIJO,O,O,O,O,X,O,X,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,X,O,X,X
TZLSJOI,O,O,O,O,X,O,X,O
TZLSOIJ,O,O,O,X,X,X,X,O
TZLSOJI,O,O,O,X,X,X,X,O
TZLOIJS,X,O,X,O,X,X,X,O
TZLOISJ,X,X,O,X,X,X,X,O
TZLOJIS,X,O,O,O,X,X,X,O
TZLOJSI,X,O,O,O,X,X,X,O
TZLOSIJ,X,O,O,X,X,X,X,O
TZLOSJI,X,O,O,X,X,X,X,O
TZJILSO,O,O,O,O,X,X,X,X
TZJILOS,X,O,X,O,X,X,X,O
TZJISLO,X,O,O,O,X,X,X,X
TZJISOL,X,O,O,O,X,X,X,X
TZJIOLS,X,O,X,O,X,X,X,X
TZJIOSL,X,O,O,O,X,X,X,X
TZJLISO,O,O,O,O,X,O,X,X
TZJLIOS,X,O,X,O,X,O,X,O
TZJLSIO,O,O,O,O,X,O,X,X
TZJLSOI,O,O,O,O,X,O,X,O
TZJLOIS,X,X,X,O,X,O,X,O
TZJLOSI,X,X,X,O,X,O,X,O
TZJSILO,O,O,O,O,X,X,X,X
TZJSIOL,O,O,O,O,X,X,X,X
TZJSLIO,O,O,O,O,X,O,X,X
TZJSLOI,O,O,O,O,X,O,X,O
TZJSOIL,O,O,O,O,X,X,X,X
TZJSOLI,O,O,O,O,X,O,X,X
TZJOILS,X,O,O,O,X,X,X,X
TZJOISL,X,O,O,O,X,X,X,X
