sequence,v115@HhA8IeC8BeA8CeB8DeE8Je0/IvhFlgBanBGjBXmBzn?BRvB,v115@HhA8IeC8BeA8CeB8DeE8Jel/IvhF3gBRiBcoBOrBTn?BSvB,v115@HhA8IeC8BeA8CeB8DeE8Jel/IvhFUhBRiBSoB2sBzq?BXqB,v115@HhA8IeC8BeA8CeB8DeE8JeRBJvhFqnBTjBfrBmmBUq?BlpB,v115@HhA8IeC8BeA8CeB8DeE8JeVFJvhFRiBSoBXmB2sB0p?BzqB,v115@HhA8IeC8BeA8CeB8DeE8Je0/IvhFRmBFoBmmBCoBzq?BXqB,v115@HhA8IeC8BeA8CeB8DeE8JexCJvhF0lBFnBXoB6pBOr?BTqB,v115@HhA8IeC8BeA8CeB8DeE8JeXCJvhFTjBRlB1sB6qBOr?B0pB
TZJOISL,X,O,O,X,X,O,X,X
TZJOLIS,O,O,O,X,X,X,X,X
TZJOLSI,O,O,O,X,X,X,X,X
TZJOSIL,X,O,O,X,X,X,X,X
TZJOSLI,O,O,O,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,O,X
TZSILOJ,O,O,X,X,X,O,O,X
TZSIJLO,O,O,X,X,X,X,O,X
TZSIJOL,X,O,X,X,X,X,O,X
TZSIOLJ,O,O,X,X,X,O,O,O
TZSIOJL,O,O,X,X,X,O,O,O
TZSLIJO,O,O,X,X,X,X,O,X
TZSLIOJ,O,O,X,X,X,X,O,X
TZSLJIO,O,O,X,X,O,X,O,X
TZSLJOI,O,O,X,X,O,X,O,X
TZSLOIJ,O,O,X,X,X,X,O,X
TZSLOJI,O,O,X,X,X,X,O,X
TZSJILO,O,O,X,X,O,X,O,X
TZSJIOL,X,O,X,X,X,X,O,X
TZSJLIO,O,O,X,X,O,X,O,X
TZSJLOI,O,O,X,X,O,X,O,X
TZSJOIL,O,O,X,X,X,X,O,X
TZSJOLI,O,O,X,X,X,X,O,X
TZSOILJ,O,O,X,X,X,O,O,O
TZSOIJL,O,O,X,X,X,O,O,O
TZSOLIJ,O,O,X,X,X,X,O,X
TZSOLJI,O,O,X,X,X,X,O,X
TZSOJIL,O,O,X,X,X,X,O,X
TZSOJLI,O,O,X,X,X,X,O,X
TZOILJS,O,O,O,X,X,O,X,X
TZOILSJ,O,O,O,X,X,O,X,X
TZOIJLS,O,O,O,X,X,O,X,X
TZOIJSL,O,O,O,X,X,O,X,X
TZOISLJ,O,O,O,X,X,O,X,O
TZOISJL,O,O,X,X,X,O,X,O
TZOLIJS,O,O,O,X,X,O,X,X
TZOLISJ,O,O,O,X,X,O,X,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,O,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X
TZOJILS,O,O,O,X,X,O,X,X
TZOJISL,O,O,O,X,X,O,X,X
TZOJLIS,O,O,O,X,X,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X
TZOSILJ,O,O,O,X,X,O,O,O
TZOSIJL,O,O,X,X,X,O,O,O
TZOSLIJ,O,O,O,X,X,X,O,X
TZOSLJI,O,O,O,X,X,X,O,X
TZOSJIL,O,O,O,X,X,X,O,X
TZOSJLI,O,O,O,X,X,X,O,X
TOILJSZ,X,O,O,X,X,X,X,X
TOILJZS,X,O,O,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X,X,O
TOILSZJ,X,O,O,X,X,X,X,O
TOILZJS,X,O,O,X,X,O,X,X
TOILZSJ,X,O,O,X,X,O,X,X
TOIJLSZ,X,X,O,X,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X,X
TOIJSLZ,X,X,O,X,X,X,X,O
TOIJSZL,X,O,O,X,X,X,X,O
TOIJZLS,X,O,O,X,X,O,X,X
TOIJZSL,X,O,O,X,X,O,X,X
TOISLJZ,X,X,X,X,X,X,X,O
TOISLZJ,X,X,X,X,X,X,X,O
TOISJLZ,X,X,X,X,X,X,X,O
TOISJZL,X,X,X,X,X,X,X,O
TOISZLJ,X,O,X,X,X,O,X,O
TOISZJL,X,O,X,X,X,O,X,O
TOIZLJS,X,O,O,X,X,O,X,X
TOIZLSJ,X,O,O,X,X,O,X,X
TOIZJLS,X,O,O,X,X,O,X,X
TOIZJSL,X,O,O,X,X,O,X,X
TOIZSLJ,X,O,O,X,X,O,X,O
TOIZSJL,X,O,X,X,X,O,X,O
TOLIJSZ,O,O,O,X,X,X,X,X
TOLIJZS,O,O,O,X,X,X,X,X
TOLISJZ,O,X,X,X,X,X,X,O
TOLISZJ,O,O,O,X,X,X,X,O
TOLIZJS,O,O,O,X,X,O,X,X
TOLIZSJ,O,O,O,X,X,O,X,X
TOLJISZ,O,O,O,X,O,X,X,X
TOLJIZS,O,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,O,X,X,X
TOLJZIS,O,O,O,X,X,X,X,X
TOLJZSI,O,O,O,X,X,X,X,X
TOLSIJZ,O,X,X,X,X,X,X,O
TOLSIZJ,O,O,O,X,X,X,X,O
TOLSJIZ,O,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,O,X,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,X
TOLZIJS,O,O,O,X,X,O,X,X
TOLZISJ,O,O,O,X,X,O,X,X
TOLZJIS,O,O,O,X,X,X,X,X
TOLZJSI,O,O,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X,X
TOJILSZ,O,X,O,X,O,X,X,X
TOJILZS,O,X,O,X,X,X,X,X
TOJISLZ,O,X,O,X,O,X,X,O
TOJISZL,O,O,O,X,X,X,X,O
TOJIZLS,O,O,O,X,X,O,X,X
TOJIZSL,O,O,O,X,X,O,X,X
TOJLISZ,O,O,O,X,O,X,X,X
TOJLIZS,O,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,O,O,X,X,X
TOJLSZI,O,O,O,O,O,X,X,X
TOJLZIS,O,O,O,X,X,X,X,X
TOJLZSI,O,O,O,X,X,X,X,X
TOJSILZ,O,X,O,X,O,X,X,O
TOJSIZL,O,O,O,X,X,X,X,O
TOJSLIZ,O,X,O,O,O,X,X,X
TOJSLZI,O,O,O,O,O,X,X,X
TOJSZIL,O,O,O,X,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X,X
TOJZILS,O,O,O,X,X,O,X,X
TOJZISL,O,O,O,X,X,O,X,X
TOJZLIS,O,O,O,X,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X
TOSILJZ,O,X,X,X,X,X,X,O
TOSILZJ,O,X,X,X,X,X,X,O
TOSIJLZ,O,X,X,X,X,X,X,O
TOSIJZL,O,X,X,X,X,X,X,O
TOSIZLJ,O,O,X,X,X,O,O,O
TOSIZJL,O,O,X,X,X,O,O,O
TOSLIJZ,O,X,X,X,X,X,X,O
TOSLIZJ,O,O,O,X,X,X,X,O
TOSLJIZ,O,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,X,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X,X
TOSJILZ,O,X,O,X,O,X,X,O
TOSJIZL,O,O,O,X,X,X,X,O
TOSJLIZ,O,X,O,O,O,X,X,X
TOSJLZI,O,O,O,O,O,X,X,X
TOSJZIL,O,O,O,X,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X,X
TOSZILJ,O,O,O,X,X,O,O,O
TOSZIJL,O,O,X,X,X,O,O,O
TOSZLIJ,O,O,O,X,X,X,O,X
TOSZLJI,O,O,O,X,X,X,O,X
TOSZJIL,O,O,O,X,X,X,O,X
TOSZJLI,O,O,O,X,X,X,O,X
TOZILJS,O,O,O,X,X,O,X,X
TOZILSJ,O,O,O,X,X,O,X,X
TOZIJLS,O,O,O,X,X,O,X,X
TOZIJSL,O,O,O,X,X,O,X,X
TOZISLJ,O,O,O,X,X,O,X,O
TOZISJL,O,O,X,X,X,O,X,O
TOZLIJS,O,O,O,X,X,O,X,X
TOZLISJ,O,O,O,X,X,O,X,X
TOZLJIS,O,O,O,X,X,X,X,X
TOZLJSI,O,O,O,X,X,X,X,X
TOZLSIJ,O,O,O,X,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X,X
TOZJILS,O,O,O,X,X,O,X,X
TOZJISL,O,O,O,X,X,O,X,X
TOZJLIS,O,O,O,X,X,X,X,X
TOZJLSI,O,O,O,X,X,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X,X
TOZSILJ,O,O,O,X,X,O,O,O
TOZSIJL,O,O,X,X,X,O,O,O
TOZSLIJ,O,O,O,X,X,X,O,X
TOZSLJI,O,O,O,X,X,X,O,X
TOZSJIL,O,O,O,X,X,X,O,X
TOZSJLI,O,O,O,X,X,X,O,X
ITLJSZO,X,O,X,X,O,X,X,X
ITLJSOZ,X,O,O,X,O,X,X,X
ITLJZSO,X,O,X,X,O,X,X,X
ITLJZOS,X,O,O,X,X,X,X,X
ITLJOSZ,X,O,O,X,O,X,X,X
ITLJOZS,X,O,O,X,X,X,X,X
ITLSJZO,X,X,X,X,O,X,X,X
ITLSJOZ,X,X,X,X,O,X,X,X
ITLSZJO,X,O,X,X,X,X,X,X
ITLSZOJ,X,O,X,X,X,X,X,X
ITLSOJZ,X,X,X,X,X,X,X,O
ITLSOZJ,X,O,O,X,X,X,X,O
ITLZJSO,X,O,X,X,X,X,X,X
ITLZJOS,X,O,X,X,X,O,X,X
ITLZSJO,X,O,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,O,X,X
ITLZOJS,X,O,O,X,X,O,X,X
ITLZOSJ,X,O,O,X,X,O,X,X
ITLOJSZ,X,O,O,X,X,X,X,X
ITLOJZS,X,O,O,X,X,X,X,X
ITLOSJZ,X,X,X,X,X,X,X,O
ITLOSZJ,X,O,O,X,X,X,X,O
ITLOZJS,X,O,O,X,X,X,X,X
ITLOZSJ,X,O,O,X,X,X,X,X
ITJLSZO,X,X,X,X,O,X,X,X
ITJLSOZ,X,X,O,X,O,X,X,X
ITJLZSO,X,X,X,X,O,X,X,X
ITJLZOS,X,X,O,X,X,X,X,X
ITJLOSZ,X,X,O,X,O,X,X,X
ITJLOZS,X,X,O,X,X,X,X,X
ITJSLZO,X,X,X,X,O,X,X,X
ITJSLOZ,X,X,O,X,O,X,X,X
ITJSZLO,X,O,X,X,O,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X
ITJSOLZ,X,X,O,X,O,X,X,O
ITJSOZL,X,O,O,X,X,X,X,O
ITJZLSO,X,O,X,X,O,X,X,X
ITJZLOS,X,X,O,X,X,O,X,X
ITJZSLO,X,O,X,X,O,X,X,X
ITJZSOL,X,O,X,X,X,X,X,X
ITJZOLS,X,O,O,X,X,O,X,X
ITJZOSL,X,O,O,X,X,O,X,X
ITJOLSZ,X,X,O,X,O,X,X,X
ITJOLZS,X,X,O,X,X,X,X,X
ITJOSLZ,X,X,O,X,O,X,X,O
ITJOSZL,X,O,O,X,X,X,X,O
ITJOZLS,X,O,O,X,X,X,X,X
ITJOZSL,X,O,O,X,X,X,X,X
ITSLJZO,X,X,X,X,O,X,X,X
ITSLJOZ,X,X,X,X,O,X,X,X
ITSLZJO,X,X,X,X,X,X,O,X
ITSLZOJ,X,X,X,X,X,X,O,X
ITSLOJZ,X,X,X,X,X,X,X,O
ITSLOZJ,X,X,X,X,X,X,X,O
ITSJLZO,X,X,X,X,O,X,X,X
ITSJLOZ,X,X,X,X,O,X,X,X
ITSJZLO,X,X,X,X,O,X,O,X
ITSJZOL,X,X,X,X,X,X,O,X
ITSJOLZ,X,X,X,X,O,X,X,O
ITSJOZL,X,X,X,X,X,X,X,O
ITSZLJO,X,O,X,X,X,X,O,X
ITSZLOJ,X,O,X,X,X,O,O,X
ITSZJLO,X,O,X,X,X,X,O,X
ITSZJOL,X,O,X,X,X,X,O,X
ITSZOLJ,X,O,X,X,X,O,O,O
ITSZOJL,X,O,X,X,X,O,O,O
ITSOLJZ,X,X,X,X,X,X,X,O
ITSOLZJ,X,X,X,X,X,X,X,O
ITSOJLZ,X,X,X,X,X,X,X,O
ITSOJZL,X,X,X,X,X,X,X,O
ITSOZLJ,X,O,X,X,X,X,O,O
ITSOZJL,X,O,X,X,X,X,O,O
ITZLJSO,X,O,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,O,X,X
ITZLSJO,X,O,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,O,X,X
ITZLOJS,X,O,X,X,X,O,X,X
ITZLOSJ,X,O,X,X,X,O,X,X
ITZJLSO,X,O,X,X,X,X,X,X
ITZJLOS,X,X,X,X,X,O,X,X
ITZJSLO,X,O,X,X,X,X,X,X
ITZJSOL,X,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,O,X,X
ITZJOSL,X,O,X,X,X,O,X,X
ITZSLJO,X,O,X,X,X,X,O,X
ITZSLOJ,X,O,X,X,X,O,O,X
ITZSJLO,X,O,X,X,X,X,O,X
ITZSJOL,X,O,X,X,X,X,O,X
ITZSOLJ,X,O,X,X,X,O,O,O
ITZSOJL,X,O,X,X,X,O,O,O
ITZOLJS,X,O,X,X,X,O,X,X
ITZOLSJ,X,O,X,X,X,O,X,X
ITZOJLS,X,O,X,X,X,O,X,X
ITZOJSL,X,O,X,X,X,O,X,X
ITZOSLJ,X,O,X,X,X,O,X,O
ITZOSJL,X,O,X,X,X,O,X,O
ITOLJSZ,X,O,O,X,X,X,X,X
ITOLJZS,X,O,O,X,X,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,O
ITOLSZJ,X,O,O,X,X,X,X,O
ITOLZJS,X,O,O,X,X,O,X,X
ITOLZSJ,X,O,O,X,X,O,X,X
ITOJLSZ,X,X,O,X,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X,X
ITOJSLZ,X,X,O,X,X,X,X,O
ITOJSZL,X,O,O,X,X,X,X,O
ITOJZLS,X,O,O,X,X,O,X,X
ITOJZSL,X,O,O,X,X,O,X,X
ITOSLJZ,X,X,X,X,X,X,X,O
ITOSLZJ,X,X,X,X,X,X,X,O
ITOSJLZ,X,X,X,X,X,X,X,O
ITOSJZL,X,X,X,X,X,X,X,O
ITOSZLJ,X,O,X,X,X,O,X,O
ITOSZJL,X,O,X,X,X,O,X,O
ITOZLJS,X,O,O,X,X,O,X,X
ITOZLSJ,X,O,O,X,X,O,X,X
ITOZJLS,X,O,O,X,X,O,X,X
ITOZJSL,X,O,O,X,X,O,X,X
ITOZSLJ,X,O,O,X,X,O,X,O
ITOZSJL,X,O,X,X,X,O,X,O
ILTJSZO,O,O,X,X,O,X,X,X
ILTJSOZ,O,O,O,X,O,X,X,X
ILTJZSO,O,O,X,X,O,X,X,X
ILTJZOS,O,O,O,X,X,X,X,X
ILTJOSZ,X,O,O,X,O,X,X,X
ILTJOZS,X,O,O,X,X,X,X,X
ILTSJZO,O,X,X,X,O,X,X,X
ILTSJOZ,O,X,X,X,O,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,O
ILTSOZJ,O,O,O,X,X,X,X,O
ILTZJSO,O,O,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,O,X,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,O,X,X
ILTZOJS,O,O,O,X,X,O,X,X
ILTZOSJ,O,O,O,X,X,O,X,X
ILTOJSZ,O,O,O,X,X,X,X,X
ILTOJZS,O,O,O,X,X,X,X,X
ILTOSJZ,O,X,X,X,X,X,X,O
ILTOSZJ,O,O,O,X,X,X,X,O
ILTOZJS,O,O,O,X,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,X
ILJTSZO,O,O,X,X,O,X,X,X
ILJTSOZ,O,O,O,X,O,X,X,X
ILJTZSO,O,O,X,X,O,X,X,X
ILJTZOS,O,O,O,X,X,X,X,X
ILJTOSZ,X,O,O,X,O,X,X,X
ILJTOZS,X,O,O,X,X,X,X,X
ILJSTZO,O,O,X,O,O,X,X,X
ILJSTOZ,O,O,O,O,O,X,X,X
ILJSZTO,O,O,X,O,X,X,X,X
ILJSZOT,O,O,X,O,X,X,X,X
ILJSOTZ,O,O,O,O,X,X,X,X
ILJSOZT,O,O,O,O,X,X,X,X
ILJZTSO,O,O,X,X,O,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,X,X
ILJZOTS,O,O,O,X,X,X,X,X
ILJZOST,O,O,O,X,X,X,X,X
ILJOTSZ,O,O,O,X,O,X,X,X
ILJOTZS,O,O,O,X,X,X,X,X
ILJOSTZ,O,O,O,O,X,X,X,X
ILJOSZT,O,O,O,O,X,X,X,X
ILJOZTS,O,O,O,X,X,X,X,X
ILJOZST,O,O,O,X,X,X,X,X
ILSTJZO,O,X,X,X,O,X,X,X
ILSTJOZ,O,X,X,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,X,X,X,X,X
ILSJTZO,O,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,O,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X
ILSJOTZ,O,X,X,O,X,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X
ILSZTJO,O,O,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,O,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X
ILSOTJZ,O,X,X,X,X,X,X,X
ILSOTZJ,O,O,O,X,X,X,X,X
ILSOJTZ,O,X,X,O,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,O,X,X
ILZTSJO,O,O,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,O,X,X
ILZTOJS,O,O,O,X,X,O,X,X
ILZTOSJ,O,O,O,X,X,O,X,X
ILZJTSO,O,O,X,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,X,X
ILZJOTS,O,O,X,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X
ILZSJOT,O,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X
ILZOTJS,O,O,O,X,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X
ILOTJSZ,O,O,O,X,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X,X
ILOTSJZ,O,X,X,X,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,X
ILOTZJS,O,O,O,X,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X,X
ILOJTSZ,O,O,O,X,X,X,X,X
ILOJTZS,O,O,O,X,X,X,X,X
ILOJSTZ,O,O,O,O,X,X,X,X
ILOJSZT,O,O,O,O,X,X,X,X
ILOJZTS,O,O,O,X,X,X,X,X
ILOJZST,O,O,O,X,X,X,X,X
ILOSTJZ,O,X,X,X,X,X,X,X
ILOSTZJ,O,O,O,X,X,X,X,X
ILOSJTZ,O,X,X,O,X,X,X,X
ILOSJZT,O,X,X,O,X,X,X,X
ILOSZTJ,O,O,O,X,X,X,X,X
ILOSZJT,O,O,X,X,X,X,X,X
ILOZTJS,O,O,O,X,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X,X
ILOZJST,O,O,O,X,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X
IJTLSZO,O,X,X,X,O,X,X,X
IJTLSOZ,O,X,O,X,O,X,X,X
IJTLZSO,O,X,X,X,O,X,X,X
IJTLZOS,O,X,O,X,X,X,X,X
IJTLOSZ,X,X,O,X,O,X,X,X
IJTLOZS,X,X,O,X,X,X,X,X
IJTSLZO,O,X,X,X,O,X,X,X
IJTSLOZ,O,X,O,X,O,X,X,X
IJTSZLO,O,O,X,X,O,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,O,X,O,X,X,O
IJTSOZL,O,O,O,X,X,X,X,O
IJTZLSO,O,O,X,X,O,X,X,X
IJTZLOS,O,X,O,X,X,O,X,X
IJTZSLO,O,O,X,X,O,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,O,O,O,X,X,O,X,X
IJTZOSL,X,O,O,X,X,O,X,X
IJTOLSZ,X,X,O,X,O,X,X,X
IJTOLZS,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,O,X,O,X,X,O
IJTOSZL,X,O,O,X,X,X,X,O
IJTOZLS,X,O,O,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,X
IJLTSZO,O,O,X,X,O,X,X,X
IJLTSOZ,O,O,O,X,O,X,X,X
IJLTZSO,O,O,X,X,O,X,X,X
IJLTZOS,O,O,O,X,X,X,X,X
IJLTOSZ,X,O,O,X,O,X,X,X
IJLTOZS,X,O,O,X,X,X,X,X
IJLSTZO,O,O,X,O,O,X,X,X
IJLSTOZ,O,O,O,O,O,X,X,X
IJLSZTO,O,O,X,O,X,X,X,X
IJLSZOT,O,O,X,O,X,X,X,X
IJLSOTZ,O,O,O,O,X,X,X,X
IJLSOZT,O,O,O,O,X,X,X,X
IJLZTSO,O,O,X,X,O,X,X,X
IJLZTOS,O,O,O,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,X,X
IJLZOTS,O,O,O,X,X,X,X,X
IJLZOST,O,O,O,X,X,X,X,X
IJLOTSZ,X,O,O,X,O,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X
IJLOSTZ,O,O,O,O,X,X,X,X
IJLOSZT,O,O,O,O,X,X,X,X
IJLOZTS,O,O,O,X,X,X,X,X
IJLOZST,O,O,O,X,X,X,X,X
IJSTLZO,O,X,X,O,O,X,X,X
IJSTLOZ,O,X,O,O,O,X,X,X
IJSTZLO,O,O,X,X,O,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X
IJSTOLZ,O,X,O,X,O,X,X,X
IJSTOZL,O,O,O,X,X,X,X,X
IJSLTZO,O,X,X,O,O,X,X,X
IJSLTOZ,O,X,O,O,O,X,X,X
IJSLZTO,O,X,X,O,X,X,X,X
IJSLZOT,O,X,X,O,X,X,X,X
IJSLOTZ,O,X,O,O,X,X,X,X
IJSLOZT,O,X,O,O,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X,X
IJSZLTO,O,O,X,O,X,X,X,X
IJSZLOT,O,X,X,O,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X
IJSOTLZ,O,X,O,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X
IJSOLTZ,O,X,O,O,X,X,X,X
IJSOLZT,O,X,O,O,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X
IJSOZLT,O,O,O,X,X,X,X,X
IJZTLSO,O,O,X,X,O,X,X,X
IJZTLOS,O,O,O,X,X,O,X,X
IJZTSLO,O,O,X,X,O,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X
IJZTOLS,O,O,O,X,X,O,X,X
IJZTOSL,X,O,O,X,X,O,X,X
IJZLTSO,O,O,X,X,O,X,X,X
IJZLTOS,O,O,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X,X
IJZLOTS,O,O,O,X,X,X,X,X
IJZLOST,O,O,O,X,X,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X
IJZOTLS,O,O,O,X,X,X,X,X
IJZOTSL,X,O,O,X,X,X,X,X
IJZOLTS,O,O,O,X,X,X,X,X
IJZOLST,O,O,O,X,X,X,X,X
IJZOSTL,O,O,O,X,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X
IJOTLSZ,X,X,O,X,O,X,X,X
IJOTLZS,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,O,X,O,X,X,X
IJOTSZL,X,O,O,X,X,X,X,X
IJOTZLS,X,O,O,X,X,X,X,X
IJOTZSL,X,O,O,X,X,X,X,X
IJOLTSZ,X,O,O,X,O,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X
IJOLSTZ,O,O,O,O,X,X,X,X
IJOLSZT,O,O,O,O,X,X,X,X
IJOLZTS,O,O,O,X,X,X,X,X
IJOLZST,O,O,O,X,X,X,X,X
IJOSTLZ,O,X,O,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X
IJOSLTZ,O,X,O,O,X,X,X,X
IJOSLZT,O,X,O,O,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X,X
IJOZTLS,O,O,O,X,X,X,X,X
IJOZTSL,X,O,O,X,X,X,X,X
IJOZLTS,O,O,O,X,X,X,X,X
IJOZLST,O,O,O,X,X,X,X,X
IJOZSTL,O,O,O,X,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X
ISTLJZO,O,X,X,X,O,X,X,X
ISTLJOZ,X,X,X,X,O,X,X,X
ISTLZJO,O,X,X,X,X,X,O,X
ISTLZOJ,O,X,X,X,X,X,O,X
ISTLOJZ,O,X,X,X,X,X,X,O
ISTLOZJ,O,X,X,X,X,X,X,O
ISTJLZO,O,X,X,O,O,X,X,X
ISTJLOZ,X,X,X,O,O,X,X,X
ISTJZLO,O,X,X,X,O,X,O,X
ISTJZOL,X,X,X,X,X,X,O,X
ISTJOLZ,X,X,X,X,O,X,X,O
ISTJOZL,X,X,X,X,X,X,X,O
ISTZLJO,O,O,X,X,X,X,O,X
ISTZLOJ,O,O,X,X,X,O,O,X
ISTZJLO,O,O,X,X,X,X,O,X
ISTZJOL,X,O,X,X,X,X,O,X
ISTZOLJ,O,O,X,X,X,O,O,O
ISTZOJL,O,O,X,X,X,O,O,O
ISTOLJZ,O,X,X,X,X,X,X,O
ISTOLZJ,O,X,X,X,X,X,X,O
ISTOJLZ,O,X,X,X,X,X,X,O
ISTOJZL,O,X,X,X,X,X,X,O
ISTOZLJ,O,O,X,X,X,X,O,O
ISTOZJL,O,O,X,X,X,X,O,O
ISLTJZO,O,X,X,X,O,X,X,X
ISLTJOZ,X,X,X,X,O,X,X,X
ISLTZJO,O,X,X,X,X,X,X,X
