sequence,v115@9gB8HeB8HeB8EeA8BeC8DeB8KemAJvhFUiBaoB5oBT?lBfsBVwB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeTAJvhFlhBaoB5oB/?rBOsB0qB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeUCJvhFaoB5oB/qBF?mBzrBmqB,v115@9gB8HeB8HeB8EeA8BeC8DeB8Ke0AJvhFlhBaoB5oB/?qBOsBTrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeTAJvhFaoB5oB/rBF?nB0qBmrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeaIJvhF5oBTlB/rBF?nB0qBmrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeOFJvhF8lBaoB5oBF?nBXrBzrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeKFJvhFRhBGjBFnB/?tB0rBzqB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KeyFJvhFGjBFnB/tBx?qB0qBzrB,v115@9gB8HeB8HeB8EeA8BeC8DeB8KexAJvhF/qBUmBFnBT?oBywBGtB
TILOSJZ,O,X,O,O,X,O,X,X,O,X
TILOSZJ,O,X,O,O,O,O,O,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,O,X,X,X,X,X,X
TIJLSZO,O,O,X,O,O,X,O,X,O,X
TIJLSOZ,O,O,X,O,X,O,X,X,O,X
TIJLZSO,O,O,X,O,X,X,X,X,X,X
TIJLZOS,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,O,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,X,X,X,X,X
TIJSLZO,O,O,X,O,O,X,O,X,O,X
TIJSLOZ,O,O,X,O,X,O,X,X,O,X
TIJSZLO,O,O,X,O,O,X,O,X,O,X
TIJSZOL,O,O,X,O,O,X,O,X,X,X
TIJSOLZ,O,O,X,O,X,O,X,X,O,X
TIJSOZL,O,O,X,O,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X,X,X
TIJZLOS,X,O,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,X,X,X,X
TIJZOLS,X,O,X,O,X,X,X,X,X,X
TIJZOSL,X,O,X,O,X,X,X,X,X,X
TIJOLSZ,O,O,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X,X,X,X
TIJOSZL,O,O,X,O,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,X,O,X,X,X,X,X,X
TISLJZO,O,O,X,O,O,X,O,X,O,X
TISLJOZ,O,X,X,O,X,O,X,X,O,X
TISLZJO,O,O,X,O,O,X,O,X,O,X
TISLZOJ,O,O,X,O,O,O,O,X,X,X
TISLOJZ,O,X,O,O,X,O,X,X,O,X
TISLOZJ,O,O,O,O,O,O,O,X,X,X
TISJLZO,O,O,X,O,O,X,O,X,O,X
TISJLOZ,O,O,X,O,X,O,X,X,O,X
TISJZLO,O,O,X,O,O,X,O,O,O,X
TISJZOL,O,O,X,O,O,X,O,O,X,X
TISJOLZ,O,O,X,O,X,O,X,X,O,X
TISJOZL,O,O,X,O,X,X,X,X,X,X
TISZLJO,O,O,X,O,O,X,O,O,O,X
TISZLOJ,O,O,X,O,O,O,O,O,X,O
TISZJLO,O,O,X,O,O,X,O,O,O,X
TISZJOL,O,O,X,O,O,X,O,O,X,O
TISZOLJ,O,O,X,O,O,O,O,O,X,O
TISZOJL,O,O,X,O,O,X,O,O,X,O
TISOLJZ,O,X,O,O,X,O,X,X,O,X
TISOLZJ,O,O,O,O,O,O,O,X,X,X
TISOJLZ,O,X,O,O,X,O,X,X,O,X
TISOJZL,O,X,O,O,X,X,X,X,X,X
TISOZLJ,O,O,O,O,O,O,O,X,X,O
TISOZJL,O,O,O,O,O,X,O,X,X,O
TIZLJSO,O,O,X,X,X,X,X,O,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,O,X,O,O,O,X
TIZLSOJ,O,O,X,X,O,O,O,O,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,X,O,X,X,O,X,X
TIZJLSO,O,O,X,X,X,X,X,O,X,X
TIZJLOS,X,O,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,O,X,X
TIZJSOL,O,O,X,X,X,X,X,O,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,O,X,O,O,O,X
TIZSLOJ,O,O,X,X,O,O,O,O,X,X
TIZSJLO,O,O,X,X,O,X,O,O,O,X
TIZSJOL,O,O,X,X,O,X,O,O,X,X
TIZSOLJ,O,O,X,X,O,O,O,O,X,X
TIZSOJL,O,O,X,X,O,X,O,O,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,O,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,O,X,X,O,X,X
TIZOSJL,O,O,O,X,O,X,X,O,X,X
TIOLJSZ,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,X,O,X,X,O,X
TIOLSZJ,O,X,O,O,O,O,O,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,O,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,O,X,O,X,X,O,X
TIOSLZJ,O,X,O,O,O,O,O,X,X,X
TIOSJLZ,O,X,O,O,X,O,X,X,O,X
TIOSJZL,O,X,O,O,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,O,O,O,X,X,O
TIOSZJL,O,X,O,O,O,X,O,X,X,O
TIOZLJS,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,O,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,O,X,X,X,X,X,X
TIOZSJL,O,X,O,O,X,X,X,X,X,X
TLIJSZO,O,O,X,O,O,X,O,X,O,X
TLIJSOZ,O,O,X,O,X,O,X,X,O,X
TLIJZSO,O,O,X,O,X,X,X,X,X,X
TLIJZOS,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,O,O,X,O,X,O,X
TLISJOZ,O,X,X,O,X,O,X,X,O,X
TLISZJO,O,O,X,O,O,X,O,X,O,X
TLISZOJ,O,O,X,O,O,O,O,X,X,X
TLISOJZ,O,X,O,O,X,O,X,X,O,X
TLISOZJ,O,O,O,O,O,O,O,X,X,X
TLIZJSO,O,O,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,O,X,O,X,O,X
TLIZSOJ,O,O,X,X,O,O,O,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,O,X,X,O,X
TLIOSZJ,O,X,O,O,O,O,O,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,O,X,X,X,X,X,X
TLJISZO,O,O,X,O,O,X,O,X,X,X
TLJISOZ,O,O,X,O,X,O,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,X,X,X
TLJIZOS,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,X,X,X
TLJSIZO,O,O,X,O,O,X,O,X,X,X
TLJSIOZ,O,O,X,O,X,O,X,X,X,X
TLJSZIO,O,O,X,O,O,X,O,X,X,X
TLJSZOI,O,O,X,O,O,X,O,X,X,X
TLJSOIZ,O,O,X,O,X,O,X,X,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,X,X,X,X,X
TLJZIOS,X,O,X,O,X,X,X,X,X,X
TLJZSIO,O,O,X,O,X,X,X,X,X,X
TLJZSOI,O,O,X,O,X,X,X,X,X,X
TLJZOIS,X,O,X,O,X,X,X,X,X,X
TLJZOSI,X,O,X,O,X,X,X,X,X,X
TLJOISZ,O,O,X,O,X,X,X,X,X,X
TLJOIZS,O,X,X,O,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,X,X,X,X,X,X
TLJOSZI,O,O,X,O,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X,X,X
TLJOZSI,O,X,X,O,X,X,X,X,X,X
TLSIJZO,O,O,X,O,O,X,O,X,O,X
TLSIJOZ,O,X,X,O,X,O,X,X,O,X
TLSIZJO,O,O,X,O,O,X,O,X,O,X
TLSIZOJ,O,O,X,O,O,O,O,X,X,X
TLSIOJZ,O,X,O,O,X,O,X,X,O,X
TLSIOZJ,O,O,O,O,O,O,O,X,X,X
TLSJIZO,O,O,X,O,O,X,O,X,O,X
TLSJIOZ,O,X,X,O,X,O,X,X,O,X
TLSJZIO,O,O,X,O,O,X,O,O,X,X
TLSJZOI,O,O,X,O,O,X,O,O,X,X
TLSJOIZ,O,X,X,O,X,O,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X,X
TLSZIJO,O,O,X,O,O,X,O,O,X,X
TLSZIOJ,O,O,X,O,O,O,O,O,X,O
TLSZJIO,O,O,X,O,O,X,O,O,X,X
TLSZJOI,O,O,X,O,O,X,O,O,X,X
TLSZOIJ,O,O,X,O,O,O,O,O,X,O
TLSZOJI,O,O,X,O,O,X,O,O,X,O
TLSOIJZ,O,X,O,O,X,O,X,X,X,X
TLSOIZJ,O,O,O,O,O,O,O,X,X,X
TLSOJIZ,O,X,O,O,X,O,X,X,X,X
TLSOJZI,O,X,O,O,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,O,X,X,O
TLSOZJI,O,O,O,O,O,X,O,X,X,O
TLZIJSO,O,O,X,X,X,X,X,O,X,X
TLZIJOS,X,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,O,X,O,O,X,X
TLZISOJ,O,O,X,X,O,O,O,O,X,X
TLZIOJS,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,O,X,X
TLZJISO,O,O,X,X,X,X,X,O,X,X
TLZJIOS,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,X,X,O,X,X
TLZJSOI,O,O,X,X,X,X,X,O,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,O,X,O,O,X,X
TLZSIOJ,O,O,X,X,O,O,O,O,X,X
TLZSJIO,O,O,X,X,O,X,O,O,X,X
TLZSJOI,O,O,X,X,O,X,O,O,X,X
TLZSOIJ,O,O,X,X,O,O,O,O,X,X
TLZSOJI,O,O,X,X,O,X,O,O,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,O,O,X,O,X,X,O,X,X
TLZOJIS,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,O,X,X
TLZOSJI,O,O,O,X,O,X,X,O,X,X
TLOIJSZ,O,X,X,O,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,O,X,X,X,X
TLOISZJ,O,X,O,O,O,O,O,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,O,X,X,X,X,X,X
TLOJISZ,O,X,X,O,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,O,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,O,X,X,X,X
TLOSIZJ,O,X,O,O,O,O,O,X,X,X
TLOSJIZ,O,X,O,O,X,O,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X
TLOSZIJ,O,X,O,O,O,O,O,X,X,O
TLOSZJI,O,X,O,O,O,X,O,X,X,O
TLOZIJS,O,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,O,O,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,O,X,X,X,X,X,X
TLOZSJI,O,X,O,O,X,X,X,X,X,X
TJILSZO,O,O,X,O,O,X,O,X,O,X
TJILSOZ,O,O,X,O,X,O,X,X,O,X
TJILZSO,O,O,X,O,X,X,X,X,X,X
TJILZOS,X,O,X,O,X,X,X,X,X,X
TJILOSZ,O,O,X,O,X,X,X,X,X,X
TJILOZS,O,X,X,O,X,X,X,X,X,X
TJISLZO,O,O,X,O,O,X,O,X,O,X
TJISLOZ,O,O,X,O,X,O,X,X,O,X
TJISZLO,O,O,X,O,O,X,O,X,O,X
TJISZOL,O,O,X,O,O,X,O,X,X,X
TJISOLZ,O,O,X,O,X,O,X,X,O,X
TJISOZL,O,O,X,O,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,X,X,X,X
TJIZLOS,X,O,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,X,X,X,X
TJIZSOL,O,O,X,O,X,X,X,X,X,X
TJIZOLS,X,O,X,O,X,X,X,X,X,X
TJIZOSL,X,O,X,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,O,X,X,X,X,X,X
TJIOLZS,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,X,O,X,X,X,X,X,X
TJIOSZL,O,O,X,O,X,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,X,X,X,X
TJLISZO,O,O,X,O,O,X,O,X,X,X
TJLISOZ,O,O,X,O,X,O,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,X,X,X
TJLIZOS,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,X,X,X,X,X
TJLIOZS,O,X,X,O,X,X,X,X,X,X
TJLSIZO,O,O,X,O,O,X,O,X,X,X
TJLSIOZ,O,O,X,O,X,O,X,X,X,X
TJLSZIO,O,O,X,O,O,X,O,X,X,X
TJLSZOI,O,O,X,O,O,X,O,X,X,X
TJLSOIZ,O,O,X,O,X,O,X,X,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X,X
TJLZISO,O,O,X,O,X,X,X,X,X,X
TJLZIOS,X,O,X,O,X,X,X,X,X,X
TJLZSIO,O,O,X,O,X,X,X,X,X,X
TJLZSOI,O,O,X,O,X,X,X,X,X,X
TJLZOIS,X,O,X,O,X,X,X,X,X,X
TJLZOSI,X,O,X,O,X,X,X,X,X,X
TJLOISZ,O,O,X,O,X,X,X,X,X,X
TJLOIZS,O,X,X,O,X,X,X,X,X,X
TJLOSIZ,O,O,X,O,X,X,X,X,X,X
TJLOSZI,O,O,X,O,X,X,X,X,X,X
TJLOZIS,O,X,X,O,X,X,X,X,X,X
TJLOZSI,O,X,X,O,X,X,X,X,X,X
TJSILZO,O,O,X,O,O,X,O,X,O,X
TJSILOZ,O,O,X,O,X,O,X,X,O,X
TJSIZLO,O,O,X,O,O,X,O,O,O,X
TJSIZOL,O,O,X,O,O,X,O,O,X,X
TJSIOLZ,O,O,X,O,X,O,X,X,O,X
TJSIOZL,O,O,X,O,X,X,X,X,X,X
TJSLIZO,O,O,X,O,O,X,O,X,O,X
TJSLIOZ,O,O,X,O,X,O,X,X,O,X
TJSLZIO,O,O,X,O,O,X,O,O,X,X
TJSLZOI,O,O,X,O,O,X,O,O,X,X
TJSLOIZ,O,O,X,O,X,O,X,X,X,X
TJSLOZI,O,O,X,O,X,X,X,X,X,X
TJSZILO,O,O,X,O,O,X,O,O,O,X
TJSZIOL,O,O,X,O,O,X,O,O,X,O
TJSZLIO,O,O,X,O,O,X,O,O,X,X
TJSZLOI,O,O,X,O,O,X,O,O,X,X
TJSZOIL,O,O,X,O,O,X,O,O,X,O
TJSZOLI,O,O,X,O,O,X,O,O,X,O
TJSOILZ,O,O,X,O,X,O,X,X,O,X
TJSOIZL,O,O,X,O,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,O,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,O,X,O
TJSOZLI,O,O,X,O,X,X,X,O,X,O
TJZILSO,O,O,X,O,X,X,X,O,X,X
TJZILOS,X,O,X,O,X,X,X,X,X,X
TJZISLO,O,O,X,O,X,X,X,O,X,X
TJZISOL,O,O,X,O,X,X,X,O,X,X
TJZIOLS,X,O,X,O,X,X,X,X,X,X
TJZIOSL,X,O,X,O,X,X,X,X,X,X
TJZLISO,O,O,X,O,X,X,X,O,X,X
TJZLIOS,X,O,X,O,X,X,X,X,X,X
TJZLSIO,O,O,X,O,X,X,X,O,X,X
TJZLSOI,O,O,X,O,X,X,X,O,X,X
TJZLOIS,X,O,X,O,X,X,X,X,X,X
TJZLOSI,X,O,X,O,X,X,X,X,X,X
TJZSILO,O,O,X,O,X,X,X,O,X,X
TJZSIOL,O,O,X,O,X,X,X,O,X,X
TJZSLIO,O,O,X,O,X,X,X,O,X,X
TJZSLOI,O,O,X,O,X,X,X,O,X,X
TJZSOIL,O,O,X,O,X,X,X,O,X,X
TJZSOLI,O,O,X,O,X,X,X,O,X,X
TJZOILS,X,O,X,O,X,X,X,X,X,X
TJZOISL,X,O,X,O,X,X,X,X,X,X
TJZOLIS,X,O,X,O,X,X,X,X,X,X
TJZOLSI,X,O,X,O,X,X,X,X,X,X
TJZOSIL,X,O,X,O,X,X,X,X,X,X
TJZOSLI,X,O,X,O,X,X,X,X,X,X
TJOILSZ,O,O,X,O,X,X,X,X,X,X
TJOILZS,O,X,X,O,X,X,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,X,X,X,X
TJOIZLS,O,X,X,O,X,X,X,X,X,X
TJOIZSL,O,X,X,O,X,X,X,X,X,X
TJOLISZ,O,O,X,O,X,X,X,X,X,X
TJOLIZS,O,X,X,O,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,X,X,X,X,X,X
TJOLSZI,O,O,X,O,X,X,X,X,X,X
TJOLZIS,O,X,X,O,X,X,X,X,X,X
TJOLZSI,O,X,X,O,X,X,X,X,X,X
TJOSILZ,O,O,X,O,X,X,X,X,X,X
TJOSIZL,O,O,X,O,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,X,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X,X,O
TJOSZLI,O,O,X,O,X,X,X,X,X,O
TJOZILS,O,X,X,O,X,X,X,X,X,X
TJOZISL,O,X,X,O,X,X,X,X,X,X
TJOZLIS,O,X,X,O,X,X,X,X,X,X
TJOZLSI,O,X,X,O,X,X,X,X,X,X
TJOZSIL,O,X,X,O,X,X,X,X,X,X
TJOZSLI,O,X,X,O,X,X,X,X,X,X
TSILJZO,O,O,X,O,O,X,O,X,O,X
TSILJOZ,O,X,X,O,X,O,X,X,O,X
TSILZJO,O,O,X,O,O,X,O,X,O,X
TSILZOJ,O,O,X,O,O,O,O,X,X,X
TSILOJZ,O,X,O,O,X,O,X,X,O,X
TSILOZJ,O,O,O,O,O,O,O,X,X,X
TSIJLZO,O,O,X,O,O,X,O,X,O,X
TSIJLOZ,O,O,X,O,X,O,X,X,O,X
TSIJZLO,O,O,X,O,O,X,O,O,O,X
TSIJZOL,O,O,X,O,O,X,O,O,X,X
TSIJOLZ,O,O,X,O,X,O,X,X,O,X
TSIJOZL,O,O,X,O,X,X,X,X,X,X
TSIZLJO,O,O,X,O,O,X,O,O,O,X
TSIZLOJ,O,O,X,O,O,O,O,O,X,O
TSIZJLO,O,O,X,O,O,X,O,O,O,X
TSIZJOL,O,O,X,O,O,X,O,O,X,O
TSIZOLJ,O,O,X,O,O,O,O,O,X,O
TSIZOJL,O,O,X,O,O,X,O,O,X,O
TSIOLJZ,O,X,O,O,X,O,X,X,O,X
TSIOLZJ,O,O,O,O,O,O,O,X,X,X
TSIOJLZ,O,X,O,O,X,O,X,X,O,X
TSIOJZL,O,X,O,O,X,X,X,X,X,X
TSIOZLJ,O,O,O,O,O,O,O,X,X,O
TSIOZJL,O,O,O,O,O,X,O,X,X,O
TSLIJZO,O,O,X,O,O,X,O,X,O,X
TSLIJOZ,O,X,X,O,X,O,X,X,O,X
TSLIZJO,O,O,X,O,O,X,O,X,O,X
TSLIZOJ,O,O,X,O,O,O,O,X,X,X
TSLIOJZ,O,X,O,O,X,O,X,X,O,X
TSLIOZJ,O,O,O,O,O,O,O,X,X,X
TSLJIZO,O,O,X,O,O,X,O,X,O,X
TSLJIOZ,O,X,X,O,X,O,X,X,O,X
TSLJZIO,O,O,X,O,O,X,O,O,X,X
TSLJZOI,O,O,X,O,O,X,O,O,X,X
TSLJOIZ,O,X,X,O,X,O,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,X,X,X
TSLZIJO,O,O,X,O,O,X,O,O,X,X
TSLZIOJ,O,O,X,O,O,O,O,O,X,O
TSLZJIO,O,O,X,O,O,X,O,O,X,X
TSLZJOI,O,O,X,O,O,X,O,O,X,X
TSLZOIJ,O,O,X,O,O,O,O,O,X,O
TSLZOJI,O,O,X,O,O,X,O,O,X,O
TSLOIJZ,O,X,O,O,X,O,X,X,X,X
TSLOIZJ,O,O,O,O,O,O,O,X,X,X
TSLOJIZ,O,X,O,O,X,O,X,X,X,X
TSLOJZI,O,X,O,O,X,X,X,X,X,X
TSLOZIJ,O,O,O,O,O,O,O,X,X,O
TSLOZJI,O,O,O,O,O,X,O,X,X,O
TSJILZO,O,O,X,O,O,X,O,X,O,X
TSJILOZ,O,O,X,O,X,O,X,X,O,X
TSJIZLO,O,O,X,O,O,X,O,O,O,X
TSJIZOL,O,O,X,O,O,X,O,O,X,X
TSJIOLZ,O,O,X,O,X,O,X,X,O,X
TSJIOZL,O,O,X,O,X,X,X,X,X,X
TSJLIZO,O,O,X,O,O,X,O,X,O,X
TSJLIOZ,O,O,X,O,X,O,X,X,O,X
TSJLZIO,O,O,X,O,O,X,O,O,X,X
TSJLZOI,O,O,X,O,O,X,O,O,X,X
TSJLOIZ,O,O,X,O,X,O,X,X,X,X
TSJLOZI,O,O,X,O,X,X,X,X,X,X
TSJZILO,O,O,X,O,O,X,O,O,O,X
TSJZIOL,O,O,X,O,O,X,O,O,X,O
TSJZLIO,O,O,X,O,O,X,O,O,X,X
TSJZLOI,O,O,X,O,O,X,O,O,X,X
TSJZOIL,O,O,X,O,O,X,O,O,X,O
TSJZOLI,O,O,X,O,O,X,O,O,X,O
TSJOILZ,O,O,X,O,X,O,X,X,O,X
TSJOIZL,O,O,X,O,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,O,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,O,X,O
TSJOZLI,O,O,X,O,X,X,X,O,X,O
TSZILJO,O,O,X,O,O,X,O,O,O,X
TSZILOJ,O,O,X,O,O,O,O,O,X,O
TSZIJLO,O,O,X,O,O,X,O,O,O,X
TSZIJOL,O,O,X,O,O,X,O,O,X,O
TSZIOLJ,O,O,X,O,O,O,O,O,X,O
TSZIOJL,O,O,X,O,O,X,O,O,X,O
TSZLIJO,O,O,X,O,O,X,O,O,X,X
TSZLIOJ,O,O,X,O,O,O,O,O,X,O
TSZLJIO,O,O,X,O,O,X,O,O,X,X
TSZLJOI,O,O,X,O,O,X,O,O,X,X
TSZLOIJ,O,O,X,O,O,O,O,O,X,O
TSZLOJI,O,O,X,O,O,X,O,O,X,O
TSZJILO,O,O,X,O,O,X,O,O,O,X
TSZJIOL,O,O,X,O,O,X,O,O,X,O
TSZJLIO,O,O,X,O,O,X,O,O,X,X
TSZJLOI,O,O,X,O,O,X,O,O,X,X
TSZJOIL,O,O,X,O,O,X,O,O,X,O
TSZJOLI,O,O,X,O,O,X,O,O,X,O
TSZOILJ,O,O,X,O,O,O,O,O,X,O
TSZOIJL,O,O,X,O,O,X,O,O,X,O
TSZOLIJ,O,O,X,O,O,O,O,O,X,O
TSZOLJI,O,O,X,O,O,X,O,O,X,O
TSZOJIL,O,O,X,O,O,X,O,O,X,O
TSZOJLI,O,O,X,O,O,X,O,O,X,O
TSOILJZ,O,X,O,O,X,O,X,X,O,X
TSOILZJ,O,O,O,O,O,O,O,X,X,X
TSOIJLZ,O,X,O,O,X,O,X,X,O,X
