sequence,v115@HhA8IeC8FeF8CeB8Je0/IvhFxgBdnBCjBzlBXoBWxB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBOmBxiBtrBXoBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihB3iBcoBGlB9rBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihBcnBTjBGlB9rB3sB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBNmBTjBRsBXsBGsB
ITJLOSZ,X,X,O,O,O
ITJLOZS,X,X,O,X,O
ITJSLZO,X,O,O,O,X
ITJSLOZ,X,O,O,O,X
ITJSZLO,X,O,O,O,X
ITJSZOL,X,O,O,O,X
ITJSOLZ,X,O,O,O,X
ITJSOZL,X,O,O,O,X
ITJZLSO,X,O,O,X,O
ITJZLOS,X,X,O,X,O
ITJZSLO,X,O,O,O,X
ITJZSOL,X,O,O,O,X
ITJZOLS,X,X,O,X,O
ITJZOSL,X,X,O,O,X
ITJOLSZ,X,X,O,O,O
ITJOLZS,X,X,O,X,O
ITJOSLZ,X,X,O,O,X
ITJOSZL,X,X,O,O,X
ITJOZLS,X,X,O,X,O
ITJOZSL,X,X,O,O,X
ITSLJZO,X,O,X,X,O
ITSLJOZ,X,O,X,X,O
ITSLZJO,X,O,O,O,O
ITSLZOJ,X,O,O,O,O
ITSLOJZ,X,O,X,X,O
ITSLOZJ,X,O,O,O,O
ITSJLZO,X,O,X,O,X
ITSJLOZ,X,O,X,O,X
ITSJZLO,X,O,X,O,X
ITSJZOL,X,O,X,O,X
ITSJOLZ,X,O,X,O,X
ITSJOZL,X,O,X,O,X
ITSZLJO,X,O,O,O,O
ITSZLOJ,X,O,O,O,O
ITSZJLO,X,O,O,O,X
ITSZJOL,X,O,X,O,X
ITSZOLJ,X,O,O,O,O
ITSZOJL,X,O,O,O,X
ITSOLJZ,X,O,X,X,O
ITSOLZJ,X,O,O,O,O
ITSOJLZ,X,O,X,O,X
ITSOJZL,X,O,X,O,X
ITSOZLJ,X,O,O,O,O
ITSOZJL,X,O,O,O,X
ITZLJSO,X,O,O,X,O
ITZLJOS,X,X,O,X,O
ITZLSJO,X,O,O,X,O
ITZLSOJ,X,O,O,X,O
ITZLOJS,X,X,O,X,O
ITZLOSJ,X,X,O,X,O
ITZJLSO,X,O,O,X,O
ITZJLOS,X,X,O,X,O
ITZJSLO,X,O,O,X,X
ITZJSOL,X,O,O,X,X
ITZJOLS,X,X,O,X,O
ITZJOSL,X,X,O,X,X
ITZSLJO,X,O,O,O,O
ITZSLOJ,X,O,O,O,O
ITZSJLO,X,O,O,O,X
ITZSJOL,X,O,O,O,X
ITZSOLJ,X,O,O,O,O
ITZSOJL,X,O,O,O,X
ITZOLJS,X,X,O,X,O
ITZOLSJ,X,X,O,X,O
ITZOJLS,X,X,O,X,O
ITZOJSL,X,X,O,X,X
ITZOSLJ,X,X,O,O,O
ITZOSJL,X,X,O,O,X
ITOLJSZ,X,X,O,X,O
ITOLJZS,X,X,O,X,O
ITOLSJZ,X,X,X,X,O
ITOLSZJ,X,X,O,O,O
ITOLZJS,X,X,O,X,O
ITOLZSJ,X,X,O,X,O
ITOJLSZ,X,X,O,O,O
ITOJLZS,X,X,O,X,O
ITOJSLZ,X,X,O,O,X
ITOJSZL,X,X,O,O,X
ITOJZLS,X,X,O,X,O
ITOJZSL,X,X,O,O,X
ITOSLJZ,X,X,X,X,O
ITOSLZJ,X,X,O,O,O
ITOSJLZ,X,X,X,O,X
ITOSJZL,X,X,X,O,X
ITOSZLJ,X,X,O,O,O
ITOSZJL,X,X,O,O,X
ITOZLJS,X,X,O,X,O
ITOZLSJ,X,X,O,X,O
ITOZJLS,X,X,O,X,O
ITOZJSL,X,X,O,X,X
ITOZSLJ,X,X,O,O,O
ITOZSJL,X,X,O,O,X
ILTJSZO,X,O,X,X,O
ILTJSOZ,X,O,X,X,O
ILTJZSO,X,O,O,X,O
ILTJZOS,X,X,X,X,O
ILTJOSZ,X,X,X,X,O
ILTJOZS,X,X,O,X,O
ILTSJZO,X,O,X,X,O
ILTSJOZ,X,O,X,X,O
ILTSZJO,X,O,O,O,O
ILTSZOJ,X,O,O,O,O
ILTSOJZ,X,O,X,X,O
ILTSOZJ,X,O,O,O,O
ILTZJSO,X,O,O,X,O
ILTZJOS,X,X,X,X,O
ILTZSJO,X,O,O,X,O
ILTZSOJ,X,O,O,X,O
ILTZOJS,X,X,O,X,O
ILTZOSJ,X,X,O,X,O
ILTOJSZ,X,X,X,X,O
ILTOJZS,X,X,O,X,O
ILTOSJZ,X,X,X,X,O
ILTOSZJ,X,X,O,O,O
ILTOZJS,X,X,O,X,O
ILTOZSJ,X,X,O,X,O
ILJTSZO,X,O,O,O,O
ILJTSOZ,X,O,O,O,O
ILJTZSO,X,O,O,X,O
ILJTZOS,X,X,O,X,O
ILJTOSZ,X,X,O,O,O
ILJTOZS,X,X,O,X,O
ILJSTZO,X,O,X,O,X
ILJSTOZ,X,O,X,O,X
ILJSZTO,X,O,X,O,X
ILJSZOT,X,O,X,O,X
ILJSOTZ,X,X,X,O,X
ILJSOZT,X,O,X,O,X
ILJZTSO,X,O,O,X,O
ILJZTOS,X,X,O,X,O
ILJZSTO,X,O,O,X,X
ILJZSOT,X,O,X,X,X
ILJZOTS,X,X,O,X,O
ILJZOST,X,X,O,X,X
ILJOTSZ,X,X,O,O,O
ILJOTZS,X,X,O,X,O
ILJOSTZ,X,X,X,O,X
ILJOSZT,X,X,X,O,X
ILJOZTS,X,X,O,X,O
ILJOZST,X,X,O,X,X
ILSTJZO,X,O,X,X,O
ILSTJOZ,X,O,X,X,O
ILSTZJO,X,O,X,O,O
ILSTZOJ,X,O,X,O,O
ILSTOJZ,X,O,X,X,O
ILSTOZJ,X,O,X,O,O
ILSJTZO,X,O,X,O,X
ILSJTOZ,X,O,X,O,X
ILSJZTO,X,O,X,O,X
ILSJZOT,X,O,X,O,X
ILSJOTZ,X,X,X,O,X
ILSJOZT,X,O,X,O,X
ILSZTJO,X,O,X,O,O
ILSZTOJ,X,O,X,O,O
ILSZJTO,X,O,X,O,X
ILSZJOT,X,O,X,O,X
ILSZOTJ,X,O,X,O,O
ILSZOJT,X,O,X,O,X
ILSOTJZ,X,O,X,X,O
ILSOTZJ,X,O,X,O,O
ILSOJTZ,X,X,X,O,X
ILSOJZT,X,O,X,O,X
ILSOZTJ,X,O,X,O,O
ILSOZJT,X,O,X,O,X
ILZTJSO,X,O,O,X,O
ILZTJOS,X,X,X,X,O
ILZTSJO,X,O,O,X,O
ILZTSOJ,X,O,O,X,O
ILZTOJS,X,X,O,X,O
ILZTOSJ,X,X,O,X,O
ILZJTSO,X,O,O,X,O
ILZJTOS,X,X,O,X,O
ILZJSTO,X,O,O,X,X
ILZJSOT,X,O,X,X,X
ILZJOTS,X,X,O,X,O
ILZJOST,X,X,O,X,X
ILZSTJO,X,O,O,X,O
ILZSTOJ,X,O,O,X,O
ILZSJTO,X,O,O,X,X
ILZSJOT,X,O,X,X,X
ILZSOTJ,X,O,X,X,O
ILZSOJT,X,O,X,X,X
ILZOTJS,X,X,O,X,O
ILZOTSJ,X,X,O,X,O
ILZOJTS,X,X,O,X,O
ILZOJST,X,X,O,X,X
ILZOSTJ,X,X,O,X,O
ILZOSJT,X,X,O,X,X
ILOTJSZ,X,X,X,X,O
ILOTJZS,X,X,O,X,O
ILOTSJZ,X,X,X,X,O
ILOTSZJ,X,X,O,O,O
ILOTZJS,X,X,O,X,O
ILOTZSJ,X,X,O,X,O
ILOJTSZ,X,X,O,O,O
ILOJTZS,X,X,O,X,O
ILOJSTZ,X,X,X,O,X
ILOJSZT,X,X,X,O,X
ILOJZTS,X,X,O,X,O
ILOJZST,X,X,O,X,X
ILOSTJZ,X,X,X,X,O
ILOSTZJ,X,X,X,O,O
ILOSJTZ,X,X,X,O,X
ILOSJZT,X,X,X,O,X
ILOSZTJ,X,X,X,O,O
ILOSZJT,X,X,X,O,X
ILOZTJS,X,X,O,X,O
ILOZTSJ,X,X,O,X,O
ILOZJTS,X,X,O,X,O
ILOZJST,X,X,O,X,X
ILOZSTJ,X,X,O,X,O
ILOZSJT,X,X,O,X,X
IJTLSZO,O,O,O,O,O
IJTLSOZ,O,O,O,O,O
IJTLZSO,O,O,O,X,O
IJTLZOS,X,X,O,X,O
IJTLOSZ,X,X,O,O,O
IJTLOZS,X,X,O,X,O
IJTSLZO,O,O,O,O,X
IJTSLOZ,O,O,O,O,X
IJTSZLO,O,O,O,O,X
IJTSZOL,O,O,O,O,X
IJTSOLZ,O,O,O,O,X
IJTSOZL,O,O,O,O,X
IJTZLSO,O,O,O,X,O
IJTZLOS,X,X,O,X,O
IJTZSLO,O,O,O,O,X
IJTZSOL,O,O,O,O,X
IJTZOLS,O,X,O,X,O
IJTZOSL,O,X,O,O,X
IJTOLSZ,O,X,O,O,O
IJTOLZS,O,X,O,X,O
IJTOSLZ,O,X,O,O,X
IJTOSZL,O,X,O,O,X
IJTOZLS,O,X,O,X,O
IJTOZSL,O,X,O,O,X
IJLTSZO,X,O,O,O,O
IJLTSOZ,X,O,O,O,O
IJLTZSO,X,O,O,X,O
IJLTZOS,X,X,O,X,O
IJLTOSZ,X,X,O,O,O
IJLTOZS,X,X,O,X,O
IJLSTZO,X,O,X,O,X
IJLSTOZ,X,O,X,O,X
IJLSZTO,X,O,X,O,X
IJLSZOT,X,O,X,O,X
IJLSOTZ,X,X,X,O,X
IJLSOZT,X,O,X,O,X
IJLZTSO,X,O,O,X,O
IJLZTOS,X,X,O,X,O
IJLZSTO,X,O,O,X,X
IJLZSOT,X,O,X,X,X
IJLZOTS,X,X,O,X,O
IJLZOST,X,X,O,X,X
IJLOTSZ,X,X,O,O,O
IJLOTZS,X,X,O,X,O
IJLOSTZ,X,X,X,O,X
IJLOSZT,X,X,X,O,X
IJLOZTS,X,X,O,X,O
IJLOZST,X,X,O,X,X
IJSTLZO,O,O,O,O,X
IJSTLOZ,O,O,O,O,X
IJSTZLO,O,O,O,O,X
IJSTZOL,O,O,O,O,X
IJSTOLZ,O,O,O,O,X
IJSTOZL,O,O,O,O,X
IJSLTZO,O,O,X,O,X
IJSLTOZ,O,O,X,O,X
IJSLZTO,O,O,X,O,X
IJSLZOT,O,O,X,O,X
IJSLOTZ,O,X,X,O,X
IJSLOZT,O,O,X,O,X
IJSZTLO,O,O,O,O,X
IJSZTOL,O,O,O,O,X
IJSZLTO,O,O,O,O,X
IJSZLOT,O,O,X,O,X
IJSZOTL,O,X,O,O,X
IJSZOLT,O,O,O,O,X
IJSOTLZ,O,X,O,O,X
IJSOTZL,O,X,O,O,X
IJSOLTZ,O,X,X,O,X
IJSOLZT,O,O,X,O,X
IJSOZTL,O,X,O,O,X
IJSOZLT,O,O,O,O,X
IJZTLSO,O,O,O,X,O
IJZTLOS,X,X,O,X,O
IJZTSLO,O,O,O,O,X
IJZTSOL,O,O,O,O,X
IJZTOLS,O,X,O,X,O
IJZTOSL,O,X,O,O,X
IJZLTSO,O,O,O,X,O
IJZLTOS,X,X,O,X,O
IJZLSTO,O,O,O,X,X
IJZLSOT,X,O,X,X,X
IJZLOTS,X,X,O,X,O
IJZLOST,X,X,O,X,X
IJZSTLO,O,O,O,O,X
IJZSTOL,O,O,O,O,X
IJZSLTO,O,O,O,O,X
IJZSLOT,O,O,X,O,X
IJZSOTL,O,X,O,O,X
IJZSOLT,O,O,O,O,X
IJZOTLS,O,X,O,X,O
IJZOTSL,O,X,O,O,X
IJZOLTS,O,X,O,X,O
IJZOLST,O,X,O,X,X
IJZOSTL,O,X,O,O,X
IJZOSLT,O,X,O,O,X
IJOTLSZ,O,X,O,O,O
IJOTLZS,O,X,O,X,O
IJOTSLZ,O,X,O,O,X
IJOTSZL,O,X,O,O,X
IJOTZLS,O,X,O,X,O
IJOTZSL,O,X,O,O,X
IJOLTSZ,O,X,O,O,O
IJOLTZS,O,X,O,X,O
IJOLSTZ,O,X,X,O,X
IJOLSZT,O,X,X,O,X
IJOLZTS,O,X,O,X,O
IJOLZST,O,X,O,X,X
IJOSTLZ,O,X,O,O,X
IJOSTZL,O,X,O,O,X
IJOSLTZ,O,X,X,O,X
IJOSLZT,O,X,X,O,X
IJOSZTL,O,X,O,O,X
IJOSZLT,O,X,O,O,X
IJOZTLS,O,X,O,X,O
IJOZTSL,O,X,O,O,X
IJOZLTS,O,X,O,X,O
IJOZLST,O,X,O,X,X
IJOZSTL,O,X,O,O,X
IJOZSLT,O,X,O,O,X
ISTLJZO,X,O,X,X,O
ISTLJOZ,X,O,X,X,O
ISTLZJO,X,O,O,O,O
ISTLZOJ,X,O,O,O,O
ISTLOJZ,X,O,X,X,O
ISTLOZJ,X,O,O,O,O
ISTJLZO,X,O,X,O,X
ISTJLOZ,X,O,X,O,X
ISTJZLO,X,O,X,O,X
ISTJZOL,X,O,X,O,X
ISTJOLZ,X,O,X,O,X
ISTJOZL,X,O,X,O,X
ISTZLJO,X,O,O,O,O
ISTZLOJ,X,O,O,O,O
ISTZJLO,X,O,O,O,X
ISTZJOL,X,O,X,O,X
ISTZOLJ,X,O,O,O,O
ISTZOJL,X,O,O,O,X
ISTOLJZ,X,O,X,X,O
ISTOLZJ,X,O,O,O,O
ISTOJLZ,X,O,X,O,X
ISTOJZL,X,O,X,O,X
ISTOZLJ,X,O,O,O,O
ISTOZJL,X,O,O,O,X
ISLTJZO,X,O,X,X,O
ISLTJOZ,X,O,X,X,O
ISLTZJO,X,O,X,O,O
ISLTZOJ,X,O,X,O,O
ISLTOJZ,X,O,X,X,O
ISLTOZJ,X,O,X,O,O
ISLJTZO,X,O,X,O,X
ISLJTOZ,X,O,X,O,X
ISLJZTO,X,O,X,O,X
ISLJZOT,X,O,X,O,X
ISLJOTZ,X,X,X,O,X
ISLJOZT,X,O,X,O,X
ISLZTJO,X,O,X,O,O
ISLZTOJ,X,O,X,O,O
ISLZJTO,X,O,X,O,X
ISLZJOT,X,O,X,O,X
ISLZOTJ,X,O,X,O,O
ISLZOJT,O,O,X,O,X
ISLOTJZ,X,O,X,X,O
ISLOTZJ,X,O,X,O,O
ISLOJTZ,O,X,X,O,X
ISLOJZT,O,O,X,O,X
ISLOZTJ,X,O,X,O,O
ISLOZJT,O,O,X,O,X
ISJTLZO,X,O,O,O,X
ISJTLOZ,X,O,O,O,X
ISJTZLO,X,O,O,O,X
ISJTZOL,X,O,O,O,X
ISJTOLZ,X,O,O,O,X
ISJTOZL,X,O,O,O,X
ISJLTZO,X,O,X,O,X
ISJLTOZ,X,O,X,O,X
ISJLZTO,X,O,X,O,X
ISJLZOT,X,O,X,O,X
ISJLOTZ,X,X,X,O,X
ISJLOZT,X,O,X,O,X
ISJZTLO,X,O,O,O,X
ISJZTOL,X,O,O,O,X
ISJZLTO,X,O,O,O,X
ISJZLOT,X,O,X,O,X
ISJZOTL,X,X,O,O,X
ISJZOLT,X,O,O,O,X
ISJOTLZ,X,X,O,O,X
ISJOTZL,X,X,O,O,X
ISJOLTZ,X,X,X,O,X
ISJOLZT,X,O,X,O,X
ISJOZTL,X,X,O,O,X
ISJOZLT,X,O,O,O,X
ISZTLJO,X,O,O,O,O
ISZTLOJ,X,O,O,O,O
ISZTJLO,X,O,O,O,X
ISZTJOL,X,O,O,O,X
ISZTOLJ,X,O,O,O,O
ISZTOJL,X,O,O,O,X
ISZLTJO,X,O,O,O,O
ISZLTOJ,X,O,O,O,O
ISZLJTO,X,O,O,O,X
ISZLJOT,X,O,X,O,X
ISZLOTJ,X,O,X,O,O
ISZLOJT,O,O,X,O,X
ISZJTLO,X,O,O,O,X
ISZJTOL,X,O,O,O,X
ISZJLTO,X,O,O,O,X
ISZJLOT,X,O,X,O,X
ISZJOTL,X,X,O,O,X
ISZJOLT,X,O,O,O,X
ISZOTLJ,X,O,O,O,O
ISZOTJL,O,O,O,O,X
ISZOLTJ,X,O,O,O,O
ISZOLJT,O,O,O,O,X
ISZOJTL,O,X,O,O,X
ISZOJLT,O,O,O,O,X
ISOTLJZ,X,O,X,X,O
ISOTLZJ,X,O,O,O,O
ISOTJLZ,O,O,X,O,X
ISOTJZL,O,O,X,O,X
ISOTZLJ,X,O,O,O,O
ISOTZJL,O,O,O,O,X
ISOLTJZ,X,O,X,X,O
ISOLTZJ,X,O,X,O,O
ISOLJTZ,O,X,X,O,X
ISOLJZT,O,O,X,O,X
ISOLZTJ,X,O,X,O,O
ISOLZJT,O,O,X,O,X
ISOJTLZ,O,X,O,O,X
ISOJTZL,O,X,O,O,X
ISOJLTZ,O,X,X,O,X
ISOJLZT,O,O,X,O,X
ISOJZTL,O,X,O,O,X
ISOJZLT,O,O,O,O,X
ISOZTLJ,X,O,O,O,O
ISOZTJL,O,O,O,O,X
ISOZLTJ,X,O,O,O,O
ISOZLJT,O,O,O,O,X
ISOZJTL,O,X,O,O,X
ISOZJLT,O,O,O,O,X
IZTLJSO,X,O,O,X,O
IZTLJOS,X,X,O,X,O
IZTLSJO,X,O,O,X,O
IZTLSOJ,X,O,O,X,O
IZTLOJS,X,X,O,X,O
IZTLOSJ,X,X,O,X,O
IZTJLSO,O,O,O,X,O
IZTJLOS,X,X,O,X,O
IZTJSLO,O,O,O,X,X
IZTJSOL,O,O,O,X,X
IZTJOLS,X,X,O,X,O
IZTJOSL,O,X,O,X,X
IZTSLJO,X,O,O,O,O
IZTSLOJ,X,O,O,O,O
IZTSJLO,X,O,O,O,X
IZTSJOL,X,O,O,O,X
IZTSOLJ,X,O,O,O,O
IZTSOJL,X,O,O,O,X
IZTOLJS,X,X,O,X,O
IZTOLSJ,X,X,O,X,O
IZTOJLS,O,X,O,X,O
IZTOJSL,O,X,O,X,X
IZTOSLJ,X,X,O,O,O
IZTOSJL,O,X,O,O,X
IZLTJSO,X,O,O,X,O
IZLTJOS,X,X,X,X,O
IZLTSJO,X,O,O,X,O
IZLTSOJ,X,O,O,X,O
IZLTOJS,X,X,O,X,O
IZLTOSJ,X,X,O,X,O
IZLJTSO,O,O,O,X,O
IZLJTOS,X,X,O,X,O
IZLJSTO,O,O,O,X,X
IZLJSOT,X,O,X,X,X
IZLJOTS,X,X,O,X,O
IZLJOST,X,X,O,X,X
IZLSTJO,X,O,O,X,O
IZLSTOJ,X,O,O,X,O
IZLSJTO,X,O,O,X,X
IZLSJOT,X,O,X,X,X
IZLSOTJ,X,O,X,X,O
IZLSOJT,X,O,X,X,X
IZLOTJS,X,X,O,X,O
IZLOTSJ,X,X,O,X,O
IZLOJTS,O,X,O,X,O
IZLOJST,O,X,O,X,X
IZLOSTJ,X,X,O,X,O
IZLOSJT,O,X,O,X,X
IZJTLSO,O,O,O,X,O
IZJTLOS,X,X,O,X,O
IZJTSLO,O,O,O,O,X
IZJTSOL,O,O,O,O,X
IZJTOLS,O,X,O,X,O
IZJTOSL,O,X,O,O,X
IZJLTSO,O,O,O,X,O
IZJLTOS,X,X,O,X,O
IZJLSTO,O,O,O,X,X
IZJLSOT,X,O,X,X,X
IZJLOTS,X,X,O,X,O
IZJLOST,X,X,O,X,X
IZJSTLO,O,O,O,O,X
IZJSTOL,O,O,O,O,X
IZJSLTO,O,O,O,O,X
IZJSLOT,O,O,X,O,X
IZJSOTL,O,X,O,O,X
IZJSOLT,O,O,O,O,X
IZJOTLS,O,X,O,X,O
IZJOTSL,O,X,O,O,X
IZJOLTS,O,X,O,X,O
IZJOLST,O,X,O,X,X
IZJOSTL,O,X,O,O,X
IZJOSLT,O,X,O,O,X
IZSTLJO,X,O,O,O,O
IZSTLOJ,X,O,O,O,O
IZSTJLO,X,O,O,O,X
IZSTJOL,X,O,O,O,X
IZSTOLJ,X,O,O,O,O
IZSTOJL,X,O,O,O,X
IZSLTJO,X,O,O,O,O
IZSLTOJ,X,O,O,O,O
IZSLJTO,X,O,O,O,X
IZSLJOT,X,O,X,O,X
IZSLOTJ,X,O,X,O,O
IZSLOJT,O,O,X,O,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,O,O,O,X
IZSJLOT,X,O,X,O,X
IZSJOTL,O,X,O,O,X
IZSJOLT,X,O,O,O,X
IZSOTLJ,X,O,O,O,O
IZSOTJL,O,O,O,O,X
IZSOLTJ,X,O,O,O,O
IZSOLJT,O,O,O,O,X
IZSOJTL,O,X,O,O,X
IZSOJLT,O,O,O,O,X
IZOTLJS,X,X,O,X,O
IZOTLSJ,X,X,O,X,O
IZOTJLS,O,X,O,X,O
IZOTJSL,O,X,O,X,X
IZOTSLJ,X,X,O,O,O
IZOTSJL,O,X,O,O,X
IZOLTJS,X,X,O,X,O
IZOLTSJ,X,X,O,X,O
IZOLJTS,O,X,O,X,O
IZOLJST,O,X,O,X,X
IZOLSTJ,X,X,O,X,O
IZOLSJT,O,X,O,X,X
IZOJTLS,O,X,O,X,O
IZOJTSL,O,X,O,O,X
IZOJLTS,O,X,O,X,O
IZOJLST,O,X,O,X,X
IZOJSTL,O,X,O,O,X
IZOJSLT,O,X,O,O,X
IZOSTLJ,X,X,O,O,O
IZOSTJL,O,X,O,O,X
IZOSLTJ,X,X,O,O,O
IZOSLJT,O,X,O,O,X
IZOSJTL,O,X,O,O,X
IZOSJLT,O,X,O,O,X
IOTLJSZ,X,X,O,X,O
IOTLJZS,X,X,O,X,O
IOTLSJZ,X,X,X,X,O
IOTLSZJ,X,X,O,O,O
IOTLZJS,X,X,O,X,O
IOTLZSJ,X,X,O,X,O
IOTJLSZ,O,X,O,O,O
IOTJLZS,O,X,O,X,O
IOTJSLZ,O,X,O,O,X
IOTJSZL,O,X,O,O,X
IOTJZLS,O,X,O,X,O
IOTJZSL,O,X,O,O,X
IOTSLJZ,X,X,X,X,O
IOTSLZJ,X,X,O,O,O
IOTSJLZ,O,X,X,O,X
IOTSJZL,O,X,X,O,X
IOTSZLJ,X,X,O,O,O
IOTSZJL,O,X,O,O,X
IOTZLJS,X,X,O,X,O
IOTZLSJ,X,X,O,X,O
IOTZJLS,O,X,O,X,O
IOTZJSL,O,X,O,X,X
IOTZSLJ,X,X,O,O,O
IOTZSJL,O,X,O,O,X
IOLTJSZ,X,X,X,X,O
IOLTJZS,X,X,O,X,O
IOLTSJZ,X,X,X,X,O
IOLTSZJ,X,X,O,O,O
IOLTZJS,X,X,O,X,O
IOLTZSJ,X,X,O,X,O
IOLJTSZ,O,X,O,O,O
IOLJTZS,O,X,O,X,O
IOLJSTZ,O,X,X,O,X
IOLJSZT,O,X,X,O,X
IOLJZTS,O,X,O,X,O
IOLJZST,O,X,O,X,X
IOLSTJZ,X,X,X,X,O
IOLSTZJ,X,X,X,O,O
IOLSJTZ,O,X,X,O,X
IOLSJZT,O,X,X,O,X
IOLSZTJ,X,X,X,O,O
IOLSZJT,O,X,X,O,X
IOLZTJS,X,X,O,X,O
IOLZTSJ,X,X,O,X,O
IOLZJTS,O,X,O,X,O
IOLZJST,O,X,O,X,X
IOLZSTJ,X,X,O,X,O
IOLZSJT,O,X,O,X,X
IOJTLSZ,O,X,O,O,O
IOJTLZS,O,X,O,X,O
IOJTSLZ,O,X,O,O,X
IOJTSZL,O,X,O,O,X
IOJTZLS,O,X,O,X,O
IOJTZSL,O,X,O,O,X
IOJLTSZ,O,X,O,O,O
IOJLTZS,O,X,O,X,O
IOJLSTZ,O,X,X,O,X
IOJLSZT,O,X,X,O,X
IOJLZTS,O,X,O,X,O
IOJLZST,O,X,O,X,X
IOJSTLZ,O,X,O,O,X
IOJSTZL,O,X,O,O,X
IOJSLTZ,O,X,X,O,X
IOJSLZT,O,X,X,O,X
IOJSZTL,O,X,O,O,X
IOJSZLT,O,X,O,O,X
IOJZTLS,O,X,O,X,O
IOJZTSL,O,X,O,O,X
IOJZLTS,O,X,O,X,O
IOJZLST,O,X,O,X,X
IOJZSTL,O,X,O,O,X
IOJZSLT,O,X,O,O,X
IOSTLJZ,X,X,X,X,O
IOSTLZJ,X,X,O,O,O
IOSTJLZ,O,X,X,O,X
IOSTJZL,O,X,X,O,X
IOSTZLJ,X,X,O,O,O
IOSTZJL,O,X,O,O,X
IOSLTJZ,X,X,X,X,O
IOSLTZJ,X,X,X,O,O
IOSLJTZ,O,X,X,O,X
IOSLJZT,O,X,X,O,X
IOSLZTJ,X,X,X,O,O
IOSLZJT,O,X,X,O,X
IOSJTLZ,O,X,O,O,X
IOSJTZL,O,X,O,O,X
IOSJLTZ,O,X,X,O,X
IOSJLZT,O,X,X,O,X
IOSJZTL,O,X,O,O,X
IOSJZLT,O,X,O,O,X
IOSZTLJ,X,X,O,O,O
IOSZTJL,O,X,O,O,X
IOSZLTJ,X,X,O,O,O
IOSZLJT,O,X,O,O,X
IOSZJTL,O,X,O,O,X
IOSZJLT,O,X,O,O,X
IOZTLJS,X,X,O,X,O
IOZTLSJ,X,X,O,X,O
IOZTJLS,O,X,O,X,O
IOZTJSL,O,X,O,X,X
IOZTSLJ,X,X,O,O,O
IOZTSJL,O,X,O,O,X
IOZLTJS,X,X,O,X,O
IOZLTSJ,X,X,O,X,O
IOZLJTS,O,X,O,X,O
IOZLJST,O,X,O,X,X
IOZLSTJ,X,X,O,X,O
IOZLSJT,O,X,O,X,X
IOZJTLS,O,X,O,X,O
IOZJTSL,O,X,O,O,X
IOZJLTS,O,X,O,X,O
IOZJLST,O,X,O,X,X
IOZJSTL,O,X,O,O,X
IOZJSLT,O,X,O,O,X
IOZSTLJ,X,X,O,O,O
IOZSTJL,O,X,O,O,X
IOZSLTJ,X,X,O,O,O
IOZSLJT,O,X,O,O,X
IOZSJTL,O,X,O,O,X
IOZSJLT,O,X,O,O,X
LTIJSZO,X,O,O,X,O
LTIJSOZ,X,O,O,X,O
LTIJZSO,X,O,O,X,O
LTIJZOS,X,X,O,X,O
LTIJOSZ,X,X,O,X,O
LTIJOZS,X,X,O,X,O
LTISJZO,X,O,X,X,O
LTISJOZ,X,O,X,X,O
LTISZJO,X,O,O,O,O
LTISZOJ,X,O,O,O,O
LTISOJZ,X,O,X,X,O
LTISOZJ,X,O,O,O,O
LTIZJSO,X,O,O,X,O
LTIZJOS,X,X,O,X,O
LTIZSJO,X,O,O,X,O
LTIZSOJ,X,O,O,X,O
LTIZOJS,X,X,O,X,O
LTIZOSJ,X,X,O,X,O
LTIOJSZ,X,X,O,X,O
LTIOJZS,X,X,O,X,O
LTIOSJZ,X,X,X,X,O
LTIOSZJ,X,X,O,O,O
LTIOZJS,X,X,O,X,O
LTIOZSJ,X,X,O,X,O
LTJISZO,X,O,O,O,O
LTJISOZ,X,O,O,O,O
LTJIZSO,X,O,O,X,O
LTJIZOS,X,X,O,X,O
LTJIOSZ,X,X,O,O,O
LTJIOZS,X,X,O,X,O
LTJSIZO,X,O,O,O,X
LTJSIOZ,X,O,O,O,X
LTJSZIO,X,O,O,O,X
LTJSZOI,X,O,O,O,X
LTJSOIZ,X,O,O,O,X
LTJSOZI,X,O,O,O,X
LTJZISO,X,O,O,X,O
LTJZIOS,X,X,O,X,O
LTJZSIO,X,O,O,X,X
LTJZSOI,X,O,O,X,X
LTJZOIS,X,X,O,X,O
LTJZOSI,X,O,O,X,X
LTJOISZ,X,X,O,O,O
LTJOIZS,X,X,O,X,O
LTJOSIZ,X,O,O,O,X
LTJOSZI,X,O,O,O,X
LTJOZIS,X,X,O,X,O
LTJOZSI,X,O,O,X,X
LTSIJZO,X,O,X,X,O
LTSIJOZ,X,O,X,X,O
LTSIZJO,X,O,O,O,O
LTSIZOJ,X,O,O,O,O
LTSIOJZ,X,O,X,X,O
LTSIOZJ,X,O,O,O,O
LTSJIZO,X,O,O,O,X
LTSJIOZ,X,O,O,O,X
LTSJZIO,X,O,O,O,X
LTSJZOI,X,O,O,O,X
LTSJOIZ,X,O,O,O,X
LTSJOZI,X,O,O,O,X
