sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,X,X,O
TSILJOZ,X,X,O
TSILZJO,X,X,O
TSILZOJ,X,X,O
TSILOJZ,X,X,O
TSILOZJ,X,X,O
TSIJLZO,X,X,O
TSIJLOZ,X,X,O
TSIJZLO,X,X,O
TSIJZOL,X,X,O
TSIJOLZ,X,X,O
TSIJOZL,X,X,O
TSIZLJO,X,X,O
TSIZLOJ,X,X,O
TSIZJLO,X,X,O
TSIZJOL,X,X,O
TSIZOLJ,X,X,O
TSIZOJL,X,X,O
TSIOLJZ,X,X,O
TSIOLZJ,X,X,O
TSIOJLZ,X,X,O
TSIOJZL,X,X,O
TSIOZLJ,X,X,O
TSIOZJL,X,X,O
TSLIJZO,X,X,O
TSLIJOZ,X,X,O
TSLIZJO,X,X,O
TSLIZOJ,X,X,O
TSLIOJZ,X,X,O
TSLIOZJ,X,X,O
TSLJIZO,X,X,O
TSLJIOZ,X,X,O
TSLJZIO,X,X,O
TSLJZOI,X,X,O
TSLJOIZ,X,X,O
TSLJOZI,X,X,O
TSLZIJO,X,X,O
TSLZIOJ,X,X,O
TSLZJIO,X,X,O
TSLZJOI,X,X,O
TSLZOIJ,X,X,O
TSLZOJI,X,X,O
TSLOIJZ,X,X,O
TSLOIZJ,X,X,O
TSLOJIZ,X,X,O
TSLOJZI,X,X,O
TSLOZIJ,X,X,O
TSLOZJI,X,X,O
TSJILZO,X,X,O
TSJILOZ,X,X,O
TSJIZLO,X,X,O
TSJIZOL,X,X,O
TSJIOLZ,X,X,O
TSJIOZL,X,X,O
TSJLIZO,X,X,O
TSJLIOZ,X,X,O
TSJLZIO,X,X,O
TSJLZOI,X,X,O
TSJLOIZ,X,X,O
TSJLOZI,X,X,O
TSJZILO,X,X,O
TSJZIOL,X,X,O
TSJZLIO,X,X,O
TSJZLOI,X,X,O
TSJZOIL,X,X,O
TSJZOLI,X,X,O
TSJOILZ,X,X,O
TSJOIZL,X,X,O
TSJOLIZ,X,X,O
TSJOLZI,X,X,O
TSJOZIL,X,X,O
TSJOZLI,X,X,O
TSZILJO,X,X,O
TSZILOJ,X,X,O
TSZIJLO,X,X,O
TSZIJOL,X,X,O
TSZIOLJ,X,X,O
TSZIOJL,X,X,O
TSZLIJO,X,X,O
TSZLIOJ,X,X,O
TSZLJIO,X,X,O
TSZLJOI,X,X,O
TSZLOIJ,X,X,O
TSZLOJI,X,X,O
TSZJILO,X,X,O
TSZJIOL,X,X,O
TSZJLIO,X,X,O
