sequence,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFqlB8mBziB5?oBXsBOrB,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFXiB8nB5oBz?lBGmBywB,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFqlBXiB8nB5?oBzrBOrB,v115@HhA8AeA8GeC8EeA8AeD8CeB8Kel/IvhFzgBynB5oBf?sBGnBUrB
ILTJSOZ,O,X,X,X
ILTJZSO,X,O,X,X
ILTJZOS,X,O,O,X
ILTJOSZ,O,X,X,X
ILTJOZS,X,O,O,X
ILTSJZO,O,X,X,O
ILTSJOZ,O,X,X,X
ILTSZJO,O,O,X,O
ILTSZOJ,O,O,O,O
ILTSOJZ,O,X,X,X
ILTSOZJ,O,O,O,O
ILTZJSO,X,O,X,X
ILTZJOS,X,O,O,X
ILTZSJO,O,O,X,O
ILTZSOJ,O,O,O,O
ILTZOJS,X,O,O,X
ILTZOSJ,O,O,O,O
ILTOJSZ,O,X,X,X
ILTOJZS,X,O,O,X
ILTOSJZ,O,X,X,X
ILTOSZJ,O,O,O,O
ILTOZJS,X,O,O,X
ILTOZSJ,O,O,O,X
ILJTSZO,O,X,X,O
ILJTSOZ,O,X,X,X
ILJTZSO,X,O,X,X
ILJTZOS,X,O,O,X
ILJTOSZ,O,X,X,X
ILJTOZS,X,O,O,X
ILJSTZO,O,X,X,O
ILJSTOZ,O,X,X,X
ILJSZTO,O,X,X,O
ILJSZOT,O,X,X,O
ILJSOTZ,O,X,X,X
ILJSOZT,O,X,X,X
ILJZTSO,X,O,X,X
ILJZTOS,X,O,O,X
ILJZSTO,X,O,X,X
ILJZSOT,X,O,X,X
ILJZOTS,X,O,O,X
ILJZOST,X,O,O,X
ILJOTSZ,O,X,X,X
ILJOTZS,X,O,O,X
ILJOSTZ,O,X,X,X
ILJOSZT,O,X,X,X
ILJOZTS,X,O,O,X
ILJOZST,X,O,O,X
ILSTJZO,O,X,X,O
ILSTJOZ,O,X,X,X
ILSTZJO,O,O,X,O
ILSTZOJ,O,O,O,O
ILSTOJZ,O,X,X,X
ILSTOZJ,O,O,O,O
ILSJTZO,O,X,X,O
ILSJTOZ,O,X,X,X
ILSJZTO,O,X,X,O
ILSJZOT,O,X,X,O
ILSJOTZ,O,X,X,X
ILSJOZT,O,X,X,X
ILSZTJO,O,O,X,O
ILSZTOJ,O,O,O,O
ILSZJTO,O,O,X,O
ILSZJOT,O,O,X,O
ILSZOTJ,O,O,O,O
ILSZOJT,O,O,O,O
ILSOTJZ,O,X,X,X
ILSOTZJ,O,O,O,O
ILSOJTZ,O,X,X,X
ILSOJZT,O,X,X,X
ILSOZTJ,O,O,O,O
ILSOZJT,O,O,O,O
ILZTJSO,X,O,X,X
ILZTJOS,X,O,O,X
ILZTSJO,O,O,X,O
ILZTSOJ,O,O,O,O
ILZTOJS,X,O,O,X
ILZTOSJ,O,O,O,O
ILZJTSO,X,O,X,X
ILZJTOS,X,O,O,X
ILZJSTO,X,O,X,X
ILZJSOT,X,O,X,X
ILZJOTS,X,O,O,X
ILZJOST,X,O,O,X
ILZSTJO,O,O,X,O
ILZSTOJ,O,O,O,O
ILZSJTO,O,O,X,O
ILZSJOT,O,O,X,O
ILZSOTJ,O,O,O,O
ILZSOJT,O,O,O,O
ILZOTJS,X,O,O,X
ILZOTSJ,O,O,O,O
ILZOJTS,X,O,O,X
ILZOJST,X,O,O,X
ILZOSTJ,O,O,O,O
ILZOSJT,O,O,O,O
ILOTJSZ,O,X,X,X
ILOTJZS,X,O,O,X
ILOTSJZ,O,X,X,X
ILOTSZJ,O,O,O,O
ILOTZJS,X,O,O,X
ILOTZSJ,O,O,O,X
ILOJTSZ,O,X,X,X
ILOJTZS,X,O,O,X
ILOJSTZ,O,X,X,X
ILOJSZT,O,X,X,X
ILOJZTS,X,O,O,X
ILOJZST,X,O,O,X
ILOSTJZ,O,X,X,X
ILOSTZJ,O,O,O,O
ILOSJTZ,O,X,X,X
ILOSJZT,O,X,X,X
ILOSZTJ,O,O,O,O
ILOSZJT,O,O,O,O
ILOZTJS,X,O,O,X
ILOZTSJ,O,O,O,X
ILOZJTS,X,O,O,X
ILOZJST,X,O,O,X
ILOZSTJ,O,O,O,X
ILOZSJT,O,O,O,X
IJTLSZO,O,X,X,O
IJTLSOZ,O,X,X,X
IJTLZSO,X,O,X,X
IJTLZOS,X,O,O,X
IJTLOSZ,O,X,X,X
IJTLOZS,X,O,O,X
IJTSLZO,O,X,X,O
IJTSLOZ,O,X,X,X
IJTSZLO,O,X,X,O
IJTSZOL,O,X,X,O
IJTSOLZ,O,X,X,X
IJTSOZL,O,X,X,X
IJTZLSO,X,O,X,X
IJTZLOS,X,O,O,X
IJTZSLO,X,O,X,O
IJTZSOL,X,O,X,O
IJTZOLS,X,O,O,X
IJTZOSL,X,O,O,O
IJTOLSZ,O,X,X,X
IJTOLZS,X,X,O,X
IJTOSLZ,O,X,X,X
IJTOSZL,O,X,X,X
IJTOZLS,X,O,O,X
IJTOZSL,X,O,O,X
IJLTSZO,O,X,X,O
IJLTSOZ,O,X,X,X
IJLTZSO,X,O,X,X
IJLTZOS,X,O,O,X
IJLTOSZ,O,X,X,X
IJLTOZS,X,O,O,X
IJLSTZO,O,X,X,O
IJLSTOZ,O,X,X,X
IJLSZTO,O,X,X,O
IJLSZOT,O,X,X,O
IJLSOTZ,O,X,X,X
IJLSOZT,O,X,X,X
IJLZTSO,X,O,X,X
IJLZTOS,X,O,O,X
IJLZSTO,X,O,X,X
IJLZSOT,X,O,X,X
IJLZOTS,X,O,O,X
IJLZOST,X,O,O,X
IJLOTSZ,O,X,X,X
IJLOTZS,X,O,O,X
IJLOSTZ,O,X,X,X
IJLOSZT,O,X,X,X
IJLOZTS,X,O,O,X
IJLOZST,X,O,O,X
IJSTLZO,O,X,X,O
IJSTLOZ,O,X,X,X
IJSTZLO,O,X,X,O
IJSTZOL,O,X,X,O
IJSTOLZ,O,X,X,X
IJSTOZL,O,X,X,X
IJSLTZO,O,X,X,O
IJSLTOZ,O,X,X,X
IJSLZTO,O,X,X,O
IJSLZOT,O,X,X,O
IJSLOTZ,O,X,X,X
IJSLOZT,O,X,X,X
IJSZTLO,O,X,X,O
IJSZTOL,O,X,X,O
IJSZLTO,O,X,X,O
IJSZLOT,O,X,X,O
IJSZOTL,O,X,X,O
IJSZOLT,O,X,X,O
IJSOTLZ,O,X,X,X
IJSOTZL,O,X,X,X
IJSOLTZ,O,X,X,X
IJSOLZT,O,X,X,X
IJSOZTL,O,X,X,X
IJSOZLT,O,X,X,X
IJZTLSO,X,O,X,X
IJZTLOS,X,O,O,X
IJZTSLO,X,O,X,O
IJZTSOL,X,O,X,O
IJZTOLS,X,O,O,X
IJZTOSL,X,O,O,O
IJZLTSO,X,O,X,X
IJZLTOS,X,O,O,X
IJZLSTO,X,O,X,X
IJZLSOT,X,O,X,X
IJZLOTS,X,O,O,X
IJZLOST,X,O,O,X
IJZSTLO,X,O,X,O
IJZSTOL,X,O,X,O
IJZSLTO,X,O,X,O
IJZSLOT,X,O,X,O
IJZSOTL,X,O,X,O
IJZSOLT,X,X,X,O
IJZOTLS,X,O,O,X
IJZOTSL,X,O,O,O
IJZOLTS,X,O,O,X
IJZOLST,X,O,O,X
IJZOSTL,X,O,O,O
IJZOSLT,X,X,O,O
IJOTLSZ,O,X,X,X
IJOTLZS,X,X,O,X
IJOTSLZ,O,X,X,X
IJOTSZL,O,X,X,X
IJOTZLS,X,O,O,X
IJOTZSL,X,O,O,X
IJOLTSZ,O,X,X,X
IJOLTZS,X,X,O,X
IJOLSTZ,O,X,X,X
IJOLSZT,O,X,X,X
IJOLZTS,X,X,O,X
IJOLZST,X,X,O,X
IJOSTLZ,O,X,X,X
IJOSTZL,O,X,X,X
IJOSLTZ,O,X,X,X
IJOSLZT,O,X,X,X
IJOSZTL,O,X,X,X
IJOSZLT,O,X,X,X
IJOZTLS,X,O,O,X
IJOZTSL,X,O,O,X
IJOZLTS,X,O,O,X
IJOZLST,X,O,O,X
IJOZSTL,X,O,O,X
IJOZSLT,X,X,O,X
ISTLJZO,O,X,X,O
ISTLJOZ,O,X,X,X
ISTLZJO,O,O,X,O
ISTLZOJ,O,O,O,O
ISTLOJZ,O,X,X,X
ISTLOZJ,O,O,O,O
ISTJLZO,O,X,X,O
ISTJLOZ,O,X,X,X
ISTJZLO,O,X,X,O
ISTJZOL,O,X,X,O
ISTJOLZ,O,X,X,X
ISTJOZL,O,X,X,X
ISTZLJO,O,O,X,O
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,X,O
ISTZJOL,O,O,X,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,O,X,X,X
ISTOLZJ,O,X,O,O
ISTOJLZ,O,X,X,X
ISTOJZL,O,X,X,X
ISTOZLJ,O,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,O,X,X,O
ISLTJOZ,O,X,X,X
ISLTZJO,O,O,X,O
ISLTZOJ,O,O,O,O
ISLTOJZ,O,X,X,X
ISLTOZJ,O,O,O,O
ISLJTZO,O,X,X,O
ISLJTOZ,O,X,X,X
ISLJZTO,O,X,X,O
ISLJZOT,O,X,X,O
ISLJOTZ,O,X,X,X
ISLJOZT,O,X,X,X
ISLZTJO,O,O,X,O
ISLZTOJ,O,O,O,O
ISLZJTO,O,O,X,O
ISLZJOT,O,O,X,O
ISLZOTJ,O,O,O,O
ISLZOJT,O,O,O,O
ISLOTJZ,O,X,X,X
ISLOTZJ,O,O,O,O
ISLOJTZ,O,X,X,X
ISLOJZT,O,X,X,X
ISLOZTJ,O,O,O,O
ISLOZJT,O,O,O,O
ISJTLZO,O,X,X,O
ISJTLOZ,O,X,X,X
ISJTZLO,O,X,X,O
ISJTZOL,O,X,X,O
ISJTOLZ,O,X,X,X
ISJTOZL,O,X,X,X
ISJLTZO,O,X,X,O
ISJLTOZ,O,X,X,X
ISJLZTO,O,X,X,O
ISJLZOT,O,X,X,O
ISJLOTZ,O,X,X,X
ISJLOZT,O,X,X,X
ISJZTLO,O,X,X,O
ISJZTOL,O,X,X,O
ISJZLTO,O,X,X,O
ISJZLOT,O,X,X,O
ISJZOTL,O,X,X,O
ISJZOLT,O,X,X,O
ISJOTLZ,O,X,X,X
ISJOTZL,O,X,X,X
ISJOLTZ,O,X,X,X
ISJOLZT,O,X,X,X
ISJOZTL,O,X,X,X
ISJOZLT,O,X,X,X
ISZTLJO,O,O,X,O
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,X,O
ISZTJOL,O,O,X,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,O,X,O
ISZLTOJ,O,O,O,O
ISZLJTO,O,O,X,O
ISZLJOT,O,O,X,O
ISZLOTJ,O,O,O,O
ISZLOJT,O,O,O,O
ISZJTLO,O,O,X,O
ISZJTOL,O,O,X,O
ISZJLTO,O,O,X,O
ISZJLOT,O,O,X,O
ISZJOTL,O,O,X,O
ISZJOLT,O,X,X,O
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,O,O,O
ISZOLJT,O,O,O,O
ISZOJTL,O,O,O,O
ISZOJLT,O,X,O,O
ISOTLJZ,O,X,X,X
ISOTLZJ,O,X,O,O
ISOTJLZ,O,X,X,X
ISOTJZL,O,X,X,X
ISOTZLJ,O,O,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,O,X,X,X
ISOLTZJ,O,X,O,O
ISOLJTZ,O,X,X,X
ISOLJZT,O,X,X,X
ISOLZTJ,O,X,O,O
ISOLZJT,O,X,O,O
ISOJTLZ,O,X,X,X
ISOJTZL,O,X,X,X
ISOJLTZ,O,X,X,X
ISOJLZT,O,X,X,X
ISOJZTL,O,X,X,X
ISOJZLT,O,X,X,X
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,O,O,O
ISOZLJT,O,O,O,O
ISOZJTL,O,O,O,O
ISOZJLT,O,X,O,O
IZTLJSO,X,O,X,X
IZTLJOS,X,O,O,X
IZTLSJO,O,O,X,O
IZTLSOJ,O,O,O,O
IZTLOJS,X,O,O,X
IZTLOSJ,O,O,O,O
IZTJLSO,X,O,X,X
IZTJLOS,X,O,O,X
IZTJSLO,X,O,X,O
IZTJSOL,X,O,X,O
IZTJOLS,X,O,O,X
IZTJOSL,X,O,O,O
IZTSLJO,O,O,X,O
IZTSLOJ,O,O,O,O
IZTSJLO,O,O,X,O
IZTSJOL,O,O,X,O
IZTSOLJ,O,O,O,O
IZTSOJL,O,O,O,O
IZTOLJS,X,O,O,X
IZTOLSJ,O,O,O,O
IZTOJLS,X,O,O,X
IZTOJSL,X,O,O,O
IZTOSLJ,O,O,O,O
IZTOSJL,O,O,O,O
IZLTJSO,X,O,X,X
IZLTJOS,X,O,O,X
IZLTSJO,O,O,X,O
IZLTSOJ,O,O,O,O
IZLTOJS,X,O,O,X
IZLTOSJ,O,O,O,O
IZLJTSO,X,O,X,X
IZLJTOS,X,O,O,X
IZLJSTO,X,O,X,X
IZLJSOT,X,O,X,X
IZLJOTS,X,O,O,X
IZLJOST,X,O,O,X
IZLSTJO,O,O,X,O
IZLSTOJ,O,O,O,O
IZLSJTO,O,O,X,O
IZLSJOT,O,O,X,O
IZLSOTJ,O,O,O,O
IZLSOJT,O,O,O,O
IZLOTJS,X,O,O,X
IZLOTSJ,O,O,O,O
IZLOJTS,X,O,O,X
IZLOJST,X,O,O,X
IZLOSTJ,O,O,O,O
IZLOSJT,O,O,O,O
IZJTLSO,X,O,X,X
IZJTLOS,X,O,O,X
IZJTSLO,X,O,X,O
IZJTSOL,X,O,X,O
IZJTOLS,X,O,O,X
IZJTOSL,X,O,O,O
IZJLTSO,X,O,X,X
IZJLTOS,X,O,O,X
IZJLSTO,X,O,X,X
IZJLSOT,X,O,X,X
IZJLOTS,X,O,O,X
IZJLOST,X,O,O,X
IZJSTLO,X,O,X,O
IZJSTOL,X,O,X,O
IZJSLTO,X,O,X,O
IZJSLOT,X,O,X,O
IZJSOTL,X,O,X,O
IZJSOLT,X,X,X,O
IZJOTLS,X,O,O,X
IZJOTSL,X,O,O,O
IZJOLTS,X,O,O,X
IZJOLST,X,O,O,X
IZJOSTL,X,O,O,O
IZJOSLT,X,X,O,O
IZSTLJO,O,O,X,O
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,X,O
IZSTJOL,O,O,X,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,O,X,O
IZSLTOJ,O,O,O,O
IZSLJTO,O,O,X,O
IZSLJOT,O,O,X,O
IZSLOTJ,O,O,O,O
IZSLOJT,O,O,O,O
IZSJTLO,O,O,X,O
IZSJTOL,O,O,X,O
IZSJLTO,O,O,X,O
IZSJLOT,O,O,X,O
IZSJOTL,O,O,X,O
IZSJOLT,O,X,X,O
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,O,O,O
IZSOLJT,O,O,O,O
IZSOJTL,O,O,O,O
IZSOJLT,O,X,O,O
IZOTLJS,X,O,O,X
IZOTLSJ,O,O,O,O
IZOTJLS,X,O,O,X
IZOTJSL,X,O,O,O
IZOTSLJ,O,O,O,O
IZOTSJL,O,O,O,O
IZOLTJS,X,O,O,X
IZOLTSJ,O,O,O,O
IZOLJTS,X,O,O,X
IZOLJST,X,O,O,X
IZOLSTJ,O,O,O,O
IZOLSJT,O,O,O,O
IZOJTLS,X,O,O,X
IZOJTSL,X,O,O,O
IZOJLTS,X,O,O,X
IZOJLST,X,O,O,X
IZOJSTL,X,O,O,O
IZOJSLT,X,X,O,O
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,O,O,O
IZOSLJT,O,O,O,O
IZOSJTL,O,O,O,O
IZOSJLT,O,X,O,O
IOTLJSZ,O,X,X,X
IOTLJZS,X,O,O,X
IOTLSJZ,O,X,X,X
IOTLSZJ,O,O,O,O
IOTLZJS,X,O,O,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,X,X,X
IOTJLZS,X,X,O,X
IOTJSLZ,O,X,X,X
IOTJSZL,O,X,X,X
IOTJZLS,X,O,O,X
IOTJZSL,X,O,O,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,O,O
IOTSJLZ,O,X,X,X
IOTSJZL,O,X,X,X
IOTSZLJ,O,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,X,O,O,X
IOTZLSJ,O,O,O,O
IOTZJLS,X,O,O,X
IOTZJSL,X,O,O,O
IOTZSLJ,O,O,O,O
IOTZSJL,O,O,O,O
IOLTJSZ,O,X,X,X
IOLTJZS,X,O,O,X
IOLTSJZ,O,X,X,X
IOLTSZJ,O,O,O,O
IOLTZJS,X,O,O,X
IOLTZSJ,O,O,O,X
IOLJTSZ,O,X,X,X
IOLJTZS,X,O,O,X
IOLJSTZ,O,X,X,X
IOLJSZT,O,X,X,X
IOLJZTS,X,O,O,X
IOLJZST,X,O,O,X
IOLSTJZ,O,X,X,X
IOLSTZJ,O,O,O,O
IOLSJTZ,O,X,X,X
IOLSJZT,O,X,X,X
IOLSZTJ,O,O,O,O
IOLSZJT,O,O,O,O
IOLZTJS,X,O,O,X
IOLZTSJ,O,O,O,X
IOLZJTS,X,O,O,X
IOLZJST,X,O,O,X
IOLZSTJ,O,O,O,X
IOLZSJT,O,O,O,X
IOJTLSZ,O,X,X,X
IOJTLZS,X,X,O,X
IOJTSLZ,O,X,X,X
IOJTSZL,O,X,X,X
IOJTZLS,X,O,O,X
IOJTZSL,X,O,O,X
IOJLTSZ,O,X,X,X
IOJLTZS,X,X,O,X
IOJLSTZ,O,X,X,X
IOJLSZT,O,X,X,X
IOJLZTS,X,X,O,X
IOJLZST,X,X,O,X
IOJSTLZ,O,X,X,X
IOJSTZL,O,X,X,X
IOJSLTZ,O,X,X,X
IOJSLZT,O,X,X,X
IOJSZTL,O,X,X,X
IOJSZLT,O,X,X,X
IOJZTLS,X,O,O,X
IOJZTSL,X,O,O,X
IOJZLTS,X,O,O,X
IOJZLST,X,O,O,X
IOJZSTL,X,O,O,X
IOJZSLT,X,X,O,X
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,O,O
IOSTJLZ,O,X,X,X
IOSTJZL,O,X,X,X
IOSTZLJ,O,O,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,O,X,X,X
IOSLTZJ,O,X,O,O
IOSLJTZ,O,X,X,X
IOSLJZT,O,X,X,X
IOSLZTJ,O,X,O,O
IOSLZJT,O,X,O,O
IOSJTLZ,O,X,X,X
IOSJTZL,O,X,X,X
IOSJLTZ,O,X,X,X
IOSJLZT,O,X,X,X
IOSJZTL,O,X,X,X
IOSJZLT,O,X,X,X
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,O,O,O
IOSZLJT,O,O,O,O
IOSZJTL,O,O,O,O
IOSZJLT,O,X,O,O
IOZTLJS,X,O,O,X
IOZTLSJ,O,O,O,O
IOZTJLS,X,O,O,X
IOZTJSL,X,O,O,O
IOZTSLJ,O,O,O,O
IOZTSJL,O,O,O,O
IOZLTJS,X,O,O,X
IOZLTSJ,O,O,O,O
IOZLJTS,X,O,O,X
IOZLJST,X,O,O,X
IOZLSTJ,O,O,O,O
IOZLSJT,O,O,O,O
IOZJTLS,X,O,O,X
IOZJTSL,X,O,O,O
IOZJLTS,X,O,O,X
IOZJLST,X,O,O,X
IOZJSTL,X,O,O,O
IOZJSLT,X,X,O,O
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,O,O,O
IOZSLJT,O,O,O,O
IOZSJTL,O,O,O,O
IOZSJLT,O,X,O,O
LTIJSZO,O,X,X,O
LTIJSOZ,O,X,X,X
LTIJZSO,X,O,X,X
LTIJZOS,X,O,O,X
LTIJOSZ,O,X,X,X
LTIJOZS,X,O,O,X
LTISJZO,O,X,X,O
LTISJOZ,O,X,X,X
LTISZJO,O,O,X,O
LTISZOJ,O,O,O,O
LTISOJZ,O,X,X,X
LTISOZJ,O,O,O,O
LTIZJSO,X,O,X,X
LTIZJOS,X,O,O,X
LTIZSJO,O,O,X,O
LTIZSOJ,O,O,O,O
LTIZOJS,X,O,O,X
LTIZOSJ,O,O,O,O
LTIOJSZ,O,X,X,X
LTIOJZS,X,O,O,X
LTIOSJZ,O,X,X,X
LTIOSZJ,O,O,O,O
LTIOZJS,X,O,O,X
LTIOZSJ,O,O,O,X
LTJISZO,O,X,X,O
LTJISOZ,O,X,X,X
LTJIZSO,X,O,X,X
LTJIZOS,X,O,O,X
LTJIOSZ,O,X,X,X
LTJIOZS,X,O,O,X
LTJSIZO,O,X,X,O
LTJSIOZ,O,X,X,X
LTJSZIO,O,X,X,O
LTJSZOI,O,X,X,O
LTJSOIZ,O,X,X,X
LTJSOZI,O,X,X,X
LTJZISO,X,O,X,X
LTJZIOS,X,O,O,X
LTJZSIO,X,O,X,X
LTJZSOI,X,O,X,X
LTJZOIS,X,O,O,X
LTJZOSI,X,O,O,X
LTJOISZ,O,X,X,X
LTJOIZS,X,O,O,X
LTJOSIZ,O,X,X,X
LTJOSZI,O,X,X,X
LTJOZIS,X,O,O,X
LTJOZSI,X,O,O,X
LTSIJZO,O,X,X,O
LTSIJOZ,O,X,X,X
LTSIZJO,O,O,X,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,X,X,X
LTSIOZJ,O,O,O,O
LTSJIZO,O,X,X,O
LTSJIOZ,O,X,X,X
LTSJZIO,O,X,X,O
LTSJZOI,O,X,X,O
LTSJOIZ,O,X,X,X
LTSJOZI,O,X,X,X
LTSZIJO,O,O,X,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,X,O
LTSZJOI,O,O,X,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,X,X,X
LTSOIZJ,O,O,O,O
LTSOJIZ,O,X,X,X
LTSOJZI,O,X,X,X
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,X,O,X,X
LTZIJOS,X,O,O,X
LTZISJO,O,O,X,O
LTZISOJ,O,O,O,O
LTZIOJS,X,O,O,X
LTZIOSJ,O,O,O,O
LTZJISO,X,O,X,X
LTZJIOS,X,O,O,X
LTZJSIO,X,O,X,X
LTZJSOI,X,O,X,X
LTZJOIS,X,O,O,X
LTZJOSI,X,O,O,X
LTZSIJO,O,O,X,O
LTZSIOJ,O,O,O,O
LTZSJIO,O,O,X,O
LTZSJOI,O,O,X,O
LTZSOIJ,O,O,O,O
LTZSOJI,O,O,O,O
LTZOIJS,X,O,O,X
LTZOISJ,O,O,O,O
LTZOJIS,X,O,O,X
LTZOJSI,X,O,O,X
LTZOSIJ,O,O,O,O
LTZOSJI,O,O,O,O
LTOIJSZ,O,X,X,X
LTOIJZS,X,O,O,X
LTOISJZ,O,X,X,X
LTOISZJ,O,O,O,O
LTOIZJS,X,O,O,X
LTOIZSJ,O,O,O,X
LTOJISZ,O,X,X,X
LTOJIZS,X,O,O,X
LTOJSIZ,O,X,X,X
LTOJSZI,O,X,X,X
LTOJZIS,X,O,O,X
LTOJZSI,X,O,O,X
LTOSIJZ,O,X,X,X
LTOSIZJ,O,O,O,O
LTOSJIZ,O,X,X,X
LTOSJZI,O,X,X,X
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,O
LTOZIJS,X,O,O,X
LTOZISJ,O,O,O,X
LTOZJIS,X,O,O,X
LTOZJSI,X,O,O,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,O,X,X,O
LITJSOZ,O,X,X,X
LITJZSO,X,O,X,X
LITJZOS,X,O,O,X
LITJOSZ,O,X,X,X
LITJOZS,X,O,O,X
LITSJZO,O,X,X,O
LITSJOZ,O,X,X,X
LITSZJO,O,O,X,O
LITSZOJ,O,O,O,O
LITSOJZ,O,X,X,X
LITSOZJ,O,O,O,O
LITZJSO,X,O,X,X
LITZJOS,X,O,O,X
LITZSJO,O,O,X,O
LITZSOJ,O,O,O,O
LITZOJS,X,O,O,X
LITZOSJ,O,O,O,O
LITOJSZ,O,X,X,X
LITOJZS,X,O,O,X
LITOSJZ,O,X,X,X
LITOSZJ,O,O,O,O
LITOZJS,X,O,O,X
LITOZSJ,O,O,O,X
LIJTSZO,O,X,X,O
LIJTSOZ,O,X,X,X
LIJTZSO,X,O,X,X
LIJTZOS,X,O,O,X
LIJTOSZ,O,X,X,X
LIJTOZS,X,O,O,X
LIJSTZO,O,X,X,O
LIJSTOZ,O,X,X,X
LIJSZTO,O,X,X,O
LIJSZOT,O,X,X,O
LIJSOTZ,O,X,X,X
LIJSOZT,O,X,X,X
LIJZTSO,X,O,X,X
LIJZTOS,X,O,O,X
LIJZSTO,X,O,X,X
LIJZSOT,X,O,X,X
LIJZOTS,X,O,O,X
LIJZOST,X,O,O,X
LIJOTSZ,O,X,X,X
LIJOTZS,X,O,O,X
LIJOSTZ,O,X,X,X
LIJOSZT,O,X,X,X
LIJOZTS,X,O,O,X
LIJOZST,X,O,O,X
LISTJZO,O,X,X,O
LISTJOZ,O,X,X,X
LISTZJO,O,O,X,O
LISTZOJ,O,O,O,O
LISTOJZ,O,X,X,X
LISTOZJ,O,O,O,O
LISJTZO,O,X,X,O
LISJTOZ,O,X,X,X
LISJZTO,O,X,X,O
LISJZOT,O,X,X,O
LISJOTZ,O,X,X,X
LISJOZT,O,X,X,X
LISZTJO,O,O,X,O
LISZTOJ,O,O,O,O
LISZJTO,O,O,X,O
LISZJOT,O,O,X,O
LISZOTJ,O,O,O,O
LISZOJT,O,O,O,O
LISOTJZ,O,X,X,X
LISOTZJ,O,O,O,O
LISOJTZ,O,X,X,X
LISOJZT,O,X,X,X
LISOZTJ,O,O,O,O
LISOZJT,O,O,O,O
LIZTJSO,X,O,X,X
LIZTJOS,X,O,O,X
LIZTSJO,O,O,X,O
LIZTSOJ,O,O,O,O
LIZTOJS,X,O,O,X
LIZTOSJ,O,O,O,O
LIZJTSO,X,O,X,X
LIZJTOS,X,O,O,X
LIZJSTO,X,O,X,X
LIZJSOT,X,O,X,X
LIZJOTS,X,O,O,X
LIZJOST,X,O,O,X
LIZSTJO,O,O,X,O
LIZSTOJ,O,O,O,O
LIZSJTO,O,O,X,O
LIZSJOT,O,O,X,O
LIZSOTJ,O,O,O,O
LIZSOJT,O,O,O,O
LIZOTJS,X,O,O,X
LIZOTSJ,O,O,O,O
LIZOJTS,X,O,O,X
LIZOJST,X,O,O,X
LIZOSTJ,O,O,O,O
LIZOSJT,O,O,O,O
LIOTJSZ,O,X,X,X
LIOTJZS,X,O,O,X
LIOTSJZ,O,X,X,X
LIOTSZJ,O,O,O,O
LIOTZJS,X,O,O,X
LIOTZSJ,O,O,O,X
LIOJTSZ,O,X,X,X
LIOJTZS,X,O,O,X
LIOJSTZ,O,X,X,X
LIOJSZT,O,X,X,X
LIOJZTS,X,O,O,X
LIOJZST,X,O,O,X
LIOSTJZ,O,X,X,X
LIOSTZJ,O,O,O,O
LIOSJTZ,O,X,X,X
LIOSJZT,O,X,X,X
LIOSZTJ,O,O,O,O
LIOSZJT,O,O,O,O
LIOZTJS,X,O,O,X
LIOZTSJ,O,O,O,X
LIOZJTS,X,O,O,X
LIOZJST,X,O,O,X
LIOZSTJ,O,O,O,X
LIOZSJT,O,O,O,X
LJTISZO,O,X,X,O
LJTISOZ,O,X,X,X
LJTIZSO,X,O,X,X
LJTIZOS,X,O,O,X
LJTIOSZ,O,X,X,X
LJTIOZS,X,O,O,X
LJTSIZO,O,X,X,O
LJTSIOZ,O,X,X,X
LJTSZIO,O,X,X,O
LJTSZOI,O,X,X,O
