sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
JTISLOZ,X,X,X,X,O
JTISZLO,X,X,X,O,X
JTISZOL,X,X,X,O,X
JTISOLZ,X,X,X,X,O
JTISOZL,X,X,X,O,X
JTIZLSO,X,X,O,O,O
JTIZLOS,X,X,O,O,O
JTIZSLO,X,X,X,O,X
JTIZSOL,X,X,X,O,X
JTIZOLS,X,X,O,O,O
JTIZOSL,X,X,X,O,X
JTIOLSZ,X,X,O,X,O
JTIOLZS,X,X,O,O,O
JTIOSLZ,X,X,X,X,O
JTIOSZL,X,X,X,O,X
JTIOZLS,X,X,O,O,O
JTIOZSL,X,X,X,O,X
JTLISZO,X,X,O,X,O
JTLISOZ,X,X,O,X,O
JTLIZSO,X,X,O,O,O
JTLIZOS,X,X,O,O,O
JTLIOSZ,X,X,O,X,O
JTLIOZS,X,X,O,O,O
JTLSIZO,O,X,X,X,O
JTLSIOZ,X,X,X,X,O
JTLSZIO,O,X,X,X,O
JTLSZOI,O,X,X,X,O
JTLSOIZ,O,X,X,X,O
JTLSOZI,O,X,X,X,O
JTLZISO,X,X,O,O,O
JTLZIOS,X,X,O,O,O
JTLZSIO,O,X,X,O,O
JTLZSOI,O,X,X,O,O
JTLZOIS,X,X,O,O,O
JTLZOSI,O,X,X,O,O
JTLOISZ,X,X,O,X,O
JTLOIZS,X,X,O,O,O
JTLOSIZ,O,X,X,X,O
JTLOSZI,O,X,X,X,O
JTLOZIS,X,X,O,O,O
JTLOZSI,O,X,X,O,O
JTSILZO,O,X,X,X,O
JTSILOZ,X,X,X,X,O
JTSIZLO,O,X,X,O,X
JTSIZOL,X,X,X,O,X
JTSIOLZ,X,X,X,X,O
JTSIOZL,X,X,X,O,X
JTSLIZO,O,X,X,X,O
JTSLIOZ,X,X,X,X,O
JTSLZIO,O,X,X,X,O
JTSLZOI,O,X,X,X,O
JTSLOIZ,O,X,X,X,O
JTSLOZI,O,X,X,X,O
JTSZILO,O,X,X,O,X
JTSZIOL,X,X,X,O,X
JTSZLIO,O,X,X,O,X
JTSZLOI,O,X,X,O,X
JTSZOIL,O,X,X,O,X
JTSZOLI,O,X,X,O,X
JTSOILZ,O,X,X,X,O
JTSOIZL,O,X,X,O,X
JTSOLIZ,O,X,X,X,O
JTSOLZI,O,X,X,X,O
JTSOZIL,O,X,X,O,X
JTSOZLI,O,X,X,O,X
JTZILSO,X,X,O,O,O
JTZILOS,X,X,O,O,O
JTZISLO,X,X,X,O,X
JTZISOL,X,X,X,O,X
JTZIOLS,X,X,O,O,O
JTZIOSL,X,X,X,O,X
JTZLISO,X,X,O,O,O
JTZLIOS,X,X,O,O,O
JTZLSIO,O,X,X,O,O
JTZLSOI,O,X,X,O,O
JTZLOIS,X,X,O,O,O
JTZLOSI,O,X,X,O,O
JTZSILO,O,X,X,O,X
JTZSIOL,X,X,X,O,X
JTZSLIO,O,X,X,O,X
JTZSLOI,O,X,X,O,X
JTZSOIL,O,X,X,O,X
JTZSOLI,O,X,X,O,X
JTZOILS,X,X,O,O,O
JTZOISL,X,X,X,O,X
JTZOLIS,X,X,O,O,O
JTZOLSI,O,X,X,O,O
JTZOSIL,O,X,X,O,X
JTZOSLI,O,X,X,O,X
JTOILSZ,X,X,O,X,O
JTOILZS,X,X,O,O,O
JTOISLZ,X,X,X,X,O
JTOISZL,X,X,X,O,X
JTOIZLS,X,X,O,O,O
JTOIZSL,X,X,X,O,X
JTOLISZ,X,X,O,X,O
JTOLIZS,X,X,O,O,O
JTOLSIZ,O,X,X,X,O
JTOLSZI,O,X,X,X,O
JTOLZIS,X,X,O,O,O
JTOLZSI,O,X,X,O,O
JTOSILZ,O,X,X,X,O
JTOSIZL,O,X,X,O,X
JTOSLIZ,O,X,X,X,O
JTOSLZI,O,X,X,X,O
JTOSZIL,O,X,X,O,X
JTOSZLI,O,X,X,O,X
JTOZILS,X,X,O,O,O
JTOZISL,X,X,X,O,X
JTOZLIS,X,X,O,O,O
JTOZLSI,O,X,X,O,O
JTOZSIL,O,X,X,O,X
JTOZSLI,O,X,X,O,X
JITLSZO,X,X,O,X,O
JITLSOZ,X,X,O,X,O
JITLZSO,X,X,O,O,O
JITLZOS,X,X,O,O,O
JITLOSZ,X,X,O,X,O
JITLOZS,X,X,O,O,O
JITSLZO,X,X,X,X,O
JITSLOZ,X,X,X,X,O
JITSZLO,X,X,X,O,X
JITSZOL,X,X,X,O,X
JITSOLZ,X,X,X,X,O
JITSOZL,X,X,X,O,X
JITZLSO,X,X,O,O,O
JITZLOS,X,X,O,O,O
JITZSLO,X,X,X,O,X
JITZSOL,X,X,X,O,X
JITZOLS,X,X,O,O,O
JITZOSL,X,X,X,O,X
JITOLSZ,X,X,O,X,O
JITOLZS,X,X,O,O,O
JITOSLZ,X,X,X,X,O
JITOSZL,X,X,X,O,X
JITOZLS,X,X,O,O,O
JITOZSL,X,X,X,O,X
JILTSZO,X,X,O,X,O
JILTSOZ,X,X,O,X,O
JILTZSO,X,X,O,O,O
JILTZOS,X,X,O,O,O
JILTOSZ,X,X,O,X,O
JILTOZS,X,X,O,O,O
JILSTZO,X,O,O,X,O
JILSTOZ,X,O,O,X,O
JILSZTO,X,O,O,X,X
JILSZOT,X,O,O,X,X
JILSOTZ,X,O,O,X,O
JILSOZT,X,O,O,X,X
JILZTSO,X,X,O,O,O
JILZTOS,X,O,O,O,O
JILZSTO,X,O,O,X,X
JILZSOT,X,O,O,X,X
JILZOTS,X,O,O,O,O
JILZOST,X,O,O,X,X
JILOTSZ,X,X,O,X,O
JILOTZS,X,X,O,O,O
JILOSTZ,X,O,O,X,O
JILOSZT,X,O,O,X,X
JILOZTS,X,O,O,O,O
JILOZST,X,O,O,X,X
JISTLZO,X,O,X,X,O
JISTLOZ,X,O,X,X,O
JISTZLO,X,O,X,O,X
JISTZOL,X,O,X,O,X
JISTOLZ,X,O,X,X,O
JISTOZL,X,O,X,O,X
JISLTZO,X,O,O,X,O
JISLTOZ,X,O,O,X,O
JISLZTO,X,O,O,X,X
JISLZOT,X,O,O,X,X
JISLOTZ,X,O,O,X,O
JISLOZT,X,O,O,X,X
JISZTLO,X,O,X,O,X
JISZTOL,X,O,X,O,X
JISZLTO,X,O,O,X,X
JISZLOT,X,O,O,X,X
JISZOTL,X,O,X,O,X
JISZOLT,X,O,O,X,X
JISOTLZ,X,O,X,X,O
JISOTZL,X,O,X,O,X
JISOLTZ,X,O,O,X,O
JISOLZT,X,O,O,X,X
JISOZTL,X,O,X,O,X
JISOZLT,X,O,O,X,X
JIZTLSO,X,X,O,O,O
JIZTLOS,X,O,O,O,O
JIZTSLO,X,X,X,O,X
JIZTSOL,X,X,X,O,X
JIZTOLS,X,O,O,O,O
JIZTOSL,X,X,X,O,X
JIZLTSO,X,X,O,O,O
JIZLTOS,X,O,O,O,O
JIZLSTO,X,O,O,X,X
JIZLSOT,X,O,O,X,X
JIZLOTS,X,O,O,O,O
JIZLOST,X,O,O,X,X
JIZSTLO,X,O,X,O,X
JIZSTOL,X,O,X,O,X
JIZSLTO,X,O,O,X,X
JIZSLOT,X,O,O,X,X
JIZSOTL,X,O,X,O,X
JIZSOLT,X,O,O,X,X
JIZOTLS,X,O,O,O,O
JIZOTSL,X,X,X,O,X
JIZOLTS,X,O,O,O,O
JIZOLST,X,O,O,X,X
JIZOSTL,X,O,X,O,X
JIZOSLT,X,O,O,X,X
JIOTLSZ,X,X,O,X,O
JIOTLZS,X,X,O,O,O
JIOTSLZ,X,X,X,X,O
JIOTSZL,X,X,X,O,X
JIOTZLS,X,X,O,O,O
JIOTZSL,X,X,X,O,X
JIOLTSZ,X,X,O,X,O
JIOLTZS,X,X,O,O,O
JIOLSTZ,X,O,O,X,O
JIOLSZT,X,O,O,X,X
JIOLZTS,X,O,O,O,O
JIOLZST,X,O,O,X,X
JIOSTLZ,X,O,X,X,O
JIOSTZL,X,O,X,O,X
JIOSLTZ,X,O,O,X,O
JIOSLZT,X,O,O,X,X
JIOSZTL,X,O,X,O,X
JIOSZLT,X,O,O,X,X
JIOZTLS,X,O,O,O,O
JIOZTSL,X,X,X,O,X
JIOZLTS,X,O,O,O,O
JIOZLST,X,O,O,X,X
JIOZSTL,X,O,X,O,X
JIOZSLT,X,O,O,X,X
JLTISZO,X,X,O,X,O
JLTISOZ,X,X,O,X,O
JLTIZSO,X,X,O,O,O
JLTIZOS,X,X,O,O,O
JLTIOSZ,X,X,O,X,O
JLTIOZS,X,X,O,O,O
JLTSIZO,O,X,X,X,O
JLTSIOZ,X,X,X,X,O
JLTSZIO,O,X,X,X,O
JLTSZOI,O,X,X,X,O
JLTSOIZ,O,X,X,X,O
JLTSOZI,O,X,X,X,O
JLTZISO,X,X,O,O,O
JLTZIOS,X,X,O,O,O
JLTZSIO,O,X,X,O,O
JLTZSOI,O,X,X,O,O
JLTZOIS,X,X,O,O,O
JLTZOSI,O,X,X,O,O
JLTOISZ,X,X,O,X,O
JLTOIZS,X,X,O,O,O
JLTOSIZ,O,X,X,X,O
JLTOSZI,O,X,X,X,O
JLTOZIS,X,X,O,O,O
JLTOZSI,O,X,X,O,O
JLITSZO,X,X,O,X,O
JLITSOZ,X,X,O,X,O
JLITZSO,X,X,O,O,O
JLITZOS,X,X,O,O,O
JLITOSZ,X,X,O,X,O
JLITOZS,X,X,O,O,O
JLISTZO,X,O,O,X,O
JLISTOZ,X,O,O,X,O
JLISZTO,X,O,O,X,X
JLISZOT,X,O,O,X,X
JLISOTZ,X,O,O,X,O
JLISOZT,X,O,O,X,X
JLIZTSO,X,X,O,O,O
JLIZTOS,X,O,O,O,O
JLIZSTO,X,O,O,X,X
JLIZSOT,X,O,O,X,X
JLIZOTS,X,O,O,O,O
JLIZOST,X,O,O,X,X
JLIOTSZ,X,X,O,X,O
JLIOTZS,X,X,O,O,O
JLIOSTZ,X,O,O,X,O
JLIOSZT,X,O,O,X,X
JLIOZTS,X,O,O,O,O
JLIOZST,X,O,O,X,X
JLSTIZO,O,O,X,X,O
JLSTIOZ,X,O,X,X,O
JLSTZIO,O,X,X,X,O
JLSTZOI,O,X,X,X,O
JLSTOIZ,O,O,X,X,O
JLSTOZI,O,X,X,X,O
JLSITZO,O,O,O,X,O
JLSITOZ,X,O,O,X,O
JLSIZTO,O,O,O,X,X
JLSIZOT,O,O,O,X,X
JLSIOTZ,O,O,O,X,O
JLSIOZT,O,O,O,X,X
JLSZTIO,O,X,X,X,X
JLSZTOI,O,X,X,X,X
JLSZITO,O,X,O,X,X
JLSZIOT,O,X,O,X,X
JLSZOTI,O,X,X,X,X
JLSZOIT,O,X,O,X,X
JLSOTIZ,O,O,X,X,O
JLSOTZI,O,X,X,X,O
JLSOITZ,O,O,O,X,O
JLSOIZT,O,O,O,X,X
JLSOZTI,O,X,X,X,X
JLSOZIT,O,X,O,X,X
JLZTISO,X,X,O,O,O
JLZTIOS,X,X,O,O,O
JLZTSIO,O,X,X,O,O
JLZTSOI,O,X,X,O,O
JLZTOIS,X,X,O,O,O
JLZTOSI,O,X,X,O,O
JLZITSO,X,X,O,O,O
JLZITOS,X,X,O,O,O
JLZISTO,X,X,O,X,X
JLZISOT,X,X,O,X,X
JLZIOTS,X,X,O,O,O
JLZIOST,X,X,O,X,X
JLZSTIO,O,X,X,O,X
JLZSTOI,O,X,X,O,X
JLZSITO,O,X,O,X,X
JLZSIOT,O,X,O,X,X
JLZSOTI,O,X,X,O,X
JLZSOIT,O,X,O,X,X
JLZOTIS,X,X,O,O,O
JLZOTSI,O,X,X,O,O
JLZOITS,X,X,O,O,O
JLZOIST,X,X,O,X,X
JLZOSTI,O,X,X,O,X
JLZOSIT,O,X,O,X,X
JLOTISZ,X,X,O,X,O
JLOTIZS,X,X,O,O,O
JLOTSIZ,O,X,X,X,O
JLOTSZI,O,X,X,X,O
JLOTZIS,X,X,O,O,O
JLOTZSI,O,X,X,O,O
JLOITSZ,X,X,O,X,O
JLOITZS,X,X,O,O,O
JLOISTZ,X,O,O,X,O
JLOISZT,X,O,O,X,X
JLOIZTS,X,O,O,O,O
JLOIZST,X,O,O,X,X
JLOSTIZ,O,O,X,X,O
JLOSTZI,O,X,X,X,O
JLOSITZ,O,O,O,X,O
JLOSIZT,O,O,O,X,X
JLOSZTI,O,X,X,X,X
JLOSZIT,O,X,O,X,X
JLOZTIS,X,X,O,O,O
JLOZTSI,O,X,X,O,O
JLOZITS,X,X,O,O,O
JLOZIST,X,X,O,X,X
JLOZSTI,O,X,X,O,X
JLOZSIT,O,X,O,X,X
JSTILZO,O,O,X,X,O
JSTILOZ,X,O,X,X,O
JSTIZLO,O,O,X,O,X
JSTIZOL,X,O,X,O,X
JSTIOLZ,X,O,X,X,O
JSTIOZL,X,O,X,O,X
JSTLIZO,O,O,X,X,O
JSTLIOZ,X,O,X,X,O
JSTLZIO,O,X,X,X,O
JSTLZOI,O,X,X,X,O
JSTLOIZ,O,O,X,X,O
JSTLOZI,O,X,X,X,O
JSTZILO,O,X,X,O,X
JSTZIOL,X,X,X,O,X
JSTZLIO,O,X,X,O,X
JSTZLOI,O,X,X,O,X
JSTZOIL,O,X,X,O,X
JSTZOLI,O,X,X,O,X
JSTOILZ,O,O,X,X,O
JSTOIZL,O,O,X,O,X
JSTOLIZ,O,O,X,X,O
JSTOLZI,O,X,X,X,O
JSTOZIL,O,X,X,O,X
JSTOZLI,O,X,X,O,X
JSITLZO,O,O,X,X,O
JSITLOZ,X,O,X,X,O
JSITZLO,O,O,X,O,X
JSITZOL,X,O,X,O,X
JSITOLZ,X,O,X,X,O
JSITOZL,X,O,X,O,X
JSILTZO,O,O,O,X,O
JSILTOZ,X,O,O,X,O
JSILZTO,O,O,O,X,X
JSILZOT,O,O,O,X,X
JSILOTZ,O,O,O,X,O
JSILOZT,O,O,O,X,X
JSIZTLO,X,O,X,O,X
JSIZTOL,X,O,X,O,X
JSIZLTO,O,O,O,X,X
JSIZLOT,O,O,O,X,X
JSIZOTL,X,O,X,O,X
JSIZOLT,X,O,O,X,X
JSIOTLZ,O,O,X,X,O
JSIOTZL,O,O,X,O,X
JSIOLTZ,O,O,O,X,O
JSIOLZT,O,O,O,X,X
JSIOZTL,X,O,X,O,X
JSIOZLT,O,O,O,X,X
JSLTIZO,O,O,X,X,O
JSLTIOZ,X,O,X,X,O
JSLTZIO,O,X,X,X,O
JSLTZOI,O,X,X,X,O
JSLTOIZ,O,O,X,X,O
JSLTOZI,O,X,X,X,O
JSLITZO,O,O,O,X,O
JSLITOZ,X,O,O,X,O
JSLIZTO,O,O,O,X,X
JSLIZOT,O,O,O,X,X
JSLIOTZ,O,O,O,X,O
JSLIOZT,O,O,O,X,X
JSLZTIO,O,X,X,X,X
JSLZTOI,O,X,X,X,X
JSLZITO,O,X,O,X,X
JSLZIOT,O,X,O,X,X
JSLZOTI,O,X,X,X,X
JSLZOIT,O,X,O,X,X
JSLOTIZ,O,O,X,X,O
JSLOTZI,O,X,X,X,O
JSLOITZ,O,O,O,X,O
JSLOIZT,O,O,O,X,X
JSLOZTI,O,X,X,X,X
JSLOZIT,O,X,O,X,X
JSZTILO,O,X,X,O,X
JSZTIOL,X,X,X,O,X
JSZTLIO,O,X,X,O,X
JSZTLOI,O,X,X,O,X
JSZTOIL,O,X,X,O,X
JSZTOLI,O,X,X,O,X
JSZITLO,X,X,X,O,X
JSZITOL,X,X,X,O,X
JSZILTO,O,X,O,X,X
JSZILOT,O,X,O,X,X
JSZIOTL,X,X,X,O,X
JSZIOLT,X,X,O,X,X
JSZLTIO,O,X,X,O,X
JSZLTOI,O,X,X,O,X
JSZLITO,O,X,O,X,X
JSZLIOT,O,X,O,X,X
JSZLOTI,O,X,X,O,X
JSZLOIT,O,X,O,X,X
JSZOTIL,O,X,X,O,X
JSZOTLI,O,X,X,O,X
JSZOITL,X,X,X,O,X
JSZOILT,O,X,O,X,X
JSZOLTI,O,X,X,O,X
JSZOLIT,O,X,O,X,X
JSOTILZ,O,O,X,X,O
JSOTIZL,O,O,X,O,X
JSOTLIZ,O,O,X,X,O
JSOTLZI,O,X,X,X,O
JSOTZIL,O,X,X,O,X
JSOTZLI,O,X,X,O,X
JSOITLZ,O,O,X,X,O
JSOITZL,O,O,X,O,X
JSOILTZ,O,O,O,X,O
JSOILZT,O,O,O,X,X
JSOIZTL,X,O,X,O,X
JSOIZLT,O,O,O,X,X
JSOLTIZ,O,O,X,X,O
JSOLTZI,O,X,X,X,O
JSOLITZ,O,O,O,X,O
JSOLIZT,O,O,O,X,X
JSOLZTI,O,X,X,X,X
JSOLZIT,O,X,O,X,X
JSOZTIL,O,X,X,O,X
JSOZTLI,O,X,X,O,X
JSOZITL,X,X,X,O,X
JSOZILT,O,X,O,X,X
JSOZLTI,O,X,X,O,X
JSOZLIT,O,X,O,X,X
JZTILSO,X,X,O,O,O
JZTILOS,X,X,O,O,O
JZTISLO,X,X,X,O,X
JZTISOL,X,X,X,O,X
JZTIOLS,X,X,O,O,O
JZTIOSL,X,X,X,O,X
JZTLISO,X,X,O,O,O
JZTLIOS,X,X,O,O,O
JZTLSIO,O,X,X,O,O
JZTLSOI,O,X,X,O,O
JZTLOIS,X,X,O,O,O
JZTLOSI,O,X,X,O,O
JZTSILO,O,X,X,O,X
JZTSIOL,X,X,X,O,X
JZTSLIO,O,X,X,O,X
JZTSLOI,O,X,X,O,X
JZTSOIL,O,X,X,O,X
JZTSOLI,O,X,X,O,X
JZTOILS,X,X,O,O,O
JZTOISL,X,X,X,O,X
JZTOLIS,X,X,O,O,O
JZTOLSI,O,X,X,O,O
JZTOSIL,O,X,X,O,X
JZTOSLI,O,X,X,O,X
JZITLSO,X,X,O,O,O
JZITLOS,X,X,O,O,O
JZITSLO,X,X,X,O,X
JZITSOL,X,X,X,O,X
JZITOLS,X,X,O,O,O
JZITOSL,X,X,X,O,X
JZILTSO,X,X,O,O,O
JZILTOS,X,X,O,O,O
JZILSTO,X,X,O,X,X
JZILSOT,X,X,O,X,X
JZILOTS,X,X,O,O,O
JZILOST,X,X,O,X,X
JZISTLO,X,X,X,O,X
JZISTOL,X,X,X,O,X
JZISLTO,X,X,O,X,X
JZISLOT,X,X,O,X,X
JZISOTL,X,X,X,O,X
JZISOLT,X,X,O,X,X
JZIOTLS,X,X,O,O,O
JZIOTSL,X,X,X,O,X
JZIOLTS,X,X,O,O,O
JZIOLST,X,X,O,X,X
JZIOSTL,X,X,X,O,X
JZIOSLT,X,X,O,X,X
JZLTISO,X,X,O,O,O
JZLTIOS,X,X,O,O,O
JZLTSIO,O,X,X,O,O
JZLTSOI,O,X,X,O,O
JZLTOIS,X,X,O,O,O
JZLTOSI,O,X,X,O,O
JZLITSO,X,X,O,O,O
JZLITOS,X,X,O,O,O
JZLISTO,X,X,O,X,X
JZLISOT,X,X,O,X,X
JZLIOTS,X,X,O,O,O
JZLIOST,X,X,O,X,X
JZLSTIO,O,X,X,O,X
JZLSTOI,O,X,X,O,X
JZLSITO,O,X,O,X,X
JZLSIOT,O,X,O,X,X
JZLSOTI,O,X,X,O,X
JZLSOIT,O,X,O,X,X
JZLOTIS,X,X,O,O,O
JZLOTSI,O,X,X,O,O
JZLOITS,X,X,O,O,O
JZLOIST,X,X,O,X,X
JZLOSTI,O,X,X,O,X
JZLOSIT,O,X,O,X,X
JZSTILO,O,X,X,O,X
JZSTIOL,X,X,X,O,X
JZSTLIO,O,X,X,O,X
JZSTLOI,O,X,X,O,X
JZSTOIL,O,X,X,O,X
JZSTOLI,O,X,X,O,X
JZSITLO,X,X,X,O,X
JZSITOL,X,X,X,O,X
JZSILTO,O,X,O,X,X
JZSILOT,O,X,O,X,X
JZSIOTL,X,X,X,O,X
JZSIOLT,X,X,O,X,X
JZSLTIO,O,X,X,O,X
JZSLTOI,O,X,X,O,X
JZSLITO,O,X,O,X,X
JZSLIOT,O,X,O,X,X
JZSLOTI,O,X,X,O,X
JZSLOIT,O,X,O,X,X
JZSOTIL,O,X,X,O,X
JZSOTLI,O,X,X,O,X
JZSOITL,X,X,X,O,X
JZSOILT,O,X,O,X,X
JZSOLTI,O,X,X,O,X
JZSOLIT,O,X,O,X,X
JZOTILS,X,X,O,O,O
JZOTISL,X,X,X,O,X
JZOTLIS,X,X,O,O,O
JZOTLSI,O,X,X,O,O
JZOTSIL,O,X,X,O,X
JZOTSLI,O,X,X,O,X
JZOITLS,X,X,O,O,O
JZOITSL,X,X,X,O,X
JZOILTS,X,X,O,O,O
JZOILST,X,X,O,X,X
JZOISTL,X,X,X,O,X
JZOISLT,X,X,O,X,X
JZOLTIS,X,X,O,O,O
JZOLTSI,O,X,X,O,O
JZOLITS,X,X,O,O,O
JZOLIST,X,X,O,X,X
JZOLSTI,O,X,X,O,X
JZOLSIT,O,X,O,X,X
JZOSTIL,O,X,X,O,X
JZOSTLI,O,X,X,O,X
JZOSITL,X,X,X,O,X
JZOSILT,O,X,O,X,X
JZOSLTI,O,X,X,O,X
JZOSLIT,O,X,O,X,X
JOTILSZ,X,X,O,X,O
JOTILZS,X,X,O,O,O
JOTISLZ,X,X,X,X,O
JOTISZL,X,X,X,O,X
JOTIZLS,X,X,O,O,O
JOTIZSL,X,X,X,O,X
JOTLISZ,X,X,O,X,O
JOTLIZS,X,X,O,O,O
JOTLSIZ,O,X,X,X,O
JOTLSZI,O,X,X,X,O
JOTLZIS,X,X,O,O,O
JOTLZSI,O,X,X,O,O
JOTSILZ,O,X,X,X,O
JOTSIZL,O,X,X,O,X
JOTSLIZ,O,X,X,X,O
JOTSLZI,O,X,X,X,O
JOTSZIL,O,X,X,O,X
JOTSZLI,O,X,X,O,X
JOTZILS,X,X,O,O,O
JOTZISL,X,X,X,O,X
JOTZLIS,X,X,O,O,O
JOTZLSI,O,X,X,O,O
JOTZSIL,O,X,X,O,X
JOTZSLI,O,X,X,O,X
JOITLSZ,X,X,O,X,O
JOITLZS,X,X,O,O,O
JOITSLZ,X,X,X,X,O
JOITSZL,X,X,X,O,X
JOITZLS,X,X,O,O,O
JOITZSL,X,X,X,O,X
JOILTSZ,X,X,O,X,O
JOILTZS,X,X,O,O,O
JOILSTZ,X,O,O,X,O
JOILSZT,X,O,O,X,X
JOILZTS,X,O,O,O,O
JOILZST,X,O,O,X,X
JOISTLZ,X,O,X,X,O
JOISTZL,X,O,X,O,X
JOISLTZ,X,O,O,X,O
JOISLZT,X,O,O,X,X
JOISZTL,X,O,X,O,X
JOISZLT,X,O,O,X,X
JOIZTLS,X,O,O,O,O
JOIZTSL,X,X,X,O,X
JOIZLTS,X,O,O,O,O
JOIZLST,X,O,O,X,X
JOIZSTL,X,O,X,O,X
JOIZSLT,X,O,O,X,X
JOLTISZ,X,X,O,X,O
JOLTIZS,X,X,O,O,O
JOLTSIZ,O,X,X,X,O
JOLTSZI,O,X,X,X,O
JOLTZIS,X,X,O,O,O
JOLTZSI,O,X,X,O,O
JOLITSZ,X,X,O,X,O
JOLITZS,X,X,O,O,O
JOLISTZ,X,O,O,X,O
JOLISZT,X,O,O,X,X
JOLIZTS,X,O,O,O,O
JOLIZST,X,O,O,X,X
JOLSTIZ,O,O,X,X,O
JOLSTZI,O,X,X,X,O
JOLSITZ,O,O,O,X,O
JOLSIZT,O,O,O,X,X
JOLSZTI,O,X,X,X,X
JOLSZIT,O,X,O,X,X
JOLZTIS,X,X,O,O,O
JOLZTSI,O,X,X,O,O
JOLZITS,X,X,O,O,O
JOLZIST,X,X,O,X,X
JOLZSTI,O,X,X,O,X
JOLZSIT,O,X,O,X,X
JOSTILZ,O,O,X,X,O
JOSTIZL,O,O,X,O,X
JOSTLIZ,O,O,X,X,O
JOSTLZI,O,X,X,X,O
JOSTZIL,O,X,X,O,X
JOSTZLI,O,X,X,O,X
JOSITLZ,O,O,X,X,O
JOSITZL,O,O,X,O,X
JOSILTZ,O,O,O,X,O
JOSILZT,O,O,O,X,X
JOSIZTL,X,O,X,O,X
JOSIZLT,O,O,O,X,X
JOSLTIZ,O,O,X,X,O
JOSLTZI,O,X,X,X,O
JOSLITZ,O,O,O,X,O
JOSLIZT,O,O,O,X,X
JOSLZTI,O,X,X,X,X
JOSLZIT,O,X,O,X,X
JOSZTIL,O,X,X,O,X
JOSZTLI,O,X,X,O,X
JOSZITL,X,X,X,O,X
JOSZILT,O,X,O,X,X
JOSZLTI,O,X,X,O,X
JOSZLIT,O,X,O,X,X
JOZTILS,X,X,O,O,O
JOZTISL,X,X,X,O,X
JOZTLIS,X,X,O,O,O
JOZTLSI,O,X,X,O,O
JOZTSIL,O,X,X,O,X
JOZTSLI,O,X,X,O,X
JOZITLS,X,X,O,O,O
JOZITSL,X,X,X,O,X
JOZILTS,X,X,O,O,O
JOZILST,X,X,O,X,X
JOZISTL,X,X,X,O,X
JOZISLT,X,X,O,X,X
JOZLTIS,X,X,O,O,O
JOZLTSI,O,X,X,O,O
JOZLITS,X,X,O,O,O
JOZLIST,X,X,O,X,X
JOZLSTI,O,X,X,O,X
JOZLSIT,O,X,O,X,X
JOZSTIL,O,X,X,O,X
JOZSTLI,O,X,X,O,X
JOZSITL,X,X,X,O,X
JOZSILT,O,X,O,X,X
JOZSLTI,O,X,X,O,X
JOZSLIT,O,X,O,X,X
STILJZO,O,O,X,X,X
STILJOZ,X,O,X,X,X
STILZJO,O,O,X,X,X
STILZOJ,O,O,X,X,X
STILOJZ,O,O,X,X,X
STILOZJ,O,O,X,X,X
STIJLZO,O,O,X,X,X
STIJLOZ,X,O,X,X,X
STIJZLO,O,O,X,X,X
STIJZOL,X,O,X,X,X
STIJOLZ,X,O,X,X,X
STIJOZL,X,O,X,X,X
STIZLJO,O,O,X,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,O,X,X,X
STIZJOL,X,O,X,X,X
STIZOLJ,O,O,X,X,X
STIZOJL,O,O,X,X,X
STIOLJZ,O,O,X,X,X
STIOLZJ,O,O,X,X,X
STIOJLZ,O,O,X,X,X
STIOJZL,O,O,X,X,X
STIOZLJ,O,O,X,X,X
STIOZJL,O,O,X,X,X
STLIJZO,O,O,X,X,X
STLIJOZ,X,O,X,X,X
STLIZJO,O,O,X,X,X
STLIZOJ,O,O,X,X,X
STLIOJZ,O,O,X,X,X
STLIOZJ,O,O,X,X,X
STLJIZO,O,O,X,X,O
STLJIOZ,X,O,X,X,O
STLJZIO,O,X,X,X,O
STLJZOI,O,X,X,X,O
STLJOIZ,O,O,X,X,O
STLJOZI,O,X,X,X,O
STLZIJO,O,O,X,X,X
STLZIOJ,O,O,X,X,X
STLZJIO,O,X,X,X,X
STLZJOI,O,X,X,X,X
STLZOIJ,O,O,X,X,X
STLZOJI,O,X,X,X,X
STLOIJZ,O,O,X,X,X
STLOIZJ,O,O,X,X,X
STLOJIZ,O,O,X,X,O
STLOJZI,O,X,X,X,O
STLOZIJ,O,O,X,X,X
STLOZJI,O,X,X,X,X
STJILZO,O,O,X,X,O
STJILOZ,X,O,X,X,O
STJIZLO,O,O,X,O,X
STJIZOL,X,O,X,O,X
STJIOLZ,X,O,X,X,O
STJIOZL,X,O,X,O,X
STJLIZO,O,O,X,X,O
STJLIOZ,X,O,X,X,O
STJLZIO,O,X,X,X,O
STJLZOI,O,X,X,X,O
STJLOIZ,O,O,X,X,O
STJLOZI,O,X,X,X,O
STJZILO,O,X,X,O,X
