sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
TIOZJLS,X,O,O,O,X
TIOZJSL,X,X,X,O,X
TIOZSLJ,O,O,X,X,X
TIOZSJL,O,O,X,O,X
TLIJSZO,X,X,O,X,O
TLIJSOZ,X,X,O,X,O
TLIJZSO,X,X,O,X,O
TLIJZOS,X,X,O,X,O
TLIJOSZ,X,X,O,X,O
TLIJOZS,X,X,O,X,O
TLISJZO,O,O,X,X,X
TLISJOZ,X,O,X,X,X
TLISZJO,O,O,X,X,X
TLISZOJ,O,O,X,X,X
TLISOJZ,O,O,X,X,X
TLISOZJ,O,O,X,X,X
TLIZJSO,X,X,O,X,X
TLIZJOS,X,O,O,X,X
TLIZSJO,O,O,X,X,X
TLIZSOJ,O,O,X,X,X
TLIZOJS,X,O,O,X,X
TLIZOSJ,O,O,X,X,X
TLIOJSZ,X,X,O,X,O
TLIOJZS,X,X,O,X,O
TLIOSJZ,O,O,X,X,X
TLIOSZJ,O,O,X,X,X
TLIOZJS,X,O,O,X,X
TLIOZSJ,O,O,X,X,X
TLJISZO,X,X,O,X,O
TLJISOZ,X,X,O,X,O
TLJIZSO,X,X,O,O,O
TLJIZOS,X,X,O,O,O
TLJIOSZ,X,X,O,X,O
TLJIOZS,X,X,O,O,O
TLJSIZO,O,X,X,X,O
TLJSIOZ,X,X,X,X,O
TLJSZIO,O,X,X,X,O
TLJSZOI,O,X,X,X,O
TLJSOIZ,O,X,X,X,O
TLJSOZI,O,X,X,X,O
TLJZISO,X,X,O,O,O
TLJZIOS,X,X,O,O,O
TLJZSIO,O,X,X,O,O
TLJZSOI,O,X,X,O,O
TLJZOIS,X,X,O,O,O
TLJZOSI,O,X,X,O,O
TLJOISZ,X,X,O,X,O
TLJOIZS,X,X,O,O,O
TLJOSIZ,O,X,X,X,O
TLJOSZI,O,X,X,X,O
TLJOZIS,X,X,O,O,O
TLJOZSI,O,X,X,O,O
TLSIJZO,O,O,X,X,X
TLSIJOZ,X,O,X,X,X
TLSIZJO,O,O,X,X,X
TLSIZOJ,O,O,X,X,X
TLSIOJZ,O,O,X,X,X
TLSIOZJ,O,O,X,X,X
TLSJIZO,O,O,X,X,O
TLSJIOZ,X,O,X,X,O
TLSJZIO,O,X,X,X,O
TLSJZOI,O,X,X,X,O
TLSJOIZ,O,O,X,X,O
TLSJOZI,O,X,X,X,O
TLSZIJO,O,O,X,X,X
TLSZIOJ,O,O,X,X,X
TLSZJIO,O,X,X,X,X
TLSZJOI,O,X,X,X,X
TLSZOIJ,O,O,X,X,X
TLSZOJI,O,X,X,X,X
TLSOIJZ,O,O,X,X,X
TLSOIZJ,O,O,X,X,X
TLSOJIZ,O,O,X,X,O
TLSOJZI,O,X,X,X,O
TLSOZIJ,O,O,X,X,X
TLSOZJI,O,X,X,X,X
TLZIJSO,X,X,O,X,X
TLZIJOS,X,X,O,X,X
TLZISJO,O,X,X,X,X
TLZISOJ,O,X,X,X,X
TLZIOJS,X,X,O,X,X
TLZIOSJ,O,X,X,X,X
TLZJISO,X,X,O,O,O
TLZJIOS,X,X,O,O,O
TLZJSIO,O,X,X,O,O
TLZJSOI,O,X,X,O,O
TLZJOIS,X,X,O,O,O
TLZJOSI,O,X,X,O,O
TLZSIJO,O,X,X,X,X
TLZSIOJ,O,X,X,X,X
TLZSJIO,O,X,X,O,X
TLZSJOI,O,X,X,O,X
TLZSOIJ,O,X,X,X,X
TLZSOJI,O,X,X,O,X
TLZOIJS,X,X,O,X,X
TLZOISJ,O,X,X,X,X
TLZOJIS,X,X,O,O,O
TLZOJSI,O,X,X,O,O
TLZOSIJ,O,X,X,X,X
TLZOSJI,O,X,X,O,X
TLOIJSZ,X,X,O,X,O
TLOIJZS,X,X,O,X,O
TLOISJZ,O,O,X,X,X
TLOISZJ,O,O,X,X,X
TLOIZJS,X,O,O,X,X
TLOIZSJ,O,O,X,X,X
TLOJISZ,X,X,O,X,O
TLOJIZS,X,X,O,O,O
TLOJSIZ,O,X,X,X,O
TLOJSZI,O,X,X,X,O
TLOJZIS,X,X,O,O,O
TLOJZSI,O,X,X,O,O
TLOSIJZ,O,O,X,X,X
TLOSIZJ,O,O,X,X,X
TLOSJIZ,O,O,X,X,O
TLOSJZI,O,X,X,X,O
TLOSZIJ,O,O,X,X,X
TLOSZJI,O,X,X,X,X
TLOZIJS,X,X,O,X,X
TLOZISJ,O,X,X,X,X
TLOZJIS,X,X,O,O,O
TLOZJSI,O,X,X,O,O
TLOZSIJ,O,X,X,X,X
TLOZSJI,O,X,X,O,X
TJILSZO,X,X,O,X,O
TJILSOZ,X,X,O,X,O
TJILZSO,X,X,O,O,O
TJILZOS,X,X,O,O,O
TJILOSZ,X,X,O,X,O
TJILOZS,X,X,O,O,O
TJISLZO,X,X,X,X,O
TJISLOZ,X,X,X,X,O
TJISZLO,X,X,X,O,X
TJISZOL,X,X,X,O,X
TJISOLZ,X,X,X,X,O
TJISOZL,X,X,X,O,X
TJIZLSO,X,X,O,O,O
TJIZLOS,X,X,O,O,O
TJIZSLO,X,X,X,O,X
TJIZSOL,X,X,X,O,X
TJIZOLS,X,X,O,O,O
TJIZOSL,X,X,X,O,X
TJIOLSZ,X,X,O,X,O
TJIOLZS,X,X,O,O,O
TJIOSLZ,X,X,X,X,O
TJIOSZL,X,X,X,O,X
TJIOZLS,X,X,O,O,O
TJIOZSL,X,X,X,O,X
TJLISZO,X,X,O,X,O
TJLISOZ,X,X,O,X,O
TJLIZSO,X,X,O,O,O
TJLIZOS,X,X,O,O,O
TJLIOSZ,X,X,O,X,O
TJLIOZS,X,X,O,O,O
TJLSIZO,O,X,X,X,O
TJLSIOZ,X,X,X,X,O
TJLSZIO,O,X,X,X,O
TJLSZOI,O,X,X,X,O
TJLSOIZ,O,X,X,X,O
TJLSOZI,O,X,X,X,O
TJLZISO,X,X,O,O,O
TJLZIOS,X,X,O,O,O
TJLZSIO,O,X,X,O,O
TJLZSOI,O,X,X,O,O
TJLZOIS,X,X,O,O,O
TJLZOSI,O,X,X,O,O
TJLOISZ,X,X,O,X,O
TJLOIZS,X,X,O,O,O
TJLOSIZ,O,X,X,X,O
TJLOSZI,O,X,X,X,O
TJLOZIS,X,X,O,O,O
TJLOZSI,O,X,X,O,O
TJSILZO,O,X,X,X,O
TJSILOZ,X,X,X,X,O
TJSIZLO,O,X,X,O,X
TJSIZOL,X,X,X,O,X
TJSIOLZ,X,X,X,X,O
TJSIOZL,X,X,X,O,X
TJSLIZO,O,X,X,X,O
TJSLIOZ,X,X,X,X,O
TJSLZIO,O,X,X,X,O
TJSLZOI,O,X,X,X,O
TJSLOIZ,O,X,X,X,O
TJSLOZI,O,X,X,X,O
TJSZILO,O,X,X,O,X
TJSZIOL,X,X,X,O,X
TJSZLIO,O,X,X,O,X
TJSZLOI,O,X,X,O,X
TJSZOIL,O,X,X,O,X
TJSZOLI,O,X,X,O,X
TJSOILZ,O,X,X,X,O
TJSOIZL,O,X,X,O,X
TJSOLIZ,O,X,X,X,O
TJSOLZI,O,X,X,X,O
TJSOZIL,O,X,X,O,X
TJSOZLI,O,X,X,O,X
TJZILSO,X,X,O,O,O
TJZILOS,X,X,O,O,O
TJZISLO,X,X,X,O,X
TJZISOL,X,X,X,O,X
TJZIOLS,X,X,O,O,O
TJZIOSL,X,X,X,O,X
TJZLISO,X,X,O,O,O
TJZLIOS,X,X,O,O,O
TJZLSIO,O,X,X,O,O
TJZLSOI,O,X,X,O,O
TJZLOIS,X,X,O,O,O
TJZLOSI,O,X,X,O,O
TJZSILO,O,X,X,O,X
TJZSIOL,X,X,X,O,X
TJZSLIO,O,X,X,O,X
TJZSLOI,O,X,X,O,X
TJZSOIL,O,X,X,O,X
TJZSOLI,O,X,X,O,X
TJZOILS,X,X,O,O,O
TJZOISL,X,X,X,O,X
TJZOLIS,X,X,O,O,O
TJZOLSI,O,X,X,O,O
TJZOSIL,O,X,X,O,X
TJZOSLI,O,X,X,O,X
TJOILSZ,X,X,O,X,O
TJOILZS,X,X,O,O,O
TJOISLZ,X,X,X,X,O
TJOISZL,X,X,X,O,X
TJOIZLS,X,X,O,O,O
TJOIZSL,X,X,X,O,X
TJOLISZ,X,X,O,X,O
TJOLIZS,X,X,O,O,O
