sequence,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFRgBcmBOnBTjB6q?B1wB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFFgBxhBTjBqqBmm?B0rB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFRgBFiBTjB6qB0m?B2wB,v115@OhA8BeA8AeA8DeF8DeC8Jex/IvhFOnBTjBlkBCmB0r?BXrB,v115@OhA8BeA8AeA8DeF8DeC8Je/EJvhFUgBFhBOnBTjBSr?BRwB
TJILZOS,O,X,X,O,X
TJILOSZ,O,X,O,X,X
TJILOZS,O,X,X,O,X
TJISLZO,O,X,O,X,X
TJISLOZ,O,X,O,X,X
TJISZLO,O,X,X,O,X
TJISZOL,O,X,O,O,X
TJISOLZ,O,X,O,X,X
TJISOZL,O,X,O,O,X
TJIZLSO,O,X,X,O,X
TJIZLOS,O,X,X,O,X
TJIZSLO,O,X,X,O,X
TJIZSOL,O,X,X,O,X
TJIZOLS,O,X,X,O,X
TJIZOSL,O,X,X,O,X
TJIOLSZ,O,X,O,X,X
TJIOLZS,O,X,X,O,X
TJIOSLZ,O,X,O,X,X
TJIOSZL,O,X,O,O,X
TJIOZLS,O,X,X,O,X
TJIOZSL,O,X,X,O,X
TJLISZO,O,X,O,X,X
TJLISOZ,O,X,O,X,X
TJLIZSO,O,X,X,O,X
TJLIZOS,O,X,X,O,X
TJLIOSZ,O,X,O,X,X
TJLIOZS,O,X,X,O,X
TJLSIZO,O,X,O,X,X
TJLSIOZ,O,X,O,X,X
TJLSZIO,O,X,O,X,X
TJLSZOI,O,X,O,X,X
TJLSOIZ,O,X,O,X,X
TJLSOZI,O,X,O,X,X
TJLZISO,O,X,O,O,X
TJLZIOS,O,X,O,O,X
TJLZSIO,O,X,O,O,X
TJLZSOI,O,X,O,O,X
TJLZOIS,O,X,O,O,X
TJLZOSI,O,X,O,O,X
TJLOISZ,O,X,O,X,X
TJLOIZS,O,X,X,O,X
TJLOSIZ,O,X,O,X,X
TJLOSZI,O,X,O,X,X
TJLOZIS,O,X,O,O,X
TJLOZSI,O,X,O,O,X
TJSILZO,O,X,O,X,O
TJSILOZ,O,X,O,X,O
TJSIZLO,O,X,O,O,O
TJSIZOL,O,X,O,O,O
TJSIOLZ,O,X,O,X,O
TJSIOZL,O,X,O,O,O
TJSLIZO,O,X,O,X,X
TJSLIOZ,O,X,O,X,X
TJSLZIO,O,X,O,X,X
TJSLZOI,O,X,O,X,X
TJSLOIZ,O,X,O,X,X
TJSLOZI,O,X,O,X,X
TJSZILO,O,X,O,O,X
TJSZIOL,O,X,O,O,X
TJSZLIO,O,X,O,O,X
TJSZLOI,O,X,O,O,X
TJSZOIL,O,X,O,O,X
TJSZOLI,O,X,O,O,X
TJSOILZ,O,X,O,X,O
TJSOIZL,O,X,O,O,O
TJSOLIZ,O,X,O,X,X
TJSOLZI,O,X,O,X,X
TJSOZIL,O,X,O,O,X
TJSOZLI,O,X,O,O,X
TJZILSO,O,X,O,O,X
TJZILOS,O,X,O,O,X
TJZISLO,O,X,O,O,X
TJZISOL,O,X,O,O,X
TJZIOLS,O,X,O,O,X
TJZIOSL,O,X,O,O,X
TJZLISO,O,X,O,O,X
TJZLIOS,O,X,O,O,X
TJZLSIO,O,X,O,O,X
TJZLSOI,O,X,O,O,X
TJZLOIS,O,X,O,O,X
TJZLOSI,O,X,O,O,X
TJZSILO,O,X,O,O,X
TJZSIOL,O,X,O,O,X
TJZSLIO,O,X,O,O,X
TJZSLOI,O,X,O,O,X
TJZSOIL,O,X,O,O,X
TJZSOLI,O,X,O,O,X
TJZOILS,O,X,O,O,X
TJZOISL,O,X,O,O,X
TJZOLIS,O,X,O,O,X
TJZOLSI,O,X,O,O,X
TJZOSIL,O,X,O,O,X
TJZOSLI,O,X,O,O,X
TJOILSZ,O,X,O,X,X
TJOILZS,O,X,X,O,X
TJOISLZ,O,X,O,X,X
TJOISZL,O,X,O,O,X
TJOIZLS,O,X,X,O,X
TJOIZSL,O,X,X,O,X
TJOLISZ,O,X,O,X,X
TJOLIZS,O,X,X,O,X
TJOLSIZ,O,X,O,X,X
TJOLSZI,O,X,O,X,X
TJOLZIS,O,X,O,O,X
TJOLZSI,O,X,O,O,X
TJOSILZ,O,X,O,X,O
TJOSIZL,O,X,O,O,O
TJOSLIZ,O,X,O,X,X
TJOSLZI,O,X,O,X,X
TJOSZIL,O,X,O,O,X
TJOSZLI,O,X,O,O,X
TJOZILS,O,X,O,O,X
TJOZISL,O,X,O,O,X
TJOZLIS,O,X,O,O,X
TJOZLSI,O,X,O,O,X
TJOZSIL,O,X,O,O,X
TJOZSLI,O,X,O,O,X
TSILJZO,O,X,O,X,O
TSILJOZ,O,O,O,X,O
TSILZJO,O,O,X,X,O
TSILZOJ,O,O,O,X,O
TSILOJZ,O,O,O,X,O
TSILOZJ,O,O,O,X,O
TSIJLZO,O,X,O,X,O
TSIJLOZ,O,X,O,X,O
TSIJZLO,O,X,O,O,O
TSIJZOL,O,X,O,O,O
TSIJOLZ,O,O,O,X,O
TSIJOZL,O,X,O,O,O
TSIZLJO,O,O,X,O,O
TSIZLOJ,O,O,X,O,O
TSIZJLO,O,O,X,O,O
TSIZJOL,O,O,X,O,O
TSIZOLJ,O,O,O,O,O
TSIZOJL,O,O,O,O,O
TSIOLJZ,O,O,O,X,O
TSIOLZJ,O,O,O,X,O
TSIOJLZ,O,O,O,X,O
TSIOJZL,O,X,O,O,O
TSIOZLJ,O,O,O,O,O
TSIOZJL,O,O,O,O,O
TSLIJZO,O,X,O,X,X
TSLIJOZ,O,O,O,X,X
TSLIZJO,O,O,X,X,X
TSLIZOJ,O,O,O,X,X
TSLIOJZ,O,O,O,X,X
TSLIOZJ,O,O,O,X,X
TSLJIZO,O,X,O,X,X
TSLJIOZ,O,O,O,X,X
TSLJZIO,O,O,O,X,X
TSLJZOI,O,O,O,X,X
TSLJOIZ,O,O,O,X,X
TSLJOZI,O,O,O,X,X
TSLZIJO,O,O,X,X,X
TSLZIOJ,O,O,O,X,X
TSLZJIO,O,O,X,X,X
TSLZJOI,O,O,X,X,X
TSLZOIJ,O,O,O,X,X
TSLZOJI,O,O,X,X,X
TSLOIJZ,O,O,O,X,X
TSLOIZJ,O,O,O,X,X
TSLOJIZ,O,O,O,X,X
TSLOJZI,O,O,O,X,X
TSLOZIJ,O,O,O,X,X
TSLOZJI,O,O,X,X,X
TSJILZO,O,X,O,X,O
TSJILOZ,O,X,O,X,O
TSJIZLO,O,X,O,O,O
TSJIZOL,O,X,O,O,O
TSJIOLZ,O,O,O,X,O
TSJIOZL,O,X,O,O,O
TSJLIZO,O,X,O,X,X
TSJLIOZ,O,O,O,X,X
TSJLZIO,O,O,O,X,X
TSJLZOI,O,O,O,X,X
TSJLOIZ,O,O,O,X,X
TSJLOZI,O,O,O,X,X
TSJZILO,O,X,O,O,X
TSJZIOL,O,X,O,O,X
TSJZLIO,O,X,O,O,X
TSJZLOI,O,X,O,O,X
TSJZOIL,O,X,O,O,X
TSJZOLI,O,X,O,O,X
TSJOILZ,O,O,O,X,O
TSJOIZL,O,X,O,O,O
TSJOLIZ,O,O,O,X,X
TSJOLZI,O,O,O,X,X
TSJOZIL,O,X,O,O,X
TSJOZLI,O,X,O,O,X
TSZILJO,O,O,X,O,O
TSZILOJ,O,O,X,O,O
TSZIJLO,O,O,X,O,O
TSZIJOL,O,O,X,O,O
TSZIOLJ,O,O,O,O,O
TSZIOJL,O,O,O,O,O
TSZLIJO,O,O,X,O,O
TSZLIOJ,O,O,O,O,O
TSZLJIO,O,O,X,O,X
TSZLJOI,O,O,X,O,X
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,X,O,X
TSZJILO,O,O,X,O,O
TSZJIOL,O,O,O,O,O
TSZJLIO,O,O,O,O,X
TSZJLOI,O,O,O,O,X
TSZJOIL,O,O,O,O,O
TSZJOLI,O,O,O,O,X
TSZOILJ,O,O,O,O,O
TSZOIJL,O,O,O,O,O
TSZOLIJ,O,O,O,O,O
TSZOLJI,O,O,X,O,X
TSZOJIL,O,O,O,O,O
TSZOJLI,O,O,O,O,X
TSOILJZ,O,O,O,X,O
TSOILZJ,O,O,O,X,O
TSOIJLZ,O,O,O,X,O
TSOIJZL,O,X,O,O,O
TSOIZLJ,O,O,O,O,O
TSOIZJL,O,O,O,O,O
TSOLIJZ,O,O,O,X,X
TSOLIZJ,O,O,O,X,X
TSOLJIZ,O,O,O,X,X
TSOLJZI,O,O,O,X,X
TSOLZIJ,O,O,O,X,X
TSOLZJI,O,O,X,X,X
TSOJILZ,O,O,O,X,O
TSOJIZL,O,X,O,O,O
TSOJLIZ,O,O,O,X,X
TSOJLZI,O,O,O,X,X
TSOJZIL,O,X,O,O,X
TSOJZLI,O,X,O,O,X
TSOZILJ,O,O,O,O,O
TSOZIJL,O,O,O,O,O
TSOZLIJ,O,O,O,O,O
TSOZLJI,O,O,X,O,X
TSOZJIL,O,O,O,O,O
TSOZJLI,O,O,O,O,X
TZILJSO,O,X,X,O,X
TZILJOS,O,X,X,O,X
TZILSJO,O,O,X,O,X
TZILSOJ,O,O,X,O,X
TZILOJS,O,X,X,O,X
TZILOSJ,O,O,X,O,X
TZIJLSO,O,O,X,O,X
TZIJLOS,O,O,X,O,X
TZIJSLO,O,O,X,O,X
TZIJSOL,O,O,X,O,X
TZIJOLS,O,O,X,O,X
TZIJOSL,O,O,X,O,X
TZISLJO,O,O,X,O,X
TZISLOJ,O,O,X,O,X
TZISJLO,O,O,X,O,X
TZISJOL,O,O,X,O,X
TZISOLJ,O,O,X,O,X
TZISOJL,O,O,X,O,X
TZIOLJS,O,X,X,O,X
TZIOLSJ,O,O,X,O,X
TZIOJLS,O,O,X,O,X
TZIOJSL,O,O,X,O,X
TZIOSLJ,O,O,X,O,X
TZIOSJL,O,O,X,O,X
TZLIJSO,O,X,X,O,X
TZLIJOS,O,X,X,O,X
TZLISJO,O,O,X,O,X
TZLISOJ,O,O,X,O,X
TZLIOJS,O,X,X,O,X
TZLIOSJ,O,O,X,O,X
TZLJISO,O,O,X,O,X
TZLJIOS,O,O,X,O,X
TZLJSIO,O,O,X,O,X
TZLJSOI,O,O,X,O,X
TZLJOIS,O,O,X,O,X
TZLJOSI,O,O,X,O,X
TZLSIJO,O,O,X,O,X
TZLSIOJ,O,O,O,O,X
TZLSJIO,O,O,X,O,X
TZLSJOI,O,O,X,O,X
TZLSOIJ,O,O,O,O,X
TZLSOJI,O,O,X,O,X
TZLOIJS,O,X,X,O,X
TZLOISJ,O,O,X,O,X
TZLOJIS,O,O,X,O,X
TZLOJSI,O,O,X,O,X
TZLOSIJ,O,O,O,O,X
TZLOSJI,O,O,X,O,X
TZJILSO,O,O,X,O,X
TZJILOS,O,O,X,O,X
TZJISLO,O,O,X,O,X
TZJISOL,O,O,X,O,X
TZJIOLS,O,O,X,O,X
TZJIOSL,O,O,X,O,X
TZJLISO,O,O,X,O,X
TZJLIOS,O,O,X,O,X
TZJLSIO,O,O,O,O,X
TZJLSOI,O,O,O,O,X
TZJLOIS,O,O,X,O,X
TZJLOSI,O,O,O,O,X
TZJSILO,O,O,X,O,X
TZJSIOL,O,O,O,O,X
TZJSLIO,O,O,O,O,X
TZJSLOI,O,O,O,O,X
TZJSOIL,O,O,O,O,X
TZJSOLI,O,O,O,O,X
TZJOILS,O,O,X,O,X
TZJOISL,O,O,X,O,X
TZJOLIS,O,O,X,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,O,O,O,O,X
TZJOSLI,O,O,O,O,X
TZSILJO,O,O,X,O,X
TZSILOJ,O,O,X,O,X
TZSIJLO,O,O,X,O,X
TZSIJOL,O,O,X,O,X
TZSIOLJ,O,O,O,O,X
TZSIOJL,O,O,O,O,X
TZSLIJO,O,O,X,O,X
TZSLIOJ,O,O,O,O,X
TZSLJIO,O,O,X,O,X
TZSLJOI,O,O,X,O,X
TZSLOIJ,O,O,O,O,X
TZSLOJI,O,O,X,O,X
TZSJILO,O,O,X,O,X
TZSJIOL,O,O,O,O,X
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,O,O,X
TZSJOIL,O,O,O,O,X
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,O,O,X
TZSOIJL,O,O,O,O,X
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,O,O,O,X
TZSOJLI,O,O,O,O,X
TZOILJS,O,X,X,O,X
TZOILSJ,O,O,X,O,X
TZOIJLS,O,O,X,O,X
TZOIJSL,O,O,X,O,X
TZOISLJ,O,O,X,O,X
TZOISJL,O,O,X,O,X
TZOLIJS,O,X,X,O,X
TZOLISJ,O,O,X,O,X
TZOLJIS,O,O,X,O,X
TZOLJSI,O,O,X,O,X
TZOLSIJ,O,O,O,O,X
TZOLSJI,O,O,X,O,X
TZOJILS,O,O,X,O,X
TZOJISL,O,O,X,O,X
TZOJLIS,O,O,X,O,X
TZOJLSI,O,O,O,O,X
TZOJSIL,O,O,O,O,X
TZOJSLI,O,O,O,O,X
TZOSILJ,O,O,O,O,X
TZOSIJL,O,O,O,O,X
TZOSLIJ,O,O,O,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,O,X,X,X,O
TOILJZS,O,X,X,O,O
TOILSJZ,O,O,O,X,O
TOILSZJ,O,O,O,X,O
TOILZJS,O,X,X,O,O
TOILZSJ,O,X,X,O,O
TOIJLSZ,O,X,O,X,O
TOIJLZS,O,X,X,O,O
TOIJSLZ,O,X,O,X,O
TOIJSZL,O,X,O,O,O
TOIJZLS,O,X,X,O,X
TOIJZSL,O,X,X,O,X
TOISLJZ,O,O,O,X,O
TOISLZJ,O,O,O,X,O
TOISJLZ,O,O,O,X,O
TOISJZL,O,X,O,O,O
TOISZLJ,O,O,O,O,O
TOISZJL,O,O,O,O,O
TOIZLJS,O,X,X,O,X
TOIZLSJ,O,O,X,O,X
TOIZJLS,O,O,X,O,X
TOIZJSL,O,O,X,O,X
TOIZSLJ,O,O,X,O,X
TOIZSJL,O,O,X,O,X
TOLIJSZ,O,X,X,X,X
TOLIJZS,O,X,X,O,X
TOLISJZ,O,O,O,X,X
TOLISZJ,O,O,O,X,X
TOLIZJS,O,X,X,O,X
TOLIZSJ,O,X,X,O,X
TOLJISZ,O,X,O,X,X
TOLJIZS,O,X,X,O,X
TOLJSIZ,O,X,O,X,X
TOLJSZI,O,X,O,X,X
TOLJZIS,O,X,O,O,X
TOLJZSI,O,X,O,O,X
TOLSIJZ,O,O,O,X,X
TOLSIZJ,O,O,O,X,X
