sequence,v115@RhC8FeF8BeC8JeT/IvhF/lBZnBunBcoB6rBFrB,v115@RhC8FeF8BeC8JeT/IvhF/lBamB5mBcoBOsBlsB,v115@RhC8FeF8BeC8JeT/IvhFxgBCjBllBXoBmrB8rB,v115@RhC8FeF8BeC8JeT/IvhFmgBxiB0lBFoBCsBfsB,v115@RhC8FeF8BeC8Jei/IvhFXiBTjBRlB1sBWrB0rB,v115@RhC8FeF8BeC8Jei/IvhF0hBTjBRlB1sBWrBXsB
TOSILJZ,X,O,O,X,O,X
TOSILZJ,O,O,X,X,O,O
TOSIJLZ,X,O,O,X,O,X
TOSIJZL,X,O,O,X,X,X
TOSIZLJ,O,O,X,X,O,O
TOSIZJL,O,O,X,X,X,X
TOSLIJZ,X,O,O,X,O,X
TOSLIZJ,O,O,X,X,O,O
TOSLJIZ,X,O,O,X,O,X
TOSLJZI,X,O,O,X,X,X
TOSLZIJ,O,O,X,O,O,O
TOSLZJI,O,O,O,O,X,X
TOSJILZ,X,O,O,X,O,X
TOSJIZL,X,O,O,X,X,X
TOSJLIZ,X,O,O,X,O,X
TOSJLZI,X,O,O,X,X,X
TOSJZIL,X,O,O,X,X,X
TOSJZLI,X,O,O,X,X,X
TOSZILJ,O,O,X,X,O,O
TOSZIJL,O,O,X,X,X,X
TOSZLIJ,O,O,X,O,O,O
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,X,X,O,X,O
TOZILSJ,O,X,X,O,O,O
TOZIJLS,O,X,X,O,X,O
TOZIJSL,O,O,X,X,X,X
TOZISLJ,O,O,X,X,O,O
TOZISJL,O,O,X,X,X,X
TOZLIJS,O,X,X,O,X,O
TOZLISJ,O,X,X,O,O,O
TOZLJIS,O,X,X,O,X,O
TOZLJSI,O,X,X,O,X,X
TOZLSIJ,O,X,X,O,O,O
TOZLSJI,O,X,X,O,X,X
TOZJILS,O,X,X,O,X,O
TOZJISL,O,O,X,X,X,X
TOZJLIS,O,X,X,O,X,O
TOZJLSI,O,X,X,O,X,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,O,X,X
TOZSILJ,O,O,X,X,O,O
TOZSIJL,O,O,X,X,X,X
TOZSLIJ,O,O,X,O,O,O
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,O,X,X
ITLJSZO,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,O,X
ITLJZSO,X,X,X,X,X,X
ITLJZOS,X,X,X,X,X,O
ITLJOSZ,X,X,X,X,O,X
ITLJOZS,X,X,X,X,X,O
ITLSJZO,X,X,X,X,X,X
ITLSJOZ,X,X,X,X,O,X
ITLSZJO,O,X,X,X,X,X
ITLSZOJ,O,X,X,X,O,O
ITLSOJZ,X,X,X,X,O,X
ITLSOZJ,O,X,X,X,O,O
ITLZJSO,O,X,X,O,X,X
ITLZJOS,O,X,X,O,X,O
ITLZSJO,O,X,X,O,X,X
ITLZSOJ,O,X,X,O,O,O
ITLZOJS,O,X,X,O,X,O
ITLZOSJ,O,X,X,O,O,O
ITLOJSZ,X,X,X,X,O,X
ITLOJZS,X,X,X,X,X,O
ITLOSJZ,X,X,X,X,O,X
ITLOSZJ,O,X,X,X,O,O
ITLOZJS,O,X,X,O,X,O
ITLOZSJ,O,X,X,O,O,O
ITJLSZO,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,X
ITJLZSO,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,O
ITJLOSZ,X,X,X,X,O,X
ITJLOZS,X,X,X,X,X,O
ITJSLZO,X,O,O,X,X,X
ITJSLOZ,X,O,O,X,O,X
ITJSZLO,X,O,O,X,X,X
ITJSZOL,X,O,O,X,X,X
ITJSOLZ,X,O,O,X,O,X
ITJSOZL,X,O,O,X,X,X
ITJZLSO,X,X,X,X,X,X
ITJZLOS,X,X,X,X,X,O
ITJZSLO,X,O,X,X,X,X
ITJZSOL,X,O,X,X,X,X
ITJZOLS,X,X,X,X,X,O
ITJZOSL,X,O,X,X,X,X
ITJOLSZ,X,X,X,X,O,X
ITJOLZS,X,X,X,X,X,O
ITJOSLZ,X,O,O,X,O,X
ITJOSZL,X,O,O,X,X,X
ITJOZLS,X,X,X,X,X,O
ITJOZSL,X,O,X,X,X,X
ITSLJZO,X,O,O,X,X,X
ITSLJOZ,X,O,O,X,O,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,O,X,X,O,O
ITSLOJZ,X,O,O,X,O,X
ITSLOZJ,O,O,X,X,O,O
ITSJLZO,X,O,O,X,X,X
ITSJLOZ,X,O,O,X,O,X
ITSJZLO,X,O,O,X,X,X
ITSJZOL,X,O,O,X,X,X
ITSJOLZ,X,O,O,X,O,X
ITSJOZL,X,O,O,X,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,O,X,X,O,O
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,X,X,X
ITSZOLJ,O,O,X,X,O,O
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,X,O,O,X,O,X
ITSOLZJ,O,O,X,X,O,O
ITSOJLZ,X,O,O,X,O,X
ITSOJZL,X,O,O,X,X,X
ITSOZLJ,O,O,X,X,O,O
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,X,X,O,X,X
ITZLJOS,O,X,X,O,X,O
ITZLSJO,O,X,X,O,X,X
ITZLSOJ,O,X,X,O,O,O
ITZLOJS,O,X,X,O,X,O
ITZLOSJ,O,X,X,O,O,O
ITZJLSO,O,X,X,O,X,X
ITZJLOS,O,X,X,O,X,O
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,X,X,O,X,O
ITZJOSL,O,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,X,O,O
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X
ITZSOLJ,O,O,X,X,O,O
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,X,X,O,X,O
ITZOLSJ,O,X,X,O,O,O
ITZOJLS,O,X,X,O,X,O
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,O,O,X,X,O,O
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,X,X,X,X,O,X
ITOLJZS,X,X,X,X,X,O
ITOLSJZ,X,X,X,X,O,X
ITOLSZJ,O,X,X,X,O,O
ITOLZJS,O,X,X,O,X,O
ITOLZSJ,O,X,X,O,O,O
ITOJLSZ,X,X,X,X,O,X
ITOJLZS,X,X,X,X,X,O
ITOJSLZ,X,O,O,X,O,X
ITOJSZL,X,O,O,X,X,X
ITOJZLS,X,X,X,X,X,O
ITOJZSL,X,O,X,X,X,X
ITOSLJZ,X,O,O,X,O,X
ITOSLZJ,O,O,X,X,O,O
ITOSJLZ,X,O,O,X,O,X
ITOSJZL,X,O,O,X,X,X
ITOSZLJ,O,O,X,X,O,O
ITOSZJL,O,O,X,X,X,X
ITOZLJS,O,X,X,O,X,O
ITOZLSJ,O,X,X,O,O,O
ITOZJLS,O,X,X,O,X,O
ITOZJSL,O,O,X,X,X,X
ITOZSLJ,O,O,X,X,O,O
ITOZSJL,O,O,X,X,X,X
ILTJSZO,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,O,X
ILTJZSO,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,O
ILTJOSZ,X,X,X,X,O,X
ILTJOZS,X,X,X,X,X,O
ILTSJZO,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,O,X
ILTSZJO,O,X,X,X,X,X
ILTSZOJ,O,X,X,X,O,O
ILTSOJZ,X,X,X,X,O,X
ILTSOZJ,O,X,X,X,O,O
ILTZJSO,O,X,X,O,X,X
ILTZJOS,O,X,X,O,X,O
ILTZSJO,O,X,X,O,X,X
ILTZSOJ,O,X,X,O,O,O
ILTZOJS,O,X,X,O,X,O
ILTZOSJ,O,X,X,O,O,O
ILTOJSZ,X,X,X,X,O,X
ILTOJZS,X,X,X,X,X,O
ILTOSJZ,X,X,X,X,O,X
ILTOSZJ,O,X,X,X,O,O
ILTOZJS,O,X,X,O,X,O
ILTOZSJ,O,X,X,O,O,O
ILJTSZO,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,O,X
ILJTZSO,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,O,X
ILJTOZS,X,X,X,X,X,O
ILJSTZO,X,O,X,X,X,X
ILJSTOZ,X,O,X,X,X,X
ILJSZTO,O,O,X,X,X,X
ILJSZOT,O,O,X,X,X,X
ILJSOTZ,X,O,X,X,X,X
ILJSOZT,O,O,X,X,X,X
ILJZTSO,O,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X
ILJZSOT,O,O,X,X,X,X
ILJZOTS,O,X,X,X,X,X
ILJZOST,O,O,X,X,X,X
ILJOTSZ,X,X,X,X,O,X
ILJOTZS,X,X,X,X,X,O
ILJOSTZ,X,O,X,X,X,X
ILJOSZT,O,O,X,X,X,X
ILJOZTS,O,X,X,X,X,X
ILJOZST,O,O,X,X,X,X
ILSTJZO,X,O,X,X,X,X
ILSTJOZ,X,O,X,X,O,X
ILSTZJO,O,O,X,X,X,X
ILSTZOJ,O,O,X,X,O,O
ILSTOJZ,X,O,X,X,O,X
ILSTOZJ,O,O,X,X,O,O
ILSJTZO,X,O,X,X,X,X
ILSJTOZ,X,O,X,X,X,X
ILSJZTO,O,O,X,X,X,X
ILSJZOT,O,O,X,X,X,X
ILSJOTZ,X,O,X,X,X,X
ILSJOZT,O,O,X,X,X,X
ILSZTJO,O,O,X,X,X,X
ILSZTOJ,O,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X
ILSZJOT,O,O,X,X,X,X
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,O,X,X,X,X
ILSOTJZ,X,O,X,X,O,X
ILSOTZJ,O,O,X,X,O,O
ILSOJTZ,X,O,X,X,X,X
ILSOJZT,O,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X
ILSOZJT,O,O,X,X,X,X
ILZTJSO,O,X,X,O,X,X
ILZTJOS,O,X,X,O,X,O
ILZTSJO,O,X,X,O,X,X
ILZTSOJ,O,X,X,O,O,O
ILZTOJS,O,X,X,O,X,O
ILZTOSJ,O,X,X,O,O,O
ILZJTSO,O,X,X,O,X,X
ILZJTOS,O,X,X,O,X,X
ILZJSTO,O,O,X,X,X,X
ILZJSOT,O,O,X,X,X,X
ILZJOTS,O,X,X,O,X,X
ILZJOST,O,O,X,X,X,X
ILZSTJO,O,O,X,X,X,X
ILZSTOJ,O,O,X,X,X,X
ILZSJTO,O,O,X,X,X,X
ILZSJOT,O,O,X,X,X,X
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,O,O,X,X,X,X
ILZOTJS,O,X,X,O,X,O
ILZOTSJ,O,X,X,O,O,O
ILZOJTS,O,X,X,O,X,X
ILZOJST,O,O,X,X,X,X
ILZOSTJ,O,O,X,X,X,X
ILZOSJT,O,O,X,X,X,X
ILOTJSZ,X,X,X,X,O,X
ILOTJZS,X,X,X,X,X,O
ILOTSJZ,X,X,X,X,O,X
ILOTSZJ,O,X,X,X,O,O
ILOTZJS,O,X,X,O,X,O
ILOTZSJ,O,X,X,O,O,O
ILOJTSZ,X,X,X,X,O,X
ILOJTZS,X,X,X,X,X,O
ILOJSTZ,X,O,X,X,X,X
ILOJSZT,O,O,X,X,X,X
ILOJZTS,O,X,X,X,X,X
ILOJZST,O,O,X,X,X,X
ILOSTJZ,X,O,X,X,O,X
ILOSTZJ,O,O,X,X,O,O
ILOSJTZ,X,O,X,X,X,X
ILOSJZT,O,O,X,X,X,X
ILOSZTJ,O,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X
ILOZTJS,O,X,X,O,X,O
ILOZTSJ,O,X,X,O,O,O
ILOZJTS,O,X,X,O,X,X
ILOZJST,O,O,X,X,X,X
ILOZSTJ,O,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X
IJTLSZO,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,X
IJTLZSO,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,O
IJTLOSZ,X,X,X,X,O,X
IJTLOZS,X,X,X,X,X,O
IJTSLZO,X,O,O,X,X,X
IJTSLOZ,X,O,O,X,O,X
IJTSZLO,X,O,O,X,X,X
IJTSZOL,X,O,O,X,X,X
IJTSOLZ,X,O,O,X,O,X
IJTSOZL,X,O,O,X,X,X
IJTZLSO,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,O
IJTZSLO,X,O,X,X,X,X
IJTZSOL,X,O,X,X,X,X
IJTZOLS,X,X,X,X,X,O
IJTZOSL,X,O,X,X,X,X
IJTOLSZ,X,X,X,X,O,X
IJTOLZS,X,X,X,X,X,O
IJTOSLZ,X,O,O,X,O,X
IJTOSZL,X,O,O,X,X,X
IJTOZLS,X,X,X,X,X,O
IJTOZSL,X,O,X,X,X,X
IJLTSZO,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,O,X
IJLTZSO,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,O
IJLTOSZ,X,X,X,X,O,X
IJLTOZS,X,X,X,X,X,O
IJLSTZO,X,O,X,X,X,X
IJLSTOZ,X,O,X,X,X,X
IJLSZTO,O,O,X,X,X,X
IJLSZOT,O,O,X,X,X,X
IJLSOTZ,X,O,X,X,X,X
IJLSOZT,O,O,X,X,X,X
IJLZTSO,O,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X
IJLZSOT,O,O,X,X,X,X
IJLZOTS,O,X,X,X,X,X
IJLZOST,O,O,X,X,X,X
IJLOTSZ,X,X,X,X,O,X
IJLOTZS,X,X,X,X,X,O
IJLOSTZ,X,O,X,X,X,X
IJLOSZT,O,O,X,X,X,X
IJLOZTS,O,X,X,X,X,X
IJLOZST,O,O,X,X,X,X
IJSTLZO,X,O,O,X,X,X
IJSTLOZ,X,O,O,X,X,X
IJSTZLO,X,O,O,X,X,X
IJSTZOL,X,O,O,X,X,X
IJSTOLZ,X,O,O,X,X,X
IJSTOZL,X,O,O,X,X,X
IJSLTZO,X,O,O,X,X,X
IJSLTOZ,X,O,O,X,X,X
IJSLZTO,O,O,X,X,X,X
IJSLZOT,O,O,X,X,X,X
IJSLOTZ,X,O,O,X,X,X
IJSLOZT,O,O,X,X,X,X
IJSZTLO,O,O,X,X,X,X
IJSZTOL,O,O,X,X,X,X
IJSZLTO,O,O,X,X,X,X
IJSZLOT,O,O,X,X,X,X
IJSZOTL,O,O,X,X,X,X
IJSZOLT,O,O,X,X,X,X
IJSOTLZ,X,O,O,X,X,X
IJSOTZL,X,O,O,X,X,X
IJSOLTZ,X,O,O,X,X,X
IJSOLZT,O,O,X,X,X,X
IJSOZTL,O,O,X,X,X,X
IJSOZLT,O,O,X,X,X,X
IJZTLSO,O,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X
IJZTSOL,O,O,X,X,X,X
IJZTOLS,O,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X
IJZLSOT,O,O,X,X,X,X
IJZLOTS,O,X,X,X,X,X
IJZLOST,O,O,X,X,X,X
IJZSTLO,O,O,X,X,X,X
IJZSTOL,O,O,X,X,X,X
IJZSLTO,O,O,X,X,X,X
IJZSLOT,O,O,X,X,X,X
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,X,X,X,X
IJZOTLS,O,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X
IJZOLTS,O,X,X,X,X,X
IJZOLST,O,O,X,X,X,X
IJZOSTL,O,O,X,X,X,X
IJZOSLT,O,O,X,X,X,X
IJOTLSZ,X,X,X,X,O,X
IJOTLZS,X,X,X,X,X,O
IJOTSLZ,X,O,O,X,O,X
IJOTSZL,X,O,O,X,X,X
IJOTZLS,X,X,X,X,X,O
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,X,X,X,X,O,X
IJOLTZS,X,X,X,X,X,O
IJOLSTZ,X,O,X,X,X,X
IJOLSZT,O,O,X,X,X,X
IJOLZTS,O,X,X,X,X,X
IJOLZST,O,O,X,X,X,X
IJOSTLZ,X,O,O,X,X,X
IJOSTZL,X,O,O,X,X,X
IJOSLTZ,X,O,O,X,X,X
IJOSLZT,O,O,X,X,X,X
IJOSZTL,O,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X
IJOZTLS,O,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X
IJOZLTS,O,X,X,X,X,X
IJOZLST,O,O,X,X,X,X
IJOZSTL,O,O,X,X,X,X
IJOZSLT,O,O,X,X,X,X
ISTLJZO,X,O,O,X,X,X
ISTLJOZ,X,O,O,X,O,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,O,X,X,O,O
ISTLOJZ,X,O,O,X,O,X
ISTLOZJ,O,O,X,X,O,O
ISTJLZO,X,O,O,X,X,X
ISTJLOZ,X,O,O,X,O,X
ISTJZLO,X,O,O,X,X,X
ISTJZOL,X,O,O,X,X,X
ISTJOLZ,X,O,O,X,O,X
ISTJOZL,X,O,O,X,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,O,X,X,O,O
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,X,X,X,X
ISTZOLJ,O,O,X,X,O,O
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,X,O,O,X,O,X
ISTOLZJ,O,O,X,X,O,O
ISTOJLZ,X,O,O,X,O,X
ISTOJZL,X,O,O,X,X,X
ISTOZLJ,O,O,X,X,O,O
ISTOZJL,O,O,X,X,X,X
ISLTJZO,X,O,O,X,X,X
ISLTJOZ,X,O,O,X,O,X
ISLTZJO,O,O,X,X,X,X
ISLTZOJ,O,O,X,X,O,O
ISLTOJZ,X,O,O,X,O,X
ISLTOZJ,O,O,X,X,O,O
ISLJTZO,X,O,O,X,X,X
ISLJTOZ,X,O,O,X,X,X
ISLJZTO,O,O,X,X,X,X
ISLJZOT,O,O,X,X,X,X
ISLJOTZ,X,O,O,X,X,X
ISLJOZT,O,O,X,X,X,X
ISLZTJO,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,X,X
ISLZJTO,O,O,X,X,X,X
ISLZJOT,O,O,X,X,X,X
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,O,X,X,X,X
ISLOTJZ,X,O,O,X,O,X
ISLOTZJ,O,O,X,X,O,O
ISLOJTZ,X,O,O,X,X,X
ISLOJZT,O,O,X,X,X,X
ISLOZTJ,O,O,X,X,X,X
ISLOZJT,O,O,X,X,X,X
ISJTLZO,X,O,O,X,X,X
ISJTLOZ,X,O,O,X,X,X
ISJTZLO,X,O,O,X,X,X
ISJTZOL,X,O,O,X,X,X
ISJTOLZ,X,O,O,X,X,X
ISJTOZL,X,O,O,X,X,X
ISJLTZO,X,O,O,X,X,X
ISJLTOZ,X,O,O,X,X,X
ISJLZTO,O,O,X,X,X,X
ISJLZOT,O,O,X,X,X,X
ISJLOTZ,X,O,O,X,X,X
ISJLOZT,O,O,X,X,X,X
ISJZTLO,O,O,X,X,X,X
ISJZTOL,O,O,X,X,X,X
ISJZLTO,O,O,X,X,X,X
ISJZLOT,O,O,X,X,X,X
ISJZOTL,O,O,X,X,X,X
ISJZOLT,O,O,X,X,X,X
ISJOTLZ,X,O,O,X,X,X
ISJOTZL,X,O,O,X,X,X
ISJOLTZ,X,O,O,X,X,X
ISJOLZT,O,O,X,X,X,X
ISJOZTL,O,O,X,X,X,X
ISJOZLT,O,O,X,X,X,X
ISZTLJO,O,O,X,X,X,X
ISZTLOJ,O,O,X,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,X
ISZLJTO,O,O,X,X,X,X
ISZLJOT,O,O,X,X,X,X
ISZLOTJ,O,O,X,X,X,X
ISZLOJT,O,O,X,X,X,X
ISZJTLO,O,O,X,X,X,X
ISZJTOL,O,O,X,X,X,X
ISZJLTO,O,O,X,X,X,X
ISZJLOT,O,O,X,X,X,X
ISZJOTL,O,O,X,X,X,X
ISZJOLT,O,O,X,X,X,X
ISZOTLJ,O,O,X,X,X,X
ISZOTJL,O,O,X,X,X,X
ISZOLTJ,O,O,X,X,X,X
ISZOLJT,O,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X
ISZOJLT,O,O,X,X,X,X
ISOTLJZ,X,O,O,X,O,X
ISOTLZJ,O,O,X,X,O,O
ISOTJLZ,X,O,O,X,O,X
ISOTJZL,X,O,O,X,X,X
ISOTZLJ,O,O,X,X,O,O
ISOTZJL,O,O,X,X,X,X
ISOLTJZ,X,O,O,X,O,X
ISOLTZJ,O,O,X,X,O,O
ISOLJTZ,X,O,O,X,X,X
ISOLJZT,O,O,X,X,X,X
ISOLZTJ,O,O,X,X,X,X
ISOLZJT,O,O,X,X,X,X
ISOJTLZ,X,O,O,X,X,X
ISOJTZL,X,O,O,X,X,X
ISOJLTZ,X,O,O,X,X,X
ISOJLZT,O,O,X,X,X,X
ISOJZTL,O,O,X,X,X,X
ISOJZLT,O,O,X,X,X,X
ISOZTLJ,O,O,X,X,X,X
ISOZTJL,O,O,X,X,X,X
ISOZLTJ,O,O,X,X,X,X
ISOZLJT,O,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X
ISOZJLT,O,O,X,X,X,X
IZTLJSO,O,X,X,O,X,X
IZTLJOS,O,X,X,O,X,O
IZTLSJO,O,X,X,O,X,X
IZTLSOJ,O,X,X,O,O,O
IZTLOJS,O,X,X,O,X,O
IZTLOSJ,O,X,X,O,O,O
IZTJLSO,O,X,X,O,X,X
IZTJLOS,O,X,X,O,X,O
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,X,X,O,X,O
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,X,X,O,O
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X
IZTSOLJ,O,O,X,X,O,O
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,X,X,O,X,O
IZTOLSJ,O,X,X,O,O,O
IZTOJLS,O,X,X,O,X,O
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,O,X,X,O,O
IZTOSJL,O,O,X,X,X,X
IZLTJSO,O,X,X,O,X,X
IZLTJOS,O,X,X,O,X,O
IZLTSJO,O,X,X,O,X,X
IZLTSOJ,O,X,X,O,O,O
IZLTOJS,O,X,X,O,X,O
IZLTOSJ,O,X,X,O,O,O
IZLJTSO,O,X,X,O,X,X
IZLJTOS,O,X,X,O,X,X
IZLJSTO,O,O,X,X,X,X
IZLJSOT,O,O,X,X,X,X
IZLJOTS,O,X,X,O,X,X
IZLJOST,O,O,X,X,X,X
IZLSTJO,O,O,X,X,X,X
IZLSTOJ,O,O,X,X,X,X
IZLSJTO,O,O,X,X,X,X
IZLSJOT,O,O,X,X,X,X
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,O,O,X,X,X,X
IZLOTJS,O,X,X,O,X,O
IZLOTSJ,O,X,X,O,O,O
IZLOJTS,O,X,X,O,X,X
IZLOJST,O,O,X,X,X,X
IZLOSTJ,O,O,X,X,X,X
IZLOSJT,O,O,X,X,X,X
IZJTLSO,O,X,X,O,X,X
IZJTLOS,O,X,X,O,X,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,X,X,O,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,O,X,X,O,X,X
IZJLTOS,O,X,X,O,X,X
IZJLSTO,O,O,X,X,X,X
IZJLSOT,O,O,X,X,X,X
IZJLOTS,O,X,X,O,X,X
IZJLOST,O,O,X,X,X,X
IZJSTLO,O,O,X,X,X,X
IZJSTOL,O,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X
IZJSLOT,O,O,X,X,X,X
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,X,X,X,X
IZJOTLS,O,X,X,O,X,X
IZJOTSL,O,O,X,X,X,X
IZJOLTS,O,X,X,O,X,X
IZJOLST,O,O,X,X,X,X
IZJOSTL,O,O,X,X,X,X
IZJOSLT,O,O,X,X,X,X
IZSTLJO,O,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,X,X
IZSLJTO,O,O,X,X,X,X
IZSLJOT,O,O,X,X,X,X
IZSLOTJ,O,O,X,X,X,X
IZSLOJT,O,O,X,X,X,X
IZSJTLO,O,O,X,X,X,X
IZSJTOL,O,O,X,X,X,X
IZSJLTO,O,O,X,X,X,X
IZSJLOT,O,O,X,X,X,X
IZSJOTL,O,O,X,X,X,X
IZSJOLT,O,O,X,X,X,X
IZSOTLJ,O,O,X,X,X,X
IZSOTJL,O,O,X,X,X,X
IZSOLTJ,O,O,X,X,X,X
IZSOLJT,O,O,X,X,X,X
IZSOJTL,O,O,X,X,X,X
IZSOJLT,O,O,X,X,X,X
IZOTLJS,O,X,X,O,X,O
IZOTLSJ,O,X,X,O,O,O
IZOTJLS,O,X,X,O,X,O
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,O,O,X,X,O,O
IZOTSJL,O,O,X,X,X,X
IZOLTJS,O,X,X,O,X,O
IZOLTSJ,O,X,X,O,O,O
IZOLJTS,O,X,X,O,X,X
IZOLJST,O,O,X,X,X,X
IZOLSTJ,O,O,X,X,X,X
IZOLSJT,O,O,X,X,X,X
IZOJTLS,O,X,X,O,X,X
IZOJTSL,O,O,X,X,X,X
IZOJLTS,O,X,X,O,X,X
IZOJLST,O,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X
IZOJSLT,O,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X
IZOSTJL,O,O,X,X,X,X
IZOSLTJ,O,O,X,X,X,X
IZOSLJT,O,O,X,X,X,X
IZOSJTL,O,O,X,X,X,X
IZOSJLT,O,O,X,X,X,X
IOTLJSZ,X,X,X,X,O,X
IOTLJZS,X,X,X,X,X,O
IOTLSJZ,X,X,X,X,O,X
IOTLSZJ,O,X,X,X,O,O
IOTLZJS,O,X,X,O,X,O
IOTLZSJ,O,X,X,O,O,O
IOTJLSZ,X,X,X,X,O,X
IOTJLZS,X,X,X,X,X,O
IOTJSLZ,X,O,O,X,O,X
IOTJSZL,X,O,O,X,X,X
IOTJZLS,X,X,X,X,X,O
IOTJZSL,X,O,X,X,X,X
IOTSLJZ,X,O,O,X,O,X
IOTSLZJ,O,O,X,X,O,O
IOTSJLZ,X,O,O,X,O,X
IOTSJZL,X,O,O,X,X,X
IOTSZLJ,O,O,X,X,O,O
IOTSZJL,O,O,X,X,X,X
IOTZLJS,O,X,X,O,X,O
IOTZLSJ,O,X,X,O,O,O
IOTZJLS,O,X,X,O,X,O
IOTZJSL,O,O,X,X,X,X
IOTZSLJ,O,O,X,X,O,O
IOTZSJL,O,O,X,X,X,X
IOLTJSZ,X,X,X,X,O,X
IOLTJZS,X,X,X,X,X,O
IOLTSJZ,X,X,X,X,O,X
IOLTSZJ,O,X,X,X,O,O
IOLTZJS,O,X,X,O,X,O
