sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
TJOILZS,X,X,X,X
TJOISLZ,X,X,O,X
TJOISZL,X,X,O,X
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,X
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,O,X
TJOSIZL,X,X,O,X
TJOSLIZ,X,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,X,X,X
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,X,X,X,X
TSILJZO,X,X,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,X,X,X
TSILZOJ,X,O,X,X
TSILOJZ,X,X,X,X
TSILOZJ,X,O,X,X
TSIJLZO,X,X,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,X,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,X,X,X
TSIZLOJ,X,O,X,X
TSIZJLO,X,X,X,X
TSIZJOL,O,X,X,X
TSIZOLJ,X,O,X,X
TSIZOJL,O,X,X,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,O,X,X
TSIOJLZ,X,X,O,X
TSIOJZL,X,X,O,X
TSIOZLJ,X,O,X,X
TSIOZJL,O,X,X,X
TSLIJZO,X,X,X,X
TSLIJOZ,X,X,X,X
TSLIZJO,X,X,X,X
TSLIZOJ,X,O,X,X
TSLIOJZ,X,X,X,X
TSLIOZJ,X,O,X,X
TSLJIZO,X,X,X,X
TSLJIOZ,X,X,X,X
TSLJZIO,X,X,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,X,X,X
TSLZIOJ,X,O,X,X
TSLZJIO,X,X,X,X
TSLZJOI,X,X,X,X
TSLZOIJ,X,O,X,X
TSLZOJI,X,X,X,X
TSLOIJZ,X,X,X,X
TSLOIZJ,X,O,X,X
TSLOJIZ,X,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,O,X,X
TSLOZJI,X,X,X,X
TSJILZO,X,X,X,X
TSJILOZ,X,X,X,X
TSJIZLO,X,X,X,X
TSJIZOL,X,X,X,X
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,X,X,X,X
TSJLZIO,X,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,X,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,X,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,X,X,X,X
TSZILOJ,X,O,X,X
TSZIJLO,X,X,X,X
TSZIJOL,O,X,X,X
TSZIOLJ,X,O,X,X
TSZIOJL,O,X,X,X
TSZLIJO,X,X,X,X
TSZLIOJ,X,O,X,X
TSZLJIO,X,X,X,X
TSZLJOI,X,X,X,X
TSZLOIJ,X,O,X,X
TSZLOJI,X,X,X,X
TSZJILO,X,X,X,X
TSZJIOL,O,X,X,X
TSZJLIO,X,X,X,X
TSZJLOI,X,X,X,X
TSZJOIL,O,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,O,X,X
TSZOIJL,O,X,X,X
TSZOLIJ,X,O,X,X
TSZOLJI,X,X,X,X
TSZOJIL,O,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,O,X,X
TSOIJLZ,X,X,O,X
TSOIJZL,X,X,O,X
TSOIZLJ,X,O,X,X
TSOIZJL,O,X,X,X
TSOLIJZ,X,X,X,X
TSOLIZJ,X,O,X,X
TSOLJIZ,X,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,X,O,X,X
TSOLZJI,X,X,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,X
TSOJLIZ,X,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,O,X,X
TSOZIJL,O,X,X,X
TSOZLIJ,X,O,X,X
TSOZLJI,X,X,X,X
TSOZJIL,O,X,X,X
TSOZJLI,X,X,X,X
TZILJSO,O,X,X,X
TZILJOS,O,X,X,X
TZILSJO,O,X,X,X
TZILSOJ,O,O,X,X
TZILOJS,O,X,X,X
TZILOSJ,O,O,X,X
TZIJLSO,X,X,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,X,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,X,X
TZISLOJ,X,O,X,X
TZISJLO,X,X,X,X
TZISJOL,O,X,X,X
TZISOLJ,X,O,X,X
TZISOJL,O,X,X,X
TZIOLJS,O,X,X,X
TZIOLSJ,O,O,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
