sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TLZSOIJ,X,X,X,X,X,X,O,X
TLZSOJI,X,X,X,X,X,X,O,X
TLZOIJS,X,O,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,X,O,X
TLZOJIS,X,X,X,X,X,X,O,X
TLZOJSI,X,X,X,X,X,X,O,X
TLZOSIJ,X,X,X,X,X,X,O,X
TLZOSJI,X,X,X,X,X,X,O,X
TLOIJSZ,O,X,X,X,X,X,X,O
TLOIJZS,X,O,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X,O
TLOISZJ,O,X,X,X,X,X,X,O
TLOIZJS,X,O,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,O
TLOJIZS,X,O,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,O
TLOJSZI,O,X,X,X,X,X,X,O
TLOJZIS,X,O,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,O
TLOSIZJ,O,X,X,X,X,X,X,O
TLOSJIZ,O,X,X,X,X,X,X,O
TLOSJZI,O,X,X,X,X,X,X,O
TLOSZIJ,O,X,X,X,X,X,X,O
TLOSZJI,O,X,X,X,X,X,X,O
TLOZIJS,X,O,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X
