sequence,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBemBUnBF?oBCnBXtB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFTgBSoBlmBX?mBmnB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFigBumB3iBz?lBlsBctB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF/lBTjBimB1?sBGmB0sB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhF2lB/nBcoB1?rBCmBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBm?lBllBzsB,v115@+gA8IeA8IeB8FeA8AeF8BeA8JeZEJvhFqmB/nBcoBl?lBmlBzsB
TIJOZLS,O,O,O,X,X,X,X
TIJOZSL,O,X,O,X,O,X,X
TISLJZO,X,X,X,X,O,X,O
TISLJOZ,X,X,X,O,X,X,X
TISLZJO,X,X,X,X,O,X,O
TISLZOJ,X,X,X,O,X,X,O
TISLOJZ,X,O,X,O,X,X,X
TISLOZJ,X,O,X,O,X,X,O
TISJLZO,X,X,X,X,O,X,X
TISJLOZ,X,X,X,O,X,X,X
TISJZLO,X,X,X,X,O,X,X
TISJZOL,O,X,X,X,O,X,X
TISJOLZ,X,X,O,O,X,X,X
TISJOZL,O,X,O,X,O,X,X
TISZLJO,X,X,X,X,O,X,O
TISZLOJ,X,O,X,O,X,X,O
TISZJLO,X,X,X,X,O,X,X
TISZJOL,O,X,X,X,O,X,X
TISZOLJ,X,O,X,O,X,X,X
TISZOJL,O,X,X,X,O,X,X
TISOLJZ,X,O,O,O,X,X,X
TISOLZJ,X,O,X,O,X,X,X
TISOJLZ,X,X,O,O,X,X,X
TISOJZL,O,X,O,X,O,X,X
TISOZLJ,X,O,X,O,X,X,X
TISOZJL,O,X,X,X,O,X,X
TIZLJSO,X,X,X,X,O,O,O
TIZLJOS,O,O,X,X,X,X,X
TIZLSJO,X,X,X,X,O,O,O
TIZLSOJ,X,O,X,O,X,X,O
TIZLOJS,O,O,X,X,X,X,X
TIZLOSJ,X,O,X,O,X,X,O
TIZJLSO,X,X,X,X,O,O,O
TIZJLOS,O,O,X,X,X,X,X
TIZJSLO,X,X,X,X,O,X,X
TIZJSOL,O,X,X,X,O,X,X
TIZJOLS,O,O,O,X,X,X,X
TIZJOSL,O,X,O,X,O,X,X
TIZSLJO,X,X,X,X,O,X,O
TIZSLOJ,X,O,X,O,X,X,O
TIZSJLO,X,X,X,X,O,X,X
TIZSJOL,O,X,X,X,O,X,X
TIZSOLJ,X,O,X,O,X,X,X
TIZSOJL,O,X,X,X,O,X,X
TIZOLJS,O,O,O,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,O
TIZOJLS,O,O,O,X,X,X,X
TIZOJSL,O,X,O,X,O,X,X
TIZOSLJ,X,O,X,O,X,X,X
TIZOSJL,O,X,X,X,O,X,X
TIOLJSZ,X,O,O,O,X,X,X
TIOLJZS,O,O,O,X,X,X,X
TIOLSJZ,X,O,O,O,X,X,X
TIOLSZJ,X,O,X,O,X,X,O
TIOLZJS,O,O,O,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,O
TIOJLSZ,X,O,O,O,X,X,X
TIOJLZS,O,O,O,X,X,X,X
TIOJSLZ,X,X,O,O,X,X,X
TIOJSZL,O,X,O,X,O,X,X
TIOJZLS,O,O,O,X,X,X,X
TIOJZSL,O,X,O,X,O,X,X
TIOSLJZ,X,O,O,O,X,X,X
TIOSLZJ,X,O,X,O,X,X,X
TIOSJLZ,X,X,O,O,X,X,X
TIOSJZL,O,X,O,X,O,X,X
TIOSZLJ,X,O,X,O,X,X,X
TIOSZJL,O,X,X,X,O,X,X
TIOZLJS,O,O,O,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,O
TIOZJLS,O,O,O,X,X,X,X
TIOZJSL,O,X,O,X,O,X,X
TIOZSLJ,X,O,X,O,X,X,X
TIOZSJL,O,X,X,X,O,X,X
TLIJSZO,X,X,X,X,O,O,O
TLIJSOZ,X,X,X,O,X,X,X
TLIJZSO,X,X,X,X,O,O,O
TLIJZOS,O,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,X
TLIJOZS,O,O,O,X,X,X,X
TLISJZO,X,X,X,X,O,O,O
TLISJOZ,X,X,X,O,X,X,X
TLISZJO,X,X,X,X,O,O,O
TLISZOJ,X,X,X,O,X,X,O
TLISOJZ,X,O,X,O,X,X,X
TLISOZJ,X,O,X,O,X,X,O
TLIZJSO,X,X,X,X,O,O,O
TLIZJOS,O,O,X,X,X,X,X
TLIZSJO,X,X,X,X,O,O,O
TLIZSOJ,X,O,X,O,X,X,O
TLIZOJS,O,O,X,X,X,X,X
TLIZOSJ,X,O,X,O,X,X,O
TLIOJSZ,X,O,O,O,X,X,X
TLIOJZS,O,O,O,X,X,X,X
TLIOSJZ,X,O,O,O,X,X,X
TLIOSZJ,X,O,X,O,X,X,O
TLIOZJS,O,O,O,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,O
TLJISZO,X,X,X,X,O,O,O
TLJISOZ,X,X,X,O,X,X,X
TLJIZSO,X,X,X,X,O,O,O
TLJIZOS,O,X,X,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,X
TLJIOZS,O,O,O,X,X,X,X
TLJSIZO,X,X,X,X,O,O,O
TLJSIOZ,X,X,X,O,X,X,X
TLJSZIO,X,X,X,X,O,O,O
TLJSZOI,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,O,O,O
TLJZIOS,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,O,O,O
TLJZSOI,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X
TLJOISZ,X,O,O,O,X,X,X
TLJOIZS,O,O,O,X,X,X,X
TLJOSIZ,X,X,O,O,X,X,X
TLJOSZI,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,O,O,O
TLSIJOZ,X,X,X,O,X,X,X
TLSIZJO,X,X,X,X,O,O,O
TLSIZOJ,X,X,X,O,X,X,O
TLSIOJZ,X,O,X,O,X,X,X
TLSIOZJ,X,O,X,O,X,X,O
TLSJIZO,X,X,X,X,O,O,O
TLSJIOZ,X,X,X,O,X,X,X
TLSJZIO,X,X,X,X,O,O,O
TLSJZOI,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,O,O,O
TLSZIOJ,X,X,X,O,X,X,O
TLSZJIO,X,X,X,X,O,O,O
TLSZJOI,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,O
TLSZOJI,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,O,X,X,X
TLSOIZJ,X,O,X,O,X,X,O
TLSOJIZ,X,X,X,O,X,X,X
TLSOJZI,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,O
TLSOZJI,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,O,O
TLZIJOS,O,O,X,X,X,X,X
TLZISJO,X,X,X,X,O,O,O
TLZISOJ,X,O,X,O,X,X,O
TLZIOJS,O,O,X,X,X,X,X
TLZIOSJ,X,O,X,O,X,X,O
TLZJISO,X,X,X,X,O,O,O
TLZJIOS,O,O,X,X,X,X,X
TLZJSIO,X,X,X,X,O,O,O
TLZJSOI,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,O,O,O
TLZSIOJ,X,O,X,O,X,X,O
TLZSJIO,X,X,X,X,O,O,O
TLZSJOI,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,O,X,X,O
TLZSOJI,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X
TLZOISJ,X,O,X,O,X,X,O
TLZOJIS,O,O,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,O,X,X,O
TLZOSJI,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,X
TLOIJZS,O,O,O,X,X,X,X
TLOISJZ,X,O,O,O,X,X,X
TLOISZJ,X,O,X,O,X,X,O
TLOIZJS,O,O,O,X,X,X,X
TLOIZSJ,X,O,X,O,X,X,O
TLOJISZ,X,O,O,O,X,X,X
TLOJIZS,O,O,O,X,X,X,X
TLOJSIZ,X,X,O,O,X,X,X
TLOJSZI,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,O,X,X,X
TLOSIZJ,X,O,X,O,X,X,O
TLOSJIZ,X,X,O,O,X,X,X
TLOSJZI,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,O,X,X,O
TLOSZJI,X,X,X,X,X,X,X
TLOZIJS,O,O,O,X,X,X,X
TLOZISJ,X,O,X,O,X,X,O
TLOZJIS,O,O,O,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,O
TLOZSJI,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,O,O
TJILSOZ,X,X,X,O,X,X,X
TJILZSO,X,X,X,X,O,O,O
TJILZOS,O,X,X,X,X,X,X
TJILOSZ,X,O,O,O,X,X,X
TJILOZS,O,O,O,X,X,X,X
TJISLZO,X,X,X,X,O,X,X
TJISLOZ,X,X,X,O,X,X,X
TJISZLO,X,X,X,X,O,X,X
TJISZOL,O,X,X,X,O,X,X
TJISOLZ,X,X,O,O,X,X,X
TJISOZL,O,X,O,X,O,X,X
TJIZLSO,X,X,X,X,O,O,O
TJIZLOS,O,O,X,X,X,X,X
TJIZSLO,X,X,X,X,O,X,X
TJIZSOL,O,X,X,X,O,X,X
TJIZOLS,O,O,O,X,X,X,X
TJIZOSL,O,X,O,X,O,X,X
TJIOLSZ,X,O,O,O,X,X,X
TJIOLZS,O,O,O,X,X,X,X
TJIOSLZ,X,X,O,O,X,X,X
TJIOSZL,O,X,O,X,O,X,X
TJIOZLS,O,O,O,X,X,X,X
TJIOZSL,O,X,O,X,O,X,X
TJLISZO,X,X,X,X,O,O,O
TJLISOZ,X,X,X,O,X,X,X
TJLIZSO,X,X,X,X,O,O,O
TJLIZOS,O,X,X,X,X,X,X
TJLIOSZ,X,O,O,O,X,X,X
TJLIOZS,O,O,O,X,X,X,X
TJLSIZO,X,X,X,X,O,O,O
TJLSIOZ,X,X,X,O,X,X,X
TJLSZIO,X,X,X,X,O,O,O
TJLSZOI,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X
TJLSOZI,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,O,O,O
TJLZIOS,O,X,X,X,X,X,X
TJLZSIO,X,X,X,X,O,O,O
TJLZSOI,X,X,X,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X
TJLOISZ,X,O,O,O,X,X,X
TJLOIZS,O,O,O,X,X,X,X
TJLOSIZ,X,X,O,O,X,X,X
TJLOSZI,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,O,X,X
TJSILOZ,X,X,X,O,X,X,X
TJSIZLO,X,X,X,X,O,X,X
TJSIZOL,O,X,X,X,O,X,X
TJSIOLZ,X,X,O,O,X,X,X
TJSIOZL,O,X,O,X,O,X,X
TJSLIZO,X,X,X,X,O,X,X
TJSLIOZ,X,X,X,O,X,X,X
TJSLZIO,X,X,X,X,O,X,X
TJSLZOI,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,X,X
TJSLOZI,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,O,X,X
TJSZIOL,O,X,X,X,O,X,X
TJSZLIO,X,X,X,X,O,X,X
TJSZLOI,X,X,X,X,X,X,X
TJSZOIL,O,X,X,X,O,X,X
TJSZOLI,X,X,X,X,X,X,X
TJSOILZ,X,X,O,O,X,X,X
TJSOIZL,O,X,O,X,O,X,X
TJSOLIZ,X,X,O,O,X,X,X
TJSOLZI,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,O,X,X
TJSOZLI,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,O,O
TJZILOS,O,O,X,X,X,X,X
TJZISLO,X,X,X,X,O,X,X
TJZISOL,O,X,X,X,O,X,X
TJZIOLS,O,O,O,X,X,X,X
TJZIOSL,O,X,O,X,O,X,X
TJZLISO,X,X,X,X,O,O,O
TJZLIOS,O,O,X,X,X,X,X
TJZLSIO,X,X,X,X,O,O,O
TJZLSOI,X,X,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,O,X,X
TJZSIOL,O,X,X,X,O,X,X
TJZSLIO,X,X,X,X,O,X,X
TJZSLOI,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,O,X,X
TJZSOLI,X,X,X,X,X,X,X
TJZOILS,O,O,O,X,X,X,X
TJZOISL,O,X,O,X,O,X,X
TJZOLIS,O,O,O,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X
TJZOSIL,O,X,X,X,O,X,X
TJZOSLI,X,X,X,X,X,X,X
TJOILSZ,X,O,O,O,X,X,X
TJOILZS,O,O,O,X,X,X,X
TJOISLZ,X,X,O,O,X,X,X
TJOISZL,O,X,O,X,O,X,X
TJOIZLS,O,O,O,X,X,X,X
TJOIZSL,O,X,O,X,O,X,X
TJOLISZ,X,O,O,O,X,X,X
TJOLIZS,O,O,O,X,X,X,X
TJOLSIZ,X,X,O,O,X,X,X
TJOLSZI,X,X,X,X,X,X,X
TJOLZIS,O,X,O,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X
TJOSILZ,X,X,O,O,X,X,X
TJOSIZL,O,X,O,X,O,X,X
TJOSLIZ,X,X,O,O,X,X,X
TJOSLZI,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,O,X,X
TJOSZLI,X,X,X,X,X,X,X
TJOZILS,O,O,O,X,X,X,X
TJOZISL,O,X,O,X,O,X,X
TJOZLIS,O,O,O,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,O,X,X
TJOZSLI,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,O,X,O
TSILJOZ,X,X,X,O,X,X,X
TSILZJO,X,X,X,X,O,X,O
TSILZOJ,X,X,X,O,X,X,O
TSILOJZ,X,O,X,O,X,X,X
TSILOZJ,X,O,X,O,X,X,O
TSIJLZO,X,X,X,X,O,X,X
TSIJLOZ,X,X,X,O,X,X,X
TSIJZLO,X,X,X,X,O,X,X
TSIJZOL,O,X,X,X,O,X,X
TSIJOLZ,X,X,O,O,X,X,X
TSIJOZL,O,X,O,X,O,X,X
TSIZLJO,X,X,X,X,O,X,O
TSIZLOJ,X,O,X,O,X,X,O
TSIZJLO,X,X,X,X,O,X,X
TSIZJOL,O,X,X,X,O,X,X
TSIZOLJ,X,O,X,O,X,X,X
TSIZOJL,O,X,X,X,O,X,X
TSIOLJZ,X,O,O,O,X,X,X
TSIOLZJ,X,O,X,O,X,X,X
TSIOJLZ,X,X,O,O,X,X,X
TSIOJZL,O,X,O,X,O,X,X
TSIOZLJ,X,O,X,O,X,X,X
TSIOZJL,O,X,X,X,O,X,X
TSLIJZO,X,X,X,X,O,X,O
TSLIJOZ,X,X,X,O,X,X,X
TSLIZJO,X,X,X,X,O,X,O
TSLIZOJ,X,X,X,O,X,X,O
TSLIOJZ,X,O,X,O,X,X,X
TSLIOZJ,X,O,X,O,X,X,O
TSLJIZO,X,X,X,X,O,X,O
TSLJIOZ,X,X,X,O,X,X,X
TSLJZIO,X,X,X,X,O,X,O
TSLJZOI,X,X,X,X,X,X,X
TSLJOIZ,X,X,X,O,X,X,X
TSLJOZI,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,O,X,O
TSLZIOJ,X,X,X,O,X,X,O
TSLZJIO,X,X,X,X,O,X,O
TSLZJOI,X,X,X,X,X,X,X
TSLZOIJ,X,X,X,O,X,X,O
TSLZOJI,X,X,X,X,X,X,X
TSLOIJZ,X,O,X,O,X,X,X
TSLOIZJ,X,O,X,O,X,X,O
TSLOJIZ,X,X,X,O,X,X,X
TSLOJZI,X,X,X,X,X,X,X
TSLOZIJ,X,X,X,O,X,X,O
TSLOZJI,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,O,X,X
TSJILOZ,X,X,X,O,X,X,X
TSJIZLO,X,X,X,X,O,X,X
TSJIZOL,O,X,X,X,O,X,X
TSJIOLZ,X,X,O,O,X,X,X
TSJIOZL,O,X,O,X,O,X,X
TSJLIZO,X,X,X,X,O,X,X
TSJLIOZ,X,X,X,O,X,X,X
TSJLZIO,X,X,X,X,O,X,X
TSJLZOI,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,O,X,X,X
TSJLOZI,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,O,X,X
TSJZIOL,O,X,X,X,O,X,X
TSJZLIO,X,X,X,X,O,X,X
TSJZLOI,X,X,X,X,X,X,X
TSJZOIL,O,X,X,X,O,X,X
TSJZOLI,X,X,X,X,X,X,X
TSJOILZ,X,X,O,O,X,X,X
TSJOIZL,O,X,O,X,O,X,X
TSJOLIZ,X,X,O,O,X,X,X
TSJOLZI,X,X,X,X,X,X,X
TSJOZIL,O,X,X,X,O,X,X
TSJOZLI,X,X,X,X,X,X,X
TSZILJO,X,X,X,X,O,X,O
TSZILOJ,X,O,X,O,X,X,O
TSZIJLO,X,X,X,X,O,X,X
TSZIJOL,O,X,X,X,O,X,X
TSZIOLJ,X,O,X,O,X,X,X
TSZIOJL,O,X,X,X,O,X,X
TSZLIJO,X,X,X,X,O,X,O
TSZLIOJ,X,O,X,O,X,X,O
TSZLJIO,X,X,X,X,O,X,O
TSZLJOI,X,X,X,X,X,X,X
TSZLOIJ,X,O,X,O,X,X,O
TSZLOJI,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,O,X,X
TSZJIOL,O,X,X,X,O,X,X
TSZJLIO,X,X,X,X,O,X,X
TSZJLOI,X,X,X,X,X,X,X
TSZJOIL,O,X,X,X,O,X,X
TSZJOLI,X,X,X,X,X,X,X
TSZOILJ,X,O,X,O,X,X,X
TSZOIJL,O,X,X,X,O,X,X
TSZOLIJ,X,O,X,O,X,X,X
TSZOLJI,X,X,X,X,X,X,X
TSZOJIL,O,X,X,X,O,X,X
TSZOJLI,X,X,X,X,X,X,X
TSOILJZ,X,O,O,O,X,X,X
TSOILZJ,X,O,X,O,X,X,X
TSOIJLZ,X,X,O,O,X,X,X
TSOIJZL,O,X,O,X,O,X,X
TSOIZLJ,X,O,X,O,X,X,X
TSOIZJL,O,X,X,X,O,X,X
TSOLIJZ,X,O,O,O,X,X,X
TSOLIZJ,X,O,X,O,X,X,X
TSOLJIZ,X,X,O,O,X,X,X
TSOLJZI,X,X,X,X,X,X,X
TSOLZIJ,X,X,X,O,X,X,X
TSOLZJI,X,X,X,X,X,X,X
TSOJILZ,X,X,O,O,X,X,X
TSOJIZL,O,X,O,X,O,X,X
TSOJLIZ,X,X,O,O,X,X,X
TSOJLZI,X,X,X,X,X,X,X
TSOJZIL,O,X,X,X,O,X,X
TSOJZLI,X,X,X,X,X,X,X
TSOZILJ,X,O,X,O,X,X,X
TSOZIJL,O,X,X,X,O,X,X
TSOZLIJ,X,O,X,O,X,X,X
TSOZLJI,X,X,X,X,X,X,X
TSOZJIL,O,X,X,X,O,X,X
TSOZJLI,X,X,X,X,X,X,X
TZILJSO,X,X,X,X,O,O,O
TZILJOS,O,O,X,X,X,X,X
TZILSJO,X,X,X,X,O,O,O
TZILSOJ,X,O,X,O,X,X,O
TZILOJS,O,O,X,X,X,X,X
TZILOSJ,X,O,X,O,X,X,O
TZIJLSO,X,X,X,X,O,O,O
TZIJLOS,O,O,X,X,X,X,X
TZIJSLO,X,X,X,X,O,X,X
TZIJSOL,O,X,X,X,O,X,X
TZIJOLS,O,O,O,X,X,X,X
TZIJOSL,O,X,O,X,O,X,X
TZISLJO,X,X,X,X,O,X,O
TZISLOJ,X,O,X,O,X,X,O
TZISJLO,X,X,X,X,O,X,X
TZISJOL,O,X,X,X,O,X,X
TZISOLJ,X,O,X,O,X,X,X
TZISOJL,O,X,X,X,O,X,X
TZIOLJS,O,O,O,X,X,X,X
TZIOLSJ,X,O,X,O,X,X,O
TZIOJLS,O,O,O,X,X,X,X
TZIOJSL,O,X,O,X,O,X,X
TZIOSLJ,X,O,X,O,X,X,X
TZIOSJL,O,X,X,X,O,X,X
TZLIJSO,X,X,X,X,O,O,O
TZLIJOS,O,O,X,X,X,X,X
TZLISJO,X,X,X,X,O,O,O
TZLISOJ,X,O,X,O,X,X,O
TZLIOJS,O,O,X,X,X,X,X
TZLIOSJ,X,O,X,O,X,X,O
TZLJISO,X,X,X,X,O,O,O
TZLJIOS,O,O,X,X,X,X,X
TZLJSIO,X,X,X,X,O,O,O
TZLJSOI,X,X,X,X,X,X,X
TZLJOIS,O,O,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X,X
TZLSIJO,X,X,X,X,O,O,O
TZLSIOJ,X,O,X,O,X,X,O
TZLSJIO,X,X,X,X,O,O,O
TZLSJOI,X,X,X,X,X,X,X
TZLSOIJ,X,O,X,O,X,X,O
TZLSOJI,X,X,X,X,X,X,X
TZLOIJS,O,O,X,X,X,X,X
TZLOISJ,X,O,X,O,X,X,O
TZLOJIS,O,O,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X,X
TZLOSIJ,X,O,X,O,X,X,O
TZLOSJI,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,O,O,O
TZJILOS,O,O,X,X,X,X,X
TZJISLO,X,X,X,X,O,X,X
TZJISOL,O,X,X,X,O,X,X
TZJIOLS,O,O,O,X,X,X,X
TZJIOSL,O,X,O,X,O,X,X
TZJLISO,X,X,X,X,O,O,O
TZJLIOS,O,O,X,X,X,X,X
TZJLSIO,X,X,X,X,O,O,O
TZJLSOI,X,X,X,X,X,X,X
TZJLOIS,O,O,X,X,X,X,X
TZJLOSI,X,X,X,X,X,X,X
TZJSILO,X,X,X,X,O,X,X
TZJSIOL,O,X,X,X,O,X,X
TZJSLIO,X,X,X,X,O,X,X
TZJSLOI,X,X,X,X,X,X,X
TZJSOIL,O,X,X,X,O,X,X
TZJSOLI,X,X,X,X,X,X,X
TZJOILS,O,O,O,X,X,X,X
TZJOISL,O,X,O,X,O,X,X
TZJOLIS,O,O,O,X,X,X,X
TZJOLSI,X,X,X,X,X,X,X
TZJOSIL,O,X,X,X,O,X,X
TZJOSLI,X,X,X,X,X,X,X
TZSILJO,X,X,X,X,O,X,O
TZSILOJ,X,O,X,O,X,X,O
TZSIJLO,X,X,X,X,O,X,X
TZSIJOL,O,X,X,X,O,X,X
TZSIOLJ,X,O,X,O,X,X,X
TZSIOJL,O,X,X,X,O,X,X
TZSLIJO,X,X,X,X,O,X,O
TZSLIOJ,X,O,X,O,X,X,O
TZSLJIO,X,X,X,X,O,X,O
TZSLJOI,X,X,X,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,O
TZSLOJI,X,X,X,X,X,X,X
TZSJILO,X,X,X,X,O,X,X
TZSJIOL,O,X,X,X,O,X,X
TZSJLIO,X,X,X,X,O,X,X
TZSJLOI,X,X,X,X,X,X,X
TZSJOIL,O,X,X,X,O,X,X
TZSJOLI,X,X,X,X,X,X,X
TZSOILJ,X,O,X,O,X,X,X
TZSOIJL,O,X,X,X,O,X,X
TZSOLIJ,X,O,X,O,X,X,X
TZSOLJI,X,X,X,X,X,X,X
TZSOJIL,O,X,X,X,O,X,X
TZSOJLI,X,X,X,X,X,X,X
TZOILJS,O,O,O,X,X,X,X
TZOILSJ,X,O,X,O,X,X,O
TZOIJLS,O,O,O,X,X,X,X
TZOIJSL,O,X,O,X,O,X,X
TZOISLJ,X,O,X,O,X,X,X
TZOISJL,O,X,X,X,O,X,X
TZOLIJS,O,O,O,X,X,X,X
TZOLISJ,X,O,X,O,X,X,O
TZOLJIS,O,O,O,X,X,X,X
TZOLJSI,X,X,X,X,X,X,X
TZOLSIJ,X,O,X,O,X,X,O
TZOLSJI,X,X,X,X,X,X,X
TZOJILS,O,O,O,X,X,X,X
TZOJISL,O,X,O,X,O,X,X
TZOJLIS,O,O,O,X,X,X,X
TZOJLSI,X,X,X,X,X,X,X
TZOJSIL,O,X,X,X,O,X,X
TZOJSLI,X,X,X,X,X,X,X
TZOSILJ,X,O,X,O,X,X,X
TZOSIJL,O,X,X,X,O,X,X
TZOSLIJ,X,O,X,O,X,X,X
TZOSLJI,X,X,X,X,X,X,X
TZOSJIL,O,X,X,X,O,X,X
