sequence,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFukB1lB0iB6oBXq?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nBTjB0kBllB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBOpBllBStBzp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeT/IvhFxiBllBusBctBip?BXqB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iB6oBlkB3lB2u?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBctB6s?BzpB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nB0kBllBToB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFTjBfqBllBWtBCq?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBStBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTjBKpBfqBllBWt?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Je0AJvhFxiBlkBqsBToBOp?BXqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhF0iB6oBupB3lBzs?BFqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFCgBllBGoBXoBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBllBStBmpBTp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBllBStBmpBTp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTkBllBGoBXoByu?B0sB
TLJOZIS,O,O,O,O,O,X,O,X,O,X,X,X,O,O,O,O
TLJOZSI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O
TLSIJZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
TLSIZJO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSJIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
TLSJZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSJZOI,O,O,O,X,O,X,O,X,O,O,O,X,X,O,O,X
TLSJOIZ,O,O,X,X,O,X,X,O,O,O,O,X,X,O,O,O
TLSJOZI,O,O,X,X,O,X,O,X,O,O,O,X,X,O,O,O
TLSZIJO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZJIO,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X
TLSZOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZOJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TLSOIZJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,O,O,O,X,X,X,O,O
TLSOJZI,O,O,O,X,X,X,O,X,O,O,O,X,X,X,O,O
TLSOZIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSOZJI,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TLZJSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TLZJOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLZJOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TLZSIJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZSJIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,O,O,X,X,O,X,O,X,X,O,O,X
TLZSOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZSOJI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TLZOIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZOISJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOJIS,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
TLZOJSI,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZOSJI,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
TLOIJZS,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O
TLOISJZ,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O
TLOISZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIZJS,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O
TLOJIZS,O,X,O,X,X,O,O,X,O,X,X,X,O,O,O,O
TLOJSIZ,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O
TLOJSZI,O,O,O,X,X,X,O,X,O,X,X,X,X,O,O,O
TLOJZIS,O,O,O,O,X,O,O,X,O,X,X,X,O,O,O,O
TLOJZSI,O,O,O,O,X,O,O,X,O,X,X,X,X,O,O,O
TLOSIJZ,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O
TLOSIZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,O
TLOSJZI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O,O
TLOSZIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TLOZIJS,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O
TLOZISJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZJIS,O,X,O,O,X,O,O,X,O,X,X,X,O,O,X,O
TLOZJSI,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOZSJI,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJILZSO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TJILOSZ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
TJILOZS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
TJISLZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJISOZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIZLSO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TJIZSLO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TJIOLZS,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
TJIOSLZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
TJIOSZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIOZLS,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
TJIOZSL,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TJLISZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TJLIZSO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TJLIOSZ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
TJLIOZS,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
TJLSIZO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
TJLSZIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJLSZOI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X
TJLSOIZ,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O
TJLSOZI,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,O
TJLZISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLZIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TJLZSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLZSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
TJLZOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TJLZOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
TJLOISZ,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,O
TJLOIZS,O,X,O,X,O,X,O,X,O,X,X,X,O,O,O,O
TJLOSIZ,O,O,O,X,O,X,X,O,O,O,X,X,O,O,O,O
TJLOSZI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,O
TJLOZIS,O,O,O,O,O,X,O,X,O,X,X,X,O,O,O,O
TJLOZSI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O
TJSILZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJSIOZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJSLIZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X
TJSLZIO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X
TJSLOIZ,O,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O
TJSLOZI,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O,O
TJSZILO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TJSZLIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TJSZOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
TJSOIZL,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJSOLIZ,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
