sequence,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFlhBGjByqBXnB8s?BRwB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFlhB3iBcoByqBGs?BRwB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFOmBxiBqrB/sBFo?B0qB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhF/mBUiBGjBysBlq?BxwB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFOmBxiBCnBXoB0q?BVxB,v115@/gB8HeB8FeB8GeD8EeB8JeT/IvhFihB3iBcoBWsBlq?BxwB
TIJZOLS,O,O,X,O,X,O
TIJZOSL,O,O,O,O,X,O
TIJOLSZ,O,X,X,O,X,O
TIJOLZS,O,O,X,O,X,O
TIJOSLZ,X,X,O,O,X,O
TIJOSZL,X,O,O,O,X,O
TIJOZLS,O,O,X,O,X,O
TIJOZSL,O,O,O,O,X,O
TISLJZO,X,X,O,O,O,O
TISLJOZ,X,X,O,O,O,O
TISLZJO,O,X,O,O,O,O
TISLZOJ,O,X,O,O,O,O
TISLOJZ,X,X,O,O,O,O
TISLOZJ,O,X,O,O,O,O
TISJLZO,X,X,O,O,O,O
TISJLOZ,X,X,O,O,O,O
TISJZLO,O,X,O,O,O,O
TISJZOL,O,X,O,O,O,O
TISJOLZ,X,X,O,O,O,O
TISJOZL,O,X,O,O,O,O
TISZLJO,O,X,O,O,O,O
TISZLOJ,O,X,O,O,O,O
TISZJLO,O,X,O,O,O,O
TISZJOL,O,X,O,O,O,O
TISZOLJ,O,X,O,O,O,O
TISZOJL,O,X,O,O,O,O
TISOLJZ,X,X,O,O,O,O
TISOLZJ,O,X,O,O,O,O
TISOJLZ,X,X,O,O,O,O
TISOJZL,O,X,O,O,O,O
TISOZLJ,O,X,O,O,O,O
TISOZJL,O,X,O,O,O,O
TIZLJSO,O,O,X,O,O,O
TIZLJOS,O,O,X,O,O,O
TIZLSJO,O,O,O,O,O,O
TIZLSOJ,O,O,O,O,O,O
TIZLOJS,O,O,X,O,O,O
TIZLOSJ,O,O,O,O,O,O
TIZJLSO,O,O,X,O,O,O
TIZJLOS,O,O,X,O,O,O
TIZJSLO,O,O,O,O,O,O
TIZJSOL,O,O,O,O,O,O
TIZJOLS,O,O,X,O,O,O
TIZJOSL,O,O,O,O,O,O
TIZSLJO,O,O,O,O,O,O
TIZSLOJ,O,O,O,O,O,O
TIZSJLO,O,O,O,O,O,O
TIZSJOL,O,O,O,O,O,O
TIZSOLJ,O,O,O,O,O,O
TIZSOJL,O,O,O,O,O,O
TIZOLJS,O,O,X,O,O,O
TIZOLSJ,O,O,O,O,O,O
TIZOJLS,O,O,X,O,O,O
TIZOJSL,O,O,O,O,O,O
TIZOSLJ,O,O,O,O,O,O
TIZOSJL,O,O,O,O,O,O
TIOLJSZ,O,O,X,O,O,O
TIOLJZS,O,O,X,O,O,O
TIOLSJZ,O,X,O,O,O,O
TIOLSZJ,O,O,O,O,O,O
TIOLZJS,O,O,X,O,O,O
TIOLZSJ,O,O,O,O,X,O
TIOJLSZ,O,X,X,O,X,O
TIOJLZS,O,O,X,O,X,O
TIOJSLZ,X,X,O,O,X,O
TIOJSZL,X,O,O,O,X,O
TIOJZLS,O,O,X,O,X,O
TIOJZSL,O,O,O,O,X,O
TIOSLJZ,X,X,O,O,O,O
TIOSLZJ,O,X,O,O,O,O
TIOSJLZ,X,X,O,O,O,O
TIOSJZL,O,X,O,O,O,O
TIOSZLJ,O,X,O,O,O,O
TIOSZJL,O,X,O,O,O,O
TIOZLJS,O,O,X,O,O,O
TIOZLSJ,O,O,O,O,O,O
TIOZJLS,O,O,X,O,O,O
TIOZJSL,O,O,O,O,O,O
TIOZSLJ,O,O,O,O,O,O
TIOZSJL,O,O,O,O,O,O
TLIJSZO,O,O,X,O,O,O
TLIJSOZ,O,O,X,O,O,O
TLIJZSO,O,O,X,O,X,O
TLIJZOS,O,O,X,O,O,O
TLIJOSZ,O,O,X,O,O,O
TLIJOZS,O,O,X,O,O,O
TLISJZO,O,X,O,O,O,O
TLISJOZ,O,X,O,O,O,O
TLISZJO,O,O,O,O,O,O
TLISZOJ,O,O,O,O,O,O
TLISOJZ,O,X,O,O,O,O
TLISOZJ,O,O,O,O,O,O
TLIZJSO,O,O,X,O,X,O
TLIZJOS,O,O,X,O,O,O
TLIZSJO,O,O,O,O,X,O
TLIZSOJ,O,O,O,O,X,O
TLIZOJS,O,O,X,O,O,O
TLIZOSJ,O,O,O,O,X,O
TLIOJSZ,O,O,X,O,O,O
TLIOJZS,O,O,X,O,O,O
TLIOSJZ,O,X,O,O,O,O
TLIOSZJ,O,O,O,O,O,O
TLIOZJS,O,O,X,O,O,O
TLIOZSJ,O,O,O,O,X,O
TLJISZO,O,X,X,O,O,O
TLJISOZ,O,X,X,O,O,O
TLJIZSO,O,O,X,X,X,O
TLJIZOS,O,O,X,X,O,O
TLJIOSZ,O,X,X,O,O,O
TLJIOZS,O,O,X,X,O,O
TLJSIZO,X,X,O,O,O,X
TLJSIOZ,X,X,O,O,O,X
TLJSZIO,X,O,O,O,O,X
TLJSZOI,X,O,O,O,O,X
TLJSOIZ,O,X,O,O,O,X
TLJSOZI,O,O,O,O,O,X
TLJZISO,O,O,X,X,X,O
TLJZIOS,O,O,X,X,O,O
TLJZSIO,O,O,X,O,O,X
TLJZSOI,O,O,X,O,O,X
TLJZOIS,O,O,X,X,O,O
TLJZOSI,O,O,X,O,O,X
TLJOISZ,O,X,X,O,O,O
TLJOIZS,O,O,X,X,O,O
TLJOSIZ,O,X,O,O,O,X
TLJOSZI,O,O,O,O,O,X
TLJOZIS,O,O,X,X,O,O
TLJOZSI,O,O,X,O,O,X
TLSIJZO,O,X,O,O,O,O
TLSIJOZ,O,X,O,O,O,O
TLSIZJO,O,O,O,O,O,O
TLSIZOJ,O,O,O,O,O,O
TLSIOJZ,O,X,O,O,O,O
TLSIOZJ,O,O,O,O,O,O
TLSJIZO,X,X,O,O,O,X
TLSJIOZ,X,X,O,O,O,X
TLSJZIO,X,O,O,O,O,X
TLSJZOI,X,O,O,O,O,X
TLSJOIZ,O,X,O,O,O,X
TLSJOZI,O,O,O,O,O,X
TLSZIJO,X,O,O,O,O,O
TLSZIOJ,X,O,O,O,O,O
TLSZJIO,X,O,O,O,O,X
TLSZJOI,O,O,O,O,O,X
TLSZOIJ,X,O,O,O,O,O
TLSZOJI,O,O,O,O,O,X
TLSOIJZ,O,X,O,O,O,O
TLSOIZJ,O,O,O,O,O,O
TLSOJIZ,O,X,O,O,O,X
TLSOJZI,O,O,O,O,O,X
TLSOZIJ,X,O,O,O,O,O
TLSOZJI,O,O,O,O,O,X
TLZIJSO,O,O,X,X,O,O
TLZIJOS,O,O,X,X,O,O
TLZISJO,O,O,O,X,O,O
TLZISOJ,O,O,O,X,O,O
TLZIOJS,O,O,X,X,O,O
TLZIOSJ,O,O,O,X,O,O
TLZJISO,O,O,X,X,O,O
TLZJIOS,O,O,X,X,O,O
TLZJSIO,O,O,X,O,O,X
TLZJSOI,O,O,X,O,O,X
TLZJOIS,O,O,X,X,O,O
TLZJOSI,O,O,X,O,O,X
TLZSIJO,O,O,O,O,O,O
TLZSIOJ,O,O,O,O,O,O
TLZSJIO,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,X
TLZSOIJ,O,O,O,O,O,O
TLZSOJI,O,O,O,O,O,X
TLZOIJS,O,O,X,X,O,O
TLZOISJ,O,O,O,X,O,O
TLZOJIS,O,O,X,X,O,O
TLZOJSI,O,O,X,O,O,X
TLZOSIJ,O,O,O,O,O,O
TLZOSJI,O,O,O,O,O,X
TLOIJSZ,O,O,X,O,O,O
TLOIJZS,O,O,X,O,O,O
TLOISJZ,O,X,O,O,O,O
TLOISZJ,O,O,O,O,O,O
TLOIZJS,O,O,X,O,O,O
TLOIZSJ,O,O,O,O,X,O
TLOJISZ,O,X,X,O,O,O
TLOJIZS,O,O,X,X,O,O
TLOJSIZ,O,X,O,O,O,X
TLOJSZI,O,O,O,O,O,X
TLOJZIS,O,O,X,X,O,O
TLOJZSI,O,O,X,O,O,X
TLOSIJZ,O,X,O,O,O,O
TLOSIZJ,O,O,O,O,O,O
TLOSJIZ,O,X,O,O,O,X
TLOSJZI,O,O,O,O,O,X
TLOSZIJ,X,O,O,O,O,O
TLOSZJI,O,O,O,O,O,X
TLOZIJS,O,O,X,X,O,O
TLOZISJ,O,O,O,X,O,O
TLOZJIS,O,O,X,X,O,O
TLOZJSI,O,O,X,O,O,X
TLOZSIJ,O,O,O,O,O,O
TLOZSJI,O,O,O,O,O,X
TJILSZO,X,X,X,O,X,O
TJILSOZ,O,X,X,O,X,O
TJILZSO,O,X,X,O,X,O
TJILZOS,O,X,X,O,X,O
TJILOSZ,O,X,X,O,X,O
TJILOZS,O,X,X,O,X,O
TJISLZO,X,X,O,O,X,O
TJISLOZ,X,X,O,O,X,O
TJISZLO,X,X,O,O,X,O
TJISZOL,X,X,O,O,X,O
TJISOLZ,X,X,O,O,X,O
TJISOZL,X,X,O,O,X,O
TJIZLSO,O,X,X,O,X,O
TJIZLOS,O,X,X,O,X,O
TJIZSLO,O,X,O,O,X,O
TJIZSOL,O,O,O,O,X,O
TJIZOLS,O,X,X,O,X,O
TJIZOSL,O,O,O,O,X,O
TJIOLSZ,O,X,X,O,X,O
TJIOLZS,O,X,X,O,X,O
TJIOSLZ,X,X,O,O,X,O
TJIOSZL,X,X,O,O,X,O
TJIOZLS,O,X,X,O,X,O
TJIOZSL,O,O,O,O,X,O
TJLISZO,X,X,X,O,O,O
TJLISOZ,O,X,X,O,O,O
TJLIZSO,O,X,X,X,X,O
TJLIZOS,O,X,X,X,O,O
TJLIOSZ,O,X,X,O,O,O
TJLIOZS,O,X,X,X,O,O
TJLSIZO,X,X,X,O,O,X
TJLSIOZ,X,X,X,O,O,X
TJLSZIO,X,X,X,O,O,X
TJLSZOI,X,X,X,O,O,X
TJLSOIZ,O,X,X,O,O,X
TJLSOZI,O,X,X,O,O,X
TJLZISO,O,X,X,X,X,O
TJLZIOS,O,X,X,X,O,O
TJLZSIO,O,X,X,O,O,X
TJLZSOI,O,O,X,O,O,X
TJLZOIS,O,X,X,X,O,O
TJLZOSI,O,O,X,O,O,X
TJLOISZ,O,X,X,O,O,O
TJLOIZS,O,X,X,X,O,O
TJLOSIZ,O,X,X,O,O,X
TJLOSZI,O,X,X,O,O,X
TJLOZIS,O,X,X,X,O,O
TJLOZSI,O,O,X,O,O,X
TJSILZO,X,X,O,O,O,X
TJSILOZ,X,X,O,O,O,X
TJSIZLO,X,X,O,O,O,X
TJSIZOL,X,X,O,O,O,X
TJSIOLZ,X,X,O,O,O,X
TJSIOZL,X,X,O,O,O,X
TJSLIZO,X,X,O,O,O,X
TJSLIOZ,X,X,O,O,O,X
TJSLZIO,X,X,O,O,O,X
TJSLZOI,X,X,O,O,O,X
TJSLOIZ,X,X,O,O,O,X
TJSLOZI,X,X,O,O,O,X
TJSZILO,X,X,O,X,O,X
TJSZIOL,X,O,O,O,O,X
TJSZLIO,X,X,O,O,O,X
TJSZLOI,X,O,O,O,O,X
TJSZOIL,X,O,O,O,O,X
TJSZOLI,X,O,O,O,O,X
TJSOILZ,X,X,O,O,O,X
TJSOIZL,X,X,O,O,O,X
TJSOLIZ,X,X,O,O,O,X
TJSOLZI,X,X,O,O,O,X
TJSOZIL,X,O,O,O,O,X
TJSOZLI,X,O,O,O,O,X
TJZILSO,O,X,X,X,O,O
TJZILOS,O,X,X,X,O,O
TJZISLO,O,X,O,X,O,O
TJZISOL,O,O,O,X,O,O
TJZIOLS,O,X,X,X,O,O
TJZIOSL,O,O,O,X,O,O
TJZLISO,O,X,X,X,O,O
TJZLIOS,O,X,X,X,O,O
TJZLSIO,O,X,X,O,O,X
TJZLSOI,O,O,X,O,O,X
TJZLOIS,O,X,X,X,O,O
TJZLOSI,O,O,X,O,O,X
TJZSILO,X,X,O,X,O,X
TJZSIOL,O,O,O,O,O,X
TJZSLIO,X,X,O,O,O,X
TJZSLOI,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,X
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,X,X,X,O,O
TJZOISL,O,O,O,X,O,O
TJZOLIS,O,X,X,X,O,O
TJZOLSI,O,O,X,O,O,X
TJZOSIL,O,O,O,O,O,X
TJZOSLI,O,O,O,O,O,X
TJOILSZ,O,X,X,O,X,O
TJOILZS,O,X,X,O,X,O
TJOISLZ,X,X,O,O,X,O
TJOISZL,X,X,O,O,X,O
TJOIZLS,O,X,X,O,X,O
TJOIZSL,O,O,O,O,X,O
TJOLISZ,O,X,X,O,O,O
TJOLIZS,O,X,X,X,O,O
TJOLSIZ,O,X,X,O,O,X
TJOLSZI,O,X,X,O,O,X
TJOLZIS,O,X,X,X,O,O
TJOLZSI,O,O,X,O,O,X
TJOSILZ,X,X,O,O,O,X
TJOSIZL,X,X,O,O,O,X
TJOSLIZ,X,X,O,O,O,X
TJOSLZI,X,X,O,O,O,X
TJOSZIL,X,O,O,O,O,X
TJOSZLI,X,O,O,O,O,X
TJOZILS,O,X,X,X,O,O
TJOZISL,O,O,O,X,O,O
TJOZLIS,O,X,X,X,O,O
TJOZLSI,O,O,X,O,O,X
TJOZSIL,O,O,O,O,O,X
TJOZSLI,O,O,O,O,O,X
TSILJZO,X,X,O,O,O,O
TSILJOZ,X,X,O,O,O,O
TSILZJO,X,X,O,O,O,O
TSILZOJ,X,X,O,O,O,O
TSILOJZ,X,X,O,O,O,O
TSILOZJ,X,X,O,O,O,O
TSIJLZO,X,X,O,O,O,O
TSIJLOZ,X,X,O,O,O,O
TSIJZLO,X,X,O,O,O,O
TSIJZOL,X,X,O,O,O,O
TSIJOLZ,X,X,O,O,O,O
TSIJOZL,X,X,O,O,O,O
TSIZLJO,X,X,O,O,O,O
TSIZLOJ,X,X,O,O,O,O
TSIZJLO,X,X,O,O,O,O
TSIZJOL,X,X,O,O,O,O
TSIZOLJ,X,X,O,O,O,O
TSIZOJL,X,X,O,O,O,O
TSIOLJZ,X,X,O,O,O,O
TSIOLZJ,X,X,O,O,O,O
TSIOJLZ,X,X,O,O,O,O
TSIOJZL,X,X,O,O,O,O
TSIOZLJ,X,X,O,O,O,O
TSIOZJL,X,X,O,O,O,O
TSLIJZO,X,X,O,O,O,O
TSLIJOZ,X,X,O,O,O,O
TSLIZJO,X,X,O,O,O,O
TSLIZOJ,X,X,O,O,O,O
TSLIOJZ,X,X,O,O,O,O
TSLIOZJ,X,X,O,O,O,O
TSLJIZO,X,X,O,O,O,X
TSLJIOZ,X,X,O,O,O,X
TSLJZIO,X,X,O,O,O,X
TSLJZOI,X,X,O,O,O,X
TSLJOIZ,X,X,O,O,O,X
TSLJOZI,X,X,O,O,O,X
TSLZIJO,X,X,O,O,O,O
TSLZIOJ,X,X,O,O,O,O
TSLZJIO,X,X,O,O,O,X
TSLZJOI,X,X,O,O,O,X
TSLZOIJ,X,X,O,O,O,O
TSLZOJI,X,X,O,O,O,X
TSLOIJZ,X,X,O,O,O,O
TSLOIZJ,X,X,O,O,O,O
TSLOJIZ,X,X,O,O,O,X
TSLOJZI,X,X,O,O,O,X
TSLOZIJ,X,X,O,O,O,O
TSLOZJI,X,X,O,O,O,X
TSJILZO,X,X,O,O,O,X
TSJILOZ,X,X,O,O,O,X
TSJIZLO,X,X,O,O,O,X
TSJIZOL,X,X,O,O,O,X
TSJIOLZ,X,X,O,O,O,X
TSJIOZL,X,X,O,O,O,X
TSJLIZO,X,X,O,O,O,X
TSJLIOZ,X,X,O,O,O,X
TSJLZIO,X,X,O,O,O,X
TSJLZOI,X,X,O,O,O,X
TSJLOIZ,X,X,O,O,O,X
TSJLOZI,X,X,O,O,O,X
TSJZILO,X,X,O,X,O,X
TSJZIOL,X,X,O,O,O,X
TSJZLIO,X,X,O,O,O,X
TSJZLOI,X,X,O,O,O,X
TSJZOIL,X,X,O,O,O,X
TSJZOLI,X,X,O,O,O,X
TSJOILZ,X,X,O,O,O,X
TSJOIZL,X,X,O,O,O,X
TSJOLIZ,X,X,O,O,O,X
TSJOLZI,X,X,O,O,O,X
TSJOZIL,X,X,O,O,O,X
TSJOZLI,X,X,O,O,O,X
TSZILJO,X,X,O,O,O,O
TSZILOJ,X,X,O,O,O,O
TSZIJLO,X,X,O,O,O,O
TSZIJOL,X,X,O,O,O,O
TSZIOLJ,X,X,O,O,O,O
TSZIOJL,X,X,O,O,O,O
TSZLIJO,X,X,O,O,O,O
TSZLIOJ,X,X,O,O,O,O
TSZLJIO,X,X,O,O,O,X
TSZLJOI,X,X,O,O,O,X
TSZLOIJ,X,X,O,O,O,O
TSZLOJI,X,X,O,O,O,X
TSZJILO,X,X,O,X,O,X
TSZJIOL,X,X,O,O,O,X
TSZJLIO,X,X,O,O,O,X
TSZJLOI,X,X,O,O,O,X
TSZJOIL,X,X,O,O,O,X
TSZJOLI,X,X,O,O,O,X
TSZOILJ,X,X,O,O,O,O
TSZOIJL,X,X,O,O,O,O
TSZOLIJ,X,X,O,O,O,O
TSZOLJI,X,X,O,O,O,X
TSZOJIL,X,X,O,O,O,X
TSZOJLI,X,X,O,O,O,X
TSOILJZ,X,X,O,O,O,O
TSOILZJ,X,X,O,O,O,O
TSOIJLZ,X,X,O,O,O,O
TSOIJZL,X,X,O,O,O,O
TSOIZLJ,X,X,O,O,O,O
TSOIZJL,X,X,O,O,O,O
TSOLIJZ,X,X,O,O,O,O
TSOLIZJ,X,X,O,O,O,O
TSOLJIZ,X,X,O,O,O,X
TSOLJZI,X,X,O,O,O,X
TSOLZIJ,X,X,O,O,O,O
TSOLZJI,X,X,O,O,O,X
TSOJILZ,X,X,O,O,O,X
TSOJIZL,X,X,O,O,O,X
TSOJLIZ,X,X,O,O,O,X
TSOJLZI,X,X,O,O,O,X
TSOJZIL,X,X,O,O,O,X
TSOJZLI,X,X,O,O,O,X
TSOZILJ,X,X,O,O,O,O
TSOZIJL,X,X,O,O,O,O
TSOZLIJ,X,X,O,O,O,O
TSOZLJI,X,X,O,O,O,X
TSOZJIL,X,X,O,O,O,X
TSOZJLI,X,X,O,O,O,X
TZILJSO,O,O,X,O,O,O
TZILJOS,O,O,X,O,O,O
TZILSJO,O,O,O,O,O,O
TZILSOJ,O,O,O,O,O,O
TZILOJS,O,O,X,O,O,O
TZILOSJ,O,O,O,O,O,O
TZIJLSO,O,O,X,O,O,O
TZIJLOS,O,O,X,O,O,O
TZIJSLO,O,O,O,O,O,O
TZIJSOL,O,O,O,O,O,O
TZIJOLS,O,O,X,O,O,O
TZIJOSL,O,O,O,O,O,O
TZISLJO,O,O,O,O,O,O
TZISLOJ,O,O,O,O,O,O
TZISJLO,O,O,O,O,O,O
TZISJOL,O,O,O,O,O,O
TZISOLJ,O,O,O,O,O,O
TZISOJL,O,O,O,O,O,O
TZIOLJS,O,O,X,O,O,O
TZIOLSJ,O,O,O,O,O,O
TZIOJLS,O,O,X,O,O,O
TZIOJSL,O,O,O,O,O,O
TZIOSLJ,O,O,O,O,O,O
TZIOSJL,O,O,O,O,O,O
TZLIJSO,O,O,X,X,O,O
TZLIJOS,O,O,X,X,O,O
TZLISJO,O,O,O,X,O,O
TZLISOJ,O,O,O,X,O,O
TZLIOJS,O,O,X,X,O,O
TZLIOSJ,O,O,O,X,O,O
TZLJISO,O,O,X,X,O,O
TZLJIOS,O,O,X,X,O,O
TZLJSIO,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,X
TZLJOIS,O,O,X,X,O,O
TZLJOSI,O,O,O,O,O,X
TZLSIJO,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,X
TZLSOIJ,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,X
TZLOIJS,O,O,X,X,O,O
TZLOISJ,O,O,O,X,O,O
TZLOJIS,O,O,X,X,O,O
TZLOJSI,O,O,O,O,O,X
TZLOSIJ,O,O,O,O,O,O
TZLOSJI,O,O,O,O,O,X
TZJILSO,O,X,X,X,O,O
TZJILOS,O,X,X,X,O,O
TZJISLO,O,X,O,X,O,O
TZJISOL,O,O,O,X,O,O
TZJIOLS,O,X,X,X,O,O
TZJIOSL,O,O,O,X,O,O
TZJLISO,O,X,X,X,O,O
TZJLIOS,O,X,X,X,O,O
TZJLSIO,O,X,O,O,O,X
TZJLSOI,O,O,O,O,O,X
TZJLOIS,O,X,X,X,O,O
TZJLOSI,O,O,O,O,O,X
TZJSILO,X,X,O,X,O,X
TZJSIOL,O,O,O,O,O,X
TZJSLIO,X,X,O,O,O,X
TZJSLOI,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,X
TZJSOLI,O,O,O,O,O,X
TZJOILS,O,X,X,X,O,O
TZJOISL,O,O,O,X,O,O
TZJOLIS,O,X,X,X,O,O
TZJOLSI,O,O,O,O,O,X
TZJOSIL,O,O,O,O,O,X
TZJOSLI,O,O,O,O,O,X
TZSILJO,X,O,O,O,O,O
TZSILOJ,X,O,O,O,O,O
TZSIJLO,X,O,O,O,O,O
TZSIJOL,O,O,O,O,O,O
TZSIOLJ,X,O,O,O,O,O
TZSIOJL,O,O,O,O,O,O
TZSLIJO,X,X,O,O,O,O
TZSLIOJ,X,O,O,O,O,O
TZSLJIO,X,O,O,O,O,X
TZSLJOI,O,O,O,O,O,X
TZSLOIJ,X,O,O,O,O,O
TZSLOJI,O,O,O,O,O,X
TZSJILO,X,X,O,X,O,X
TZSJIOL,O,O,O,O,O,X
TZSJLIO,X,X,O,O,O,X
TZSJLOI,O,O,O,O,O,X
TZSJOIL,O,O,O,O,O,X
TZSJOLI,O,O,O,O,O,X
TZSOILJ,X,O,O,O,O,O
TZSOIJL,O,O,O,O,O,O
TZSOLIJ,X,O,O,O,O,O
TZSOLJI,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,X
TZSOJLI,O,O,O,O,O,X
TZOILJS,O,O,X,O,O,O
TZOILSJ,O,O,O,O,O,O
TZOIJLS,O,O,X,O,O,O
TZOIJSL,O,O,O,O,O,O
TZOISLJ,O,O,O,O,O,O
TZOISJL,O,O,O,O,O,O
TZOLIJS,O,O,X,X,O,O
TZOLISJ,O,O,O,X,O,O
TZOLJIS,O,O,X,X,O,O
TZOLJSI,O,O,O,O,O,X
TZOLSIJ,O,O,O,O,O,O
TZOLSJI,O,O,O,O,O,X
TZOJILS,O,X,X,X,O,O
TZOJISL,O,O,O,X,O,O
TZOJLIS,O,X,X,X,O,O
TZOJLSI,O,O,O,O,O,X
TZOJSIL,O,O,O,O,O,X
TZOJSLI,O,O,O,O,O,X
TZOSILJ,X,O,O,O,O,O
TZOSIJL,O,O,O,O,O,O
TZOSLIJ,X,O,O,O,O,O
TZOSLJI,O,O,O,O,O,X
TZOSJIL,O,O,O,O,O,X
TZOSJLI,O,O,O,O,O,X
TOILJSZ,O,O,X,O,O,O
TOILJZS,O,O,X,O,O,O
TOILSJZ,O,X,O,O,O,O
TOILSZJ,O,O,O,O,O,O
TOILZJS,O,O,X,O,O,O
TOILZSJ,O,O,O,O,X,O
TOIJLSZ,O,X,X,O,X,O
TOIJLZS,O,O,X,O,X,O
TOIJSLZ,X,X,O,O,X,O
TOIJSZL,X,O,O,O,X,O
TOIJZLS,O,O,X,O,X,O
TOIJZSL,O,O,O,O,X,O
TOISLJZ,X,X,O,O,O,O
TOISLZJ,O,X,O,O,O,O
TOISJLZ,X,X,O,O,O,O
TOISJZL,O,X,O,O,O,O
TOISZLJ,O,X,O,O,O,O
TOISZJL,O,X,O,O,O,O
TOIZLJS,O,O,X,O,O,O
TOIZLSJ,O,O,O,O,O,O
TOIZJLS,O,O,X,O,O,O
TOIZJSL,O,O,O,O,O,O
TOIZSLJ,O,O,O,O,O,O
TOIZSJL,O,O,O,O,O,O
TOLIJSZ,O,O,X,O,O,O
TOLIJZS,O,O,X,O,O,O
TOLISJZ,O,X,O,O,O,O
TOLISZJ,O,O,O,O,O,O
TOLIZJS,O,O,X,O,O,O
TOLIZSJ,O,O,O,O,X,O
TOLJISZ,O,X,X,O,O,O
TOLJIZS,O,O,X,X,O,O
TOLJSIZ,O,X,O,O,O,X
TOLJSZI,O,O,O,O,O,X
TOLJZIS,O,O,X,X,O,O
TOLJZSI,O,O,X,O,O,X
TOLSIJZ,O,X,O,O,O,O
TOLSIZJ,O,O,O,O,O,O
TOLSJIZ,O,X,O,O,O,X
TOLSJZI,O,O,O,O,O,X
TOLSZIJ,X,O,O,O,O,O
TOLSZJI,O,O,O,O,O,X
TOLZIJS,O,O,X,X,O,O
TOLZISJ,O,O,O,X,O,O
TOLZJIS,O,O,X,X,O,O
TOLZJSI,O,O,X,O,O,X
TOLZSIJ,O,O,O,O,O,O
TOLZSJI,O,O,O,O,O,X
TOJILSZ,O,X,X,O,X,O
TOJILZS,O,X,X,O,X,O
TOJISLZ,X,X,O,O,X,O
TOJISZL,X,X,O,O,X,O
TOJIZLS,O,X,X,O,X,O
TOJIZSL,O,O,O,O,X,O
TOJLISZ,O,X,X,O,O,O
TOJLIZS,O,X,X,X,O,O
TOJLSIZ,O,X,X,O,O,X
TOJLSZI,O,X,X,O,O,X
TOJLZIS,O,X,X,X,O,O
TOJLZSI,O,O,X,O,O,X
TOJSILZ,X,X,O,O,O,X
TOJSIZL,X,X,O,O,O,X
TOJSLIZ,X,X,O,O,O,X
TOJSLZI,X,X,O,O,O,X
TOJSZIL,X,O,O,O,O,X
TOJSZLI,X,O,O,O,O,X
TOJZILS,O,X,X,X,O,O
