sequence,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFUgBFhBmiB5oBCn?BTqB,v115@RhA8CeA8AeC8AeB8BeE8Ke/EJvhFalBFhB8mBziB5o?B+qB,v115@RhA8CeA8AeC8AeB8BeE8KeT/IvhF/lBFhBmiB5oBCn?BUqB
TZJLISO,X,O,O
TZJLIOS,X,O,O
TZJLSIO,X,O,O
TZJLSOI,X,O,O
TZJLOIS,X,O,O
TZJLOSI,X,O,O
TZJSILO,O,O,O
TZJSIOL,O,O,O
TZJSLIO,O,O,O
TZJSLOI,X,O,O
TZJSOIL,O,O,O
TZJSOLI,X,O,O
TZJOILS,X,O,O
TZJOISL,O,O,O
TZJOLIS,X,O,O
TZJOLSI,X,O,O
TZJOSIL,O,O,O
TZJOSLI,O,O,O
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,O,O
TZSIJOL,O,O,O
TZSIOLJ,O,O,O
TZSIOJL,O,O,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,O,O,O
TZSLOIJ,O,O,O
TZSLOJI,O,O,O
TZSJILO,O,O,O
TZSJIOL,O,O,O
TZSJLIO,O,O,O
TZSJLOI,O,O,O
TZSJOIL,O,O,O
TZSJOLI,X,O,O
TZSOILJ,O,O,O
TZSOIJL,O,O,O
TZSOLIJ,O,O,O
TZSOLJI,O,O,O
TZSOJIL,O,O,O
TZSOJLI,X,O,O
TZOILJS,O,O,O
TZOILSJ,O,X,O
TZOIJLS,X,O,O
TZOIJSL,O,O,O
TZOISLJ,O,O,O
TZOISJL,O,O,O
TZOLIJS,O,O,O
TZOLISJ,O,X,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,O,X,O
TZOLSJI,O,X,O
TZOJILS,X,O,O
TZOJISL,O,O,O
TZOJLIS,X,O,O
TZOJLSI,X,O,O
TZOJSIL,O,O,O
TZOJSLI,O,O,O
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,O,X,X
TOILJZS,O,X,O
TOILSJZ,O,X,X
TOILSZJ,O,X,X
TOILZJS,O,X,O
TOILZSJ,O,X,O
TOIJLSZ,O,X,X
TOIJLZS,O,X,O
TOIJSLZ,O,O,X
TOIJSZL,O,O,X
TOIJZLS,X,O,O
TOIJZSL,O,O,O
TOISLJZ,O,O,X
TOISLZJ,O,O,X
TOISJLZ,O,O,X
TOISJZL,O,O,X
TOISZLJ,O,O,X
TOISZJL,O,O,X
TOIZLJS,O,O,O
TOIZLSJ,O,X,O
TOIZJLS,X,O,O
TOIZJSL,O,O,O
TOIZSLJ,O,O,O
TOIZSJL,O,O,O
TOLIJSZ,O,X,X
