sequence,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KeCAJvhFXhBmiB?5oBdqB0nBzqB,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KetEJvhFXhBTiB?eoB5oBiqB0qB,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KetEJvhFXhBiiB?5oBznB0lB2vB,v115@9gA8IeA8DeA8DeA8DeB8CeB8CeD8KetEJvhFXhBxiB?0nB6tBmqBTqB
ITOZSJL,O,X,X,X
ILTJSZO,O,O,X,O
ILTJSOZ,X,O,O,X
ILTJZSO,O,O,X,O
ILTJZOS,O,O,X,O
ILTJOSZ,X,O,O,X
ILTJOZS,X,O,O,X
ILTSJZO,O,O,X,X
ILTSJOZ,X,O,X,X
ILTSZJO,O,O,X,O
ILTSZOJ,O,X,X,O
ILTSOJZ,X,O,O,X
ILTSOZJ,O,X,O,X
ILTZJSO,O,O,X,O
ILTZJOS,O,O,X,O
ILTZSJO,O,O,X,O
ILTZSOJ,O,X,X,O
ILTZOJS,O,X,X,O
ILTZOSJ,O,X,X,O
ILTOJSZ,O,O,O,X
ILTOJZS,O,O,O,X
ILTOSJZ,O,O,O,X
ILTOSZJ,O,X,O,X
ILTOZJS,O,X,O,X
ILTOZSJ,O,X,O,X
ILJTSZO,X,O,X,O
ILJTSOZ,X,O,O,X
ILJTZSO,X,O,X,O
ILJTZOS,X,O,X,O
ILJTOSZ,X,O,O,X
ILJTOZS,X,O,O,X
ILJSTZO,X,O,X,O
ILJSTOZ,X,O,O,X
ILJSZTO,X,O,X,O
ILJSZOT,X,O,X,O
ILJSOTZ,X,O,O,X
ILJSOZT,X,O,O,X
ILJZTSO,X,O,X,O
ILJZTOS,X,O,X,O
ILJZSTO,X,O,X,O
ILJZSOT,X,O,X,O
ILJZOTS,X,O,X,O
ILJZOST,X,O,X,O
ILJOTSZ,X,O,O,X
ILJOTZS,X,O,O,X
ILJOSTZ,X,O,O,X
ILJOSZT,X,O,O,X
ILJOZTS,X,O,O,X
ILJOZST,X,O,O,X
ILSTJZO,O,O,X,X
ILSTJOZ,X,O,X,X
ILSTZJO,O,O,X,O
ILSTZOJ,O,X,X,O
ILSTOJZ,X,O,O,X
ILSTOZJ,O,X,O,X
ILSJTZO,X,O,X,O
ILSJTOZ,X,O,O,X
ILSJZTO,X,O,X,O
ILSJZOT,X,O,X,O
ILSJOTZ,X,O,O,X
ILSJOZT,X,O,O,X
ILSZTJO,O,O,X,O
ILSZTOJ,O,X,X,O
ILSZJTO,O,O,X,O
ILSZJOT,X,O,X,O
ILSZOTJ,X,X,X,O
ILSZOJT,X,X,X,O
ILSOTJZ,X,O,O,X
ILSOTZJ,X,X,O,X
ILSOJTZ,X,O,O,X
ILSOJZT,X,O,O,X
ILSOZTJ,X,X,O,X
ILSOZJT,X,X,O,X
ILZTJSO,O,O,X,O
ILZTJOS,O,O,X,O
ILZTSJO,O,O,X,O
ILZTSOJ,O,X,X,O
ILZTOJS,O,X,X,O
ILZTOSJ,O,X,X,O
ILZJTSO,O,O,X,O
ILZJTOS,O,O,X,O
ILZJSTO,O,O,X,O
ILZJSOT,X,O,X,O
ILZJOTS,O,O,X,O
ILZJOST,O,O,X,O
ILZSTJO,O,O,X,O
ILZSTOJ,O,X,X,O
ILZSJTO,O,O,X,O
ILZSJOT,X,O,X,O
ILZSOTJ,X,X,X,O
ILZSOJT,X,X,X,O
ILZOTJS,O,X,X,O
ILZOTSJ,O,X,X,O
ILZOJTS,O,X,X,O
ILZOJST,O,X,X,O
ILZOSTJ,O,X,X,O
ILZOSJT,O,X,X,O
ILOTJSZ,O,O,O,X
ILOTJZS,O,O,O,X
ILOTSJZ,O,O,O,X
ILOTSZJ,O,X,O,X
ILOTZJS,O,X,O,X
ILOTZSJ,O,X,O,X
ILOJTSZ,X,O,O,X
ILOJTZS,X,O,O,X
ILOJSTZ,X,O,O,X
ILOJSZT,X,O,O,X
ILOJZTS,X,O,O,X
ILOJZST,X,O,O,X
ILOSTJZ,O,O,O,X
ILOSTZJ,O,X,O,X
ILOSJTZ,X,O,O,X
ILOSJZT,X,O,O,X
ILOSZTJ,O,X,O,X
ILOSZJT,O,X,O,X
ILOZTJS,O,X,O,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,X,O,X
ILOZJST,O,X,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,X,O,X
IJTLSZO,O,O,X,O
IJTLSOZ,X,O,O,X
IJTLZSO,O,O,X,O
IJTLZOS,O,O,X,O
IJTLOSZ,X,O,O,X
IJTLOZS,X,O,O,X
IJTSLZO,O,O,X,O
IJTSLOZ,X,O,O,X
IJTSZLO,O,X,X,O
IJTSZOL,O,O,O,X
IJTSOLZ,X,O,O,X
IJTSOZL,X,O,O,X
IJTZLSO,O,O,X,O
IJTZLOS,O,O,X,O
IJTZSLO,O,X,X,O
IJTZSOL,O,O,O,X
IJTZOLS,O,O,O,X
IJTZOSL,O,O,O,X
IJTOLSZ,O,O,O,X
IJTOLZS,O,O,O,X
IJTOSLZ,O,O,O,X
IJTOSZL,O,O,O,X
IJTOZLS,O,O,O,X
IJTOZSL,O,O,O,X
IJLTSZO,X,O,X,O
IJLTSOZ,X,O,O,X
IJLTZSO,X,O,X,O
IJLTZOS,X,O,X,O
IJLTOSZ,X,O,O,X
IJLTOZS,X,O,O,X
IJLSTZO,X,O,X,O
IJLSTOZ,X,O,O,X
IJLSZTO,X,O,X,O
IJLSZOT,X,O,X,O
IJLSOTZ,X,O,O,X
IJLSOZT,X,O,O,X
IJLZTSO,X,O,X,O
IJLZTOS,X,O,X,O
IJLZSTO,X,O,X,O
IJLZSOT,X,O,X,O
IJLZOTS,X,O,X,O
IJLZOST,X,O,X,O
IJLOTSZ,X,O,O,X
IJLOTZS,X,O,O,X
IJLOSTZ,X,O,O,X
IJLOSZT,X,O,O,X
IJLOZTS,X,O,O,X
IJLOZST,X,O,O,X
IJSTLZO,O,O,X,O
IJSTLOZ,X,O,O,X
IJSTZLO,O,X,X,O
IJSTZOL,O,O,O,X
IJSTOLZ,X,O,O,X
IJSTOZL,X,O,O,X
IJSLTZO,X,O,X,O
IJSLTOZ,X,O,O,X
IJSLZTO,X,O,X,O
IJSLZOT,X,O,X,O
IJSLOTZ,X,O,O,X
IJSLOZT,X,O,O,X
IJSZTLO,O,X,X,O
IJSZTOL,O,O,O,X
IJSZLTO,O,O,X,O
IJSZLOT,X,O,X,O
IJSZOTL,O,O,O,X
IJSZOLT,X,O,O,X
IJSOTLZ,X,O,O,X
IJSOTZL,X,O,O,X
IJSOLTZ,X,O,O,X
IJSOLZT,X,O,O,X
IJSOZTL,X,O,O,X
IJSOZLT,X,O,O,X
IJZTLSO,O,O,X,O
IJZTLOS,O,O,X,O
IJZTSLO,O,X,X,O
IJZTSOL,O,O,O,X
IJZTOLS,O,O,O,X
IJZTOSL,O,O,O,X
IJZLTSO,O,O,X,O
IJZLTOS,O,O,X,O
IJZLSTO,O,O,X,O
IJZLSOT,X,O,X,O
IJZLOTS,O,O,X,O
IJZLOST,O,O,X,O
IJZSTLO,O,X,X,O
IJZSTOL,O,O,O,X
IJZSLTO,O,O,X,O
IJZSLOT,X,O,X,O
IJZSOTL,O,O,O,X
IJZSOLT,O,O,O,X
IJZOTLS,O,O,O,X
IJZOTSL,O,O,O,X
IJZOLTS,O,O,O,X
IJZOLST,O,O,O,X
IJZOSTL,O,O,O,X
IJZOSLT,O,O,O,X
IJOTLSZ,O,O,O,X
IJOTLZS,O,O,O,X
IJOTSLZ,O,O,O,X
IJOTSZL,O,O,O,X
IJOTZLS,O,O,O,X
IJOTZSL,O,O,O,X
IJOLTSZ,X,O,O,X
IJOLTZS,X,O,O,X
IJOLSTZ,X,O,O,X
IJOLSZT,X,O,O,X
IJOLZTS,X,O,O,X
IJOLZST,X,O,O,X
IJOSTLZ,O,O,O,X
IJOSTZL,O,O,O,X
IJOSLTZ,X,O,O,X
IJOSLZT,X,O,O,X
IJOSZTL,O,O,O,X
IJOSZLT,O,O,O,X
IJOZTLS,O,O,O,X
IJOZTSL,O,O,O,X
IJOZLTS,O,O,O,X
IJOZLST,O,O,O,X
IJOZSTL,O,O,O,X
IJOZSLT,O,O,O,X
ISTLJZO,O,O,X,X
ISTLJOZ,X,O,X,X
ISTLZJO,O,O,X,O
ISTLZOJ,O,X,X,O
ISTLOJZ,X,O,O,X
ISTLOZJ,O,X,O,X
ISTJLZO,O,O,X,X
ISTJLOZ,X,O,O,X
ISTJZLO,O,X,X,X
ISTJZOL,O,O,O,X
ISTJOLZ,X,O,O,X
ISTJOZL,X,O,O,X
ISTZLJO,O,X,X,O
ISTZLOJ,O,X,X,O
ISTZJLO,O,X,X,X
ISTZJOL,O,O,X,X
ISTZOLJ,O,X,O,X
ISTZOJL,O,X,X,X
ISTOLJZ,O,X,O,X
ISTOLZJ,O,X,O,X
ISTOJLZ,O,O,O,X
ISTOJZL,O,O,O,X
ISTOZLJ,O,X,O,X
ISTOZJL,O,X,X,X
ISLTJZO,O,O,X,X
ISLTJOZ,X,O,X,X
ISLTZJO,O,O,X,O
ISLTZOJ,O,X,X,O
ISLTOJZ,X,O,O,X
ISLTOZJ,O,X,O,X
ISLJTZO,X,O,X,O
ISLJTOZ,X,O,O,X
ISLJZTO,X,O,X,O
ISLJZOT,X,O,X,O
ISLJOTZ,X,O,O,X
ISLJOZT,X,O,O,X
ISLZTJO,O,O,X,O
ISLZTOJ,O,X,X,O
ISLZJTO,O,O,X,O
ISLZJOT,X,O,X,O
ISLZOTJ,X,X,X,O
ISLZOJT,X,X,X,O
ISLOTJZ,X,O,O,X
ISLOTZJ,X,X,O,X
ISLOJTZ,X,O,O,X
ISLOJZT,X,O,O,X
ISLOZTJ,X,X,O,X
ISLOZJT,X,X,O,X
ISJTLZO,O,O,X,O
ISJTLOZ,X,O,O,X
ISJTZLO,O,X,X,O
ISJTZOL,O,O,O,X
ISJTOLZ,X,O,O,X
ISJTOZL,X,O,O,X
ISJLTZO,X,O,X,O
ISJLTOZ,X,O,O,X
ISJLZTO,X,O,X,O
ISJLZOT,X,O,X,O
ISJLOTZ,X,O,O,X
ISJLOZT,X,O,O,X
ISJZTLO,O,X,X,O
ISJZTOL,O,O,O,X
ISJZLTO,O,O,X,O
ISJZLOT,X,O,X,O
ISJZOTL,O,O,O,X
ISJZOLT,X,O,O,X
ISJOTLZ,X,O,O,X
ISJOTZL,X,O,O,X
ISJOLTZ,X,O,O,X
ISJOLZT,X,O,O,X
ISJOZTL,X,O,O,X
ISJOZLT,X,O,O,X
ISZTLJO,O,X,X,O
ISZTLOJ,O,X,X,O
ISZTJLO,O,X,X,X
ISZTJOL,O,O,X,X
ISZTOLJ,O,X,O,X
ISZTOJL,O,X,X,X
ISZLTJO,O,O,X,O
ISZLTOJ,O,X,X,O
ISZLJTO,O,O,X,O
ISZLJOT,X,O,X,O
ISZLOTJ,X,X,X,O
ISZLOJT,X,X,X,O
ISZJTLO,O,X,X,O
ISZJTOL,O,O,O,X
ISZJLTO,O,O,X,O
ISZJLOT,X,O,X,O
ISZJOTL,O,O,O,X
ISZJOLT,O,O,O,X
ISZOTLJ,O,X,O,X
ISZOTJL,O,X,X,X
ISZOLTJ,O,X,O,X
ISZOLJT,O,X,O,X
ISZOJTL,O,X,O,X
ISZOJLT,O,X,O,X
ISOTLJZ,O,X,O,X
ISOTLZJ,O,X,O,X
ISOTJLZ,O,O,O,X
ISOTJZL,O,O,O,X
ISOTZLJ,O,X,O,X
ISOTZJL,O,X,X,X
ISOLTJZ,O,O,O,X
ISOLTZJ,O,X,O,X
ISOLJTZ,X,O,O,X
ISOLJZT,X,O,O,X
ISOLZTJ,O,X,O,X
ISOLZJT,O,X,O,X
ISOJTLZ,O,O,O,X
ISOJTZL,O,O,O,X
ISOJLTZ,X,O,O,X
ISOJLZT,X,O,O,X
ISOJZTL,O,O,O,X
ISOJZLT,O,O,O,X
ISOZTLJ,O,X,O,X
ISOZTJL,O,X,X,X
ISOZLTJ,O,X,O,X
ISOZLJT,O,X,O,X
ISOZJTL,O,X,O,X
ISOZJLT,O,X,O,X
IZTLJSO,O,O,X,O
IZTLJOS,O,O,X,O
IZTLSJO,O,O,X,O
IZTLSOJ,O,X,X,O
IZTLOJS,O,X,X,O
IZTLOSJ,O,X,X,O
IZTJLSO,O,O,X,O
IZTJLOS,O,O,X,O
IZTJSLO,O,X,X,O
IZTJSOL,O,O,O,X
IZTJOLS,O,O,O,X
IZTJOSL,O,O,O,X
IZTSLJO,O,X,X,O
IZTSLOJ,O,X,X,O
IZTSJLO,O,X,X,X
IZTSJOL,O,O,X,X
IZTSOLJ,O,X,O,X
IZTSOJL,O,X,X,X
IZTOLJS,O,X,O,X
IZTOLSJ,O,X,O,X
IZTOJLS,O,X,O,X
IZTOJSL,O,X,O,X
IZTOSLJ,O,X,O,X
IZTOSJL,O,X,X,X
IZLTJSO,O,O,X,O
IZLTJOS,O,O,X,O
IZLTSJO,O,O,X,O
IZLTSOJ,O,X,X,O
IZLTOJS,O,X,X,O
IZLTOSJ,O,X,X,O
IZLJTSO,O,O,X,O
IZLJTOS,O,O,X,O
IZLJSTO,O,O,X,O
IZLJSOT,X,O,X,O
IZLJOTS,O,O,X,O
IZLJOST,O,O,X,O
IZLSTJO,O,O,X,O
IZLSTOJ,O,X,X,O
IZLSJTO,O,O,X,O
IZLSJOT,X,O,X,O
IZLSOTJ,X,X,X,O
IZLSOJT,X,X,X,O
IZLOTJS,O,X,X,O
IZLOTSJ,O,X,X,O
IZLOJTS,O,X,X,O
IZLOJST,O,X,X,O
IZLOSTJ,O,X,X,O
IZLOSJT,O,X,X,O
IZJTLSO,O,O,X,O
IZJTLOS,O,O,X,O
IZJTSLO,O,X,X,O
IZJTSOL,O,O,O,X
IZJTOLS,O,O,O,X
IZJTOSL,O,O,O,X
IZJLTSO,O,O,X,O
IZJLTOS,O,O,X,O
IZJLSTO,O,O,X,O
IZJLSOT,X,O,X,O
IZJLOTS,O,O,X,O
IZJLOST,O,O,X,O
IZJSTLO,O,X,X,O
IZJSTOL,O,O,O,X
IZJSLTO,O,O,X,O
IZJSLOT,X,O,X,O
IZJSOTL,O,O,O,X
IZJSOLT,O,O,O,X
IZJOTLS,O,O,O,X
IZJOTSL,O,O,O,X
IZJOLTS,O,O,O,X
IZJOLST,O,O,O,X
IZJOSTL,O,O,O,X
IZJOSLT,O,O,O,X
IZSTLJO,O,X,X,O
IZSTLOJ,O,X,X,O
IZSTJLO,O,X,X,X
IZSTJOL,O,O,X,X
IZSTOLJ,O,X,O,X
IZSTOJL,O,X,X,X
IZSLTJO,O,O,X,O
IZSLTOJ,O,X,X,O
IZSLJTO,O,O,X,O
IZSLJOT,X,O,X,O
IZSLOTJ,X,X,X,O
IZSLOJT,X,X,X,O
IZSJTLO,O,X,X,O
IZSJTOL,O,O,O,X
IZSJLTO,O,O,X,O
IZSJLOT,X,O,X,O
IZSJOTL,O,O,O,X
IZSJOLT,O,O,O,X
IZSOTLJ,O,X,O,X
IZSOTJL,O,X,X,X
IZSOLTJ,O,X,O,X
IZSOLJT,O,X,O,X
IZSOJTL,O,X,O,X
IZSOJLT,O,X,O,X
IZOTLJS,O,X,O,X
IZOTLSJ,O,X,O,X
IZOTJLS,O,X,O,X
IZOTJSL,O,X,O,X
IZOTSLJ,O,X,O,X
IZOTSJL,O,X,X,X
IZOLTJS,O,X,O,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,X,O,X
IZOLJST,O,X,O,X
IZOLSTJ,O,X,O,X
IZOLSJT,O,X,O,X
IZOJTLS,O,X,O,X
IZOJTSL,O,X,O,X
IZOJLTS,O,X,O,X
IZOJLST,O,X,O,X
IZOJSTL,O,X,O,X
IZOJSLT,O,X,O,X
IZOSTLJ,O,X,O,X
IZOSTJL,O,X,X,X
IZOSLTJ,O,X,O,X
IZOSLJT,O,X,O,X
IZOSJTL,O,X,O,X
IZOSJLT,O,X,O,X
IOTLJSZ,O,O,O,X
IOTLJZS,O,O,O,X
IOTLSJZ,O,O,O,X
IOTLSZJ,O,X,O,X
IOTLZJS,O,X,O,X
IOTLZSJ,O,X,O,X
IOTJLSZ,O,O,O,X
IOTJLZS,O,O,O,X
IOTJSLZ,O,O,O,X
IOTJSZL,O,O,O,X
IOTJZLS,O,O,O,X
IOTJZSL,O,O,O,X
IOTSLJZ,O,X,O,X
IOTSLZJ,O,X,O,X
IOTSJLZ,O,O,O,X
IOTSJZL,O,O,O,X
IOTSZLJ,O,X,O,X
IOTSZJL,O,X,X,X
IOTZLJS,O,X,O,X
IOTZLSJ,O,X,O,X
IOTZJLS,O,X,O,X
IOTZJSL,O,X,O,X
IOTZSLJ,O,X,O,X
IOTZSJL,O,X,X,X
IOLTJSZ,O,O,O,X
IOLTJZS,O,O,O,X
IOLTSJZ,O,O,O,X
IOLTSZJ,O,X,O,X
IOLTZJS,O,X,O,X
IOLTZSJ,O,X,O,X
IOLJTSZ,X,O,O,X
IOLJTZS,X,O,O,X
IOLJSTZ,X,O,O,X
IOLJSZT,X,O,O,X
IOLJZTS,X,O,O,X
IOLJZST,X,O,O,X
IOLSTJZ,O,O,O,X
IOLSTZJ,O,X,O,X
IOLSJTZ,X,O,O,X
IOLSJZT,X,O,O,X
IOLSZTJ,O,X,O,X
IOLSZJT,O,X,O,X
IOLZTJS,O,X,O,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,X,O,X
IOLZJST,O,X,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,X,O,X
IOJTLSZ,O,O,O,X
IOJTLZS,O,O,O,X
IOJTSLZ,O,O,O,X
IOJTSZL,O,O,O,X
IOJTZLS,O,O,O,X
IOJTZSL,O,O,O,X
IOJLTSZ,X,O,O,X
IOJLTZS,X,O,O,X
IOJLSTZ,X,O,O,X
IOJLSZT,X,O,O,X
IOJLZTS,X,O,O,X
IOJLZST,X,O,O,X
IOJSTLZ,O,O,O,X
IOJSTZL,O,O,O,X
IOJSLTZ,X,O,O,X
IOJSLZT,X,O,O,X
IOJSZTL,O,O,O,X
IOJSZLT,O,O,O,X
IOJZTLS,O,O,O,X
IOJZTSL,O,O,O,X
IOJZLTS,O,O,O,X
IOJZLST,O,O,O,X
IOJZSTL,O,O,O,X
IOJZSLT,O,O,O,X
IOSTLJZ,O,X,O,X
IOSTLZJ,O,X,O,X
IOSTJLZ,O,O,O,X
IOSTJZL,O,O,O,X
IOSTZLJ,O,X,O,X
IOSTZJL,O,X,X,X
IOSLTJZ,O,O,O,X
IOSLTZJ,O,X,O,X
IOSLJTZ,X,O,O,X
IOSLJZT,X,O,O,X
IOSLZTJ,O,X,O,X
IOSLZJT,O,X,O,X
IOSJTLZ,O,O,O,X
IOSJTZL,O,O,O,X
IOSJLTZ,X,O,O,X
IOSJLZT,X,O,O,X
IOSJZTL,O,O,O,X
IOSJZLT,O,O,O,X
IOSZTLJ,O,X,O,X
IOSZTJL,O,X,X,X
IOSZLTJ,O,X,O,X
IOSZLJT,O,X,O,X
IOSZJTL,O,X,O,X
IOSZJLT,O,X,O,X
IOZTLJS,O,X,O,X
IOZTLSJ,O,X,O,X
IOZTJLS,O,X,O,X
IOZTJSL,O,X,O,X
IOZTSLJ,O,X,O,X
IOZTSJL,O,X,X,X
IOZLTJS,O,X,O,X
IOZLTSJ,O,X,O,X
IOZLJTS,O,X,O,X
IOZLJST,O,X,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,X,O,X
IOZJTLS,O,X,O,X
IOZJTSL,O,X,O,X
IOZJLTS,O,X,O,X
IOZJLST,O,X,O,X
IOZJSTL,O,X,O,X
IOZJSLT,O,X,O,X
IOZSTLJ,O,X,O,X
IOZSTJL,O,X,X,X
IOZSLTJ,O,X,O,X
IOZSLJT,O,X,O,X
IOZSJTL,O,X,O,X
IOZSJLT,O,X,O,X
LTIJSZO,O,O,X,O
LTIJSOZ,X,O,O,X
LTIJZSO,O,O,X,O
LTIJZOS,O,O,X,O
LTIJOSZ,X,O,O,X
LTIJOZS,X,O,O,X
LTISJZO,O,O,X,X
LTISJOZ,X,O,X,X
LTISZJO,O,O,X,O
LTISZOJ,O,X,X,O
LTISOJZ,X,O,O,X
LTISOZJ,O,X,O,X
LTIZJSO,O,O,X,O
LTIZJOS,O,O,X,O
LTIZSJO,O,O,X,O
LTIZSOJ,O,X,X,O
LTIZOJS,O,X,X,O
LTIZOSJ,O,X,X,O
LTIOJSZ,O,O,O,X
LTIOJZS,O,O,O,X
LTIOSJZ,O,O,O,X
LTIOSZJ,O,X,O,X
LTIOZJS,O,X,O,X
LTIOZSJ,O,X,O,X
LTJISZO,O,O,X,O
LTJISOZ,X,O,O,X
LTJIZSO,O,O,X,O
LTJIZOS,O,O,X,O
LTJIOSZ,X,O,O,X
LTJIOZS,X,O,O,X
LTJSIZO,O,O,X,O
LTJSIOZ,X,O,O,X
LTJSZIO,O,O,X,O
LTJSZOI,O,O,X,O
LTJSOIZ,X,O,O,X
LTJSOZI,X,O,O,O
LTJZISO,O,O,X,O
LTJZIOS,O,O,X,O
LTJZSIO,O,O,X,O
LTJZSOI,O,O,X,O
LTJZOIS,O,O,X,O
LTJZOSI,O,O,X,O
LTJOISZ,X,O,O,X
LTJOIZS,X,O,O,X
LTJOSIZ,X,O,O,X
LTJOSZI,X,O,O,O
LTJOZIS,X,O,O,O
LTJOZSI,X,O,O,O
LTSIJZO,O,O,X,X
LTSIJOZ,X,O,X,X
LTSIZJO,O,O,X,O
LTSIZOJ,O,X,X,O
LTSIOJZ,X,O,O,X
LTSIOZJ,O,X,O,X
LTSJIZO,O,O,X,O
LTSJIOZ,X,O,X,X
LTSJZIO,O,O,X,O
LTSJZOI,O,O,X,O
LTSJOIZ,X,O,X,X
LTSJOZI,X,O,X,O
LTSZIJO,O,O,X,O
LTSZIOJ,O,X,X,O
LTSZJIO,O,O,X,O
LTSZJOI,O,O,X,O
LTSZOIJ,O,X,X,O
LTSZOJI,O,O,X,O
LTSOIJZ,X,O,O,X
LTSOIZJ,O,X,O,X
LTSOJIZ,X,O,O,X
LTSOJZI,X,O,X,X
LTSOZIJ,O,X,O,O
LTSOZJI,O,O,X,O
LTZIJSO,O,O,X,O
LTZIJOS,O,O,X,O
LTZISJO,O,O,X,O
LTZISOJ,O,X,X,O
LTZIOJS,O,X,X,O
LTZIOSJ,O,X,X,O
LTZJISO,O,O,X,O
LTZJIOS,O,O,X,O
LTZJSIO,O,O,X,O
LTZJSOI,O,O,X,O
LTZJOIS,O,O,X,O
LTZJOSI,O,O,X,O
LTZSIJO,O,O,X,O
LTZSIOJ,O,X,X,O
LTZSJIO,O,O,X,O
LTZSJOI,O,O,X,O
LTZSOIJ,O,X,X,O
LTZSOJI,O,O,X,O
LTZOIJS,O,X,X,O
LTZOISJ,O,X,X,O
LTZOJIS,O,O,X,O
LTZOJSI,O,O,X,O
LTZOSIJ,O,X,X,O
LTZOSJI,O,O,X,O
LTOIJSZ,O,O,O,X
LTOIJZS,O,O,O,X
LTOISJZ,O,O,O,X
LTOISZJ,O,X,O,X
LTOIZJS,O,X,O,X
LTOIZSJ,O,X,O,X
LTOJISZ,O,O,O,X
LTOJIZS,O,O,O,X
LTOJSIZ,O,O,O,X
LTOJSZI,O,O,O,O
LTOJZIS,O,O,O,O
LTOJZSI,O,O,O,O
LTOSIJZ,O,O,O,X
LTOSIZJ,O,X,O,X
LTOSJIZ,O,O,O,X
LTOSJZI,O,O,O,X
LTOSZIJ,O,X,O,O
LTOSZJI,O,O,X,O
LTOZIJS,O,X,O,O
LTOZISJ,O,X,O,O
LTOZJIS,O,O,O,O
LTOZJSI,O,O,O,O
LTOZSIJ,O,X,O,O
LTOZSJI,O,O,X,O
LITJSZO,O,O,X,O
LITJSOZ,X,O,O,X
LITJZSO,O,O,X,O
LITJZOS,O,O,X,O
LITJOSZ,X,O,O,X
LITJOZS,X,O,O,X
LITSJZO,O,O,X,X
LITSJOZ,X,O,X,X
LITSZJO,O,O,X,O
LITSZOJ,O,X,X,O
LITSOJZ,X,O,O,X
LITSOZJ,O,X,O,X
LITZJSO,O,O,X,O
LITZJOS,O,O,X,O
LITZSJO,O,O,X,O
LITZSOJ,O,X,X,O
LITZOJS,O,X,X,O
LITZOSJ,O,X,X,O
LITOJSZ,O,O,O,X
LITOJZS,O,O,O,X
LITOSJZ,O,O,O,X
LITOSZJ,O,X,O,X
LITOZJS,O,X,O,X
LITOZSJ,O,X,O,X
LIJTSZO,X,O,X,O
LIJTSOZ,X,O,O,X
LIJTZSO,X,O,X,O
LIJTZOS,X,O,X,O
LIJTOSZ,X,O,O,X
LIJTOZS,X,O,O,X
LIJSTZO,X,O,X,O
LIJSTOZ,X,O,O,X
LIJSZTO,X,O,X,O
LIJSZOT,X,O,X,O
LIJSOTZ,X,O,O,X
LIJSOZT,X,O,O,X
LIJZTSO,X,O,X,O
LIJZTOS,X,O,X,O
LIJZSTO,X,O,X,O
LIJZSOT,X,O,X,O
LIJZOTS,X,O,X,O
LIJZOST,X,O,X,O
LIJOTSZ,X,O,O,X
LIJOTZS,X,O,O,X
LIJOSTZ,X,O,O,X
LIJOSZT,X,O,O,X
LIJOZTS,X,O,O,X
LIJOZST,X,O,O,X
LISTJZO,O,O,X,X
LISTJOZ,X,O,X,X
LISTZJO,O,O,X,O
LISTZOJ,O,X,X,O
LISTOJZ,X,O,O,X
LISTOZJ,O,X,O,X
LISJTZO,X,O,X,O
LISJTOZ,X,O,O,X
LISJZTO,X,O,X,O
LISJZOT,X,O,X,O
LISJOTZ,X,O,O,X
LISJOZT,X,O,O,X
LISZTJO,O,O,X,O
LISZTOJ,O,X,X,O
LISZJTO,O,O,X,O
LISZJOT,X,O,X,O
LISZOTJ,X,X,X,O
LISZOJT,X,X,X,O
LISOTJZ,X,O,O,X
LISOTZJ,X,X,O,X
LISOJTZ,X,O,O,X
LISOJZT,X,O,O,X
LISOZTJ,X,X,O,X
LISOZJT,X,X,O,X
LIZTJSO,O,O,X,O
LIZTJOS,O,O,X,O
LIZTSJO,O,O,X,O
LIZTSOJ,O,X,X,O
LIZTOJS,O,X,X,O
LIZTOSJ,O,X,X,O
LIZJTSO,O,O,X,O
LIZJTOS,O,O,X,O
LIZJSTO,O,O,X,O
LIZJSOT,X,O,X,O
LIZJOTS,O,O,X,O
LIZJOST,O,O,X,O
LIZSTJO,O,O,X,O
LIZSTOJ,O,X,X,O
LIZSJTO,O,O,X,O
LIZSJOT,X,O,X,O
LIZSOTJ,X,X,X,O
LIZSOJT,X,X,X,O
LIZOTJS,O,X,X,O
LIZOTSJ,O,X,X,O
LIZOJTS,O,X,X,O
LIZOJST,O,X,X,O
LIZOSTJ,O,X,X,O
LIZOSJT,O,X,X,O
LIOTJSZ,O,O,O,X
LIOTJZS,O,O,O,X
LIOTSJZ,O,O,O,X
LIOTSZJ,O,X,O,X
LIOTZJS,O,X,O,X
LIOTZSJ,O,X,O,X
LIOJTSZ,X,O,O,X
LIOJTZS,X,O,O,X
LIOJSTZ,X,O,O,X
LIOJSZT,X,O,O,X
LIOJZTS,X,O,O,X
LIOJZST,X,O,O,X
LIOSTJZ,O,O,O,X
LIOSTZJ,O,X,O,X
LIOSJTZ,X,O,O,X
LIOSJZT,X,O,O,X
LIOSZTJ,O,X,O,X
LIOSZJT,O,X,O,X
LIOZTJS,O,X,O,X
LIOZTSJ,O,X,O,X
LIOZJTS,O,X,O,X
LIOZJST,O,X,O,X
LIOZSTJ,O,X,O,X
LIOZSJT,O,X,O,X
LJTISZO,X,O,X,O
LJTISOZ,X,O,O,X
LJTIZSO,X,O,X,O
LJTIZOS,X,O,X,O
LJTIOSZ,X,O,O,X
LJTIOZS,X,O,O,X
LJTSIZO,X,O,X,O
