sequence,v115@9gA8IeA8IeA8DeB8CeA8BeF8KeRAJvhFcmB/nBGlB6?tBFoBzpB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFThB/nBOqB6?tB0qBFtB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFThB/nB0lB6?tBOqBFtB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFcmBTiBOqBX?oBllB6tB,v115@9gA8IeA8IeA8DeB8CeA8BeF8Ke5EJvhFcmBTiBOqB6?tBlqBXtB,v115@9gA8IeA8IeA8DeB8CeA8BeF8KelAJvhFcmBTiBeoB5?oBCqBfqB,v115@9gA8IeA8IeA8DeB8CeA8BeF8KeRAJvhFcmBTiBWqBV?tB6tBXqB
TZOSJLI,O,X,X,X,X,X,O
TOILJSZ,X,O,X,X,X,X,X
TOILJZS,X,X,X,X,O,X,X
TOILSJZ,X,O,X,X,X,X,X
TOILSZJ,X,X,O,X,X,X,X
TOILZJS,X,X,X,X,O,X,X
TOILZSJ,X,X,O,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X
TOIJLZS,X,X,X,X,O,X,X
TOIJSLZ,X,O,X,X,X,X,X
TOIJSZL,X,X,X,O,X,X,X
TOIJZLS,X,X,X,X,O,X,O
TOIJZSL,X,X,X,O,X,X,O
TOISLJZ,X,O,X,X,X,X,X
TOISLZJ,X,X,O,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X
TOISJZL,X,X,X,O,X,X,X
TOISZLJ,X,X,O,X,X,X,X
TOISZJL,X,X,X,O,X,X,X
TOIZLJS,X,X,X,X,O,X,X
TOIZLSJ,X,X,O,X,X,X,X
TOIZJLS,X,X,X,X,O,X,O
TOIZJSL,X,X,X,O,X,X,O
TOIZSLJ,X,X,O,X,X,X,X
TOIZSJL,X,X,X,O,X,X,X
TOLIJSZ,X,O,X,X,X,X,X
TOLIJZS,X,X,X,X,O,X,X
TOLISJZ,X,O,X,X,X,X,X
TOLISZJ,X,X,O,X,X,X,X
TOLIZJS,X,X,X,X,O,X,X
TOLIZSJ,X,X,O,X,X,X,X
TOLJISZ,X,O,X,X,X,X,X
TOLJIZS,X,X,X,X,O,O,X
TOLJSIZ,X,O,X,X,X,X,X
TOLJSZI,O,X,X,X,X,X,X
TOLJZIS,O,X,X,X,O,O,O
TOLJZSI,O,X,X,X,X,X,O
TOLSIJZ,X,O,X,X,X,X,X
TOLSIZJ,X,X,O,X,X,X,X
TOLSJIZ,X,O,X,X,X,X,X
TOLSJZI,O,X,X,X,X,X,X
TOLSZIJ,X,X,O,X,X,X,X
TOLSZJI,O,X,X,X,X,X,X
TOLZIJS,X,X,X,X,O,X,X
TOLZISJ,X,X,O,X,X,X,X
TOLZJIS,O,X,X,X,O,O,O
TOLZJSI,O,X,X,X,X,X,O
TOLZSIJ,X,X,O,X,X,X,X
TOLZSJI,O,X,X,X,X,X,X
TOJILSZ,X,O,X,X,X,X,X
TOJILZS,X,X,X,X,O,O,X
TOJISLZ,X,O,X,X,X,X,X
TOJISZL,X,X,X,O,X,X,X
TOJIZLS,X,X,X,X,O,O,O
TOJIZSL,X,X,X,O,X,X,O
TOJLISZ,X,O,X,X,X,X,X
TOJLIZS,X,X,X,X,O,O,X
TOJLSIZ,X,O,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X,X
TOJLZIS,O,X,X,X,O,O,O
TOJLZSI,O,X,X,X,X,X,O
TOJSILZ,X,O,X,X,X,X,X
TOJSIZL,X,X,X,O,X,X,X
TOJSLIZ,X,O,X,X,X,X,X
TOJSLZI,O,X,X,X,X,X,X
TOJSZIL,O,X,X,O,X,X,O
TOJSZLI,O,X,X,X,X,X,O
TOJZILS,O,X,X,X,O,O,O
TOJZISL,O,X,X,O,X,X,O
TOJZLIS,O,X,X,X,O,O,O
TOJZLSI,O,X,X,X,X,X,O
TOJZSIL,O,X,X,O,X,X,O
TOJZSLI,O,X,X,X,X,X,O
TOSILJZ,X,O,X,X,X,X,X
TOSILZJ,X,X,O,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X
TOSIJZL,X,X,X,O,X,X,X
TOSIZLJ,X,X,O,X,X,X,X
TOSIZJL,X,X,X,O,X,X,X
TOSLIJZ,X,O,X,X,X,X,X
TOSLIZJ,X,X,O,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X
TOSLJZI,O,X,X,X,X,X,X
TOSLZIJ,X,X,O,X,X,X,X
TOSLZJI,O,X,X,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X
TOSJIZL,X,X,X,O,X,X,X
TOSJLIZ,X,O,X,X,X,X,X
TOSJLZI,O,X,X,X,X,X,X
TOSJZIL,O,X,X,O,X,X,O
TOSJZLI,O,X,X,X,X,X,O
TOSZILJ,X,X,O,X,X,X,X
TOSZIJL,X,X,X,O,X,X,X
TOSZLIJ,X,X,O,X,X,X,X
TOSZLJI,O,X,X,X,X,X,X
TOSZJIL,O,X,X,O,X,X,O
TOSZJLI,O,X,X,X,X,X,O
TOZILJS,X,X,X,X,O,X,X
TOZILSJ,X,X,O,X,X,X,X
TOZIJLS,X,X,X,X,O,X,O
TOZIJSL,X,X,X,O,X,X,O
TOZISLJ,X,X,O,X,X,X,X
TOZISJL,X,X,X,O,X,X,X
TOZLIJS,X,X,X,X,O,X,X
TOZLISJ,X,X,O,X,X,X,X
TOZLJIS,O,X,X,X,O,O,O
TOZLJSI,O,X,X,X,X,X,O
TOZLSIJ,X,X,O,X,X,X,X
TOZLSJI,O,X,X,X,X,X,X
TOZJILS,O,X,X,X,O,O,O
TOZJISL,O,X,X,O,X,X,O
TOZJLIS,O,X,X,X,O,O,O
TOZJLSI,O,X,X,X,X,X,O
TOZJSIL,O,X,X,O,X,X,O
TOZJSLI,O,X,X,X,X,X,O
TOZSILJ,X,X,O,X,X,X,X
TOZSIJL,X,X,X,O,X,X,X
TOZSLIJ,X,X,O,X,X,X,X
TOZSLJI,O,X,X,X,X,X,X
TOZSJIL,O,X,X,O,X,X,O
TOZSJLI,O,X,X,X,X,X,O
ITLJSZO,X,X,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,X
ITLJZSO,X,X,X,X,X,O,X
ITLJZOS,X,X,X,X,O,O,X
ITLJOSZ,X,O,X,X,X,X,X
ITLJOZS,X,X,X,X,O,O,X
ITLSJZO,X,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X
ITLSZJO,X,X,X,X,X,X,X
ITLSZOJ,X,X,O,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X
ITLSOZJ,X,X,O,X,X,X,X
ITLZJSO,X,X,X,X,X,O,X
ITLZJOS,X,X,X,X,O,O,X
ITLZSJO,X,X,X,X,X,X,X
ITLZSOJ,X,X,O,X,X,X,X
ITLZOJS,X,X,X,X,O,X,X
ITLZOSJ,X,X,O,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X
ITLOJZS,X,X,X,X,O,X,X
ITLOSJZ,X,O,X,X,X,X,X
ITLOSZJ,X,X,O,X,X,X,X
ITLOZJS,X,X,X,X,O,X,X
ITLOZSJ,X,X,O,X,X,X,X
ITJLSZO,X,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X
ITJLZSO,X,X,X,X,X,O,X
ITJLZOS,X,X,X,X,O,O,X
ITJLOSZ,X,O,X,X,X,X,X
ITJLOZS,X,X,X,X,O,O,X
ITJSLZO,X,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,X
ITJSZLO,X,X,X,X,X,X,X
ITJSZOL,X,X,X,O,X,X,X
ITJSOLZ,X,O,X,X,X,X,X
ITJSOZL,X,X,X,O,X,X,X
ITJZLSO,X,X,X,X,X,O,O
ITJZLOS,X,X,X,X,O,O,O
ITJZSLO,X,X,X,X,X,X,O
ITJZSOL,X,X,X,O,X,X,O
ITJZOLS,X,X,X,X,O,O,O
ITJZOSL,X,X,X,O,X,X,O
ITJOLSZ,X,O,X,X,X,X,X
ITJOLZS,X,X,X,X,O,O,X
ITJOSLZ,X,O,X,X,X,X,X
ITJOSZL,X,X,X,O,X,X,X
ITJOZLS,X,X,X,X,O,O,O
ITJOZSL,X,X,X,O,X,X,O
ITSLJZO,X,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X
ITSLZJO,X,X,X,X,X,X,X
ITSLZOJ,X,X,O,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X
ITSLOZJ,X,X,O,X,X,X,X
ITSJLZO,X,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X
ITSJZLO,X,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,X
ITSJOLZ,X,O,X,X,X,X,X
ITSJOZL,X,X,X,O,X,X,X
ITSZLJO,X,X,X,X,X,X,X
ITSZLOJ,X,X,O,X,X,X,X
ITSZJLO,X,X,X,X,X,X,X
ITSZJOL,X,X,X,O,X,X,X
ITSZOLJ,X,X,O,X,X,X,X
ITSZOJL,X,X,X,O,X,X,X
ITSOLJZ,X,O,X,X,X,X,X
ITSOLZJ,X,X,O,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X
ITSOJZL,X,X,X,O,X,X,X
ITSOZLJ,X,X,O,X,X,X,X
ITSOZJL,X,X,X,O,X,X,X
ITZLJSO,X,X,X,X,X,O,X
ITZLJOS,X,X,X,X,O,O,X
ITZLSJO,X,X,X,X,X,X,X
ITZLSOJ,X,X,O,X,X,X,X
ITZLOJS,X,X,X,X,O,X,X
ITZLOSJ,X,X,O,X,X,X,X
ITZJLSO,X,X,X,X,X,O,O
ITZJLOS,X,X,X,X,O,O,O
ITZJSLO,X,X,X,X,X,X,O
ITZJSOL,X,X,X,O,X,X,O
ITZJOLS,X,X,X,X,O,O,O
ITZJOSL,X,X,X,O,X,X,O
ITZSLJO,X,X,X,X,X,X,X
ITZSLOJ,X,X,O,X,X,X,X
ITZSJLO,X,X,X,X,X,X,X
ITZSJOL,X,X,X,O,X,X,X
ITZSOLJ,X,X,O,X,X,X,X
ITZSOJL,X,X,X,O,X,X,X
ITZOLJS,X,X,X,X,O,X,X
ITZOLSJ,X,X,O,X,X,X,X
ITZOJLS,X,X,X,X,O,X,O
ITZOJSL,X,X,X,O,X,X,O
ITZOSLJ,X,X,O,X,X,X,X
ITZOSJL,X,X,X,O,X,X,X
ITOLJSZ,X,O,X,X,X,X,X
ITOLJZS,X,X,X,X,O,X,X
ITOLSJZ,X,O,X,X,X,X,X
ITOLSZJ,X,X,O,X,X,X,X
ITOLZJS,X,X,X,X,O,X,X
ITOLZSJ,X,X,O,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X
ITOJLZS,X,X,X,X,O,X,X
ITOJSLZ,X,O,X,X,X,X,X
ITOJSZL,X,X,X,O,X,X,X
ITOJZLS,X,X,X,X,O,X,O
ITOJZSL,X,X,X,O,X,X,O
ITOSLJZ,X,O,X,X,X,X,X
ITOSLZJ,X,X,O,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X
ITOSJZL,X,X,X,O,X,X,X
ITOSZLJ,X,X,O,X,X,X,X
ITOSZJL,X,X,X,O,X,X,X
ITOZLJS,X,X,X,X,O,X,X
ITOZLSJ,X,X,O,X,X,X,X
ITOZJLS,X,X,X,X,O,X,O
ITOZJSL,X,X,X,O,X,X,O
ITOZSLJ,X,X,O,X,X,X,X
ITOZSJL,X,X,X,O,X,X,X
ILTJSZO,X,X,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,X,X
ILTJZSO,X,X,X,X,X,O,X
ILTJZOS,X,X,X,X,O,O,X
ILTJOSZ,X,O,X,X,X,X,X
ILTJOZS,X,X,X,X,O,O,X
ILTSJZO,X,X,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X
ILTSZJO,X,X,X,X,X,X,X
ILTSZOJ,X,X,O,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X
ILTSOZJ,X,X,O,X,X,X,X
ILTZJSO,X,X,X,X,X,O,X
ILTZJOS,X,X,X,X,O,O,X
ILTZSJO,X,X,X,X,X,X,X
ILTZSOJ,X,X,O,X,X,X,X
ILTZOJS,X,X,X,X,O,X,X
ILTZOSJ,X,X,O,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X
ILTOJZS,X,X,X,X,O,X,X
ILTOSJZ,X,O,X,X,X,X,X
ILTOSZJ,X,X,O,X,X,X,X
ILTOZJS,X,X,X,X,O,X,X
ILTOZSJ,X,X,O,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X
ILJTZSO,X,X,X,X,X,O,X
ILJTZOS,X,X,X,X,O,O,X
ILJTOSZ,X,O,X,X,X,X,X
ILJTOZS,X,X,X,X,O,O,X
ILJSTZO,X,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X
ILJSZTO,O,X,X,X,X,O,X
ILJSZOT,O,O,O,O,O,O,X
ILJSOTZ,X,O,X,X,X,X,X
ILJSOZT,X,O,O,O,O,O,X
ILJZTSO,O,X,X,X,X,O,X
ILJZTOS,X,X,X,X,O,O,X
ILJZSTO,O,X,X,X,X,O,X
ILJZSOT,O,O,O,O,O,O,X
ILJZOTS,X,X,X,X,O,O,X
ILJZOST,O,O,O,O,O,O,X
ILJOTSZ,X,O,X,X,X,X,X
ILJOTZS,X,X,X,X,O,O,X
ILJOSTZ,X,O,X,X,X,X,X
ILJOSZT,X,O,O,O,O,O,X
ILJOZTS,X,X,X,X,O,O,X
ILJOZST,X,O,O,O,O,O,X
ILSTJZO,X,X,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X
ILSTZJO,X,X,X,X,X,X,X
ILSTZOJ,X,X,O,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X
ILSTOZJ,X,X,O,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X
ILSJZTO,O,X,X,X,X,O,X
ILSJZOT,O,O,O,O,O,O,X
ILSJOTZ,X,O,X,X,X,X,X
ILSJOZT,X,O,O,O,O,O,X
ILSZTJO,X,X,X,X,X,X,X
ILSZTOJ,X,X,O,X,X,X,X
ILSZJTO,O,X,X,X,X,O,X
ILSZJOT,O,O,O,O,O,O,X
ILSZOTJ,X,X,O,X,X,X,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,X,O,X,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X
ILSOJZT,O,O,O,O,O,X,X
ILSOZTJ,X,X,O,X,X,X,X
ILSOZJT,O,O,O,O,O,X,X
ILZTJSO,X,X,X,X,X,O,X
ILZTJOS,X,X,X,X,O,O,X
ILZTSJO,X,X,X,X,X,X,X
ILZTSOJ,X,X,O,X,X,X,X
ILZTOJS,X,X,X,X,O,X,X
ILZTOSJ,X,X,O,X,X,X,X
ILZJTSO,O,X,X,X,X,O,X
ILZJTOS,X,X,X,X,O,O,X
ILZJSTO,O,X,X,X,X,O,X
ILZJSOT,O,O,O,O,O,O,X
ILZJOTS,X,X,X,X,O,O,X
ILZJOST,O,O,O,O,O,O,X
ILZSTJO,X,X,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X
ILZSJTO,O,X,X,X,X,O,X
ILZSJOT,O,O,O,O,O,O,X
ILZSOTJ,X,X,O,X,X,X,X
ILZSOJT,O,O,O,O,O,X,X
ILZOTJS,X,X,X,X,O,X,X
ILZOTSJ,X,X,O,X,X,X,X
ILZOJTS,O,X,X,X,O,O,X
ILZOJST,O,O,O,O,O,O,X
ILZOSTJ,X,X,O,X,X,X,X
ILZOSJT,O,O,O,O,O,X,X
ILOTJSZ,X,O,X,X,X,X,X
ILOTJZS,X,X,X,X,O,X,X
ILOTSJZ,X,O,X,X,X,X,X
ILOTSZJ,X,X,O,X,X,X,X
ILOTZJS,X,X,X,X,O,X,X
ILOTZSJ,X,X,O,X,X,X,X
ILOJTSZ,X,O,X,X,X,X,X
ILOJTZS,X,X,X,X,O,O,X
ILOJSTZ,X,O,X,X,X,X,X
ILOJSZT,O,O,O,O,O,O,X
ILOJZTS,O,X,X,X,O,O,X
ILOJZST,O,O,O,O,O,O,X
ILOSTJZ,X,O,X,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,X
ILOSJZT,O,O,O,O,O,X,X
ILOSZTJ,X,X,O,X,X,X,X
ILOSZJT,O,O,O,O,O,X,X
ILOZTJS,X,X,X,X,O,X,X
ILOZTSJ,X,X,O,X,X,X,X
ILOZJTS,O,X,X,X,O,O,X
ILOZJST,O,O,O,O,O,O,X
ILOZSTJ,X,X,O,X,X,X,X
ILOZSJT,O,O,O,O,O,X,X
IJTLSZO,X,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X
IJTLZSO,X,X,X,X,X,O,X
IJTLZOS,X,X,X,X,O,O,X
IJTLOSZ,X,O,X,X,X,X,X
IJTLOZS,X,X,X,X,O,O,X
IJTSLZO,X,X,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X
IJTSZLO,X,X,X,X,X,X,X
IJTSZOL,X,X,X,O,X,X,X
IJTSOLZ,X,O,X,X,X,X,X
IJTSOZL,X,X,X,O,X,X,X
IJTZLSO,X,X,X,X,X,O,O
IJTZLOS,X,X,X,X,O,O,O
IJTZSLO,X,X,X,X,X,X,O
IJTZSOL,X,X,X,O,X,X,O
IJTZOLS,X,X,X,X,O,O,O
IJTZOSL,X,X,X,O,X,X,O
IJTOLSZ,X,O,X,X,X,X,X
IJTOLZS,X,X,X,X,O,O,X
IJTOSLZ,X,O,X,X,X,X,X
IJTOSZL,X,X,X,O,X,X,X
IJTOZLS,X,X,X,X,O,O,O
IJTOZSL,X,X,X,O,X,X,O
IJLTSZO,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X
IJLTZSO,X,X,X,X,X,O,X
IJLTZOS,X,X,X,X,O,O,X
IJLTOSZ,X,O,X,X,X,X,X
IJLTOZS,X,X,X,X,O,O,X
IJLSTZO,X,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X
IJLSZTO,O,X,X,X,X,O,X
IJLSZOT,O,O,O,O,O,O,X
IJLSOTZ,X,O,X,X,X,X,X
IJLSOZT,X,O,O,O,O,O,X
IJLZTSO,O,X,X,X,X,O,X
IJLZTOS,X,X,X,X,O,O,X
IJLZSTO,O,X,X,X,X,O,X
IJLZSOT,O,O,O,O,O,O,X
IJLZOTS,X,X,X,X,O,O,X
IJLZOST,O,O,O,O,O,O,X
IJLOTSZ,X,O,X,X,X,X,X
IJLOTZS,X,X,X,X,O,O,X
IJLOSTZ,X,O,X,X,X,X,X
IJLOSZT,X,O,O,O,O,O,X
IJLOZTS,X,X,X,X,O,O,X
IJLOZST,X,O,O,O,O,O,X
IJSTLZO,X,X,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,X,X
IJSTZLO,X,X,X,X,X,X,X
IJSTZOL,X,X,X,O,X,X,X
IJSTOLZ,X,O,X,X,X,X,X
IJSTOZL,X,X,X,O,X,X,X
IJSLTZO,X,X,X,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X
IJSLZTO,O,X,X,X,X,O,X
IJSLZOT,O,O,O,O,O,O,X
IJSLOTZ,X,O,X,X,X,X,X
IJSLOZT,X,O,O,O,O,O,X
IJSZTLO,O,X,X,X,X,X,X
IJSZTOL,X,X,X,O,X,X,X
IJSZLTO,O,X,X,X,X,O,X
IJSZLOT,O,O,O,O,O,O,X
IJSZOTL,X,X,X,O,X,X,X
IJSZOLT,O,O,O,O,O,O,X
IJSOTLZ,X,O,X,X,X,X,X
IJSOTZL,X,X,X,O,X,X,X
IJSOLTZ,X,O,X,X,X,X,X
IJSOLZT,X,O,O,O,O,O,X
IJSOZTL,X,X,X,O,X,X,X
IJSOZLT,X,O,O,O,O,O,X
IJZTLSO,O,X,X,X,X,O,O
IJZTLOS,X,X,X,X,O,O,O
IJZTSLO,O,X,X,X,X,X,O
IJZTSOL,X,X,X,O,X,X,O
IJZTOLS,X,X,X,X,O,O,O
IJZTOSL,X,X,X,O,X,X,O
IJZLTSO,O,X,X,X,X,O,O
IJZLTOS,X,X,X,X,O,O,O
IJZLSTO,O,X,X,X,X,O,X
IJZLSOT,O,O,O,O,O,O,X
IJZLOTS,X,X,X,X,O,O,O
IJZLOST,O,O,O,O,O,O,X
IJZSTLO,O,X,X,X,X,X,O
IJZSTOL,X,X,X,O,X,X,O
IJZSLTO,O,X,X,X,X,O,X
IJZSLOT,O,O,O,O,O,O,X
IJZSOTL,X,X,X,O,X,X,O
IJZSOLT,O,O,O,O,O,O,X
IJZOTLS,X,X,X,X,O,O,O
IJZOTSL,X,X,X,O,X,X,O
IJZOLTS,X,X,X,X,O,O,O
IJZOLST,O,O,O,O,O,O,X
IJZOSTL,X,X,X,O,X,X,O
IJZOSLT,O,O,O,O,O,O,X
IJOTLSZ,X,O,X,X,X,X,X
IJOTLZS,X,X,X,X,O,O,X
IJOTSLZ,X,O,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X
IJOTZLS,X,X,X,X,O,O,O
IJOTZSL,X,X,X,O,X,X,O
IJOLTSZ,X,O,X,X,X,X,X
IJOLTZS,X,X,X,X,O,O,X
IJOLSTZ,X,O,X,X,X,X,X
IJOLSZT,X,O,O,O,O,O,X
IJOLZTS,X,X,X,X,O,O,X
IJOLZST,X,O,O,O,O,O,X
IJOSTLZ,X,O,X,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X
IJOSLTZ,X,O,X,X,X,X,X
IJOSLZT,X,O,O,O,O,O,X
IJOSZTL,X,X,X,O,X,X,X
IJOSZLT,X,O,O,O,O,O,X
IJOZTLS,X,X,X,X,O,O,O
IJOZTSL,X,X,X,O,X,X,O
IJOZLTS,X,X,X,X,O,O,O
IJOZLST,X,O,O,O,O,O,X
IJOZSTL,X,X,X,O,X,X,O
IJOZSLT,X,O,O,O,O,O,X
ISTLJZO,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X
ISTLZJO,X,X,X,X,X,X,X
ISTLZOJ,X,X,O,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X
ISTLOZJ,X,X,O,X,X,X,X
ISTJLZO,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X
ISTJZLO,X,X,X,X,X,X,X
ISTJZOL,X,X,X,O,X,X,X
ISTJOLZ,X,O,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X
ISTZLJO,X,X,X,X,X,X,X
ISTZLOJ,X,X,O,X,X,X,X
ISTZJLO,X,X,X,X,X,X,X
ISTZJOL,X,X,X,O,X,X,X
ISTZOLJ,X,X,O,X,X,X,X
ISTZOJL,X,X,X,O,X,X,X
ISTOLJZ,X,O,X,X,X,X,X
ISTOLZJ,X,X,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,X
ISTOZLJ,X,X,O,X,X,X,X
ISTOZJL,X,X,X,O,X,X,X
ISLTJZO,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X
ISLTZJO,X,X,X,X,X,X,X
ISLTZOJ,X,X,O,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,X,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X
ISLJZTO,O,X,X,X,X,O,X
ISLJZOT,O,O,O,O,O,O,X
ISLJOTZ,X,O,X,X,X,X,X
ISLJOZT,X,O,O,O,O,O,X
ISLZTJO,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,X
ISLZJTO,O,X,X,X,X,O,X
ISLZJOT,O,O,O,O,O,O,X
ISLZOTJ,X,X,O,X,X,X,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,X,X,O,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X
ISLOJZT,O,O,O,O,O,X,X
ISLOZTJ,X,X,O,X,X,X,X
ISLOZJT,O,O,O,O,O,X,X
ISJTLZO,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X
ISJTZLO,X,X,X,X,X,X,X
ISJTZOL,X,X,X,O,X,X,X
ISJTOLZ,X,O,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X
ISJLTZO,X,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X
ISJLZTO,O,X,X,X,X,O,X
ISJLZOT,O,O,O,O,O,O,X
ISJLOTZ,X,O,X,X,X,X,X
ISJLOZT,X,O,O,O,O,O,X
ISJZTLO,O,X,X,X,X,X,X
ISJZTOL,X,X,X,O,X,X,X
ISJZLTO,O,X,X,X,X,O,X
ISJZLOT,O,O,O,O,O,O,X
ISJZOTL,X,X,X,O,X,X,X
ISJZOLT,O,O,O,O,O,O,X
ISJOTLZ,X,O,X,X,X,X,X
ISJOTZL,X,X,X,O,X,X,X
ISJOLTZ,X,O,X,X,X,X,X
ISJOLZT,X,O,O,O,O,O,X
ISJOZTL,X,X,X,O,X,X,X
ISJOZLT,X,O,O,O,O,O,X
ISZTLJO,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,X,X,X,X
ISZTJLO,X,X,X,X,X,X,X
ISZTJOL,X,X,X,O,X,X,X
ISZTOLJ,X,X,O,X,X,X,X
ISZTOJL,X,X,X,O,X,X,X
ISZLTJO,X,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,X,X
ISZLJTO,O,X,X,X,X,O,X
ISZLJOT,O,O,O,O,O,O,X
ISZLOTJ,X,X,O,X,X,X,X
ISZLOJT,O,O,O,O,O,X,X
ISZJTLO,O,X,X,X,X,X,X
ISZJTOL,X,X,X,O,X,X,X
ISZJLTO,O,X,X,X,X,O,X
ISZJLOT,O,O,O,O,O,O,X
ISZJOTL,X,X,X,O,X,X,X
ISZJOLT,O,O,O,O,O,O,X
ISZOTLJ,X,X,O,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X
ISZOLTJ,X,X,O,X,X,X,X
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,O,X,X,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,X,O,X,X,X,X,X
ISOTLZJ,X,X,O,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X
ISOTZLJ,X,X,O,X,X,X,X
ISOTZJL,X,X,X,O,X,X,X
ISOLTJZ,X,O,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X
ISOLJZT,O,O,O,O,O,X,X
ISOLZTJ,X,X,O,X,X,X,X
ISOLZJT,O,O,O,O,O,X,X
ISOJTLZ,X,O,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X
ISOJLTZ,X,O,X,X,X,X,X
ISOJLZT,O,O,O,O,O,X,X
ISOJZTL,O,X,X,O,X,X,X
ISOJZLT,O,O,O,O,O,X,X
ISOZTLJ,X,X,O,X,X,X,X
ISOZTJL,X,X,X,O,X,X,X
ISOZLTJ,X,X,O,X,X,X,X
ISOZLJT,O,O,O,O,O,X,X
ISOZJTL,O,X,X,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X
IZTLJSO,X,X,X,X,X,O,X
IZTLJOS,X,X,X,X,O,O,X
IZTLSJO,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,X,X,X,X
IZTLOJS,X,X,X,X,O,X,X
IZTLOSJ,X,X,O,X,X,X,X
IZTJLSO,X,X,X,X,X,O,O
IZTJLOS,X,X,X,X,O,O,O
IZTJSLO,X,X,X,X,X,X,O
