sequence,v115@GhA8BeA8FeD8FeF8OeT/IvhFlgBRiBXmBinBWxBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhF0gBlhBaoBRrBWyBXsB,v115@GhA8BeA8FeD8FeF8OeT/IvhFxgB2nBCmBlrB3sBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhFlgB3hBmnBRrBSxBUtB,v115@GhA8BeA8FeD8FeF8OeT/IvhF6lB2mBRiBlrBUtB3sB,v115@GhA8BeA8FeD8FeF8OeT/IvhF6lB2mBRiB3nB0rBVyB,v115@GhA8BeA8FeD8FeF8OeT/IvhF0gBxhBFnBGrB3sBKtB
TIJSZLO,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X
TIJSOLZ,X,O,O,O,O,X,X
TIJSOZL,X,O,X,X,X,X,X
TIJZLSO,X,O,X,X,O,X,X
TIJZLOS,X,O,X,X,O,X,X
TIJZSLO,X,O,X,X,O,X,X
TIJZSOL,X,O,X,X,O,X,X
TIJZOLS,X,O,X,X,O,X,X
TIJZOSL,X,O,X,X,O,X,X
TIJOLSZ,O,O,O,O,O,X,X
TIJOLZS,O,O,O,O,O,X,X
TIJOSLZ,X,O,O,O,O,X,X
TIJOSZL,X,O,X,X,X,X,X
TIJOZLS,X,O,X,X,O,X,X
TIJOZSL,X,O,X,X,O,X,X
TISLJZO,X,X,O,O,X,O,X
TISLJOZ,X,X,O,O,X,O,X
TISLZJO,X,X,O,O,X,O,X
TISLZOJ,X,X,O,O,X,O,X
TISLOJZ,O,X,O,O,X,O,X
TISLOZJ,O,X,O,O,X,O,X
TISJLZO,O,O,O,O,X,O,X
TISJLOZ,O,O,O,O,X,O,X
TISJZLO,X,O,X,X,X,O,X
TISJZOL,O,O,X,X,X,O,X
TISJOLZ,O,O,O,O,X,O,X
TISJOZL,O,O,X,X,X,O,X
TISZLJO,O,X,O,O,X,O,X
TISZLOJ,O,X,O,O,X,O,X
TISZJLO,X,O,X,X,X,O,X
TISZJOL,O,O,X,X,X,O,X
TISZOLJ,O,X,O,O,X,O,X
TISZOJL,O,O,X,X,X,O,X
TISOLJZ,O,X,O,O,X,O,X
TISOLZJ,O,X,O,O,X,O,X
TISOJLZ,O,O,O,O,X,O,X
TISOJZL,O,O,X,X,X,O,X
TISOZLJ,O,X,O,O,X,O,X
TISOZJL,O,O,X,X,X,O,X
TIZLJSO,X,O,X,O,O,O,X
TIZLJOS,O,O,O,O,O,O,X
TIZLSJO,X,X,O,O,O,O,X
TIZLSOJ,O,X,O,O,O,O,X
TIZLOJS,O,O,O,O,O,O,X
TIZLOSJ,O,X,O,O,O,O,X
TIZJLSO,X,O,X,X,O,O,X
TIZJLOS,X,O,X,X,O,O,X
TIZJSLO,X,O,X,X,O,O,X
TIZJSOL,X,O,X,X,O,O,X
TIZJOLS,X,O,X,X,O,O,X
TIZJOSL,X,O,X,X,O,O,X
TIZSLJO,O,X,O,O,X,O,X
TIZSLOJ,O,X,O,O,X,O,X
TIZSJLO,X,O,X,X,X,O,X
TIZSJOL,O,O,X,X,X,O,X
TIZSOLJ,O,X,O,O,X,O,X
TIZSOJL,O,O,X,X,X,O,X
TIZOLJS,O,O,O,O,O,O,X
TIZOLSJ,O,X,O,O,O,O,X
TIZOJLS,X,O,X,X,O,O,X
TIZOJSL,X,O,X,X,O,O,X
TIZOSLJ,O,X,O,O,X,O,X
TIZOSJL,O,O,X,X,X,O,X
TIOLJSZ,X,O,O,O,O,X,X
TIOLJZS,X,O,O,O,O,X,X
TIOLSJZ,X,X,O,O,X,O,X
TIOLSZJ,X,X,O,O,X,O,X
TIOLZJS,X,O,O,O,O,O,X
TIOLZSJ,X,X,O,O,O,O,X
TIOJLSZ,O,O,O,O,O,X,X
TIOJLZS,O,O,O,O,O,X,X
TIOJSLZ,X,O,O,O,O,X,X
TIOJSZL,X,O,X,X,X,X,X
TIOJZLS,X,O,X,X,O,X,X
TIOJZSL,X,O,X,X,O,X,X
TIOSLJZ,O,X,O,O,X,O,X
TIOSLZJ,O,X,O,O,X,O,X
TIOSJLZ,O,O,O,O,X,O,X
TIOSJZL,O,O,X,X,X,O,X
TIOSZLJ,O,X,O,O,X,O,X
TIOSZJL,O,O,X,X,X,O,X
TIOZLJS,O,O,O,O,O,O,X
TIOZLSJ,O,X,O,O,O,O,X
TIOZJLS,X,O,X,X,O,O,X
TIOZJSL,X,O,X,X,O,O,X
TIOZSLJ,O,X,O,O,X,O,X
TIOZSJL,O,O,X,X,X,O,X
TLIJSZO,X,X,O,O,X,X,X
TLIJSOZ,X,X,O,O,O,X,X
TLIJZSO,X,X,X,O,O,X,X
TLIJZOS,X,X,O,O,O,X,X
TLIJOSZ,X,X,O,O,O,X,X
TLIJOZS,X,X,O,O,O,X,X
TLISJZO,X,X,O,O,X,O,X
TLISJOZ,X,X,O,O,X,O,X
TLISZJO,X,X,O,O,X,O,X
TLISZOJ,X,X,O,O,X,O,X
TLISOJZ,X,X,O,O,X,O,X
TLISOZJ,X,X,O,O,X,O,X
TLIZJSO,X,X,X,O,O,O,X
TLIZJOS,X,X,O,O,O,O,X
TLIZSJO,X,X,O,O,O,O,X
TLIZSOJ,X,X,O,O,O,O,X
TLIZOJS,X,X,O,O,O,O,X
TLIZOSJ,X,X,O,O,O,O,X
TLIOJSZ,X,X,O,O,O,X,X
TLIOJZS,X,X,O,O,O,X,X
TLIOSJZ,X,X,O,O,X,O,X
TLIOSZJ,X,X,O,O,X,O,X
TLIOZJS,X,X,O,O,O,O,X
TLIOZSJ,X,X,O,O,O,O,X
TLJISZO,X,X,O,O,X,X,X
TLJISOZ,O,X,O,O,O,X,X
TLJIZSO,X,X,X,O,O,X,X
TLJIZOS,O,X,O,O,O,X,X
TLJIOSZ,O,X,O,O,O,X,X
TLJIOZS,O,X,O,O,O,X,X
TLJSIZO,X,X,O,X,X,O,X
TLJSIOZ,O,X,O,X,O,O,X
TLJSZIO,X,X,O,X,O,O,X
TLJSZOI,X,X,O,X,O,O,X
TLJSOIZ,O,X,O,O,O,O,X
TLJSOZI,X,X,O,X,O,O,X
TLJZISO,X,X,X,X,O,O,X
TLJZIOS,O,X,O,X,O,O,X
TLJZSIO,X,X,X,X,O,O,X
TLJZSOI,X,X,X,X,O,O,X
TLJZOIS,O,X,O,X,O,O,X
TLJZOSI,X,X,O,X,O,O,X
TLJOISZ,O,X,O,O,O,X,X
TLJOIZS,O,X,O,O,O,X,X
TLJOSIZ,O,X,O,O,O,O,X
TLJOSZI,X,X,O,X,O,O,X
TLJOZIS,O,X,O,X,O,O,X
TLJOZSI,X,X,O,X,O,O,X
TLSIJZO,X,X,O,O,X,O,X
TLSIJOZ,X,X,O,O,X,O,X
TLSIZJO,X,X,O,O,X,O,X
TLSIZOJ,X,X,O,O,X,O,X
TLSIOJZ,O,X,O,O,X,O,X
TLSIOZJ,O,X,O,O,X,O,X
TLSJIZO,O,X,O,X,X,O,X
TLSJIOZ,O,X,O,X,O,O,X
TLSJZIO,O,X,O,X,O,O,X
TLSJZOI,O,X,O,X,O,O,X
TLSJOIZ,O,X,O,X,O,O,X
TLSJOZI,O,X,O,X,O,O,X
TLSZIJO,O,X,O,X,O,O,X
TLSZIOJ,O,X,O,X,O,O,X
TLSZJIO,O,X,O,X,O,O,X
TLSZJOI,O,X,O,X,O,O,X
TLSZOIJ,O,X,O,X,O,O,X
TLSZOJI,O,X,O,X,O,O,X
TLSOIJZ,O,X,O,O,X,O,X
TLSOIZJ,O,X,O,O,X,O,X
TLSOJIZ,O,X,O,X,O,O,X
TLSOJZI,O,X,O,X,O,O,X
TLSOZIJ,O,X,O,X,O,O,X
TLSOZJI,O,X,O,X,O,O,X
TLZIJSO,X,X,X,O,O,O,X
TLZIJOS,O,X,O,O,O,O,X
TLZISJO,X,X,O,O,O,O,X
TLZISOJ,O,X,O,O,O,O,X
TLZIOJS,O,X,O,O,O,O,X
TLZIOSJ,O,X,O,O,O,O,X
TLZJISO,X,X,X,X,O,O,X
TLZJIOS,O,X,O,X,O,O,X
TLZJSIO,X,X,X,X,O,O,X
TLZJSOI,X,X,X,X,O,O,X
TLZJOIS,O,X,O,X,O,O,X
TLZJOSI,X,X,O,X,O,O,X
TLZSIJO,O,X,O,X,O,O,X
TLZSIOJ,O,X,O,X,O,O,X
TLZSJIO,O,X,O,X,O,O,X
TLZSJOI,O,X,O,X,O,O,X
TLZSOIJ,O,X,O,X,O,O,X
TLZSOJI,O,X,O,X,O,O,X
TLZOIJS,O,X,O,O,O,O,X
TLZOISJ,O,X,O,O,O,O,X
TLZOJIS,O,X,O,X,O,O,X
TLZOJSI,X,X,O,X,O,O,X
TLZOSIJ,O,X,O,X,O,O,X
TLZOSJI,O,X,O,X,O,O,X
TLOIJSZ,X,X,O,O,O,X,X
TLOIJZS,X,X,O,O,O,X,X
TLOISJZ,X,X,O,O,X,O,X
TLOISZJ,X,X,O,O,X,O,X
TLOIZJS,X,X,O,O,O,O,X
TLOIZSJ,X,X,O,O,O,O,X
TLOJISZ,O,X,O,O,O,X,X
TLOJIZS,O,X,O,O,O,X,X
TLOJSIZ,O,X,O,O,O,O,X
TLOJSZI,X,X,O,X,O,O,X
TLOJZIS,O,X,O,X,O,O,X
TLOJZSI,X,X,O,X,O,O,X
TLOSIJZ,O,X,O,O,X,O,X
TLOSIZJ,O,X,O,O,X,O,X
TLOSJIZ,O,X,O,X,O,O,X
TLOSJZI,O,X,O,X,O,O,X
TLOSZIJ,O,X,O,X,O,O,X
TLOSZJI,O,X,O,X,O,O,X
TLOZIJS,O,X,O,O,O,O,X
TLOZISJ,O,X,O,O,O,O,X
TLOZJIS,O,X,O,X,O,O,X
TLOZJSI,X,X,O,X,O,O,X
TLOZSIJ,O,X,O,X,O,O,X
TLOZSJI,O,X,O,X,O,O,X
TJILSZO,X,O,O,O,X,X,X
TJILSOZ,O,O,O,O,O,X,X
TJILZSO,X,O,X,O,O,X,X
TJILZOS,O,O,O,O,O,X,X
TJILOSZ,O,O,O,O,O,X,X
TJILOZS,O,O,O,O,O,X,X
TJISLZO,X,O,O,O,X,X,X
TJISLOZ,X,O,O,O,O,X,X
TJISZLO,X,O,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X
TJISOLZ,X,O,O,O,O,X,X
TJISOZL,X,O,X,X,X,X,X
TJIZLSO,X,O,X,X,O,X,X
TJIZLOS,X,O,X,X,O,X,X
TJIZSLO,X,O,X,X,O,X,X
TJIZSOL,X,O,X,X,O,X,X
TJIZOLS,X,O,X,X,O,X,X
TJIZOSL,X,O,X,X,O,X,X
TJIOLSZ,O,O,O,O,O,X,X
TJIOLZS,O,O,O,O,O,X,X
TJIOSLZ,X,O,O,O,O,X,X
TJIOSZL,X,O,X,X,X,X,X
TJIOZLS,X,O,X,X,O,X,X
TJIOZSL,X,O,X,X,O,X,X
TJLISZO,O,O,O,O,X,X,X
TJLISOZ,O,O,O,O,O,X,X
TJLIZSO,X,O,X,O,O,X,X
TJLIZOS,O,O,O,O,O,X,X
TJLIOSZ,O,O,O,O,O,X,X
TJLIOZS,O,O,O,O,O,X,X
TJLSIZO,O,X,O,X,X,O,X
TJLSIOZ,O,X,O,X,O,O,X
TJLSZIO,O,X,O,X,O,O,X
TJLSZOI,O,X,O,X,O,O,X
TJLSOIZ,O,X,O,X,O,O,X
TJLSOZI,O,X,O,X,O,O,X
TJLZISO,X,O,X,X,O,O,X
TJLZIOS,O,O,O,X,O,O,X
TJLZSIO,X,X,X,X,O,O,X
TJLZSOI,X,O,X,X,O,O,X
TJLZOIS,O,O,O,X,O,O,X
TJLZOSI,X,O,O,X,O,O,X
TJLOISZ,O,O,O,O,O,X,X
TJLOIZS,O,O,O,O,O,X,X
TJLOSIZ,O,X,O,X,O,O,X
TJLOSZI,O,X,O,X,O,O,X
TJLOZIS,O,O,O,X,O,O,X
TJLOZSI,X,O,O,X,O,O,X
TJSILZO,O,X,O,X,X,O,O
TJSILOZ,O,X,O,X,O,O,O
TJSIZLO,X,X,X,X,X,O,O
TJSIZOL,O,X,X,X,X,O,O
TJSIOLZ,O,X,O,X,O,O,O
TJSIOZL,O,X,X,X,X,O,O
TJSLIZO,O,X,O,X,X,O,O
TJSLIOZ,O,X,O,X,O,O,O
TJSLZIO,O,X,O,X,O,O,O
TJSLZOI,O,X,O,X,O,O,O
TJSLOIZ,O,X,O,X,O,O,O
TJSLOZI,O,X,O,X,O,O,O
TJSZILO,X,X,X,X,O,O,O
TJSZIOL,O,X,X,X,O,O,O
TJSZLIO,O,X,O,X,O,O,O
TJSZLOI,O,X,O,X,O,O,O
TJSZOIL,O,X,X,X,O,O,O
TJSZOLI,O,X,O,X,O,O,O
TJSOILZ,O,X,O,X,O,O,O
TJSOIZL,O,X,X,X,X,O,O
TJSOLIZ,O,X,O,X,O,O,O
TJSOLZI,O,X,O,X,O,O,O
TJSOZIL,O,X,X,X,O,O,O
TJSOZLI,O,X,O,X,O,O,O
TJZILSO,X,O,X,X,O,O,X
TJZILOS,X,O,X,X,O,O,X
TJZISLO,X,O,X,X,O,O,X
TJZISOL,X,O,X,X,O,O,X
TJZIOLS,X,O,X,X,O,O,X
TJZIOSL,X,O,X,X,O,O,X
TJZLISO,X,O,X,X,O,O,X
TJZLIOS,O,O,O,X,O,O,X
TJZLSIO,X,X,X,X,O,O,X
TJZLSOI,X,O,X,X,O,O,X
TJZLOIS,O,O,O,X,O,O,X
TJZLOSI,X,O,O,X,O,O,X
TJZSILO,X,X,X,X,O,O,O
TJZSIOL,O,X,X,X,O,O,O
TJZSLIO,O,X,X,X,O,O,O
TJZSLOI,O,O,X,X,O,O,O
TJZSOIL,O,X,X,X,O,O,O
TJZSOLI,O,O,X,X,O,O,O
TJZOILS,X,O,X,X,O,O,X
TJZOISL,X,O,X,X,O,O,X
TJZOLIS,O,O,O,X,O,O,X
TJZOLSI,X,O,O,X,O,O,X
TJZOSIL,O,X,X,X,O,O,O
TJZOSLI,O,O,X,X,O,O,O
TJOILSZ,O,O,O,O,O,X,X
TJOILZS,O,O,O,O,O,X,X
TJOISLZ,X,O,O,O,O,X,X
TJOISZL,X,O,X,X,X,X,X
TJOIZLS,X,O,X,X,O,X,X
TJOIZSL,X,O,X,X,O,X,X
TJOLISZ,O,O,O,O,O,X,X
TJOLIZS,O,O,O,O,O,X,X
TJOLSIZ,O,X,O,X,O,O,X
TJOLSZI,O,X,O,X,O,O,X
TJOLZIS,O,O,O,X,O,O,X
TJOLZSI,X,O,O,X,O,O,X
TJOSILZ,O,X,O,X,O,O,O
TJOSIZL,O,X,X,X,X,O,O
TJOSLIZ,O,X,O,X,O,O,O
TJOSLZI,O,X,O,X,O,O,O
TJOSZIL,O,X,X,X,O,O,O
TJOSZLI,O,X,O,X,O,O,O
TJOZILS,X,O,X,X,O,O,X
TJOZISL,X,O,X,X,O,O,X
TJOZLIS,O,O,O,X,O,O,X
TJOZLSI,X,O,O,X,O,O,X
TJOZSIL,O,X,X,X,O,O,O
TJOZSLI,O,O,X,X,O,O,O
TSILJZO,X,X,O,O,X,O,X
TSILJOZ,X,X,O,O,X,O,X
TSILZJO,X,X,O,O,X,O,X
TSILZOJ,X,X,O,O,X,O,X
TSILOJZ,O,X,O,O,X,O,X
TSILOZJ,O,X,O,O,X,O,X
TSIJLZO,O,X,O,O,X,O,O
TSIJLOZ,O,X,O,O,X,O,O
TSIJZLO,X,X,X,X,X,O,O
TSIJZOL,O,X,X,X,X,O,O
TSIJOLZ,O,X,O,O,X,O,O
TSIJOZL,O,X,X,X,X,O,O
TSIZLJO,O,X,O,O,X,O,X
TSIZLOJ,O,X,O,O,X,O,X
TSIZJLO,X,X,X,X,X,O,X
TSIZJOL,O,X,X,X,X,O,X
TSIZOLJ,O,X,O,O,X,O,X
TSIZOJL,O,X,X,X,X,O,X
TSIOLJZ,O,X,O,O,X,O,X
TSIOLZJ,O,X,O,O,X,O,X
TSIOJLZ,O,X,O,O,X,O,O
TSIOJZL,O,X,X,X,X,O,O
TSIOZLJ,O,X,O,O,X,O,X
TSIOZJL,O,X,X,X,X,O,X
TSLIJZO,X,X,O,O,X,O,X
TSLIJOZ,X,X,O,O,X,O,X
TSLIZJO,X,X,O,O,X,O,X
TSLIZOJ,X,X,O,O,X,O,X
TSLIOJZ,O,X,O,O,X,O,X
TSLIOZJ,O,X,O,O,X,O,X
TSLJIZO,O,X,O,X,X,O,O
TSLJIOZ,O,X,O,X,O,O,O
TSLJZIO,O,X,O,X,O,O,O
TSLJZOI,O,X,O,X,O,O,O
TSLJOIZ,O,X,O,X,O,O,O
TSLJOZI,O,X,O,X,O,O,O
TSLZIJO,O,X,O,X,O,O,X
TSLZIOJ,O,X,O,X,O,O,X
TSLZJIO,O,X,O,X,O,O,X
TSLZJOI,O,X,O,X,O,O,X
TSLZOIJ,O,X,O,X,O,O,X
TSLZOJI,O,X,O,X,O,O,X
TSLOIJZ,O,X,O,O,X,O,X
TSLOIZJ,O,X,O,O,X,O,X
TSLOJIZ,O,X,O,X,O,O,O
TSLOJZI,O,X,O,X,O,O,O
TSLOZIJ,O,X,O,X,O,O,X
TSLOZJI,O,X,O,X,O,O,X
TSJILZO,O,X,O,X,X,O,O
TSJILOZ,O,X,O,X,O,O,O
TSJIZLO,X,X,X,X,X,O,O
TSJIZOL,O,X,X,X,X,O,O
TSJIOLZ,O,X,O,X,O,O,O
TSJIOZL,O,X,X,X,X,O,O
TSJLIZO,O,X,O,X,X,O,O
TSJLIOZ,O,X,O,X,O,O,O
TSJLZIO,O,X,O,X,O,O,O
TSJLZOI,O,X,O,X,O,O,O
TSJLOIZ,O,X,O,X,O,O,O
TSJLOZI,O,X,O,X,O,O,O
TSJZILO,X,X,X,X,O,O,O
TSJZIOL,O,X,X,X,O,O,O
TSJZLIO,O,X,O,X,O,O,O
TSJZLOI,O,X,O,X,O,O,O
TSJZOIL,O,X,X,X,O,O,O
TSJZOLI,O,X,O,X,O,O,O
TSJOILZ,O,X,O,X,O,O,O
TSJOIZL,O,X,X,X,X,O,O
TSJOLIZ,O,X,O,X,O,O,O
TSJOLZI,O,X,O,X,O,O,O
TSJOZIL,O,X,X,X,O,O,O
TSJOZLI,O,X,O,X,O,O,O
TSZILJO,O,X,O,X,X,O,X
TSZILOJ,O,X,O,X,X,O,X
TSZIJLO,X,X,X,X,X,O,X
TSZIJOL,O,X,X,X,X,O,X
TSZIOLJ,O,X,O,X,X,O,X
TSZIOJL,O,X,X,X,X,O,X
TSZLIJO,O,X,O,X,O,O,X
TSZLIOJ,O,X,O,X,O,O,X
TSZLJIO,O,X,O,X,O,O,X
TSZLJOI,O,X,O,X,O,O,X
TSZLOIJ,O,X,O,X,O,O,X
TSZLOJI,O,X,O,X,O,O,X
TSZJILO,X,X,X,X,O,O,O
TSZJIOL,O,X,X,X,O,O,O
TSZJLIO,O,X,O,X,O,O,O
TSZJLOI,O,X,O,X,O,O,O
TSZJOIL,O,X,X,X,O,O,O
TSZJOLI,O,X,O,X,O,O,O
TSZOILJ,O,X,O,X,X,O,X
TSZOIJL,O,X,X,X,X,O,X
TSZOLIJ,O,X,O,X,O,O,X
TSZOLJI,O,X,O,X,O,O,X
TSZOJIL,O,X,X,X,O,O,O
TSZOJLI,O,X,O,X,O,O,O
TSOILJZ,O,X,O,O,X,O,X
TSOILZJ,O,X,O,O,X,O,X
TSOIJLZ,O,X,O,O,X,O,O
TSOIJZL,O,X,X,X,X,O,O
TSOIZLJ,O,X,O,O,X,O,X
TSOIZJL,O,X,X,X,X,O,X
TSOLIJZ,O,X,O,O,X,O,X
TSOLIZJ,O,X,O,O,X,O,X
TSOLJIZ,O,X,O,X,O,O,O
TSOLJZI,O,X,O,X,O,O,O
TSOLZIJ,O,X,O,X,O,O,X
TSOLZJI,O,X,O,X,O,O,X
TSOJILZ,O,X,O,X,O,O,O
TSOJIZL,O,X,X,X,X,O,O
TSOJLIZ,O,X,O,X,O,O,O
TSOJLZI,O,X,O,X,O,O,O
TSOJZIL,O,X,X,X,O,O,O
TSOJZLI,O,X,O,X,O,O,O
TSOZILJ,O,X,O,X,X,O,X
TSOZIJL,O,X,X,X,X,O,X
TSOZLIJ,O,X,O,X,O,O,X
TSOZLJI,O,X,O,X,O,O,X
TSOZJIL,O,X,X,X,O,O,O
TSOZJLI,O,X,O,X,O,O,O
TZILJSO,X,O,X,O,O,O,X
TZILJOS,O,O,O,O,O,O,X
TZILSJO,X,X,O,O,O,O,X
TZILSOJ,O,X,O,O,O,O,X
TZILOJS,O,O,O,O,O,O,X
TZILOSJ,O,X,O,O,O,O,X
TZIJLSO,X,O,X,X,O,O,X
TZIJLOS,X,O,X,X,O,O,X
TZIJSLO,X,O,X,X,O,O,X
TZIJSOL,X,O,X,X,O,O,X
TZIJOLS,X,O,X,X,O,O,X
TZIJOSL,X,O,X,X,O,O,X
TZISLJO,O,X,O,O,X,O,X
TZISLOJ,O,X,O,O,X,O,X
TZISJLO,X,O,X,X,X,O,X
TZISJOL,O,O,X,X,X,O,X
TZISOLJ,O,X,O,O,X,O,X
TZISOJL,O,O,X,X,X,O,X
TZIOLJS,O,O,O,O,O,O,X
TZIOLSJ,O,X,O,O,O,O,X
TZIOJLS,X,O,X,X,O,O,X
TZIOJSL,X,O,X,X,O,O,X
TZIOSLJ,O,X,O,O,X,O,X
TZIOSJL,O,O,X,X,X,O,X
TZLIJSO,X,O,X,O,O,O,X
TZLIJOS,O,O,O,O,O,O,X
TZLISJO,O,X,O,O,O,O,X
TZLISOJ,O,X,O,O,O,O,X
TZLIOJS,O,O,O,O,O,O,X
TZLIOSJ,O,X,O,O,O,O,X
TZLJISO,X,X,X,X,O,O,X
TZLJIOS,O,O,O,X,O,O,X
TZLJSIO,X,X,X,X,O,O,X
TZLJSOI,X,O,X,X,O,O,X
TZLJOIS,O,O,O,X,O,O,X
TZLJOSI,X,O,O,X,O,O,X
TZLSIJO,O,X,O,X,O,O,X
TZLSIOJ,O,X,O,X,O,O,X
TZLSJIO,O,X,O,X,O,O,X
TZLSJOI,O,X,O,X,O,O,X
TZLSOIJ,O,X,O,X,O,O,X
TZLSOJI,O,X,O,X,O,O,X
TZLOIJS,O,O,O,O,O,O,X
TZLOISJ,O,X,O,O,O,O,X
TZLOJIS,O,O,O,X,O,O,X
TZLOJSI,X,O,O,X,O,O,X
TZLOSIJ,O,X,O,X,O,O,X
TZLOSJI,O,X,O,X,O,O,X
TZJILSO,X,O,X,X,O,O,X
TZJILOS,X,O,X,X,O,O,X
TZJISLO,X,O,X,X,O,O,X
TZJISOL,X,O,X,X,O,O,X
TZJIOLS,X,O,X,X,O,O,X
TZJIOSL,X,O,X,X,O,O,X
TZJLISO,X,O,X,X,O,O,X
TZJLIOS,O,O,O,X,O,O,X
TZJLSIO,X,X,X,X,O,O,X
TZJLSOI,X,O,X,X,O,O,X
TZJLOIS,O,O,O,X,O,O,X
TZJLOSI,X,O,O,X,O,O,X
TZJSILO,X,X,X,X,O,O,O
TZJSIOL,O,X,X,X,O,O,O
TZJSLIO,O,X,X,X,O,O,O
TZJSLOI,O,O,X,X,O,O,O
TZJSOIL,O,X,X,X,O,O,O
TZJSOLI,O,O,X,X,O,O,O
TZJOILS,X,O,X,X,O,O,X
TZJOISL,X,O,X,X,O,O,X
TZJOLIS,O,O,O,X,O,O,X
TZJOLSI,X,O,O,X,O,O,X
TZJOSIL,O,X,X,X,O,O,O
TZJOSLI,O,O,X,X,O,O,O
TZSILJO,O,X,O,X,X,O,X
TZSILOJ,O,X,O,X,X,O,X
TZSIJLO,X,O,X,X,X,O,X
TZSIJOL,O,O,X,X,X,O,X
TZSIOLJ,O,X,O,X,X,O,X
TZSIOJL,O,O,X,X,X,O,X
TZSLIJO,O,X,O,X,O,O,X
TZSLIOJ,O,X,O,X,O,O,X
TZSLJIO,O,X,O,X,O,O,X
TZSLJOI,O,X,O,X,O,O,X
TZSLOIJ,O,X,O,X,O,O,X
TZSLOJI,O,X,O,X,O,O,X
TZSJILO,X,X,X,X,O,O,O
TZSJIOL,O,X,X,X,O,O,O
TZSJLIO,O,X,O,X,O,O,O
TZSJLOI,O,O,O,X,O,O,O
TZSJOIL,O,X,X,X,O,O,O
TZSJOLI,O,O,O,X,O,O,O
TZSOILJ,O,X,O,X,X,O,X
TZSOIJL,O,O,X,X,X,O,X
TZSOLIJ,O,X,O,X,O,O,X
TZSOLJI,O,X,O,X,O,O,X
TZSOJIL,O,X,X,X,O,O,O
TZSOJLI,O,O,O,X,O,O,O
TZOILJS,O,O,O,O,O,O,X
TZOILSJ,O,X,O,O,O,O,X
TZOIJLS,X,O,X,X,O,O,X
TZOIJSL,X,O,X,X,O,O,X
TZOISLJ,O,X,O,O,X,O,X
TZOISJL,O,O,X,X,X,O,X
TZOLIJS,O,O,O,O,O,O,X
TZOLISJ,O,X,O,O,O,O,X
TZOLJIS,O,O,O,X,O,O,X
TZOLJSI,X,O,O,X,O,O,X
TZOLSIJ,O,X,O,X,O,O,X
TZOLSJI,O,X,O,X,O,O,X
TZOJILS,X,O,X,X,O,O,X
TZOJISL,X,O,X,X,O,O,X
TZOJLIS,O,O,O,X,O,O,X
TZOJLSI,X,O,O,X,O,O,X
TZOJSIL,O,X,X,X,O,O,O
TZOJSLI,O,O,X,X,O,O,O
TZOSILJ,O,X,O,X,X,O,X
TZOSIJL,O,O,X,X,X,O,X
TZOSLIJ,O,X,O,X,O,O,X
TZOSLJI,O,X,O,X,O,O,X
TZOSJIL,O,X,X,X,O,O,O
TZOSJLI,O,O,O,X,O,O,O
TOILJSZ,X,O,O,O,O,X,X
TOILJZS,X,O,O,O,O,X,X
TOILSJZ,X,X,O,O,X,O,X
TOILSZJ,X,X,O,O,X,O,X
TOILZJS,X,O,O,O,O,O,X
