sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
TOSIJZL,X,X,O,O,X,O
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,X,X,O,X,X,O
TOSLIJZ,O,O,O,O,X,X
TOSLIZJ,O,O,O,X,X,X
TOSLJIZ,O,O,O,O,X,X
TOSLJZI,X,X,O,O,X,X
TOSLZIJ,O,X,O,X,X,X
TOSLZJI,O,X,O,O,X,X
TOSJILZ,O,O,O,O,X,X
TOSJIZL,X,X,O,O,X,O
TOSJLIZ,O,O,O,O,X,X
TOSJLZI,X,X,O,O,X,X
TOSJZIL,X,X,O,O,X,O
TOSJZLI,X,X,O,O,X,X
TOSZILJ,O,X,O,X,X,X
TOSZIJL,O,X,O,X,X,O
TOSZLIJ,O,X,O,X,X,X
TOSZLJI,O,X,O,O,X,X
TOSZJIL,O,X,O,O,X,O
TOSZJLI,O,X,O,O,X,X
TOZILJS,X,X,X,X,O,X
TOZILSJ,O,X,X,X,X,X
TOZIJLS,X,X,X,X,O,X
TOZIJSL,X,X,X,X,X,O
TOZISLJ,O,X,X,X,X,X
TOZISJL,O,X,X,X,X,O
TOZLIJS,X,X,X,X,O,X
TOZLISJ,O,X,X,X,X,X
TOZLJIS,X,X,X,X,O,X
TOZLJSI,O,O,X,O,X,X
TOZLSIJ,O,O,X,X,X,X
TOZLSJI,O,O,X,O,X,X
TOZJILS,X,X,X,X,O,X
TOZJISL,X,X,X,X,X,O
TOZJLIS,X,X,X,X,O,X
TOZJLSI,O,O,X,O,X,X
TOZJSIL,O,O,X,O,X,O
TOZJSLI,O,O,X,O,X,X
TOZSILJ,O,O,X,X,X,X
TOZSIJL,O,X,X,X,X,O
TOZSLIJ,O,O,X,X,X,X
TOZSLJI,O,O,X,O,X,X
TOZSJIL,O,O,X,O,X,O
TOZSJLI,O,O,X,O,X,X
ITLJSZO,X,X,X,O,X,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,X,X,X,X,X,X
ITLJZOS,X,X,X,X,O,X
ITLJOSZ,X,X,X,O,X,X
ITLJOZS,X,X,X,X,O,X
ITLSJZO,X,X,O,O,X,X
ITLSJOZ,O,X,X,O,X,X
ITLSZJO,X,X,O,X,X,X
ITLSZOJ,O,X,X,X,X,X
ITLSOJZ,O,X,X,O,X,X
ITLSOZJ,O,X,X,X,X,X
ITLZJSO,X,X,X,X,X,X
ITLZJOS,X,X,X,X,O,X
ITLZSJO,O,X,O,X,X,X
ITLZSOJ,O,X,X,X,X,X
ITLZOJS,X,X,X,X,O,X
ITLZOSJ,O,X,X,X,X,X
ITLOJSZ,X,X,O,O,X,X
ITLOJZS,X,X,X,X,O,X
ITLOSJZ,O,X,O,O,X,X
ITLOSZJ,O,X,O,X,X,X
ITLOZJS,X,X,X,X,O,X
ITLOZSJ,O,X,X,X,X,X
ITJLSZO,X,X,X,O,X,X
ITJLSOZ,X,X,X,O,X,X
ITJLZSO,X,X,X,X,X,X
ITJLZOS,X,X,X,X,O,X
ITJLOSZ,X,X,X,O,X,X
ITJLOZS,X,X,X,X,O,X
ITJSLZO,X,X,X,O,X,X
ITJSLOZ,X,X,X,O,X,X
ITJSZLO,X,X,X,O,X,X
ITJSZOL,X,X,X,O,X,O
ITJSOLZ,X,X,X,O,X,X
ITJSOZL,X,X,X,O,X,O
ITJZLSO,X,X,X,X,X,X
ITJZLOS,X,X,X,X,O,X
ITJZSLO,X,X,X,X,X,X
ITJZSOL,X,X,X,X,X,O
ITJZOLS,X,X,X,X,O,X
ITJZOSL,X,X,X,X,X,O
ITJOLSZ,X,X,X,O,X,X
ITJOLZS,X,X,X,X,O,X
ITJOSLZ,X,X,X,O,X,X
ITJOSZL,X,X,X,O,X,O
ITJOZLS,X,X,X,X,O,X
ITJOZSL,X,X,X,X,X,O
ITSLJZO,X,X,O,O,X,X
ITSLJOZ,O,X,X,O,X,X
ITSLZJO,X,X,O,X,X,X
ITSLZOJ,O,X,X,X,X,X
ITSLOJZ,O,X,X,O,X,X
ITSLOZJ,O,X,X,X,X,X
ITSJLZO,X,X,O,O,X,X
ITSJLOZ,O,X,X,O,X,X
ITSJZLO,X,X,O,O,X,X
ITSJZOL,X,X,X,O,X,O
ITSJOLZ,O,X,X,O,X,X
ITSJOZL,X,X,X,O,X,O
ITSZLJO,X,X,O,X,X,X
ITSZLOJ,O,X,X,X,X,X
ITSZJLO,X,X,O,X,X,X
ITSZJOL,X,X,X,X,X,O
ITSZOLJ,O,X,X,X,X,X
ITSZOJL,X,X,X,X,X,O
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,X,X,X,X
ITSOJLZ,O,X,X,O,X,X
ITSOJZL,X,X,X,O,X,O
ITSOZLJ,O,X,X,X,X,X
ITSOZJL,X,X,X,X,X,O
ITZLJSO,X,X,X,X,X,X
ITZLJOS,X,X,X,X,O,X
ITZLSJO,O,X,O,X,X,X
ITZLSOJ,O,X,X,X,X,X
ITZLOJS,X,X,X,X,O,X
ITZLOSJ,O,X,X,X,X,X
ITZJLSO,X,X,X,X,X,X
ITZJLOS,X,X,X,X,O,X
ITZJSLO,X,X,X,X,X,X
ITZJSOL,X,X,X,X,X,O
ITZJOLS,X,X,X,X,O,X
ITZJOSL,X,X,X,X,X,O
ITZSLJO,O,X,O,X,X,X
ITZSLOJ,O,X,X,X,X,X
ITZSJLO,O,X,O,X,X,X
ITZSJOL,O,X,X,X,X,O
ITZSOLJ,O,X,X,X,X,X
ITZSOJL,O,X,X,X,X,O
ITZOLJS,X,X,X,X,O,X
ITZOLSJ,O,X,X,X,X,X
ITZOJLS,X,X,X,X,O,X
ITZOJSL,X,X,X,X,X,O
ITZOSLJ,O,X,X,X,X,X
ITZOSJL,O,X,X,X,X,O
ITOLJSZ,X,X,O,O,X,X
ITOLJZS,X,X,X,X,O,X
ITOLSJZ,O,X,O,O,X,X
ITOLSZJ,O,X,O,X,X,X
ITOLZJS,X,X,X,X,O,X
ITOLZSJ,O,X,X,X,X,X
ITOJLSZ,X,X,O,O,X,X
ITOJLZS,X,X,X,X,O,X
ITOJSLZ,X,X,O,O,X,X
ITOJSZL,X,X,O,O,X,O
ITOJZLS,X,X,X,X,O,X
ITOJZSL,X,X,X,X,X,O
ITOSLJZ,O,X,O,O,X,X
ITOSLZJ,O,X,O,X,X,X
ITOSJLZ,O,X,O,O,X,X
ITOSJZL,X,X,O,O,X,O
ITOSZLJ,O,X,O,X,X,X
ITOSZJL,X,X,O,X,X,O
ITOZLJS,X,X,X,X,O,X
ITOZLSJ,O,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X
ITOZJSL,X,X,X,X,X,O
ITOZSLJ,O,X,X,X,X,X
ITOZSJL,O,X,X,X,X,O
ILTJSZO,X,X,X,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,X,X,X,X,X,X
ILTJZOS,X,X,X,X,O,X
ILTJOSZ,X,X,X,O,X,X
ILTJOZS,X,X,X,X,O,X
ILTSJZO,X,X,O,O,X,X
ILTSJOZ,O,X,X,O,X,X
ILTSZJO,X,X,O,X,X,X
ILTSZOJ,O,X,X,X,X,X
ILTSOJZ,O,X,X,O,X,X
ILTSOZJ,O,X,X,X,X,X
ILTZJSO,X,X,X,X,X,X
ILTZJOS,X,X,X,X,O,X
ILTZSJO,O,X,O,X,X,X
ILTZSOJ,O,X,X,X,X,X
ILTZOJS,X,X,X,X,O,X
ILTZOSJ,O,X,X,X,X,X
ILTOJSZ,X,X,O,O,X,X
ILTOJZS,X,X,X,X,O,X
ILTOSJZ,O,X,O,O,X,X
ILTOSZJ,O,X,O,X,X,X
ILTOZJS,X,X,X,X,O,X
ILTOZSJ,O,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,X,X,X,X,X,X
ILJTZOS,X,X,X,X,O,X
ILJTOSZ,X,X,X,O,X,X
ILJTOZS,X,X,X,X,O,X
ILJSTZO,X,X,O,X,X,X
ILJSTOZ,X,O,X,X,X,X
ILJSZTO,X,X,O,X,X,X
ILJSZOT,X,O,O,X,O,O
ILJSOTZ,X,O,X,X,X,X
ILJSOZT,X,O,O,X,O,O
ILJZTSO,X,X,X,X,X,X
ILJZTOS,X,X,X,X,O,X
ILJZSTO,X,O,O,X,X,X
ILJZSOT,X,O,O,X,O,O
ILJZOTS,X,X,X,X,O,X
ILJZOST,X,O,X,X,O,O
ILJOTSZ,X,X,O,O,X,X
ILJOTZS,X,X,X,X,O,X
ILJOSTZ,X,O,O,X,X,X
ILJOSZT,X,O,O,X,O,O
ILJOZTS,X,X,X,X,O,X
ILJOZST,X,O,O,X,O,O
ILSTJZO,X,X,O,X,X,X
ILSTJOZ,O,X,X,X,X,X
ILSTZJO,X,X,O,X,X,X
ILSTZOJ,O,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,X
ILSJTZO,X,X,O,X,X,X
ILSJTOZ,X,O,X,X,X,X
ILSJZTO,X,X,O,X,X,X
ILSJZOT,X,O,O,X,O,O
ILSJOTZ,O,O,X,X,X,X
ILSJOZT,O,O,O,X,O,O
ILSZTJO,X,X,O,X,X,X
ILSZTOJ,X,X,X,X,X,X
ILSZJTO,X,X,O,X,X,X
ILSZJOT,X,X,O,X,O,O
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,O,O,X,O,O
ILSOTJZ,O,O,O,X,X,X
ILSOTZJ,O,O,O,X,X,X
ILSOJTZ,O,O,O,X,X,X
ILSOJZT,O,O,O,X,O,O
ILSOZTJ,O,O,O,X,X,X
ILSOZJT,O,O,O,X,O,O
ILZTJSO,X,X,X,X,X,X
ILZTJOS,X,X,X,X,O,X
ILZTSJO,O,X,O,X,X,X
ILZTSOJ,O,X,X,X,X,X
ILZTOJS,X,X,X,X,O,X
ILZTOSJ,O,X,X,X,X,X
ILZJTSO,X,X,X,X,X,X
ILZJTOS,X,X,X,X,O,X
ILZJSTO,X,O,O,X,X,X
ILZJSOT,X,O,O,X,O,O
ILZJOTS,X,X,X,X,O,X
ILZJOST,X,O,X,X,O,O
ILZSTJO,O,X,O,X,X,X
ILZSTOJ,O,O,X,X,X,X
ILZSJTO,X,O,O,X,X,X
ILZSJOT,O,O,O,X,O,O
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,O,O,O,X,O,O
ILZOTJS,X,X,X,X,O,X
ILZOTSJ,O,X,X,X,X,X
ILZOJTS,X,X,X,X,O,X
ILZOJST,X,O,O,X,O,O
ILZOSTJ,O,O,O,X,X,X
ILZOSJT,O,O,O,X,O,O
ILOTJSZ,X,X,O,O,X,X
ILOTJZS,X,X,X,X,O,X
ILOTSJZ,O,X,O,O,X,X
ILOTSZJ,O,X,O,X,X,X
ILOTZJS,X,X,X,X,O,X
ILOTZSJ,O,X,X,X,X,X
ILOJTSZ,X,X,O,O,X,X
ILOJTZS,X,X,X,X,O,X
ILOJSTZ,X,O,O,X,X,X
ILOJSZT,X,O,O,X,O,O
ILOJZTS,X,X,X,X,O,X
ILOJZST,X,O,O,X,O,O
ILOSTJZ,O,O,O,X,X,X
ILOSTZJ,O,O,O,X,X,X
ILOSJTZ,O,O,O,X,X,X
ILOSJZT,O,O,O,X,O,O
ILOSZTJ,O,O,O,X,X,X
ILOSZJT,O,O,O,X,O,O
ILOZTJS,X,X,X,X,O,X
ILOZTSJ,O,X,X,X,X,X
ILOZJTS,X,X,X,X,O,X
ILOZJST,X,O,O,X,O,O
ILOZSTJ,O,O,O,X,X,X
ILOZSJT,O,O,O,X,O,O
IJTLSZO,X,X,X,O,X,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,X,X,X,X,X,X
IJTLZOS,X,X,X,X,O,X
IJTLOSZ,X,X,X,O,X,X
IJTLOZS,X,X,X,X,O,X
IJTSLZO,X,X,X,O,X,X
IJTSLOZ,X,X,X,O,X,X
IJTSZLO,X,X,X,O,X,X
IJTSZOL,X,X,X,O,X,O
IJTSOLZ,X,X,X,O,X,X
IJTSOZL,X,X,X,O,X,O
IJTZLSO,X,X,X,X,X,X
IJTZLOS,X,X,X,X,O,X
IJTZSLO,X,X,X,X,X,X
IJTZSOL,X,X,X,X,X,O
IJTZOLS,X,X,X,X,O,X
IJTZOSL,X,X,X,X,X,O
IJTOLSZ,X,X,X,O,X,X
IJTOLZS,X,X,X,X,O,X
IJTOSLZ,X,X,X,O,X,X
IJTOSZL,X,X,X,O,X,O
IJTOZLS,X,X,X,X,O,X
IJTOZSL,X,X,X,X,X,O
IJLTSZO,X,X,X,O,X,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,X,X,X,X,X,X
IJLTZOS,X,X,X,X,O,X
IJLTOSZ,X,X,X,O,X,X
IJLTOZS,X,X,X,X,O,X
IJLSTZO,X,X,O,X,X,X
IJLSTOZ,X,O,X,X,X,X
IJLSZTO,X,X,O,X,X,X
IJLSZOT,X,O,O,X,O,O
IJLSOTZ,X,O,X,X,X,X
IJLSOZT,X,O,O,X,O,O
IJLZTSO,X,X,X,X,X,X
IJLZTOS,X,X,X,X,O,X
IJLZSTO,X,O,O,X,X,X
IJLZSOT,X,O,O,X,O,O
IJLZOTS,X,X,X,X,O,X
IJLZOST,X,O,X,X,O,O
IJLOTSZ,X,X,O,O,X,X
IJLOTZS,X,X,X,X,O,X
IJLOSTZ,X,O,O,X,X,X
IJLOSZT,X,O,O,X,O,O
IJLOZTS,X,X,X,X,O,X
IJLOZST,X,O,O,X,O,O
IJSTLZO,X,X,O,O,X,X
IJSTLOZ,X,O,X,O,X,X
IJSTZLO,X,X,O,O,X,X
IJSTZOL,X,X,X,O,X,O
IJSTOLZ,X,O,X,O,X,X
IJSTOZL,X,X,X,O,X,O
IJSLTZO,X,X,O,X,X,X
IJSLTOZ,X,O,X,X,X,X
IJSLZTO,X,X,O,X,X,X
IJSLZOT,X,O,O,X,O,O
IJSLOTZ,X,O,X,X,X,X
IJSLOZT,X,O,O,X,O,O
IJSZTLO,X,X,O,X,X,X
IJSZTOL,X,X,X,X,X,O
IJSZLTO,X,X,O,X,X,X
IJSZLOT,X,O,O,X,O,O
IJSZOTL,X,X,X,X,X,O
IJSZOLT,X,O,O,X,O,O
IJSOTLZ,X,O,X,O,X,X
IJSOTZL,X,X,X,O,X,O
IJSOLTZ,X,O,X,X,X,X
IJSOLZT,X,O,O,X,O,O
IJSOZTL,X,X,X,X,X,O
IJSOZLT,X,O,O,X,O,O
IJZTLSO,X,X,X,X,X,X
IJZTLOS,X,X,X,X,O,X
IJZTSLO,X,X,X,X,X,X
IJZTSOL,X,X,X,X,X,O
IJZTOLS,X,X,X,X,O,X
IJZTOSL,X,X,X,X,X,O
IJZLTSO,X,X,X,X,X,X
IJZLTOS,X,X,X,X,O,X
IJZLSTO,X,O,O,X,X,X
IJZLSOT,X,O,O,X,O,O
IJZLOTS,X,X,X,X,O,X
IJZLOST,X,O,X,X,O,O
IJZSTLO,X,O,O,X,X,X
IJZSTOL,X,O,X,X,X,O
IJZSLTO,X,O,O,X,X,X
IJZSLOT,X,O,O,X,O,O
IJZSOTL,X,O,X,X,X,O
IJZSOLT,X,O,O,X,O,O
IJZOTLS,X,X,X,X,O,X
IJZOTSL,X,X,X,X,X,O
IJZOLTS,X,X,X,X,O,X
IJZOLST,X,O,X,X,O,O
IJZOSTL,X,O,X,X,X,O
IJZOSLT,X,O,X,X,O,O
IJOTLSZ,X,X,O,O,X,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,X,X,O,O,X,X
IJOTSZL,X,X,O,O,X,O
IJOTZLS,X,X,X,X,O,X
IJOTZSL,X,X,X,X,X,O
IJOLTSZ,X,X,O,O,X,X
IJOLTZS,X,X,X,X,O,X
IJOLSTZ,X,O,O,X,X,X
IJOLSZT,X,O,O,X,O,O
IJOLZTS,X,X,X,X,O,X
IJOLZST,X,O,O,X,O,O
IJOSTLZ,X,O,O,O,X,X
IJOSTZL,X,X,O,O,X,O
IJOSLTZ,X,O,O,X,X,X
IJOSLZT,X,O,O,X,O,O
IJOSZTL,X,X,O,X,X,O
IJOSZLT,X,O,O,X,O,O
IJOZTLS,X,X,X,X,O,X
IJOZTSL,X,X,X,X,X,O
IJOZLTS,X,X,X,X,O,X
IJOZLST,X,O,O,X,O,O
IJOZSTL,X,O,O,X,X,O
IJOZSLT,X,O,O,X,O,O
ISTLJZO,X,X,O,O,X,X
ISTLJOZ,O,X,X,O,X,X
ISTLZJO,X,X,O,X,X,X
ISTLZOJ,O,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,X
ISTLOZJ,O,O,X,X,X,X
ISTJLZO,X,X,O,O,X,X
ISTJLOZ,O,X,X,O,X,X
ISTJZLO,X,X,O,O,X,X
ISTJZOL,X,X,X,O,X,O
ISTJOLZ,O,X,X,O,X,X
ISTJOZL,X,X,X,O,X,O
ISTZLJO,X,X,O,X,X,X
ISTZLOJ,O,X,X,X,X,X
ISTZJLO,X,X,O,X,X,X
ISTZJOL,X,X,X,X,X,O
ISTZOLJ,O,X,X,X,X,X
ISTZOJL,X,X,X,X,X,O
ISTOLJZ,O,O,X,O,X,X
ISTOLZJ,O,O,X,X,X,X
ISTOJLZ,O,X,X,O,X,X
ISTOJZL,X,X,X,O,X,O
ISTOZLJ,O,X,X,X,X,X
ISTOZJL,X,X,X,X,X,O
ISLTJZO,X,X,O,X,X,X
ISLTJOZ,O,X,X,X,X,X
ISLTZJO,X,X,O,X,X,X
ISLTZOJ,O,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,X
ISLJTZO,X,X,O,X,X,X
ISLJTOZ,X,O,X,X,X,X
ISLJZTO,X,X,O,X,X,X
ISLJZOT,X,O,O,X,O,O
ISLJOTZ,O,O,X,X,X,X
ISLJOZT,O,O,O,X,O,O
ISLZTJO,X,X,O,X,X,X
ISLZTOJ,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X
ISLZJOT,X,X,O,X,O,O
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,O,O,X,O,O
ISLOTJZ,O,O,O,X,X,X
ISLOTZJ,O,O,O,X,X,X
ISLOJTZ,O,O,O,X,X,X
ISLOJZT,O,O,O,X,O,O
ISLOZTJ,O,O,O,X,X,X
ISLOZJT,O,O,O,X,O,O
ISJTLZO,X,X,O,O,X,X
ISJTLOZ,X,O,X,O,X,X
ISJTZLO,X,X,O,O,X,X
ISJTZOL,X,X,X,O,X,O
ISJTOLZ,X,O,X,O,X,X
ISJTOZL,X,X,X,O,X,O
ISJLTZO,X,X,O,X,X,X
ISJLTOZ,X,O,X,X,X,X
ISJLZTO,X,X,O,X,X,X
ISJLZOT,X,O,O,X,O,O
ISJLOTZ,O,O,X,X,X,X
ISJLOZT,O,O,O,X,O,O
ISJZTLO,X,X,O,X,X,X
ISJZTOL,X,X,X,X,X,O
ISJZLTO,X,X,O,X,X,X
ISJZLOT,X,O,O,X,O,O
ISJZOTL,X,X,X,X,X,O
ISJZOLT,X,O,O,X,O,O
ISJOTLZ,X,O,X,O,X,X
ISJOTZL,X,X,X,O,X,O
ISJOLTZ,O,O,X,X,X,X
ISJOLZT,O,O,O,X,O,O
ISJOZTL,X,X,X,X,X,O
ISJOZLT,X,O,O,X,O,O
ISZTLJO,X,X,O,X,X,X
ISZTLOJ,X,X,X,X,X,X
ISZTJLO,X,X,O,X,X,X
ISZTJOL,X,X,X,X,X,O
ISZTOLJ,X,X,X,X,X,X
ISZTOJL,X,X,X,X,X,O
ISZLTJO,X,X,O,X,X,X
ISZLTOJ,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X
ISZLJOT,X,X,O,X,O,O
ISZLOTJ,O,O,X,X,X,X
ISZLOJT,O,O,O,X,O,O
ISZJTLO,X,X,O,X,X,X
ISZJTOL,X,X,X,X,X,O
ISZJLTO,X,X,O,X,X,X
ISZJLOT,X,X,O,X,O,O
ISZJOTL,X,X,X,X,X,O
ISZJOLT,X,X,O,X,O,O
ISZOTLJ,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,X,X
ISZOLJT,O,O,O,X,O,O
ISZOJTL,X,X,X,X,X,O
ISZOJLT,X,X,O,X,O,O
ISOTLJZ,O,O,O,O,X,X
ISOTLZJ,O,O,O,X,X,X
ISOTJLZ,O,X,O,O,X,X
ISOTJZL,X,X,O,O,X,O
ISOTZLJ,O,X,O,X,X,X
ISOTZJL,X,X,O,X,X,O
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,O,O,O,X,X,X
ISOLJTZ,O,O,O,X,X,X
ISOLJZT,O,O,O,X,O,O
ISOLZTJ,O,O,O,X,X,X
ISOLZJT,O,O,O,X,O,O
ISOJTLZ,X,O,O,O,X,X
ISOJTZL,X,X,O,O,X,O
ISOJLTZ,O,O,O,X,X,X
ISOJLZT,O,O,O,X,O,O
ISOJZTL,X,X,O,X,X,O
ISOJZLT,X,O,O,X,O,O
ISOZTLJ,X,X,O,X,X,X
ISOZTJL,X,X,O,X,X,O
ISOZLTJ,O,O,O,X,X,X
ISOZLJT,O,O,O,X,O,O
ISOZJTL,X,X,O,X,X,O
ISOZJLT,X,X,O,X,O,O
IZTLJSO,X,X,X,X,X,X
IZTLJOS,X,X,X,X,O,X
IZTLSJO,O,X,O,X,X,X
IZTLSOJ,O,X,X,X,X,X
IZTLOJS,X,X,X,X,O,X
IZTLOSJ,O,X,X,X,X,X
IZTJLSO,X,X,X,X,X,X
IZTJLOS,X,X,X,X,O,X
IZTJSLO,X,X,X,X,X,X
IZTJSOL,X,X,X,X,X,O
IZTJOLS,X,X,X,X,O,X
IZTJOSL,X,X,X,X,X,O
IZTSLJO,O,X,O,X,X,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,O,X,O,X,X,X
IZTSJOL,O,X,X,X,X,O
IZTSOLJ,O,X,X,X,X,X
IZTSOJL,O,X,X,X,X,O
IZTOLJS,X,X,X,X,O,X
IZTOLSJ,O,X,X,X,X,X
IZTOJLS,X,X,X,X,O,X
IZTOJSL,X,X,X,X,X,O
IZTOSLJ,O,X,X,X,X,X
IZTOSJL,O,X,X,X,X,O
IZLTJSO,X,X,X,X,X,X
IZLTJOS,X,X,X,X,O,X
IZLTSJO,O,X,O,X,X,X
IZLTSOJ,O,X,X,X,X,X
IZLTOJS,X,X,X,X,O,X
IZLTOSJ,O,X,X,X,X,X
IZLJTSO,X,X,X,X,X,X
IZLJTOS,X,X,X,X,O,X
IZLJSTO,X,O,O,X,X,X
IZLJSOT,X,O,O,X,O,O
IZLJOTS,X,X,X,X,O,X
IZLJOST,X,O,X,X,O,O
IZLSTJO,O,X,O,X,X,X
IZLSTOJ,O,O,X,X,X,X
IZLSJTO,X,O,O,X,X,X
IZLSJOT,O,O,O,X,O,O
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,O,O,O,X,O,O
IZLOTJS,X,X,X,X,O,X
IZLOTSJ,O,X,X,X,X,X
IZLOJTS,X,X,X,X,O,X
IZLOJST,X,O,O,X,O,O
IZLOSTJ,O,O,O,X,X,X
IZLOSJT,O,O,O,X,O,O
IZJTLSO,X,X,X,X,X,X
IZJTLOS,X,X,X,X,O,X
IZJTSLO,X,X,X,X,X,X
IZJTSOL,X,X,X,X,X,O
IZJTOLS,X,X,X,X,O,X
IZJTOSL,X,X,X,X,X,O
IZJLTSO,X,X,X,X,X,X
IZJLTOS,X,X,X,X,O,X
IZJLSTO,X,O,O,X,X,X
IZJLSOT,X,O,O,X,O,O
IZJLOTS,X,X,X,X,O,X
IZJLOST,X,O,X,X,O,O
IZJSTLO,X,O,O,X,X,X
IZJSTOL,X,O,X,X,X,O
IZJSLTO,X,O,O,X,X,X
IZJSLOT,X,O,O,X,O,O
IZJSOTL,X,O,X,X,X,O
IZJSOLT,X,O,O,X,O,O
IZJOTLS,X,X,X,X,O,X
IZJOTSL,X,X,X,X,X,O
IZJOLTS,X,X,X,X,O,X
IZJOLST,X,O,X,X,O,O
IZJOSTL,X,O,X,X,X,O
IZJOSLT,X,O,X,X,O,O
IZSTLJO,O,X,O,X,X,X
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,X,O,X,X,X
IZSTJOL,O,X,X,X,X,O
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,X,X,X,X,O
IZSLTJO,O,X,O,X,X,X
IZSLTOJ,O,O,X,X,X,X
IZSLJTO,X,O,O,X,X,X
IZSLJOT,O,O,O,X,O,O
IZSLOTJ,O,O,X,X,X,X
IZSLOJT,O,O,O,X,O,O
IZSJTLO,X,O,O,X,X,X
IZSJTOL,X,O,X,X,X,O
IZSJLTO,X,O,O,X,X,X
IZSJLOT,O,O,O,X,O,O
IZSJOTL,X,O,X,X,X,O
IZSJOLT,O,O,O,X,O,O
IZSOTLJ,O,O,X,X,X,X
IZSOTJL,O,X,X,X,X,O
IZSOLTJ,O,O,X,X,X,X
IZSOLJT,O,O,O,X,O,O
IZSOJTL,X,O,X,X,X,O
IZSOJLT,O,O,O,X,O,O
IZOTLJS,X,X,X,X,O,X
IZOTLSJ,O,X,X,X,X,X
IZOTJLS,X,X,X,X,O,X
IZOTJSL,X,X,X,X,X,O
IZOTSLJ,O,X,X,X,X,X
IZOTSJL,O,X,X,X,X,O
IZOLTJS,X,X,X,X,O,X
IZOLTSJ,O,X,X,X,X,X
IZOLJTS,X,X,X,X,O,X
IZOLJST,X,O,O,X,O,O
IZOLSTJ,O,O,O,X,X,X
IZOLSJT,O,O,O,X,O,O
IZOJTLS,X,X,X,X,O,X
IZOJTSL,X,X,X,X,X,O
IZOJLTS,X,X,X,X,O,X
IZOJLST,X,O,O,X,O,O
IZOJSTL,X,O,O,X,X,O
IZOJSLT,X,O,O,X,O,O
IZOSTLJ,O,O,O,X,X,X
IZOSTJL,O,X,O,X,X,O
IZOSLTJ,O,O,O,X,X,X
IZOSLJT,O,O,O,X,O,O
IZOSJTL,X,O,O,X,X,O
IZOSJLT,O,O,O,X,O,O
IOTLJSZ,X,X,O,O,X,X
IOTLJZS,X,X,X,X,O,X
IOTLSJZ,O,X,O,O,X,X
IOTLSZJ,O,X,O,X,X,X
IOTLZJS,X,X,X,X,O,X
IOTLZSJ,O,X,X,X,X,X
IOTJLSZ,X,X,O,O,X,X
IOTJLZS,X,X,X,X,O,X
IOTJSLZ,X,X,O,O,X,X
IOTJSZL,X,X,O,O,X,O
IOTJZLS,X,X,X,X,O,X
IOTJZSL,X,X,X,X,X,O
IOTSLJZ,O,X,O,O,X,X
IOTSLZJ,O,X,O,X,X,X
IOTSJLZ,O,X,O,O,X,X
IOTSJZL,X,X,O,O,X,O
IOTSZLJ,O,X,O,X,X,X
IOTSZJL,X,X,O,X,X,O
IOTZLJS,X,X,X,X,O,X
IOTZLSJ,O,X,X,X,X,X
IOTZJLS,X,X,X,X,O,X
IOTZJSL,X,X,X,X,X,O
IOTZSLJ,O,X,X,X,X,X
IOTZSJL,O,X,X,X,X,O
IOLTJSZ,X,X,O,O,X,X
IOLTJZS,X,X,X,X,O,X
IOLTSJZ,O,X,O,O,X,X
IOLTSZJ,O,X,O,X,X,X
IOLTZJS,X,X,X,X,O,X
IOLTZSJ,O,X,X,X,X,X
IOLJTSZ,X,X,O,O,X,X
IOLJTZS,X,X,X,X,O,X
IOLJSTZ,X,O,O,X,X,X
