sequence,v115@AhB8GeC8HeB8IeE8KeNEJvhFumBaoB5oBTnB3pBUqB,v115@AhB8GeC8HeB8IeE8KeNEJvhFumBaoB5oBTnBUqB3pB,v115@AhB8GeC8HeB8IeE8KeNEJvhFqmBTiBeoB5oBUqB3pB,v115@AhB8GeC8HeB8IeE8KeNEJvhFqmBTiBeoB5oB3pBUqB
LJTZOIS,X,X,O,X
LJTZOSI,X,X,O,X
LJTOISZ,X,X,X,O
LJTOIZS,X,X,O,X
LJTOSIZ,X,X,X,O
LJTOSZI,X,X,X,O
LJTOZIS,X,X,O,X
LJTOZSI,X,X,O,X
LJITSZO,X,X,X,O
LJITSOZ,X,X,X,O
LJITZSO,X,X,O,X
LJITZOS,X,X,O,X
LJITOSZ,X,X,X,O
LJITOZS,X,X,O,X
LJISTZO,X,X,X,O
LJISTOZ,O,X,X,O
LJISZTO,X,X,O,O
LJISZOT,X,X,O,O
LJISOTZ,O,X,X,O
LJISOZT,O,X,O,O
LJIZTSO,X,X,O,X
LJIZTOS,X,O,O,X
LJIZSTO,X,X,O,O
LJIZSOT,X,X,O,O
LJIZOTS,X,O,O,X
LJIZOST,X,O,O,O
LJIOTSZ,O,X,X,O
LJIOTZS,X,O,O,X
LJIOSTZ,O,X,X,O
LJIOSZT,O,O,O,O
LJIOZTS,X,O,O,X
LJIOZST,O,O,O,O
LJSTIZO,X,X,X,O
LJSTIOZ,O,X,X,O
LJSTZIO,X,X,X,O
LJSTZOI,X,X,X,O
LJSTOIZ,O,X,X,O
LJSTOZI,O,X,X,O
LJSITZO,X,X,X,O
LJSITOZ,O,X,X,O
LJSIZTO,X,X,O,O
LJSIZOT,X,X,O,O
LJSIOTZ,O,X,X,O
LJSIOZT,O,X,O,O
LJSZTIO,X,X,O,O
LJSZTOI,X,X,O,O
LJSZITO,X,X,O,O
LJSZIOT,X,X,O,O
LJSZOTI,X,X,O,O
LJSZOIT,X,X,O,O
LJSOTIZ,O,X,X,O
LJSOTZI,O,X,X,O
LJSOITZ,O,X,X,O
LJSOIZT,O,X,O,O
LJSOZTI,O,X,O,O
LJSOZIT,O,X,O,O
LJZTISO,X,X,O,X
LJZTIOS,X,O,O,X
LJZTSIO,X,X,O,X
LJZTSOI,X,X,O,X
LJZTOIS,X,O,O,X
LJZTOSI,X,O,O,X
LJZITSO,X,X,O,X
LJZITOS,X,O,O,X
LJZISTO,X,X,O,O
LJZISOT,X,X,O,O
LJZIOTS,X,O,O,X
LJZIOST,X,O,O,O
LJZSTIO,X,X,O,O
LJZSTOI,X,X,O,O
LJZSITO,X,X,O,O
LJZSIOT,X,X,O,O
LJZSOTI,X,X,O,O
LJZSOIT,X,X,O,O
LJZOTIS,X,O,O,X
LJZOTSI,X,O,O,X
LJZOITS,X,O,O,X
LJZOIST,X,O,O,O
LJZOSTI,X,O,O,O
LJZOSIT,X,O,O,O
LJOTISZ,O,X,X,O
LJOTIZS,X,O,O,X
LJOTSIZ,O,X,X,O
LJOTSZI,O,X,X,O
LJOTZIS,X,O,O,X
LJOTZSI,X,O,O,X
LJOITSZ,O,X,X,O
LJOITZS,X,O,O,X
LJOISTZ,O,X,X,O
LJOISZT,O,O,O,O
LJOIZTS,X,O,O,X
LJOIZST,O,O,O,O
LJOSTIZ,O,X,X,O
LJOSTZI,O,X,X,O
LJOSITZ,O,X,X,O
LJOSIZT,O,O,O,O
LJOSZTI,O,O,O,O
LJOSZIT,O,O,O,O
LJOZTIS,X,O,O,X
LJOZTSI,X,O,O,X
LJOZITS,X,O,O,X
LJOZIST,O,O,O,O
LJOZSTI,O,O,O,O
LJOZSIT,O,O,O,O
LSTIJZO,X,X,X,O
LSTIJOZ,O,X,X,O
LSTIZJO,X,X,X,O
LSTIZOJ,O,X,X,X
LSTIOJZ,O,X,X,O
LSTIOZJ,O,X,X,X
LSTJIZO,X,X,X,O
LSTJIOZ,O,X,X,O
LSTJZIO,X,X,X,O
LSTJZOI,X,X,X,O
LSTJOIZ,O,X,X,O
LSTJOZI,O,X,X,O
LSTZIJO,X,X,X,O
LSTZIOJ,O,X,X,X
LSTZJIO,X,X,X,O
LSTZJOI,X,X,X,O
LSTZOIJ,O,X,X,X
LSTZOJI,O,X,X,O
LSTOIJZ,O,X,X,O
LSTOIZJ,O,X,X,X
LSTOJIZ,O,X,X,O
LSTOJZI,O,X,X,O
LSTOZIJ,O,X,X,X
LSTOZJI,O,X,X,O
LSITJZO,X,X,X,O
LSITJOZ,O,X,X,O
LSITZJO,X,X,X,O
LSITZOJ,O,X,X,X
LSITOJZ,O,X,X,O
LSITOZJ,O,X,X,X
LSIJTZO,X,X,X,O
LSIJTOZ,O,X,X,O
LSIJZTO,X,X,O,O
LSIJZOT,X,X,O,O
LSIJOTZ,O,X,X,O
LSIJOZT,O,X,O,O
LSIZTJO,X,X,O,O
LSIZTOJ,O,O,X,X
LSIZJTO,X,X,O,O
LSIZJOT,X,X,O,O
LSIZOTJ,O,O,X,X
LSIZOJT,O,O,X,X
LSIOTJZ,O,X,X,O
LSIOTZJ,O,X,X,X
LSIOJTZ,O,X,X,O
LSIOJZT,O,O,X,O
LSIOZTJ,O,O,X,X
LSIOZJT,O,O,X,X
LSJTIZO,X,X,X,O
LSJTIOZ,O,X,X,O
LSJTZIO,X,X,X,O
LSJTZOI,X,X,X,O
LSJTOIZ,O,X,X,O
LSJTOZI,O,X,X,O
LSJITZO,X,X,X,O
LSJITOZ,O,X,X,O
LSJIZTO,X,X,O,O
LSJIZOT,X,X,O,O
LSJIOTZ,O,X,X,O
LSJIOZT,O,X,O,O
LSJZTIO,X,X,O,O
LSJZTOI,X,X,O,O
LSJZITO,X,X,O,O
LSJZIOT,X,X,O,O
LSJZOTI,X,X,O,O
LSJZOIT,X,X,O,O
LSJOTIZ,O,X,X,O
LSJOTZI,O,X,X,O
LSJOITZ,O,X,X,O
LSJOIZT,O,X,O,O
LSJOZTI,O,X,O,O
LSJOZIT,O,X,O,O
LSZTIJO,X,X,O,O
LSZTIOJ,O,O,X,X
LSZTJIO,X,X,O,O
LSZTJOI,X,X,O,O
LSZTOIJ,O,O,X,X
LSZTOJI,O,O,O,O
LSZITJO,X,X,O,O
LSZITOJ,O,O,X,X
LSZIJTO,X,X,O,O
LSZIJOT,X,X,O,O
LSZIOTJ,O,O,X,X
LSZIOJT,O,O,X,X
LSZJTIO,X,X,O,O
LSZJTOI,X,X,O,O
LSZJITO,X,X,O,O
LSZJIOT,X,X,O,O
LSZJOTI,X,X,O,O
LSZJOIT,X,X,O,O
LSZOTIJ,O,O,X,X
LSZOTJI,O,O,O,O
LSZOITJ,O,O,X,X
LSZOIJT,O,O,X,X
LSZOJTI,O,O,O,O
LSZOJIT,O,O,O,O
LSOTIJZ,O,X,X,O
LSOTIZJ,O,X,X,X
LSOTJIZ,O,X,X,O
LSOTJZI,O,X,X,O
LSOTZIJ,O,X,X,X
LSOTZJI,O,X,X,O
LSOITJZ,O,X,X,O
LSOITZJ,O,X,X,X
LSOIJTZ,O,X,X,O
LSOIJZT,O,O,X,O
LSOIZTJ,O,O,X,X
LSOIZJT,O,O,X,X
LSOJTIZ,O,X,X,O
LSOJTZI,O,X,X,O
LSOJITZ,O,X,X,O
LSOJIZT,O,O,O,O
LSOJZTI,O,O,O,O
LSOJZIT,O,O,O,O
LSOZTIJ,O,O,X,X
LSOZTJI,O,O,O,O
LSOZITJ,O,O,X,X
LSOZIJT,O,O,X,X
LSOZJTI,O,O,O,O
LSOZJIT,O,O,O,O
LZTIJSO,X,X,O,X
LZTIJOS,X,O,O,X
LZTISJO,X,X,O,X
LZTISOJ,X,O,X,X
LZTIOJS,X,O,O,X
LZTIOSJ,X,O,X,X
LZTJISO,X,X,O,X
LZTJIOS,X,O,O,X
LZTJSIO,X,X,O,X
LZTJSOI,X,X,O,X
LZTJOIS,X,O,O,X
LZTJOSI,X,O,O,X
LZTSIJO,X,X,O,X
LZTSIOJ,X,O,X,X
LZTSJIO,X,X,O,X
LZTSJOI,X,X,O,X
LZTSOIJ,X,O,X,X
LZTSOJI,X,O,O,X
LZTOIJS,X,O,O,X
LZTOISJ,X,O,X,X
LZTOJIS,X,O,O,X
LZTOJSI,X,O,O,X
LZTOSIJ,X,O,X,X
LZTOSJI,X,O,O,X
LZITJSO,X,X,O,X
LZITJOS,X,O,O,X
LZITSJO,X,X,O,X
LZITSOJ,X,O,X,X
LZITOJS,X,O,O,X
LZITOSJ,X,O,X,X
LZIJTSO,X,X,O,X
LZIJTOS,X,O,O,X
LZIJSTO,X,X,O,O
LZIJSOT,X,X,O,O
LZIJOTS,X,O,O,X
LZIJOST,X,O,O,O
LZISTJO,X,X,O,O
LZISTOJ,O,O,X,X
LZISJTO,X,X,O,O
LZISJOT,X,X,O,O
LZISOTJ,O,O,X,X
LZISOJT,O,O,X,X
LZIOTJS,X,O,O,X
LZIOTSJ,X,O,X,X
LZIOJTS,X,O,O,X
LZIOJST,O,O,O,X
LZIOSTJ,O,O,X,X
LZIOSJT,O,O,X,X
LZJTISO,X,X,O,X
LZJTIOS,X,O,O,X
LZJTSIO,X,X,O,X
LZJTSOI,X,X,O,X
LZJTOIS,X,O,O,X
LZJTOSI,X,O,O,X
LZJITSO,X,X,O,X
LZJITOS,X,O,O,X
LZJISTO,X,X,O,O
LZJISOT,X,X,O,O
LZJIOTS,X,O,O,X
LZJIOST,X,O,O,O
LZJSTIO,X,X,O,O
LZJSTOI,X,X,O,O
LZJSITO,X,X,O,O
LZJSIOT,X,X,O,O
LZJSOTI,X,X,O,O
LZJSOIT,X,X,O,O
LZJOTIS,X,O,O,X
LZJOTSI,X,O,O,X
LZJOITS,X,O,O,X
LZJOIST,X,O,O,O
LZJOSTI,X,O,O,O
LZJOSIT,X,O,O,O
LZSTIJO,X,X,O,O
LZSTIOJ,O,O,X,X
LZSTJIO,X,X,O,O
LZSTJOI,X,X,O,O
LZSTOIJ,O,O,X,X
LZSTOJI,O,O,O,O
LZSITJO,X,X,O,O
LZSITOJ,O,O,X,X
LZSIJTO,X,X,O,O
LZSIJOT,X,X,O,O
LZSIOTJ,O,O,X,X
LZSIOJT,O,O,X,X
LZSJTIO,X,X,O,O
LZSJTOI,X,X,O,O
LZSJITO,X,X,O,O
LZSJIOT,X,X,O,O
LZSJOTI,X,X,O,O
LZSJOIT,X,X,O,O
LZSOTIJ,O,O,X,X
LZSOTJI,O,O,O,O
LZSOITJ,O,O,X,X
LZSOIJT,O,O,X,X
LZSOJTI,O,O,O,O
LZSOJIT,O,O,O,O
LZOTIJS,X,O,O,X
LZOTISJ,X,O,X,X
LZOTJIS,X,O,O,X
LZOTJSI,X,O,O,X
LZOTSIJ,X,O,X,X
LZOTSJI,X,O,O,X
LZOITJS,X,O,O,X
LZOITSJ,X,O,X,X
LZOIJTS,X,O,O,X
LZOIJST,O,O,O,X
LZOISTJ,O,O,X,X
LZOISJT,O,O,X,X
LZOJTIS,X,O,O,X
LZOJTSI,X,O,O,X
LZOJITS,X,O,O,X
LZOJIST,O,O,O,O
LZOJSTI,O,O,O,O
LZOJSIT,O,O,O,O
LZOSTIJ,O,O,X,X
LZOSTJI,O,O,O,O
LZOSITJ,O,O,X,X
LZOSIJT,O,O,X,X
LZOSJTI,O,O,O,O
LZOSJIT,O,O,O,O
LOTIJSZ,O,X,X,X
LOTIJZS,X,O,X,X
LOTISJZ,O,X,X,X
LOTISZJ,O,X,X,X
LOTIZJS,X,O,X,X
LOTIZSJ,X,O,X,X
LOTJISZ,O,X,X,O
LOTJIZS,X,O,O,X
LOTJSIZ,O,X,X,O
LOTJSZI,O,X,X,O
LOTJZIS,X,O,O,X
LOTJZSI,X,O,O,X
LOTSIJZ,O,X,X,O
LOTSIZJ,O,X,X,X
LOTSJIZ,O,X,X,O
LOTSJZI,O,X,X,O
LOTSZIJ,O,X,X,X
LOTSZJI,O,X,X,O
LOTZIJS,X,O,O,X
LOTZISJ,X,O,X,X
LOTZJIS,X,O,O,X
LOTZJSI,X,O,O,X
LOTZSIJ,X,O,X,X
LOTZSJI,X,O,O,X
LOITJSZ,O,X,X,X
LOITJZS,X,O,X,X
LOITSJZ,O,X,X,X
LOITSZJ,O,X,X,X
LOITZJS,X,O,X,X
LOITZSJ,X,O,X,X
LOIJTSZ,O,X,X,O
LOIJTZS,X,O,O,X
LOIJSTZ,O,X,X,O
LOIJSZT,O,O,O,O
LOIJZTS,X,O,O,X
LOIJZST,O,O,O,O
LOISTJZ,O,X,X,O
LOISTZJ,O,X,X,X
LOISJTZ,O,X,X,O
LOISJZT,O,O,X,O
LOISZTJ,O,O,X,X
LOISZJT,O,O,X,X
LOIZTJS,X,O,O,X
LOIZTSJ,X,O,X,X
LOIZJTS,X,O,O,X
LOIZJST,O,O,O,X
LOIZSTJ,O,O,X,X
LOIZSJT,O,O,X,X
LOJTISZ,O,X,X,O
LOJTIZS,X,O,O,X
LOJTSIZ,O,X,X,O
LOJTSZI,O,X,X,O
LOJTZIS,X,O,O,X
LOJTZSI,X,O,O,X
LOJITSZ,O,X,X,O
LOJITZS,X,O,O,X
LOJISTZ,O,X,X,O
LOJISZT,O,O,O,O
LOJIZTS,X,O,O,X
LOJIZST,O,O,O,O
LOJSTIZ,O,X,X,O
LOJSTZI,O,X,X,O
LOJSITZ,O,X,X,O
LOJSIZT,O,O,O,O
LOJSZTI,O,O,O,O
LOJSZIT,O,O,O,O
LOJZTIS,X,O,O,X
LOJZTSI,X,O,O,X
LOJZITS,X,O,O,X
LOJZIST,O,O,O,O
LOJZSTI,O,O,O,O
LOJZSIT,O,O,O,O
LOSTIJZ,O,X,X,O
LOSTIZJ,O,X,X,X
LOSTJIZ,O,X,X,O
LOSTJZI,O,X,X,O
LOSTZIJ,O,X,X,X
LOSTZJI,O,X,X,O
LOSITJZ,O,X,X,O
LOSITZJ,O,X,X,X
LOSIJTZ,O,X,X,O
LOSIJZT,O,O,X,O
LOSIZTJ,O,O,X,X
LOSIZJT,O,O,X,X
LOSJTIZ,O,X,X,O
LOSJTZI,O,X,X,O
LOSJITZ,O,X,X,O
LOSJIZT,O,O,O,O
LOSJZTI,O,O,O,O
LOSJZIT,O,O,O,O
LOSZTIJ,O,O,X,X
LOSZTJI,O,O,O,O
LOSZITJ,O,O,X,X
LOSZIJT,O,O,X,X
LOSZJTI,O,O,O,O
LOSZJIT,O,O,O,O
LOZTIJS,X,O,O,X
LOZTISJ,X,O,X,X
LOZTJIS,X,O,O,X
LOZTJSI,X,O,O,X
LOZTSIJ,X,O,X,X
LOZTSJI,X,O,O,X
LOZITJS,X,O,O,X
LOZITSJ,X,O,X,X
LOZIJTS,X,O,O,X
LOZIJST,O,O,O,X
LOZISTJ,O,O,X,X
LOZISJT,O,O,X,X
LOZJTIS,X,O,O,X
LOZJTSI,X,O,O,X
LOZJITS,X,O,O,X
LOZJIST,O,O,O,O
LOZJSTI,O,O,O,O
LOZJSIT,O,O,O,O
LOZSTIJ,O,O,X,X
LOZSTJI,O,O,O,O
LOZSITJ,O,O,X,X
LOZSIJT,O,O,X,X
LOZSJTI,O,O,O,O
LOZSJIT,O,O,O,O
JTILSZO,X,X,X,O
JTILSOZ,X,X,X,O
JTILZSO,X,X,O,X
JTILZOS,X,X,O,X
JTILOSZ,X,X,X,O
JTILOZS,X,X,O,X
JTISLZO,X,X,X,O
JTISLOZ,O,X,X,O
JTISZLO,X,X,X,O
JTISZOL,O,X,X,X
JTISOLZ,O,X,X,O
JTISOZL,O,X,X,X
JTIZLSO,X,X,O,X
JTIZLOS,X,O,O,X
JTIZSLO,X,X,O,X
JTIZSOL,X,O,X,X
JTIZOLS,X,O,O,X
JTIZOSL,X,O,X,X
JTIOLSZ,O,X,X,X
JTIOLZS,X,O,X,X
JTIOSLZ,O,X,X,X
JTIOSZL,O,X,X,X
JTIOZLS,X,O,X,X
JTIOZSL,X,O,X,X
JTLISZO,X,X,X,O
JTLISOZ,X,X,X,O
JTLIZSO,X,X,O,X
JTLIZOS,X,X,O,X
JTLIOSZ,X,X,X,O
JTLIOZS,X,X,O,X
JTLSIZO,X,X,X,O
JTLSIOZ,X,X,X,O
JTLSZIO,X,X,X,O
JTLSZOI,X,X,X,O
JTLSOIZ,X,X,X,O
JTLSOZI,X,X,X,O
JTLZISO,X,X,O,X
JTLZIOS,X,X,O,X
JTLZSIO,X,X,O,X
JTLZSOI,X,X,O,X
JTLZOIS,X,X,O,X
JTLZOSI,X,X,O,X
JTLOISZ,X,X,X,O
JTLOIZS,X,X,O,X
JTLOSIZ,X,X,X,O
JTLOSZI,X,X,X,O
JTLOZIS,X,X,O,X
JTLOZSI,X,X,O,X
JTSILZO,X,X,X,O
JTSILOZ,O,X,X,O
JTSIZLO,X,X,X,O
JTSIZOL,O,X,X,X
JTSIOLZ,O,X,X,O
JTSIOZL,O,X,X,X
JTSLIZO,X,X,X,O
JTSLIOZ,O,X,X,O
JTSLZIO,X,X,X,O
JTSLZOI,X,X,X,O
JTSLOIZ,O,X,X,O
JTSLOZI,O,X,X,O
JTSZILO,X,X,X,O
JTSZIOL,O,X,X,X
JTSZLIO,X,X,X,O
JTSZLOI,X,X,X,O
JTSZOIL,O,X,X,X
JTSZOLI,O,X,X,X
JTSOILZ,O,X,X,O
JTSOIZL,O,X,X,X
JTSOLIZ,O,X,X,O
JTSOLZI,O,X,X,O
JTSOZIL,O,X,X,X
JTSOZLI,O,X,X,X
JTZILSO,X,X,O,X
JTZILOS,X,O,O,X
JTZISLO,X,X,O,X
JTZISOL,X,O,X,X
JTZIOLS,X,O,O,X
JTZIOSL,X,O,X,X
JTZLISO,X,X,O,X
JTZLIOS,X,O,O,X
JTZLSIO,X,X,O,X
JTZLSOI,X,X,O,X
JTZLOIS,X,O,O,X
JTZLOSI,X,O,O,X
JTZSILO,X,X,O,X
JTZSIOL,X,O,X,X
JTZSLIO,X,X,O,X
JTZSLOI,X,X,O,X
JTZSOIL,X,O,X,X
JTZSOLI,X,O,X,X
JTZOILS,X,O,O,X
JTZOISL,X,O,X,X
JTZOLIS,X,O,O,X
JTZOLSI,X,O,O,X
JTZOSIL,X,O,X,X
JTZOSLI,X,O,X,X
JTOILSZ,O,X,X,X
JTOILZS,X,O,X,X
JTOISLZ,O,X,X,X
JTOISZL,O,X,X,X
JTOIZLS,X,O,X,X
JTOIZSL,X,O,X,X
JTOLISZ,O,X,X,X
JTOLIZS,X,O,X,X
JTOLSIZ,O,X,X,X
JTOLSZI,O,X,X,X
JTOLZIS,X,O,X,X
JTOLZSI,X,O,X,X
JTOSILZ,O,X,X,X
JTOSIZL,O,X,X,X
JTOSLIZ,O,X,X,X
JTOSLZI,O,X,X,X
JTOSZIL,O,X,X,X
JTOSZLI,O,X,X,X
JTOZILS,X,O,X,X
JTOZISL,X,O,X,X
JTOZLIS,X,O,X,X
JTOZLSI,X,O,X,X
JTOZSIL,X,O,X,X
JTOZSLI,X,O,X,X
JITLSZO,X,X,X,O
JITLSOZ,X,X,X,O
JITLZSO,X,X,O,X
JITLZOS,X,X,O,X
JITLOSZ,X,X,X,O
JITLOZS,X,X,O,X
JITSLZO,X,X,X,O
JITSLOZ,O,X,X,O
JITSZLO,X,X,X,O
JITSZOL,O,X,X,X
JITSOLZ,O,X,X,O
JITSOZL,O,X,X,X
JITZLSO,X,X,O,X
JITZLOS,X,O,O,X
JITZSLO,X,X,O,X
JITZSOL,X,O,X,X
JITZOLS,X,O,O,X
JITZOSL,X,O,X,X
JITOLSZ,O,X,X,X
JITOLZS,X,O,X,X
JITOSLZ,O,X,X,X
JITOSZL,O,X,X,X
JITOZLS,X,O,X,X
JITOZSL,X,O,X,X
JILTSZO,X,X,X,O
JILTSOZ,X,X,X,O
JILTZSO,X,X,O,X
JILTZOS,X,X,O,X
JILTOSZ,X,X,X,O
JILTOZS,X,X,O,X
JILSTZO,X,X,X,O
JILSTOZ,O,X,X,O
JILSZTO,X,X,O,O
JILSZOT,X,X,O,O
JILSOTZ,O,X,X,O
JILSOZT,O,X,O,O
JILZTSO,X,X,O,X
JILZTOS,X,O,O,X
JILZSTO,X,X,O,O
JILZSOT,X,X,O,O
JILZOTS,X,O,O,X
JILZOST,X,O,O,O
JILOTSZ,O,X,X,O
JILOTZS,X,O,O,X
JILOSTZ,O,X,X,O
JILOSZT,O,O,O,O
JILOZTS,X,O,O,X
JILOZST,O,O,O,O
JISTLZO,X,X,X,O
JISTLOZ,O,X,X,O
JISTZLO,X,X,X,O
JISTZOL,O,X,X,X
JISTOLZ,O,X,X,O
JISTOZL,O,X,X,X
JISLTZO,X,X,X,O
JISLTOZ,O,X,X,O
JISLZTO,X,X,O,O
JISLZOT,X,X,O,O
JISLOTZ,O,X,X,O
JISLOZT,O,X,O,O
JISZTLO,X,X,O,O
JISZTOL,O,O,X,X
JISZLTO,X,X,O,O
JISZLOT,X,X,O,O
JISZOTL,O,O,X,X
JISZOLT,O,O,X,X
JISOTLZ,O,X,X,O
JISOTZL,O,X,X,X
JISOLTZ,O,X,X,O
JISOLZT,O,O,X,O
JISOZTL,O,O,X,X
JISOZLT,O,O,X,X
JIZTLSO,X,X,O,X
JIZTLOS,X,O,O,X
JIZTSLO,X,X,O,X
JIZTSOL,X,O,X,X
JIZTOLS,X,O,O,X
JIZTOSL,X,O,X,X
JIZLTSO,X,X,O,X
JIZLTOS,X,O,O,X
JIZLSTO,X,X,O,O
JIZLSOT,X,X,O,O
JIZLOTS,X,O,O,X
JIZLOST,X,O,O,O
JIZSTLO,X,X,O,O
JIZSTOL,O,O,X,X
JIZSLTO,X,X,O,O
JIZSLOT,X,X,O,O
JIZSOTL,O,O,X,X
JIZSOLT,O,O,X,X
JIZOTLS,X,O,O,X
JIZOTSL,X,O,X,X
JIZOLTS,X,O,O,X
JIZOLST,O,O,O,X
JIZOSTL,O,O,X,X
JIZOSLT,O,O,X,X
JIOTLSZ,O,X,X,X
JIOTLZS,X,O,X,X
JIOTSLZ,O,X,X,X
JIOTSZL,O,X,X,X
JIOTZLS,X,O,X,X
JIOTZSL,X,O,X,X
JIOLTSZ,O,X,X,O
JIOLTZS,X,O,O,X
JIOLSTZ,O,X,X,O
JIOLSZT,O,O,O,O
JIOLZTS,X,O,O,X
JIOLZST,O,O,O,O
JIOSTLZ,O,X,X,O
JIOSTZL,O,X,X,X
JIOSLTZ,O,X,X,O
JIOSLZT,O,O,X,O
JIOSZTL,O,O,X,X
JIOSZLT,O,O,X,X
JIOZTLS,X,O,O,X
JIOZTSL,X,O,X,X
JIOZLTS,X,O,O,X
JIOZLST,O,O,O,X
JIOZSTL,O,O,X,X
JIOZSLT,O,O,X,X
JLTISZO,X,X,X,O
JLTISOZ,X,X,X,O
JLTIZSO,X,X,O,X
JLTIZOS,X,X,O,X
JLTIOSZ,X,X,X,O
JLTIOZS,X,X,O,X
JLTSIZO,X,X,X,O
JLTSIOZ,X,X,X,O
JLTSZIO,X,X,X,O
JLTSZOI,X,X,X,O
JLTSOIZ,X,X,X,O
JLTSOZI,X,X,X,O
JLTZISO,X,X,O,X
JLTZIOS,X,X,O,X
JLTZSIO,X,X,O,X
JLTZSOI,X,X,O,X
JLTZOIS,X,X,O,X
JLTZOSI,X,X,O,X
JLTOISZ,X,X,X,O
JLTOIZS,X,X,O,X
JLTOSIZ,X,X,X,O
JLTOSZI,X,X,X,O
JLTOZIS,X,X,O,X
JLTOZSI,X,X,O,X
JLITSZO,X,X,X,O
JLITSOZ,X,X,X,O
JLITZSO,X,X,O,X
JLITZOS,X,X,O,X
JLITOSZ,X,X,X,O
JLITOZS,X,X,O,X
JLISTZO,X,X,X,O
JLISTOZ,O,X,X,O
JLISZTO,X,X,O,O
JLISZOT,X,X,O,O
JLISOTZ,O,X,X,O
JLISOZT,O,X,O,O
JLIZTSO,X,X,O,X
JLIZTOS,X,O,O,X
JLIZSTO,X,X,O,O
JLIZSOT,X,X,O,O
JLIZOTS,X,O,O,X
JLIZOST,X,O,O,O
JLIOTSZ,O,X,X,O
JLIOTZS,X,O,O,X
JLIOSTZ,O,X,X,O
JLIOSZT,O,O,O,O
JLIOZTS,X,O,O,X
JLIOZST,O,O,O,O
JLSTIZO,X,X,X,O
JLSTIOZ,O,X,X,O
JLSTZIO,X,X,X,O
JLSTZOI,X,X,X,O
JLSTOIZ,O,X,X,O
JLSTOZI,O,X,X,O
JLSITZO,X,X,X,O
JLSITOZ,O,X,X,O
JLSIZTO,X,X,O,O
JLSIZOT,X,X,O,O
JLSIOTZ,O,X,X,O
JLSIOZT,O,X,O,O
JLSZTIO,X,X,O,O
JLSZTOI,X,X,O,O
JLSZITO,X,X,O,O
JLSZIOT,X,X,O,O
JLSZOTI,X,X,O,O
JLSZOIT,X,X,O,O
JLSOTIZ,O,X,X,O
JLSOTZI,O,X,X,O
JLSOITZ,O,X,X,O
JLSOIZT,O,X,O,O
JLSOZTI,O,X,O,O
JLSOZIT,O,X,O,O
JLZTISO,X,X,O,X
JLZTIOS,X,O,O,X
JLZTSIO,X,X,O,X
JLZTSOI,X,X,O,X
JLZTOIS,X,O,O,X
JLZTOSI,X,O,O,X
JLZITSO,X,X,O,X
JLZITOS,X,O,O,X
JLZISTO,X,X,O,O
JLZISOT,X,X,O,O
JLZIOTS,X,O,O,X
JLZIOST,X,O,O,O
JLZSTIO,X,X,O,O
JLZSTOI,X,X,O,O
JLZSITO,X,X,O,O
JLZSIOT,X,X,O,O
JLZSOTI,X,X,O,O
JLZSOIT,X,X,O,O
JLZOTIS,X,O,O,X
JLZOTSI,X,O,O,X
JLZOITS,X,O,O,X
JLZOIST,X,O,O,O
JLZOSTI,X,O,O,O
JLZOSIT,X,O,O,O
JLOTISZ,O,X,X,O
JLOTIZS,X,O,O,X
JLOTSIZ,O,X,X,O
JLOTSZI,O,X,X,O
JLOTZIS,X,O,O,X
JLOTZSI,X,O,O,X
JLOITSZ,O,X,X,O
JLOITZS,X,O,O,X
JLOISTZ,O,X,X,O
JLOISZT,O,O,O,O
JLOIZTS,X,O,O,X
JLOIZST,O,O,O,O
JLOSTIZ,O,X,X,O
JLOSTZI,O,X,X,O
JLOSITZ,O,X,X,O
JLOSIZT,O,O,O,O
JLOSZTI,O,O,O,O
JLOSZIT,O,O,O,O
JLOZTIS,X,O,O,X
JLOZTSI,X,O,O,X
JLOZITS,X,O,O,X
JLOZIST,O,O,O,O
JLOZSTI,O,O,O,O
JLOZSIT,O,O,O,O
JSTILZO,X,X,X,O
JSTILOZ,O,X,X,O
JSTIZLO,X,X,X,O
JSTIZOL,O,X,X,X
JSTIOLZ,O,X,X,O
JSTIOZL,O,X,X,X
JSTLIZO,X,X,X,O
JSTLIOZ,O,X,X,O
JSTLZIO,X,X,X,O
JSTLZOI,X,X,X,O
JSTLOIZ,O,X,X,O
JSTLOZI,O,X,X,O
JSTZILO,X,X,X,O
JSTZIOL,O,X,X,X
JSTZLIO,X,X,X,O
JSTZLOI,X,X,X,O
JSTZOIL,O,X,X,X
JSTZOLI,O,X,X,X
JSTOILZ,O,X,X,O
JSTOIZL,O,X,X,X
JSTOLIZ,O,X,X,O
JSTOLZI,O,X,X,O
JSTOZIL,O,X,X,X
JSTOZLI,O,X,X,X
JSITLZO,X,X,X,O
JSITLOZ,O,X,X,O
JSITZLO,X,X,X,O
JSITZOL,O,X,X,X
JSITOLZ,O,X,X,O
JSITOZL,O,X,X,X
JSILTZO,X,X,X,O
JSILTOZ,O,X,X,O
JSILZTO,X,X,O,O
JSILZOT,X,X,O,O
JSILOTZ,O,X,X,O
JSILOZT,O,X,O,O
JSIZTLO,X,X,O,O
JSIZTOL,O,O,X,X
JSIZLTO,X,X,O,O
JSIZLOT,X,X,O,O
JSIZOTL,O,O,X,X
JSIZOLT,O,O,X,X
JSIOTLZ,O,X,X,O
JSIOTZL,O,X,X,X
