sequence,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Ke0/IvhFlhBziB?5oBarBXlBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Kel/IvhFamBziB?5oBXlB+rBUsB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeXAJvhFlhBziB?5oBarB0kBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeVFJvhF3hBziB?5oB0kBarBWxB
ITOZSJL,X,X,X,O
ILTJSZO,X,X,X,X
ILTJSOZ,X,X,O,O
ILTJZSO,X,X,X,X
ILTJZOS,O,X,X,X
ILTJOSZ,X,X,O,O
ILTJOZS,O,X,X,X
ILTSJZO,X,X,X,X
ILTSJOZ,X,X,O,X
ILTSZJO,X,X,X,X
ILTSZOJ,O,X,O,X
ILTSOJZ,X,X,O,O
ILTSOZJ,O,X,O,O
ILTZJSO,X,X,X,X
ILTZJOS,O,X,X,X
ILTZSJO,X,X,X,X
ILTZSOJ,O,X,O,X
ILTZOJS,O,X,X,X
ILTZOSJ,O,X,O,X
ILTOJSZ,X,X,O,O
ILTOJZS,O,X,X,X
ILTOSJZ,X,X,O,O
ILTOSZJ,O,X,O,O
ILTOZJS,O,X,X,X
ILTOZSJ,O,X,O,X
ILJTSZO,O,O,O,X
ILJTSOZ,O,O,O,O
ILJTZSO,O,X,O,X
ILJTZOS,O,X,O,X
ILJTOSZ,O,O,O,O
ILJTOZS,O,X,O,X
ILJSTZO,O,O,O,X
ILJSTOZ,O,O,O,O
ILJSZTO,O,O,O,X
ILJSZOT,O,O,O,X
ILJSOTZ,O,O,O,O
ILJSOZT,O,O,O,X
ILJZTSO,O,X,O,X
ILJZTOS,O,X,O,X
ILJZSTO,O,O,O,X
ILJZSOT,O,O,O,X
ILJZOTS,O,X,O,X
ILJZOST,O,O,O,X
ILJOTSZ,O,O,O,O
ILJOTZS,O,X,O,X
ILJOSTZ,O,O,O,O
ILJOSZT,O,O,O,X
ILJOZTS,O,X,O,X
ILJOZST,O,O,O,X
ILSTJZO,X,O,X,X
ILSTJOZ,X,O,O,X
ILSTZJO,X,X,X,X
ILSTZOJ,O,X,O,X
ILSTOJZ,X,O,O,O
ILSTOZJ,O,X,O,O
ILSJTZO,X,O,X,X
ILSJTOZ,X,O,O,X
ILSJZTO,X,O,X,X
ILSJZOT,X,O,X,X
ILSJOTZ,X,O,O,X
ILSJOZT,X,O,X,X
ILSZTJO,X,X,X,X
ILSZTOJ,O,X,O,X
ILSZJTO,X,X,X,X
ILSZJOT,X,X,X,X
ILSZOTJ,O,X,O,X
ILSZOJT,X,X,X,X
ILSOTJZ,X,O,O,O
ILSOTZJ,O,X,O,O
ILSOJTZ,X,O,O,X
ILSOJZT,X,O,X,X
ILSOZTJ,O,X,O,X
ILSOZJT,X,X,X,X
ILZTJSO,X,X,X,X
ILZTJOS,O,X,X,X
ILZTSJO,X,X,X,X
ILZTSOJ,O,X,O,X
ILZTOJS,O,X,X,X
ILZTOSJ,O,X,O,X
ILZJTSO,O,X,X,X
ILZJTOS,O,X,X,X
ILZJSTO,O,X,X,X
ILZJSOT,O,X,X,X
ILZJOTS,O,X,X,X
ILZJOST,O,X,X,X
ILZSTJO,X,X,X,X
ILZSTOJ,O,X,O,X
ILZSJTO,X,X,X,X
ILZSJOT,X,X,X,X
ILZSOTJ,O,X,O,X
ILZSOJT,X,X,X,X
ILZOTJS,O,X,X,X
ILZOTSJ,O,X,O,X
ILZOJTS,O,X,X,X
ILZOJST,O,X,X,X
ILZOSTJ,O,X,O,X
ILZOSJT,X,X,X,X
ILOTJSZ,X,X,O,O
ILOTJZS,O,X,X,X
ILOTSJZ,X,X,O,O
ILOTSZJ,O,X,O,O
ILOTZJS,O,X,X,X
ILOTZSJ,O,X,O,X
ILOJTSZ,O,O,O,O
ILOJTZS,O,X,O,X
ILOJSTZ,O,O,O,O
ILOJSZT,O,O,O,X
ILOJZTS,O,X,O,X
ILOJZST,O,O,O,X
ILOSTJZ,X,O,O,O
ILOSTZJ,O,X,O,O
ILOSJTZ,X,O,O,X
ILOSJZT,X,O,X,X
ILOSZTJ,O,X,O,X
ILOSZJT,X,X,X,X
ILOZTJS,O,X,X,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,X,X,X
ILOZJST,O,X,X,X
ILOZSTJ,O,X,O,X
ILOZSJT,X,X,X,X
IJTLSZO,O,O,O,X
IJTLSOZ,O,O,O,O
IJTLZSO,O,X,O,X
IJTLZOS,O,X,O,X
IJTLOSZ,O,O,O,O
IJTLOZS,O,X,O,X
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,X,O
IJTSZLO,X,O,X,X
IJTSZOL,X,O,X,O
IJTSOLZ,X,O,X,O
IJTSOZL,X,O,X,O
IJTZLSO,O,X,X,X
IJTZLOS,O,X,X,X
IJTZSLO,X,X,X,X
IJTZSOL,X,X,X,O
IJTZOLS,O,X,X,X
IJTZOSL,X,X,X,O
IJTOLSZ,O,O,O,O
IJTOLZS,O,X,O,X
IJTOSLZ,X,O,X,O
IJTOSZL,X,O,X,O
IJTOZLS,O,X,X,X
IJTOZSL,X,X,X,O
IJLTSZO,O,O,O,X
IJLTSOZ,O,O,O,O
IJLTZSO,O,X,O,X
IJLTZOS,O,X,O,X
IJLTOSZ,O,O,O,O
IJLTOZS,O,X,O,X
IJLSTZO,O,O,O,X
IJLSTOZ,O,O,O,O
IJLSZTO,O,O,O,X
IJLSZOT,O,O,O,X
IJLSOTZ,O,O,O,O
IJLSOZT,O,O,O,X
IJLZTSO,O,X,O,X
IJLZTOS,O,X,O,X
IJLZSTO,O,O,O,X
IJLZSOT,O,O,O,X
IJLZOTS,O,X,O,X
IJLZOST,O,O,O,X
IJLOTSZ,O,O,O,O
IJLOTZS,O,X,O,X
IJLOSTZ,O,O,O,O
IJLOSZT,O,O,O,X
IJLOZTS,O,X,O,X
IJLOZST,O,O,O,X
IJSTLZO,X,O,X,X
IJSTLOZ,X,O,X,O
IJSTZLO,X,O,X,X
IJSTZOL,X,O,X,O
IJSTOLZ,X,O,X,O
IJSTOZL,X,O,X,O
IJSLTZO,O,O,O,X
IJSLTOZ,O,O,O,O
IJSLZTO,O,O,O,X
IJSLZOT,O,O,O,X
IJSLOTZ,O,O,O,O
IJSLOZT,O,O,O,X
IJSZTLO,X,O,X,X
IJSZTOL,X,O,X,O
IJSZLTO,O,O,X,X
IJSZLOT,O,O,X,X
IJSZOTL,X,O,X,O
IJSZOLT,O,O,X,X
IJSOTLZ,X,O,X,O
IJSOTZL,X,O,X,O
IJSOLTZ,O,O,O,O
IJSOLZT,O,O,O,X
IJSOZTL,X,O,X,O
IJSOZLT,O,O,X,X
IJZTLSO,O,X,X,X
IJZTLOS,O,X,X,X
IJZTSLO,X,X,X,X
IJZTSOL,X,X,X,O
IJZTOLS,O,X,X,X
IJZTOSL,X,X,X,O
IJZLTSO,O,X,O,X
IJZLTOS,O,X,O,X
IJZLSTO,O,O,O,X
IJZLSOT,O,O,O,X
IJZLOTS,O,X,O,X
IJZLOST,O,O,O,X
IJZSTLO,X,O,X,X
IJZSTOL,X,O,X,O
IJZSLTO,O,O,X,X
IJZSLOT,O,O,X,X
IJZSOTL,X,O,X,O
IJZSOLT,O,O,X,X
IJZOTLS,O,X,X,X
IJZOTSL,X,X,X,O
IJZOLTS,O,X,O,X
IJZOLST,O,O,O,X
IJZOSTL,X,O,X,O
IJZOSLT,O,O,X,X
IJOTLSZ,O,O,O,O
IJOTLZS,O,X,O,X
IJOTSLZ,X,O,X,O
IJOTSZL,X,O,X,O
IJOTZLS,O,X,X,X
IJOTZSL,X,X,X,O
IJOLTSZ,O,O,O,O
IJOLTZS,O,X,O,X
IJOLSTZ,O,O,O,O
IJOLSZT,O,O,O,X
IJOLZTS,O,X,O,X
IJOLZST,O,O,O,X
IJOSTLZ,X,O,X,O
IJOSTZL,X,O,X,O
IJOSLTZ,O,O,O,O
IJOSLZT,O,O,O,X
IJOSZTL,X,O,X,O
IJOSZLT,O,O,X,X
IJOZTLS,O,X,X,X
IJOZTSL,X,X,X,O
IJOZLTS,O,X,O,X
IJOZLST,O,O,O,X
IJOZSTL,X,O,X,O
IJOZSLT,O,O,X,X
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,X
ISTLOJZ,X,O,X,O
ISTLOZJ,X,X,X,O
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,X,O
ISTJZLO,X,O,X,X
ISTJZOL,X,O,X,O
ISTJOLZ,X,O,X,O
ISTJOZL,X,O,X,O
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,O,X,X
ISTZJOL,X,O,X,X
ISTZOLJ,X,X,X,O
ISTZOJL,X,O,X,O
ISTOLJZ,X,O,X,O
ISTOLZJ,X,X,X,O
ISTOJLZ,X,O,X,O
ISTOJZL,X,O,X,O
ISTOZLJ,X,X,X,O
ISTOZJL,X,O,X,O
ISLTJZO,X,O,X,X
ISLTJOZ,X,O,O,X
ISLTZJO,X,X,X,X
ISLTZOJ,O,X,O,X
ISLTOJZ,X,O,O,O
ISLTOZJ,O,X,O,O
ISLJTZO,X,O,X,X
ISLJTOZ,X,O,O,X
ISLJZTO,X,O,X,X
ISLJZOT,X,O,X,X
ISLJOTZ,X,O,O,X
ISLJOZT,X,O,X,X
ISLZTJO,X,X,X,X
ISLZTOJ,O,X,O,X
ISLZJTO,X,X,X,X
ISLZJOT,X,X,X,X
ISLZOTJ,O,X,O,X
ISLZOJT,X,X,X,X
ISLOTJZ,X,O,O,O
ISLOTZJ,O,X,O,O
ISLOJTZ,X,O,O,X
ISLOJZT,X,O,X,X
ISLOZTJ,O,X,O,X
ISLOZJT,X,X,X,X
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,X,O
ISJTZLO,X,O,X,X
ISJTZOL,X,O,X,O
ISJTOLZ,X,O,X,O
ISJTOZL,X,O,X,O
ISJLTZO,O,O,O,X
ISJLTOZ,O,O,O,O
ISJLZTO,O,O,O,X
ISJLZOT,O,O,O,X
ISJLOTZ,O,O,O,O
ISJLOZT,O,O,O,X
ISJZTLO,X,O,X,X
ISJZTOL,X,O,X,O
ISJZLTO,O,O,X,X
ISJZLOT,O,O,X,X
ISJZOTL,X,O,X,O
ISJZOLT,O,O,X,X
ISJOTLZ,X,O,X,O
ISJOTZL,X,O,X,O
ISJOLTZ,O,O,O,O
ISJOLZT,O,O,O,X
ISJOZTL,X,O,X,O
ISJOZLT,O,O,X,X
ISZTLJO,X,X,X,X
ISZTLOJ,X,X,X,X
ISZTJLO,X,O,X,X
ISZTJOL,X,O,X,X
ISZTOLJ,X,X,X,O
ISZTOJL,X,O,X,O
ISZLTJO,X,X,X,X
ISZLTOJ,O,X,X,X
ISZLJTO,X,X,X,X
ISZLJOT,X,X,X,X
ISZLOTJ,O,X,X,X
ISZLOJT,X,X,X,X
ISZJTLO,X,O,X,X
ISZJTOL,X,O,X,X
ISZJLTO,O,O,X,X
ISZJLOT,O,O,X,X
ISZJOTL,X,O,X,X
ISZJOLT,O,O,X,X
ISZOTLJ,X,X,X,O
ISZOTJL,X,O,X,O
ISZOLTJ,O,X,X,X
ISZOLJT,X,X,X,X
ISZOJTL,X,O,X,X
ISZOJLT,O,O,X,X
ISOTLJZ,X,O,X,O
ISOTLZJ,X,X,X,O
ISOTJLZ,X,O,X,O
ISOTJZL,X,O,X,O
ISOTZLJ,X,X,X,O
ISOTZJL,X,O,X,O
ISOLTJZ,X,O,O,O
ISOLTZJ,O,X,O,O
ISOLJTZ,X,O,O,X
ISOLJZT,X,O,X,X
ISOLZTJ,O,X,O,X
ISOLZJT,X,X,X,X
ISOJTLZ,X,O,X,O
ISOJTZL,X,O,X,O
ISOJLTZ,O,O,O,O
ISOJLZT,O,O,O,X
ISOJZTL,X,O,X,O
ISOJZLT,O,O,X,X
ISOZTLJ,X,X,X,O
ISOZTJL,X,O,X,O
ISOZLTJ,O,X,X,X
ISOZLJT,X,X,X,X
ISOZJTL,X,O,X,X
ISOZJLT,O,O,X,X
IZTLJSO,X,X,X,X
IZTLJOS,O,X,X,X
IZTLSJO,X,X,X,X
IZTLSOJ,O,X,X,X
IZTLOJS,O,X,X,X
IZTLOSJ,O,X,X,X
IZTJLSO,O,X,X,X
IZTJLOS,O,X,X,X
IZTJSLO,X,X,X,X
IZTJSOL,X,X,X,O
IZTJOLS,O,X,X,X
IZTJOSL,X,X,X,O
IZTSLJO,X,X,X,X
IZTSLOJ,X,X,X,X
IZTSJLO,X,X,X,X
IZTSJOL,X,X,X,X
IZTSOLJ,X,X,X,O
IZTSOJL,X,X,X,O
IZTOLJS,O,X,X,X
IZTOLSJ,O,X,X,X
IZTOJLS,O,X,X,X
IZTOJSL,X,X,X,O
IZTOSLJ,X,X,X,O
IZTOSJL,X,X,X,O
IZLTJSO,X,X,X,X
IZLTJOS,O,X,X,X
IZLTSJO,X,X,X,X
IZLTSOJ,O,X,O,X
IZLTOJS,O,X,X,X
IZLTOSJ,O,X,O,X
IZLJTSO,O,X,X,X
IZLJTOS,O,X,X,X
IZLJSTO,O,X,X,X
IZLJSOT,O,X,X,X
IZLJOTS,O,X,X,X
IZLJOST,O,X,X,X
IZLSTJO,X,X,X,X
IZLSTOJ,O,X,O,X
IZLSJTO,X,X,X,X
IZLSJOT,X,X,X,X
IZLSOTJ,O,X,O,X
IZLSOJT,X,X,X,X
IZLOTJS,O,X,X,X
IZLOTSJ,O,X,O,X
IZLOJTS,O,X,X,X
IZLOJST,O,X,X,X
IZLOSTJ,O,X,O,X
IZLOSJT,X,X,X,X
IZJTLSO,O,X,X,X
IZJTLOS,O,X,X,X
IZJTSLO,X,X,X,X
IZJTSOL,X,X,X,O
IZJTOLS,O,X,X,X
IZJTOSL,X,X,X,O
IZJLTSO,O,X,O,X
IZJLTOS,O,X,O,X
IZJLSTO,O,O,O,X
IZJLSOT,O,O,O,X
IZJLOTS,O,X,O,X
IZJLOST,O,O,O,X
IZJSTLO,X,O,X,X
IZJSTOL,X,O,X,O
IZJSLTO,O,O,X,X
IZJSLOT,O,O,X,X
IZJSOTL,X,O,X,O
IZJSOLT,O,O,X,X
IZJOTLS,O,X,X,X
IZJOTSL,X,X,X,O
IZJOLTS,O,X,O,X
IZJOLST,O,O,O,X
IZJOSTL,X,O,X,O
IZJOSLT,O,O,X,X
IZSTLJO,X,X,X,X
IZSTLOJ,X,X,X,X
IZSTJLO,X,O,X,X
IZSTJOL,X,O,X,X
IZSTOLJ,X,X,X,O
IZSTOJL,X,O,X,O
IZSLTJO,X,X,X,X
IZSLTOJ,O,X,X,X
IZSLJTO,X,X,X,X
IZSLJOT,X,X,X,X
IZSLOTJ,O,X,X,X
IZSLOJT,X,X,X,X
IZSJTLO,X,O,X,X
IZSJTOL,X,O,X,X
IZSJLTO,O,O,X,X
IZSJLOT,O,O,X,X
IZSJOTL,X,O,X,X
IZSJOLT,O,O,X,X
IZSOTLJ,X,X,X,O
IZSOTJL,X,O,X,O
IZSOLTJ,O,X,X,X
IZSOLJT,X,X,X,X
IZSOJTL,X,O,X,X
IZSOJLT,O,O,X,X
IZOTLJS,O,X,X,X
IZOTLSJ,O,X,X,X
IZOTJLS,O,X,X,X
IZOTJSL,X,X,X,O
IZOTSLJ,X,X,X,O
IZOTSJL,X,X,X,O
IZOLTJS,O,X,X,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,X,X,X
IZOLJST,O,X,X,X
IZOLSTJ,O,X,O,X
IZOLSJT,X,X,X,X
IZOJTLS,O,X,X,X
IZOJTSL,X,X,X,O
IZOJLTS,O,X,O,X
IZOJLST,O,O,O,X
IZOJSTL,X,O,X,O
IZOJSLT,O,O,X,X
IZOSTLJ,X,X,X,O
IZOSTJL,X,O,X,O
IZOSLTJ,O,X,X,X
IZOSLJT,X,X,X,X
IZOSJTL,X,O,X,X
IZOSJLT,O,O,X,X
IOTLJSZ,X,X,O,O
IOTLJZS,O,X,X,X
IOTLSJZ,X,X,O,O
IOTLSZJ,O,X,O,O
IOTLZJS,O,X,X,X
IOTLZSJ,O,X,O,X
IOTJLSZ,O,O,O,O
IOTJLZS,O,X,O,X
IOTJSLZ,X,O,X,O
IOTJSZL,X,O,X,O
IOTJZLS,O,X,X,X
IOTJZSL,X,X,X,O
IOTSLJZ,X,O,X,O
IOTSLZJ,X,X,X,O
IOTSJLZ,X,O,X,O
IOTSJZL,X,O,X,O
IOTSZLJ,X,X,X,O
IOTSZJL,X,O,X,O
IOTZLJS,O,X,X,X
IOTZLSJ,O,X,X,X
IOTZJLS,O,X,X,X
IOTZJSL,X,X,X,O
IOTZSLJ,X,X,X,O
IOTZSJL,X,X,X,O
IOLTJSZ,X,X,O,O
IOLTJZS,O,X,X,X
IOLTSJZ,X,X,O,O
IOLTSZJ,O,X,O,O
IOLTZJS,O,X,X,X
IOLTZSJ,O,X,O,X
IOLJTSZ,O,O,O,O
IOLJTZS,O,X,O,X
IOLJSTZ,O,O,O,O
IOLJSZT,O,O,O,X
IOLJZTS,O,X,O,X
IOLJZST,O,O,O,X
IOLSTJZ,X,O,O,O
IOLSTZJ,O,X,O,O
IOLSJTZ,X,O,O,X
IOLSJZT,X,O,X,X
IOLSZTJ,O,X,O,X
IOLSZJT,X,X,X,X
IOLZTJS,O,X,X,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,X,X,X
IOLZJST,O,X,X,X
IOLZSTJ,O,X,O,X
IOLZSJT,X,X,X,X
IOJTLSZ,O,O,O,O
IOJTLZS,O,X,O,X
IOJTSLZ,X,O,X,O
IOJTSZL,X,O,X,O
IOJTZLS,O,X,X,X
IOJTZSL,X,X,X,O
IOJLTSZ,O,O,O,O
IOJLTZS,O,X,O,X
IOJLSTZ,O,O,O,O
IOJLSZT,O,O,O,X
IOJLZTS,O,X,O,X
IOJLZST,O,O,O,X
IOJSTLZ,X,O,X,O
IOJSTZL,X,O,X,O
IOJSLTZ,O,O,O,O
IOJSLZT,O,O,O,X
IOJSZTL,X,O,X,O
IOJSZLT,O,O,X,X
IOJZTLS,O,X,X,X
IOJZTSL,X,X,X,O
IOJZLTS,O,X,O,X
IOJZLST,O,O,O,X
IOJZSTL,X,O,X,O
IOJZSLT,O,O,X,X
IOSTLJZ,X,O,X,O
IOSTLZJ,X,X,X,O
IOSTJLZ,X,O,X,O
IOSTJZL,X,O,X,O
IOSTZLJ,X,X,X,O
IOSTZJL,X,O,X,O
IOSLTJZ,X,O,O,O
IOSLTZJ,O,X,O,O
IOSLJTZ,X,O,O,X
IOSLJZT,X,O,X,X
IOSLZTJ,O,X,O,X
IOSLZJT,X,X,X,X
IOSJTLZ,X,O,X,O
IOSJTZL,X,O,X,O
IOSJLTZ,O,O,O,O
IOSJLZT,O,O,O,X
IOSJZTL,X,O,X,O
IOSJZLT,O,O,X,X
IOSZTLJ,X,X,X,O
IOSZTJL,X,O,X,O
IOSZLTJ,O,X,X,X
IOSZLJT,X,X,X,X
IOSZJTL,X,O,X,X
IOSZJLT,O,O,X,X
IOZTLJS,O,X,X,X
IOZTLSJ,O,X,X,X
IOZTJLS,O,X,X,X
IOZTJSL,X,X,X,O
IOZTSLJ,X,X,X,O
IOZTSJL,X,X,X,O
IOZLTJS,O,X,X,X
IOZLTSJ,O,X,O,X
IOZLJTS,O,X,X,X
IOZLJST,O,X,X,X
IOZLSTJ,O,X,O,X
IOZLSJT,X,X,X,X
IOZJTLS,O,X,X,X
IOZJTSL,X,X,X,O
IOZJLTS,O,X,O,X
IOZJLST,O,O,O,X
IOZJSTL,X,O,X,O
IOZJSLT,O,O,X,X
IOZSTLJ,X,X,X,O
IOZSTJL,X,O,X,O
IOZSLTJ,O,X,X,X
IOZSLJT,X,X,X,X
IOZSJTL,X,O,X,X
IOZSJLT,O,O,X,X
LTIJSZO,X,X,X,X
LTIJSOZ,X,X,O,O
LTIJZSO,X,X,X,X
LTIJZOS,O,X,X,X
LTIJOSZ,X,X,O,O
LTIJOZS,O,X,X,X
LTISJZO,X,X,X,X
LTISJOZ,X,X,O,X
LTISZJO,X,X,X,X
LTISZOJ,O,X,O,X
LTISOJZ,X,X,O,O
LTISOZJ,O,X,O,O
LTIZJSO,X,X,X,X
LTIZJOS,O,X,X,X
LTIZSJO,X,X,X,X
LTIZSOJ,O,X,O,X
LTIZOJS,O,X,X,X
LTIZOSJ,O,X,O,X
LTIOJSZ,X,X,O,O
LTIOJZS,O,X,X,X
LTIOSJZ,X,X,O,O
LTIOSZJ,O,X,O,O
LTIOZJS,O,X,X,X
LTIOZSJ,O,X,O,X
LTJISZO,X,X,X,X
LTJISOZ,X,X,O,O
LTJIZSO,X,X,X,X
LTJIZOS,O,X,X,X
LTJIOSZ,X,X,O,O
LTJIOZS,O,X,X,X
LTJSIZO,X,X,X,X
LTJSIOZ,X,X,O,O
LTJSZIO,X,X,X,X
LTJSZOI,X,X,X,X
LTJSOIZ,X,X,O,O
LTJSOZI,X,X,X,X
LTJZISO,X,X,X,X
LTJZIOS,O,X,X,X
LTJZSIO,X,X,X,X
LTJZSOI,X,X,X,X
LTJZOIS,O,X,X,X
LTJZOSI,X,X,X,X
LTJOISZ,X,X,O,O
LTJOIZS,O,X,X,X
LTJOSIZ,X,X,O,O
LTJOSZI,X,X,X,X
LTJOZIS,O,X,X,X
LTJOZSI,X,X,X,X
LTSIJZO,X,X,X,X
LTSIJOZ,X,X,O,X
LTSIZJO,X,X,X,X
LTSIZOJ,O,X,O,X
LTSIOJZ,X,X,O,O
LTSIOZJ,O,X,O,O
LTSJIZO,X,X,X,X
LTSJIOZ,X,X,O,X
LTSJZIO,X,X,X,X
LTSJZOI,X,X,X,X
LTSJOIZ,X,X,O,X
LTSJOZI,X,X,X,X
LTSZIJO,X,X,X,X
LTSZIOJ,O,X,O,X
LTSZJIO,X,X,X,X
LTSZJOI,X,X,X,X
LTSZOIJ,O,X,O,X
LTSZOJI,X,X,X,X
LTSOIJZ,X,X,O,O
LTSOIZJ,O,X,O,O
LTSOJIZ,X,X,O,X
LTSOJZI,X,X,X,X
LTSOZIJ,O,X,O,X
LTSOZJI,X,X,X,X
LTZIJSO,X,X,X,X
LTZIJOS,O,X,X,X
LTZISJO,X,X,X,X
LTZISOJ,O,X,O,X
LTZIOJS,O,X,X,X
LTZIOSJ,O,X,O,X
LTZJISO,X,X,X,X
LTZJIOS,O,X,X,X
LTZJSIO,X,X,X,X
LTZJSOI,X,X,X,X
LTZJOIS,O,X,X,X
LTZJOSI,X,X,X,X
LTZSIJO,X,X,X,X
LTZSIOJ,O,X,O,X
LTZSJIO,X,X,X,X
LTZSJOI,X,X,X,X
LTZSOIJ,O,X,O,X
LTZSOJI,X,X,X,X
LTZOIJS,O,X,X,X
LTZOISJ,O,X,O,X
LTZOJIS,O,X,X,X
LTZOJSI,X,X,X,X
LTZOSIJ,O,X,O,X
LTZOSJI,X,X,X,X
LTOIJSZ,X,X,O,O
LTOIJZS,O,X,X,X
LTOISJZ,X,X,O,O
LTOISZJ,O,X,O,O
LTOIZJS,O,X,X,X
LTOIZSJ,O,X,O,X
LTOJISZ,X,X,O,O
LTOJIZS,O,X,X,X
LTOJSIZ,X,X,O,O
LTOJSZI,X,X,X,X
LTOJZIS,O,X,X,X
LTOJZSI,X,X,X,X
LTOSIJZ,X,X,O,O
LTOSIZJ,O,X,O,O
LTOSJIZ,X,X,O,X
LTOSJZI,X,X,X,X
LTOSZIJ,O,X,O,X
LTOSZJI,X,X,X,X
LTOZIJS,O,X,X,X
LTOZISJ,O,X,O,X
LTOZJIS,O,X,X,X
LTOZJSI,X,X,X,X
LTOZSIJ,O,X,O,X
LTOZSJI,X,X,X,X
LITJSZO,X,X,X,X
LITJSOZ,X,X,O,O
LITJZSO,X,X,X,X
LITJZOS,O,X,X,X
LITJOSZ,X,X,O,O
LITJOZS,O,X,X,X
LITSJZO,X,X,X,X
LITSJOZ,X,X,O,X
LITSZJO,X,X,X,X
LITSZOJ,O,X,O,X
LITSOJZ,X,X,O,O
LITSOZJ,O,X,O,O
LITZJSO,X,X,X,X
LITZJOS,O,X,X,X
LITZSJO,X,X,X,X
LITZSOJ,O,X,O,X
LITZOJS,O,X,X,X
LITZOSJ,O,X,O,X
LITOJSZ,X,X,O,O
LITOJZS,O,X,X,X
LITOSJZ,X,X,O,O
LITOSZJ,O,X,O,O
LITOZJS,O,X,X,X
LITOZSJ,O,X,O,X
LIJTSZO,O,O,O,X
LIJTSOZ,O,O,O,O
LIJTZSO,O,X,O,X
LIJTZOS,O,X,O,X
LIJTOSZ,O,O,O,O
LIJTOZS,O,X,O,X
LIJSTZO,O,O,O,X
LIJSTOZ,O,O,O,O
LIJSZTO,O,O,O,X
LIJSZOT,O,O,O,X
LIJSOTZ,O,O,O,O
LIJSOZT,O,O,O,X
LIJZTSO,O,X,O,X
LIJZTOS,O,X,O,X
LIJZSTO,O,O,O,X
LIJZSOT,O,O,O,X
LIJZOTS,O,X,O,X
LIJZOST,O,O,O,X
LIJOTSZ,O,O,O,O
LIJOTZS,O,X,O,X
LIJOSTZ,O,O,O,O
LIJOSZT,O,O,O,X
LIJOZTS,O,X,O,X
LIJOZST,O,O,O,X
LISTJZO,X,O,X,X
LISTJOZ,X,O,O,X
LISTZJO,X,X,X,X
LISTZOJ,O,X,O,X
LISTOJZ,X,O,O,O
LISTOZJ,O,X,O,O
LISJTZO,X,O,X,X
LISJTOZ,X,O,O,X
LISJZTO,X,O,X,X
LISJZOT,X,O,X,X
LISJOTZ,X,O,O,X
LISJOZT,X,O,X,X
LISZTJO,X,X,X,X
LISZTOJ,O,X,O,X
LISZJTO,X,X,X,X
LISZJOT,X,X,X,X
LISZOTJ,O,X,O,X
LISZOJT,X,X,X,X
LISOTJZ,X,O,O,O
LISOTZJ,O,X,O,O
LISOJTZ,X,O,O,X
LISOJZT,X,O,X,X
LISOZTJ,O,X,O,X
LISOZJT,X,X,X,X
LIZTJSO,X,X,X,X
LIZTJOS,O,X,X,X
LIZTSJO,X,X,X,X
LIZTSOJ,O,X,O,X
LIZTOJS,O,X,X,X
LIZTOSJ,O,X,O,X
LIZJTSO,O,X,X,X
LIZJTOS,O,X,X,X
LIZJSTO,O,X,X,X
LIZJSOT,O,X,X,X
LIZJOTS,O,X,X,X
LIZJOST,O,X,X,X
LIZSTJO,X,X,X,X
LIZSTOJ,O,X,O,X
LIZSJTO,X,X,X,X
LIZSJOT,X,X,X,X
LIZSOTJ,O,X,O,X
LIZSOJT,X,X,X,X
LIZOTJS,O,X,X,X
LIZOTSJ,O,X,O,X
LIZOJTS,O,X,X,X
LIZOJST,O,X,X,X
LIZOSTJ,O,X,O,X
LIZOSJT,X,X,X,X
LIOTJSZ,X,X,O,O
LIOTJZS,O,X,X,X
LIOTSJZ,X,X,O,O
LIOTSZJ,O,X,O,O
LIOTZJS,O,X,X,X
LIOTZSJ,O,X,O,X
LIOJTSZ,O,O,O,O
LIOJTZS,O,X,O,X
LIOJSTZ,O,O,O,O
LIOJSZT,O,O,O,X
LIOJZTS,O,X,O,X
LIOJZST,O,O,O,X
LIOSTJZ,X,O,O,O
LIOSTZJ,O,X,O,O
LIOSJTZ,X,O,O,X
LIOSJZT,X,O,X,X
LIOSZTJ,O,X,O,X
LIOSZJT,X,X,X,X
LIOZTJS,O,X,X,X
LIOZTSJ,O,X,O,X
LIOZJTS,O,X,X,X
LIOZJST,O,X,X,X
LIOZSTJ,O,X,O,X
LIOZSJT,X,X,X,X
LJTISZO,O,O,O,X
LJTISOZ,O,O,O,O
LJTIZSO,O,X,O,X
LJTIZOS,O,X,O,X
LJTIOSZ,O,O,O,O
LJTIOZS,O,X,O,X
LJTSIZO,O,O,O,X
