sequence,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFGhBTiBcpBx?qBXsBlqB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhF3gBcpBxmBG?nBlqBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Je0AJvhFxhB3kBqrBT?nBlqBOpB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFCgB+mBTiBV?qBXsB8qB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFzfBfmBlhBG?qBCsBcsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeT/IvhFxgBXiBcsBi?pBGrBlqB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFTiBcpBxlBG?mBlqBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFGgBSnBzkB8?qBlmBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Je0AJvhFxhB3kBSsBl?qBOpBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jex/IvhF1mB6nBOpBX?lB8qBzrB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFukBclBTnBC?rB/rBFsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFqkBUhBTnBG?rB/qBFsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8JeZEJvhFCgB+mBVqBT?nB8qBXsB,v115@FhB8HeB8HeB8AeB8AeA8BeC8Jei/IvhFGhBcpBTnBx?qBlqBXsB
TIZOLSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TIZOJLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TIZOJSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
TIZOSLJ,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TIOLJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOLJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOLSJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TIOJZSL,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOSLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,O,X,X,O,X,X,X,X,X,O,X
TIOSZLJ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TIOSZJL,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TIOZLSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TIOZJLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TIOZJSL,X,O,X,X,X,X,X,O,X,X,X,X,O,O
TIOZSLJ,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TIOZSJL,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TLIJSZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLISOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIZSJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLIZOSJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIOSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJISZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJSIZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLJSIOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,O,O,O,X,X,X,O,O,X,X,X,X
TLJSOZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJZSOI,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLJZOIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLJOSIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOZIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLSIJZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSIZJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSIOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TLSJIZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSJIOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,O,O,O,X,X,X,O,O,X,X,X,X
TLSJOZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSZIJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSZJIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSZJOI,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOIJZ,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOJIZ,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,O,X,O,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZISJO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TLZISOJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZIOSJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZJISO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TLZJIOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TLZJSIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TLZJSOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZJOIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZJOSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZSJIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TLZSJOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZSOIJ,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZSOJI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZOISJ,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TLZOJIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLZOSJI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLOISJZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLOJSIZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOZISJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOZJIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLOZJSI,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TLOZSIJ,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TLOZSJI,X,O,O,X,X,O,X,X,O,O,X,X,X,X
TJILSZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISLZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJISZLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJISOLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TJIZLSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIZSLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJIZSOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIOLSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIOSLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLISZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLSIZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJLSIOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLSOIZ,X,X,O,O,O,X,X,X,O,O,X,X,X,X
TJLSOZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TJLZISO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TJLZIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TJLZSOI,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TJLZOIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLZOSI,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJLOSIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLOZIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLOZSI,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJSILZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJSIZLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TJSLIZO,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJSLIOZ,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJSLOIZ,X,X,O,O,O,X,X,X,O,O,X,X,X,X
TJSLOZI,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TJSZILO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZIOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSZLIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TJSZLOI,X,O,O,X,X,X,O,X,O,X,X,X,X,X
TJSZOIL,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSZOLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSOILZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJSOIZL,X,O,X,O,X,X,O,X,X,X,X,X,O,X
TJSOLIZ,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TJSOLZI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJSOZIL,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOZLI,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TJZILSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZISLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJZISOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TJZIOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJZLISO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TJZLIOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TJZLSIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TJZLSOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TJZLOIS,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TJZLOSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZSILO,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TJZSIOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJZSLIO,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TJZSLOI,X,O,O,X,X,O,O,X,O,X,X,X,X,X
TJZSOIL,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJZSOLI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TJZOISL,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZOLIS,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,O,X,X,X,X,O,X,O,X,X
TJOILZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJOISLZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJOISZL,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TJOIZLS,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TJOIZSL,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TJOLISZ,X,X,O,X,O,X,X,X,X,O,X,O,X,X
TJOLIZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJOLSIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X
