sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TJSOILZ,O,X,X,O,X
TJSOIZL,O,O,X,O,X
TJSOLIZ,O,O,X,O,X
TJSOLZI,O,O,X,O,X
TJSOZIL,O,O,O,O,X
TJSOZLI,O,O,X,O,X
TJZILSO,O,X,O,X,X
TJZILOS,O,O,O,X,X
TJZISLO,O,O,X,X,X
TJZISOL,O,O,O,X,X
TJZIOLS,O,O,O,X,X
TJZIOSL,O,O,O,X,X
TJZLISO,O,X,O,X,X
TJZLIOS,O,O,O,X,X
TJZLSIO,O,O,O,X,X
TJZLSOI,O,O,O,X,X
TJZLOIS,O,O,O,X,X
TJZLOSI,O,O,O,X,X
TJZSILO,O,O,X,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,X,X,X
TJZSLOI,O,O,X,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,X,X,X
TJZOILS,O,O,O,X,X
TJZOISL,O,O,O,X,X
TJZOLIS,O,O,O,X,X
TJZOLSI,O,O,O,X,X
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,X,X,X
TJOILSZ,O,X,X,O,X
TJOILZS,O,X,X,X,X
TJOISLZ,O,X,X,O,X
TJOISZL,O,X,X,O,X
TJOIZLS,O,O,O,X,X
TJOIZSL,O,O,O,X,X
TJOLISZ,O,X,X,O,X
TJOLIZS,O,X,O,X,X
TJOLSIZ,O,X,O,O,X
TJOLSZI,O,X,O,O,X
TJOLZIS,O,X,O,X,X
TJOLZSI,O,X,O,X,X
TJOSILZ,O,X,X,O,X
TJOSIZL,O,O,X,O,X
TJOSLIZ,O,O,X,O,X
TJOSLZI,O,O,X,O,X
TJOSZIL,O,O,O,O,X
TJOSZLI,O,O,X,O,X
TJOZILS,O,O,O,X,X
TJOZISL,O,O,O,X,X
TJOZLIS,O,O,O,X,X
TJOZLSI,O,O,O,X,X
TJOZSIL,O,O,O,X,X
TJOZSLI,O,O,X,X,X
TSILJZO,O,O,X,O,X
TSILJOZ,O,O,X,O,X
TSILZJO,O,O,X,O,X
TSILZOJ,O,O,X,O,X
TSILOJZ,O,O,X,O,X
TSILOZJ,O,O,X,O,X
TSIJLZO,O,X,X,O,X
TSIJLOZ,O,X,X,O,X
TSIJZLO,O,O,X,O,X
TSIJZOL,O,O,X,O,X
TSIJOLZ,O,X,X,O,X
TSIJOZL,O,O,X,O,X
TSIZLJO,O,O,X,O,X
TSIZLOJ,O,O,X,O,X
TSIZJLO,O,O,X,O,X
TSIZJOL,O,O,X,O,X
TSIZOLJ,O,O,X,O,X
TSIZOJL,O,O,X,O,X
TSIOLJZ,O,O,X,O,X
TSIOLZJ,O,O,X,O,X
TSIOJLZ,O,X,X,O,X
TSIOJZL,O,O,X,O,X
TSIOZLJ,O,O,X,O,X
