sequence,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFFjBmlBfsB6?sBctBTqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8Je3AJvhFcmBxiBVsBG?oBTqByxB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjBOqB8?qBFsBXtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFSnBTjB2qBU?sBFtB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeGBJvhFxiBilBToB3?qBFsB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JezBJvhFFjBilB+sBc?tBRrB3qB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFGjBKqBzlBf?sBVtB0sB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeFCJvhFXjBxlBStBU?mBTqB2xB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFmlBfsBlnBc?tBTqBCtB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFTjBWsBiqBX?tBcsBlqB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhFFjBKqBxmBc?tB3mBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeuFJvhF1mBXjBKqBc?tBxrBTsB,v115@9gC8GeB8HeB8HeB8BeB8CeA8JeRBJvhFWsBToBiqBc?sBlqBXtB
TOSZLJI,O,O,O,O,O,X,X,X,O,X,X,X,X
TOSZJIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOSZJLI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOZILJS,O,O,X,O,X,X,X,X,X,X,O,X,X
TOZILSJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TOZIJLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TOZIJSL,O,O,X,X,O,X,X,X,X,X,X,X,X
TOZISLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZISJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZLIJS,O,O,X,O,X,X,X,X,X,X,O,X,X
TOZLISJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TOZLJIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TOZLJSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TOZLSIJ,O,O,O,O,X,X,X,X,X,X,O,X,X
TOZLSJI,O,O,O,O,X,X,X,X,X,X,O,X,X
TOZJILS,O,O,X,O,X,X,X,X,X,X,X,X,X
TOZJISL,O,O,X,X,O,X,X,X,O,X,X,X,X
TOZJLIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TOZJLSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TOZJSIL,O,O,X,X,X,X,X,X,O,X,X,X,X
TOZJSLI,O,O,X,O,X,X,X,X,O,X,X,X,X
TOZSILJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOZSLIJ,O,O,O,O,O,X,X,X,X,X,O,X,X
TOZSLJI,O,O,O,O,O,X,X,X,O,X,O,X,X
TOZSJIL,O,O,O,X,O,X,X,X,O,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,X,O,X,X,X,X
ITLJSZO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,O,X,X,X,X,X,X
ITLJZSO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLJZOS,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITLJOZS,X,O,X,X,X,O,O,X,X,X,X,X,X
ITLSJZO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLSJOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLSZJO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLSOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLSOZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ITLZJSO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITLZJOS,X,O,X,X,X,O,X,X,X,X,X,X,X
ITLZSJO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLZOJS,X,O,X,X,X,O,X,X,X,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITLOJZS,X,O,X,X,X,O,O,X,X,X,X,X,X
ITLOSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,O,O,X,X,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITJLSZO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJLSOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJLZSO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJLZOS,X,X,O,X,X,O,X,X,X,X,X,X,X
ITJLOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITJLOZS,X,O,X,X,X,O,O,X,X,X,X,X,X
ITJSLZO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJSLOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJSZLO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITJSZOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITJSOZL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJZLSO,X,O,O,O,X,O,X,X,X,X,X,X,X
ITJZLOS,X,X,O,O,X,O,X,X,X,X,X,X,X
ITJZSLO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJZSOL,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJZOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
ITJZOSL,X,O,O,X,X,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJOLZS,X,O,X,X,X,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJOSZL,X,O,X,X,O,X,X,X,X,X,X,X,X
ITJOZLS,X,O,X,O,X,O,X,X,X,X,X,X,X
ITJOZSL,X,O,X,X,O,O,X,X,X,X,X,X,X
ITSLJZO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSLJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSLZJO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSLZOJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ITSLOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSLOZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSJLZO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSJLOZ,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSJZLO,X,X,O,X,X,X,O,X,X,X,X,X,X
ITSJZOL,X,X,O,X,X,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSJOZL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZJLO,X,O,O,X,X,X,O,X,X,X,X,X,X
ITSZJOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSZOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITSOLJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSOLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSOJLZ,X,X,O,X,O,X,O,X,X,X,X,X,X
ITSOJZL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
ITSOZJL,X,O,O,X,O,X,X,X,X,X,X,X,X
ITZLJSO,X,O,O,O,X,O,X,X,X,X,X,X,X
ITZLJOS,X,O,X,O,X,O,X,X,X,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ITZLOJS,X,X,X,O,X,O,X,X,X,X,X,X,X
ITZLOSJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ITZJLSO,X,O,O,O,X,O,X,X,X,X,X,X,X
ITZJLOS,X,X,X,O,X,O,X,X,X,X,X,X,X
ITZJSLO,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZJSOL,X,O,O,X,X,O,X,X,X,X,X,X,X
ITZJOLS,X,X,X,O,X,O,X,X,X,X,X,X,X
ITZJOSL,X,O,X,X,X,O,X,X,X,X,X,X,X
ITZSLJO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSJLO,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSJOL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZOLJS,X,X,X,O,X,O,X,X,X,X,X,X,X
ITZOLSJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ITZOJLS,X,X,X,O,X,O,X,X,X,X,X,X,X
ITZOJSL,X,O,X,X,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITZOSJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ITOLJSZ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOLZJS,X,O,X,X,X,O,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,O,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOJSZL,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOJZLS,X,O,X,O,X,O,X,X,X,X,X,X,X
ITOJZSL,X,O,X,X,O,O,X,X,X,X,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOSJZL,X,X,X,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOSZJL,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOZLJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
ITOZJSL,X,O,X,X,O,O,X,X,X,X,X,X,X
ITOZSLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
ITOZSJL,X,O,X,X,O,X,X,X,X,X,X,X,X
ILTJSZO,X,O,X,X,X,X,O,X,X,X,X,O,X
ILTJSOZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILTJZSO,X,O,X,X,X,O,X,X,X,X,X,O,X
ILTJZOS,X,O,X,X,X,O,X,X,X,X,X,O,X
ILTJOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILTJOZS,X,O,X,X,X,O,O,X,X,X,X,O,X
ILTSJZO,X,X,X,X,X,X,O,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILTSZJO,X,O,X,X,X,X,O,X,X,X,X,O,X
ILTSZOJ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILTSOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILTZJSO,X,O,X,X,X,O,X,X,X,X,X,O,X
ILTZJOS,X,O,X,X,X,O,X,X,X,X,X,O,X
ILTZSJO,X,O,X,X,X,X,X,X,X,X,X,O,X
ILTZSOJ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILTZOJS,X,O,X,X,X,O,X,X,X,X,X,O,X
ILTZOSJ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILTOJSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,O,O,X,X,X,X,O,X
ILTOSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ILTOZJS,X,O,X,X,X,O,O,X,X,X,X,O,X
ILTOZSJ,X,O,X,X,X,X,X,X,X,X,X,O,X
ILJTSZO,X,O,X,X,X,X,X,X,X,X,X,O,X
ILJTSOZ,X,O,X,X,X,X,X,O,X,X,X,X,X
ILJTZSO,X,O,X,X,X,O,X,X,X,X,X,O,X
ILJTZOS,X,O,X,X,X,O,X,X,X,X,X,O,X
ILJTOSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
ILJTOZS,X,O,X,X,X,O,X,O,X,X,X,O,X
ILJSTZO,X,O,X,X,X,X,X,X,X,O,X,O,X
ILJSTOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
ILJSZTO,X,X,X,X,X,O,X,X,X,O,X,O,X
ILJSZOT,X,X,X,X,X,O,X,X,X,O,X,O,X
ILJSOTZ,X,O,X,X,X,X,X,O,X,O,X,X,X
ILJSOZT,X,X,X,X,X,O,X,O,X,O,X,X,X
ILJZTSO,O,O,X,X,X,O,X,X,X,X,X,O,X
ILJZTOS,X,O,X,X,X,O,X,X,X,X,O,O,X
ILJZSTO,X,X,X,X,X,O,X,X,X,X,X,O,X
ILJZSOT,X,X,X,X,X,O,X,X,X,X,X,O,X
ILJZOTS,X,O,X,X,X,O,X,X,X,X,O,O,X
ILJZOST,X,X,X,X,X,O,X,X,X,X,O,O,X
ILJOTSZ,X,O,X,X,X,X,X,O,X,X,X,X,O
ILJOTZS,X,O,X,X,X,O,X,O,X,X,O,O,O
ILJOSTZ,X,O,X,X,X,X,X,O,X,X,X,X,X
ILJOSZT,X,X,X,X,X,O,X,O,X,X,O,X,X
ILJOZTS,X,O,X,X,X,O,X,O,X,X,O,O,O
ILJOZST,X,X,X,X,X,O,X,O,X,X,O,O,X
ILSTJZO,X,X,X,X,X,X,O,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSTZJO,X,X,X,X,X,X,O,X,X,X,X,O,X
ILSTZOJ,X,X,X,X,X,X,X,X,X,X,X,O,X
ILSTOJZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,O,X,X,O,X,O,X
ILSJTOZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ILSJZTO,X,X,X,X,X,O,X,X,X,O,X,O,X
ILSJZOT,X,X,X,X,X,O,X,X,X,O,X,O,X
ILSJOTZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ILSJOZT,X,X,X,X,X,O,X,X,X,O,X,X,X
ILSZTJO,X,X,X,X,X,X,O,X,X,X,X,O,X
ILSZTOJ,X,X,X,X,X,X,X,X,X,X,X,O,X
ILSZJTO,X,X,X,X,X,O,X,X,X,X,X,O,X
ILSZJOT,X,X,X,X,X,O,X,X,X,X,X,O,X
ILSZOTJ,X,X,X,X,X,X,X,X,X,X,X,O,X
ILSZOJT,X,X,X,X,X,O,X,X,X,X,X,O,X
ILSOTJZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,O,O,X,O,X,X,X
ILSOJZT,X,X,X,X,X,O,X,X,X,O,X,X,X
ILSOZTJ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILSOZJT,X,X,X,X,X,O,X,X,X,X,X,X,X
ILZTJSO,O,X,X,X,X,O,X,X,X,X,X,O,X
ILZTJOS,X,X,X,X,X,O,X,X,X,X,O,O,X
ILZTSJO,O,X,X,X,X,X,X,X,X,X,X,O,X
ILZTSOJ,O,X,X,X,X,X,X,X,X,X,X,O,X
ILZTOJS,O,X,X,X,X,O,X,X,X,X,O,O,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,X,O,O,X
ILZJTSO,O,X,X,X,X,O,X,X,X,X,X,O,X
ILZJTOS,X,X,X,X,X,O,X,X,X,X,O,O,X
ILZJSTO,X,X,X,X,X,O,X,X,X,X,X,O,X
ILZJSOT,X,X,X,X,X,O,X,X,X,X,X,O,X
ILZJOTS,X,X,X,X,X,O,X,X,X,X,O,O,X
ILZJOST,X,X,X,X,X,O,X,X,X,X,O,O,X
ILZSTJO,X,X,X,X,X,X,X,X,X,X,X,O,X
ILZSTOJ,X,X,X,X,X,X,X,X,X,X,X,O,X
ILZSJTO,X,X,X,X,X,O,X,X,X,X,X,O,X
ILZSJOT,X,X,X,X,X,O,X,X,X,X,X,O,X
ILZSOTJ,X,X,X,X,X,X,X,X,X,X,X,O,X
ILZSOJT,X,X,X,X,X,O,X,X,X,X,X,O,X
ILZOTJS,O,X,X,X,X,O,X,X,X,X,O,O,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X,O,O,X
ILZOJTS,O,X,X,X,X,O,X,X,X,X,O,O,X
ILZOJST,X,X,X,X,X,O,X,X,X,X,O,O,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,X,O,O,X
ILZOSJT,X,X,X,X,X,O,X,X,X,X,O,O,X
ILOTJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
ILOTJZS,X,O,X,X,X,O,O,O,X,X,O,O,X
ILOTSJZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,O,O,X,X,X,X,X
ILOTZJS,X,O,X,X,X,O,O,X,X,X,O,O,X
ILOTZSJ,X,O,X,X,X,X,X,O,X,X,O,O,X
ILOJTSZ,X,O,X,X,X,X,O,O,X,X,X,X,O
ILOJTZS,X,O,X,X,X,O,O,O,X,X,O,O,O
ILOJSTZ,X,O,X,X,X,X,O,O,X,X,X,X,X
ILOJSZT,X,X,X,X,X,O,X,O,X,X,O,X,X
ILOJZTS,O,O,X,X,X,O,X,O,X,X,O,O,O
ILOJZST,X,X,X,X,X,O,X,O,X,X,O,O,X
ILOSTJZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ILOSJZT,X,X,X,X,X,O,X,O,X,X,O,X,X
ILOSZTJ,X,X,X,X,X,X,O,O,X,X,O,X,X
ILOSZJT,X,X,X,X,X,O,X,X,X,X,O,X,X
ILOZTJS,O,X,X,X,X,O,O,X,X,X,O,O,X
ILOZTSJ,O,X,X,X,X,X,X,O,X,X,O,O,X
ILOZJTS,O,X,X,X,X,O,X,O,X,X,O,O,X
ILOZJST,X,X,X,X,X,O,X,O,X,X,O,O,X
ILOZSTJ,X,X,X,X,X,X,O,O,X,X,O,O,X
ILOZSJT,X,X,X,X,X,O,X,X,X,X,O,O,X
IJTLSZO,X,O,O,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X
IJTLZSO,X,O,O,X,X,O,X,X,X,X,X,X,X
IJTLZOS,X,O,O,X,X,O,X,X,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJTLOZS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJTSLZO,O,X,O,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,X,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJTSOZL,X,O,O,X,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,O,O,X,O,X,X,X,X,X,X,X
IJTZLOS,X,X,O,O,X,O,X,X,X,X,X,X,X
IJTZSLO,O,O,O,X,X,O,X,X,X,X,X,X,X
IJTZSOL,O,O,O,X,X,O,X,X,X,X,X,X,X
IJTZOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
IJTZOSL,O,O,O,X,X,O,X,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJTOLZS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJTOSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTOZLS,X,O,X,O,X,O,X,O,X,X,X,X,X
IJTOZSL,X,O,X,X,X,O,X,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJLTZSO,X,O,X,X,X,O,X,X,X,X,X,X,X
IJLTZOS,X,O,X,X,X,O,X,X,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJLTOZS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJLSTZO,O,O,X,X,X,X,X,X,X,O,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJLSZTO,O,X,X,X,X,O,X,X,X,O,X,X,X
IJLSZOT,O,X,X,X,X,O,X,X,X,O,X,X,X
IJLSOTZ,X,O,X,X,X,X,X,O,X,O,X,X,X
IJLSOZT,O,X,X,X,X,O,X,O,X,O,X,X,X
IJLZTSO,O,O,X,X,X,O,X,X,X,X,X,X,X
IJLZTOS,X,O,X,X,X,O,X,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,O,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLZOTS,X,O,X,X,X,O,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,X,O,X,X,X,X,X,O,X,X,X,X,O
IJLOTZS,X,O,X,X,X,O,X,O,X,X,X,X,O
IJLOSTZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJLOSZT,X,X,X,X,X,O,X,O,X,X,X,X,X
IJLOZTS,X,O,X,X,X,O,X,O,X,X,X,X,O
IJLOZST,X,X,X,X,X,O,X,O,X,X,X,X,X
IJSTLZO,O,X,O,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,X,O,O,X,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X,O,X,X,X
IJSLTOZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSLZTO,O,X,X,X,X,O,X,X,X,O,X,X,X
IJSLZOT,O,X,X,X,X,O,X,X,X,O,X,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSLOZT,O,X,X,X,X,O,X,X,X,O,X,X,X
IJSZTLO,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSZTOL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSZLTO,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOTL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSOTZL,X,O,O,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,X,X,X,O,X,X,X
IJSOLZT,O,X,X,X,X,O,X,X,X,O,X,X,X
IJSOZTL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZTLSO,O,O,O,O,X,O,X,X,X,X,X,X,X
IJZTLOS,X,X,O,O,X,O,X,X,X,X,X,X,X
IJZTSLO,O,O,O,X,X,O,X,X,X,X,X,X,X
IJZTSOL,O,O,O,X,X,O,X,X,X,X,X,X,X
IJZTOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
IJZTOSL,O,O,O,X,X,O,X,X,X,X,X,X,X
IJZLTSO,O,O,O,O,X,O,X,X,X,X,X,X,X
IJZLTOS,X,O,O,O,X,O,X,X,X,X,X,X,X
IJZLSTO,O,X,O,O,X,O,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,O,X,O,X,O,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSTLO,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZSTOL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZSLTO,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZSOTL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTLS,X,O,O,X,X,O,X,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,O,X,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,O,X,X,X,X,X,X,X
IJZOLST,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSTL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZOSLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOTLSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOTLZS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJOTZSL,X,O,X,X,X,O,X,X,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,X,X,O,X,X,X,X,O
IJOLTZS,X,O,X,X,X,O,X,O,X,X,X,X,O
IJOLSTZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOLSZT,X,X,X,X,X,O,X,O,X,X,X,X,X
IJOLZTS,X,O,X,X,X,O,X,O,X,X,X,X,O
IJOLZST,X,X,X,X,X,O,X,O,X,X,X,X,X
IJOSTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSLTZ,X,O,X,X,X,X,X,O,X,X,X,X,X
IJOSLZT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJOSZTL,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZTLS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJOZTSL,O,O,X,X,X,O,X,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,O,X,O,X,X,X,X,X
IJOZLST,X,X,X,X,X,O,X,O,X,X,X,X,X
IJOZSTL,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,O,X,X,X,X,X,X,X
