sequence,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFxgBmiBilBF?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBziBFlBm?mB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBVnBaoBm?kB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeOEJvhFVlBUhBRiBi?nBzpB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBK?sBznBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBTkBeqBF?nB8sBisB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFanBziBxkBl?pB3sBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBliBTkBe?qBysBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFVmBikBmnB3?nBzpBUsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JexAJvhFmiBTkBilBF?nB3sB0pB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jei/IvhFRhBFlBmmBz?nB0pB3sB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeT/IvhFOlBXhBRnB0?pBisBlsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhBeoBypBF?nB0pBTsB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeKEJvhFUhBRiBFlB2?sB3sBzpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8JeUBJvhFRiB/pBFlBy?sBTsBmpB,v115@GhA8IeA8CeC8CeB8BeC8BeB8Jex/IvhFXhB2pBFnB8?sBzpBisB
TIZOSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIJSOZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLIJZSO,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X
TLISJOZ,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLISZJO,O,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
TLISOJZ,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
TLIZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TLJISOZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLJIZSO,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJSIZO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
TLJSIOZ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
TLJSZIO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
TLJSZOI,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X
TLJSOIZ,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
TLJSOZI,X,O,X,O,X,X,X,O,O,X,X,X,O,O,X,X
TLJZISO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
TLJZIOS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJZSIO,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X
TLJZSOI,O,O,O,O,X,X,X,O,O,X,X,X,O,O,X,X
TLJZOIS,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X
TLJZOSI,O,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
TLJOISZ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLJOSZI,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X
TLJOZIS,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TLJOZSI,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
TLSIJZO,O,O,O,O,X,X,O,O,X,O,X,O,X,X,X,X
