sequence,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nBXsB0sB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nB0sBXsB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB3hBt?nB8rByxB,v115@GhA8IeC8BeA8CeD8AeB8DeA8Je2EJvhFRgB9mBiiBc?qBXsBzsB
TJIOZLS,O,O,O,X
TJIOZSL,O,O,O,X
TJLISZO,O,X,X,X
TJLISOZ,O,O,X,X
TJLIZSO,X,O,O,X
TJLIZOS,O,O,O,X
TJLIOSZ,O,O,X,X
TJLIOZS,O,O,O,X
TJLSIZO,O,X,X,X
TJLSIOZ,O,O,X,X
TJLSZIO,O,X,X,X
TJLSZOI,O,X,X,X
TJLSOIZ,O,O,X,X
TJLSOZI,O,X,X,X
TJLZISO,X,O,O,X
TJLZIOS,O,O,O,X
TJLZSIO,X,O,O,X
TJLZSOI,X,O,O,X
TJLZOIS,O,O,O,X
TJLZOSI,X,O,O,X
TJLOISZ,O,O,X,X
TJLOIZS,O,O,O,X
TJLOSIZ,O,O,X,X
TJLOSZI,O,X,X,X
TJLOZIS,O,O,O,X
TJLOZSI,X,O,O,X
TJSILZO,O,X,X,X
TJSILOZ,O,O,X,X
TJSIZLO,O,O,O,X
TJSIZOL,O,O,O,X
TJSIOLZ,O,O,X,X
TJSIOZL,O,O,O,X
TJSLIZO,O,X,X,X
TJSLIOZ,O,O,X,X
TJSLZIO,O,X,X,O
TJSLZOI,O,X,X,O
TJSLOIZ,O,O,X,X
TJSLOZI,O,X,X,X
TJSZILO,O,O,O,O
TJSZIOL,O,O,O,O
TJSZLIO,O,O,O,O
TJSZLOI,O,O,O,O
TJSZOIL,O,O,O,O
TJSZOLI,O,O,O,O
TJSOILZ,O,O,X,X
TJSOIZL,O,O,O,X
TJSOLIZ,O,O,X,X
TJSOLZI,O,X,X,X
TJSOZIL,O,O,O,X
TJSOZLI,O,O,O,X
TJZILSO,X,O,O,O
TJZILOS,O,O,O,X
TJZISLO,O,O,O,O
TJZISOL,O,O,O,O
TJZIOLS,O,O,O,X
TJZIOSL,O,O,O,O
TJZLISO,X,O,O,O
TJZLIOS,O,O,O,X
TJZLSIO,X,O,O,O
TJZLSOI,X,O,O,O
TJZLOIS,O,O,O,X
TJZLOSI,X,O,O,X
TJZSILO,O,O,O,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,O,O
TJZSLOI,O,O,O,O
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,O
TJZOILS,O,O,O,X
TJZOISL,O,O,O,O
TJZOLIS,O,O,O,X
TJZOLSI,X,O,O,X
TJZOSIL,O,O,O,O
TJZOSLI,O,O,O,O
TJOILSZ,O,O,X,X
TJOILZS,O,O,O,X
TJOISLZ,O,O,X,X
TJOISZL,O,O,O,X
TJOIZLS,O,O,O,X
TJOIZSL,O,O,O,X
TJOLISZ,O,O,X,X
TJOLIZS,O,O,O,X
TJOLSIZ,O,O,X,X
TJOLSZI,O,X,X,X
TJOLZIS,O,O,O,X
TJOLZSI,X,O,O,X
TJOSILZ,O,O,X,X
TJOSIZL,O,O,O,X
TJOSLIZ,O,O,X,X
TJOSLZI,O,X,X,X
TJOSZIL,O,O,O,X
TJOSZLI,O,O,O,X
TJOZILS,O,O,O,X
TJOZISL,O,O,O,X
TJOZLIS,O,O,O,X
TJOZLSI,X,O,O,X
TJOZSIL,O,O,O,X
TJOZSLI,O,O,O,X
TSILJZO,O,X,X,X
TSILJOZ,O,O,X,X
TSILZJO,O,X,X,O
TSILZOJ,O,X,X,O
TSILOJZ,O,O,X,X
TSILOZJ,O,X,X,X
TSIJLZO,O,X,X,X
TSIJLOZ,O,O,X,X
TSIJZLO,O,O,O,X
TSIJZOL,O,O,O,X
TSIJOLZ,O,O,X,X
TSIJOZL,O,O,O,X
TSIZLJO,O,O,O,O
TSIZLOJ,O,O,O,O
TSIZJLO,O,O,O,O
TSIZJOL,O,O,O,O
TSIZOLJ,O,O,O,O
TSIZOJL,O,O,O,O
TSIOLJZ,O,O,X,X
TSIOLZJ,O,X,X,X
TSIOJLZ,O,O,X,X
TSIOJZL,O,O,O,X
TSIOZLJ,O,O,O,X
TSIOZJL,O,O,O,X
TSLIJZO,O,X,X,X
TSLIJOZ,O,O,X,X
TSLIZJO,O,X,X,O
TSLIZOJ,O,X,X,O
TSLIOJZ,O,O,X,X
TSLIOZJ,O,X,X,X
TSLJIZO,O,X,X,X
TSLJIOZ,O,O,X,X
TSLJZIO,O,X,X,O
TSLJZOI,O,X,X,O
TSLJOIZ,O,O,X,X
TSLJOZI,O,X,X,X
TSLZIJO,O,X,X,O
TSLZIOJ,O,X,X,O
TSLZJIO,O,X,X,O
TSLZJOI,O,X,X,O
TSLZOIJ,O,X,X,O
TSLZOJI,O,X,X,O
TSLOIJZ,O,O,X,X
TSLOIZJ,O,X,X,X
TSLOJIZ,O,O,X,X
TSLOJZI,O,X,X,X
TSLOZIJ,O,X,X,O
TSLOZJI,O,X,X,O
TSJILZO,O,X,X,X
TSJILOZ,O,O,X,X
TSJIZLO,O,O,O,X
TSJIZOL,O,O,O,X
TSJIOLZ,O,O,X,X
TSJIOZL,O,O,O,X
TSJLIZO,O,X,X,X
TSJLIOZ,O,O,X,X
TSJLZIO,O,X,X,O
TSJLZOI,O,X,X,O
TSJLOIZ,O,O,X,X
TSJLOZI,O,X,X,X
TSJZILO,O,O,O,O
TSJZIOL,O,O,O,O
TSJZLIO,O,O,O,O
TSJZLOI,O,O,O,O
TSJZOIL,O,O,O,O
TSJZOLI,O,O,O,O
TSJOILZ,O,O,X,X
TSJOIZL,O,O,O,X
TSJOLIZ,O,O,X,X
TSJOLZI,O,X,X,X
TSJOZIL,O,O,O,X
TSJOZLI,O,O,O,X
TSZILJO,O,O,O,O
TSZILOJ,O,O,O,O
TSZIJLO,O,O,O,O
TSZIJOL,O,O,O,O
TSZIOLJ,O,O,O,O
