sequence,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBT?jBXrB0rB,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB9lBymBT?jB0rBXrB,v115@EhA8IeA8DeA8CeD8AeB8DeC8JeZEJvhFukB3gBtmBT?jB8qBywB
TJLOZSI,X,X,X
TJSILZO,X,X,X
TJSILOZ,O,X,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,O,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,O,X,X
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,O,X,X
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,X,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,O,X,X
TJSOIZL,X,X,X
TJSOLIZ,O,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,X,X,X
TJZILOS,X,O,X
TJZISLO,X,X,X
TJZISOL,X,X,O
TJZIOLS,X,O,X
TJZIOSL,X,X,O
TJZLISO,X,X,X
TJZLIOS,X,O,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,O,X
TJZLOSI,X,X,X
TJZSILO,X,X,X
TJZSIOL,X,X,O
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,O
TJZSOLI,X,X,X
TJZOILS,X,O,X
TJZOISL,X,X,O
TJZOLIS,X,O,X
TJZOLSI,X,X,X
TJZOSIL,X,X,O
TJZOSLI,X,X,X
TJOILSZ,O,X,X
TJOILZS,X,O,X
TJOISLZ,O,X,X
TJOISZL,X,X,X
TJOIZLS,X,O,X
TJOIZSL,X,X,O
TJOLISZ,O,X,X
TJOLIZS,X,O,X
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,O,X,X
TJOSIZL,X,X,X
TJOSLIZ,O,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,X,O,X
TJOZISL,X,X,O
TJOZLIS,X,O,X
TJOZLSI,X,X,X
TJOZSIL,X,X,O
TJOZSLI,X,X,X
TSILJZO,X,X,X
TSILJOZ,O,X,X
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,O,X,X
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,O,X,X
TSIJZLO,X,X,X
TSIJZOL,X,X,X
TSIJOLZ,O,X,X
TSIJOZL,X,X,X
TSIZLJO,X,X,X
TSIZLOJ,X,X,X
TSIZJLO,X,X,X
TSIZJOL,X,X,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,O,X,X
TSIOLZJ,X,X,X
TSIOJLZ,O,X,X
TSIOJZL,X,X,X
TSIOZLJ,X,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,O,X,X
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,O,X,X
TSLIOZJ,X,X,X
TSLJIZO,X,X,X
TSLJIOZ,O,X,X
TSLJZIO,X,X,X
TSLJZOI,X,X,X
TSLJOIZ,O,X,X
TSLJOZI,X,X,X
TSLZIJO,X,X,X
TSLZIOJ,X,X,X
TSLZJIO,X,X,X
TSLZJOI,X,X,X
TSLZOIJ,X,X,X
TSLZOJI,X,X,X
TSLOIJZ,O,X,X
TSLOIZJ,X,X,X
TSLOJIZ,O,X,X
TSLOJZI,X,X,X
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,X,X,X
TSJILOZ,O,X,X
TSJIZLO,X,X,X
TSJIZOL,X,X,X
TSJIOLZ,O,X,X
TSJIOZL,X,X,X
TSJLIZO,X,X,X
TSJLIOZ,O,X,X
TSJLZIO,X,X,X
TSJLZOI,X,X,X
TSJLOIZ,O,X,X
TSJLOZI,X,X,X
TSJZILO,X,X,X
TSJZIOL,X,X,X
TSJZLIO,X,X,X
TSJZLOI,X,X,X
TSJZOIL,X,X,X
TSJZOLI,X,X,X
TSJOILZ,O,X,X
TSJOIZL,X,X,X
TSJOLIZ,O,X,X
TSJOLZI,X,X,X
TSJOZIL,X,X,X
TSJOZLI,X,X,X
TSZILJO,X,X,X
TSZILOJ,X,X,X
TSZIJLO,X,X,X
TSZIJOL,X,X,X
TSZIOLJ,X,X,X
TSZIOJL,X,X,X
TSZLIJO,X,X,X
TSZLIOJ,X,X,X
TSZLJIO,X,X,X
TSZLJOI,X,X,X
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,X,X,X
TSZJIOL,X,X,X
TSZJLIO,X,X,X
TSZJLOI,X,X,X
TSZJOIL,X,X,X
TSZJOLI,X,X,X
TSZOILJ,X,X,X
TSZOIJL,X,X,X
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,X
TSZOJLI,X,X,X
TSOILJZ,O,X,X
TSOILZJ,X,X,X
TSOIJLZ,O,X,X
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,X
TSOLIJZ,O,X,X
TSOLIZJ,X,X,X
TSOLJIZ,O,X,X
TSOLJZI,X,X,X
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,O,X,X
TSOJIZL,X,X,X
TSOJLIZ,O,X,X
TSOJLZI,X,X,X
TSOJZIL,X,X,X
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,X
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,X
TSOZJLI,X,X,X
TZILJSO,X,X,X
TZILJOS,X,O,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,X,O,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,O,X
TZIJSLO,X,X,X
TZIJSOL,X,X,O
TZIJOLS,X,O,X
TZIJOSL,X,X,O
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,X,X,O
TZISOLJ,X,X,X
TZISOJL,X,X,O
TZIOLJS,X,O,X
TZIOLSJ,X,X,X
TZIOJLS,X,O,X
TZIOJSL,X,X,O
TZIOSLJ,X,X,X
TZIOSJL,X,X,O
TZLIJSO,X,X,X
TZLIJOS,X,O,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,O,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,O,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,O,X
TZLJOSI,X,X,X
TZLSIJO,X,X,X
TZLSIOJ,X,X,X
TZLSJIO,X,X,X
TZLSJOI,X,X,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,O,X
TZLOISJ,X,X,X
TZLOJIS,X,O,X
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,O,X
TZJISLO,X,X,X
TZJISOL,X,X,O
TZJIOLS,X,O,X
TZJIOSL,X,X,O
TZJLISO,X,X,X
TZJLIOS,X,O,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,O,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,O
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,O
TZJSOLI,X,X,X
TZJOILS,X,O,X
TZJOISL,X,X,O
TZJOLIS,X,O,X
TZJOLSI,X,X,X
TZJOSIL,X,X,O
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,X,X
TZSIJLO,X,X,X
TZSIJOL,X,X,O
TZSIOLJ,X,X,X
TZSIOJL,X,X,O
TZSLIJO,X,X,X
TZSLIOJ,X,X,X
TZSLJIO,X,X,X
TZSLJOI,X,X,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,X,X
TZSJIOL,X,X,O
TZSJLIO,X,X,X
TZSJLOI,X,X,X
TZSJOIL,X,X,O
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,X,X,O
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,O
TZSOJLI,X,X,X
TZOILJS,X,O,X
TZOILSJ,X,X,X
TZOIJLS,X,O,X
TZOIJSL,X,X,O
TZOISLJ,X,X,X
TZOISJL,X,X,O
TZOLIJS,X,O,X
TZOLISJ,X,X,X
TZOLJIS,X,O,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,O,X
TZOJISL,X,X,O
TZOJLIS,X,O,X
TZOJLSI,X,X,X
TZOJSIL,X,X,O
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,O
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,O
TZOSJLI,X,X,X
TOILJSZ,O,X,X
TOILJZS,X,O,X
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,O,X,X
TOIJLZS,X,O,X
TOIJSLZ,O,X,X
TOIJSZL,X,X,X
TOIJZLS,X,O,X
TOIJZSL,X,X,O
TOISLJZ,O,X,X
TOISLZJ,X,X,X
TOISJLZ,O,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,O,X
TOIZLSJ,X,X,X
TOIZJLS,X,O,X
TOIZJSL,X,X,O
TOIZSLJ,X,X,X
TOIZSJL,X,X,O
TOLIJSZ,O,X,X
TOLIJZS,X,O,X
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,O,X,X
TOLJIZS,X,O,X
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,O,X,X
TOJILZS,X,O,X
TOJISLZ,O,X,X
TOJISZL,X,X,X
TOJIZLS,X,O,X
TOJIZSL,X,X,O
TOJLISZ,O,X,X
TOJLIZS,X,O,X
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,O,X,X
TOJSIZL,X,X,X
TOJSLIZ,O,X,X
TOJSLZI,X,X,X
TOJSZIL,X,X,X
TOJSZLI,X,X,X
TOJZILS,X,O,X
TOJZISL,X,X,O
TOJZLIS,X,O,X
TOJZLSI,X,X,X
TOJZSIL,X,X,O
TOJZSLI,X,X,X
TOSILJZ,O,X,X
TOSILZJ,X,X,X
TOSIJLZ,O,X,X
TOSIJZL,X,X,X
TOSIZLJ,X,X,X
TOSIZJL,X,X,X
TOSLIJZ,O,X,X
TOSLIZJ,X,X,X
TOSLJIZ,O,X,X
TOSLJZI,X,X,X
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,O,X,X
TOSJIZL,X,X,X
TOSJLIZ,O,X,X
TOSJLZI,X,X,X
TOSJZIL,X,X,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,X
TOSZJLI,X,X,X
TOZILJS,X,O,X
TOZILSJ,X,X,X
TOZIJLS,X,O,X
TOZIJSL,X,X,O
TOZISLJ,X,X,X
TOZISJL,X,X,O
TOZLIJS,X,O,X
TOZLISJ,X,X,X
TOZLJIS,X,O,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,O,X
TOZJISL,X,X,O
TOZJLIS,X,O,X
TOZJLSI,X,X,X
TOZJSIL,X,X,O
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,O
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,O
TOZSJLI,X,X,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,O,X,X
ITLJOZS,X,O,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,O,X,X
ITLOJZS,X,O,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,O,X,X
ITJLOZS,X,O,X
ITJSLZO,X,X,X
ITJSLOZ,O,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,O,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,O,X
ITJZSLO,X,X,X
ITJZSOL,X,X,O
ITJZOLS,X,O,X
ITJZOSL,X,X,O
ITJOLSZ,O,X,X
ITJOLZS,X,O,X
ITJOSLZ,O,X,X
ITJOSZL,X,X,X
ITJOZLS,X,O,X
ITJOZSL,X,X,O
ITSLJZO,X,X,X
ITSLJOZ,O,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,O,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,O,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,O,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,O,X,X
ITSOLZJ,X,X,X
ITSOJLZ,O,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,X,X
ITZLJOS,X,O,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,O,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,O,X
ITZJSLO,X,X,X
ITZJSOL,X,X,O
ITZJOLS,X,O,X
ITZJOSL,X,X,O
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,O
ITZSOLJ,X,X,X
ITZSOJL,X,X,O
ITZOLJS,X,O,X
ITZOLSJ,X,X,X
ITZOJLS,X,O,X
ITZOJSL,X,X,O
ITZOSLJ,X,X,X
ITZOSJL,X,X,O
ITOLJSZ,O,X,X
