sequence,v115@MhC8GeB8BeA8AeA8CeE8Jei/IvhFFhBxiBcpBOqBXo?BzqB,v115@MhC8GeB8BeA8AeA8CeE8JeZEJvhFFgBXhBTjBWqB0n?ByvB,v115@MhC8GeB8BeA8AeA8CeE8JeZEJvhFukBFhBTjBKqBfr?B0sB,v115@MhC8GeB8BeA8AeA8CeE8Jex/IvhFXhBTjBOpBVqB0n?ByvB,v115@MhC8GeB8BeA8AeA8CeE8JeZEJvhFCgBOmBTjBXlB0n?B1vB
LTSJZIO,O,O,O,O,O
LTSJZOI,O,O,O,O,O
LTSJOIZ,X,O,O,O,O
LTSJOZI,X,O,O,O,O
LTSZIJO,O,X,O,X,O
LTSZIOJ,O,X,O,X,O
LTSZJIO,O,X,O,O,O
LTSZJOI,X,X,O,O,O
LTSZOIJ,O,X,O,X,O
LTSZOJI,X,X,O,O,O
LTSOIJZ,X,O,O,O,O
LTSOIZJ,O,X,O,X,O
LTSOJIZ,X,O,O,O,O
LTSOJZI,X,O,O,O,O
LTSOZIJ,O,X,O,X,O
LTSOZJI,O,X,O,O,O
LTZIJSO,O,X,X,X,X
LTZIJOS,O,X,X,X,X
LTZISJO,O,X,X,X,X
LTZISOJ,O,X,X,X,X
LTZIOJS,O,X,X,X,X
LTZIOSJ,O,X,X,X,X
LTZJISO,O,X,X,O,X
LTZJIOS,O,X,X,O,X
LTZJSIO,O,X,X,O,X
LTZJSOI,X,X,X,O,X
LTZJOIS,X,X,X,O,X
LTZJOSI,X,X,X,O,X
LTZSIJO,O,X,X,X,X
LTZSIOJ,O,X,X,X,X
LTZSJIO,O,X,X,O,X
LTZSJOI,X,X,X,O,X
LTZSOIJ,O,X,X,X,X
LTZSOJI,X,X,X,O,X
LTZOIJS,O,X,X,X,X
LTZOISJ,O,X,X,X,X
LTZOJIS,X,X,X,O,X
LTZOJSI,X,X,X,O,X
LTZOSIJ,O,X,X,X,X
LTZOSJI,X,X,X,O,X
LTOIJSZ,X,O,O,O,O
LTOIJZS,X,O,X,O,X
LTOISJZ,X,O,O,O,O
LTOISZJ,X,X,O,X,O
LTOIZJS,O,X,X,X,X
LTOIZSJ,O,X,X,X,X
LTOJISZ,X,O,O,O,O
LTOJIZS,X,O,X,O,X
LTOJSIZ,X,O,O,O,O
LTOJSZI,X,O,O,O,O
LTOJZIS,X,O,X,O,X
LTOJZSI,X,O,X,O,X
LTOSIJZ,X,O,O,O,O
LTOSIZJ,O,X,O,X,O
LTOSJIZ,X,O,O,O,O
LTOSJZI,X,O,O,O,O
LTOSZIJ,O,X,O,X,O
LTOSZJI,O,X,O,O,O
LTOZIJS,O,X,X,X,X
LTOZISJ,O,X,X,X,X
LTOZJIS,O,X,X,O,X
LTOZJSI,O,X,X,O,X
LTOZSIJ,O,X,X,X,X
LTOZSJI,O,X,X,O,X
LITJSZO,X,O,O,O,O
LITJSOZ,X,O,O,O,O
LITJZSO,O,O,X,O,X
LITJZOS,O,O,X,O,X
LITJOSZ,X,O,O,O,O
LITJOZS,X,O,X,O,X
LITSJZO,X,O,O,O,O
LITSJOZ,X,O,O,O,O
LITSZJO,X,X,O,X,O
LITSZOJ,X,X,O,X,O
LITSOJZ,X,O,O,O,O
LITSOZJ,X,X,O,X,O
LITZJSO,O,X,X,X,X
LITZJOS,O,X,X,X,X
LITZSJO,O,X,X,X,X
LITZSOJ,O,X,X,X,X
LITZOJS,O,X,X,X,X
LITZOSJ,O,X,X,X,X
LITOJSZ,X,O,O,O,O
LITOJZS,X,O,X,O,X
LITOSJZ,X,O,O,O,O
LITOSZJ,X,X,O,X,O
LITOZJS,O,X,X,X,X
LITOZSJ,O,X,X,X,X
LIJTSZO,X,O,O,X,X
LIJTSOZ,X,O,O,X,X
LIJTZSO,O,O,X,X,X
LIJTZOS,O,O,X,X,X
LIJTOSZ,X,O,O,X,X
LIJTOZS,X,O,X,X,X
LIJSTZO,X,O,O,X,X
LIJSTOZ,X,O,O,X,X
LIJSZTO,X,O,O,X,X
LIJSZOT,X,O,O,X,X
LIJSOTZ,X,O,O,X,X
LIJSOZT,X,O,O,X,X
LIJZTSO,O,O,X,X,X
LIJZTOS,O,O,X,X,X
LIJZSTO,O,O,O,X,X
LIJZSOT,X,O,O,X,X
LIJZOTS,O,O,X,X,X
LIJZOST,X,O,O,X,X
LIJOTSZ,X,O,O,X,X
LIJOTZS,X,O,X,X,X
LIJOSTZ,X,O,O,X,X
LIJOSZT,X,O,O,X,X
LIJOZTS,X,O,X,X,X
LIJOZST,X,O,O,X,X
LISTJZO,X,O,O,O,X
LISTJOZ,X,O,O,O,X
LISTZJO,X,X,O,X,X
LISTZOJ,X,X,O,X,X
LISTOJZ,X,O,O,O,X
LISTOZJ,X,X,O,X,X
LISJTZO,X,O,O,X,X
LISJTOZ,X,O,O,X,X
LISJZTO,X,O,O,X,X
LISJZOT,X,O,O,X,X
LISJOTZ,X,O,O,X,X
LISJOZT,X,O,O,X,X
LISZTJO,X,X,O,X,X
LISZTOJ,X,X,O,X,X
LISZJTO,X,O,O,X,X
LISZJOT,X,O,O,X,X
LISZOTJ,X,X,O,X,X
LISZOJT,X,O,O,X,X
LISOTJZ,X,O,O,O,X
LISOTZJ,X,X,O,X,X
LISOJTZ,X,O,O,X,X
LISOJZT,X,O,O,X,X
LISOZTJ,X,X,O,X,X
LISOZJT,X,O,O,X,X
LIZTJSO,O,X,X,X,X
LIZTJOS,O,X,X,X,X
LIZTSJO,O,X,X,X,X
LIZTSOJ,O,X,X,X,X
LIZTOJS,O,X,X,X,X
LIZTOSJ,O,X,X,X,X
LIZJTSO,O,O,X,X,X
LIZJTOS,O,O,X,X,X
LIZJSTO,O,O,O,X,X
LIZJSOT,X,O,O,X,X
LIZJOTS,O,O,X,X,X
LIZJOST,X,O,O,X,X
LIZSTJO,O,X,O,X,X
LIZSTOJ,O,X,O,X,X
LIZSJTO,O,O,O,X,X
LIZSJOT,X,O,O,X,X
LIZSOTJ,O,X,O,X,X
LIZSOJT,X,O,O,X,X
LIZOTJS,O,X,X,X,X
LIZOTSJ,O,X,X,X,X
LIZOJTS,O,O,X,X,X
LIZOJST,O,O,O,X,X
LIZOSTJ,O,X,O,X,X
LIZOSJT,X,O,O,X,X
LIOTJSZ,X,O,O,O,O
LIOTJZS,X,O,X,O,X
LIOTSJZ,X,O,O,O,O
LIOTSZJ,X,X,O,X,O
LIOTZJS,O,X,X,X,X
LIOTZSJ,O,X,X,X,X
LIOJTSZ,X,O,O,X,X
LIOJTZS,O,O,X,X,X
LIOJSTZ,X,O,O,X,X
LIOJSZT,X,O,O,X,X
LIOJZTS,O,O,X,X,X
LIOJZST,O,O,O,X,X
LIOSTJZ,X,O,O,O,X
LIOSTZJ,X,X,O,X,X
LIOSJTZ,X,O,O,X,X
LIOSJZT,X,O,O,X,X
LIOSZTJ,X,X,O,X,X
LIOSZJT,X,O,O,X,X
LIOZTJS,O,X,X,X,X
LIOZTSJ,O,X,X,X,X
LIOZJTS,O,O,X,X,X
LIOZJST,O,O,O,X,X
LIOZSTJ,O,X,O,X,X
LIOZSJT,X,O,O,X,X
LJTISZO,X,O,O,O,X
LJTISOZ,X,O,O,O,X
LJTIZSO,O,O,X,O,X
LJTIZOS,O,O,X,O,X
LJTIOSZ,X,O,O,O,X
LJTIOZS,X,O,X,O,X
LJTSIZO,O,O,O,O,X
LJTSIOZ,X,O,O,O,X
LJTSZIO,O,O,O,O,X
LJTSZOI,O,O,O,O,X
LJTSOIZ,X,O,O,O,X
LJTSOZI,X,O,O,O,X
LJTZISO,O,O,X,O,X
LJTZIOS,O,O,X,O,X
LJTZSIO,O,O,X,O,X
LJTZSOI,O,O,X,O,X
LJTZOIS,O,O,X,O,X
LJTZOSI,O,O,X,O,X
LJTOISZ,X,O,O,O,X
LJTOIZS,X,O,X,O,X
LJTOSIZ,X,O,O,O,X
LJTOSZI,X,O,O,O,X
LJTOZIS,X,O,X,O,X
LJTOZSI,X,O,X,O,X
LJITSZO,X,O,O,X,X
LJITSOZ,X,O,O,X,X
LJITZSO,O,O,X,X,X
LJITZOS,O,O,X,X,X
LJITOSZ,X,O,O,X,X
LJITOZS,X,O,X,X,X
LJISTZO,X,O,O,X,X
LJISTOZ,X,O,O,X,X
LJISZTO,X,O,O,X,X
LJISZOT,X,O,O,X,X
LJISOTZ,X,O,O,X,X
LJISOZT,X,O,O,X,X
LJIZTSO,O,O,X,X,X
LJIZTOS,O,O,X,X,X
LJIZSTO,O,O,O,X,X
LJIZSOT,X,O,O,X,X
LJIZOTS,O,O,X,X,X
LJIZOST,X,O,O,X,X
LJIOTSZ,X,O,O,X,X
LJIOTZS,X,O,X,X,X
LJIOSTZ,X,O,O,X,X
LJIOSZT,X,O,O,X,X
LJIOZTS,X,O,X,X,X
LJIOZST,X,O,O,X,X
LJSTIZO,O,O,O,O,X
LJSTIOZ,X,O,O,O,X
LJSTZIO,O,O,O,O,X
LJSTZOI,O,O,O,O,X
LJSTOIZ,X,O,O,O,X
LJSTOZI,X,O,O,O,X
LJSITZO,O,O,O,X,X
LJSITOZ,X,O,O,X,X
LJSIZTO,O,O,O,X,X
LJSIZOT,O,O,O,X,X
LJSIOTZ,X,O,O,X,X
LJSIOZT,X,O,O,X,X
LJSZTIO,O,O,O,X,X
LJSZTOI,O,O,O,X,X
LJSZITO,O,O,O,X,X
LJSZIOT,O,O,O,X,X
LJSZOTI,O,O,O,X,X
LJSZOIT,O,O,O,X,X
LJSOTIZ,X,O,O,O,X
LJSOTZI,X,O,O,O,X
LJSOITZ,X,O,O,X,X
LJSOIZT,X,O,O,X,X
LJSOZTI,X,O,O,X,X
LJSOZIT,X,O,O,X,X
LJZTISO,O,O,X,X,X
LJZTIOS,O,O,X,X,X
LJZTSIO,O,O,X,X,X
LJZTSOI,O,O,X,X,X
LJZTOIS,O,O,X,X,X
LJZTOSI,O,O,X,X,X
LJZITSO,O,O,X,X,X
LJZITOS,O,O,X,X,X
LJZISTO,O,O,O,X,X
LJZISOT,O,O,O,X,X
LJZIOTS,O,O,X,X,X
LJZIOST,X,O,O,X,X
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,O,X,X
LJZSIOT,O,O,O,X,X
LJZSOTI,O,O,O,X,X
LJZSOIT,O,O,O,X,X
LJZOTIS,O,O,X,X,X
LJZOTSI,O,O,X,X,X
LJZOITS,O,O,X,X,X
LJZOIST,X,O,O,X,X
LJZOSTI,O,O,O,X,X
LJZOSIT,O,O,O,X,X
LJOTISZ,X,O,O,O,X
LJOTIZS,X,O,X,O,X
LJOTSIZ,X,O,O,O,X
LJOTSZI,X,O,O,O,X
LJOTZIS,X,O,X,O,X
LJOTZSI,X,O,X,O,X
LJOITSZ,X,O,O,X,X
LJOITZS,X,O,X,X,X
LJOISTZ,X,O,O,X,X
LJOISZT,X,O,O,X,X
LJOIZTS,X,O,X,X,X
LJOIZST,X,O,O,X,X
LJOSTIZ,X,O,O,O,X
LJOSTZI,X,O,O,O,X
LJOSITZ,X,O,O,X,X
LJOSIZT,X,O,O,X,X
LJOSZTI,X,O,O,X,X
LJOSZIT,X,O,O,X,X
LJOZTIS,X,O,X,X,X
LJOZTSI,X,O,X,X,X
LJOZITS,X,O,X,X,X
LJOZIST,X,O,O,X,X
LJOZSTI,X,O,O,X,X
LJOZSIT,X,O,O,X,X
LSTIJZO,O,O,O,O,X
LSTIJOZ,X,O,O,O,X
LSTIZJO,O,X,O,X,X
LSTIZOJ,O,X,O,X,X
LSTIOJZ,X,O,O,O,X
LSTIOZJ,O,X,O,X,X
LSTJIZO,O,O,O,O,X
LSTJIOZ,X,O,O,O,X
LSTJZIO,O,O,O,O,X
LSTJZOI,O,O,O,O,X
LSTJOIZ,X,O,O,O,X
LSTJOZI,X,O,O,O,X
LSTZIJO,O,X,O,X,X
LSTZIOJ,O,X,O,X,X
LSTZJIO,O,X,O,O,X
LSTZJOI,X,X,O,O,X
LSTZOIJ,O,X,O,X,X
LSTZOJI,X,X,O,O,X
LSTOIJZ,X,O,O,O,X
LSTOIZJ,O,X,O,X,X
LSTOJIZ,X,O,O,O,X
LSTOJZI,X,O,O,O,X
LSTOZIJ,O,X,O,X,X
LSTOZJI,O,X,O,O,X
LSITJZO,O,O,O,O,X
LSITJOZ,X,O,O,O,X
LSITZJO,O,X,O,X,X
LSITZOJ,O,X,O,X,X
LSITOJZ,X,O,O,O,X
LSITOZJ,O,X,O,X,X
LSIJTZO,O,O,O,X,X
LSIJTOZ,X,O,O,X,X
LSIJZTO,O,O,O,X,X
LSIJZOT,O,O,O,X,X
LSIJOTZ,X,O,O,X,X
LSIJOZT,X,O,O,X,X
LSIZTJO,O,X,O,X,X
LSIZTOJ,O,X,O,X,X
LSIZJTO,O,O,O,X,X
LSIZJOT,O,O,O,X,X
LSIZOTJ,O,X,O,X,X
LSIZOJT,O,O,O,X,X
LSIOTJZ,X,O,O,O,X
LSIOTZJ,O,X,O,X,X
LSIOJTZ,O,O,O,X,X
LSIOJZT,O,O,O,X,X
LSIOZTJ,O,X,O,X,X
LSIOZJT,O,O,O,X,X
LSJTIZO,O,O,O,O,X
LSJTIOZ,X,O,O,O,X
LSJTZIO,O,O,O,O,X
LSJTZOI,O,O,O,O,X
LSJTOIZ,X,O,O,O,X
LSJTOZI,X,O,O,O,X
LSJITZO,O,O,O,X,X
LSJITOZ,X,O,O,X,X
LSJIZTO,O,O,O,X,X
LSJIZOT,O,O,O,X,X
LSJIOTZ,X,O,O,X,X
LSJIOZT,X,O,O,X,X
LSJZTIO,O,O,O,X,X
LSJZTOI,O,O,O,X,X
LSJZITO,O,O,O,X,X
LSJZIOT,O,O,O,X,X
LSJZOTI,O,O,O,X,X
LSJZOIT,O,O,O,X,X
LSJOTIZ,X,O,O,O,X
LSJOTZI,X,O,O,O,X
LSJOITZ,X,O,O,X,X
LSJOIZT,X,O,O,X,X
LSJOZTI,X,O,O,X,X
LSJOZIT,X,O,O,X,X
LSZTIJO,O,X,O,X,X
LSZTIOJ,O,X,O,X,X
LSZTJIO,O,X,O,O,X
LSZTJOI,O,X,O,O,X
LSZTOIJ,O,X,O,X,X
LSZTOJI,O,X,O,O,X
LSZITJO,O,X,O,X,X
LSZITOJ,O,X,O,X,X
LSZIJTO,O,O,O,X,X
LSZIJOT,O,O,O,X,X
LSZIOTJ,O,X,O,X,X
LSZIOJT,O,O,O,X,X
LSZJTIO,O,O,O,X,X
LSZJTOI,O,O,O,X,X
LSZJITO,O,O,O,X,X
LSZJIOT,O,O,O,X,X
LSZJOTI,O,O,O,X,X
LSZJOIT,O,O,O,X,X
LSZOTIJ,O,X,O,X,X
LSZOTJI,O,X,O,O,X
LSZOITJ,O,X,O,X,X
LSZOIJT,O,O,O,X,X
LSZOJTI,O,O,O,X,X
LSZOJIT,O,O,O,X,X
LSOTIJZ,X,O,O,O,X
LSOTIZJ,O,X,O,X,X
LSOTJIZ,X,O,O,O,X
LSOTJZI,X,O,O,O,X
LSOTZIJ,O,X,O,X,X
LSOTZJI,O,X,O,O,X
LSOITJZ,X,O,O,O,X
LSOITZJ,O,X,O,X,X
LSOIJTZ,O,O,O,X,X
LSOIJZT,O,O,O,X,X
LSOIZTJ,O,X,O,X,X
LSOIZJT,O,O,O,X,X
LSOJTIZ,O,O,O,O,X
LSOJTZI,O,O,O,O,X
LSOJITZ,O,O,O,X,X
LSOJIZT,O,O,O,X,X
LSOJZTI,O,O,O,X,X
LSOJZIT,O,O,O,X,X
LSOZTIJ,O,X,O,X,X
LSOZTJI,O,X,O,O,X
LSOZITJ,O,X,O,X,X
LSOZIJT,O,O,O,X,X
LSOZJTI,O,O,O,X,X
LSOZJIT,O,O,O,X,X
LZTIJSO,O,X,X,X,X
LZTIJOS,O,X,X,X,X
LZTISJO,O,X,X,X,X
LZTISOJ,O,X,X,X,X
LZTIOJS,O,X,X,X,X
LZTIOSJ,O,X,X,X,X
LZTJISO,O,X,X,O,X
LZTJIOS,O,X,X,O,X
LZTJSIO,O,X,X,O,X
LZTJSOI,O,X,X,O,X
LZTJOIS,O,X,X,O,X
LZTJOSI,O,X,X,O,X
LZTSIJO,O,X,X,X,X
LZTSIOJ,O,X,X,X,X
LZTSJIO,O,X,X,O,X
LZTSJOI,O,X,X,O,X
LZTSOIJ,O,X,X,X,X
LZTSOJI,O,X,X,O,X
LZTOIJS,O,X,X,X,X
LZTOISJ,O,X,X,X,X
LZTOJIS,O,X,X,O,X
LZTOJSI,O,X,X,O,X
LZTOSIJ,O,X,X,X,X
LZTOSJI,O,X,X,O,X
LZITJSO,O,X,X,X,X
LZITJOS,O,X,X,X,X
LZITSJO,O,X,X,X,X
LZITSOJ,O,X,X,X,X
LZITOJS,O,X,X,X,X
LZITOSJ,O,X,X,X,X
LZIJTSO,O,O,X,X,X
LZIJTOS,O,O,X,X,X
LZIJSTO,O,O,O,X,X
LZIJSOT,O,O,O,X,X
LZIJOTS,O,O,X,X,X
LZIJOST,X,O,O,X,X
LZISTJO,O,X,O,X,X
LZISTOJ,O,X,O,X,X
LZISJTO,O,O,O,X,X
LZISJOT,O,O,O,X,X
LZISOTJ,O,X,O,X,X
LZISOJT,O,O,O,X,X
LZIOTJS,O,X,X,X,X
LZIOTSJ,O,X,X,X,X
LZIOJTS,O,O,X,X,X
LZIOJST,O,O,O,X,X
LZIOSTJ,O,X,O,X,X
LZIOSJT,O,O,O,X,X
LZJTISO,O,O,X,X,X
LZJTIOS,O,O,X,X,X
LZJTSIO,O,O,X,X,X
LZJTSOI,O,O,X,X,X
LZJTOIS,O,O,X,X,X
LZJTOSI,O,O,X,X,X
LZJITSO,O,O,X,X,X
LZJITOS,O,O,X,X,X
LZJISTO,O,O,O,X,X
LZJISOT,O,O,O,X,X
LZJIOTS,O,O,X,X,X
LZJIOST,X,O,O,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,O,X,X
LZJSIOT,O,O,O,X,X
LZJSOTI,O,O,O,X,X
LZJSOIT,O,O,O,X,X
LZJOTIS,O,O,X,X,X
LZJOTSI,O,O,X,X,X
LZJOITS,O,O,X,X,X
LZJOIST,X,O,O,X,X
LZJOSTI,O,O,O,X,X
LZJOSIT,O,O,O,X,X
LZSTIJO,O,X,O,X,X
LZSTIOJ,O,X,O,X,X
LZSTJIO,O,X,O,O,X
LZSTJOI,O,X,O,O,X
LZSTOIJ,O,X,O,X,X
LZSTOJI,O,X,O,O,X
LZSITJO,O,X,O,X,X
LZSITOJ,O,X,O,X,X
LZSIJTO,O,O,O,X,X
LZSIJOT,O,O,O,X,X
LZSIOTJ,O,X,O,X,X
LZSIOJT,O,O,O,X,X
LZSJTIO,O,O,O,X,X
LZSJTOI,O,O,O,X,X
LZSJITO,O,O,O,X,X
LZSJIOT,O,O,O,X,X
LZSJOTI,O,O,O,X,X
LZSJOIT,O,O,O,X,X
LZSOTIJ,O,X,O,X,X
LZSOTJI,O,X,O,O,X
LZSOITJ,O,X,O,X,X
LZSOIJT,O,O,O,X,X
LZSOJTI,O,O,O,X,X
LZSOJIT,O,O,O,X,X
LZOTIJS,O,X,X,X,X
LZOTISJ,O,X,X,X,X
LZOTJIS,O,X,X,O,X
LZOTJSI,O,X,X,O,X
LZOTSIJ,O,X,X,X,X
LZOTSJI,O,X,X,O,X
LZOITJS,O,X,X,X,X
LZOITSJ,O,X,X,X,X
LZOIJTS,O,O,X,X,X
LZOIJST,O,O,O,X,X
LZOISTJ,O,X,O,X,X
LZOISJT,O,O,O,X,X
LZOJTIS,O,O,X,X,X
LZOJTSI,O,O,X,X,X
LZOJITS,O,O,X,X,X
LZOJIST,O,O,O,X,X
LZOJSTI,O,O,O,X,X
LZOJSIT,O,O,O,X,X
LZOSTIJ,O,X,O,X,X
LZOSTJI,O,X,O,O,X
LZOSITJ,O,X,O,X,X
LZOSIJT,O,O,O,X,X
LZOSJTI,O,O,O,X,X
LZOSJIT,O,O,O,X,X
LOTIJSZ,X,O,O,O,O
LOTIJZS,X,O,X,O,X
LOTISJZ,X,O,O,O,O
LOTISZJ,X,X,O,X,O
LOTIZJS,O,X,X,X,X
LOTIZSJ,O,X,X,X,X
LOTJISZ,X,O,O,O,O
LOTJIZS,X,O,X,O,X
LOTJSIZ,X,O,O,O,O
LOTJSZI,X,O,O,O,O
LOTJZIS,X,O,X,O,X
LOTJZSI,X,O,X,O,X
LOTSIJZ,X,O,O,O,O
LOTSIZJ,O,X,O,X,O
LOTSJIZ,X,O,O,O,O
LOTSJZI,X,O,O,O,O
LOTSZIJ,O,X,O,X,O
LOTSZJI,O,X,O,O,O
LOTZIJS,O,X,X,X,X
LOTZISJ,O,X,X,X,X
LOTZJIS,O,X,X,O,X
LOTZJSI,O,X,X,O,X
LOTZSIJ,O,X,X,X,X
LOTZSJI,O,X,X,O,X
LOITJSZ,X,O,O,O,O
LOITJZS,X,O,X,O,X
LOITSJZ,X,O,O,O,O
LOITSZJ,X,X,O,X,O
LOITZJS,O,X,X,X,X
LOITZSJ,O,X,X,X,X
LOIJTSZ,X,O,O,X,X
LOIJTZS,O,O,X,X,X
LOIJSTZ,X,O,O,X,X
LOIJSZT,X,O,O,X,X
LOIJZTS,O,O,X,X,X
LOIJZST,O,O,O,X,X
LOISTJZ,X,O,O,O,X
LOISTZJ,X,X,O,X,X
LOISJTZ,X,O,O,X,X
LOISJZT,X,O,O,X,X
LOISZTJ,X,X,O,X,X
LOISZJT,X,O,O,X,X
LOIZTJS,O,X,X,X,X
LOIZTSJ,O,X,X,X,X
LOIZJTS,O,O,X,X,X
LOIZJST,O,O,O,X,X
LOIZSTJ,O,X,O,X,X
LOIZSJT,X,O,O,X,X
LOJTISZ,X,O,O,O,X
LOJTIZS,O,O,X,O,X
LOJTSIZ,O,O,O,O,X
LOJTSZI,O,O,O,O,X
LOJTZIS,O,O,X,O,X
LOJTZSI,O,O,X,O,X
LOJITSZ,X,O,O,X,X
LOJITZS,O,O,X,X,X
LOJISTZ,X,O,O,X,X
LOJISZT,X,O,O,X,X
LOJIZTS,O,O,X,X,X
LOJIZST,O,O,O,X,X
LOJSTIZ,O,O,O,O,X
LOJSTZI,O,O,O,O,X
LOJSITZ,O,O,O,X,X
LOJSIZT,O,O,O,X,X
LOJSZTI,O,O,O,X,X
LOJSZIT,O,O,O,X,X
LOJZTIS,O,O,X,X,X
LOJZTSI,O,O,X,X,X
LOJZITS,O,O,X,X,X
LOJZIST,O,O,O,X,X
LOJZSTI,O,O,O,X,X
LOJZSIT,O,O,O,X,X
LOSTIJZ,X,O,O,O,X
LOSTIZJ,O,X,O,X,X
LOSTJIZ,X,O,O,O,X
LOSTJZI,X,O,O,O,X
LOSTZIJ,O,X,O,X,X
LOSTZJI,O,X,O,O,X
LOSITJZ,X,O,O,O,X
LOSITZJ,O,X,O,X,X
LOSIJTZ,O,O,O,X,X
LOSIJZT,O,O,O,X,X
LOSIZTJ,O,X,O,X,X
LOSIZJT,O,O,O,X,X
LOSJTIZ,O,O,O,O,X
LOSJTZI,O,O,O,O,X
LOSJITZ,O,O,O,X,X
LOSJIZT,O,O,O,X,X
LOSJZTI,O,O,O,X,X
LOSJZIT,O,O,O,X,X
LOSZTIJ,O,X,O,X,X
LOSZTJI,O,X,O,O,X
LOSZITJ,O,X,O,X,X
LOSZIJT,O,O,O,X,X
LOSZJTI,O,O,O,X,X
LOSZJIT,O,O,O,X,X
LOZTIJS,O,X,X,X,X
LOZTISJ,O,X,X,X,X
LOZTJIS,O,X,X,O,X
LOZTJSI,O,X,X,O,X
LOZTSIJ,O,X,X,X,X
LOZTSJI,O,X,X,O,X
LOZITJS,O,X,X,X,X
LOZITSJ,O,X,X,X,X
LOZIJTS,O,O,X,X,X
LOZIJST,O,O,O,X,X
LOZISTJ,O,X,O,X,X
LOZISJT,O,O,O,X,X
LOZJTIS,O,O,X,X,X
LOZJTSI,O,O,X,X,X
LOZJITS,O,O,X,X,X
LOZJIST,O,O,O,X,X
LOZJSTI,O,O,O,X,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,O,X,O,X,X
LOZSTJI,O,X,O,O,X
LOZSITJ,O,X,O,X,X
LOZSIJT,O,O,O,X,X
LOZSJTI,O,O,O,X,X
LOZSJIT,O,O,O,X,X
JTILSZO,X,O,O,O,O
JTILSOZ,X,O,O,O,O
JTILZSO,O,O,X,O,X
JTILZOS,O,O,X,O,X
JTILOSZ,X,O,O,O,O
JTILOZS,X,O,X,O,X
JTISLZO,O,X,O,X,O
JTISLOZ,X,O,O,O,O
JTISZLO,O,X,X,X,O
JTISZOL,O,O,X,O,O
JTISOLZ,X,O,O,O,O
JTISOZL,O,O,X,O,O
JTIZLSO,O,X,X,X,X
JTIZLOS,O,X,X,X,X
JTIZSLO,O,X,X,X,O
JTIZSOL,O,O,X,O,O
JTIZOLS,O,X,X,X,X
JTIZOSL,X,O,X,O,O
JTIOLSZ,X,O,O,O,O
JTIOLZS,X,O,X,O,X
JTIOSLZ,X,O,O,O,O
JTIOSZL,X,O,X,O,O
JTIOZLS,O,X,X,X,X
JTIOZSL,X,O,X,O,O
JTLISZO,X,O,O,O,O
JTLISOZ,X,O,O,O,O
JTLIZSO,O,O,X,O,X
JTLIZOS,O,O,X,O,X
JTLIOSZ,X,O,O,O,O
JTLIOZS,X,O,X,O,X
JTLSIZO,O,O,O,O,O
JTLSIOZ,X,O,O,O,O
JTLSZIO,O,O,O,O,O
JTLSZOI,O,O,O,O,O
JTLSOIZ,X,O,O,O,O
JTLSOZI,X,O,O,O,O
JTLZISO,O,O,X,O,X
JTLZIOS,O,O,X,O,X
JTLZSIO,O,O,X,O,X
JTLZSOI,O,O,X,O,X
JTLZOIS,O,O,X,O,X
JTLZOSI,O,O,X,O,X
JTLOISZ,X,O,O,O,O
JTLOIZS,X,O,X,O,X
JTLOSIZ,X,O,O,O,O
JTLOSZI,X,O,O,O,O
JTLOZIS,X,O,X,O,X
JTLOZSI,X,O,X,O,X
JTSILZO,O,X,O,X,O
JTSILOZ,X,O,O,O,O
JTSIZLO,O,X,X,X,O
JTSIZOL,O,O,X,O,O
JTSIOLZ,X,O,O,O,O
JTSIOZL,O,O,X,O,O
JTSLIZO,O,X,O,O,O
JTSLIOZ,X,O,O,O,O
JTSLZIO,O,X,O,O,O
JTSLZOI,O,X,O,O,O
JTSLOIZ,X,O,O,O,O
JTSLOZI,X,X,O,O,O
JTSZILO,O,X,X,X,O
JTSZIOL,O,O,X,O,O
JTSZLIO,O,X,X,X,O
JTSZLOI,O,X,X,X,O
JTSZOIL,O,O,X,O,O
JTSZOLI,O,X,X,O,O
JTSOILZ,X,O,O,O,O
JTSOIZL,O,O,X,O,O
JTSOLIZ,X,O,O,O,O
JTSOLZI,X,X,O,O,O
JTSOZIL,O,O,X,O,O
JTSOZLI,O,X,X,O,O
JTZILSO,O,X,X,X,X
JTZILOS,O,X,X,X,X
JTZISLO,O,X,X,X,O
JTZISOL,O,O,X,O,O
JTZIOLS,O,X,X,X,X
JTZIOSL,X,O,X,O,O
JTZLISO,O,X,X,O,X
JTZLIOS,O,X,X,O,X
JTZLSIO,O,X,X,O,X
JTZLSOI,O,X,X,O,X
JTZLOIS,O,X,X,O,X
JTZLOSI,O,X,X,O,X
JTZSILO,O,X,X,X,O
JTZSIOL,O,O,X,O,O
JTZSLIO,O,X,X,X,O
JTZSLOI,O,X,X,X,O
JTZSOIL,O,O,X,O,O
JTZSOLI,O,X,X,O,O
JTZOILS,O,X,X,X,X
JTZOISL,X,O,X,O,O
JTZOLIS,O,X,X,O,X
JTZOLSI,O,X,X,O,X
JTZOSIL,O,O,X,O,O
JTZOSLI,O,X,X,O,O
JTOILSZ,X,O,O,O,O
JTOILZS,X,O,X,O,X
JTOISLZ,X,O,O,O,O
