sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
IJSOZLT,X,O,X,O,X,O,X,X
IJZTLSO,X,O,X,X,O,X,O,X
IJZTLOS,X,O,X,X,O,X,O,X
IJZTSLO,X,O,X,O,X,X,O,X
IJZTSOL,X,O,X,O,X,X,O,X
IJZTOLS,X,O,X,X,O,X,O,X
IJZTOSL,X,O,X,X,X,X,O,X
IJZLTSO,X,O,X,X,O,X,X,X
IJZLTOS,X,O,X,X,O,X,X,X
IJZLSTO,X,O,X,O,O,X,X,X
IJZLSOT,X,O,X,O,O,X,X,X
IJZLOTS,X,O,X,X,O,X,O,X
IJZLOST,X,O,X,X,O,X,X,X
IJZSTLO,X,O,X,O,X,X,X,X
IJZSTOL,X,O,X,O,X,X,X,X
IJZSLTO,X,O,X,O,O,X,X,X
IJZSLOT,X,O,X,O,O,O,X,X
IJZSOTL,X,O,X,O,X,X,O,X
IJZSOLT,X,O,X,O,O,O,X,X
IJZOTLS,X,O,X,X,O,X,O,X
IJZOTSL,X,X,X,X,X,X,O,X
IJZOLTS,X,O,X,X,O,X,O,X
IJZOLST,X,O,X,X,O,X,X,X
IJZOSTL,X,X,X,O,X,X,O,X
IJZOSLT,X,O,X,O,O,O,X,X
IJOTLSZ,X,X,X,X,O,X,X,X
IJOTLZS,X,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,O,O,O,X,X
IJOTSZL,X,X,X,O,X,X,X,X
IJOTZLS,X,X,X,X,O,X,X,X
IJOTZSL,X,X,X,O,O,X,X,X
IJOLTSZ,X,X,X,X,O,X,X,X
IJOLTZS,X,X,X,X,O,X,X,X
IJOLSTZ,X,X,X,X,X,O,X,X
IJOLSZT,X,X,X,X,X,O,X,X
IJOLZTS,X,O,X,X,O,X,X,X
IJOLZST,X,O,X,X,O,X,X,X
IJOSTLZ,X,X,X,O,X,O,X,X
IJOSTZL,X,X,X,O,X,X,X,X
IJOSLTZ,X,X,X,O,X,O,X,X
IJOSLZT,X,X,X,O,X,O,X,X
IJOSZTL,X,X,X,O,X,X,X,X
IJOSZLT,X,X,X,O,X,O,X,X
IJOZTLS,X,O,X,X,O,X,O,X
IJOZTSL,X,X,X,X,X,X,O,X
IJOZLTS,X,O,X,X,O,X,O,X
IJOZLST,X,O,X,X,O,X,X,X
IJOZSTL,X,X,X,O,X,X,O,X
IJOZSLT,X,O,X,O,O,O,X,X
ISTLJZO,O,O,O,O,X,O,X,X
ISTLJOZ,X,O,O,O,X,O,X,O
ISTLZJO,O,O,O,X,X,O,X,X
ISTLZOJ,O,O,O,X,X,X,X,X
ISTLOJZ,O,O,O,O,X,O,X,O
ISTLOZJ,O,O,O,X,X,X,X,X
ISTJLZO,X,O,O,O,X,O,X,X
ISTJLOZ,X,O,O,X,X,O,X,X
ISTJZLO,X,O,O,O,X,O,X,X
ISTJZOL,X,O,O,O,X,O,X,X
ISTJOLZ,X,O,O,O,X,O,X,X
ISTJOZL,X,O,O,O,X,O,X,X
ISTZLJO,O,O,O,X,X,O,X,X
ISTZLOJ,O,O,O,X,X,X,X,X
ISTZJLO,O,O,O,X,X,O,X,X
ISTZJOL,O,O,O,X,X,O,X,X
ISTZOLJ,O,O,O,X,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X,X
ISTOLJZ,O,O,O,O,X,O,X,X
ISTOLZJ,O,O,O,X,X,X,X,X
ISTOJLZ,X,O,O,O,X,O,X,X
ISTOJZL,O,O,O,O,X,O,X,X
ISTOZLJ,O,O,O,X,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X,X
ISLTJZO,O,O,O,O,X,O,X,X
ISLTJOZ,O,O,O,O,X,O,X,O
ISLTZJO,O,O,O,X,X,O,X,X
ISLTZOJ,O,O,O,X,X,X,X,X
ISLTOJZ,O,O,O,O,X,O,X,O
ISLTOZJ,O,O,O,X,X,X,X,X
ISLJTZO,O,O,O,O,X,O,X,X
ISLJTOZ,O,X,O,O,X,O,X,X
ISLJZTO,O,O,O,O,X,X,X,X
ISLJZOT,O,O,O,O,X,O,X,X
ISLJOTZ,O,X,O,O,X,O,X,O
ISLJOZT,O,O,O,O,X,O,X,O
ISLZTJO,O,O,O,X,X,O,X,X
ISLZTOJ,O,O,O,X,X,X,X,X
ISLZJTO,O,O,O,O,X,X,X,X
ISLZJOT,O,O,O,O,X,O,X,X
ISLZOTJ,O,O,O,X,X,X,X,X
ISLZOJT,O,O,O,O,X,X,X,X
ISLOTJZ,O,X,O,O,X,O,X,O
ISLOTZJ,O,X,O,X,X,X,X,X
ISLOJTZ,O,X,O,O,X,O,X,O
ISLOJZT,O,O,O,O,X,O,X,O
ISLOZTJ,O,O,O,X,X,X,X,X
ISLOZJT,O,O,O,O,X,X,X,X
ISJTLZO,X,O,X,O,X,O,X,X
ISJTLOZ,X,X,X,O,X,O,X,X
ISJTZLO,X,O,X,O,X,O,X,X
ISJTZOL,X,O,X,O,X,O,X,X
ISJTOLZ,X,X,X,O,X,O,X,X
ISJTOZL,X,X,X,O,X,O,X,X
ISJLTZO,O,O,O,O,X,O,X,X
ISJLTOZ,O,X,O,O,X,O,X,X
ISJLZTO,O,O,O,O,X,X,X,X
ISJLZOT,O,O,O,O,X,O,X,X
ISJLOTZ,O,X,O,O,X,O,X,X
ISJLOZT,O,O,O,O,X,O,X,X
ISJZTLO,X,O,X,O,X,X,X,X
ISJZTOL,X,O,X,O,X,X,X,X
ISJZLTO,X,O,X,O,X,X,X,X
ISJZLOT,X,O,X,O,X,O,X,X
ISJZOTL,X,O,X,O,X,X,X,X
ISJZOLT,X,O,X,O,X,O,X,X
ISJOTLZ,O,X,X,O,X,O,X,X
ISJOTZL,O,X,X,O,X,X,X,X
ISJOLTZ,O,X,O,O,X,O,X,X
ISJOLZT,O,O,O,O,X,O,X,X
ISJOZTL,O,O,X,O,X,X,X,X
ISJOZLT,O,O,X,O,X,O,X,X
ISZTLJO,X,O,O,X,X,O,O,X
ISZTLOJ,X,O,O,X,X,X,O,X
ISZTJLO,X,O,O,X,X,O,O,X
ISZTJOL,X,O,O,X,X,O,O,X
ISZTOLJ,X,O,O,X,X,X,O,X
ISZTOJL,X,O,O,X,X,X,O,X
ISZLTJO,O,O,O,X,X,O,X,X
ISZLTOJ,X,O,O,X,X,X,X,X
ISZLJTO,O,O,O,O,X,X,X,X
ISZLJOT,O,O,O,O,X,O,X,X
ISZLOTJ,O,O,O,X,X,X,X,X
ISZLOJT,O,O,O,O,X,X,X,X
ISZJTLO,X,O,X,X,X,X,X,X
ISZJTOL,X,O,X,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X,X
ISZJLOT,O,O,O,X,X,O,X,X
ISZJOTL,O,O,X,X,X,X,O,X
ISZJOLT,O,O,O,X,X,O,X,X
ISZOTLJ,X,O,O,X,X,X,O,X
ISZOTJL,O,O,O,X,X,X,O,X
ISZOLTJ,O,O,O,X,X,X,X,X
ISZOLJT,O,O,O,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X,O,X
ISZOJLT,O,O,O,X,X,X,X,X
ISOTLJZ,O,X,O,O,X,O,X,X
ISOTLZJ,O,X,O,X,X,X,X,X
ISOTJLZ,O,X,O,O,X,O,X,X
ISOTJZL,O,X,O,O,X,O,X,X
ISOTZLJ,O,X,O,X,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X,X
ISOLTJZ,O,X,O,O,X,O,X,X
ISOLTZJ,O,X,O,X,X,X,X,X
ISOLJTZ,O,X,O,O,X,O,X,X
ISOLJZT,O,O,O,O,X,O,X,X
ISOLZTJ,O,O,O,X,X,X,X,X
ISOLZJT,O,O,O,O,X,X,X,X
ISOJTLZ,O,X,X,O,X,O,X,X
ISOJTZL,O,X,X,O,X,X,X,X
ISOJLTZ,O,X,O,O,X,O,X,X
ISOJLZT,O,O,O,O,X,O,X,X
ISOJZTL,O,O,X,O,X,X,X,X
ISOJZLT,O,O,X,O,X,O,X,X
ISOZTLJ,O,O,O,X,X,X,O,X
ISOZTJL,O,O,O,X,X,X,O,X
ISOZLTJ,O,O,O,X,X,X,X,X
ISOZLJT,O,O,O,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X,O,X
ISOZJLT,O,O,O,X,X,X,X,X
IZTLJSO,X,O,X,X,X,X,O,X
IZTLJOS,X,O,X,X,X,X,O,O
IZTLSJO,X,O,X,X,X,O,O,X
IZTLSOJ,X,O,X,X,X,X,O,X
IZTLOJS,X,O,X,X,X,X,O,O
IZTLOSJ,X,O,X,X,X,X,O,X
IZTJLSO,X,O,X,X,O,X,O,X
IZTJLOS,X,O,X,X,O,X,O,X
IZTJSLO,X,O,X,O,X,O,O,X
IZTJSOL,X,O,X,O,X,O,O,X
IZTJOLS,X,O,X,X,O,X,O,X
IZTJOSL,X,O,X,X,X,O,O,X
IZTSLJO,X,O,X,X,X,O,O,X
IZTSLOJ,X,O,X,X,X,X,O,X
IZTSJLO,X,O,X,X,X,O,O,X
IZTSJOL,X,O,X,X,X,O,O,X
IZTSOLJ,X,O,X,X,X,X,O,X
IZTSOJL,X,O,X,X,X,X,O,X
IZTOLJS,X,O,X,X,O,X,O,X
IZTOLSJ,X,O,X,X,O,X,O,X
IZTOJLS,X,O,X,X,O,X,O,X
IZTOJSL,X,O,X,X,X,X,O,X
IZTOSLJ,X,O,X,X,X,X,O,X
IZTOSJL,X,O,X,X,X,X,O,X
IZLTJSO,O,O,X,X,X,X,O,X
IZLTJOS,O,O,X,X,X,X,O,O
IZLTSJO,X,O,X,X,X,O,O,X
IZLTSOJ,X,O,X,X,X,X,O,X
IZLTOJS,X,O,X,X,X,X,O,O
IZLTOSJ,X,O,X,X,X,X,O,X
IZLJTSO,O,O,X,X,O,X,X,X
IZLJTOS,O,O,X,X,O,X,X,X
IZLJSTO,O,O,X,O,O,X,X,X
IZLJSOT,O,O,X,O,O,X,X,X
IZLJOTS,O,O,X,X,O,X,O,O
IZLJOST,O,O,X,X,O,X,X,O
IZLSTJO,X,O,X,X,X,O,X,X
IZLSTOJ,X,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,O,X,X
IZLSOTJ,X,O,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X
IZLOTJS,O,O,X,X,O,X,O,O
IZLOTSJ,X,O,X,X,O,X,O,X
IZLOJTS,O,O,X,X,O,X,O,O
IZLOJST,O,O,X,X,O,X,X,O
IZLOSTJ,X,O,X,X,O,X,X,X
IZLOSJT,O,O,X,X,O,X,X,X
IZJTLSO,X,O,X,X,O,X,O,X
IZJTLOS,X,O,X,X,O,X,O,X
IZJTSLO,X,O,X,O,X,X,O,X
IZJTSOL,X,O,X,O,X,X,O,X
IZJTOLS,X,O,X,X,O,X,O,X
IZJTOSL,X,O,X,X,X,X,O,X
IZJLTSO,O,O,X,X,O,X,X,X
IZJLTOS,O,O,X,X,O,X,X,X
IZJLSTO,O,O,X,O,O,X,X,X
IZJLSOT,O,O,X,O,O,X,X,X
IZJLOTS,O,O,X,X,O,X,O,X
IZJLOST,O,O,X,X,O,X,X,X
IZJSTLO,X,O,X,O,X,X,X,X
IZJSTOL,X,O,X,O,X,X,X,X
IZJSLTO,X,O,X,O,O,X,X,X
IZJSLOT,X,O,X,O,O,O,X,X
IZJSOTL,X,O,X,O,X,X,O,X
IZJSOLT,X,O,X,O,O,O,X,X
IZJOTLS,O,O,X,X,O,X,O,X
IZJOTSL,O,X,X,X,X,X,O,X
IZJOLTS,O,O,X,X,O,X,O,X
IZJOLST,O,O,X,X,O,X,X,X
IZJOSTL,O,X,X,O,X,X,O,X
IZJOSLT,O,O,X,O,O,O,X,X
IZSTLJO,X,O,O,X,X,O,O,X
IZSTLOJ,X,O,O,X,X,X,O,X
IZSTJLO,X,O,O,X,X,O,O,X
IZSTJOL,X,O,O,X,X,O,O,X
IZSTOLJ,X,O,O,X,X,X,O,X
IZSTOJL,X,O,O,X,X,X,O,X
IZSLTJO,X,O,O,X,X,O,X,X
IZSLTOJ,X,O,O,X,X,X,X,X
IZSLJTO,X,O,O,X,X,X,X,X
IZSLJOT,X,O,O,X,X,O,X,X
IZSLOTJ,X,O,O,X,X,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X
IZSJTLO,X,O,X,O,X,X,X,X
IZSJTOL,X,O,X,O,X,X,X,X
IZSJLTO,X,O,O,O,O,X,X,X
IZSJLOT,X,O,O,O,O,O,X,X
IZSJOTL,X,O,X,O,X,X,O,X
IZSJOLT,X,O,O,O,O,O,X,X
IZSOTLJ,X,O,O,X,X,X,O,X
IZSOTJL,X,O,O,X,X,X,O,X
IZSOLTJ,X,O,O,X,O,X,X,X
IZSOLJT,X,O,O,X,O,X,X,X
IZSOJTL,X,O,X,X,X,X,O,X
IZSOJLT,X,O,O,X,O,X,X,X
IZOTLJS,O,O,X,X,O,X,O,X
IZOTLSJ,X,O,X,X,O,X,O,X
IZOTJLS,O,O,X,X,O,X,O,X
IZOTJSL,O,O,X,X,X,X,O,X
IZOTSLJ,X,O,X,X,X,X,O,X
IZOTSJL,X,O,X,X,X,X,O,X
IZOLTJS,O,O,X,X,O,X,O,X
IZOLTSJ,X,O,X,X,O,X,O,X
IZOLJTS,O,O,X,X,O,X,O,X
IZOLJST,O,O,X,X,O,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,X
IZOLSJT,O,O,X,X,O,X,X,X
IZOJTLS,O,O,X,X,O,X,O,X
IZOJTSL,O,X,X,X,X,X,O,X
IZOJLTS,O,O,X,X,O,X,O,X
IZOJLST,O,O,X,X,O,X,X,X
IZOJSTL,O,X,X,O,X,X,O,X
IZOJSLT,O,O,X,O,O,X,X,X
IZOSTLJ,X,O,O,X,X,X,O,X
IZOSTJL,X,O,O,X,X,X,O,X
IZOSLTJ,X,O,O,X,O,X,X,X
IZOSLJT,O,O,O,X,O,X,X,X
IZOSJTL,O,O,X,X,X,X,O,X
IZOSJLT,O,O,O,X,O,X,X,X
IOTLJSZ,O,X,X,X,O,X,X,O
IOTLJZS,O,O,X,X,O,X,X,O
IOTLSJZ,O,X,X,X,O,O,X,O
IOTLSZJ,O,X,X,X,O,X,X,X
IOTLZJS,O,O,X,X,O,X,X,O
IOTLZSJ,O,O,X,X,O,X,X,X
IOTJLSZ,O,X,X,X,O,O,X,X
IOTJLZS,O,O,X,X,O,X,X,X
IOTJSLZ,X,X,O,O,O,O,X,X
IOTJSZL,O,X,O,O,X,O,X,X
IOTJZLS,O,O,X,X,O,X,X,X
IOTJZSL,O,O,X,O,O,O,X,X
IOTSLJZ,O,X,O,O,O,O,X,X
IOTSLZJ,O,X,O,X,O,X,X,X
IOTSJLZ,O,X,O,O,O,O,X,X
IOTSJZL,O,X,O,O,X,O,X,X
IOTSZLJ,O,X,O,X,X,X,X,X
IOTSZJL,O,X,O,X,X,X,X,X
IOTZLJS,O,O,X,X,O,X,O,X
IOTZLSJ,O,O,X,X,O,X,O,X
IOTZJLS,O,O,X,X,O,X,O,X
IOTZJSL,O,O,O,O,O,X,O,X
IOTZSLJ,O,O,O,X,O,X,O,X
IOTZSJL,O,O,O,X,O,X,O,X
IOLTJSZ,O,X,X,X,O,X,X,O
IOLTJZS,O,O,X,X,O,X,X,O
IOLTSJZ,O,X,X,X,O,O,X,O
IOLTSZJ,O,X,X,X,O,X,X,X
IOLTZJS,O,O,X,X,O,X,X,O
IOLTZSJ,O,O,X,X,O,X,X,X
IOLJTSZ,O,X,X,X,O,X,X,O
IOLJTZS,O,X,X,X,O,X,X,O
IOLJSTZ,O,X,X,X,X,X,X,O
IOLJSZT,O,X,X,X,X,X,X,O
IOLJZTS,O,O,X,X,O,X,X,O
IOLJZST,O,O,X,X,O,X,X,O
IOLSTJZ,O,X,X,X,X,O,X,O
IOLSTZJ,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,O,X,O
IOLSJZT,O,O,X,X,X,O,X,O
IOLSZTJ,O,O,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X
IOLZTJS,O,O,X,X,O,X,O,O
IOLZTSJ,O,O,X,X,O,X,O,X
IOLZJTS,O,O,X,X,O,X,O,O
IOLZJST,O,O,X,X,O,X,X,O
IOLZSTJ,O,O,X,X,O,X,X,X
IOLZSJT,O,O,X,X,O,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,O,X,X,X
IOJTSLZ,X,X,X,O,O,O,X,X
IOJTSZL,O,X,X,O,X,X,X,X
IOJTZLS,O,X,X,X,O,X,X,X
IOJTZSL,O,X,X,O,O,X,X,X
IOJLTSZ,O,X,X,X,O,X,X,X
IOJLTZS,O,X,X,X,O,X,X,X
IOJLSTZ,O,X,X,X,X,O,X,X
IOJLSZT,O,X,X,X,X,O,X,X
IOJLZTS,O,O,X,X,O,X,X,X
IOJLZST,O,O,X,X,O,X,X,X
IOJSTLZ,O,X,X,O,X,O,X,X
IOJSTZL,O,X,X,O,X,X,X,X
IOJSLTZ,O,X,X,O,X,O,X,X
IOJSLZT,O,X,X,O,X,O,X,X
IOJSZTL,O,X,X,O,X,X,X,X
IOJSZLT,O,X,X,O,X,O,X,X
IOJZTLS,O,O,X,X,O,X,O,X
IOJZTSL,O,X,X,X,X,X,O,X
IOJZLTS,O,O,X,X,O,X,O,X
IOJZLST,O,O,X,X,O,X,X,X
IOJZSTL,O,X,X,O,X,X,O,X
IOJZSLT,O,O,X,O,O,O,X,X
IOSTLJZ,O,X,O,O,X,O,X,X
IOSTLZJ,O,X,O,X,X,X,X,X
IOSTJLZ,O,X,O,O,X,O,X,X
IOSTJZL,O,X,O,O,X,O,X,X
IOSTZLJ,O,X,O,X,X,X,X,X
IOSTZJL,O,X,O,X,X,X,X,X
IOSLTJZ,O,X,O,O,X,O,X,X
IOSLTZJ,O,X,O,X,X,X,X,X
IOSLJTZ,O,X,O,O,X,O,X,X
IOSLJZT,O,O,O,O,X,O,X,X
IOSLZTJ,O,O,O,X,X,X,X,X
IOSLZJT,O,O,O,O,X,X,X,X
IOSJTLZ,O,X,X,O,X,O,X,X
IOSJTZL,O,X,X,O,X,X,X,X
IOSJLTZ,O,X,O,O,X,O,X,X
IOSJLZT,O,O,O,O,X,O,X,X
IOSJZTL,O,O,X,O,X,X,X,X
IOSJZLT,O,O,X,O,X,O,X,X
IOSZTLJ,O,O,O,X,X,X,O,X
IOSZTJL,O,O,O,X,X,X,O,X
IOSZLTJ,O,O,O,X,X,X,X,X
IOSZLJT,O,O,O,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X,O,X
IOSZJLT,O,O,O,X,X,X,X,X
IOZTLJS,O,O,X,X,O,X,O,X
IOZTLSJ,O,O,X,X,O,X,O,X
IOZTJLS,O,O,X,X,O,X,O,X
IOZTJSL,O,O,X,X,X,X,O,X
IOZTSLJ,O,O,X,X,X,X,O,X
IOZTSJL,O,O,X,X,X,X,O,X
IOZLTJS,O,O,X,X,O,X,O,X
IOZLTSJ,O,O,X,X,O,X,O,X
IOZLJTS,O,O,X,X,O,X,O,X
IOZLJST,O,O,X,X,O,X,X,X
IOZLSTJ,O,O,X,X,O,X,X,X
IOZLSJT,O,O,X,X,O,X,X,X
IOZJTLS,O,O,X,X,O,X,O,X
IOZJTSL,O,X,X,X,X,X,O,X
IOZJLTS,O,O,X,X,O,X,O,X
IOZJLST,O,O,X,X,O,X,X,X
IOZJSTL,O,X,X,O,X,X,O,X
IOZJSLT,O,O,X,O,O,X,X,X
IOZSTLJ,O,O,O,X,X,X,O,X
IOZSTJL,O,O,O,X,X,X,O,X
IOZSLTJ,X,O,O,X,O,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X
IOZSJTL,O,O,X,X,X,X,O,X
IOZSJLT,O,O,O,X,O,X,X,X
LTIJSZO,O,O,X,X,O,O,X,X
LTIJSOZ,X,X,X,X,O,O,X,O
LTIJZSO,O,O,X,X,O,X,X,X
LTIJZOS,O,O,X,X,O,X,X,O
LTIJOSZ,X,X,X,X,O,O,X,O
LTIJOZS,X,O,X,X,O,X,X,O
LTISJZO,O,O,X,X,X,O,X,X
LTISJOZ,O,O,X,X,X,O,X,O
LTISZJO,O,O,X,X,X,O,X,X
LTISZOJ,O,O,X,X,X,X,X,X
LTISOJZ,O,O,X,X,X,O,X,O
LTISOZJ,O,O,X,X,X,X,X,X
LTIZJSO,O,O,X,O,O,X,X,X
LTIZJOS,O,O,X,X,O,X,X,O
LTIZSJO,O,O,X,X,X,O,X,X
LTIZSOJ,O,O,X,X,X,X,X,X
LTIZOJS,O,O,X,X,O,X,X,O
LTIZOSJ,O,O,X,X,O,X,X,X
LTIOJSZ,O,X,X,X,O,X,X,O
LTIOJZS,O,O,X,X,O,X,X,O
LTIOSJZ,O,X,X,X,O,O,X,O
LTIOSZJ,O,X,X,X,O,X,X,X
LTIOZJS,O,O,X,X,O,X,X,O
LTIOZSJ,O,O,X,X,O,X,X,X
LTJISZO,O,O,O,X,O,O,X,X
LTJISOZ,X,X,O,X,O,O,X,O
LTJIZSO,O,O,X,X,O,X,X,X
LTJIZOS,O,O,X,X,O,X,X,O
LTJIOSZ,X,X,X,X,O,O,X,O
LTJIOZS,X,O,X,X,O,X,X,O
LTJSIZO,O,O,O,O,O,O,X,X
LTJSIOZ,X,O,O,X,O,O,X,X
LTJSZIO,O,O,O,O,O,O,X,X
LTJSZOI,O,O,X,O,X,O,X,X
LTJSOIZ,O,X,O,O,X,O,X,X
LTJSOZI,O,O,O,O,X,O,X,X
LTJZISO,O,O,X,O,O,X,X,X
LTJZIOS,O,O,X,X,O,X,X,X
LTJZSIO,O,O,X,O,O,X,X,X
LTJZSOI,O,O,X,O,X,X,X,X
LTJZOIS,O,O,X,X,O,X,X,X
LTJZOSI,O,O,X,O,O,X,X,X
LTJOISZ,O,X,X,X,O,X,X,O
LTJOIZS,O,X,X,X,O,X,X,O
LTJOSIZ,O,X,O,O,O,O,X,X
LTJOSZI,O,X,O,O,O,O,X,X
LTJOZIS,O,X,X,X,O,X,X,X
LTJOZSI,O,X,X,O,O,X,X,X
LTSIJZO,O,O,O,O,X,O,X,X
LTSIJOZ,O,O,O,X,X,O,X,O
LTSIZJO,O,O,O,X,X,O,X,X
LTSIZOJ,O,O,O,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,O,X,O
LTSIOZJ,O,O,O,X,X,X,X,X
LTSJIZO,O,O,O,O,X,O,X,X
LTSJIOZ,O,O,O,X,X,O,X,X
LTSJZIO,O,O,O,O,X,O,X,X
LTSJZOI,O,O,O,O,X,O,X,X
LTSJOIZ,O,X,O,O,X,O,X,X
LTSJOZI,O,O,O,O,X,O,X,X
LTSZIJO,O,O,O,X,X,O,X,X
LTSZIOJ,O,O,O,X,X,X,X,X
LTSZJIO,O,O,O,O,X,O,X,X
LTSZJOI,O,O,O,O,X,O,X,X
LTSZOIJ,O,O,O,X,X,X,X,X
LTSZOJI,O,O,O,X,X,X,X,X
LTSOIJZ,O,O,O,O,X,O,X,O
LTSOIZJ,O,O,O,X,X,X,X,X
LTSOJIZ,O,X,O,O,X,O,X,X
LTSOJZI,O,O,O,O,X,O,X,X
LTSOZIJ,O,O,O,X,X,X,X,X
LTSOZJI,O,O,O,O,X,X,X,X
LTZIJSO,O,O,X,O,O,X,O,X
LTZIJOS,O,O,X,X,O,X,O,O
LTZISJO,O,O,X,X,X,O,O,X
LTZISOJ,O,O,X,X,X,X,O,X
LTZIOJS,O,O,X,X,O,X,O,O
LTZIOSJ,O,O,X,X,O,X,O,X
LTZJISO,O,O,O,O,O,X,X,X
LTZJIOS,O,O,X,X,O,X,X,X
LTZJSIO,O,O,O,O,O,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X
LTZJOIS,O,O,X,X,O,X,X,X
LTZJOSI,O,O,O,O,O,X,X,X
LTZSIJO,O,O,O,X,X,O,X,X
LTZSIOJ,O,O,O,X,X,X,X,X
LTZSJIO,O,O,O,X,X,O,X,X
LTZSJOI,O,O,O,X,X,O,X,X
LTZSOIJ,O,O,O,X,X,X,X,X
LTZSOJI,O,O,O,X,X,X,X,X
LTZOIJS,O,O,X,X,O,X,O,O
LTZOISJ,O,O,X,X,O,X,O,X
LTZOJIS,O,O,X,X,O,X,X,X
LTZOJSI,O,O,O,O,O,X,X,X
LTZOSIJ,O,O,O,X,O,X,X,X
LTZOSJI,O,O,O,X,O,X,X,X
LTOIJSZ,O,X,X,X,O,X,X,O
LTOIJZS,O,O,X,X,O,X,X,O
LTOISJZ,O,X,X,X,O,O,X,O
LTOISZJ,O,X,X,X,O,X,X,X
LTOIZJS,O,O,X,X,O,X,X,O
LTOIZSJ,O,O,X,X,O,X,X,X
LTOJISZ,O,X,X,X,O,X,X,O
LTOJIZS,O,X,X,X,O,X,X,O
LTOJSIZ,O,X,O,O,O,X,X,X
LTOJSZI,O,X,O,O,O,X,X,X
LTOJZIS,O,X,X,X,O,X,X,X
LTOJZSI,O,X,X,O,O,X,X,X
LTOSIJZ,O,O,O,O,O,O,X,O
LTOSIZJ,O,O,O,X,O,X,X,X
LTOSJIZ,O,X,O,O,O,O,X,X
LTOSJZI,O,O,O,O,O,O,X,X
LTOSZIJ,O,O,O,X,O,X,X,X
LTOSZJI,O,O,O,O,O,X,X,X
LTOZIJS,O,O,X,X,O,X,O,O
LTOZISJ,O,O,X,X,O,X,O,X
LTOZJIS,O,O,X,X,O,X,X,X
LTOZJSI,O,O,O,O,O,X,X,X
LTOZSIJ,O,O,O,X,O,X,X,X
LTOZSJI,O,O,O,X,O,X,X,X
LITJSZO,O,O,X,X,X,O,X,X
LITJSOZ,X,X,X,X,X,O,X,O
LITJZSO,O,O,X,X,X,X,X,X
LITJZOS,O,O,X,X,X,X,X,O
LITJOSZ,X,X,X,X,X,O,X,O
LITJOZS,X,O,X,X,X,X,X,O
LITSJZO,O,O,X,X,X,O,X,X
LITSJOZ,O,O,X,X,X,O,X,O
LITSZJO,O,O,X,X,X,O,X,X
LITSZOJ,O,O,X,X,X,X,X,X
LITSOJZ,O,O,X,X,X,O,X,O
LITSOZJ,O,O,X,X,X,X,X,X
LITZJSO,O,O,X,X,X,X,X,X
LITZJOS,O,O,X,X,X,X,X,O
LITZSJO,O,O,X,X,X,O,X,X
LITZSOJ,O,O,X,X,X,X,X,X
LITZOJS,O,O,X,X,X,X,X,O
LITZOSJ,O,O,X,X,X,X,X,X
LITOJSZ,O,X,X,X,X,X,X,O
LITOJZS,O,O,X,X,X,X,X,O
LITOSJZ,O,X,X,X,X,O,X,O
LITOSZJ,O,X,X,X,X,X,X,X
LITOZJS,O,O,X,X,X,X,X,O
LITOZSJ,O,O,X,X,X,X,X,X
LIJTSZO,O,O,X,X,X,O,X,X
LIJTSOZ,X,X,X,X,X,O,X,O
LIJTZSO,O,O,X,X,X,X,X,X
LIJTZOS,O,O,X,X,X,X,X,O
LIJTOSZ,X,X,X,X,X,X,X,O
LIJTOZS,X,O,X,X,X,X,X,O
