sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
TLJISZO,O,O,O,X,O,O,X,X
TLJISOZ,X,X,O,X,O,O,X,O
TLJIZSO,O,O,X,X,O,X,X,X
TLJIZOS,O,O,X,X,O,X,X,O
TLJIOSZ,X,X,X,X,O,O,X,O
TLJIOZS,X,O,X,X,O,X,X,O
TLJSIZO,O,O,O,O,O,O,X,X
TLJSIOZ,X,O,O,X,O,O,X,X
TLJSZIO,O,O,O,O,O,O,X,X
TLJSZOI,O,O,X,O,X,O,X,X
TLJSOIZ,O,X,O,O,X,O,X,X
TLJSOZI,O,O,O,O,X,O,X,X
TLJZISO,O,O,X,O,O,X,X,X
TLJZIOS,O,O,X,X,O,X,X,X
TLJZSIO,O,O,X,O,O,X,X,X
TLJZSOI,O,O,X,O,X,X,X,X
TLJZOIS,O,O,X,X,O,X,X,X
TLJZOSI,O,O,X,O,O,X,X,X
TLJOISZ,O,X,X,X,O,X,X,O
TLJOIZS,O,X,X,X,O,X,X,O
TLJOSIZ,O,X,O,O,O,O,X,X
TLJOSZI,O,X,O,O,O,O,X,X
TLJOZIS,O,X,X,X,O,X,X,X
TLJOZSI,O,X,X,O,O,X,X,X
TLSIJZO,O,O,O,O,X,O,X,X
TLSIJOZ,O,O,O,X,X,O,X,O
TLSIZJO,O,O,O,X,X,O,X,X
TLSIZOJ,O,O,O,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,X,O
TLSIOZJ,O,O,O,X,X,X,X,X
TLSJIZO,O,O,O,O,X,O,X,X
TLSJIOZ,O,O,O,X,X,O,X,X
TLSJZIO,O,O,O,O,X,O,X,X
TLSJZOI,O,O,O,O,X,O,X,X
TLSJOIZ,O,X,O,O,X,O,X,X
TLSJOZI,O,O,O,O,X,O,X,X
TLSZIJO,O,O,O,X,X,O,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,O,X,O,X,X
TLSZJOI,O,O,O,O,X,O,X,X
TLSZOIJ,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X
TLSOIJZ,O,O,O,O,X,O,X,O
TLSOIZJ,O,O,O,X,X,X,X,X
TLSOJIZ,O,X,O,O,X,O,X,X
TLSOJZI,O,O,O,O,X,O,X,X
TLSOZIJ,O,O,O,X,X,X,X,X
TLSOZJI,O,O,O,O,X,X,X,X
TLZIJSO,O,O,X,O,O,X,O,X
TLZIJOS,O,O,X,X,O,X,O,O
TLZISJO,O,O,X,X,X,O,O,X
TLZISOJ,O,O,X,X,X,X,O,X
TLZIOJS,O,O,X,X,O,X,O,O
TLZIOSJ,O,O,X,X,O,X,O,X
TLZJISO,O,O,O,O,O,X,X,X
TLZJIOS,O,O,X,X,O,X,X,X
TLZJSIO,O,O,O,O,O,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X
TLZJOIS,O,O,X,X,O,X,X,X
TLZJOSI,O,O,O,O,O,X,X,X
TLZSIJO,O,O,O,X,X,O,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,O,X,X
TLZSJOI,O,O,O,X,X,O,X,X
TLZSOIJ,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,O,O,X,X,O,X,O,O
TLZOISJ,O,O,X,X,O,X,O,X
TLZOJIS,O,O,X,X,O,X,X,X
TLZOJSI,O,O,O,O,O,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,X
TLZOSJI,O,O,O,X,O,X,X,X
TLOIJSZ,O,X,X,X,O,X,X,O
TLOIJZS,O,O,X,X,O,X,X,O
TLOISJZ,O,X,X,X,O,O,X,O
TLOISZJ,O,X,X,X,O,X,X,X
TLOIZJS,O,O,X,X,O,X,X,O
TLOIZSJ,O,O,X,X,O,X,X,X
TLOJISZ,O,X,X,X,O,X,X,O
TLOJIZS,O,X,X,X,O,X,X,O
TLOJSIZ,O,X,O,O,O,X,X,X
TLOJSZI,O,X,O,O,O,X,X,X
TLOJZIS,O,X,X,X,O,X,X,X
TLOJZSI,O,X,X,O,O,X,X,X
TLOSIJZ,O,O,O,O,O,O,X,O
TLOSIZJ,O,O,O,X,O,X,X,X
TLOSJIZ,O,X,O,O,O,O,X,X
TLOSJZI,O,O,O,O,O,O,X,X
TLOSZIJ,O,O,O,X,O,X,X,X
TLOSZJI,O,O,O,O,O,X,X,X
TLOZIJS,O,O,X,X,O,X,O,O
TLOZISJ,O,O,X,X,O,X,O,X
TLOZJIS,O,O,X,X,O,X,X,X
TLOZJSI,O,O,O,O,O,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X
TJILSZO,X,O,O,X,O,O,X,X
TJILSOZ,X,X,O,X,O,O,X,O
TJILZSO,X,O,X,X,O,X,X,X
TJILZOS,X,O,X,X,O,X,X,O
TJILOSZ,X,X,X,X,O,O,X,O
TJILOZS,X,O,X,X,O,X,X,O
TJISLZO,X,O,O,O,O,O,X,X
TJISLOZ,X,X,O,O,O,O,X,X
TJISZLO,X,O,O,O,X,O,X,X
