sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
TJZLOSI,X,X,X,O,O,O,X,O
TJZSILO,O,O,X,O,X,O,X,X
TJZSIOL,X,O,X,O,X,O,X,X
TJZSLIO,O,O,X,O,X,O,X,X
TJZSLOI,X,X,X,O,X,O,X,X
TJZSOIL,X,O,X,O,X,O,X,O
TJZSOLI,X,X,X,O,X,O,X,O
TJZOILS,X,O,X,O,O,O,X,X
TJZOISL,X,O,X,O,X,O,X,O
TJZOLIS,X,O,X,O,O,O,X,X
TJZOLSI,X,O,X,O,O,O,X,O
TJZOSIL,X,O,X,O,X,O,X,O
TJZOSLI,X,O,X,O,X,O,X,O
TJOILSZ,X,X,X,X,O,O,O,X
TJOILZS,O,O,O,O,O,O,X,X
TJOISLZ,X,X,X,X,O,O,X,X
TJOISZL,X,O,X,O,X,O,X,X
TJOIZLS,O,O,X,O,O,O,X,X
TJOIZSL,O,O,X,O,X,O,X,X
TJOLISZ,X,X,X,X,O,O,O,X
TJOLIZS,O,O,O,O,O,O,X,X
TJOLSIZ,X,X,X,X,O,O,O,X
TJOLSZI,X,X,X,X,O,O,O,X
TJOLZIS,O,O,O,O,O,O,X,X
TJOLZSI,O,O,O,O,O,O,X,X
TJOSILZ,X,X,X,O,O,O,X,X
TJOSIZL,X,O,X,O,O,O,X,X
TJOSLIZ,X,X,X,O,O,O,X,X
TJOSLZI,X,X,X,O,O,O,X,X
TJOSZIL,X,O,X,O,O,O,X,X
TJOSZLI,X,O,X,O,O,O,X,X
TJOZILS,O,O,X,O,O,O,X,X
TJOZISL,O,O,X,O,X,O,X,O
TJOZLIS,O,O,X,O,O,O,X,X
TJOZLSI,O,O,X,O,O,O,X,O
TJOZSIL,O,O,X,O,X,O,X,O
TJOZSLI,O,O,X,O,X,O,X,O
TSILJZO,X,X,O,O,O,X,O,X
TSILJOZ,X,X,O,O,O,X,O,X
TSILZJO,O,X,O,X,X,X,O,O
TSILZOJ,O,X,O,X,X,X,O,O
TSILOJZ,X,X,O,O,O,X,O,X
TSILOZJ,O,X,O,X,X,X,O,O
TSIJLZO,X,X,O,O,O,O,X,X
TSIJLOZ,X,X,O,O,O,O,X,X
TSIJZLO,X,O,X,O,O,O,X,O
TSIJZOL,X,O,X,O,O,O,X,O
TSIJOLZ,X,X,O,O,O,O,X,X
TSIJOZL,X,O,X,O,O,O,X,O
TSIZLJO,O,O,O,X,X,X,X,O
TSIZLOJ,O,X,O,X,X,X,X,O
TSIZJLO,O,O,X,O,O,X,X,O
TSIZJOL,X,O,X,O,O,X,X,O
TSIZOLJ,O,X,O,X,X,X,X,O
TSIZOJL,X,O,X,O,O,X,X,O
