sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
IJOLTSZ,X,X,X,X,O,O,X,X
IJOLTZS,O,O,X,X,O,O,X,X
IJOLSTZ,X,X,X,X,O,O,O,X
IJOLSZT,X,X,X,X,X,X,O,X
IJOLZTS,O,O,O,O,X,O,X,X
IJOLZST,O,O,O,O,X,X,X,X
IJOSTLZ,X,X,X,O,O,X,X,X
IJOSTZL,X,O,X,O,O,X,X,X
IJOSLTZ,X,X,X,X,O,O,X,X
IJOSLZT,X,X,X,O,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X
IJOSZLT,X,O,X,O,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,X
IJOZLTS,O,O,X,O,X,O,X,X
IJOZLST,O,O,X,O,X,X,X,X
IJOZSTL,O,O,X,O,X,X,X,X
IJOZSLT,O,O,X,O,X,X,X,X
ISTLJZO,X,X,O,O,O,X,O,X
ISTLJOZ,X,X,O,O,O,X,O,X
ISTLZJO,O,X,O,X,X,X,O,O
ISTLZOJ,O,X,O,X,X,X,O,O
ISTLOJZ,X,X,O,O,O,X,O,X
ISTLOZJ,O,X,O,X,X,X,O,O
ISTJLZO,X,X,O,O,O,O,X,X
ISTJLOZ,X,X,O,O,O,O,X,X
ISTJZLO,X,O,X,O,O,O,X,O
ISTJZOL,X,O,X,O,O,O,X,O
ISTJOLZ,X,X,O,O,O,O,X,X
ISTJOZL,X,O,X,O,O,O,X,O
ISTZLJO,O,O,O,X,X,X,X,O
ISTZLOJ,O,X,O,X,X,X,X,O
ISTZJLO,O,O,X,O,O,X,X,O
ISTZJOL,X,O,X,O,O,X,X,O
ISTZOLJ,O,X,O,X,X,X,X,O
ISTZOJL,X,O,X,O,O,X,X,O
ISTOLJZ,X,X,O,O,O,X,O,X
ISTOLZJ,O,X,O,X,X,X,O,O
ISTOJLZ,X,X,O,O,O,O,X,X
ISTOJZL,X,O,X,O,O,O,X,O
ISTOZLJ,O,O,O,X,X,X,X,O
ISTOZJL,O,O,X,O,O,X,X,O
ISLTJZO,X,X,O,X,X,X,O,X
ISLTJOZ,X,X,O,X,X,X,O,X
ISLTZJO,O,X,O,X,X,X,O,X
ISLTZOJ,O,X,O,X,X,X,O,X
ISLTOJZ,X,X,O,X,X,X,O,X
ISLTOZJ,O,X,O,X,X,X,O,X
ISLJTZO,X,X,X,X,X,X,O,X
ISLJTOZ,X,X,X,X,X,X,O,X
ISLJZTO,X,X,O,O,X,X,O,X
ISLJZOT,X,X,O,O,X,X,O,X
ISLJOTZ,X,X,X,X,X,X,O,X
ISLJOZT,X,X,O,O,X,X,O,X
ISLZTJO,O,X,O,X,X,X,O,X
ISLZTOJ,O,X,O,X,X,X,O,X
ISLZJTO,O,X,O,X,X,X,O,X
ISLZJOT,X,X,O,X,X,X,O,X
ISLZOTJ,O,X,O,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,O,X
ISLOTJZ,X,X,O,X,X,X,O,X
ISLOTZJ,O,X,O,X,X,X,O,X
ISLOJTZ,X,X,X,X,X,X,O,X
ISLOJZT,X,X,O,O,X,X,O,X
ISLOZTJ,O,X,O,X,X,X,X,X
ISLOZJT,O,X,O,X,X,X,O,X
ISJTLZO,X,X,X,O,O,O,X,X
ISJTLOZ,X,X,X,O,O,O,X,X
ISJTZLO,X,O,X,O,O,O,X,X
ISJTZOL,X,O,X,O,O,O,X,X
ISJTOLZ,X,X,X,O,O,O,X,X
ISJTOZL,X,O,X,O,O,O,X,X
ISJLTZO,X,X,X,X,O,X,X,X
ISJLTOZ,X,X,X,X,O,O,X,X
ISJLZTO,X,X,O,O,X,X,X,X
ISJLZOT,X,X,O,O,X,X,X,X
ISJLOTZ,X,X,X,X,O,O,X,X
ISJLOZT,X,X,O,O,X,X,X,X
ISJZTLO,X,O,X,O,X,X,X,X
ISJZTOL,X,O,X,O,X,X,X,X
ISJZLTO,X,O,X,O,X,X,X,X
ISJZLOT,X,X,X,O,X,X,X,X
ISJZOTL,X,O,X,O,X,X,X,X
ISJZOLT,X,O,X,O,X,X,X,X
ISJOTLZ,X,X,X,O,O,X,X,X
ISJOTZL,X,O,X,O,O,X,X,X
ISJOLTZ,X,X,X,X,O,O,X,X
ISJOLZT,X,X,O,O,X,X,X,X
ISJOZTL,X,O,X,O,X,X,X,X
ISJOZLT,X,O,X,O,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X,O
ISZTLOJ,O,X,X,X,X,X,X,O
ISZTJLO,O,O,X,X,X,X,X,O
ISZTJOL,X,O,X,X,X,X,X,O
ISZTOLJ,O,X,X,X,X,X,X,O
ISZTOJL,X,O,X,X,X,X,X,O
ISZLTJO,O,O,O,X,X,X,X,X
ISZLTOJ,O,X,O,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X,X
ISZLJOT,X,X,O,X,X,X,X,X
ISZLOTJ,O,X,O,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,X,X
ISZJTLO,O,O,X,O,X,X,X,O
ISZJTOL,X,O,X,O,X,X,X,O
ISZJLTO,O,O,X,O,X,X,X,X
ISZJLOT,X,X,X,O,X,X,X,X
ISZJOTL,X,O,X,O,X,X,X,O
ISZJOLT,X,O,X,O,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,O
ISZOTJL,O,O,X,X,X,X,X,O
ISZOLTJ,O,O,O,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,X
ISZOJTL,O,O,X,O,X,X,X,O
ISZOJLT,O,O,X,O,X,X,X,X
ISOTLJZ,X,X,O,O,O,X,X,X
ISOTLZJ,O,X,O,X,X,X,X,O
ISOTJLZ,X,X,O,O,O,X,X,X
ISOTJZL,X,O,X,O,O,X,X,O
ISOTZLJ,O,O,O,X,X,X,X,O
ISOTZJL,O,O,X,O,O,X,X,O
ISOLTJZ,X,X,O,X,X,X,O,X
ISOLTZJ,O,X,O,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,O,X
ISOLJZT,X,X,O,O,X,X,O,X
ISOLZTJ,O,X,O,X,X,X,X,X
ISOLZJT,O,X,O,X,X,X,O,X
ISOJTLZ,X,X,X,O,O,X,X,X
ISOJTZL,X,O,X,O,O,X,X,X
ISOJLTZ,X,X,X,X,O,O,X,X
ISOJLZT,X,X,O,O,X,X,X,X
ISOJZTL,X,O,X,O,X,X,X,X
ISOJZLT,X,O,X,O,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X,O
ISOZTJL,O,O,X,X,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X,X
ISOZJTL,O,O,X,O,X,X,X,O
ISOZJLT,O,O,X,O,X,X,X,X
IZTLJSO,O,O,O,X,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,O,X
IZTLSOJ,O,X,O,X,X,X,O,X
IZTLOJS,O,X,O,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,O,X
IZTJLSO,O,O,X,O,X,X,X,X
IZTJLOS,X,X,X,O,O,X,X,X
IZTJSLO,O,O,X,O,X,O,X,X
IZTJSOL,X,O,X,O,X,O,X,X
IZTJOLS,X,O,X,O,O,X,X,X
IZTJOSL,X,O,X,O,X,O,X,O
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X
IZTSJOL,X,O,X,X,X,X,X,X
IZTSOLJ,O,X,X,X,X,X,X,X
IZTSOJL,X,O,X,X,X,X,X,X
IZTOLJS,O,O,O,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,O,X
IZTOJLS,O,O,X,O,O,X,X,X
IZTOJSL,O,O,X,O,X,O,X,O
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,O,O,O,X,X,X,X,X
IZLTJOS,X,X,O,X,X,X,X,X
IZLTSJO,O,O,O,X,X,X,O,X
IZLTSOJ,O,X,O,X,X,X,O,X
IZLTOJS,O,X,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,O,X
IZLJTSO,O,O,O,X,X,X,X,X
IZLJTOS,X,X,O,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X
IZLJOTS,O,O,O,X,X,X,X,X
IZLJOST,O,O,O,X,X,X,X,X
IZLSTJO,O,O,O,X,X,X,O,X
IZLSTOJ,O,X,O,X,X,X,O,X
IZLSJTO,O,O,O,X,X,X,O,X
IZLSJOT,X,X,O,X,X,X,O,X
IZLSOTJ,O,X,O,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,O,X
IZLOTJS,O,O,O,X,X,X,X,X
IZLOTSJ,O,O,O,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X,X,X
IZLOJST,O,O,O,X,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,O,X
IZJTLSO,O,O,X,O,X,X,X,X
IZJTLOS,X,X,X,O,O,X,X,X
IZJTSLO,O,O,X,O,X,O,X,X
IZJTSOL,X,O,X,O,X,O,X,X
IZJTOLS,X,O,X,O,O,X,X,X
IZJTOSL,X,O,X,O,X,O,X,O
IZJLTSO,O,O,X,O,X,X,X,X
IZJLTOS,X,X,X,O,O,O,X,X
IZJLSTO,O,O,X,O,X,X,X,X
IZJLSOT,X,X,X,O,X,X,X,X
IZJLOTS,O,O,X,O,X,O,X,X
IZJLOST,O,O,X,O,X,X,X,X
IZJSTLO,O,O,X,O,X,X,X,O
IZJSTOL,X,O,X,O,X,X,X,O
IZJSLTO,O,O,X,O,X,X,X,X
IZJSLOT,X,X,X,O,X,X,X,X
IZJSOTL,X,O,X,O,X,X,X,O
IZJSOLT,X,O,X,O,X,X,X,X
IZJOTLS,O,O,X,O,X,X,X,X
IZJOTSL,O,O,X,O,X,X,X,O
IZJOLTS,O,O,X,O,X,O,X,X
IZJOLST,O,O,X,O,X,X,X,X
IZJOSTL,O,O,X,O,X,X,X,O
IZJOSLT,O,O,X,O,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,O
IZSTLOJ,O,X,X,X,X,X,X,O
IZSTJLO,O,O,X,X,X,X,X,O
IZSTJOL,X,O,X,X,X,X,X,O
IZSTOLJ,O,X,X,X,X,X,X,O
IZSTOJL,X,O,X,X,X,X,X,O
IZSLTJO,O,O,O,X,X,X,X,X
IZSLTOJ,O,X,O,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X,X
IZSLJOT,X,X,O,X,X,X,X,X
IZSLOTJ,O,X,O,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,X,X
IZSJTLO,O,O,X,O,X,X,X,O
IZSJTOL,X,O,X,O,X,X,X,O
IZSJLTO,O,O,X,O,X,X,X,X
IZSJLOT,X,X,X,O,X,X,X,X
IZSJOTL,X,O,X,O,X,X,X,O
IZSJOLT,X,O,X,O,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,O
IZSOTJL,O,O,X,X,X,X,X,O
IZSOLTJ,O,O,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,X
IZSOJTL,O,O,X,O,X,X,X,O
IZSOJLT,O,O,X,O,X,X,X,X
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,O
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,O,O,O,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,X
IZOLJST,O,O,O,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,O,X
IZOJTLS,O,O,X,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,O
IZOJLTS,O,O,X,O,X,O,X,X
IZOJLST,O,O,X,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X,X,O
IZOJSLT,O,O,X,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,O
IZOSTJL,O,O,X,X,X,X,X,O
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X
IZOSJTL,O,O,X,X,X,X,X,O
IZOSJLT,O,O,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,O,O,O,X
IOTLJZS,O,O,O,O,O,X,X,X
IOTLSJZ,X,X,X,X,X,X,O,X
IOTLSZJ,O,X,O,X,X,X,O,X
IOTLZJS,O,O,O,X,X,X,X,X
IOTLZSJ,O,O,O,X,X,X,O,X
IOTJLSZ,X,X,X,X,O,O,O,X
IOTJLZS,O,O,O,O,O,O,X,X
IOTJSLZ,X,X,X,X,O,O,X,X
IOTJSZL,X,O,X,O,X,O,X,X
IOTJZLS,O,O,X,O,O,O,X,X
IOTJZSL,O,O,X,O,X,O,X,X
IOTSLJZ,X,X,X,X,X,X,O,X
IOTSLZJ,O,X,O,X,X,X,O,X
IOTSJLZ,X,X,X,X,O,O,X,X
IOTSJZL,X,O,X,O,X,O,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X
IOTZLJS,O,O,O,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,O,X
IOTZJLS,O,O,X,O,O,X,X,X
IOTZJSL,O,O,X,O,X,O,X,O
IOTZSLJ,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,X
IOLTJZS,O,O,O,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,O,X
IOLTSZJ,O,X,O,X,X,X,O,X
IOLTZJS,O,O,O,X,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,O,X,X
IOLJTZS,O,O,X,X,X,O,X,X
IOLJSTZ,X,X,X,X,X,O,O,X
IOLJSZT,X,X,X,X,X,X,O,X
IOLJZTS,O,O,O,O,X,O,X,X
IOLJZST,O,O,O,O,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,O,X
IOLSTZJ,O,X,O,X,X,X,O,X
IOLSJTZ,X,X,X,X,X,X,O,X
IOLSJZT,X,X,O,X,X,X,O,X
IOLSZTJ,O,X,O,X,X,X,X,X
IOLSZJT,O,X,O,X,X,X,O,X
IOLZTJS,O,O,O,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,X,X
IOLZSTJ,O,O,O,X,X,X,X,X
IOLZSJT,O,O,O,X,X,X,O,X
IOJTLSZ,X,X,X,X,O,O,X,X
IOJTLZS,O,O,X,O,O,O,X,X
IOJTSLZ,X,X,X,X,O,O,X,X
IOJTSZL,X,O,X,O,X,O,X,X
IOJTZLS,O,O,X,O,O,O,X,X
IOJTZSL,O,O,X,O,X,O,X,X
IOJLTSZ,X,X,X,X,O,O,X,X
IOJLTZS,O,O,X,X,O,O,X,X
IOJLSTZ,X,X,X,X,O,O,O,X
IOJLSZT,X,X,X,X,X,X,O,X
IOJLZTS,O,O,O,O,X,O,X,X
IOJLZST,O,O,O,O,X,X,X,X
IOJSTLZ,X,X,X,O,O,X,X,X
IOJSTZL,X,O,X,O,O,X,X,X
IOJSLTZ,X,X,X,X,O,O,X,X
IOJSLZT,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,O,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,X
IOJZTLS,O,O,X,O,X,X,X,X
IOJZTSL,O,O,X,O,X,X,X,X
IOJZLTS,O,O,X,O,X,O,X,X
IOJZLST,O,O,X,O,X,X,X,X
IOJZSTL,O,O,X,O,X,X,X,X
IOJZSLT,O,O,X,O,X,X,X,X
IOSTLJZ,X,X,O,O,O,X,X,X
IOSTLZJ,O,X,O,X,X,X,X,O
IOSTJLZ,X,X,O,O,O,X,X,X
IOSTJZL,X,O,X,O,O,X,X,O
IOSTZLJ,O,O,O,X,X,X,X,O
IOSTZJL,O,O,X,O,O,X,X,O
IOSLTJZ,X,X,O,X,X,X,O,X
IOSLTZJ,O,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,O,X
IOSLJZT,X,X,O,O,X,X,O,X
IOSLZTJ,O,X,O,X,X,X,X,X
IOSLZJT,O,X,O,X,X,X,O,X
IOSJTLZ,X,X,X,O,O,X,X,X
IOSJTZL,X,O,X,O,O,X,X,X
IOSJLTZ,X,X,X,X,O,O,X,X
IOSJLZT,X,X,O,O,X,X,X,X
IOSJZTL,X,O,X,O,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,O
IOSZTJL,O,O,X,X,X,X,X,O
IOSZLTJ,O,O,O,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X
IOSZJTL,O,O,X,O,X,X,X,O
IOSZJLT,O,O,X,O,X,X,X,X
IOZTLJS,O,O,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,O
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,O,O,O,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X
IOZLJST,O,O,O,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,O,X
IOZJTLS,O,O,X,O,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,O
IOZJLTS,O,O,X,O,X,O,X,X
IOZJLST,O,O,X,O,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X,O
IOZJSLT,O,O,X,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,O
IOZSTJL,O,O,X,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X,O
IOZSJLT,O,O,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,O,O,X
LTIJSOZ,X,X,X,X,O,O,O,X
LTIJZSO,O,O,O,O,X,X,X,X
LTIJZOS,X,X,O,O,O,X,X,X
LTIJOSZ,X,X,X,X,O,O,O,X
LTIJOZS,O,O,O,O,O,X,X,X
LTISJZO,X,X,X,X,X,X,O,X
LTISJOZ,X,X,X,X,X,X,O,X
LTISZJO,O,X,O,X,X,X,O,X
LTISZOJ,O,X,O,X,X,X,O,X
LTISOJZ,X,X,X,X,X,X,O,X
LTISOZJ,O,X,O,X,X,X,O,X
LTIZJSO,O,O,O,X,X,X,X,X
LTIZJOS,X,X,O,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,O,X
LTIZSOJ,O,X,O,X,X,X,O,X
LTIZOJS,O,X,O,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,O,X
LTIOJSZ,X,X,X,X,O,O,O,X
LTIOJZS,O,O,O,O,O,X,X,X
LTIOSJZ,X,X,X,X,X,X,O,X
LTIOSZJ,O,X,O,X,X,X,O,X
LTIOZJS,O,O,O,X,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,O,X
LTJISZO,X,X,X,X,X,O,O,X
LTJISOZ,X,X,X,X,O,O,O,X
LTJIZSO,O,O,O,O,X,X,X,X
LTJIZOS,X,X,O,O,O,X,X,X
LTJIOSZ,X,X,X,X,O,O,O,X
LTJIOZS,O,O,O,O,O,X,X,X
LTJSIZO,X,X,X,X,X,O,O,X
LTJSIOZ,X,X,X,X,O,O,O,X
LTJSZIO,X,X,X,X,X,O,O,X
LTJSZOI,X,X,X,X,X,O,O,X
LTJSOIZ,X,X,X,X,O,O,O,X
LTJSOZI,X,X,X,X,O,O,O,X
LTJZISO,O,O,O,O,X,O,X,X
LTJZIOS,X,X,O,O,O,O,X,X
LTJZSIO,O,O,O,O,X,O,X,X
LTJZSOI,X,X,O,O,X,O,X,X
LTJZOIS,X,X,O,O,O,O,X,X
LTJZOSI,X,X,O,O,O,O,X,X
LTJOISZ,X,X,X,X,O,O,O,X
LTJOIZS,O,O,O,O,O,X,X,X
LTJOSIZ,X,X,X,X,O,O,O,X
LTJOSZI,X,X,X,X,O,O,O,X
LTJOZIS,O,O,O,O,O,O,X,X
LTJOZSI,O,O,O,O,O,O,X,X
LTSIJZO,X,X,O,X,X,X,O,X
LTSIJOZ,X,X,O,X,X,X,O,X
LTSIZJO,O,X,O,X,X,X,O,X
LTSIZOJ,O,X,O,X,X,X,O,X
LTSIOJZ,X,X,O,X,X,X,O,X
LTSIOZJ,O,X,O,X,X,X,O,X
LTSJIZO,X,X,O,X,X,X,O,X
LTSJIOZ,X,X,O,X,X,X,O,X
LTSJZIO,X,X,O,X,X,X,O,X
LTSJZOI,X,X,O,X,X,X,O,X
LTSJOIZ,X,X,O,X,X,X,O,X
LTSJOZI,X,X,O,X,X,X,O,X
LTSZIJO,O,X,O,X,X,X,O,X
LTSZIOJ,O,X,O,X,X,X,O,X
LTSZJIO,O,X,O,X,X,X,O,X
LTSZJOI,X,X,O,X,X,X,O,X
LTSZOIJ,O,X,O,X,X,X,O,X
LTSZOJI,X,X,O,X,X,X,O,X
LTSOIJZ,X,X,O,X,X,X,O,X
LTSOIZJ,O,X,O,X,X,X,O,X
LTSOJIZ,X,X,O,X,X,X,O,X
LTSOJZI,X,X,O,X,X,X,O,X
LTSOZIJ,O,X,O,X,X,X,O,X
LTSOZJI,O,X,O,X,X,X,O,X
LTZIJSO,O,O,O,X,X,X,X,X
LTZIJOS,X,X,O,X,X,X,X,X
LTZISJO,O,O,O,X,X,X,O,X
LTZISOJ,O,X,O,X,X,X,O,X
LTZIOJS,O,X,O,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,X,O,X
LTZJISO,O,O,O,X,X,X,X,X
LTZJIOS,X,X,O,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X,X
LTZJOIS,X,X,O,X,X,X,X,X
LTZJOSI,X,X,O,X,X,X,X,O
LTZSIJO,O,O,O,X,X,X,O,X
LTZSIOJ,O,X,O,X,X,X,O,X
LTZSJIO,O,O,O,X,X,X,O,X
LTZSJOI,X,X,O,X,X,X,O,X
LTZSOIJ,O,X,O,X,X,X,O,X
LTZSOJI,X,X,O,X,X,X,O,X
LTZOIJS,O,X,O,X,X,X,X,X
LTZOISJ,O,X,O,X,X,X,O,X
LTZOJIS,O,X,O,X,X,X,X,X
LTZOJSI,O,X,O,X,X,X,X,O
LTZOSIJ,O,X,O,X,X,X,O,X
LTZOSJI,O,X,O,X,X,X,O,X
LTOIJSZ,X,X,X,X,O,O,O,X
LTOIJZS,O,O,O,O,O,X,X,X
LTOISJZ,X,X,X,X,X,X,O,X
LTOISZJ,O,X,O,X,X,X,O,X
LTOIZJS,O,O,O,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,O,X
LTOJISZ,X,X,X,X,O,O,O,X
LTOJIZS,O,O,O,O,O,X,X,X
LTOJSIZ,X,X,X,X,O,O,O,X
LTOJSZI,X,X,X,X,O,O,O,X
LTOJZIS,O,O,O,O,O,O,X,X
LTOJZSI,O,O,O,O,O,O,X,X
LTOSIJZ,X,X,O,X,X,X,O,X
LTOSIZJ,O,X,O,X,X,X,O,X
LTOSJIZ,X,X,O,X,X,X,O,X
LTOSJZI,X,X,O,X,X,X,O,X
LTOSZIJ,O,X,O,X,X,X,O,X
LTOSZJI,O,X,O,X,X,X,O,X
LTOZIJS,O,O,O,X,X,X,X,X
LTOZISJ,O,O,O,X,X,X,O,X
LTOZJIS,O,O,O,X,X,X,X,X
LTOZJSI,O,O,O,X,X,X,X,O
LTOZSIJ,O,O,O,X,X,X,O,X
LTOZSJI,O,O,O,X,X,X,O,X
LITJSZO,X,X,X,X,X,O,O,X
LITJSOZ,X,X,X,X,O,O,O,X
LITJZSO,O,O,O,O,X,X,X,X
LITJZOS,X,X,O,O,O,X,X,X
LITJOSZ,X,X,X,X,O,O,O,X
LITJOZS,O,O,O,O,O,X,X,X
LITSJZO,X,X,X,X,X,X,O,X
LITSJOZ,X,X,X,X,X,X,O,X
LITSZJO,O,X,O,X,X,X,O,X
LITSZOJ,O,X,O,X,X,X,O,X
LITSOJZ,X,X,X,X,X,X,O,X
LITSOZJ,O,X,O,X,X,X,O,X
LITZJSO,O,O,O,X,X,X,X,X
LITZJOS,X,X,O,X,X,X,X,X
LITZSJO,O,O,O,X,X,X,O,X
LITZSOJ,O,X,O,X,X,X,O,X
LITZOJS,O,X,O,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,O,X
LITOJSZ,X,X,X,X,O,O,O,X
LITOJZS,O,O,O,O,O,X,X,X
LITOSJZ,X,X,X,X,X,X,O,X
LITOSZJ,O,X,O,X,X,X,O,X
LITOZJS,O,O,O,X,X,X,X,X
LITOZSJ,O,O,O,X,X,X,O,X
LIJTSZO,X,X,X,X,X,O,O,X
LIJTSOZ,X,X,X,X,O,O,O,X
LIJTZSO,O,O,O,O,X,X,X,X
LIJTZOS,X,X,O,O,O,O,X,X
LIJTOSZ,X,X,X,X,O,O,O,X
LIJTOZS,O,O,O,O,O,O,X,X
LIJSTZO,X,X,X,X,X,X,O,X
LIJSTOZ,X,X,X,X,O,O,O,X
LIJSZTO,X,X,O,O,X,X,O,X
LIJSZOT,X,X,O,O,X,X,O,X
LIJSOTZ,X,X,X,X,X,O,O,X
LIJSOZT,X,X,O,O,X,X,O,X
LIJZTSO,O,O,O,O,X,X,X,X
LIJZTOS,X,X,O,O,O,O,X,X
LIJZSTO,O,O,O,O,X,X,X,X
LIJZSOT,X,X,O,O,X,X,X,X
LIJZOTS,O,O,O,O,X,O,X,X
LIJZOST,O,O,O,O,X,X,X,X
LIJOTSZ,X,X,X,X,O,O,X,X
LIJOTZS,O,O,X,X,O,O,X,X
LIJOSTZ,X,X,X,X,X,O,O,X
LIJOSZT,X,X,X,X,X,X,O,X
LIJOZTS,O,O,O,O,X,O,X,X
LIJOZST,O,O,O,O,X,X,X,X
LISTJZO,X,X,O,X,X,X,O,X
LISTJOZ,X,X,O,X,X,X,O,X
LISTZJO,O,X,O,X,X,X,O,X
LISTZOJ,O,X,O,X,X,X,O,X
LISTOJZ,X,X,O,X,X,X,O,X
LISTOZJ,O,X,O,X,X,X,O,X
LISJTZO,X,X,X,X,X,X,O,X
LISJTOZ,X,X,X,X,X,X,O,X
LISJZTO,X,X,O,O,X,X,O,X
LISJZOT,X,X,O,O,X,X,O,X
LISJOTZ,X,X,X,X,X,X,O,X
LISJOZT,X,X,O,O,X,X,O,X
