sequence,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBOnBXjBStB0rBFrB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB6oBmnBxrBcrBXsB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB3hBGjBUoBxrBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBVnBUmBXoBGoBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgBRiB+oB3nB0rBirB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBUmBFnBXoBGoBywB
TLSOZIJ,O,X,X,O,X,X
TLSOZJI,O,X,X,O,X,X
TLZIJSO,O,O,O,O,X,X
TLZIJOS,O,O,O,O,X,X
TLZISJO,O,X,O,O,X,X
TLZISOJ,O,X,O,O,X,X
TLZIOJS,O,O,O,O,X,X
TLZIOSJ,O,X,O,O,X,X
TLZJISO,O,O,O,O,X,X
TLZJIOS,O,O,O,O,X,X
TLZJSIO,O,X,X,O,O,X
TLZJSOI,O,X,X,O,O,X
TLZJOIS,O,O,O,O,X,X
TLZJOSI,O,X,X,O,O,X
TLZSIJO,O,X,X,O,X,X
TLZSIOJ,O,X,X,O,X,X
TLZSJIO,O,X,X,O,X,X
TLZSJOI,O,X,X,O,X,X
TLZSOIJ,O,X,X,O,X,X
TLZSOJI,O,X,X,O,X,X
TLZOIJS,O,O,O,O,X,X
TLZOISJ,O,X,O,O,X,X
TLZOJIS,O,O,O,O,X,X
TLZOJSI,O,X,X,O,O,X
TLZOSIJ,O,X,X,O,X,X
TLZOSJI,O,X,X,O,X,X
TLOIJSZ,X,O,X,X,X,X
TLOIJZS,X,O,X,X,X,X
TLOISJZ,O,O,X,X,X,X
TLOISZJ,X,X,O,O,X,X
TLOIZJS,O,O,O,O,X,X
TLOIZSJ,O,X,O,O,X,X
TLOJISZ,X,O,X,X,X,X
TLOJIZS,X,O,X,X,X,X
TLOJSIZ,X,O,X,X,O,X
TLOJSZI,X,X,X,O,O,X
TLOJZIS,X,O,X,O,X,X
TLOJZSI,X,X,X,O,O,X
TLOSIJZ,O,O,X,X,X,X
TLOSIZJ,X,X,X,O,X,X
TLOSJIZ,O,O,X,X,X,X
TLOSJZI,O,X,X,O,X,X
TLOSZIJ,O,X,X,O,X,X
TLOSZJI,O,X,X,O,X,X
TLOZIJS,O,O,O,O,X,X
TLOZISJ,O,X,O,O,X,X
TLOZJIS,O,O,O,O,X,X
TLOZJSI,O,X,X,O,O,X
TLOZSIJ,O,X,X,O,X,X
TLOZSJI,O,X,X,O,X,X
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,O,X,X,X,X
TJILOSZ,X,O,X,X,X,X
TJILOZS,X,O,X,X,X,X
TJISLZO,X,O,X,X,X,X
TJISLOZ,X,O,X,X,O,X
TJISZLO,X,X,O,X,O,X
TJISZOL,X,X,O,X,O,X
TJISOLZ,X,O,X,X,O,X
TJISOZL,X,X,O,X,O,X
TJIZLSO,X,O,O,X,X,X
TJIZLOS,X,O,O,X,X,X
TJIZSLO,X,X,O,X,O,X
TJIZSOL,X,X,O,X,O,X
TJIZOLS,X,O,O,X,X,X
TJIZOSL,X,X,O,X,O,X
TJIOLSZ,X,O,X,X,X,X
TJIOLZS,X,O,X,X,X,X
TJIOSLZ,X,O,X,X,O,X
TJIOSZL,X,X,O,X,O,X
TJIOZLS,X,O,O,X,X,X
TJIOZSL,X,X,O,X,O,X
TJLISZO,X,O,X,X,X,X
TJLISOZ,X,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,O,X,X,X,X
TJLIOSZ,X,O,X,X,X,X
TJLIOZS,X,O,X,X,X,X
TJLSIZO,X,O,X,X,X,X
TJLSIOZ,X,O,X,X,O,X
TJLSZIO,X,X,X,X,O,X
TJLSZOI,X,X,X,X,O,X
TJLSOIZ,X,O,X,X,O,X
TJLSOZI,X,X,X,X,O,X
TJLZISO,X,O,X,X,X,X
TJLZIOS,X,O,X,X,X,X
TJLZSIO,X,X,X,X,O,X
TJLZSOI,X,X,X,X,O,X
TJLZOIS,X,O,X,X,X,X
TJLZOSI,X,X,X,X,O,X
TJLOISZ,X,O,X,X,X,X
TJLOIZS,X,O,X,X,X,X
TJLOSIZ,X,O,X,X,O,X
TJLOSZI,X,X,X,X,O,X
TJLOZIS,X,O,X,X,X,X
TJLOZSI,X,X,X,X,O,X
TJSILZO,X,O,X,X,X,X
TJSILOZ,X,O,X,X,O,X
TJSIZLO,X,X,X,X,O,X
TJSIZOL,X,X,X,X,O,X
TJSIOLZ,X,O,X,X,O,X
TJSIOZL,X,X,X,X,O,X
TJSLIZO,X,O,X,X,X,X
TJSLIOZ,X,O,X,X,O,X
TJSLZIO,X,X,X,X,O,X
TJSLZOI,X,X,X,X,O,X
TJSLOIZ,X,O,X,X,O,X
TJSLOZI,X,X,X,X,O,X
TJSZILO,X,X,X,X,O,X
TJSZIOL,X,X,X,X,O,X
TJSZLIO,X,X,X,X,O,X
TJSZLOI,X,X,X,X,O,X
TJSZOIL,X,X,X,X,O,X
TJSZOLI,X,X,X,X,O,X
TJSOILZ,X,O,X,X,O,X
TJSOIZL,X,X,X,X,O,X
TJSOLIZ,X,O,X,X,O,X
TJSOLZI,X,X,X,X,O,X
TJSOZIL,X,X,X,X,O,X
TJSOZLI,X,X,X,X,O,X
TJZILSO,X,O,O,X,X,X
TJZILOS,X,O,O,X,X,X
TJZISLO,X,X,O,X,O,X
TJZISOL,X,X,O,X,O,X
TJZIOLS,X,O,O,X,X,X
TJZIOSL,X,X,O,X,O,X
TJZLISO,X,O,O,X,X,X
TJZLIOS,X,O,O,X,X,X
TJZLSIO,X,X,X,X,O,X
TJZLSOI,X,X,X,X,O,X
TJZLOIS,X,O,O,X,X,X
TJZLOSI,X,X,X,X,O,X
TJZSILO,X,X,O,X,O,X
TJZSIOL,X,X,O,X,O,X
TJZSLIO,X,X,X,X,O,X
TJZSLOI,X,X,X,X,O,X
TJZSOIL,X,X,O,X,O,X
TJZSOLI,X,X,X,X,O,X
TJZOILS,X,O,O,X,X,X
TJZOISL,X,X,O,X,O,X
TJZOLIS,X,O,O,X,X,X
TJZOLSI,X,X,X,X,O,X
TJZOSIL,X,X,O,X,O,X
TJZOSLI,X,X,X,X,O,X
TJOILSZ,X,O,X,X,X,X
TJOILZS,X,O,X,X,X,X
TJOISLZ,X,O,X,X,O,X
TJOISZL,X,X,O,X,O,X
TJOIZLS,X,O,O,X,X,X
TJOIZSL,X,X,O,X,O,X
TJOLISZ,X,O,X,X,X,X
TJOLIZS,X,O,X,X,X,X
TJOLSIZ,X,O,X,X,O,X
TJOLSZI,X,X,X,X,O,X
TJOLZIS,X,O,X,X,X,X
TJOLZSI,X,X,X,X,O,X
TJOSILZ,X,O,X,X,O,X
TJOSIZL,X,X,X,X,O,X
TJOSLIZ,X,O,X,X,O,X
TJOSLZI,X,X,X,X,O,X
TJOSZIL,X,X,X,X,O,X
TJOSZLI,X,X,X,X,O,X
TJOZILS,X,O,O,X,X,X
TJOZISL,X,X,O,X,O,X
TJOZLIS,X,O,O,X,X,X
TJOZLSI,X,X,X,X,O,X
TJOZSIL,X,X,O,X,O,X
TJOZSLI,X,X,X,X,O,X
TSILJZO,X,O,X,X,X,X
TSILJOZ,X,O,X,X,X,X
TSILZJO,X,X,O,O,X,X
TSILZOJ,X,X,O,O,X,X
TSILOJZ,X,O,X,X,X,X
TSILOZJ,X,X,O,O,X,X
TSIJLZO,X,O,X,X,X,X
TSIJLOZ,X,O,X,X,X,X
TSIJZLO,X,X,O,X,X,X
TSIJZOL,X,X,O,X,X,X
TSIJOLZ,X,O,X,X,X,X
TSIJOZL,X,X,O,X,X,X
TSIZLJO,X,X,O,X,X,X
TSIZLOJ,X,X,O,O,X,O
TSIZJLO,X,X,O,X,X,X
TSIZJOL,X,X,O,O,X,O
TSIZOLJ,X,X,O,O,X,O
TSIZOJL,X,X,O,O,X,O
TSIOLJZ,X,O,X,X,X,X
TSIOLZJ,X,X,O,O,X,X
TSIOJLZ,X,O,X,X,X,X
TSIOJZL,X,X,O,X,X,X
TSIOZLJ,X,X,O,O,X,O
TSIOZJL,X,X,O,O,X,O
TSLIJZO,X,O,X,X,X,X
TSLIJOZ,X,O,X,X,X,X
TSLIZJO,X,X,X,O,X,X
TSLIZOJ,X,X,X,O,X,X
TSLIOJZ,X,O,X,X,X,X
TSLIOZJ,X,X,X,O,X,X
TSLJIZO,X,O,X,X,X,X
TSLJIOZ,X,O,X,X,X,X
TSLJZIO,X,X,X,O,X,X
TSLJZOI,X,X,X,O,X,X
TSLJOIZ,X,O,X,X,X,X
TSLJOZI,X,X,X,O,X,X
TSLZIJO,X,X,X,O,X,X
TSLZIOJ,X,X,X,O,X,O
TSLZJIO,X,X,X,O,X,X
TSLZJOI,X,X,X,O,X,X
TSLZOIJ,X,X,X,O,X,O
TSLZOJI,X,X,X,O,X,O
TSLOIJZ,X,O,X,X,X,X
TSLOIZJ,X,X,X,O,X,X
TSLOJIZ,X,O,X,X,X,X
TSLOJZI,X,X,X,O,X,X
TSLOZIJ,X,X,X,O,X,O
TSLOZJI,X,X,X,O,X,O
TSJILZO,X,O,X,X,X,X
TSJILOZ,X,O,X,X,O,X
TSJIZLO,X,X,X,X,O,X
TSJIZOL,X,X,X,X,O,X
TSJIOLZ,X,O,X,X,O,X
TSJIOZL,X,X,X,X,O,X
TSJLIZO,X,O,X,X,X,X
TSJLIOZ,X,O,X,X,O,X
TSJLZIO,X,X,X,O,O,X
TSJLZOI,X,X,X,O,O,X
TSJLOIZ,X,O,X,X,O,X
TSJLOZI,X,X,X,O,O,X
TSJZILO,X,X,X,X,O,X
TSJZIOL,X,X,X,O,O,O
TSJZLIO,X,X,X,X,O,X
TSJZLOI,X,X,X,X,O,X
TSJZOIL,X,X,X,O,O,O
TSJZOLI,X,X,X,O,O,O
TSJOILZ,X,O,X,X,O,X
TSJOIZL,X,X,X,X,O,X
TSJOLIZ,X,O,X,X,O,X
TSJOLZI,X,X,X,O,O,X
TSJOZIL,X,X,X,O,O,O
TSJOZLI,X,X,X,O,O,O
TSZILJO,X,X,O,X,X,X
TSZILOJ,X,X,O,O,X,O
TSZIJLO,X,X,O,X,X,X
TSZIJOL,X,X,O,O,X,O
TSZIOLJ,X,X,O,O,X,O
TSZIOJL,X,X,O,O,X,O
TSZLIJO,X,X,X,O,X,X
TSZLIOJ,X,X,X,O,X,O
TSZLJIO,X,X,X,O,X,X
TSZLJOI,X,X,X,O,X,X
TSZLOIJ,X,X,X,O,X,O
TSZLOJI,X,X,X,O,X,O
TSZJILO,X,X,O,X,O,X
TSZJIOL,X,X,O,O,O,O
TSZJLIO,X,X,X,X,O,X
TSZJLOI,X,X,X,X,O,X
TSZJOIL,X,X,O,O,O,O
TSZJOLI,X,X,X,O,O,O
TSZOILJ,X,X,O,O,X,O
TSZOIJL,X,X,O,O,X,O
TSZOLIJ,X,X,X,O,X,O
TSZOLJI,X,X,X,O,X,O
TSZOJIL,X,X,O,O,O,O
TSZOJLI,X,X,X,O,O,O
TSOILJZ,X,O,X,X,X,X
TSOILZJ,X,X,O,O,X,X
TSOIJLZ,X,O,X,X,X,X
TSOIJZL,X,X,O,X,X,X
TSOIZLJ,X,X,O,O,X,O
TSOIZJL,X,X,O,O,X,O
TSOLIJZ,X,O,X,X,X,X
TSOLIZJ,X,X,X,O,X,X
TSOLJIZ,X,O,X,X,X,X
TSOLJZI,X,X,X,O,X,X
TSOLZIJ,X,X,X,O,X,O
TSOLZJI,X,X,X,O,X,O
TSOJILZ,X,O,X,X,O,X
TSOJIZL,X,X,X,X,O,X
TSOJLIZ,X,O,X,X,O,X
TSOJLZI,X,X,X,O,O,X
TSOJZIL,X,X,X,O,O,O
TSOJZLI,X,X,X,O,O,O
TSOZILJ,X,X,O,O,X,O
TSOZIJL,X,X,O,O,X,O
TSOZLIJ,X,X,X,O,X,O
TSOZLJI,X,X,X,O,X,O
TSOZJIL,X,X,O,O,O,O
TSOZJLI,X,X,X,O,O,O
TZILJSO,O,O,O,X,X,X
TZILJOS,O,O,O,X,X,X
TZILSJO,O,X,O,X,X,X
TZILSOJ,O,X,O,O,X,O
TZILOJS,O,O,O,X,X,X
TZILOSJ,O,X,O,O,X,O
TZIJLSO,O,O,O,X,X,X
