sequence,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBOnBXjBStB0rBFrB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB6oBmnBxrBcrBXsB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgB3hBGjBUoBxrBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBVnBUmBXoBGoBywB,v115@JhA8GeD8FeD8CeC8JeT/IvhFlgBRiB+oB3nB0rBirB,v115@JhA8GeD8FeD8CeC8JeT/IvhFxgBUmBFnBXoBGoBywB
LZJOITS,O,O,O,O,X,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,X,X,O,O,X
LZJOSIT,O,X,X,X,O,X
LZSTIJO,O,X,X,O,X,X
LZSTIOJ,O,X,X,O,X,O
LZSTJIO,O,X,X,O,X,X
LZSTJOI,O,X,X,O,X,X
LZSTOIJ,O,X,X,O,X,O
LZSTOJI,O,X,X,O,X,O
LZSITJO,O,X,X,O,X,X
LZSITOJ,O,X,X,O,X,O
LZSIJTO,O,X,X,X,X,X
LZSIJOT,O,X,X,X,X,X
LZSIOTJ,O,X,X,O,X,O
LZSIOJT,O,X,X,X,X,X
LZSJTIO,O,X,X,O,X,X
LZSJTOI,O,X,X,O,X,X
LZSJITO,O,X,X,X,X,X
LZSJIOT,O,X,X,X,X,X
LZSJOTI,O,X,X,O,X,X
LZSJOIT,O,X,X,X,X,X
LZSOTIJ,O,X,X,O,X,O
LZSOTJI,O,X,X,O,X,O
LZSOITJ,O,X,X,O,X,O
LZSOIJT,O,X,X,X,X,X
LZSOJTI,O,X,X,O,X,X
LZSOJIT,O,X,X,X,X,X
LZOTIJS,O,O,O,O,X,X
LZOTISJ,O,X,O,O,X,O
LZOTJIS,O,O,O,O,X,X
LZOTJSI,O,X,X,O,O,X
LZOTSIJ,O,X,X,O,X,O
LZOTSJI,O,X,X,O,X,O
LZOITJS,O,O,O,O,X,X
LZOITSJ,O,X,O,O,X,O
LZOIJTS,O,O,O,O,X,X
LZOIJST,O,O,O,X,X,X
LZOISTJ,O,X,O,O,X,O
LZOISJT,O,X,O,X,X,X
LZOJTIS,O,O,O,O,X,X
LZOJTSI,O,X,X,O,O,X
LZOJITS,O,O,O,O,X,X
LZOJIST,O,O,O,X,X,X
LZOJSTI,O,X,X,O,O,X
LZOJSIT,O,X,X,X,O,X
LZOSTIJ,O,X,X,O,X,O
LZOSTJI,O,X,X,O,X,O
LZOSITJ,O,X,X,O,X,O
LZOSIJT,O,X,X,X,X,X
LZOSJTI,O,X,X,O,X,X
LZOSJIT,O,X,X,X,X,X
LOTIJSZ,X,O,X,X,X,X
LOTIJZS,X,O,X,X,X,X
LOTISJZ,O,O,X,X,X,X
LOTISZJ,X,X,O,O,X,X
LOTIZJS,O,O,O,O,X,X
LOTIZSJ,O,X,O,O,X,X
LOTJISZ,X,O,X,X,X,X
LOTJIZS,X,O,X,X,X,X
LOTJSIZ,X,O,X,X,O,X
LOTJSZI,X,X,X,O,O,X
LOTJZIS,X,O,X,O,X,X
LOTJZSI,X,X,X,O,O,X
LOTSIJZ,O,O,X,X,X,X
LOTSIZJ,X,X,X,O,X,X
LOTSJIZ,O,O,X,X,X,X
LOTSJZI,O,X,X,O,X,X
LOTSZIJ,O,X,X,O,X,X
LOTSZJI,O,X,X,O,X,X
LOTZIJS,O,O,O,O,X,X
LOTZISJ,O,X,O,O,X,X
LOTZJIS,O,O,O,O,X,X
LOTZJSI,O,X,X,O,O,X
LOTZSIJ,O,X,X,O,X,X
LOTZSJI,O,X,X,O,X,X
LOITJSZ,X,O,X,X,X,X
LOITJZS,X,O,X,X,X,X
LOITSJZ,O,O,X,X,X,X
LOITSZJ,X,X,O,O,X,X
LOITZJS,O,O,O,O,X,X
LOITZSJ,O,X,O,O,X,X
LOIJTSZ,X,O,X,X,X,X
LOIJTZS,X,O,X,X,X,X
LOIJSTZ,O,O,X,X,X,X
LOIJSZT,O,O,X,X,X,X
LOIJZTS,O,O,X,X,X,X
LOIJZST,O,O,X,X,X,X
LOISTJZ,O,O,X,X,X,X
LOISTZJ,X,X,O,O,X,X
LOISJTZ,O,O,X,X,X,X
LOISJZT,O,O,X,X,X,X
LOISZTJ,O,X,O,O,X,O
LOISZJT,O,X,O,X,X,X
LOIZTJS,O,O,O,O,X,X
LOIZTSJ,O,X,O,O,X,O
LOIZJTS,O,O,O,O,X,X
LOIZJST,O,O,O,X,X,X
LOIZSTJ,O,X,O,O,X,O
LOIZSJT,O,X,O,X,X,X
LOJTISZ,X,O,X,X,X,X
LOJTIZS,X,O,X,X,X,X
LOJTSIZ,X,O,X,X,O,X
LOJTSZI,X,X,X,O,O,X
LOJTZIS,X,O,X,O,X,X
LOJTZSI,X,X,X,O,O,X
LOJITSZ,X,O,X,X,X,X
LOJITZS,X,O,X,X,X,X
LOJISTZ,O,O,X,X,X,X
LOJISZT,O,O,X,X,X,X
LOJIZTS,O,O,X,X,X,X
LOJIZST,O,O,X,X,X,X
LOJSTIZ,O,O,X,X,O,X
LOJSTZI,O,X,X,O,O,X
LOJSITZ,O,O,X,X,O,X
LOJSIZT,O,O,X,X,O,X
LOJSZTI,O,X,X,O,O,X
LOJSZIT,O,X,X,X,O,X
LOJZTIS,O,O,X,O,X,X
LOJZTSI,O,X,X,O,O,X
LOJZITS,O,O,X,O,X,X
LOJZIST,O,O,X,X,X,X
LOJZSTI,O,X,X,O,O,X
LOJZSIT,O,X,X,X,O,X
LOSTIJZ,O,O,X,X,X,X
LOSTIZJ,X,X,X,O,X,X
LOSTJIZ,O,O,X,X,X,X
LOSTJZI,O,X,X,O,X,X
LOSTZIJ,O,X,X,O,X,O
LOSTZJI,O,X,X,O,X,O
LOSITJZ,O,O,X,X,X,X
LOSITZJ,X,X,X,O,X,X
LOSIJTZ,O,O,X,X,X,X
LOSIJZT,O,O,X,X,X,X
LOSIZTJ,O,X,X,O,X,O
LOSIZJT,O,X,X,X,X,X
LOSJTIZ,O,O,X,X,X,X
LOSJTZI,O,X,X,O,X,X
LOSJITZ,O,O,X,X,X,X
LOSJIZT,O,O,X,X,X,X
LOSJZTI,O,X,X,O,X,X
LOSJZIT,O,X,X,X,X,X
LOSZTIJ,O,X,X,O,X,O
LOSZTJI,O,X,X,O,X,O
LOSZITJ,O,X,X,O,X,O
LOSZIJT,O,X,X,X,X,X
LOSZJTI,O,X,X,O,X,X
LOSZJIT,O,X,X,X,X,X
LOZTIJS,O,O,O,O,X,X
LOZTISJ,O,X,O,O,X,O
LOZTJIS,O,O,O,O,X,X
LOZTJSI,O,X,X,O,O,X
LOZTSIJ,O,X,X,O,X,O
LOZTSJI,O,X,X,O,X,O
LOZITJS,O,O,O,O,X,X
LOZITSJ,O,X,O,O,X,O
LOZIJTS,O,O,O,O,X,X
LOZIJST,O,O,O,X,X,X
LOZISTJ,O,X,O,O,X,O
LOZISJT,O,X,O,X,X,X
LOZJTIS,O,O,O,O,X,X
LOZJTSI,O,X,X,O,O,X
LOZJITS,O,O,O,O,X,X
LOZJIST,O,O,O,X,X,X
LOZJSTI,O,X,X,O,O,X
LOZJSIT,O,X,X,X,O,X
LOZSTIJ,O,X,X,O,X,O
LOZSTJI,O,X,X,O,X,O
LOZSITJ,O,X,X,O,X,O
LOZSIJT,O,X,X,X,X,X
LOZSJTI,O,X,X,O,X,X
LOZSJIT,O,X,X,X,X,X
JTILSZO,X,O,X,X,X,X
JTILSOZ,X,O,X,X,X,X
JTILZSO,X,O,X,X,X,X
JTILZOS,X,O,X,X,X,X
JTILOSZ,X,O,X,X,X,X
JTILOZS,X,O,X,X,X,X
JTISLZO,X,O,X,X,X,X
JTISLOZ,X,O,X,X,O,X
JTISZLO,X,X,O,X,O,X
JTISZOL,X,X,O,X,O,X
JTISOLZ,X,O,X,X,O,X
JTISOZL,X,X,O,X,O,X
JTIZLSO,X,O,O,X,X,X
JTIZLOS,X,O,O,X,X,X
JTIZSLO,X,X,O,X,O,X
JTIZSOL,X,X,O,X,O,X
JTIZOLS,X,O,O,X,X,X
JTIZOSL,X,X,O,X,O,X
JTIOLSZ,X,O,X,X,X,X
JTIOLZS,X,O,X,X,X,X
JTIOSLZ,X,O,X,X,O,X
JTIOSZL,X,X,O,X,O,X
JTIOZLS,X,O,O,X,X,X
JTIOZSL,X,X,O,X,O,X
JTLISZO,X,O,X,X,X,X
JTLISOZ,X,O,X,X,X,X
JTLIZSO,X,O,X,X,X,X
JTLIZOS,X,O,X,X,X,X
JTLIOSZ,X,O,X,X,X,X
JTLIOZS,X,O,X,X,X,X
JTLSIZO,X,O,X,X,X,X
JTLSIOZ,X,O,X,X,O,X
JTLSZIO,X,X,X,X,O,X
JTLSZOI,X,X,X,X,O,X
JTLSOIZ,X,O,X,X,O,X
JTLSOZI,X,X,X,X,O,X
JTLZISO,X,O,X,X,X,X
JTLZIOS,X,O,X,X,X,X
JTLZSIO,X,X,X,X,O,X
JTLZSOI,X,X,X,X,O,X
JTLZOIS,X,O,X,X,X,X
JTLZOSI,X,X,X,X,O,X
JTLOISZ,X,O,X,X,X,X
JTLOIZS,X,O,X,X,X,X
JTLOSIZ,X,O,X,X,O,X
JTLOSZI,X,X,X,X,O,X
JTLOZIS,X,O,X,X,X,X
JTLOZSI,X,X,X,X,O,X
JTSILZO,X,O,X,X,X,X
JTSILOZ,X,O,X,X,O,X
JTSIZLO,X,X,X,X,O,X
JTSIZOL,X,X,X,X,O,X
JTSIOLZ,X,O,X,X,O,X
JTSIOZL,X,X,X,X,O,X
JTSLIZO,X,O,X,X,X,X
JTSLIOZ,X,O,X,X,O,X
JTSLZIO,X,X,X,X,O,X
JTSLZOI,X,X,X,X,O,X
JTSLOIZ,X,O,X,X,O,X
JTSLOZI,X,X,X,X,O,X
JTSZILO,X,X,X,X,O,X
JTSZIOL,X,X,X,X,O,X
JTSZLIO,X,X,X,X,O,X
JTSZLOI,X,X,X,X,O,X
JTSZOIL,X,X,X,X,O,X
JTSZOLI,X,X,X,X,O,X
JTSOILZ,X,O,X,X,O,X
JTSOIZL,X,X,X,X,O,X
JTSOLIZ,X,O,X,X,O,X
JTSOLZI,X,X,X,X,O,X
JTSOZIL,X,X,X,X,O,X
JTSOZLI,X,X,X,X,O,X
JTZILSO,X,O,O,X,X,X
JTZILOS,X,O,O,X,X,X
JTZISLO,X,X,O,X,O,X
JTZISOL,X,X,O,X,O,X
JTZIOLS,X,O,O,X,X,X
JTZIOSL,X,X,O,X,O,X
JTZLISO,X,O,O,X,X,X
JTZLIOS,X,O,O,X,X,X
JTZLSIO,X,X,X,X,O,X
JTZLSOI,X,X,X,X,O,X
JTZLOIS,X,O,O,X,X,X
JTZLOSI,X,X,X,X,O,X
JTZSILO,X,X,O,X,O,X
JTZSIOL,X,X,O,X,O,X
JTZSLIO,X,X,X,X,O,X
JTZSLOI,X,X,X,X,O,X
JTZSOIL,X,X,O,X,O,X
JTZSOLI,X,X,X,X,O,X
JTZOILS,X,O,O,X,X,X
JTZOISL,X,X,O,X,O,X
JTZOLIS,X,O,O,X,X,X
JTZOLSI,X,X,X,X,O,X
JTZOSIL,X,X,O,X,O,X
JTZOSLI,X,X,X,X,O,X
JTOILSZ,X,O,X,X,X,X
JTOILZS,X,O,X,X,X,X
JTOISLZ,X,O,X,X,O,X
JTOISZL,X,X,O,X,O,X
JTOIZLS,X,O,O,X,X,X
JTOIZSL,X,X,O,X,O,X
JTOLISZ,X,O,X,X,X,X
JTOLIZS,X,O,X,X,X,X
JTOLSIZ,X,O,X,X,O,X
JTOLSZI,X,X,X,X,O,X
JTOLZIS,X,O,X,X,X,X
JTOLZSI,X,X,X,X,O,X
JTOSILZ,X,O,X,X,O,X
JTOSIZL,X,X,X,X,O,X
JTOSLIZ,X,O,X,X,O,X
JTOSLZI,X,X,X,X,O,X
JTOSZIL,X,X,X,X,O,X
JTOSZLI,X,X,X,X,O,X
JTOZILS,X,O,O,X,X,X
JTOZISL,X,X,O,X,O,X
JTOZLIS,X,O,O,X,X,X
JTOZLSI,X,X,X,X,O,X
JTOZSIL,X,X,O,X,O,X
JTOZSLI,X,X,X,X,O,X
JITLSZO,X,O,X,X,X,X
JITLSOZ,X,O,X,X,X,X
JITLZSO,X,O,X,X,X,X
JITLZOS,X,O,X,X,X,X
JITLOSZ,X,O,X,X,X,X
JITLOZS,X,O,X,X,X,X
JITSLZO,X,O,X,X,X,X
JITSLOZ,X,O,X,X,O,X
JITSZLO,X,X,O,X,O,X
JITSZOL,X,X,O,X,O,X
JITSOLZ,X,O,X,X,O,X
JITSOZL,X,X,O,X,O,X
JITZLSO,X,O,O,X,X,X
JITZLOS,X,O,O,X,X,X
JITZSLO,X,X,O,X,O,X
JITZSOL,X,X,O,X,O,X
JITZOLS,X,O,O,X,X,X
JITZOSL,X,X,O,X,O,X
JITOLSZ,X,O,X,X,X,X
JITOLZS,X,O,X,X,X,X
JITOSLZ,X,O,X,X,O,X
JITOSZL,X,X,O,X,O,X
JITOZLS,X,O,O,X,X,X
JITOZSL,X,X,O,X,O,X
JILTSZO,X,O,X,X,X,X
JILTSOZ,X,O,X,X,X,X
JILTZSO,X,O,X,X,X,X
JILTZOS,X,O,X,X,X,X
JILTOSZ,X,O,X,X,X,X
JILTOZS,X,O,X,X,X,X
JILSTZO,X,O,X,X,X,X
JILSTOZ,O,O,X,X,X,X
JILSZTO,X,O,X,X,X,X
JILSZOT,O,O,X,X,X,X
JILSOTZ,O,O,X,X,X,X
JILSOZT,O,O,X,X,X,X
JILZTSO,O,O,X,X,X,X
JILZTOS,O,O,X,X,X,X
JILZSTO,O,O,X,X,X,X
JILZSOT,O,O,X,X,X,X
JILZOTS,O,O,X,X,X,X
JILZOST,O,O,X,X,X,X
JILOTSZ,X,O,X,X,X,X
JILOTZS,X,O,X,X,X,X
JILOSTZ,O,O,X,X,X,X
JILOSZT,O,O,X,X,X,X
JILOZTS,O,O,X,X,X,X
JILOZST,O,O,X,X,X,X
JISTLZO,X,O,X,X,X,X
JISTLOZ,X,O,X,X,O,X
JISTZLO,X,X,O,X,O,X
JISTZOL,X,X,O,X,O,X
JISTOLZ,X,O,X,X,O,X
JISTOZL,X,X,O,X,O,X
JISLTZO,X,O,X,X,X,X
JISLTOZ,X,O,X,X,O,X
JISLZTO,X,O,X,X,O,X
JISLZOT,X,O,X,X,O,X
JISLOTZ,X,O,X,X,O,X
JISLOZT,X,O,X,X,O,X
JISZTLO,X,X,O,X,O,X
JISZTOL,X,X,O,O,O,O
JISZLTO,X,X,O,X,O,X
JISZLOT,X,X,O,X,O,X
JISZOTL,X,X,O,O,O,O
JISZOLT,X,X,O,X,O,X
JISOTLZ,X,O,X,X,O,X
JISOTZL,X,X,O,X,O,X
JISOLTZ,X,O,X,X,O,X
JISOLZT,X,O,X,X,O,X
JISOZTL,X,X,O,O,O,O
JISOZLT,X,X,O,X,O,X
JIZTLSO,O,O,O,X,X,X
JIZTLOS,O,O,O,X,X,X
JIZTSLO,X,X,O,X,O,X
JIZTSOL,X,X,O,O,O,O
JIZTOLS,O,O,O,X,X,X
JIZTOSL,X,X,O,O,O,O
JIZLTSO,O,O,O,X,X,X
JIZLTOS,O,O,O,X,X,X
JIZLSTO,O,O,O,X,X,X
JIZLSOT,O,O,O,X,X,X
JIZLOTS,O,O,O,X,X,X
JIZLOST,O,O,O,X,X,X
JIZSTLO,X,X,O,X,O,X
JIZSTOL,X,X,O,O,O,O
JIZSLTO,O,X,O,X,O,X
JIZSLOT,O,X,O,X,O,X
JIZSOTL,X,X,O,O,O,O
JIZSOLT,O,X,O,X,O,X
JIZOTLS,O,O,O,X,X,X
JIZOTSL,X,X,O,O,O,O
JIZOLTS,O,O,O,X,X,X
JIZOLST,O,O,O,X,X,X
JIZOSTL,X,X,O,O,O,O
JIZOSLT,O,X,O,X,O,X
JIOTLSZ,X,O,X,X,X,X
JIOTLZS,X,O,X,X,X,X
JIOTSLZ,X,O,X,X,O,X
JIOTSZL,X,X,O,X,O,X
JIOTZLS,X,O,O,X,X,X
JIOTZSL,X,X,O,X,O,X
JIOLTSZ,X,O,X,X,X,X
JIOLTZS,X,O,X,X,X,X
JIOLSTZ,O,O,X,X,X,X
JIOLSZT,O,O,X,X,X,X
JIOLZTS,O,O,X,X,X,X
JIOLZST,O,O,X,X,X,X
JIOSTLZ,X,O,X,X,O,X
JIOSTZL,X,X,O,X,O,X
JIOSLTZ,X,O,X,X,O,X
JIOSLZT,X,O,X,X,O,X
JIOSZTL,X,X,O,O,O,O
JIOSZLT,X,X,O,X,O,X
JIOZTLS,O,O,O,X,X,X
JIOZTSL,X,X,O,O,O,O
JIOZLTS,O,O,O,X,X,X
JIOZLST,O,O,O,X,X,X
JIOZSTL,X,X,O,O,O,O
JIOZSLT,O,X,O,X,O,X
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,O,X,X,X,X
JLTIZSO,X,O,X,X,X,X
JLTIZOS,X,O,X,X,X,X
JLTIOSZ,X,O,X,X,X,X
JLTIOZS,X,O,X,X,X,X
JLTSIZO,X,O,X,X,X,X
JLTSIOZ,X,O,X,X,O,X
JLTSZIO,X,X,X,O,O,X
JLTSZOI,X,X,X,O,O,X
JLTSOIZ,X,O,X,X,O,X
JLTSOZI,X,X,X,O,O,X
JLTZISO,X,O,X,O,X,X
JLTZIOS,X,O,X,O,X,X
JLTZSIO,X,X,X,O,O,X
JLTZSOI,X,X,X,O,O,X
JLTZOIS,X,O,X,O,X,X
JLTZOSI,X,X,X,O,O,X
JLTOISZ,X,O,X,X,X,X
JLTOIZS,X,O,X,X,X,X
JLTOSIZ,X,O,X,X,O,X
JLTOSZI,X,X,X,O,O,X
JLTOZIS,X,O,X,O,X,X
JLTOZSI,X,X,X,O,O,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,O,X,X,X,X
JLITZSO,X,O,X,X,X,X
JLITZOS,X,O,X,X,X,X
JLITOSZ,X,O,X,X,X,X
JLITOZS,X,O,X,X,X,X
JLISTZO,X,O,X,X,X,X
JLISTOZ,O,O,X,X,X,X
JLISZTO,X,O,X,X,X,X
JLISZOT,O,O,X,X,X,X
JLISOTZ,O,O,X,X,X,X
JLISOZT,O,O,X,X,X,X
JLIZTSO,O,O,X,X,X,X
JLIZTOS,O,O,X,X,X,X
JLIZSTO,O,O,X,X,X,X
JLIZSOT,O,O,X,X,X,X
JLIZOTS,O,O,X,X,X,X
JLIZOST,O,O,X,X,X,X
JLIOTSZ,X,O,X,X,X,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,O,O,X,X,X,X
JLIOSZT,O,O,X,X,X,X
JLIOZTS,O,O,X,X,X,X
JLIOZST,O,O,X,X,X,X
JLSTIZO,X,O,X,X,X,X
JLSTIOZ,O,O,X,X,O,X
JLSTZIO,O,X,X,O,O,X
JLSTZOI,O,X,X,O,O,X
JLSTOIZ,O,O,X,X,O,X
JLSTOZI,O,X,X,O,O,X
JLSITZO,X,O,X,X,X,X
JLSITOZ,O,O,X,X,O,X
JLSIZTO,O,O,X,X,O,X
JLSIZOT,O,O,X,X,O,X
JLSIOTZ,O,O,X,X,O,X
JLSIOZT,O,O,X,X,O,X
JLSZTIO,O,X,X,O,O,X
JLSZTOI,O,X,X,O,O,X
JLSZITO,O,X,X,X,O,X
JLSZIOT,O,X,X,X,O,X
JLSZOTI,O,X,X,O,O,X
JLSZOIT,O,X,X,X,O,X
JLSOTIZ,O,O,X,X,O,X
JLSOTZI,O,X,X,O,O,X
JLSOITZ,O,O,X,X,O,X
JLSOIZT,O,O,X,X,O,X
JLSOZTI,O,X,X,O,O,X
JLSOZIT,O,X,X,X,O,X
JLZTISO,O,O,X,O,X,X
JLZTIOS,O,O,X,O,X,X
JLZTSIO,O,X,X,O,O,X
JLZTSOI,O,X,X,O,O,X
JLZTOIS,O,O,X,O,X,X
JLZTOSI,O,X,X,O,O,X
JLZITSO,O,O,X,O,X,X
JLZITOS,O,O,X,O,X,X
JLZISTO,O,O,X,X,X,X
JLZISOT,O,O,X,X,X,X
JLZIOTS,O,O,X,O,X,X
JLZIOST,O,O,X,X,X,X
JLZSTIO,O,X,X,O,O,X
JLZSTOI,O,X,X,O,O,X
JLZSITO,O,X,X,X,O,X
JLZSIOT,O,X,X,X,O,X
JLZSOTI,O,X,X,O,O,X
JLZSOIT,O,X,X,X,O,X
JLZOTIS,O,O,X,O,X,X
JLZOTSI,O,X,X,O,O,X
JLZOITS,O,O,X,O,X,X
JLZOIST,O,O,X,X,X,X
JLZOSTI,O,X,X,O,O,X
JLZOSIT,O,X,X,X,O,X
JLOTISZ,X,O,X,X,X,X
JLOTIZS,X,O,X,X,X,X
JLOTSIZ,X,O,X,X,O,X
JLOTSZI,X,X,X,O,O,X
JLOTZIS,X,O,X,O,X,X
JLOTZSI,X,X,X,O,O,X
JLOITSZ,X,O,X,X,X,X
JLOITZS,X,O,X,X,X,X
JLOISTZ,O,O,X,X,X,X
JLOISZT,O,O,X,X,X,X
JLOIZTS,O,O,X,X,X,X
JLOIZST,O,O,X,X,X,X
JLOSTIZ,O,O,X,X,O,X
JLOSTZI,O,X,X,O,O,X
JLOSITZ,O,O,X,X,O,X
JLOSIZT,O,O,X,X,O,X
JLOSZTI,O,X,X,O,O,X
JLOSZIT,O,X,X,X,O,X
JLOZTIS,O,O,X,O,X,X
JLOZTSI,O,X,X,O,O,X
JLOZITS,O,O,X,O,X,X
JLOZIST,O,O,X,X,X,X
JLOZSTI,O,X,X,O,O,X
JLOZSIT,O,X,X,X,O,X
JSTILZO,X,O,X,X,X,X
JSTILOZ,X,O,X,X,O,X
JSTIZLO,X,X,X,X,O,X
JSTIZOL,X,X,X,X,O,X
JSTIOLZ,X,O,X,X,O,X
JSTIOZL,X,X,X,X,O,X
JSTLIZO,X,O,X,X,X,X
JSTLIOZ,X,O,X,X,O,X
JSTLZIO,X,X,X,O,O,X
JSTLZOI,X,X,X,O,O,X
JSTLOIZ,X,O,X,X,O,X
JSTLOZI,X,X,X,O,O,X
JSTZILO,X,X,X,X,O,X
JSTZIOL,X,X,X,O,O,O
JSTZLIO,X,X,X,X,O,X
JSTZLOI,X,X,X,X,O,X
JSTZOIL,X,X,X,O,O,O
JSTZOLI,X,X,X,O,O,O
JSTOILZ,X,O,X,X,O,X
JSTOIZL,X,X,X,X,O,X
JSTOLIZ,X,O,X,X,O,X
JSTOLZI,X,X,X,O,O,X
JSTOZIL,X,X,X,O,O,O
JSTOZLI,X,X,X,O,O,O
JSITLZO,X,O,X,X,X,X
JSITLOZ,X,O,X,X,O,X
JSITZLO,X,X,X,X,O,X
JSITZOL,X,X,X,X,O,X
JSITOLZ,X,O,X,X,O,X
JSITOZL,X,X,X,X,O,X
JSILTZO,X,O,X,X,X,X
JSILTOZ,X,O,X,X,O,X
JSILZTO,X,O,X,X,O,X
JSILZOT,X,O,X,X,O,X
JSILOTZ,X,O,X,X,O,X
JSILOZT,X,O,X,X,O,X
JSIZTLO,X,X,X,X,O,X
JSIZTOL,X,X,X,O,O,O
JSIZLTO,X,X,X,X,O,X
JSIZLOT,X,X,X,X,O,X
JSIZOTL,X,X,X,O,O,O
JSIZOLT,X,X,X,X,O,X
JSIOTLZ,X,O,X,X,O,X
JSIOTZL,X,X,X,X,O,X
JSIOLTZ,X,O,X,X,O,X
JSIOLZT,X,O,X,X,O,X
JSIOZTL,X,X,X,O,O,O
JSIOZLT,X,X,X,X,O,X
JSLTIZO,X,O,X,X,X,X
JSLTIOZ,X,O,X,X,O,X
JSLTZIO,X,X,X,O,O,X
JSLTZOI,X,X,X,O,O,X
JSLTOIZ,X,O,X,X,O,X
JSLTOZI,X,X,X,O,O,X
JSLITZO,X,O,X,X,X,X
JSLITOZ,X,O,X,X,O,X
JSLIZTO,X,O,X,X,O,X
JSLIZOT,X,O,X,X,O,X
JSLIOTZ,X,O,X,X,O,X
JSLIOZT,X,O,X,X,O,X
JSLZTIO,X,X,X,O,O,X
JSLZTOI,X,X,X,O,O,X
JSLZITO,X,X,X,X,O,X
JSLZIOT,X,X,X,X,O,X
JSLZOTI,X,X,X,O,O,X
JSLZOIT,X,X,X,X,O,X
JSLOTIZ,X,O,X,X,O,X
JSLOTZI,X,X,X,O,O,X
JSLOITZ,X,O,X,X,O,X
JSLOIZT,X,O,X,X,O,X
JSLOZTI,X,X,X,O,O,X
JSLOZIT,X,X,X,X,O,X
JSZTILO,X,X,X,X,O,X
JSZTIOL,X,X,X,O,O,O
JSZTLIO,X,X,X,X,O,X
JSZTLOI,X,X,X,X,O,X
JSZTOIL,X,X,X,O,O,O
JSZTOLI,X,X,X,O,O,O
JSZITLO,X,X,X,X,O,X
JSZITOL,X,X,X,O,O,O
JSZILTO,X,X,X,X,O,X
JSZILOT,X,X,X,X,O,X
JSZIOTL,X,X,X,O,O,O
JSZIOLT,X,X,X,X,O,X
JSZLTIO,X,X,X,O,O,X
JSZLTOI,X,X,X,O,O,X
JSZLITO,X,X,X,X,O,X
JSZLIOT,X,X,X,X,O,X
JSZLOTI,X,X,X,O,O,X
JSZLOIT,X,X,X,X,O,X
JSZOTIL,X,X,X,O,O,O
JSZOTLI,X,X,X,O,O,O
JSZOITL,X,X,X,O,O,O
JSZOILT,X,X,X,X,O,X
JSZOLTI,X,X,X,O,O,X
JSZOLIT,X,X,X,X,O,X
JSOTILZ,X,O,X,X,O,X
JSOTIZL,X,X,X,X,O,X
JSOTLIZ,X,O,X,X,O,X
JSOTLZI,X,X,X,O,O,X
JSOTZIL,X,X,X,O,O,O
JSOTZLI,X,X,X,O,O,O
JSOITLZ,X,O,X,X,O,X
JSOITZL,X,X,X,X,O,X
JSOILTZ,X,O,X,X,O,X
JSOILZT,X,O,X,X,O,X
JSOIZTL,X,X,X,O,O,O
JSOIZLT,X,X,X,X,O,X
JSOLTIZ,X,O,X,X,O,X
JSOLTZI,X,X,X,O,O,X
JSOLITZ,X,O,X,X,O,X
JSOLIZT,X,O,X,X,O,X
JSOLZTI,X,X,X,O,O,X
JSOLZIT,X,X,X,X,O,X
JSOZTIL,X,X,X,O,O,O
JSOZTLI,X,X,X,O,O,O
JSOZITL,X,X,X,O,O,O
JSOZILT,X,X,X,X,O,X
JSOZLTI,X,X,X,O,O,X
JSOZLIT,X,X,X,X,O,X
JZTILSO,O,O,O,X,X,X
JZTILOS,O,O,O,X,X,X
JZTISLO,X,X,O,X,O,X
JZTISOL,X,X,O,O,O,O
JZTIOLS,O,O,O,X,X,X
JZTIOSL,X,X,O,O,O,O
JZTLISO,O,O,O,X,X,X
JZTLIOS,O,O,O,X,X,X
JZTLSIO,O,X,X,X,O,X
JZTLSOI,O,X,X,X,O,X
JZTLOIS,O,O,O,X,X,X
JZTLOSI,O,X,X,X,O,X
JZTSILO,X,X,O,X,O,X
JZTSIOL,X,X,O,O,O,O
JZTSLIO,X,X,X,X,O,X
JZTSLOI,X,X,X,X,O,X
JZTSOIL,X,X,O,O,O,O
JZTSOLI,X,X,X,O,O,O
JZTOILS,O,O,O,X,X,X
JZTOISL,X,X,O,O,O,O
JZTOLIS,O,O,O,X,X,X
JZTOLSI,O,X,X,X,O,X
JZTOSIL,X,X,O,O,O,O
JZTOSLI,X,X,X,O,O,O
JZITLSO,O,O,O,X,X,X
JZITLOS,O,O,O,X,X,X
JZITSLO,X,X,O,X,O,X
JZITSOL,X,X,O,O,O,O
JZITOLS,O,O,O,X,X,X
JZITOSL,X,X,O,O,O,O
JZILTSO,O,O,O,X,X,X
JZILTOS,O,O,O,X,X,X
JZILSTO,O,O,O,X,X,X
JZILSOT,O,O,O,X,X,X
JZILOTS,O,O,O,X,X,X
JZILOST,O,O,O,X,X,X
JZISTLO,X,X,O,X,O,X
JZISTOL,X,X,O,O,O,O
JZISLTO,O,X,O,X,O,X
