sequence,v115@RhB8FeG8BeC8Je2EJvhFRgB3hBTjB1qBCsBcsB,v115@RhB8FeG8BeC8JeT/IvhFGjBilBRnB0lBlmBXsB,v115@RhB8FeG8BeC8Jei/IvhFTjBRlBGnB3lBFnB0rB,v115@RhB8FeG8BeC8JeT/IvhFOlB8lBxiBCoBlrBfsB,v115@RhB8FeG8BeC8Je2EJvhFfmBlhBxnBUlBCoBzrB,v115@RhB8FeG8BeC8Jei/IvhFTjBRlBFnB3lBGnB0rB,v115@RhB8FeG8BeC8JeT/IvhF0gB2qBfsBxnBCoBlrB
TOIJLZS,O,O,O,X,X,X,X
TOIJSLZ,O,X,X,X,O,X,X
TOIJSZL,X,X,X,X,O,X,X
TOIJZLS,O,X,X,X,X,X,X
TOIJZSL,X,X,X,X,O,X,X
TOISLJZ,O,X,X,X,O,X,X
TOISLZJ,O,X,X,X,X,X,X
TOISJLZ,O,X,X,X,O,X,X
TOISJZL,X,X,X,X,O,X,O
TOISZLJ,X,X,X,X,X,X,X
TOISZJL,X,X,X,X,O,X,X
TOIZLJS,O,X,O,O,X,O,X
TOIZLSJ,O,X,X,X,X,O,X
TOIZJLS,O,X,O,O,X,O,X
TOIZJSL,X,X,X,X,O,X,X
TOIZSLJ,X,X,X,X,X,O,X
TOIZSJL,X,X,X,X,O,X,X
TOLIJSZ,O,O,O,X,O,X,X
TOLIJZS,O,O,O,X,X,X,X
TOLISJZ,O,X,X,X,O,X,X
TOLISZJ,O,X,X,X,X,X,X
TOLIZJS,O,X,O,O,X,O,X
TOLIZSJ,O,X,X,X,X,O,X
TOLJISZ,O,O,O,X,O,X,X
TOLJIZS,O,O,O,X,X,X,X
TOLJSIZ,O,O,X,X,O,X,X
TOLJSZI,O,X,X,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X
TOLJZSI,O,X,X,O,X,X,X
TOLSIJZ,O,O,X,X,O,X,X
TOLSIZJ,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,O,X,X
TOLSJZI,O,X,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,X
TOLSZJI,O,X,X,O,X,X,X
TOLZIJS,O,X,O,O,X,O,X
TOLZISJ,O,X,X,X,X,O,X
TOLZJIS,O,X,O,O,X,O,X
TOLZJSI,O,X,X,O,X,X,X
TOLZSIJ,O,X,X,X,X,O,X
TOLZSJI,O,X,X,O,X,X,X
TOJILSZ,O,O,O,X,O,X,X
TOJILZS,O,O,O,X,X,X,X
TOJISLZ,O,X,X,X,O,X,X
TOJISZL,X,X,X,X,O,X,X
TOJIZLS,O,X,X,X,X,X,X
TOJIZSL,X,X,X,X,O,X,X
TOJLISZ,O,O,O,X,O,X,X
TOJLIZS,O,O,O,X,X,X,X
TOJLSIZ,O,O,X,X,O,X,X
TOJLSZI,O,X,X,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X
TOJLZSI,O,X,X,O,X,X,X
TOJSILZ,O,O,X,X,O,X,X
TOJSIZL,X,X,X,X,O,X,O
TOJSLIZ,O,O,X,X,O,X,X
TOJSLZI,O,X,X,X,X,X,X
TOJSZIL,X,X,X,X,O,X,O
TOJSZLI,X,X,X,X,X,X,X
TOJZILS,O,X,X,O,X,X,X
TOJZISL,X,X,X,X,O,X,X
TOJZLIS,O,X,X,O,X,X,X
TOJZLSI,O,X,X,O,X,X,X
TOJZSIL,X,X,X,X,O,X,O
TOJZSLI,X,X,X,O,X,X,X
TOSILJZ,O,O,X,X,O,X,X
TOSILZJ,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,O,X,X
TOSIJZL,X,X,X,X,O,X,O
TOSIZLJ,X,X,X,X,X,X,X
TOSIZJL,X,X,X,X,O,X,X
TOSLIJZ,O,O,X,X,O,X,X
TOSLIZJ,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,O,X,X
TOSLJZI,O,X,X,X,X,X,X
TOSLZIJ,O,X,X,X,X,X,X
TOSLZJI,O,X,X,O,X,X,X
TOSJILZ,O,O,X,X,O,X,X
TOSJIZL,X,X,X,X,O,X,O
TOSJLIZ,O,O,X,X,O,X,X
TOSJLZI,O,X,X,X,X,X,X
TOSJZIL,X,X,X,X,O,X,O
TOSJZLI,X,X,X,X,X,X,X
TOSZILJ,X,X,X,X,X,X,X
TOSZIJL,X,X,X,X,O,X,X
TOSZLIJ,X,X,X,X,X,X,X
TOSZLJI,X,X,X,O,X,X,X
TOSZJIL,X,X,X,X,O,X,X
TOSZJLI,X,X,X,O,X,X,X
TOZILJS,O,X,O,O,X,O,X
TOZILSJ,O,X,X,X,X,O,X
TOZIJLS,O,X,O,O,X,O,X
TOZIJSL,X,X,X,X,O,X,X
TOZISLJ,X,X,X,X,X,O,X
TOZISJL,X,X,X,X,O,X,X
TOZLIJS,O,X,O,O,X,O,X
TOZLISJ,O,X,X,X,X,O,X
TOZLJIS,O,X,O,O,X,O,X
TOZLJSI,O,X,X,O,X,X,X
TOZLSIJ,O,X,X,X,X,O,X
TOZLSJI,O,X,X,O,X,X,X
TOZJILS,O,X,O,O,X,O,X
TOZJISL,X,X,X,X,O,X,X
TOZJLIS,O,X,O,O,X,O,X
TOZJLSI,O,X,X,O,X,X,X
TOZJSIL,X,X,X,X,O,X,X
TOZJSLI,X,X,X,O,X,X,X
TOZSILJ,X,X,X,X,X,O,X
TOZSIJL,X,X,X,X,O,X,X
TOZSLIJ,X,X,X,X,X,O,X
TOZSLJI,X,X,X,O,X,X,X
TOZSJIL,X,X,X,X,O,X,X
TOZSJLI,X,X,X,O,X,X,X
ITLJSZO,O,X,X,X,O,X,X
ITLJSOZ,O,X,X,X,O,X,X
ITLJZSO,O,X,X,X,X,X,X
ITLJZOS,O,X,X,X,X,X,X
ITLJOSZ,O,O,O,X,X,X,X
ITLJOZS,O,O,O,X,X,X,X
ITLSJZO,O,X,X,X,O,X,X
ITLSJOZ,O,X,X,X,O,X,X
ITLSZJO,O,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,X
ITLZJSO,O,X,X,O,X,X,X
ITLZJOS,O,X,O,O,X,O,X
ITLZSJO,O,X,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,O,X
ITLZOJS,O,X,O,O,X,O,X
ITLZOSJ,O,X,X,X,X,O,X
ITLOJSZ,O,O,O,X,X,X,X
ITLOJZS,O,O,O,X,X,X,X
ITLOSJZ,O,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,X
ITLOZJS,O,X,O,O,X,O,X
ITLOZSJ,O,X,X,X,X,O,X
ITJLSZO,O,X,X,X,O,X,X
ITJLSOZ,O,X,X,X,O,X,X
ITJLZSO,O,X,X,X,X,X,X
ITJLZOS,O,X,X,X,X,X,X
ITJLOSZ,O,O,O,X,X,X,X
ITJLOZS,O,O,O,X,X,X,X
ITJSLZO,O,X,X,X,O,X,X
ITJSLOZ,O,X,X,X,O,X,X
ITJSZLO,X,X,X,X,O,X,X
ITJSZOL,X,X,X,X,O,X,X
ITJSOLZ,O,X,X,X,O,X,X
ITJSOZL,X,X,X,X,O,X,X
ITJZLSO,O,X,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X,X
ITJZSLO,X,X,X,X,O,X,X
ITJZSOL,X,X,X,X,O,X,X
ITJZOLS,O,X,X,X,X,X,X
ITJZOSL,X,X,X,X,X,X,X
ITJOLSZ,O,O,O,X,X,X,X
ITJOLZS,O,O,O,X,X,X,X
ITJOSLZ,O,X,X,X,O,X,X
ITJOSZL,X,X,X,X,O,X,X
ITJOZLS,O,X,X,X,X,X,X
ITJOZSL,X,X,X,X,X,X,X
ITSLJZO,O,X,X,X,O,X,X
ITSLJOZ,O,X,X,X,O,X,X
ITSLZJO,O,X,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X
ITSJLZO,O,X,X,X,O,X,X
ITSJLOZ,O,X,X,X,O,X,X
ITSJZLO,X,X,X,X,O,X,X
ITSJZOL,X,X,X,X,O,X,O
ITSJOLZ,O,X,X,X,O,X,X
ITSJOZL,X,X,X,X,O,X,O
ITSZLJO,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,X,X,X,X
ITSZJLO,X,X,X,X,O,X,X
ITSZJOL,X,X,X,X,O,X,X
ITSZOLJ,X,X,X,X,X,X,X
ITSZOJL,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,O,X,X
ITSOJZL,X,X,X,X,O,X,O
ITSOZLJ,X,X,X,X,X,X,X
ITSOZJL,X,X,X,X,X,X,X
ITZLJSO,O,X,X,O,X,X,X
ITZLJOS,O,X,O,O,X,O,X
ITZLSJO,O,X,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,O,X
ITZLOJS,O,X,O,O,X,O,X
ITZLOSJ,O,X,X,X,X,O,X
ITZJLSO,O,X,X,O,X,X,X
ITZJLOS,O,X,O,O,X,O,X
ITZJSLO,X,X,X,X,O,X,X
ITZJSOL,X,X,X,X,O,X,X
ITZJOLS,O,X,O,O,X,O,X
ITZJOSL,X,X,X,X,X,X,X
ITZSLJO,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,X,X,O,X
ITZSJLO,X,X,X,X,O,X,X
ITZSJOL,X,X,X,X,O,X,X
ITZSOLJ,X,X,X,X,X,O,X
ITZSOJL,X,X,X,X,X,X,X
ITZOLJS,O,X,O,O,X,O,X
ITZOLSJ,O,X,X,X,X,O,X
ITZOJLS,O,X,O,O,X,O,X
ITZOJSL,X,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,X,O,X
ITZOSJL,X,X,X,X,X,X,X
ITOLJSZ,O,O,O,X,X,X,X
ITOLJZS,O,O,O,X,X,X,X
ITOLSJZ,O,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,X,X,X
ITOLZJS,O,X,O,O,X,O,X
ITOLZSJ,O,X,X,X,X,O,X
ITOJLSZ,O,O,O,X,X,X,X
ITOJLZS,O,O,O,X,X,X,X
ITOJSLZ,O,X,X,X,O,X,X
ITOJSZL,X,X,X,X,O,X,X
ITOJZLS,O,X,X,X,X,X,X
ITOJZSL,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,O,X,X
ITOSJZL,X,X,X,X,O,X,O
ITOSZLJ,X,X,X,X,X,X,X
ITOSZJL,X,X,X,X,X,X,X
ITOZLJS,O,X,O,O,X,O,X
ITOZLSJ,O,X,X,X,X,O,X
ITOZJLS,O,X,O,O,X,O,X
ITOZJSL,X,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,O,X
ITOZSJL,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,X,X
ILTJSOZ,O,X,X,X,O,X,X
ILTJZSO,O,X,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X,X
ILTJOSZ,O,O,O,X,X,X,X
ILTJOZS,O,O,O,X,X,X,X
ILTSJZO,O,X,X,X,O,X,X
ILTSJOZ,O,X,X,X,O,X,X
ILTSZJO,O,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,X
ILTZJSO,O,X,X,O,X,X,X
ILTZJOS,O,X,O,O,X,O,X
ILTZSJO,O,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,O,X
ILTZOJS,O,X,O,O,X,O,X
ILTZOSJ,O,X,X,X,X,O,X
ILTOJSZ,O,O,O,X,X,X,X
ILTOJZS,O,O,O,X,X,X,X
ILTOSJZ,O,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X
ILTOZJS,O,X,O,O,X,O,X
ILTOZSJ,O,X,X,X,X,O,X
ILJTSZO,X,X,X,X,O,X,X
ILJTSOZ,X,X,X,X,O,X,X
ILJTZSO,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,X,X,X
ILJTOSZ,X,O,O,X,X,X,X
ILJTOZS,X,O,O,X,X,X,X
ILJSTZO,X,X,X,X,O,X,X
ILJSTOZ,X,O,X,X,O,X,X
ILJSZTO,X,X,X,X,X,X,X
ILJSZOT,X,O,X,X,X,X,X
ILJSOTZ,X,O,O,X,X,X,X
ILJSOZT,X,O,O,X,X,X,X
ILJZTSO,X,X,X,O,X,X,X
ILJZTOS,X,X,O,O,X,O,X
ILJZSTO,X,X,X,X,X,X,X
ILJZSOT,X,X,O,X,X,X,X
ILJZOTS,X,O,O,O,X,O,X
ILJZOST,X,O,O,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,X
ILJOTZS,X,O,O,X,X,X,X
ILJOSTZ,X,O,O,X,X,X,X
ILJOSZT,X,O,O,X,X,X,X
ILJOZTS,X,O,O,O,X,O,X
ILJOZST,X,O,O,X,X,X,X
ILSTJZO,X,X,X,X,O,X,X
ILSTJOZ,X,O,X,X,O,X,X
ILSTZJO,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,O,X,X
ILSJTOZ,X,O,X,X,O,X,X
ILSJZTO,X,X,X,X,X,X,X
ILSJZOT,X,O,X,X,X,X,O
ILSJOTZ,X,O,O,X,X,X,X
ILSJOZT,X,O,O,X,X,X,O
ILSZTJO,X,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,X,O,X
ILSZJTO,X,X,X,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X
ILSZOTJ,X,X,X,X,X,O,X
ILSZOJT,X,O,O,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X
ILSOJTZ,X,O,O,X,X,X,X
ILSOJZT,X,O,O,X,X,X,O
ILSOZTJ,X,X,X,X,X,O,X
ILSOZJT,X,O,O,X,X,X,X
ILZTJSO,X,X,X,O,X,X,X
ILZTJOS,X,X,O,O,X,O,X
ILZTSJO,X,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,X,O,X
ILZTOJS,X,X,O,O,X,O,X
ILZTOSJ,X,X,X,X,X,O,X
ILZJTSO,X,X,X,O,X,X,X
ILZJTOS,X,X,O,O,X,O,X
ILZJSTO,X,X,X,X,X,X,X
ILZJSOT,X,X,O,X,X,X,X
ILZJOTS,X,O,O,O,X,O,X
ILZJOST,X,O,O,X,X,X,X
ILZSTJO,X,X,X,X,X,X,X
ILZSTOJ,X,X,X,X,X,O,X
ILZSJTO,X,X,X,X,X,X,X
ILZSJOT,X,X,O,X,X,X,X
ILZSOTJ,X,X,X,X,X,O,X
ILZSOJT,X,X,O,X,X,X,X
ILZOTJS,X,X,O,O,X,O,X
ILZOTSJ,X,X,X,X,X,O,X
ILZOJTS,X,O,O,O,X,O,X
ILZOJST,X,O,O,X,X,X,X
ILZOSTJ,X,X,X,X,X,O,X
ILZOSJT,X,X,O,X,X,X,X
ILOTJSZ,O,O,O,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X
ILOTSJZ,O,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X
ILOTZJS,O,X,O,O,X,O,X
ILOTZSJ,O,X,X,X,X,O,X
ILOJTSZ,X,O,O,X,X,X,X
ILOJTZS,X,O,O,X,X,X,X
ILOJSTZ,X,O,O,X,X,X,X
ILOJSZT,X,O,O,X,X,X,X
ILOJZTS,X,O,O,O,X,O,X
ILOJZST,X,O,O,X,X,X,X
ILOSTJZ,X,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,X,X
ILOSJZT,X,O,O,X,X,X,O
ILOSZTJ,X,X,X,X,X,O,X
ILOSZJT,X,O,O,X,X,X,X
ILOZTJS,X,X,O,O,X,O,X
ILOZTSJ,X,X,X,X,X,O,X
ILOZJTS,X,O,O,O,X,O,X
ILOZJST,X,O,O,X,X,X,X
ILOZSTJ,X,X,X,X,X,O,X
ILOZSJT,X,X,O,X,X,X,X
IJTLSZO,O,X,X,X,O,X,X
IJTLSOZ,O,X,X,X,O,X,X
IJTLZSO,O,X,X,X,X,X,X
IJTLZOS,O,X,X,X,X,X,X
IJTLOSZ,O,O,O,X,X,X,X
IJTLOZS,O,O,O,X,X,X,X
IJTSLZO,O,X,X,X,O,X,X
IJTSLOZ,O,X,X,X,O,X,X
IJTSZLO,X,X,X,X,O,X,X
IJTSZOL,X,X,X,X,O,X,X
IJTSOLZ,O,X,X,X,O,X,X
IJTSOZL,X,X,X,X,O,X,X
IJTZLSO,O,X,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X,X
IJTZSLO,X,X,X,X,O,X,X
IJTZSOL,X,X,X,X,O,X,X
IJTZOLS,O,X,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X
IJTOLSZ,O,O,O,X,X,X,X
IJTOLZS,O,O,O,X,X,X,X
IJTOSLZ,O,X,X,X,O,X,X
IJTOSZL,X,X,X,X,O,X,X
IJTOZLS,O,X,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,X,X
IJLTSOZ,O,X,X,X,O,X,X
IJLTZSO,O,X,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,X,X
IJLTOZS,O,O,O,X,X,X,X
IJLSTZO,X,X,X,X,O,X,X
IJLSTOZ,X,O,X,X,O,X,X
IJLSZTO,X,X,X,X,X,X,X
IJLSZOT,X,O,X,X,X,X,X
IJLSOTZ,X,O,O,X,X,X,X
IJLSOZT,X,O,O,X,X,X,X
IJLZTSO,X,X,X,O,X,X,X
IJLZTOS,X,X,O,O,X,O,X
IJLZSTO,X,X,X,X,X,X,X
IJLZSOT,X,X,O,X,X,X,X
IJLZOTS,X,O,O,O,X,O,X
IJLZOST,X,O,O,X,X,X,X
IJLOTSZ,O,O,O,X,X,X,X
IJLOTZS,O,O,O,X,X,X,X
IJLOSTZ,X,O,O,X,X,X,X
IJLOSZT,X,O,O,X,X,X,X
IJLOZTS,X,O,O,O,X,O,X
IJLOZST,X,O,O,X,X,X,X
IJSTLZO,O,X,X,X,O,X,X
IJSTLOZ,O,O,X,X,O,X,X
IJSTZLO,X,X,X,X,O,X,X
IJSTZOL,X,X,X,X,O,X,O
IJSTOLZ,O,O,X,X,O,X,X
IJSTOZL,X,X,X,X,O,X,O
IJSLTZO,X,X,X,X,O,X,X
IJSLTOZ,X,O,X,X,O,X,X
IJSLZTO,X,X,X,X,X,X,X
IJSLZOT,X,O,X,X,X,X,O
IJSLOTZ,X,O,O,X,X,X,X
IJSLOZT,X,O,O,X,X,X,O
IJSZTLO,X,X,X,X,O,X,X
IJSZTOL,X,X,X,X,O,X,O
IJSZLTO,X,X,X,X,X,X,X
IJSZLOT,X,O,X,X,X,X,O
IJSZOTL,X,X,X,X,X,X,O
IJSZOLT,X,O,X,X,X,X,O
IJSOTLZ,O,O,X,X,O,X,X
IJSOTZL,X,X,X,X,O,X,O
IJSOLTZ,X,O,O,X,O,X,X
IJSOLZT,X,O,O,X,X,X,O
IJSOZTL,X,X,X,X,O,X,O
IJSOZLT,X,O,X,X,X,X,O
IJZTLSO,O,X,X,O,X,X,X
IJZTLOS,O,X,O,O,X,O,X
IJZTSLO,X,X,X,X,O,X,X
IJZTSOL,X,X,X,X,O,X,X
IJZTOLS,O,X,O,O,X,O,X
IJZTOSL,X,X,X,X,X,X,X
IJZLTSO,X,X,X,O,X,X,X
IJZLTOS,X,X,O,O,X,O,X
IJZLSTO,X,X,X,X,X,X,X
IJZLSOT,X,X,O,X,X,X,X
IJZLOTS,X,O,O,O,X,O,X
IJZLOST,X,O,O,X,X,X,X
IJZSTLO,X,X,X,X,O,X,X
IJZSTOL,X,X,X,X,O,X,O
IJZSLTO,X,X,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,O
IJZSOTL,X,X,X,X,X,X,O
IJZSOLT,X,X,O,X,X,X,O
IJZOTLS,O,X,O,O,X,O,X
IJZOTSL,X,X,X,X,X,X,X
IJZOLTS,X,O,O,O,X,O,X
IJZOLST,X,O,O,X,X,X,X
IJZOSTL,X,X,X,X,X,X,O
IJZOSLT,X,X,O,X,X,X,O
IJOTLSZ,O,O,O,X,O,X,X
IJOTLZS,O,O,O,X,X,X,X
IJOTSLZ,O,X,X,X,O,X,X
IJOTSZL,X,X,X,X,O,X,X
IJOTZLS,O,X,X,X,X,X,X
IJOTZSL,X,X,X,X,O,X,X
IJOLTSZ,O,O,O,X,O,X,X
IJOLTZS,O,O,O,X,X,X,X
IJOLSTZ,X,O,O,X,O,X,X
IJOLSZT,X,O,O,X,X,X,X
IJOLZTS,X,O,O,O,X,O,X
IJOLZST,X,O,O,X,X,X,X
IJOSTLZ,O,O,X,X,O,X,X
IJOSTZL,X,X,X,X,O,X,O
IJOSLTZ,X,O,O,X,O,X,X
IJOSLZT,X,O,O,X,X,X,O
IJOSZTL,X,X,X,X,O,X,O
IJOSZLT,X,O,X,X,X,X,O
IJOZTLS,O,X,O,O,X,O,X
IJOZTSL,X,X,X,X,O,X,X
IJOZLTS,X,O,O,O,X,O,X
IJOZLST,X,O,O,X,X,X,X
IJOZSTL,X,X,X,X,O,X,O
IJOZSLT,X,X,O,X,X,X,O
ISTLJZO,X,X,X,X,O,X,X
ISTLJOZ,X,O,X,X,O,X,X
ISTLZJO,X,X,X,X,X,X,X
ISTLZOJ,X,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,O,X,X
ISTJLOZ,X,O,X,X,O,X,X
ISTJZLO,X,X,X,X,O,X,X
ISTJZOL,X,X,X,X,O,X,O
ISTJOLZ,X,O,X,X,O,X,X
ISTJOZL,X,X,X,X,O,X,O
ISTZLJO,X,X,X,X,X,X,X
ISTZLOJ,X,X,X,X,X,X,X
ISTZJLO,X,X,X,X,O,X,X
ISTZJOL,X,X,X,X,O,X,X
ISTZOLJ,X,X,X,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X
ISTOLZJ,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,O,X,X
ISTOJZL,X,X,X,X,O,X,O
ISTOZLJ,X,X,X,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,X
ISLTJOZ,X,O,X,X,O,X,X
ISLTZJO,X,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,X
ISLJTOZ,X,O,X,X,O,X,X
ISLJZTO,X,X,X,X,X,X,X
ISLJZOT,X,O,X,X,X,X,O
ISLJOTZ,X,O,O,X,X,X,X
ISLJOZT,X,O,O,X,X,X,O
ISLZTJO,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,O,X
ISLZJTO,X,X,X,X,X,X,X
ISLZJOT,X,O,O,X,X,X,X
ISLZOTJ,X,X,X,X,X,O,X
ISLZOJT,X,O,O,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X
ISLOJZT,X,O,O,X,X,X,O
ISLOZTJ,X,X,X,X,X,O,X
ISLOZJT,X,O,O,X,X,X,X
ISJTLZO,X,X,X,X,O,X,X
ISJTLOZ,X,O,X,X,O,X,X
ISJTZLO,X,X,X,X,O,X,X
ISJTZOL,X,X,X,X,O,X,O
ISJTOLZ,X,O,X,X,O,X,X
ISJTOZL,X,X,X,X,O,X,O
ISJLTZO,X,X,X,X,O,X,X
ISJLTOZ,X,O,X,X,O,X,X
ISJLZTO,X,X,X,X,X,X,X
ISJLZOT,X,O,X,X,X,X,O
ISJLOTZ,X,O,O,X,X,X,X
ISJLOZT,X,O,O,X,X,X,O
ISJZTLO,X,X,X,X,O,X,X
ISJZTOL,X,X,X,X,O,X,O
ISJZLTO,X,X,X,X,X,X,X
ISJZLOT,X,O,X,X,X,X,O
ISJZOTL,X,X,X,X,X,X,O
ISJZOLT,X,O,X,X,X,X,O
ISJOTLZ,X,O,X,X,O,X,X
ISJOTZL,X,X,X,X,O,X,O
ISJOLTZ,X,O,O,X,O,X,X
ISJOLZT,X,O,O,X,X,X,O
ISJOZTL,X,X,X,X,O,X,O
ISJOZLT,X,O,X,X,X,X,O
ISZTLJO,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,X,X,O,X
ISZTJLO,X,X,X,X,O,X,X
ISZTJOL,X,X,X,X,O,X,X
ISZTOLJ,X,X,X,X,X,O,X
ISZTOJL,X,X,X,X,X,X,X
ISZLTJO,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,X,O,X
ISZLJTO,X,X,X,X,X,X,X
ISZLJOT,X,O,O,X,X,X,X
ISZLOTJ,X,X,X,X,X,O,X
ISZLOJT,X,O,O,X,X,X,X
ISZJTLO,X,X,X,X,O,X,X
ISZJTOL,X,X,X,X,O,X,O
ISZJLTO,X,X,X,X,X,X,X
ISZJLOT,X,O,O,X,X,X,O
ISZJOTL,X,X,X,X,X,X,O
ISZJOLT,X,O,O,X,X,X,O
ISZOTLJ,X,X,X,X,X,O,X
ISZOTJL,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,O,X
ISZOLJT,X,O,O,X,X,X,X
ISZOJTL,X,X,X,X,X,X,O
ISZOJLT,X,O,O,X,X,X,O
ISOTLJZ,X,O,X,X,O,X,X
ISOTLZJ,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,O,X,X
ISOTJZL,X,X,X,X,O,X,O
ISOTZLJ,X,X,X,X,X,X,X
ISOTZJL,X,X,X,X,O,X,X
ISOLTJZ,X,O,X,X,O,X,X
ISOLTZJ,X,X,X,X,X,X,X
ISOLJTZ,X,O,O,X,O,X,X
ISOLJZT,X,O,O,X,X,X,O
ISOLZTJ,X,X,X,X,X,O,X
ISOLZJT,X,O,O,X,X,X,X
ISOJTLZ,X,O,X,X,O,X,X
ISOJTZL,X,X,X,X,O,X,O
ISOJLTZ,X,O,O,X,O,X,X
ISOJLZT,X,O,O,X,X,X,O
ISOJZTL,X,X,X,X,O,X,O
ISOJZLT,X,O,X,X,X,X,O
ISOZTLJ,X,X,X,X,X,O,X
ISOZTJL,X,X,X,X,O,X,X
ISOZLTJ,X,X,X,X,X,O,X
ISOZLJT,X,O,O,X,X,X,X
ISOZJTL,X,X,X,X,O,X,O
ISOZJLT,X,O,O,X,X,X,O
IZTLJSO,X,X,X,O,X,X,X
IZTLJOS,X,X,O,O,X,O,X
IZTLSJO,X,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,X,O,X
IZTLOJS,X,X,O,O,X,O,X
IZTLOSJ,X,X,X,X,X,O,X
IZTJLSO,X,X,X,O,X,X,X
IZTJLOS,X,X,O,O,X,O,X
IZTJSLO,X,X,X,X,O,X,X
IZTJSOL,X,X,X,X,O,X,X
IZTJOLS,X,X,O,O,X,O,X
IZTJOSL,X,X,X,X,X,X,X
IZTSLJO,X,X,X,X,X,X,X
IZTSLOJ,X,X,X,X,X,O,X
IZTSJLO,X,X,X,X,O,X,X
IZTSJOL,X,X,X,X,O,X,X
IZTSOLJ,X,X,X,X,X,O,X
IZTSOJL,X,X,X,X,X,X,X
IZTOLJS,X,X,O,O,X,O,X
IZTOLSJ,X,X,X,X,X,O,X
IZTOJLS,X,X,O,O,X,O,X
