sequence,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBGiBTlB0rBlsBirB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBqlB/mB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFmgBXlBSrB0nBFnBxwB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBRhBqnBfrBUsBlrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFelBUhBFiBfrBRsBSxB,v115@FhB8HeC8HeE8DeB8JeT/IvhFigBGiB8rBRqB3sBFrB,v115@FhB8HeC8HeE8DeB8JeT/IvhFqnBVqBRmBmlBUsB3rB,v115@FhB8HeC8HeE8DeB8Je/EJvhFRgBTlBOrB0nBCnBVxB,v115@FhB8HeC8HeE8DeB8JeqHJvhFlkBRmBmkBzlBUsB3rB
TILOZSJ,X,X,X,X,X,X,O,X,X
TIJLSZO,X,O,X,X,O,X,X,X,X
TIJLSOZ,X,O,X,X,O,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,O,X,O,X,X
TIJLOZS,X,O,X,X,X,X,O,X,X
TIJSLZO,O,X,X,X,O,X,X,X,X
TIJSLOZ,O,X,X,X,O,X,X,X,X
TIJSZLO,O,X,X,X,O,X,X,X,X
TIJSZOL,O,X,X,X,O,X,X,X,X
TIJSOLZ,O,X,X,X,O,X,X,X,X
TIJSOZL,O,X,X,X,O,X,X,X,X
TIJZLSO,X,O,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,O,X,X,X,X
TIJZSOL,O,X,X,X,O,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X,X
TIJOLSZ,X,O,X,X,O,X,O,X,X
TIJOLZS,X,O,X,X,X,X,O,X,X
TIJOSLZ,O,X,X,X,O,X,X,X,X
TIJOSZL,O,X,X,X,O,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,O,X,O,X,X,X,X
TISLJOZ,O,O,O,X,O,O,X,X,X
TISLZJO,O,O,O,X,O,O,X,X,X
TISLZOJ,X,X,O,X,X,O,X,X,X
TISLOJZ,X,X,O,X,O,O,O,X,X
TISLOZJ,X,X,O,X,X,O,O,X,X
TISJLZO,O,X,O,X,O,X,X,X,X
TISJLOZ,O,X,O,X,O,O,X,X,X
TISJZLO,O,X,X,X,O,X,X,X,X
TISJZOL,O,X,X,X,O,X,X,X,X
TISJOLZ,O,X,O,X,O,O,X,X,X
TISJOZL,O,X,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,O,O,X,X,X
TISZLOJ,X,X,O,X,X,O,X,X,X
TISZJLO,O,X,X,X,O,O,X,X,X
TISZJOL,O,X,X,X,O,O,X,X,X
TISZOLJ,O,X,O,X,X,O,X,X,X
TISZOJL,O,X,X,X,O,O,X,X,X
TISOLJZ,O,X,O,X,O,O,O,X,X
TISOLZJ,O,X,O,X,X,O,O,X,X
TISOJLZ,O,X,O,X,O,O,X,X,X
TISOJZL,O,X,X,X,O,X,X,X,X
TISOZLJ,O,X,O,X,X,O,X,X,X
TISOZJL,O,X,X,X,O,O,X,X,X
TIZLJSO,X,O,O,X,X,X,X,X,O
TIZLJOS,X,O,X,X,X,X,O,X,O
TIZLSJO,X,O,O,X,X,X,X,X,O
TIZLSOJ,X,X,O,X,X,X,O,X,O
TIZLOJS,X,X,X,X,X,X,O,X,O
TIZLOSJ,X,X,X,X,X,X,O,X,O
TIZJLSO,X,O,X,X,X,X,X,X,O
TIZJLOS,X,O,X,X,X,X,O,X,O
TIZJSLO,O,X,X,X,O,X,X,X,X
TIZJSOL,O,X,X,X,O,X,X,X,X
TIZJOLS,X,O,X,X,X,X,O,X,X
TIZJOSL,O,X,X,X,O,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X,X,O
TIZSLOJ,X,X,O,X,X,X,O,X,O
TIZSJLO,O,X,X,X,O,X,X,X,X
TIZSJOL,O,X,X,X,O,X,X,X,X
TIZSOLJ,O,X,O,X,X,X,O,X,X
TIZSOJL,O,X,X,X,O,X,X,X,X
TIZOLJS,X,X,X,X,X,X,O,X,O
TIZOLSJ,X,X,X,X,X,X,O,X,O
TIZOJLS,X,O,X,X,X,X,O,X,X
TIZOJSL,O,X,X,X,O,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,O,X,X
TIZOSJL,O,X,X,X,O,X,X,X,X
TIOLJSZ,X,X,X,X,O,X,O,X,X
TIOLJZS,X,X,X,X,X,X,O,X,X
TIOLSJZ,X,X,X,X,O,O,O,X,X
TIOLSZJ,X,X,X,X,X,O,O,X,X
TIOLZJS,X,X,X,X,X,X,O,X,X
TIOLZSJ,X,X,X,X,X,X,O,X,X
TIOJLSZ,X,O,X,X,O,X,O,X,X
TIOJLZS,X,O,X,X,X,X,O,X,X
TIOJSLZ,O,X,X,X,O,X,X,X,X
TIOJSZL,O,X,X,X,O,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,X,X,X
TIOSLJZ,O,X,O,X,O,O,O,X,X
TIOSLZJ,O,X,O,X,X,O,O,X,X
TIOSJLZ,O,X,O,X,O,O,X,X,X
TIOSJZL,O,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,O,X,X,O,X,X,X
TIOSZJL,O,X,X,X,O,O,X,X,X
TIOZLJS,X,X,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,X,O,X,X
TIOZJLS,X,O,X,X,X,X,O,X,X
TIOZJSL,O,X,X,X,O,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,O,X,X
TIOZSJL,O,X,X,X,O,X,X,X,X
TLIJSZO,X,O,O,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,X,X
TLIJZSO,X,O,O,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,O,X,X
TLIJOZS,X,O,X,X,X,X,O,X,X
TLISJZO,X,O,O,X,X,X,X,X,X
TLISJOZ,X,O,O,X,X,X,X,X,X
TLISZJO,X,O,O,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,O,X,X
TLISOZJ,X,X,O,X,X,X,O,X,X
TLIZJSO,X,O,O,X,X,X,X,X,O
TLIZJOS,X,O,X,X,X,X,O,X,O
TLIZSJO,X,O,O,X,X,X,X,X,O
TLIZSOJ,X,X,O,X,X,X,O,X,O
TLIZOJS,X,X,X,X,X,X,O,X,O
TLIZOSJ,X,X,X,X,X,X,O,X,O
TLIOJSZ,X,X,X,X,X,X,O,X,X
TLIOJZS,X,X,X,X,X,X,O,X,X
TLIOSJZ,X,X,X,X,X,X,O,X,X
TLIOSZJ,X,X,X,X,X,X,O,X,X
TLIOZJS,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,X,X,X,O,X,X
TLJISZO,X,O,O,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,O,X,X
TLJIOZS,X,O,X,X,X,X,O,X,X
TLJSIZO,O,O,O,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,X,X,X,X,X
TLJSOZI,X,O,O,O,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,O
TLJZIOS,X,X,X,X,X,X,O,X,O
TLJZSIO,O,X,X,O,X,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,O,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,O,X,X
TLJOIZS,X,O,X,X,X,X,O,X,X
TLJOSIZ,O,O,X,O,X,X,X,X,X
TLJOSZI,X,O,X,O,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,O,X,X
TLJOZSI,X,O,X,O,X,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,X,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,O,X,X
TLSIOZJ,X,X,O,X,X,X,O,X,X
TLSJIZO,O,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X
TLSJZOI,O,O,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,O,X,X,X,X,X
TLSJOZI,X,O,O,O,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,O
TLSZIOJ,X,X,X,X,X,X,O,X,O
TLSZJIO,O,X,X,O,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,O,X,X
TLSZOJI,O,X,O,O,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,O,X,X
TLSOIZJ,O,X,O,X,X,X,O,X,X
TLSOJIZ,O,X,O,O,X,X,X,X,X
TLSOJZI,X,X,O,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,O,X,X
TLSOZJI,O,X,O,O,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,O
TLZIJOS,X,X,X,X,X,X,O,X,O
TLZISJO,X,X,X,X,X,X,X,X,O
TLZISOJ,X,X,X,X,X,X,O,X,O
TLZIOJS,X,X,X,X,X,X,O,X,O
TLZIOSJ,X,X,X,X,X,X,O,X,O
TLZJISO,X,X,X,X,X,X,X,X,O
TLZJIOS,X,X,X,X,X,X,O,X,O
TLZJSIO,O,X,X,O,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,O,X,X
TLZJOSI,O,O,X,O,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,X,X,O
TLZSIOJ,X,X,X,X,X,X,O,X,O
TLZSJIO,O,X,X,O,X,X,X,X,X
TLZSJOI,O,O,O,O,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,O,X,X
TLZSOJI,O,X,O,O,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,O,X,O
TLZOISJ,X,X,X,X,X,X,O,X,O
TLZOJIS,X,X,X,X,X,X,O,X,X
TLZOJSI,O,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,O,X,X
TLZOSJI,O,X,X,O,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,O,X,X
TLOIJZS,X,X,X,X,X,X,O,X,X
TLOISJZ,X,X,X,X,X,X,O,X,X
TLOISZJ,X,X,X,X,X,X,O,X,X
TLOIZJS,X,X,X,X,X,X,O,X,X
TLOIZSJ,X,X,X,X,X,X,O,X,X
TLOJISZ,X,X,X,X,X,X,O,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X
TLOJSIZ,O,X,X,O,X,X,X,X,X
TLOJSZI,X,X,X,O,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,O,X,X
TLOJZSI,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,O,X,X
TLOSIZJ,O,X,X,X,X,X,O,X,X
TLOSJIZ,O,X,X,O,X,X,X,X,X
TLOSJZI,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,O,X,X
TLOSZJI,O,X,X,O,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,O,X,O
TLOZISJ,X,X,X,X,X,X,O,X,O
TLOZJIS,X,X,X,X,X,X,O,X,X
TLOZJSI,O,X,X,O,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,X,X
TLOZSJI,O,X,X,O,X,X,X,X,X
TJILSZO,X,O,X,X,O,X,X,X,X
TJILSOZ,X,O,X,X,O,X,X,X,X
TJILZSO,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X,X
TJILOSZ,X,O,X,X,O,X,O,X,X
TJILOZS,X,O,X,X,X,X,O,X,X
TJISLZO,O,X,X,X,O,X,X,X,X
TJISLOZ,O,X,X,X,O,X,X,X,X
TJISZLO,O,X,X,X,O,X,X,X,X
TJISZOL,O,X,X,X,O,X,X,X,X
TJISOLZ,O,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,O,X,X,X,X
TJIZLSO,X,O,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,O,X,X,X,X
TJIZSOL,O,X,X,X,O,X,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,X,X,O,X,O,X,X
TJIOLZS,X,O,X,X,X,X,O,X,X
TJIOSLZ,O,X,X,X,O,X,X,X,X
TJIOSZL,O,X,X,X,O,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,O,X,X,X,X
TJLISZO,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,O,X,X
TJLIOZS,X,O,X,X,X,X,O,X,X
TJLSIZO,O,O,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,O,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X
TJLSZOI,O,O,X,O,X,X,X,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X
TJLSOZI,X,O,X,O,X,X,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,O
TJLZIOS,X,X,X,X,X,X,O,X,O
TJLZSIO,O,X,X,O,X,X,X,X,X
TJLZSOI,O,O,X,O,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,O,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,O,X,X
TJLOIZS,X,O,X,X,X,X,O,X,X
TJLOSIZ,O,O,X,O,X,X,X,X,X
TJLOSZI,X,O,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,O,X,X
TJLOZSI,X,O,X,O,X,X,X,X,X
TJSILZO,O,X,X,X,O,X,X,X,X
TJSILOZ,O,X,X,X,O,X,X,X,X
TJSIZLO,O,X,X,X,O,X,X,X,X
TJSIZOL,O,X,X,X,O,X,X,X,X
TJSIOLZ,O,X,X,X,O,X,X,X,X
TJSIOZL,O,X,X,X,O,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,O,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,X,X
TJSLZOI,O,X,X,O,X,X,X,X,X
TJSLOIZ,O,X,X,O,X,X,X,X,X
TJSLOZI,X,X,X,O,X,X,X,X,X
TJSZILO,O,X,X,X,O,X,X,X,X
TJSZIOL,O,X,X,X,O,X,X,X,X
TJSZLIO,O,X,X,O,X,X,X,X,X
TJSZLOI,O,X,X,O,O,X,X,X,X
TJSZOIL,O,X,X,X,O,X,X,O,X
TJSZOLI,O,X,X,O,O,X,X,O,X
TJSOILZ,O,X,X,X,O,X,X,X,X
TJSOIZL,O,X,X,X,O,X,X,O,X
TJSOLIZ,O,X,X,O,X,X,X,X,X
TJSOLZI,X,X,X,O,X,X,X,X,X
TJSOZIL,O,X,X,X,O,X,X,O,X
TJSOZLI,O,X,X,O,O,X,X,O,X
TJZILSO,X,O,X,X,X,X,X,X,O
TJZILOS,X,O,X,X,X,X,O,X,O
TJZISLO,O,X,X,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,O,X,X
TJZIOSL,O,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,O
TJZLIOS,X,X,X,X,X,X,O,X,O
TJZLSIO,O,X,X,O,X,X,X,X,X
TJZLSOI,O,O,X,O,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,O,X,X
TJZLOSI,O,O,X,O,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,O,X,X,X,X,X
TJZSLOI,O,X,X,O,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,O,X
TJZSOLI,O,X,X,O,X,X,X,O,X
TJZOILS,X,O,X,X,X,X,O,X,X
TJZOISL,O,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,O,X,X
TJZOLSI,O,O,X,O,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,O,X
TJZOSLI,O,X,X,O,X,X,X,O,X
TJOILSZ,X,O,X,X,O,X,O,X,X
TJOILZS,X,O,X,X,X,X,O,X,X
TJOISLZ,O,X,X,X,O,X,X,X,X
TJOISZL,O,X,X,X,O,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,O,X,X,X,X
TJOLISZ,X,O,X,X,X,X,O,X,X
TJOLIZS,X,O,X,X,X,X,O,X,X
TJOLSIZ,O,O,X,O,X,X,X,X,X
TJOLSZI,X,O,X,O,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,O,X,X
TJOLZSI,X,O,X,O,X,X,X,X,X
TJOSILZ,O,X,X,X,O,X,X,X,X
TJOSIZL,O,X,X,X,O,X,X,O,X
TJOSLIZ,O,X,X,O,X,X,X,X,X
TJOSLZI,X,X,X,O,X,X,X,X,X
TJOSZIL,O,X,X,X,O,X,X,O,X
TJOSZLI,O,X,X,O,O,X,X,O,X
TJOZILS,X,O,X,X,X,X,O,X,X
TJOZISL,O,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,O,X,X
TJOZLSI,O,O,X,O,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,O,X
TJOZSLI,O,X,X,O,X,X,X,O,X
TSILJZO,O,X,O,X,O,X,X,X,X
TSILJOZ,O,X,O,X,O,O,X,X,X
TSILZJO,O,X,O,X,O,O,X,X,X
TSILZOJ,X,X,O,X,X,O,X,X,X
TSILOJZ,X,X,O,X,O,O,O,X,X
TSILOZJ,X,X,O,X,X,O,O,X,X
TSIJLZO,O,X,O,X,O,X,X,X,X
TSIJLOZ,O,X,O,X,O,O,X,X,X
TSIJZLO,O,X,X,X,O,X,X,X,X
TSIJZOL,O,X,X,X,O,X,X,X,X
TSIJOLZ,O,X,O,X,O,O,X,X,X
TSIJOZL,O,X,X,X,O,X,X,X,X
TSIZLJO,O,X,O,X,O,O,X,X,X
TSIZLOJ,X,X,O,X,X,O,X,X,X
TSIZJLO,O,X,X,X,O,O,X,X,X
TSIZJOL,O,X,X,X,O,O,X,X,X
TSIZOLJ,O,X,O,X,X,O,X,X,X
TSIZOJL,O,X,X,X,O,O,X,X,X
TSIOLJZ,O,X,O,X,O,O,O,X,X
TSIOLZJ,O,X,O,X,X,O,O,X,X
TSIOJLZ,O,X,O,X,O,O,X,X,X
TSIOJZL,O,X,X,X,O,X,X,O,X
TSIOZLJ,O,X,O,X,X,O,X,X,X
TSIOZJL,O,X,X,X,O,O,X,O,X
TSLIJZO,O,X,O,X,X,X,X,X,X
TSLIJOZ,O,X,O,O,X,X,X,X,X
TSLIZJO,O,X,O,X,X,X,X,X,X
TSLIZOJ,X,X,O,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X,O,X,X
TSLIOZJ,X,X,O,X,X,X,O,X,X
TSLJIZO,O,X,O,X,X,X,X,X,X
TSLJIOZ,O,X,O,O,X,X,X,X,X
TSLJZIO,O,X,X,O,X,X,X,X,X
TSLJZOI,O,X,O,O,X,X,X,X,X
TSLJOIZ,O,X,O,O,X,X,X,X,X
TSLJOZI,X,X,O,O,X,X,X,X,X
TSLZIJO,O,X,X,O,X,X,X,X,O
TSLZIOJ,X,X,X,X,X,X,O,X,O
TSLZJIO,O,X,X,O,X,X,X,X,X
TSLZJOI,O,X,O,O,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,O,X,X
TSLZOJI,O,X,O,O,X,X,X,X,X
TSLOIJZ,O,X,O,X,X,X,O,X,X
TSLOIZJ,O,X,O,X,X,X,O,X,X
TSLOJIZ,O,X,O,O,X,X,X,X,X
TSLOJZI,X,X,O,O,X,X,X,X,X
TSLOZIJ,O,X,X,X,X,X,O,X,X
TSLOZJI,O,X,O,O,X,X,X,X,X
TSJILZO,O,X,O,X,O,X,X,X,X
TSJILOZ,O,X,O,X,O,O,X,X,X
TSJIZLO,O,X,X,X,O,X,X,X,X
TSJIZOL,O,X,X,X,O,X,X,X,X
TSJIOLZ,O,X,O,X,O,O,X,X,X
TSJIOZL,O,X,X,X,O,X,X,X,X
TSJLIZO,O,X,O,X,X,X,X,X,X
TSJLIOZ,O,X,O,O,X,X,X,X,X
TSJLZIO,O,X,X,O,X,X,X,X,X
TSJLZOI,O,X,O,O,X,X,X,X,X
TSJLOIZ,O,X,O,O,X,X,X,X,X
TSJLOZI,X,X,O,O,X,X,X,X,X
TSJZILO,O,X,X,X,O,O,X,X,X
TSJZIOL,O,X,X,X,O,O,X,X,X
TSJZLIO,O,X,X,O,X,X,X,X,X
TSJZLOI,O,X,X,O,O,X,X,X,X
TSJZOIL,O,X,X,X,O,O,X,O,X
TSJZOLI,O,X,X,O,O,X,X,O,X
TSJOILZ,O,X,O,X,O,O,X,X,X
TSJOIZL,O,X,X,X,O,X,X,O,X
TSJOLIZ,O,X,O,O,X,X,X,X,X
TSJOLZI,X,X,O,O,X,X,X,X,X
TSJOZIL,O,X,X,X,O,O,X,O,X
TSJOZLI,O,X,X,O,O,X,X,O,X
TSZILJO,O,X,O,X,O,O,X,X,O
TSZILOJ,X,X,O,X,X,O,O,X,O
TSZIJLO,O,X,X,X,O,O,X,X,X
TSZIJOL,O,X,X,X,O,O,X,O,X
TSZIOLJ,O,X,O,X,X,O,O,X,X
TSZIOJL,O,X,X,X,O,O,X,O,X
TSZLIJO,O,X,X,O,X,X,X,X,O
TSZLIOJ,X,X,X,X,X,X,O,X,O
TSZLJIO,O,X,X,O,X,X,X,X,X
TSZLJOI,O,X,O,O,O,X,X,O,X
TSZLOIJ,O,X,X,X,X,X,O,X,X
TSZLOJI,O,X,O,O,X,X,X,O,X
TSZJILO,O,X,X,X,O,O,X,X,X
TSZJIOL,O,X,X,X,O,O,X,O,X
TSZJLIO,O,X,X,O,X,X,X,X,X
TSZJLOI,O,X,X,O,O,X,X,O,X
TSZJOIL,O,X,X,X,O,O,X,O,X
TSZJOLI,O,X,X,O,O,X,X,O,X
TSZOILJ,O,X,O,X,X,O,O,X,X
TSZOIJL,O,X,X,X,X,O,X,O,X
TSZOLIJ,O,X,X,X,X,X,O,X,X
TSZOLJI,O,X,O,O,X,X,X,O,X
TSZOJIL,O,X,X,X,O,O,X,O,X
TSZOJLI,O,X,X,O,O,X,X,O,X
TSOILJZ,O,X,O,X,O,O,O,X,X
TSOILZJ,O,X,O,X,X,O,O,X,X
TSOIJLZ,O,X,O,X,O,O,X,X,X
TSOIJZL,O,X,X,X,O,X,X,O,X
TSOIZLJ,O,X,O,X,X,O,X,X,X
TSOIZJL,O,X,X,X,O,O,X,O,X
TSOLIJZ,O,X,O,X,X,X,O,X,X
TSOLIZJ,O,X,O,X,X,X,O,X,X
TSOLJIZ,O,X,O,O,X,X,X,X,X
TSOLJZI,X,X,O,O,X,X,X,X,X
TSOLZIJ,O,X,X,X,X,X,O,X,X
TSOLZJI,O,X,O,O,X,X,X,X,X
TSOJILZ,O,X,O,X,O,O,X,X,X
TSOJIZL,O,X,X,X,O,X,X,O,X
TSOJLIZ,O,X,O,O,X,X,X,X,X
TSOJLZI,X,X,O,O,X,X,X,X,X
TSOJZIL,O,X,X,X,O,O,X,O,X
TSOJZLI,O,X,X,O,O,X,X,O,X
TSOZILJ,O,X,O,X,X,O,O,X,X
TSOZIJL,O,X,X,X,X,O,X,O,X
TSOZLIJ,O,X,X,X,X,X,O,X,X
TSOZLJI,O,X,O,O,X,X,X,O,X
TSOZJIL,O,X,X,X,X,O,X,O,X
TSOZJLI,O,X,X,O,X,X,X,O,X
TZILJSO,X,X,X,X,X,X,X,X,O
TZILJOS,X,X,X,X,X,X,O,X,O
TZILSJO,X,X,X,X,X,X,X,X,O
TZILSOJ,X,X,X,X,X,X,O,X,O
TZILOJS,X,X,X,X,X,X,O,X,O
TZILOSJ,X,X,X,X,X,X,O,X,O
TZIJLSO,X,X,X,X,X,X,X,X,O
TZIJLOS,X,X,X,X,X,X,O,X,O
TZIJSLO,O,X,X,X,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X,O,X
TZIJOLS,X,X,X,X,X,X,O,X,X
TZIJOSL,O,X,X,X,X,X,X,O,X
TZISLJO,O,X,X,X,X,X,X,X,O
TZISLOJ,X,X,X,X,X,X,O,X,O
TZISJLO,O,X,X,X,X,X,X,X,X
TZISJOL,O,X,X,X,X,X,X,O,X
TZISOLJ,O,X,X,X,X,X,O,X,X
TZISOJL,O,X,X,X,X,X,X,O,X
TZIOLJS,X,X,X,X,X,X,O,X,O
TZIOLSJ,X,X,X,X,X,X,O,X,O
TZIOJLS,X,X,X,X,X,X,O,X,X
TZIOJSL,O,X,X,X,X,X,X,O,X
TZIOSLJ,O,X,X,X,X,X,O,X,X
TZIOSJL,O,X,X,X,X,X,X,O,X
TZLIJSO,X,X,X,X,X,X,X,X,O
