sequence,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFGgBihBFjBz?kBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jB3rBUsB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFqkBTgB2mBF?jBUsB3rB,v115@OhA8AeA8CeB8BeC8AeC8DeB8JeZEJvhFCgBmhBFjBX?lBUsBTrB
LTIOZSJ,X,O,O,O,X
LTJISZO,O,O,O,X,X
LTJISOZ,O,O,O,O,X
LTJIZSO,O,O,X,O,X
LTJIZOS,O,O,O,O,X
LTJIOSZ,O,O,O,O,X
LTJIOZS,O,O,O,O,X
LTJSIZO,O,O,O,X,X
LTJSIOZ,O,O,O,O,X
LTJSZIO,O,X,O,X,X
LTJSZOI,X,X,O,X,X
LTJSOIZ,O,X,O,O,X
LTJSOZI,X,X,O,X,X
LTJZISO,O,O,X,O,X
LTJZIOS,O,O,O,O,X
LTJZSIO,X,O,X,O,X
LTJZSOI,X,X,X,O,X
LTJZOIS,X,O,O,O,X
LTJZOSI,X,X,X,O,X
LTJOISZ,O,O,O,O,X
LTJOIZS,O,O,O,O,X
LTJOSIZ,O,O,O,O,X
LTJOSZI,X,X,O,X,X
LTJOZIS,O,O,O,O,X
LTJOZSI,X,X,X,O,X
LTSIJZO,O,O,O,X,O
LTSIJOZ,O,O,O,O,X
LTSIZJO,O,X,O,O,O
LTSIZOJ,O,X,O,O,O
LTSIOJZ,O,O,O,O,X
LTSIOZJ,O,X,O,O,O
LTSJIZO,O,O,O,X,O
LTSJIOZ,O,O,O,O,X
LTSJZIO,O,X,O,X,O
LTSJZOI,X,X,O,X,O
LTSJOIZ,O,X,O,O,X
LTSJOZI,O,X,O,X,X
LTSZIJO,O,X,O,O,O
LTSZIOJ,O,X,O,O,O
LTSZJIO,O,X,O,O,O
LTSZJOI,X,X,O,O,O
LTSZOIJ,O,X,O,O,O
LTSZOJI,O,X,O,O,O
LTSOIJZ,O,O,O,O,X
LTSOIZJ,O,X,O,O,O
LTSOJIZ,O,O,O,O,X
LTSOJZI,O,X,O,X,X
LTSOZIJ,O,X,O,O,O
LTSOZJI,O,X,O,O,O
LTZIJSO,O,O,X,O,O
LTZIJOS,O,O,O,O,X
LTZISJO,X,O,O,O,O
LTZISOJ,X,O,O,O,O
LTZIOJS,O,O,O,O,X
LTZIOSJ,X,O,O,O,X
LTZJISO,O,O,X,O,O
LTZJIOS,O,O,O,O,X
LTZJSIO,X,O,X,O,O
LTZJSOI,X,X,X,O,O
LTZJOIS,X,O,O,O,X
LTZJOSI,X,O,X,O,X
LTZSIJO,X,O,O,O,O
LTZSIOJ,X,O,O,O,O
LTZSJIO,X,O,O,O,O
LTZSJOI,X,X,O,O,O
LTZSOIJ,X,O,O,O,O
LTZSOJI,X,O,O,O,O
LTZOIJS,O,O,O,O,X
LTZOISJ,X,O,O,O,X
LTZOJIS,O,O,O,O,X
LTZOJSI,X,O,X,O,X
LTZOSIJ,X,O,O,O,X
LTZOSJI,X,O,O,O,X
LTOIJSZ,O,O,O,O,X
LTOIJZS,O,O,O,O,X
LTOISJZ,O,O,O,O,X
LTOISZJ,O,X,O,O,X
LTOIZJS,O,O,O,O,X
LTOIZSJ,X,O,O,O,X
LTOJISZ,O,O,O,O,X
LTOJIZS,O,O,O,O,X
LTOJSIZ,O,O,O,O,X
LTOJSZI,O,X,O,X,X
LTOJZIS,O,O,O,O,X
LTOJZSI,X,O,X,O,X
LTOSIJZ,O,O,O,O,X
LTOSIZJ,O,X,O,O,X
LTOSJIZ,O,O,O,O,X
LTOSJZI,O,X,O,X,X
LTOSZIJ,O,X,O,O,X
LTOSZJI,O,X,O,O,X
LTOZIJS,O,O,O,O,X
LTOZISJ,X,O,O,O,X
LTOZJIS,O,O,O,O,X
LTOZJSI,X,O,X,O,X
LTOZSIJ,X,O,O,O,X
LTOZSJI,X,O,O,O,X
LITJSZO,O,O,O,X,X
LITJSOZ,O,O,O,O,X
LITJZSO,O,O,X,O,X
LITJZOS,O,O,O,O,X
LITJOSZ,O,O,O,O,X
LITJOZS,O,O,O,O,X
LITSJZO,O,O,O,X,O
LITSJOZ,O,O,O,O,X
LITSZJO,O,X,O,O,O
LITSZOJ,O,X,O,O,O
LITSOJZ,O,O,O,O,X
LITSOZJ,O,X,O,O,O
LITZJSO,O,O,X,O,O
LITZJOS,O,O,O,O,X
LITZSJO,X,O,O,O,O
LITZSOJ,X,O,O,O,O
LITZOJS,O,O,O,O,X
LITZOSJ,X,O,O,O,X
LITOJSZ,O,O,O,O,X
LITOJZS,O,O,O,O,X
LITOSJZ,O,O,O,O,X
LITOSZJ,O,X,O,O,X
LITOZJS,O,O,O,O,X
LITOZSJ,X,O,O,O,X
LIJTSZO,O,O,O,X,X
LIJTSOZ,O,O,O,O,X
LIJTZSO,O,O,X,O,X
LIJTZOS,O,O,O,O,X
LIJTOSZ,O,O,O,O,X
LIJTOZS,O,O,O,O,X
LIJSTZO,O,O,O,X,X
LIJSTOZ,O,O,O,O,X
LIJSZTO,O,X,O,X,X
LIJSZOT,X,X,O,X,X
LIJSOTZ,O,X,O,O,X
LIJSOZT,X,X,O,X,X
LIJZTSO,O,O,X,O,X
LIJZTOS,O,O,O,O,X
LIJZSTO,X,O,X,O,X
LIJZSOT,X,X,X,O,X
LIJZOTS,X,O,O,O,X
LIJZOST,X,X,X,O,X
LIJOTSZ,O,O,O,O,X
LIJOTZS,O,O,O,O,X
LIJOSTZ,O,O,O,O,X
LIJOSZT,X,X,O,X,X
LIJOZTS,O,O,O,O,X
LIJOZST,X,X,X,O,X
LISTJZO,O,O,O,X,O
LISTJOZ,O,O,O,O,X
LISTZJO,O,X,O,O,O
LISTZOJ,O,X,O,O,O
LISTOJZ,O,O,O,O,X
LISTOZJ,O,X,O,O,O
LISJTZO,O,O,O,X,O
LISJTOZ,O,O,O,O,X
LISJZTO,O,X,O,X,O
LISJZOT,X,X,O,X,O
LISJOTZ,O,X,O,O,X
LISJOZT,O,X,O,X,X
LISZTJO,O,X,O,O,O
LISZTOJ,O,X,O,O,O
LISZJTO,O,X,O,O,O
LISZJOT,X,X,O,O,O
LISZOTJ,O,X,O,O,O
LISZOJT,O,X,O,O,O
LISOTJZ,O,O,O,O,X
LISOTZJ,O,X,O,O,O
LISOJTZ,O,O,O,O,X
LISOJZT,O,X,O,X,X
LISOZTJ,O,X,O,O,O
LISOZJT,O,X,O,O,O
LIZTJSO,O,O,X,O,O
LIZTJOS,O,O,O,O,X
LIZTSJO,X,O,O,O,O
LIZTSOJ,X,O,O,O,O
LIZTOJS,O,O,O,O,X
LIZTOSJ,X,O,O,O,X
LIZJTSO,O,O,X,O,O
LIZJTOS,O,O,O,O,X
LIZJSTO,X,O,X,O,O
LIZJSOT,X,X,X,O,O
LIZJOTS,X,O,O,O,X
LIZJOST,X,O,X,O,X
LIZSTJO,X,O,O,O,O
LIZSTOJ,X,O,O,O,O
LIZSJTO,X,O,O,O,O
LIZSJOT,X,X,O,O,O
LIZSOTJ,X,O,O,O,O
LIZSOJT,X,O,O,O,O
LIZOTJS,O,O,O,O,X
LIZOTSJ,X,O,O,O,X
LIZOJTS,O,O,O,O,X
LIZOJST,X,O,X,O,X
LIZOSTJ,X,O,O,O,X
LIZOSJT,X,O,O,O,X
LIOTJSZ,O,O,O,O,X
LIOTJZS,O,O,O,O,X
LIOTSJZ,O,O,O,O,X
LIOTSZJ,O,X,O,O,X
LIOTZJS,O,O,O,O,X
LIOTZSJ,X,O,O,O,X
LIOJTSZ,O,O,O,O,X
LIOJTZS,O,O,O,O,X
LIOJSTZ,O,O,O,O,X
LIOJSZT,O,X,O,X,X
LIOJZTS,O,O,O,O,X
LIOJZST,X,O,X,O,X
LIOSTJZ,O,O,O,O,X
LIOSTZJ,O,X,O,O,X
LIOSJTZ,O,O,O,O,X
LIOSJZT,O,X,O,X,X
LIOSZTJ,O,X,O,O,X
LIOSZJT,O,X,O,O,X
LIOZTJS,O,O,O,O,X
LIOZTSJ,X,O,O,O,X
LIOZJTS,O,O,O,O,X
LIOZJST,X,O,X,O,X
LIOZSTJ,X,O,O,O,X
LIOZSJT,X,O,O,O,X
LJTISZO,O,O,O,X,X
LJTISOZ,O,O,O,O,X
LJTIZSO,O,O,X,O,X
LJTIZOS,O,O,O,O,X
LJTIOSZ,O,O,O,O,X
LJTIOZS,O,O,O,O,X
LJTSIZO,O,O,O,X,X
LJTSIOZ,O,O,O,O,X
LJTSZIO,O,X,O,X,X
LJTSZOI,X,X,O,X,X
LJTSOIZ,O,X,O,O,X
LJTSOZI,X,X,O,X,X
LJTZISO,O,O,X,O,X
LJTZIOS,O,O,O,O,X
LJTZSIO,X,O,X,O,X
LJTZSOI,X,X,X,O,X
LJTZOIS,X,O,O,O,X
LJTZOSI,X,X,X,O,X
LJTOISZ,O,O,O,O,X
LJTOIZS,O,O,O,O,X
LJTOSIZ,O,O,O,O,X
LJTOSZI,X,X,O,X,X
LJTOZIS,O,O,O,O,X
LJTOZSI,X,X,X,O,X
LJITSZO,O,O,O,X,X
LJITSOZ,O,O,O,O,X
LJITZSO,O,O,X,O,X
LJITZOS,O,O,O,O,X
LJITOSZ,O,O,O,O,X
LJITOZS,O,O,O,O,X
LJISTZO,O,O,O,X,X
LJISTOZ,O,O,O,O,X
LJISZTO,O,X,O,X,X
LJISZOT,X,X,O,X,X
LJISOTZ,O,X,O,O,X
LJISOZT,X,X,O,X,X
LJIZTSO,O,O,X,O,X
LJIZTOS,O,O,O,O,X
LJIZSTO,X,O,X,O,X
LJIZSOT,X,X,X,O,X
LJIZOTS,X,O,O,O,X
LJIZOST,X,X,X,O,X
LJIOTSZ,O,O,O,O,X
LJIOTZS,O,O,O,O,X
LJIOSTZ,O,O,O,O,X
LJIOSZT,X,X,O,X,X
LJIOZTS,O,O,O,O,X
LJIOZST,X,X,X,O,X
LJSTIZO,O,O,O,X,X
LJSTIOZ,O,O,O,O,X
LJSTZIO,O,X,O,X,X
LJSTZOI,X,X,O,X,X
LJSTOIZ,O,X,O,O,X
LJSTOZI,X,X,O,X,X
LJSITZO,O,O,O,X,X
LJSITOZ,O,O,O,O,X
LJSIZTO,O,X,O,X,X
LJSIZOT,X,X,O,X,X
LJSIOTZ,O,X,O,O,X
LJSIOZT,X,X,O,X,X
LJSZTIO,O,X,O,X,X
LJSZTOI,X,X,O,X,X
LJSZITO,O,X,O,X,X
LJSZIOT,X,X,O,X,X
LJSZOTI,X,X,O,X,X
LJSZOIT,X,X,O,X,X
LJSOTIZ,O,X,O,O,X
LJSOTZI,X,X,O,X,X
LJSOITZ,O,X,O,O,X
LJSOIZT,X,X,O,X,X
LJSOZTI,X,X,O,X,X
LJSOZIT,X,X,O,X,X
LJZTISO,O,O,X,O,X
LJZTIOS,O,O,O,O,X
LJZTSIO,X,O,X,O,X
LJZTSOI,X,X,X,O,X
LJZTOIS,X,O,O,O,X
LJZTOSI,X,X,X,O,X
LJZITSO,O,O,X,O,X
LJZITOS,O,O,O,O,X
LJZISTO,X,O,X,O,X
LJZISOT,X,X,X,O,X
LJZIOTS,X,O,O,O,X
LJZIOST,X,X,X,O,X
LJZSTIO,X,O,X,O,X
LJZSTOI,X,X,X,O,X
LJZSITO,X,O,X,O,X
LJZSIOT,X,X,X,O,X
LJZSOTI,X,X,X,O,X
LJZSOIT,X,X,X,O,X
LJZOTIS,X,O,O,O,X
LJZOTSI,X,X,X,O,X
LJZOITS,X,O,O,O,X
LJZOIST,X,X,X,O,X
LJZOSTI,X,X,X,O,X
LJZOSIT,X,X,X,O,X
LJOTISZ,O,O,O,O,X
LJOTIZS,O,O,O,O,X
LJOTSIZ,O,O,O,O,X
LJOTSZI,X,X,O,X,X
LJOTZIS,O,O,O,O,X
LJOTZSI,X,X,X,O,X
LJOITSZ,O,O,O,O,X
LJOITZS,O,O,O,O,X
LJOISTZ,O,O,O,O,X
LJOISZT,X,X,O,X,X
LJOIZTS,O,O,O,O,X
LJOIZST,X,X,X,O,X
LJOSTIZ,O,O,O,O,X
LJOSTZI,X,X,O,X,X
LJOSITZ,O,O,O,O,X
LJOSIZT,X,X,O,X,X
LJOSZTI,X,X,O,X,X
LJOSZIT,X,X,O,X,X
LJOZTIS,O,O,O,O,X
LJOZTSI,X,X,X,O,X
LJOZITS,O,O,O,O,X
LJOZIST,X,X,X,O,X
LJOZSTI,X,X,X,O,X
LJOZSIT,X,X,X,O,X
LSTIJZO,O,O,O,X,O
LSTIJOZ,O,O,O,O,X
LSTIZJO,O,X,O,O,O
LSTIZOJ,O,X,O,O,O
LSTIOJZ,O,O,O,O,X
LSTIOZJ,O,X,O,O,O
LSTJIZO,O,O,O,X,O
LSTJIOZ,O,O,O,O,X
LSTJZIO,O,X,O,X,O
LSTJZOI,X,X,O,X,O
LSTJOIZ,O,X,O,O,X
LSTJOZI,O,X,O,X,X
LSTZIJO,O,X,O,O,O
LSTZIOJ,O,X,O,O,O
LSTZJIO,O,X,O,O,O
LSTZJOI,X,X,O,O,O
LSTZOIJ,O,X,O,O,O
LSTZOJI,O,X,O,O,O
LSTOIJZ,O,O,O,O,X
LSTOIZJ,O,X,O,O,O
LSTOJIZ,O,O,O,O,X
LSTOJZI,O,X,O,X,X
LSTOZIJ,O,X,O,O,O
LSTOZJI,O,X,O,O,O
LSITJZO,O,O,O,X,O
LSITJOZ,O,O,O,O,X
LSITZJO,O,X,O,O,O
LSITZOJ,O,X,O,O,O
LSITOJZ,O,O,O,O,X
LSITOZJ,O,X,O,O,O
LSIJTZO,O,O,O,X,O
LSIJTOZ,O,O,O,O,X
LSIJZTO,O,X,O,X,O
LSIJZOT,X,X,O,X,O
LSIJOTZ,O,X,O,O,X
LSIJOZT,O,X,O,X,X
LSIZTJO,O,X,O,O,O
LSIZTOJ,O,X,O,O,O
LSIZJTO,O,X,O,O,O
LSIZJOT,X,X,O,O,O
LSIZOTJ,O,X,O,O,O
LSIZOJT,O,X,O,O,O
LSIOTJZ,O,O,O,O,X
LSIOTZJ,O,X,O,O,O
LSIOJTZ,O,O,O,O,X
LSIOJZT,O,X,O,X,X
LSIOZTJ,O,X,O,O,O
LSIOZJT,O,X,O,O,O
LSJTIZO,O,O,O,X,O
LSJTIOZ,O,O,O,O,X
LSJTZIO,O,X,O,X,O
LSJTZOI,X,X,O,X,O
LSJTOIZ,O,X,O,O,X
LSJTOZI,O,X,O,X,X
LSJITZO,O,O,O,X,O
LSJITOZ,O,O,O,O,X
LSJIZTO,O,X,O,X,O
LSJIZOT,X,X,O,X,O
LSJIOTZ,O,X,O,O,X
LSJIOZT,O,X,O,X,X
LSJZTIO,O,X,O,X,O
LSJZTOI,X,X,O,X,O
LSJZITO,O,X,O,X,O
LSJZIOT,X,X,O,X,O
LSJZOTI,X,X,O,X,O
LSJZOIT,X,X,O,X,O
LSJOTIZ,O,X,O,O,X
LSJOTZI,O,X,O,X,X
LSJOITZ,O,X,O,O,X
LSJOIZT,O,X,O,X,X
LSJOZTI,O,X,O,X,X
LSJOZIT,O,X,O,X,X
LSZTIJO,O,X,O,O,O
LSZTIOJ,O,X,O,O,O
LSZTJIO,O,X,O,O,O
LSZTJOI,X,X,O,O,O
LSZTOIJ,O,X,O,O,O
LSZTOJI,O,X,O,O,O
LSZITJO,O,X,O,O,O
LSZITOJ,O,X,O,O,O
LSZIJTO,O,X,O,O,O
LSZIJOT,X,X,O,O,O
LSZIOTJ,O,X,O,O,O
LSZIOJT,O,X,O,O,O
LSZJTIO,O,X,O,O,O
LSZJTOI,X,X,O,O,O
LSZJITO,O,X,O,O,O
LSZJIOT,X,X,O,O,O
LSZJOTI,X,X,O,O,O
LSZJOIT,X,X,O,O,O
LSZOTIJ,O,X,O,O,O
LSZOTJI,O,X,O,O,O
LSZOITJ,O,X,O,O,O
LSZOIJT,O,X,O,O,O
LSZOJTI,O,X,O,O,O
LSZOJIT,O,X,O,O,O
LSOTIJZ,O,O,O,O,X
LSOTIZJ,O,X,O,O,O
LSOTJIZ,O,O,O,O,X
LSOTJZI,O,X,O,X,X
LSOTZIJ,O,X,O,O,O
LSOTZJI,O,X,O,O,O
LSOITJZ,O,O,O,O,X
LSOITZJ,O,X,O,O,O
LSOIJTZ,O,O,O,O,X
LSOIJZT,O,X,O,X,X
LSOIZTJ,O,X,O,O,O
LSOIZJT,O,X,O,O,O
LSOJTIZ,O,O,O,O,X
LSOJTZI,O,X,O,X,X
LSOJITZ,O,O,O,O,X
LSOJIZT,O,X,O,X,X
LSOJZTI,O,X,O,X,X
LSOJZIT,O,X,O,X,X
LSOZTIJ,O,X,O,O,O
LSOZTJI,O,X,O,O,O
LSOZITJ,O,X,O,O,O
LSOZIJT,O,X,O,O,O
LSOZJTI,O,X,O,O,O
LSOZJIT,O,X,O,O,O
LZTIJSO,O,O,X,O,O
LZTIJOS,O,O,O,O,X
LZTISJO,X,O,O,O,O
LZTISOJ,X,O,O,O,O
LZTIOJS,O,O,O,O,X
LZTIOSJ,X,O,O,O,X
LZTJISO,O,O,X,O,O
LZTJIOS,O,O,O,O,X
LZTJSIO,X,O,X,O,O
LZTJSOI,X,X,X,O,O
LZTJOIS,X,O,O,O,X
LZTJOSI,X,O,X,O,X
LZTSIJO,X,O,O,O,O
LZTSIOJ,X,O,O,O,O
LZTSJIO,X,O,O,O,O
LZTSJOI,X,X,O,O,O
LZTSOIJ,X,O,O,O,O
LZTSOJI,X,O,O,O,O
LZTOIJS,O,O,O,O,X
LZTOISJ,X,O,O,O,X
LZTOJIS,O,O,O,O,X
LZTOJSI,X,O,X,O,X
LZTOSIJ,X,O,O,O,X
LZTOSJI,X,O,O,O,X
LZITJSO,O,O,X,O,O
LZITJOS,O,O,O,O,X
LZITSJO,X,O,O,O,O
LZITSOJ,X,O,O,O,O
LZITOJS,O,O,O,O,X
LZITOSJ,X,O,O,O,X
LZIJTSO,O,O,X,O,O
LZIJTOS,O,O,O,O,X
LZIJSTO,X,O,X,O,O
LZIJSOT,X,X,X,O,O
LZIJOTS,X,O,O,O,X
LZIJOST,X,O,X,O,X
LZISTJO,X,O,O,O,O
LZISTOJ,X,O,O,O,O
LZISJTO,X,O,O,O,O
LZISJOT,X,X,O,O,O
LZISOTJ,X,O,O,O,O
LZISOJT,X,O,O,O,O
LZIOTJS,O,O,O,O,X
LZIOTSJ,X,O,O,O,X
LZIOJTS,O,O,O,O,X
LZIOJST,X,O,X,O,X
LZIOSTJ,X,O,O,O,X
LZIOSJT,X,O,O,O,X
LZJTISO,O,O,X,O,O
LZJTIOS,O,O,O,O,X
LZJTSIO,X,O,X,O,O
LZJTSOI,X,X,X,O,O
LZJTOIS,X,O,O,O,X
LZJTOSI,X,O,X,O,X
LZJITSO,O,O,X,O,O
LZJITOS,O,O,O,O,X
LZJISTO,X,O,X,O,O
LZJISOT,X,X,X,O,O
LZJIOTS,X,O,O,O,X
LZJIOST,X,O,X,O,X
LZJSTIO,X,O,X,O,O
LZJSTOI,X,X,X,O,O
LZJSITO,X,O,X,O,O
LZJSIOT,X,X,X,O,O
LZJSOTI,X,X,X,O,O
LZJSOIT,X,X,X,O,O
LZJOTIS,X,O,O,O,X
LZJOTSI,X,O,X,O,X
LZJOITS,X,O,O,O,X
LZJOIST,X,O,X,O,X
LZJOSTI,X,O,X,O,X
LZJOSIT,X,O,X,O,X
LZSTIJO,X,O,O,O,O
LZSTIOJ,X,O,O,O,O
LZSTJIO,X,O,O,O,O
LZSTJOI,X,X,O,O,O
LZSTOIJ,X,O,O,O,O
LZSTOJI,X,O,O,O,O
LZSITJO,X,O,O,O,O
LZSITOJ,X,O,O,O,O
LZSIJTO,X,O,O,O,O
LZSIJOT,X,X,O,O,O
LZSIOTJ,X,O,O,O,O
LZSIOJT,X,O,O,O,O
LZSJTIO,X,O,O,O,O
LZSJTOI,X,X,O,O,O
LZSJITO,X,O,O,O,O
LZSJIOT,X,X,O,O,O
LZSJOTI,X,X,O,O,O
LZSJOIT,X,X,O,O,O
LZSOTIJ,X,O,O,O,O
LZSOTJI,X,O,O,O,O
LZSOITJ,X,O,O,O,O
LZSOIJT,X,O,O,O,O
LZSOJTI,X,O,O,O,O
LZSOJIT,X,O,O,O,O
LZOTIJS,O,O,O,O,X
LZOTISJ,X,O,O,O,X
LZOTJIS,O,O,O,O,X
LZOTJSI,X,O,X,O,X
LZOTSIJ,X,O,O,O,X
LZOTSJI,X,O,O,O,X
LZOITJS,O,O,O,O,X
LZOITSJ,X,O,O,O,X
LZOIJTS,O,O,O,O,X
LZOIJST,X,O,X,O,X
LZOISTJ,X,O,O,O,X
LZOISJT,X,O,O,O,X
LZOJTIS,O,O,O,O,X
LZOJTSI,X,O,X,O,X
LZOJITS,O,O,O,O,X
LZOJIST,X,O,X,O,X
LZOJSTI,X,O,X,O,X
LZOJSIT,X,O,X,O,X
LZOSTIJ,X,O,O,O,X
LZOSTJI,X,O,O,O,X
LZOSITJ,X,O,O,O,X
LZOSIJT,X,O,O,O,X
LZOSJTI,X,O,O,O,X
LZOSJIT,X,O,O,O,X
LOTIJSZ,O,O,O,O,X
LOTIJZS,O,O,O,O,X
LOTISJZ,O,O,O,O,X
LOTISZJ,O,X,O,O,X
LOTIZJS,O,O,O,O,X
LOTIZSJ,X,O,O,O,X
LOTJISZ,O,O,O,O,X
LOTJIZS,O,O,O,O,X
LOTJSIZ,O,O,O,O,X
LOTJSZI,O,X,O,X,X
LOTJZIS,O,O,O,O,X
LOTJZSI,X,O,X,O,X
LOTSIJZ,O,O,O,O,X
LOTSIZJ,O,X,O,O,X
LOTSJIZ,O,O,O,O,X
LOTSJZI,O,X,O,X,X
LOTSZIJ,O,X,O,O,X
LOTSZJI,O,X,O,O,X
LOTZIJS,O,O,O,O,X
LOTZISJ,X,O,O,O,X
LOTZJIS,O,O,O,O,X
LOTZJSI,X,O,X,O,X
LOTZSIJ,X,O,O,O,X
LOTZSJI,X,O,O,O,X
LOITJSZ,O,O,O,O,X
LOITJZS,O,O,O,O,X
LOITSJZ,O,O,O,O,X
LOITSZJ,O,X,O,O,X
LOITZJS,O,O,O,O,X
LOITZSJ,X,O,O,O,X
LOIJTSZ,O,O,O,O,X
LOIJTZS,O,O,O,O,X
LOIJSTZ,O,O,O,O,X
LOIJSZT,O,X,O,X,X
LOIJZTS,O,O,O,O,X
LOIJZST,X,O,X,O,X
LOISTJZ,O,O,O,O,X
LOISTZJ,O,X,O,O,X
LOISJTZ,O,O,O,O,X
LOISJZT,O,X,O,X,X
LOISZTJ,O,X,O,O,X
LOISZJT,O,X,O,O,X
LOIZTJS,O,O,O,O,X
LOIZTSJ,X,O,O,O,X
LOIZJTS,O,O,O,O,X
LOIZJST,X,O,X,O,X
LOIZSTJ,X,O,O,O,X
LOIZSJT,X,O,O,O,X
LOJTISZ,O,O,O,O,X
LOJTIZS,O,O,O,O,X
LOJTSIZ,O,O,O,O,X
LOJTSZI,O,X,O,X,X
LOJTZIS,O,O,O,O,X
LOJTZSI,X,O,X,O,X
LOJITSZ,O,O,O,O,X
LOJITZS,O,O,O,O,X
LOJISTZ,O,O,O,O,X
LOJISZT,O,X,O,X,X
LOJIZTS,O,O,O,O,X
LOJIZST,X,O,X,O,X
LOJSTIZ,O,O,O,O,X
LOJSTZI,O,X,O,X,X
LOJSITZ,O,O,O,O,X
LOJSIZT,O,X,O,X,X
LOJSZTI,O,X,O,X,X
LOJSZIT,O,X,O,X,X
LOJZTIS,O,O,O,O,X
LOJZTSI,X,O,X,O,X
LOJZITS,O,O,O,O,X
LOJZIST,X,O,X,O,X
LOJZSTI,X,O,X,O,X
LOJZSIT,X,O,X,O,X
LOSTIJZ,O,O,O,O,X
LOSTIZJ,O,X,O,O,X
LOSTJIZ,O,O,O,O,X
LOSTJZI,O,X,O,X,X
LOSTZIJ,O,X,O,O,X
LOSTZJI,O,X,O,O,X
LOSITJZ,O,O,O,O,X
LOSITZJ,O,X,O,O,X
LOSIJTZ,O,O,O,O,X
LOSIJZT,O,X,O,X,X
LOSIZTJ,O,X,O,O,X
LOSIZJT,O,X,O,O,X
LOSJTIZ,O,O,O,O,X
LOSJTZI,O,X,O,X,X
LOSJITZ,O,O,O,O,X
LOSJIZT,O,X,O,X,X
LOSJZTI,O,X,O,X,X
LOSJZIT,O,X,O,X,X
LOSZTIJ,O,X,O,O,X
LOSZTJI,O,X,O,O,X
LOSZITJ,O,X,O,O,X
LOSZIJT,O,X,O,O,X
LOSZJTI,O,X,O,O,X
LOSZJIT,O,X,O,O,X
LOZTIJS,O,O,O,O,X
LOZTISJ,X,O,O,O,X
LOZTJIS,O,O,O,O,X
LOZTJSI,X,O,X,O,X
LOZTSIJ,X,O,O,O,X
LOZTSJI,X,O,O,O,X
LOZITJS,O,O,O,O,X
LOZITSJ,X,O,O,O,X
LOZIJTS,O,O,O,O,X
LOZIJST,X,O,X,O,X
LOZISTJ,X,O,O,O,X
LOZISJT,X,O,O,O,X
LOZJTIS,O,O,O,O,X
LOZJTSI,X,O,X,O,X
LOZJITS,O,O,O,O,X
LOZJIST,X,O,X,O,X
LOZJSTI,X,O,X,O,X
LOZJSIT,X,O,X,O,X
LOZSTIJ,X,O,O,O,X
LOZSTJI,X,O,O,O,X
LOZSITJ,X,O,O,O,X
LOZSIJT,X,O,O,O,X
LOZSJTI,X,O,O,O,X
LOZSJIT,X,O,O,O,X
JTILSZO,O,O,O,X,X
JTILSOZ,O,O,O,O,X
JTILZSO,O,O,X,O,X
JTILZOS,O,O,O,O,X
JTILOSZ,O,O,O,O,X
JTILOZS,O,O,O,O,X
JTISLZO,O,O,O,X,O
JTISLOZ,O,O,O,O,X
JTISZLO,O,O,O,X,O
JTISZOL,X,X,X,X,O
JTISOLZ,O,X,O,X,X
JTISOZL,O,X,X,X,X
JTIZLSO,O,O,X,O,O
JTIZLOS,O,O,O,O,X
JTIZSLO,O,O,X,O,O
JTIZSOL,X,X,X,X,O
JTIZOLS,X,O,X,O,X
JTIZOSL,X,O,X,X,O
JTIOLSZ,O,O,O,O,X
JTIOLZS,O,O,O,O,X
JTIOSLZ,O,O,X,X,X
JTIOSZL,O,O,X,X,X
JTIOZLS,O,O,X,X,X
JTIOZSL,O,O,X,X,X
JTLISZO,O,O,O,X,X
JTLISOZ,O,O,O,O,X
JTLIZSO,O,O,X,O,X
JTLIZOS,O,O,O,O,X
JTLIOSZ,O,O,O,O,X
JTLIOZS,O,O,O,O,X
JTLSIZO,O,O,O,X,X
JTLSIOZ,O,O,O,O,X
JTLSZIO,O,X,O,X,X
JTLSZOI,X,X,O,X,X
JTLSOIZ,O,X,O,O,X
JTLSOZI,X,X,O,X,X
JTLZISO,O,O,X,O,X
JTLZIOS,O,O,O,O,X
JTLZSIO,X,O,X,O,X
JTLZSOI,X,X,X,O,X
JTLZOIS,X,O,O,O,X
JTLZOSI,X,X,X,O,X
JTLOISZ,O,O,O,O,X
JTLOIZS,O,O,O,O,X
JTLOSIZ,O,O,O,O,X
JTLOSZI,X,X,O,X,X
JTLOZIS,O,O,O,O,X
JTLOZSI,X,X,X,O,X
JTSILZO,O,O,O,X,O
JTSILOZ,O,O,O,O,X
JTSIZLO,O,O,O,X,O
JTSIZOL,X,X,X,X,O
JTSIOLZ,O,X,O,X,X
JTSIOZL,O,X,X,X,X
JTSLIZO,O,O,O,X,O
JTSLIOZ,O,O,O,O,X
JTSLZIO,O,X,O,X,O
JTSLZOI,X,X,O,X,O
JTSLOIZ,O,X,O,O,X
JTSLOZI,O,X,O,X,X
JTSZILO,O,O,O,X,O
JTSZIOL,X,X,X,X,O
JTSZLIO,O,O,O,X,O
JTSZLOI,X,X,O,X,O
