sequence,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhF2lBXiBTjBFmB0q?BRxB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFTgB0hBxiBlqB2w?BXtB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFUhBFiBTjBmqB/q?BRxB,v115@HhA8FeA8BeA8DeH8FeA8Je0/IvhFlgBTjBRqBXrB2x?BCsB,v115@HhA8FeA8BeA8DeH8FeA8JeCBJvhFXiBTjBUlBerBlk?BRxB,v115@HhA8FeA8BeA8DeH8FeA8Jel/IvhF3gBTjBRqBmrBSw?B0sB,v115@HhA8FeA8BeA8DeH8FeA8Je0/IvhF2mBTjBRqB6qB3r?B1xB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFOlBTjBRmB8qB3r?B1xB,v115@HhA8FeA8BeA8DeH8FeA8Jex/IvhFmhBzkBCmBVwBct?B3sB,v115@HhA8FeA8BeA8DeH8FeA8Je6EJvhFOlBRmBzqBctBlr?B3sB
TIOLSJZ,X,O,O,X,X,O,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,O,X,X,O,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,O,X,O,X,X,X,X
TIOJSZL,X,X,X,O,X,O,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,X,O,X,X,X,X
TIOSLJZ,X,O,X,O,X,O,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,O,X,X,X,X
TIOSJZL,X,X,X,O,X,O,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,O,X,O,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,O,X,O,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,O,X,X,X,X
TLIJSZO,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,O,X,X,X,X
TLIJZSO,X,O,O,X,X,X,X,X,X,X
TLIJZOS,X,O,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,O,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,O,X,X
TLISJZO,X,O,O,X,X,X,X,X,X,X
TLISJOZ,X,O,O,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,X,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,O,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,O,X,X,X,X
TLIOJZS,X,O,O,X,X,X,X,O,X,X
TLIOSJZ,X,O,O,X,X,O,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X,X,X
TLJIZOS,X,O,O,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,O,X,X
TLJSIZO,X,O,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,X,X,X
TLJSZIO,X,O,O,X,X,X,X,X,X,X
TLJSZOI,X,O,O,X,X,X,X,X,X,X
TLJSOIZ,X,O,O,X,X,X,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,X,X,X,X,X
TLJZIOS,X,O,O,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,X,X,X,X,X
TLJZSOI,X,O,O,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X,O,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X,X,X
TLSIJZO,X,O,O,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,X,X,X,X,X,X,X
TLSJZIO,X,O,O,X,X,X,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,X,X,X,X,X
TLSJOZI,X,O,O,X,X,X,X,X,X,X
TLSZIJO,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,X,X,X,X,X
TLSZJIO,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,O,X,X,X,X,X,X,X
TLSOJZI,X,O,O,X,X,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,X,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X,X,X
TLZSIJO,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,X,X,O,X,X,X,X
TLOIJZS,X,O,O,X,X,X,X,O,X,O
TLOISJZ,X,O,O,X,X,O,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,X,X,O,X,O
TLOJSIZ,X,O,O,X,X,X,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X,X,X,O
TLOJZSI,X,O,O,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,O,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,X,X,X
TLOZISJ,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X,X,X
TJILSZO,X,O,O,X,X,X,X,X,X,X
TJILSOZ,X,O,O,X,X,O,X,X,X,X
TJILZSO,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,O,O,X,X,X,O,X,X,X
TJILOSZ,X,O,O,X,X,O,X,X,X,X
TJILOZS,X,O,O,X,X,X,O,O,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,O,X,X,X,X
TJISOLZ,X,X,X,X,X,O,X,X,X,X
TJISOZL,X,X,X,X,X,O,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,O,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,O,X,X,X,X
TJIZOLS,X,O,X,X,X,X,O,X,X,X
TJIZOSL,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,O,X,X,O,X,X,X,X
TJIOLZS,X,O,X,X,X,X,O,O,X,X
TJIOSLZ,X,X,X,X,X,O,X,X,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X,X
TJIOZLS,X,O,X,X,X,X,O,X,X,X
TJIOZSL,X,X,X,X,X,O,X,X,X,X
TJLISZO,X,O,O,X,X,X,X,X,X,X
TJLISOZ,X,O,O,X,X,X,X,X,X,X
TJLIZSO,X,O,O,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X,O,X,X
TJLSIZO,X,O,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,X,X,X
TJLSZIO,X,O,O,X,X,X,X,X,X,X
TJLSZOI,X,O,O,X,O,X,X,X,X,X
TJLSOIZ,X,O,O,X,X,X,X,X,X,X
TJLSOZI,X,O,O,X,O,X,X,X,X,X
TJLZISO,X,O,O,X,X,X,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X,X,X,X
TJLZSIO,X,O,O,X,X,X,X,X,X,X
TJLZSOI,X,O,O,X,O,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X,X,X,X,X
TJLZOSI,X,O,O,X,O,X,X,X,X,X
TJLOISZ,X,O,O,X,X,X,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X,O,X,X
TJLOSIZ,X,O,O,X,X,X,X,X,X,X
TJLOSZI,X,O,O,X,O,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X,X,X
TJLOZSI,X,O,O,X,O,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,X,X,X
TJSLZIO,X,X,O,X,X,X,X,X,X,X
TJSLZOI,X,X,O,X,O,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X,X,X,X,X
TJSLOZI,X,X,O,X,O,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,O,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,O,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,X,X,X
TJSOLZI,X,X,O,X,O,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,O,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X,X,X
TJZILOS,X,O,X,X,X,X,O,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,O,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X,X,X
TJZLISO,X,X,O,X,X,X,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X,X,X,X
TJZLSIO,X,O,O,X,X,X,X,X,X,X
TJZLSOI,X,O,O,X,O,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X,X,X,X,X
TJZLOSI,X,O,O,X,O,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,O,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,O,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,O,X,X,X
TJZOISL,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X,X,X,X,X
TJZOLSI,X,O,O,X,O,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,O,X,X,X,X,X
TJOILSZ,X,O,O,X,X,O,X,X,X,X
TJOILZS,X,O,X,X,X,X,O,O,X,X
TJOISLZ,X,X,X,X,X,O,X,X,X,X
TJOISZL,X,X,X,X,X,O,X,X,X,X
TJOIZLS,X,O,X,X,X,X,O,X,X,X
TJOIZSL,X,X,X,X,X,O,X,X,X,X
TJOLISZ,X,O,O,X,X,X,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,O,X,X
TJOLSIZ,X,O,O,X,X,X,X,X,X,X
TJOLSZI,X,O,O,X,O,X,X,X,X,X
TJOLZIS,X,O,X,X,X,X,X,X,X,X
TJOLZSI,X,O,O,X,O,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X,X,X
TJOSLZI,X,X,O,X,O,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,O,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,O,X,X,X
TJOZISL,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X,X,X
TJOZLSI,X,O,O,X,O,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,O,X,X,X,X,X
TSILJZO,X,O,X,X,O,X,X,X,X,X
TSILJOZ,X,O,X,X,O,O,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X,X,X
TSILOJZ,X,O,X,X,O,O,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,O,X,X,X,X,X
TSIJLOZ,X,X,X,X,O,O,X,X,X,X
TSIJZLO,X,X,X,X,O,X,X,X,X,X
TSIJZOL,X,X,X,X,O,O,X,X,X,X
TSIJOLZ,X,X,X,X,O,O,X,X,X,X
TSIJOZL,X,X,X,X,O,O,X,X,X,X
TSIZLJO,O,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X,X,X
TSIZJOL,O,X,X,X,X,O,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,O,X,X,X,X
TSIOLJZ,X,O,X,X,O,O,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,O,O,X,X,X,X
TSIOJZL,X,X,X,X,O,O,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,O,X,X,X,X
TSLIJZO,X,O,O,X,X,X,X,X,X,X
TSLIJOZ,X,O,O,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,X,X
TSLIOJZ,X,O,O,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X
TSLJIZO,X,O,O,X,X,X,X,X,X,X
TSLJIOZ,X,O,O,X,X,X,X,X,X,X
TSLJZIO,X,O,O,X,X,X,X,X,X,X
TSLJZOI,X,O,O,X,O,X,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,X,X,X,X
TSLJOZI,X,O,O,X,O,X,X,X,X,X
TSLZIJO,X,O,X,X,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,X,X,X,X,X,X
TSLZJIO,X,O,X,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,X,X
TSLOIJZ,X,O,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X
TSLOJIZ,X,O,O,X,X,X,X,X,X,X
TSLOJZI,X,O,O,X,O,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X,X,X,X
TSJLIZO,X,X,O,X,X,X,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,X,X,X,X
TSJLZIO,X,X,O,X,X,X,X,X,X,X
TSJLZOI,X,X,O,X,O,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X,X,X,X,X
TSJLOZI,X,X,O,X,O,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,X,X,X,X
TSJZLOI,X,X,X,X,O,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,O,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,X,X,X,X,X
TSJOLZI,X,X,O,X,O,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X,X,X,X
TSJOZLI,X,X,X,X,O,X,X,X,X,X
TSZILJO,X,X,X,X,X,X,X,X,X,X
TSZILOJ,X,O,X,X,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,X,O,X,X,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X,X,X,X,X
TSZLIJO,X,O,X,X,X,X,X,X,X,X
TSZLIOJ,X,O,X,X,X,X,X,X,X,X
TSZLJIO,X,O,X,X,X,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,X,X,X
TSZLOIJ,X,O,X,X,X,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X,X,X,X,X
TSZJIOL,X,X,X,X,X,X,X,X,X,X
TSZJLIO,X,X,X,X,X,X,X,X,X,X
TSZJLOI,O,X,X,X,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,X,X,X,X,X,X,X,X
TSZOILJ,X,O,X,X,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X,X,X,X,X
TSZOLIJ,X,O,X,X,X,X,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X,X,X,X,X
TSZOJLI,O,X,X,X,X,X,X,X,X,X
TSOILJZ,X,O,X,X,O,O,X,X,X,X
TSOILZJ,O,X,X,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,O,O,X,X,X,X
TSOIJZL,X,X,X,X,O,O,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,O,X,X,X,X
