sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
TLOZJSI,X,X,X,O
TLOZSIJ,X,X,X,O
TLOZSJI,X,X,X,O
TJILSZO,X,X,O,X
TJILSOZ,X,X,X,X
TJILZSO,X,O,O,X
TJILZOS,X,X,X,X
TJILOSZ,X,X,X,X
TJILOZS,X,X,X,X
TJISLZO,X,X,O,X
TJISLOZ,X,X,X,X
TJISZLO,X,X,X,X
TJISZOL,X,X,X,X
TJISOLZ,X,X,X,X
TJISOZL,X,X,X,X
TJIZLSO,X,O,O,X
TJIZLOS,X,X,X,X
TJIZSLO,X,X,O,X
TJIZSOL,X,X,X,X
TJIZOLS,X,X,X,X
TJIZOSL,X,X,X,X
TJIOLSZ,X,X,X,X
TJIOLZS,X,X,X,X
TJIOSLZ,X,X,X,X
TJIOSZL,X,X,X,X
TJIOZLS,X,X,X,X
TJIOZSL,X,X,X,X
TJLISZO,X,X,O,X
TJLISOZ,X,X,X,X
TJLIZSO,X,O,O,X
TJLIZOS,X,X,X,X
TJLIOSZ,X,X,X,X
TJLIOZS,X,X,X,X
TJLSIZO,X,O,O,X
TJLSIOZ,X,X,X,O
TJLSZIO,X,O,O,O
TJLSZOI,X,O,X,O
TJLSOIZ,X,X,X,O
TJLSOZI,X,X,X,O
TJLZISO,X,O,O,X
TJLZIOS,X,X,X,X
TJLZSIO,X,O,O,O
TJLZSOI,X,O,X,O
TJLZOIS,X,X,X,X
TJLZOSI,X,X,X,O
TJLOISZ,X,X,X,X
TJLOIZS,X,X,X,X
TJLOSIZ,X,X,X,O
TJLOSZI,X,X,X,O
TJLOZIS,X,X,X,X
TJLOZSI,X,X,X,O
TJSILZO,X,O,O,X
TJSILOZ,X,X,X,X
TJSIZLO,X,O,X,X
TJSIZOL,X,X,X,X
TJSIOLZ,X,X,X,O
TJSIOZL,X,X,X,O
TJSLIZO,X,O,O,X
TJSLIOZ,X,X,X,O
TJSLZIO,X,O,O,O
TJSLZOI,X,O,X,O
TJSLOIZ,X,X,X,O
TJSLOZI,X,X,X,O
TJSZILO,X,O,O,X
TJSZIOL,X,X,X,O
TJSZLIO,X,O,O,X
TJSZLOI,X,O,X,X
TJSZOIL,X,X,X,O
TJSZOLI,X,X,X,X
TJSOILZ,X,X,X,O
TJSOIZL,X,X,X,O
TJSOLIZ,X,X,X,O
TJSOLZI,X,X,X,O
TJSOZIL,X,X,X,O
TJSOZLI,X,X,X,X
TJZILSO,X,O,O,X
TJZILOS,X,X,X,X
TJZISLO,X,X,O,X
TJZISOL,X,X,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,O,O,X
TJZLIOS,X,X,X,X
TJZLSIO,X,O,O,X
TJZLSOI,X,O,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,O,O,X
