sequence,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFFiB6oBUlBz?nBXrBGrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeWFJvhFxgBVnB/rBT?oBCoB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8Jez/IvhFUhBFiBXjBS?tBxqBWwB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFxhBTjBlmBW?tBUrB6qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeGAJvhFxhB6oBUlBz?nBXrBlrB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeRAJvhFUiBFlB6rBX?oBGoBzqB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JeCAJvhFFiBTjBWtBx?qB/rB0qB,v115@9gA8IeA8IeB8DeA8CeC8CeD8JefFJvhFTjBRmBWtBC?nBUrBlqB
TJOLSZI,O,O,X,X,X,O,X,X
TJOLZIS,O,X,X,O,X,O,X,X
TJOLZSI,O,X,X,O,X,O,X,X
TJOSILZ,X,O,X,X,X,X,O,O
TJOSIZL,X,O,X,O,X,X,O,O
TJOSLIZ,X,O,X,X,X,O,X,X
TJOSLZI,O,O,X,X,X,O,X,X
TJOSZIL,O,O,X,O,X,X,X,O
TJOSZLI,O,O,X,O,X,X,X,X
TJOZILS,O,X,X,O,X,X,X,X
TJOZISL,X,O,X,O,X,X,O,O
TJOZLIS,O,X,X,O,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X
TJOZSIL,O,O,X,O,X,X,X,O
TJOZSLI,O,O,X,O,X,X,X,X
TSILJZO,X,X,O,X,X,O,X,X
TSILJOZ,X,O,O,X,X,X,X,X
TSILZJO,O,X,O,X,X,O,X,X
TSILZOJ,O,X,O,X,X,O,X,X
TSILOJZ,X,O,O,X,X,X,X,X
TSILOZJ,X,X,O,X,X,O,X,X
TSIJLZO,X,X,X,X,X,X,O,X
TSIJLOZ,X,O,X,X,X,X,O,X
TSIJZLO,X,X,X,O,X,X,O,X
TSIJZOL,X,O,X,O,X,X,O,X
TSIJOLZ,X,O,X,X,X,X,O,O
TSIJOZL,X,O,X,O,X,X,O,O
TSIZLJO,O,X,O,O,X,O,X,X
TSIZLOJ,O,X,O,X,X,O,X,X
TSIZJLO,O,X,X,O,X,X,X,X
TSIZJOL,O,O,X,O,X,X,X,X
TSIZOLJ,O,X,O,X,X,X,X,X
TSIZOJL,O,O,X,O,X,X,X,X
TSIOLJZ,X,O,O,X,X,O,X,X
TSIOLZJ,O,X,O,X,X,O,X,X
TSIOJLZ,X,O,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X
TSIOZLJ,O,X,O,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,X,X,O,X,X,O,X,X
TSLIJOZ,X,O,O,X,X,X,X,X
TSLIZJO,O,X,O,X,X,O,X,X
TSLIZOJ,O,X,O,X,X,O,X,X
TSLIOJZ,X,O,O,X,X,X,X,X
TSLIOZJ,X,X,O,X,X,O,X,X
TSLJIZO,X,X,O,X,X,O,X,X
TSLJIOZ,X,O,O,X,X,X,X,X
TSLJZIO,O,X,X,X,X,O,X,X
TSLJZOI,X,X,X,X,X,O,X,X
TSLJOIZ,X,O,O,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X,X,X
TSLZIJO,O,X,O,X,X,O,X,X
TSLZIOJ,O,X,O,X,X,O,X,X
TSLZJIO,O,X,X,X,X,O,X,X
TSLZJOI,X,X,X,X,X,O,X,X
TSLZOIJ,O,X,O,X,X,O,X,X
TSLZOJI,O,X,X,X,X,O,X,X
TSLOIJZ,X,O,O,X,X,O,X,X
TSLOIZJ,O,X,O,X,X,O,X,X
TSLOJIZ,X,O,O,X,X,O,X,X
TSLOJZI,O,O,X,X,X,O,X,X
TSLOZIJ,O,X,O,X,X,O,X,X
TSLOZJI,O,X,X,X,X,O,X,X
TSJILZO,X,X,X,X,X,X,O,X
TSJILOZ,X,O,X,X,X,X,O,X
TSJIZLO,X,X,X,O,X,X,O,X
TSJIZOL,X,O,X,O,X,X,O,X
TSJIOLZ,X,O,X,X,X,X,O,O
TSJIOZL,X,O,X,O,X,X,O,O
TSJLIZO,X,X,X,X,X,O,X,X
TSJLIOZ,X,O,X,X,X,X,X,X
TSJLZIO,O,X,X,X,X,O,X,X
TSJLZOI,X,X,X,X,X,O,X,X
TSJLOIZ,X,O,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X
TSJZILO,O,X,X,O,X,X,X,X
TSJZIOL,O,O,X,O,X,X,X,O
TSJZLIO,O,X,X,O,X,O,X,X
TSJZLOI,X,X,X,O,X,O,X,X
TSJZOIL,O,O,X,O,X,X,X,O
TSJZOLI,O,O,X,O,X,X,X,X
TSJOILZ,X,O,X,X,X,X,O,O
TSJOIZL,X,O,X,O,X,X,O,O
TSJOLIZ,X,O,X,X,X,O,X,X
TSJOLZI,O,O,X,X,X,O,X,X
TSJOZIL,O,O,X,O,X,X,X,O
TSJOZLI,O,O,X,O,X,X,X,X
TSZILJO,O,O,X,O,X,O,X,X
TSZILOJ,O,O,X,X,X,O,X,X
TSZIJLO,O,O,X,O,X,X,X,X
TSZIJOL,O,O,X,O,X,X,X,O
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,O,X,X,X,X
TSZLIJO,O,O,X,O,X,O,X,X
TSZLIOJ,O,O,X,X,X,O,X,X
TSZLJIO,O,O,X,O,X,O,X,X
TSZLJOI,X,O,X,O,X,O,X,X
TSZLOIJ,O,O,X,X,X,O,X,X
TSZLOJI,O,O,X,X,X,O,X,X
TSZJILO,O,O,X,O,X,X,X,X
TSZJIOL,O,O,X,O,X,X,X,O
TSZJLIO,O,O,X,O,X,O,X,X
TSZJLOI,X,O,X,O,X,O,X,X
TSZJOIL,O,O,X,O,O,X,X,O
TSZJOLI,O,O,X,O,O,X,X,X
TSZOILJ,O,O,X,X,O,X,X,X
TSZOIJL,O,O,X,O,O,X,X,X
TSZOLIJ,O,O,X,X,O,O,X,X
TSZOLJI,O,O,X,X,O,O,X,X
TSZOJIL,O,O,X,O,O,X,X,X
TSZOJLI,O,O,X,O,O,X,X,X
TSOILJZ,X,O,O,X,X,O,X,X
TSOILZJ,O,X,O,X,O,O,X,X
TSOIJLZ,X,O,X,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X
TSOIZLJ,O,X,O,X,O,X,X,X
TSOIZJL,O,O,X,X,O,X,X,X
TSOLIJZ,X,O,O,X,X,O,X,X
TSOLIZJ,O,X,O,X,O,O,X,X
TSOLJIZ,X,O,O,X,X,O,X,X
TSOLJZI,O,O,X,X,X,O,X,X
TSOLZIJ,O,X,O,X,O,O,X,X
TSOLZJI,O,X,X,X,O,O,X,X
TSOJILZ,X,O,X,X,X,X,X,X
TSOJIZL,X,O,X,X,X,X,X,X
TSOJLIZ,X,O,X,X,X,O,X,X
TSOJLZI,O,O,X,X,X,O,X,X
TSOJZIL,O,O,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,X
TSOZILJ,O,O,X,X,O,X,X,X
TSOZIJL,O,O,X,X,O,X,X,X
TSOZLIJ,O,O,X,X,O,O,X,X
TSOZLJI,O,O,X,X,O,O,X,X
TSOZJIL,O,O,X,X,O,X,X,X
TSOZJLI,O,O,X,X,O,X,X,X
TZILJSO,O,X,O,O,X,O,X,X
TZILJOS,O,X,O,O,X,X,X,X
TZILSJO,O,X,O,O,X,O,X,X
TZILSOJ,O,X,O,X,X,O,X,X
TZILOJS,O,X,O,X,X,X,X,X
TZILOSJ,O,X,O,X,X,O,X,X
TZIJLSO,O,X,O,O,X,X,X,X
TZIJLOS,O,X,O,O,X,X,X,X
TZIJSLO,X,O,X,O,X,X,O,X
TZIJSOL,X,O,X,O,X,X,O,O
TZIJOLS,O,X,O,O,X,X,X,X
TZIJOSL,X,O,X,O,X,X,O,O
TZISLJO,O,O,O,O,X,O,X,X
TZISLOJ,O,O,O,X,X,O,X,X
TZISJLO,O,O,X,O,X,X,X,X
TZISJOL,O,O,X,O,X,X,X,O
TZISOLJ,O,O,O,X,X,X,X,X
TZISOJL,O,O,X,O,X,X,X,X
TZIOLJS,O,X,O,X,X,X,X,X
TZIOLSJ,O,X,O,X,X,X,X,X
TZIOJLS,O,X,O,O,X,X,X,X
TZIOJSL,X,O,X,O,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X
TZIOSJL,O,O,X,O,X,X,X,X
TZLIJSO,O,X,O,O,X,O,X,X
TZLIJOS,O,X,O,O,X,X,X,X
TZLISJO,O,X,O,O,X,O,X,X
TZLISOJ,O,X,O,X,X,O,X,X
TZLIOJS,O,X,O,X,X,X,X,X
TZLIOSJ,O,X,O,X,X,O,X,X
TZLJISO,O,X,X,O,X,O,X,X
TZLJIOS,O,X,X,O,X,X,X,X
TZLJSIO,O,O,X,O,X,O,X,X
TZLJSOI,X,O,X,O,X,O,X,X
TZLJOIS,X,X,X,O,X,X,X,X
TZLJOSI,X,O,X,O,X,X,X,X
TZLSIJO,O,O,O,O,X,O,X,X
TZLSIOJ,O,O,O,X,X,O,X,X
TZLSJIO,O,O,X,O,X,O,X,X
TZLSJOI,X,O,X,O,X,O,X,X
TZLSOIJ,O,O,O,X,X,O,X,X
TZLSOJI,O,O,X,X,X,O,X,X
TZLOIJS,O,X,O,X,X,X,X,X
TZLOISJ,O,X,O,X,X,O,X,X
TZLOJIS,O,X,X,X,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X,X
TZLOSIJ,O,O,O,X,X,O,X,X
TZLOSJI,O,O,X,X,X,O,X,X
TZJILSO,O,X,X,O,X,X,X,X
TZJILOS,O,X,X,O,X,X,X,X
TZJISLO,X,O,X,O,X,X,O,X
TZJISOL,X,O,X,O,X,X,O,O
TZJIOLS,O,X,X,O,X,X,X,X
TZJIOSL,X,O,X,O,X,X,O,O
TZJLISO,O,X,X,O,X,O,X,X
TZJLIOS,O,X,X,O,X,X,X,X
TZJLSIO,O,O,X,O,X,O,X,X
TZJLSOI,X,O,X,O,X,O,X,X
TZJLOIS,X,X,X,O,X,X,X,X
TZJLOSI,X,O,X,O,X,X,X,X
TZJSILO,O,O,X,O,X,X,X,X
TZJSIOL,O,O,X,O,X,X,X,O
TZJSLIO,O,O,X,O,X,O,X,X
TZJSLOI,X,O,X,O,X,O,X,X
