sequence,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhF/mBRiBOpBi?nBlkBzsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpB6?sBlpBXsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoB0kB6?sBOpBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpBX?nBlkB6sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoBOpB6?sB0pBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeZEJvhFqkBTgB/mBF?iBmsB8sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBRiB1pBy?sBOpB0sB
ISJZTOL,X,X,X,O,X,X,X
ISJZLTO,O,X,X,X,X,O,X
ISJZLOT,O,O,O,O,O,O,X
ISJZOTL,X,X,X,O,X,X,X
ISJZOLT,O,O,O,O,O,X,X
ISJOTLZ,X,X,X,X,O,X,X
ISJOTZL,X,X,X,O,X,X,X
ISJOLTZ,O,X,X,X,O,O,X
ISJOLZT,O,O,O,O,O,O,X
ISJOZTL,X,X,X,O,X,X,X
ISJOZLT,O,O,O,O,O,X,X
ISZTLJO,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,X,X,X,X
ISZTJLO,X,X,X,X,X,X,X
ISZTJOL,X,X,X,O,X,X,X
ISZTOLJ,X,X,O,X,X,X,X
ISZTOJL,X,X,X,O,X,X,X
ISZLTJO,O,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,X,X
ISZLJTO,O,X,X,X,X,O,X
ISZLJOT,O,O,O,O,O,O,X
ISZLOTJ,X,X,O,X,X,X,X
ISZLOJT,O,O,O,O,O,O,X
ISZJTLO,X,X,X,X,X,X,X
ISZJTOL,X,X,X,O,X,X,X
ISZJLTO,O,X,X,X,X,O,X
ISZJLOT,O,O,O,O,O,O,X
ISZJOTL,X,X,X,O,X,X,X
ISZJOLT,O,O,O,O,O,X,X
ISZOTLJ,X,X,O,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X
ISZOLTJ,O,X,O,X,X,X,X
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,X,X,X,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,X,X,X,X,O,X,O
ISOTLZJ,X,X,O,X,X,X,O
ISOTJLZ,X,X,X,X,O,X,X
ISOTJZL,X,X,X,O,X,X,X
ISOTZLJ,X,X,O,X,X,X,X
ISOTZJL,X,X,X,O,X,X,X
ISOLTJZ,O,X,X,X,O,O,O
ISOLTZJ,O,X,O,X,X,X,O
ISOLJTZ,O,X,X,X,O,O,O
ISOLJZT,O,O,O,O,O,O,X
ISOLZTJ,O,X,O,X,X,X,O
ISOLZJT,O,O,O,O,O,O,X
ISOJTLZ,X,X,X,X,O,X,X
ISOJTZL,X,X,X,O,X,X,X
ISOJLTZ,O,X,X,X,O,O,X
ISOJLZT,O,O,O,O,O,O,X
ISOJZTL,X,X,X,O,X,X,X
ISOJZLT,O,O,O,O,O,X,X
ISOZTLJ,X,X,O,X,X,X,X
ISOZTJL,X,X,X,O,X,X,X
ISOZLTJ,O,X,O,X,X,X,X
ISOZLJT,O,O,O,O,O,X,X
ISOZJTL,X,X,X,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X
IZTLJSO,X,X,X,X,X,X,X
IZTLJOS,X,O,X,X,X,X,X
IZTLSJO,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,X
IZTJLSO,X,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X
IZTJSLO,X,X,X,X,X,X,X
IZTJSOL,X,X,X,O,X,X,X
IZTJOLS,X,O,X,X,X,X,X
IZTJOSL,X,X,X,O,X,X,X
IZTSLJO,X,X,X,X,X,X,X
IZTSLOJ,X,X,O,X,X,X,X
IZTSJLO,X,X,X,X,X,X,X
IZTSJOL,X,X,X,O,X,X,X
IZTSOLJ,X,X,O,X,X,X,X
IZTSOJL,X,X,X,O,X,X,X
IZTOLJS,X,O,X,X,X,X,X
IZTOLSJ,X,X,O,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X
IZTOJSL,X,X,X,O,X,X,X
IZTOSLJ,X,X,O,X,X,X,X
IZTOSJL,X,X,X,O,X,X,X
IZLTJSO,X,X,X,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X
IZLTSJO,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X
IZLTOSJ,X,X,O,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X
IZLJTOS,X,O,X,X,X,X,X
IZLJSTO,O,X,X,X,X,O,X
IZLJSOT,O,O,O,O,O,O,X
IZLJOTS,X,O,X,X,X,X,X
IZLJOST,X,O,O,O,O,O,X
IZLSTJO,O,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X
IZLSJTO,O,X,X,X,X,O,X
IZLSJOT,O,O,O,O,O,O,X
IZLSOTJ,X,X,O,X,X,X,X
IZLSOJT,O,O,O,O,O,O,X
IZLOTJS,X,O,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,X
IZLOJTS,X,O,X,X,X,X,X
IZLOJST,X,O,O,O,O,O,X
IZLOSTJ,X,X,O,X,X,X,X
IZLOSJT,X,O,O,O,O,O,X
IZJTLSO,X,X,X,X,X,X,X
IZJTLOS,X,O,X,X,X,X,X
IZJTSLO,X,X,X,X,X,X,X
IZJTSOL,X,X,X,O,X,X,X
IZJTOLS,X,O,X,X,X,X,X
IZJTOSL,X,X,X,O,X,X,X
IZJLTSO,X,X,X,X,X,X,X
IZJLTOS,X,O,X,X,X,X,X
IZJLSTO,O,X,X,X,X,O,X
IZJLSOT,O,O,O,O,O,O,X
IZJLOTS,X,O,X,X,X,X,X
IZJLOST,X,O,O,O,O,O,X
IZJSTLO,X,X,X,X,X,X,X
IZJSTOL,X,X,X,O,X,X,X
IZJSLTO,O,X,X,X,X,O,X
IZJSLOT,O,O,O,O,O,O,X
IZJSOTL,X,X,X,O,X,X,X
IZJSOLT,O,O,O,O,O,X,X
IZJOTLS,X,O,X,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X
IZJOLTS,X,O,X,X,X,X,X
IZJOLST,O,O,O,O,O,X,X
IZJOSTL,X,X,X,O,X,X,X
IZJOSLT,O,O,O,O,O,X,X
IZSTLJO,X,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,X,X
IZSTJLO,X,X,X,X,X,X,X
IZSTJOL,X,X,X,O,X,X,X
IZSTOLJ,X,X,O,X,X,X,X
IZSTOJL,X,X,X,O,X,X,X
IZSLTJO,O,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X
IZSLJTO,O,X,X,X,X,O,X
IZSLJOT,O,O,O,O,O,O,X
IZSLOTJ,X,X,O,X,X,X,X
IZSLOJT,O,O,O,O,O,O,X
IZSJTLO,X,X,X,X,X,X,X
IZSJTOL,X,X,X,O,X,X,X
IZSJLTO,O,X,X,X,X,O,X
IZSJLOT,O,O,O,O,O,O,X
IZSJOTL,X,X,X,O,X,X,X
IZSJOLT,O,O,O,O,O,X,X
IZSOTLJ,X,X,O,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X
IZSOLTJ,O,X,O,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X
IZSOJTL,X,X,X,O,X,X,X
IZSOJLT,O,O,O,O,O,X,X
IZOTLJS,X,O,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X
IZOTJSL,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,X,X,X,X
IZOTSJL,X,X,X,O,X,X,X
IZOLTJS,X,O,X,X,X,X,X
IZOLTSJ,X,X,O,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X
IZOLJST,O,O,O,O,O,X,X
IZOLSTJ,O,X,O,X,X,X,X
IZOLSJT,O,O,O,O,O,X,X
IZOJTLS,X,O,X,X,X,X,X
IZOJTSL,X,X,X,O,X,X,X
IZOJLTS,X,O,X,X,X,X,X
IZOJLST,O,O,O,O,O,X,X
IZOJSTL,X,X,X,O,X,X,X
IZOJSLT,O,O,O,O,O,X,X
IZOSTLJ,X,X,O,X,X,X,X
IZOSTJL,X,X,X,O,X,X,X
IZOSLTJ,O,X,O,X,X,X,X
IZOSLJT,O,O,O,O,O,X,X
IZOSJTL,X,X,X,O,X,X,X
IZOSJLT,O,O,O,O,O,X,X
IOTLJSZ,X,X,X,X,O,X,X
IOTLJZS,X,O,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,X,O
IOTLSZJ,X,X,O,X,X,X,O
IOTLZJS,X,O,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,O,X,X
IOTJLZS,X,O,X,X,X,X,X
IOTJSLZ,X,X,X,X,O,X,X
IOTJSZL,X,X,X,O,X,X,X
IOTJZLS,X,O,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,X
IOTSLJZ,X,X,X,X,O,X,O
IOTSLZJ,X,X,O,X,X,X,O
IOTSJLZ,X,X,X,X,O,X,X
IOTSJZL,X,X,X,O,X,X,X
IOTSZLJ,X,X,O,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X
IOTZLJS,X,O,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X
IOTZJSL,X,X,X,O,X,X,X
IOTZSLJ,X,X,O,X,X,X,X
IOTZSJL,X,X,X,O,X,X,X
IOLTJSZ,X,X,X,X,O,O,X
IOLTJZS,X,O,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,O,O
IOLTSZJ,X,X,O,X,X,X,O
IOLTZJS,X,O,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,O,O,X
IOLJTZS,X,O,X,X,X,X,X
IOLJSTZ,O,X,X,X,O,O,X
IOLJSZT,O,O,O,O,O,O,X
IOLJZTS,X,O,X,X,X,X,X
IOLJZST,O,O,O,O,O,O,X
IOLSTJZ,O,X,X,X,O,O,O
IOLSTZJ,O,X,O,X,X,X,O
IOLSJTZ,O,X,X,X,O,O,O
IOLSJZT,O,O,O,O,O,O,X
IOLSZTJ,O,X,O,X,X,X,O
IOLSZJT,O,O,O,O,O,O,X
IOLZTJS,X,O,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X
IOLZJTS,X,O,X,X,X,X,X
IOLZJST,O,O,O,O,O,O,X
IOLZSTJ,O,X,O,X,X,X,X
IOLZSJT,O,O,O,O,O,O,X
IOJTLSZ,X,X,X,X,O,X,X
IOJTLZS,X,O,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,X,X
IOJTSZL,X,X,X,O,X,X,X
IOJTZLS,X,O,X,X,X,X,X
IOJTZSL,X,X,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,O,X
IOJLTZS,X,O,X,X,X,X,X
IOJLSTZ,O,X,X,X,O,O,X
IOJLSZT,O,O,O,O,O,O,X
IOJLZTS,X,O,X,X,X,X,X
IOJLZST,O,O,O,O,O,O,X
IOJSTLZ,X,X,X,X,O,X,X
IOJSTZL,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,X,O,O,X
IOJSLZT,O,O,O,O,O,O,X
IOJSZTL,X,X,X,O,X,X,X
IOJSZLT,O,O,O,O,O,X,X
IOJZTLS,X,O,X,X,X,X,X
IOJZTSL,X,X,X,O,X,X,X
IOJZLTS,X,O,X,X,X,X,X
IOJZLST,O,O,O,O,O,X,X
IOJZSTL,X,X,X,O,X,X,X
IOJZSLT,O,O,O,O,O,X,X
IOSTLJZ,X,X,X,X,O,X,O
IOSTLZJ,X,X,O,X,X,X,O
IOSTJLZ,X,X,X,X,O,X,X
IOSTJZL,X,X,X,O,X,X,X
IOSTZLJ,X,X,O,X,X,X,X
IOSTZJL,X,X,X,O,X,X,X
IOSLTJZ,O,X,X,X,O,O,O
IOSLTZJ,O,X,O,X,X,X,O
IOSLJTZ,O,X,X,X,O,O,O
IOSLJZT,O,O,O,O,O,O,X
IOSLZTJ,O,X,O,X,X,X,O
IOSLZJT,O,O,O,O,O,O,X
IOSJTLZ,X,X,X,X,O,X,X
IOSJTZL,X,X,X,O,X,X,X
IOSJLTZ,O,X,X,X,O,O,X
IOSJLZT,O,O,O,O,O,O,X
IOSJZTL,X,X,X,O,X,X,X
IOSJZLT,O,O,O,O,O,X,X
IOSZTLJ,X,X,O,X,X,X,X
IOSZTJL,X,X,X,O,X,X,X
IOSZLTJ,O,X,O,X,X,X,X
IOSZLJT,O,O,O,O,O,X,X
IOSZJTL,X,X,X,O,X,X,X
IOSZJLT,O,O,O,O,O,X,X
IOZTLJS,X,O,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X
IOZTJSL,X,X,X,O,X,X,X
IOZTSLJ,X,X,O,X,X,X,X
IOZTSJL,X,X,X,O,X,X,X
IOZLTJS,X,O,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X
IOZLJTS,X,O,X,X,X,X,X
IOZLJST,O,O,O,O,O,X,X
IOZLSTJ,O,X,O,X,X,X,X
IOZLSJT,O,O,O,O,O,X,X
IOZJTLS,X,O,X,X,X,X,X
IOZJTSL,X,X,X,O,X,X,X
IOZJLTS,X,O,X,X,X,X,X
IOZJLST,O,O,O,O,O,X,X
IOZJSTL,X,X,X,O,X,X,X
IOZJSLT,O,O,O,O,O,X,X
IOZSTLJ,X,X,O,X,X,X,X
IOZSTJL,X,X,X,O,X,X,X
IOZSLTJ,O,X,O,X,X,X,X
IOZSLJT,O,O,O,O,O,X,X
IOZSJTL,X,X,X,O,X,X,X
IOZSJLT,O,O,O,O,O,X,X
LTIJSZO,X,X,X,X,X,O,X
LTIJSOZ,X,X,X,X,O,O,X
LTIJZSO,X,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X
LTIJOSZ,X,X,X,X,O,O,X
LTIJOZS,X,O,X,X,X,X,X
LTISJZO,X,X,X,X,X,O,O
LTISJOZ,X,X,X,X,O,O,O
LTISZJO,X,X,X,X,X,X,O
LTISZOJ,X,X,O,X,X,X,O
LTISOJZ,X,X,X,X,O,O,O
LTISOZJ,X,X,O,X,X,X,O
LTIZJSO,X,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X
LTIZSJO,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,X
LTIOJSZ,X,X,X,X,O,O,X
LTIOJZS,X,O,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,O,O
LTIOSZJ,X,X,O,X,X,X,O
LTIOZJS,X,O,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,X
LTJISZO,X,X,X,X,X,O,X
LTJISOZ,X,X,X,X,O,O,X
LTJIZSO,X,X,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,X,O,O,X
LTJIOZS,X,O,X,X,X,X,X
LTJSIZO,O,X,X,X,X,O,O
LTJSIOZ,X,X,X,X,O,O,O
LTJSZIO,O,X,X,X,X,X,O
LTJSZOI,O,X,X,X,X,X,O
LTJSOIZ,X,X,X,X,O,O,O
LTJSOZI,X,X,X,X,X,X,O
LTJZISO,X,X,X,X,X,X,X
LTJZIOS,X,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X
LTJZOIS,X,O,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,O,O,X
LTJOIZS,X,O,X,X,X,X,X
LTJOSIZ,X,X,X,X,O,O,O
LTJOSZI,X,X,X,X,X,X,O
LTJOZIS,X,O,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X
LTSIJZO,O,X,X,X,X,O,O
LTSIJOZ,X,X,X,X,O,O,O
LTSIZJO,O,X,X,X,X,X,O
LTSIZOJ,X,X,O,X,X,X,O
LTSIOJZ,X,X,X,X,O,O,O
LTSIOZJ,X,X,O,X,X,X,O
LTSJIZO,O,X,X,X,X,O,O
LTSJIOZ,X,X,X,X,O,O,O
LTSJZIO,O,X,X,X,X,X,O
LTSJZOI,O,X,X,X,X,X,O
LTSJOIZ,X,X,X,X,O,O,O
LTSJOZI,X,X,X,X,X,X,O
LTSZIJO,O,X,X,X,X,X,O
LTSZIOJ,X,X,O,X,X,X,O
LTSZJIO,O,X,X,X,X,X,O
LTSZJOI,O,X,X,X,X,X,O
LTSZOIJ,X,X,O,X,X,X,O
LTSZOJI,X,X,X,X,X,X,O
LTSOIJZ,X,X,X,X,O,O,O
LTSOIZJ,X,X,O,X,X,X,O
LTSOJIZ,X,X,X,X,O,O,O
LTSOJZI,X,X,X,X,X,X,O
LTSOZIJ,X,X,O,X,X,X,O
LTSOZJI,X,X,X,X,X,X,O
LTZIJSO,X,X,X,X,X,X,X
LTZIJOS,X,O,X,X,X,X,X
LTZISJO,X,X,X,X,X,X,X
LTZISOJ,X,X,O,X,X,X,X
LTZIOJS,X,O,X,X,X,X,X
LTZIOSJ,X,X,O,X,X,X,X
LTZJISO,X,X,X,X,X,X,X
LTZJIOS,X,O,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X,X
LTZJOIS,X,O,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X
LTZSIJO,O,X,X,X,X,X,O
LTZSIOJ,X,X,O,X,X,X,O
LTZSJIO,O,X,X,X,X,X,O
LTZSJOI,O,X,X,X,X,X,O
LTZSOIJ,X,X,O,X,X,X,O
LTZSOJI,X,X,X,X,X,X,O
LTZOIJS,X,O,X,X,X,X,X
LTZOISJ,X,X,O,X,X,X,X
LTZOJIS,X,O,X,X,X,X,X
LTZOJSI,X,X,X,X,X,X,X
LTZOSIJ,X,X,O,X,X,X,O
LTZOSJI,X,X,X,X,X,X,O
LTOIJSZ,X,X,X,X,O,O,X
LTOIJZS,X,O,X,X,X,X,X
LTOISJZ,X,X,X,X,O,O,O
LTOISZJ,X,X,O,X,X,X,O
LTOIZJS,X,O,X,X,X,X,X
LTOIZSJ,X,X,O,X,X,X,X
LTOJISZ,X,X,X,X,O,O,X
LTOJIZS,X,O,X,X,X,X,X
LTOJSIZ,X,X,X,X,O,O,O
LTOJSZI,X,X,X,X,X,X,O
LTOJZIS,X,O,X,X,X,X,X
LTOJZSI,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,X,O,O,O
LTOSIZJ,X,X,O,X,X,X,O
LTOSJIZ,X,X,X,X,O,O,O
LTOSJZI,X,X,X,X,X,X,O
LTOSZIJ,X,X,O,X,X,X,O
LTOSZJI,X,X,X,X,X,X,O
LTOZIJS,X,O,X,X,X,X,X
LTOZISJ,X,X,O,X,X,X,X
LTOZJIS,X,O,X,X,X,X,X
LTOZJSI,X,X,X,X,X,X,X
LTOZSIJ,X,X,O,X,X,X,O
LTOZSJI,X,X,X,X,X,X,O
LITJSZO,X,X,X,X,X,O,X
LITJSOZ,X,X,X,X,O,O,X
LITJZSO,X,X,X,X,X,X,X
LITJZOS,X,O,X,X,X,X,X
LITJOSZ,X,X,X,X,O,O,X
LITJOZS,X,O,X,X,X,X,X
LITSJZO,X,X,X,X,X,O,O
LITSJOZ,X,X,X,X,O,O,O
LITSZJO,X,X,X,X,X,X,O
LITSZOJ,X,X,O,X,X,X,O
LITSOJZ,X,X,X,X,O,O,O
LITSOZJ,X,X,O,X,X,X,O
LITZJSO,X,X,X,X,X,X,X
LITZJOS,X,O,X,X,X,X,X
LITZSJO,X,X,X,X,X,X,X
LITZSOJ,X,X,O,X,X,X,X
LITZOJS,X,O,X,X,X,X,X
LITZOSJ,X,X,O,X,X,X,X
LITOJSZ,X,X,X,X,O,O,X
LITOJZS,X,O,X,X,X,X,X
LITOSJZ,X,X,X,X,O,O,O
LITOSZJ,X,X,O,X,X,X,O
LITOZJS,X,O,X,X,X,X,X
LITOZSJ,X,X,O,X,X,X,X
LIJTSZO,X,X,X,X,X,O,X
LIJTSOZ,X,X,X,X,O,O,X
LIJTZSO,X,X,X,X,X,X,X
LIJTZOS,X,O,X,X,X,X,X
LIJTOSZ,X,X,X,X,O,O,X
LIJTOZS,X,O,X,X,X,X,X
LIJSTZO,O,X,X,X,X,O,X
LIJSTOZ,X,X,X,X,O,O,X
LIJSZTO,O,X,X,X,X,O,X
LIJSZOT,O,O,O,O,O,O,X
LIJSOTZ,X,X,X,X,O,O,X
LIJSOZT,O,O,O,O,O,O,X
LIJZTSO,X,X,X,X,X,X,X
LIJZTOS,X,O,X,X,X,X,X
LIJZSTO,O,X,X,X,X,O,X
LIJZSOT,O,O,O,O,O,O,X
LIJZOTS,X,O,X,X,X,X,X
LIJZOST,X,O,O,O,O,O,X
LIJOTSZ,X,X,X,X,O,O,X
LIJOTZS,X,O,X,X,X,X,X
LIJOSTZ,X,X,X,X,O,O,X
LIJOSZT,X,O,O,O,O,O,X
LIJOZTS,X,O,X,X,X,X,X
LIJOZST,X,O,O,O,O,O,X
LISTJZO,O,X,X,X,X,O,O
LISTJOZ,X,X,X,X,O,O,O
LISTZJO,O,X,X,X,X,X,O
LISTZOJ,X,X,O,X,X,X,O
LISTOJZ,X,X,X,X,O,O,O
LISTOZJ,X,X,O,X,X,X,O
LISJTZO,O,X,X,X,X,O,O
LISJTOZ,X,X,X,X,O,O,O
LISJZTO,O,X,X,X,X,O,X
LISJZOT,O,O,O,O,O,O,X
LISJOTZ,X,X,X,X,O,O,O
LISJOZT,O,O,O,O,O,O,X
LISZTJO,O,X,X,X,X,X,O
LISZTOJ,X,X,O,X,X,X,O
LISZJTO,O,X,X,X,X,O,X
LISZJOT,O,O,O,O,O,O,X
LISZOTJ,X,X,O,X,X,X,O
LISZOJT,O,O,O,O,O,O,X
LISOTJZ,X,X,X,X,O,O,O
LISOTZJ,X,X,O,X,X,X,O
LISOJTZ,X,X,X,X,O,O,O
LISOJZT,O,O,O,O,O,O,X
LISOZTJ,X,X,O,X,X,X,O
LISOZJT,O,O,O,O,O,O,X
LIZTJSO,X,X,X,X,X,X,X
LIZTJOS,X,O,X,X,X,X,X
LIZTSJO,X,X,X,X,X,X,X
LIZTSOJ,X,X,O,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X
LIZTOSJ,X,X,O,X,X,X,X
LIZJTSO,X,X,X,X,X,X,X
LIZJTOS,X,O,X,X,X,X,X
LIZJSTO,O,X,X,X,X,O,X
LIZJSOT,O,O,O,O,O,O,X
LIZJOTS,X,O,X,X,X,X,X
LIZJOST,X,O,O,O,O,O,X
LIZSTJO,O,X,X,X,X,X,X
LIZSTOJ,X,X,O,X,X,X,X
LIZSJTO,O,X,X,X,X,O,X
LIZSJOT,O,O,O,O,O,O,X
LIZSOTJ,X,X,O,X,X,X,X
LIZSOJT,O,O,O,O,O,O,X
LIZOTJS,X,O,X,X,X,X,X
LIZOTSJ,X,X,O,X,X,X,X
LIZOJTS,X,O,X,X,X,X,X
LIZOJST,X,O,O,O,O,O,X
LIZOSTJ,X,X,O,X,X,X,X
LIZOSJT,X,O,O,O,O,O,X
LIOTJSZ,X,X,X,X,O,O,X
LIOTJZS,X,O,X,X,X,X,X
LIOTSJZ,X,X,X,X,O,O,O
LIOTSZJ,X,X,O,X,X,X,O
LIOTZJS,X,O,X,X,X,X,X
LIOTZSJ,X,X,O,X,X,X,X
LIOJTSZ,X,X,X,X,O,O,X
LIOJTZS,X,O,X,X,X,X,X
LIOJSTZ,X,X,X,X,O,O,X
LIOJSZT,X,O,O,O,O,O,X
LIOJZTS,X,O,X,X,X,X,X
LIOJZST,X,O,O,O,O,O,X
LIOSTJZ,X,X,X,X,O,O,O
LIOSTZJ,X,X,O,X,X,X,O
LIOSJTZ,X,X,X,X,O,O,O
LIOSJZT,X,O,O,O,O,O,X
LIOSZTJ,X,X,O,X,X,X,O
LIOSZJT,X,O,O,O,O,O,X
LIOZTJS,X,O,X,X,X,X,X
LIOZTSJ,X,X,O,X,X,X,X
LIOZJTS,X,O,X,X,X,X,X
LIOZJST,X,O,O,O,O,O,X
LIOZSTJ,X,X,O,X,X,X,X
LIOZSJT,X,O,O,O,O,O,X
LJTISZO,X,X,X,X,X,O,X
LJTISOZ,X,X,X,X,O,O,X
LJTIZSO,X,X,X,X,X,X,X
LJTIZOS,X,O,X,X,X,X,X
LJTIOSZ,X,X,X,X,O,O,X
LJTIOZS,X,O,X,X,X,X,X
LJTSIZO,O,X,X,X,X,O,O
LJTSIOZ,X,X,X,X,O,O,O
LJTSZIO,O,X,X,X,X,X,O
LJTSZOI,O,X,X,X,X,X,O
LJTSOIZ,X,X,X,X,O,O,O
LJTSOZI,X,X,X,X,X,X,O
LJTZISO,X,X,X,X,X,X,X
LJTZIOS,X,O,X,X,X,X,X
LJTZSIO,O,X,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X,X
LJTZOIS,X,O,X,X,X,X,X
LJTZOSI,X,X,X,X,X,X,X
LJTOISZ,X,X,X,X,O,O,X
LJTOIZS,X,O,X,X,X,X,X
LJTOSIZ,X,X,X,X,O,O,O
LJTOSZI,X,X,X,X,X,X,O
LJTOZIS,X,O,X,X,X,X,X
LJTOZSI,X,X,X,X,X,X,X
LJITSZO,X,X,X,X,X,O,X
LJITSOZ,X,X,X,X,O,O,X
LJITZSO,X,X,X,X,X,X,X
LJITZOS,X,O,X,X,X,X,X
LJITOSZ,X,X,X,X,O,O,X
LJITOZS,X,O,X,X,X,X,X
LJISTZO,O,X,X,X,X,O,X
LJISTOZ,X,X,X,X,O,O,X
LJISZTO,O,X,X,X,X,O,X
LJISZOT,O,O,O,O,O,O,X
LJISOTZ,X,X,X,X,O,O,X
LJISOZT,O,O,O,O,O,O,X
LJIZTSO,X,X,X,X,X,X,X
LJIZTOS,X,O,X,X,X,X,X
LJIZSTO,O,X,X,X,X,O,X
LJIZSOT,O,O,O,O,O,O,X
LJIZOTS,X,O,X,X,X,X,X
LJIZOST,X,O,O,O,O,O,X
LJIOTSZ,X,X,X,X,O,O,X
LJIOTZS,X,O,X,X,X,X,X
LJIOSTZ,X,X,X,X,O,O,X
LJIOSZT,X,O,O,O,O,O,X
LJIOZTS,X,O,X,X,X,X,X
LJIOZST,X,O,O,O,O,O,X
LJSTIZO,O,X,X,X,X,O,O
LJSTIOZ,X,X,X,X,O,O,O
LJSTZIO,O,X,X,X,X,X,O
LJSTZOI,O,X,X,X,X,X,O
LJSTOIZ,X,X,X,X,O,O,O
LJSTOZI,X,X,X,X,X,X,O
LJSITZO,O,X,X,X,X,O,O
LJSITOZ,X,X,X,X,O,O,O
LJSIZTO,O,X,X,X,X,O,X
LJSIZOT,O,O,O,O,O,O,X
LJSIOTZ,X,X,X,X,O,O,O
LJSIOZT,O,O,O,O,O,O,X
LJSZTIO,O,X,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X
LJSZITO,O,X,X,X,X,O,X
LJSZIOT,O,O,O,O,O,O,X
LJSZOTI,O,X,X,X,X,X,X
LJSZOIT,O,O,O,O,O,O,X
LJSOTIZ,O,X,X,X,O,O,O
LJSOTZI,O,X,X,X,X,X,O
LJSOITZ,O,X,X,X,O,O,O
LJSOIZT,O,O,O,O,O,O,X
LJSOZTI,O,X,X,X,X,X,X
LJSOZIT,O,O,O,O,O,O,X
LJZTISO,X,X,X,X,X,X,X
LJZTIOS,X,O,X,X,X,X,X
LJZTSIO,O,X,X,X,X,X,X
