sequence,v115@EhC8IeA8CeA8EeE8DeB8Jex/IvhFlhBTkBilBXnB8s?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gBUiB2pBTmBys?BxwB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gB2pBxmB8sBas?BTrB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBxmB8sBzm?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhFRhB1pBmlBznBUs?B3rB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBTmBmnBUn?BxwB,v115@EhC8IeA8CeA8EeE8DeB8JeT/IvhFxgB2nBypB1rB3s?BUrB
TLISZOJ,O,X,X,O,X,O,X
TLISOJZ,O,X,X,X,X,O,X
TLISOZJ,O,X,X,X,X,O,X
TLIZJSO,O,X,X,O,X,X,X
TLIZJOS,O,X,X,O,X,O,X
TLIZSJO,O,X,X,O,X,X,X
TLIZSOJ,O,X,X,O,X,O,X
TLIZOJS,O,X,X,X,X,O,X
TLIZOSJ,O,X,X,O,X,O,X
TLIOJSZ,O,X,X,X,O,O,X
TLIOJZS,O,X,X,X,O,O,X
TLIOSJZ,O,X,X,X,X,O,X
TLIOSZJ,O,X,X,X,X,O,X
TLIOZJS,O,X,X,X,X,O,X
TLIOZSJ,O,X,X,X,X,O,X
TLJISZO,O,O,X,O,O,X,X
TLJISOZ,O,O,X,X,O,O,X
TLJIZSO,O,O,X,O,O,X,X
TLJIZOS,O,O,X,O,O,O,X
TLJIOSZ,O,O,X,X,O,O,X
TLJIOZS,O,O,X,X,O,O,X
TLJSIZO,O,O,X,O,O,X,X
TLJSIOZ,O,O,X,X,O,O,X
TLJSZIO,X,O,X,O,O,X,X
TLJSZOI,X,O,X,O,X,X,X
TLJSOIZ,O,X,X,X,O,X,X
TLJSOZI,X,O,X,O,O,X,X
TLJZISO,O,O,X,O,O,X,X
TLJZIOS,O,O,X,O,O,O,X
TLJZSIO,O,O,X,O,O,X,X
TLJZSOI,O,O,X,O,X,X,X
TLJZOIS,O,O,X,O,O,X,X
TLJZOSI,O,O,X,O,O,X,X
TLJOISZ,O,O,X,X,O,O,X
TLJOIZS,O,O,X,X,O,O,X
TLJOSIZ,O,X,X,X,O,X,X
TLJOSZI,X,O,X,O,O,X,X
TLJOZIS,O,O,X,O,O,X,X
TLJOZSI,O,O,X,O,O,X,X
TLSIJZO,O,X,X,O,X,X,O
TLSIJOZ,O,X,X,X,X,O,O
TLSIZJO,O,O,X,O,X,X,O
TLSIZOJ,O,O,X,O,X,O,O
TLSIOJZ,O,X,X,X,X,O,O
TLSIOZJ,O,X,X,X,X,O,O
TLSJIZO,X,O,X,O,O,X,O
TLSJIOZ,X,X,X,X,O,O,O
TLSJZIO,X,O,X,O,O,X,O
TLSJZOI,X,O,X,O,X,X,O
TLSJOIZ,X,X,X,X,O,X,O
TLSJOZI,X,O,X,O,O,X,O
TLSZIJO,X,O,X,O,X,X,O
TLSZIOJ,X,O,X,O,X,O,O
TLSZJIO,X,O,X,O,X,X,O
TLSZJOI,X,O,X,O,X,X,O
TLSZOIJ,X,O,X,O,X,X,O
TLSZOJI,X,O,X,O,X,X,O
TLSOIJZ,O,X,X,X,X,O,O
TLSOIZJ,O,X,X,X,X,O,O
TLSOJIZ,X,X,X,X,O,X,O
TLSOJZI,X,X,X,O,O,X,O
TLSOZIJ,X,O,X,O,X,X,O
TLSOZJI,X,O,X,O,X,X,O
TLZIJSO,O,X,X,O,X,X,X
TLZIJOS,O,X,X,O,X,O,X
TLZISJO,O,X,X,O,X,X,X
TLZISOJ,O,X,X,O,X,O,X
TLZIOJS,O,X,X,X,X,O,X
TLZIOSJ,O,X,X,O,X,O,X
TLZJISO,O,O,X,O,O,X,X
TLZJIOS,O,O,X,O,O,O,X
TLZJSIO,O,O,X,O,O,X,X
TLZJSOI,O,O,X,O,X,X,X
TLZJOIS,O,O,X,O,O,X,X
TLZJOSI,O,O,X,O,O,X,X
TLZSIJO,O,O,X,O,X,X,X
TLZSIOJ,O,O,X,O,X,O,X
TLZSJIO,O,O,X,O,X,X,X
TLZSJOI,O,O,X,O,X,X,X
TLZSOIJ,O,O,X,O,X,X,X
TLZSOJI,O,O,X,O,X,X,X
TLZOIJS,O,X,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X,X
TLZOJIS,O,X,X,O,O,X,X
TLZOJSI,O,X,X,O,O,X,X
TLZOSIJ,O,X,X,O,X,X,X
TLZOSJI,O,X,X,O,X,X,X
TLOIJSZ,O,X,X,X,O,O,X
TLOIJZS,O,X,X,X,O,O,X
TLOISJZ,O,X,X,X,X,O,X
TLOISZJ,O,X,X,X,X,O,X
TLOIZJS,O,X,X,X,X,O,X
TLOIZSJ,O,X,X,X,X,O,X
TLOJISZ,O,X,X,X,O,O,X
TLOJIZS,O,X,X,X,O,O,X
TLOJSIZ,O,X,X,X,O,X,X
TLOJSZI,X,X,X,O,O,X,X
TLOJZIS,O,X,X,O,O,X,X
TLOJZSI,O,X,X,O,O,X,X
TLOSIJZ,O,X,X,X,X,O,O
TLOSIZJ,O,X,X,X,X,O,O
TLOSJIZ,X,X,X,X,O,X,O
TLOSJZI,X,X,X,O,O,X,O
TLOSZIJ,X,X,X,O,X,X,O
TLOSZJI,X,X,X,O,X,X,O
TLOZIJS,O,X,X,X,X,X,X
TLOZISJ,O,X,X,O,X,X,X
TLOZJIS,O,X,X,O,O,X,X
TLOZJSI,O,X,X,O,O,X,X
TLOZSIJ,O,X,X,O,X,X,X
TLOZSJI,O,X,X,O,X,X,X
TJILSZO,X,O,X,O,O,X,X
TJILSOZ,X,O,X,X,O,O,X
TJILZSO,X,O,X,O,O,X,X
TJILZOS,X,O,X,O,O,O,X
TJILOSZ,X,O,X,X,O,O,X
TJILOZS,X,O,X,X,O,O,X
TJISLZO,X,O,X,O,O,X,X
TJISLOZ,X,O,X,X,O,O,X
TJISZLO,X,O,O,O,X,X,X
TJISZOL,X,O,O,O,X,X,X
TJISOLZ,X,O,X,X,X,O,X
TJISOZL,X,O,O,X,X,O,X
TJIZLSO,X,O,O,O,O,X,X
TJIZLOS,X,O,X,O,O,O,X
TJIZSLO,X,O,O,O,O,X,X
TJIZSOL,X,O,O,O,X,X,X
TJIZOLS,X,O,O,O,O,O,X
TJIZOSL,X,O,O,O,X,O,X
TJIOLSZ,X,O,X,X,O,O,X
TJIOLZS,X,O,X,X,O,O,X
TJIOSLZ,X,O,X,X,O,O,X
TJIOSZL,X,O,O,X,X,O,X
TJIOZLS,X,O,O,X,O,O,X
TJIOZSL,X,O,O,X,O,O,X
TJLISZO,O,O,X,O,O,X,X
TJLISOZ,O,O,X,X,O,O,X
TJLIZSO,O,O,X,O,O,X,X
TJLIZOS,O,O,X,O,O,O,X
TJLIOSZ,O,O,X,X,O,O,X
TJLIOZS,O,O,X,X,O,O,X
TJLSIZO,O,O,X,O,O,X,X
TJLSIOZ,O,O,X,X,O,O,X
TJLSZIO,X,O,O,O,O,X,X
TJLSZOI,X,O,O,O,X,X,X
TJLSOIZ,O,X,X,X,O,X,X
TJLSOZI,X,O,O,O,O,X,X
TJLZISO,O,O,O,O,O,X,X
TJLZIOS,O,O,X,O,O,O,X
TJLZSIO,O,O,O,O,O,X,X
TJLZSOI,O,O,O,O,X,X,X
TJLZOIS,O,O,O,O,O,X,X
TJLZOSI,O,O,O,O,O,X,X
TJLOISZ,O,O,X,X,O,O,X
TJLOIZS,O,O,X,X,O,O,X
TJLOSIZ,O,X,X,X,O,X,X
TJLOSZI,X,O,O,O,O,X,X
TJLOZIS,O,O,O,O,O,X,X
TJLOZSI,O,O,O,O,O,X,X
TJSILZO,X,O,X,O,O,X,X
TJSILOZ,X,O,X,X,O,O,X
TJSIZLO,X,O,O,O,X,X,X
TJSIZOL,X,O,O,O,X,X,X
TJSIOLZ,X,O,X,X,X,O,X
TJSIOZL,X,O,O,X,X,O,X
TJSLIZO,X,O,X,O,O,X,X
TJSLIOZ,X,O,X,X,O,O,X
TJSLZIO,X,O,O,O,O,X,X
TJSLZOI,X,O,O,O,X,X,X
TJSLOIZ,X,X,X,X,O,X,X
TJSLOZI,X,O,O,O,O,X,X
TJSZILO,X,O,O,O,O,X,X
TJSZIOL,X,O,O,O,X,X,X
TJSZLIO,X,O,O,O,O,X,X
TJSZLOI,X,O,O,O,X,X,X
TJSZOIL,X,X,O,O,X,X,X
TJSZOLI,X,X,O,O,X,X,X
TJSOILZ,X,O,X,X,O,X,X
TJSOIZL,X,O,O,X,X,X,X
TJSOLIZ,X,X,X,X,O,X,X
TJSOLZI,X,O,O,O,O,X,X
TJSOZIL,X,X,O,O,O,X,X
TJSOZLI,X,X,O,O,O,X,X
TJZILSO,X,O,O,O,O,X,X
TJZILOS,X,O,X,O,O,O,X
TJZISLO,X,O,O,O,O,X,X
TJZISOL,X,O,O,O,X,X,X
TJZIOLS,X,O,O,O,O,O,X
TJZIOSL,X,O,O,O,X,O,X
TJZLISO,O,O,O,O,O,X,X
TJZLIOS,O,O,X,O,O,O,X
TJZLSIO,O,O,O,O,O,X,X
TJZLSOI,O,O,O,O,X,X,X
TJZLOIS,O,O,O,O,O,X,X
TJZLOSI,O,O,O,O,O,X,X
TJZSILO,O,O,O,O,O,X,X
TJZSIOL,O,O,O,O,X,X,X
TJZSLIO,O,O,O,O,O,X,X
TJZSLOI,O,O,O,O,X,X,X
TJZSOIL,O,X,O,O,X,X,X
TJZSOLI,O,X,O,O,X,X,X
TJZOILS,O,X,O,O,O,X,X
TJZOISL,O,X,O,O,O,X,X
TJZOLIS,O,X,O,O,O,X,X
TJZOLSI,O,X,O,O,O,X,X
TJZOSIL,O,X,O,O,O,X,X
TJZOSLI,O,X,O,O,O,X,X
TJOILSZ,O,O,X,X,O,O,X
TJOILZS,O,O,X,X,O,O,X
TJOISLZ,X,O,X,X,O,O,X
TJOISZL,X,O,O,X,X,O,X
TJOIZLS,O,O,O,X,O,O,X
TJOIZSL,O,O,O,X,O,O,X
TJOLISZ,O,O,X,X,O,O,X
TJOLIZS,O,O,X,X,O,O,X
TJOLSIZ,O,X,X,X,O,X,X
TJOLSZI,X,O,O,O,O,X,X
TJOLZIS,O,O,O,O,O,X,X
TJOLZSI,O,O,O,O,O,X,X
TJOSILZ,X,O,X,X,O,X,X
TJOSIZL,X,O,O,X,X,X,X
TJOSLIZ,X,X,X,X,O,X,X
TJOSLZI,X,O,O,O,O,X,X
TJOSZIL,X,X,O,O,O,X,X
TJOSZLI,X,X,O,O,O,X,X
TJOZILS,O,X,O,O,O,X,X
TJOZISL,O,X,O,O,O,X,X
TJOZLIS,O,X,O,O,O,X,X
TJOZLSI,O,X,O,O,O,X,X
TJOZSIL,O,X,O,O,O,X,X
TJOZSLI,O,X,O,O,O,X,X
TSILJZO,X,O,X,O,X,X,O
TSILJOZ,X,O,X,X,X,O,O
TSILZJO,X,O,X,O,X,X,O
TSILZOJ,X,O,X,O,X,O,O
TSILOJZ,X,O,X,X,X,O,O
TSILOZJ,X,O,X,X,X,O,O
TSIJLZO,X,O,X,O,X,X,O
TSIJLOZ,X,O,X,X,X,O,O
TSIJZLO,X,O,X,O,X,X,O
TSIJZOL,X,O,X,O,X,X,X
TSIJOLZ,X,O,X,X,X,O,O
TSIJOZL,X,O,X,X,X,O,X
TSIZLJO,X,O,X,O,X,X,O
TSIZLOJ,X,O,X,O,X,O,O
TSIZJLO,X,X,X,O,X,X,O
TSIZJOL,X,X,X,O,X,X,X
TSIZOLJ,X,O,X,O,X,O,X
TSIZOJL,X,O,X,X,X,O,X
TSIOLJZ,X,O,X,X,X,O,O
TSIOLZJ,X,O,X,X,X,O,O
TSIOJLZ,X,O,X,X,X,O,O
TSIOJZL,X,O,X,X,X,O,X
TSIOZLJ,X,O,X,X,X,O,X
TSIOZJL,X,O,X,X,X,O,X
TSLIJZO,X,O,X,O,X,X,O
TSLIJOZ,X,X,X,X,X,O,O
TSLIZJO,X,O,X,O,X,X,O
TSLIZOJ,X,O,X,O,X,O,O
TSLIOJZ,X,O,X,X,X,O,O
TSLIOZJ,X,O,X,X,X,O,O
TSLJIZO,X,O,X,O,O,X,O
TSLJIOZ,X,X,X,X,O,O,O
TSLJZIO,X,O,X,O,O,X,O
TSLJZOI,X,O,X,O,X,X,O
TSLJOIZ,X,X,X,X,O,X,O
TSLJOZI,X,O,X,O,O,X,O
TSLZIJO,X,O,X,O,X,X,O
TSLZIOJ,X,O,X,O,X,O,O
TSLZJIO,X,O,X,O,X,X,O
TSLZJOI,X,O,X,O,X,X,O
TSLZOIJ,X,O,X,O,X,X,O
TSLZOJI,X,O,X,O,X,X,O
TSLOIJZ,X,X,X,X,X,O,O
TSLOIZJ,X,X,X,X,X,O,O
TSLOJIZ,X,X,X,X,O,X,O
TSLOJZI,X,X,X,O,O,X,O
TSLOZIJ,X,O,X,O,X,X,O
TSLOZJI,X,O,X,O,X,X,O
TSJILZO,X,O,X,O,O,X,O
TSJILOZ,X,O,X,X,O,O,O
TSJIZLO,X,O,O,O,X,X,O
TSJIZOL,X,O,O,O,X,X,X
TSJIOLZ,X,O,X,X,X,O,O
TSJIOZL,X,O,O,X,X,O,X
TSJLIZO,X,O,X,O,O,X,O
TSJLIOZ,X,O,X,X,O,O,O
TSJLZIO,X,O,O,O,O,X,O
TSJLZOI,X,O,O,O,X,X,O
TSJLOIZ,X,X,X,X,O,X,O
TSJLOZI,X,O,O,O,O,X,O
TSJZILO,X,O,O,O,O,X,O
TSJZIOL,X,O,O,O,X,X,X
TSJZLIO,X,O,O,O,O,X,O
TSJZLOI,X,O,O,O,X,X,O
TSJZOIL,X,X,O,O,X,X,X
TSJZOLI,X,X,O,O,X,X,X
TSJOILZ,X,O,X,X,O,X,O
TSJOIZL,X,O,O,X,X,X,X
TSJOLIZ,X,X,X,X,O,X,O
TSJOLZI,X,O,O,O,O,X,O
TSJOZIL,X,X,O,O,O,X,X
TSJOZLI,X,X,O,O,O,X,X
TSZILJO,X,O,X,O,X,X,O
TSZILOJ,X,O,X,O,X,O,O
TSZIJLO,X,X,O,O,X,X,O
TSZIJOL,X,X,O,O,X,X,X
TSZIOLJ,X,O,X,O,X,O,X
TSZIOJL,X,O,X,X,X,O,X
TSZLIJO,X,O,X,O,X,X,O
TSZLIOJ,X,O,X,O,X,O,O
TSZLJIO,X,O,X,O,X,X,O
TSZLJOI,X,O,X,O,X,X,O
TSZLOIJ,X,O,X,O,X,X,O
TSZLOJI,X,O,X,O,X,X,O
TSZJILO,X,X,O,O,O,X,O
TSZJIOL,X,X,O,O,X,X,X
TSZJLIO,X,X,O,O,O,X,O
TSZJLOI,X,X,O,O,X,X,O
TSZJOIL,X,X,O,O,X,X,X
TSZJOLI,X,X,O,O,X,X,X
TSZOILJ,X,X,X,O,X,X,X
TSZOIJL,X,X,O,X,X,X,X
TSZOLIJ,X,X,X,O,X,X,X
TSZOLJI,X,X,X,O,X,X,X
TSZOJIL,X,X,O,O,X,X,X
TSZOJLI,X,X,O,O,X,X,X
TSOILJZ,X,O,X,X,X,O,O
TSOILZJ,X,O,X,X,X,O,O
TSOIJLZ,X,O,X,X,X,O,O
TSOIJZL,X,O,X,X,X,O,X
TSOIZLJ,X,O,X,X,X,O,X
TSOIZJL,X,O,X,X,X,O,X
TSOLIJZ,X,X,X,X,X,O,O
TSOLIZJ,X,X,X,X,X,O,O
TSOLJIZ,X,X,X,X,O,X,O
TSOLJZI,X,X,X,O,O,X,O
TSOLZIJ,X,O,X,O,X,X,O
TSOLZJI,X,O,X,O,X,X,O
TSOJILZ,X,X,X,X,O,X,O
TSOJIZL,X,X,O,X,X,X,X
TSOJLIZ,X,X,X,X,O,X,O
TSOJLZI,X,X,O,O,O,X,O
TSOJZIL,X,X,O,O,O,X,X
TSOJZLI,X,X,O,O,O,X,X
TSOZILJ,X,X,X,O,X,X,X
TSOZIJL,X,X,O,X,X,X,X
TSOZLIJ,X,X,X,O,X,X,X
TSOZLJI,X,X,X,O,X,X,X
TSOZJIL,X,X,O,O,O,X,X
TSOZJLI,X,X,O,O,O,X,X
TZILJSO,X,X,X,O,X,X,X
TZILJOS,X,X,X,O,X,O,X
TZILSJO,X,X,X,O,X,X,X
TZILSOJ,X,X,X,O,X,O,X
TZILOJS,X,X,X,X,X,O,X
TZILOSJ,X,X,X,O,X,O,X
TZIJLSO,X,X,O,O,O,X,X
TZIJLOS,X,X,X,O,O,O,X
TZIJSLO,X,X,O,O,O,X,X
TZIJSOL,X,X,O,O,X,X,X
TZIJOLS,X,X,X,O,O,O,X
TZIJOSL,X,X,O,O,X,O,X
TZISLJO,X,X,X,O,X,X,X
TZISLOJ,X,X,X,O,X,O,X
TZISJLO,X,X,O,O,X,X,X
TZISJOL,X,X,O,O,X,X,X
TZISOLJ,X,X,X,O,X,O,X
TZISOJL,X,X,X,X,X,O,X
TZIOLJS,X,X,X,X,X,O,X
TZIOLSJ,X,X,X,O,X,O,X
TZIOJLS,X,X,X,X,X,O,X
TZIOJSL,X,X,X,X,X,O,X
TZIOSLJ,X,X,X,O,X,O,X
TZIOSJL,X,X,X,X,X,O,X
TZLIJSO,O,X,X,O,X,X,X
TZLIJOS,O,X,X,O,X,O,X
TZLISJO,O,X,X,O,X,X,X
TZLISOJ,O,X,X,O,X,O,X
TZLIOJS,O,X,X,X,X,O,X
TZLIOSJ,O,X,X,O,X,O,X
TZLJISO,O,X,X,O,O,X,X
TZLJIOS,O,X,X,O,O,O,X
TZLJSIO,O,X,X,O,O,X,X
TZLJSOI,O,X,X,O,X,X,X
TZLJOIS,O,X,X,O,O,X,X
TZLJOSI,O,X,X,O,O,X,X
TZLSIJO,O,X,X,O,X,X,X
TZLSIOJ,O,X,X,O,X,O,X
TZLSJIO,O,X,X,O,X,X,X
TZLSJOI,O,X,X,O,X,X,X
TZLSOIJ,O,X,X,O,X,X,X
TZLSOJI,O,X,X,O,X,X,X
TZLOIJS,O,X,X,X,X,X,X
TZLOISJ,O,X,X,O,X,X,X
TZLOJIS,O,X,X,O,O,X,X
TZLOJSI,O,X,X,O,O,X,X
TZLOSIJ,O,X,X,O,X,X,X
TZLOSJI,O,X,X,O,X,X,X
TZJILSO,X,X,O,O,O,X,X
TZJILOS,X,X,X,O,O,O,X
TZJISLO,X,X,O,O,O,X,X
TZJISOL,X,X,O,O,X,X,X
TZJIOLS,X,X,O,O,O,O,X
TZJIOSL,X,X,O,O,X,O,X
TZJLISO,O,X,O,O,O,X,X
TZJLIOS,O,X,X,O,O,O,X
TZJLSIO,O,X,O,O,O,X,X
TZJLSOI,O,X,O,O,X,X,X
TZJLOIS,O,X,O,O,O,X,X
TZJLOSI,O,X,O,O,O,X,X
TZJSILO,O,X,O,O,O,X,X
TZJSIOL,O,X,O,O,X,X,X
TZJSLIO,O,X,O,O,O,X,X
TZJSLOI,O,X,O,O,X,X,X
TZJSOIL,O,X,O,O,X,X,X
TZJSOLI,O,X,O,O,X,X,X
TZJOILS,O,X,O,O,O,X,X
TZJOISL,O,X,O,O,O,X,X
TZJOLIS,O,X,O,O,O,X,X
TZJOLSI,O,X,O,O,O,X,X
TZJOSIL,O,X,O,O,O,X,X
TZJOSLI,O,X,O,O,O,X,X
TZSILJO,O,X,X,O,X,X,X
TZSILOJ,O,X,X,O,X,O,X
TZSIJLO,X,X,O,O,X,X,X
TZSIJOL,X,X,O,O,X,X,X
TZSIOLJ,O,X,X,O,X,O,X
TZSIOJL,O,X,X,X,X,O,X
TZSLIJO,O,X,X,O,X,X,X
TZSLIOJ,O,X,X,O,X,O,X
TZSLJIO,O,X,X,O,X,X,X
TZSLJOI,O,X,X,O,X,X,X
TZSLOIJ,O,X,X,O,X,X,X
TZSLOJI,O,X,X,O,X,X,X
TZSJILO,O,X,O,O,O,X,X
TZSJIOL,O,X,O,O,X,X,X
TZSJLIO,O,X,O,O,O,X,X
TZSJLOI,O,X,O,O,X,X,X
TZSJOIL,O,X,O,O,X,X,X
TZSJOLI,O,X,O,O,X,X,X
TZSOILJ,O,X,X,O,X,X,X
TZSOIJL,O,X,O,X,X,X,X
TZSOLIJ,O,X,X,O,X,X,X
TZSOLJI,O,X,X,O,X,X,X
TZSOJIL,O,X,O,O,X,X,X
TZSOJLI,O,X,O,O,X,X,X
TZOILJS,O,X,X,X,X,X,X
TZOILSJ,O,X,X,O,X,X,X
TZOIJLS,O,X,O,X,O,X,X
TZOIJSL,O,X,O,X,O,X,X
TZOISLJ,O,X,X,O,X,X,X
TZOISJL,O,X,O,X,X,X,X
TZOLIJS,O,X,X,X,X,X,X
TZOLISJ,O,X,X,O,X,X,X
TZOLJIS,O,X,X,O,O,X,X
TZOLJSI,O,X,X,O,O,X,X
TZOLSIJ,O,X,X,O,X,X,X
TZOLSJI,O,X,X,O,X,X,X
TZOJILS,O,X,O,O,O,X,X
TZOJISL,O,X,O,O,O,X,X
TZOJLIS,O,X,O,O,O,X,X
TZOJLSI,O,X,O,O,O,X,X
TZOJSIL,O,X,O,O,O,X,X
TZOJSLI,O,X,O,O,O,X,X
TZOSILJ,O,X,X,O,X,X,X
TZOSIJL,O,X,O,X,X,X,X
TZOSLIJ,O,X,X,O,X,X,X
TZOSLJI,O,X,X,O,X,X,X
TZOSJIL,O,X,O,O,O,X,X
TZOSJLI,O,X,O,O,O,X,X
TOILJSZ,O,X,X,X,O,O,X
TOILJZS,O,X,X,X,O,O,X
