sequence,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhFukB1lB0hB6?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBTiBKpBG?mBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jei/IvhF1lBxhBcpBG?nBXqBzrB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF6mBTiB0kBl?lB2uBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBFiBWqB6?rBcsBzpB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBOpBllBS?sBzpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeT/IvhFxhBllBurBc?sBipBXqB,v115@FhB8HeB8DeA8CeB8CeB8BeC8JeZEJvhF3gBWqBlmBc?sBzpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je/EJvhFRgBTlBlmBc?sB2uBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je0/IvhFxgBKpBGmBT?nBFqBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Jex/IvhF0hBllBSsBm?pBTpBXsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhFlmBcsBxpBT?pBmpBCsB,v115@FhB8HeB8DeA8CeB8CeB8BeC8Je3AJvhF+nBlmBxpB0?pBipBzrB
TILOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,O,O,O,X,X,X,X,X,X,X,O
TIJLSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,O,O,O,X,X,X,X,X,X,X,O
TIJLZOS,O,X,O,O,O,O,X,X,X,X,O,X,X
TIJLOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJSLZO,O,X,O,O,O,X,X,X,X,X,X,X,O
TIJSLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
TIJSZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
TIJSOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
TIJZLSO,O,X,O,O,O,X,X,O,X,X,X,X,O
TIJZLOS,O,X,O,O,O,O,X,X,X,X,O,X,X
TIJZSLO,O,X,O,O,X,X,X,O,X,X,X,X,O
TIJZSOL,O,X,O,O,X,X,X,O,X,X,X,X,O
TIJZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,O,X,X,X,O,X,X,X,X,O
TIJOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,O,O,X,X,X,X,X,X,X,X,O
TIJOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X,X,O
TISLJZO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,O,O,X,X,X,X,X,X,X,X,O
TISJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,O,X,X,X,X,X,X,X,X,O
TISJZOL,O,X,O,O,X,X,X,X,X,X,X,X,O
TISJOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
TISZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TISZJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,X,X,X,X,X,O,X
TISZOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TISZOJL,O,X,O,X,X,X,X,X,X,X,X,O,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,O,X,O,O,X,X,X,X,X
TIZLJOS,O,X,O,X,O,O,O,X,X,X,O,X,X
TIZLSJO,O,X,O,X,O,X,X,O,X,X,X,X,X
TIZLSOJ,O,X,O,O,O,X,X,X,X,X,X,O,X
TIZLOJS,O,X,O,X,O,O,O,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,X,X,X,X,X,O,X
TIZJLSO,O,X,O,X,O,X,O,O,X,X,X,X,X
TIZJLOS,O,X,O,X,O,O,O,X,X,X,O,X,X
TIZJSLO,O,X,O,X,X,X,O,O,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,O,X,X,X,O,X
TIZJOLS,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,O,X,X,X,O,X
TIZSLJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TIZSJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,O,X,X,X,O,X
TIZSOLJ,O,X,O,O,X,X,X,X,X,X,X,O,X
TIZSOJL,O,X,X,X,X,X,X,O,X,X,X,O,X
TIZOLJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZOJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,O,X,O,X,X,X,O,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZOSJL,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOLJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJLZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOZJSL,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,O,X,X,X,X,O,X,X,X
TLIJSOZ,O,O,X,O,X,X,X,X,X,O,X,X,X
TLIJZSO,O,O,X,O,O,X,X,X,X,O,X,X,X
TLIJZOS,O,O,X,O,O,O,X,X,X,O,O,X,X
TLIJOSZ,O,O,X,O,X,X,X,X,X,O,O,X,X
TLIJOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
TLISJZO,O,O,X,O,O,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,O,X,O,X,X,O,X,X,X
TLIZJOS,O,O,O,X,O,O,O,X,X,O,O,X,X
TLIZSJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLIZSOJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,O,X,O,O,O,X,X,O,X,X,X
TLIZOSJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TLIOJZS,O,X,X,X,X,O,X,X,X,O,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,O,X,X,O,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLJISOZ,O,O,X,O,X,X,X,X,X,O,X,X,X
TLJIZSO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLJIZOS,O,O,O,O,O,O,X,X,X,O,O,X,X
TLJIOSZ,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJIOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
TLJSIZO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,O,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLJSZOI,O,O,O,O,O,O,X,X,X,O,O,X,X
TLJSOIZ,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJSOZI,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJZISO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLJZIOS,O,O,O,O,O,O,O,X,X,O,O,X,X
TLJZSIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLJZSOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TLJZOIS,O,O,O,O,O,O,O,X,X,O,O,X,X
TLJZOSI,X,O,O,O,O,O,O,X,X,O,O,X,X
TLJOISZ,O,O,X,O,X,O,X,X,X,O,O,X,X
TLJOIZS,O,O,X,X,X,O,X,X,X,O,O,X,X
TLJOSIZ,O,O,X,O,X,O,X,X,X,O,O,X,X
TLJOSZI,O,O,X,O,X,O,X,X,X,O,O,X,X
TLJOZIS,O,O,X,O,X,O,O,X,X,O,O,X,X
TLJOZSI,O,O,X,O,X,O,O,X,X,O,O,X,X
TLSIJZO,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,O,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLSJZOI,O,O,O,O,O,O,X,X,X,O,O,X,X
TLSJOIZ,O,O,X,O,X,X,X,X,X,O,O,X,X
TLSJOZI,O,O,X,O,X,X,X,X,X,O,O,X,X
TLSZIJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLSZIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLSZJOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TLSZOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,O,O,O,X,X,O,X,X,X
TLSOIJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,O,X,X,X,O,X,X,X
TLSOJZI,O,O,O,O,X,O,X,X,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,O,O,X,X,O,X,X,X
TLZIJSO,O,O,O,X,O,X,O,X,X,O,X,X,X
TLZIJOS,O,O,O,X,O,O,O,X,X,O,O,X,X
TLZISJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLZISOJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZIOJS,O,O,O,X,O,O,O,X,X,O,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLZJIOS,O,O,O,O,O,O,O,X,X,O,O,X,X
TLZJSIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLZJSOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TLZJOIS,O,O,O,O,O,O,O,X,X,O,O,X,X
TLZJOSI,X,O,O,O,O,O,O,X,X,O,O,X,X
TLZSIJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TLZSIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLZSJOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TLZSOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,O,O,O,O,X,X,O,X,X,X
TLZOIJS,O,O,O,X,O,O,O,X,X,O,X,X,X
TLZOISJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,O,O,O,X,X,O,O,X,X
TLZOJSI,X,O,O,X,O,O,O,X,X,O,O,X,X
TLZOSIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,X,O,O,O,X,X,O,X,X,X
TLOIJSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TLOIJZS,O,X,X,X,X,O,X,X,X,O,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,O,X,X,O,O,X,X,O,X,X,X
TLOIZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,O,X,O,X,X,X,O,O,X,X
TLOJIZS,O,O,O,X,X,O,X,X,X,O,O,X,X
TLOJSIZ,O,O,O,O,X,O,X,X,X,O,O,X,X
TLOJSZI,O,O,O,O,X,O,X,X,X,O,O,X,X
TLOJZIS,O,O,O,O,X,O,O,X,X,O,O,X,X
TLOJZSI,O,O,O,O,X,O,O,X,X,O,O,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,X,X,O,X,X,X
TLOSJZI,O,O,O,O,X,O,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,O,X,O,O,X,X,O,X,X,X
TLOZIJS,O,O,O,X,X,O,O,X,X,O,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,O,O,X,X,O,O,X,X
TLOZJSI,O,O,O,X,X,O,O,X,X,O,O,X,X
TLOZSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,X,O,O,X,X,O,X,X,X
TJILSZO,O,O,O,O,O,X,X,X,X,X,X,X,O
TJILSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJILZSO,O,O,O,O,O,X,X,X,X,X,X,X,O
TJILZOS,O,X,O,O,O,O,X,X,X,X,O,X,X
TJILOSZ,O,X,X,O,X,X,X,X,X,X,O,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,O,X,X
TJISLZO,O,O,O,O,O,X,X,X,X,X,X,X,O
TJISLOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
TJISZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
TJISOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
TJIZLSO,O,X,O,O,O,X,X,O,X,X,X,X,O
TJIZLOS,O,X,O,O,O,O,X,X,X,X,O,X,X
TJIZSLO,O,X,O,O,X,X,X,O,X,X,X,X,O
TJIZSOL,O,X,O,O,X,X,X,O,X,X,X,X,O
TJIZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,O,X,X,X,X,O
TJIOLSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,O,X,X,X,X,X,X,X,X,O
TJIOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,X,X,O
TJLISZO,O,O,O,O,O,X,X,X,X,O,X,X,O
TJLISOZ,O,O,X,O,X,X,X,X,X,O,X,X,X
TJLIZSO,O,O,O,O,O,X,X,X,X,O,X,X,O
TJLIZOS,O,O,O,O,O,O,X,X,X,O,O,X,X
TJLIOSZ,O,O,X,O,X,X,X,X,X,O,O,X,X
TJLIOZS,O,O,X,X,X,X,X,X,X,O,O,X,X
TJLSIZO,O,O,O,O,O,X,X,X,X,O,X,X,O
TJLSIOZ,O,O,X,O,X,X,X,X,X,O,X,X,X
TJLSZIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJLSZOI,O,O,O,O,O,O,X,X,X,O,O,X,X
TJLSOIZ,O,O,X,O,X,X,X,X,X,O,O,X,X
TJLSOZI,O,O,X,O,X,X,X,X,X,O,O,X,X
TJLZISO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJLZIOS,O,O,O,O,O,O,O,X,X,O,O,X,X
TJLZSIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJLZSOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TJLZOIS,O,O,O,O,O,O,O,X,X,O,O,X,X
TJLZOSI,X,O,O,O,O,O,O,X,X,O,O,X,X
TJLOISZ,O,O,X,O,X,O,X,X,X,O,O,X,X
TJLOIZS,O,O,X,X,X,O,X,X,X,O,O,X,X
TJLOSIZ,O,O,X,O,X,O,X,X,X,O,O,X,X
TJLOSZI,O,O,X,O,X,O,X,X,X,O,O,X,X
TJLOZIS,O,O,X,O,X,O,O,X,X,O,O,X,X
TJLOZSI,O,O,X,O,X,O,O,X,X,O,O,X,X
TJSILZO,O,O,O,O,O,X,X,X,X,X,X,X,O
TJSILOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,O,X,X,X,O,X,X,X,X,O
TJSIZOL,O,X,O,O,X,X,X,O,X,X,X,X,O
TJSIOLZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,O,X,X,X,X,X,X,X,X,O
TJSLIZO,O,O,O,O,O,X,X,X,X,X,X,X,O
TJSLIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,O,O,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,O,O,O,X,X,X,X,O,X,X
TJSLOIZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TJSLOZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TJSZILO,O,X,O,O,X,X,X,O,X,X,X,X,O
TJSZIOL,O,X,O,O,X,X,X,O,O,X,X,X,O
TJSZLIO,O,X,O,O,X,X,X,O,X,X,X,X,X
TJSZLOI,O,X,O,O,X,O,X,X,O,X,O,X,X
TJSZOIL,O,X,O,O,X,X,X,O,O,X,X,X,X
TJSZOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TJSOILZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,O,X,X,X,X,O,X,X,X,O
TJSOLIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,O,X,X,X,X,O,X,X,X,X
TJSOZLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TJZILSO,O,X,O,O,O,X,O,O,X,X,X,X,O
TJZILOS,O,X,O,O,O,O,O,X,X,X,O,X,X
TJZISLO,O,X,O,O,X,X,O,O,X,X,X,X,O
TJZISOL,O,X,O,O,X,X,X,O,O,X,X,X,O
TJZIOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,O,O,X,X,X,O
TJZLISO,O,X,O,O,O,X,O,O,X,X,X,X,X
TJZLIOS,O,X,O,O,O,O,O,X,X,X,O,X,X
TJZLSIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TJZLSOI,O,X,O,O,O,O,O,X,O,X,O,X,X
TJZLOIS,O,X,O,O,O,O,O,X,X,X,O,X,X
TJZLOSI,X,X,O,O,O,O,O,X,O,X,O,X,X
TJZSILO,O,X,O,O,X,X,O,O,X,X,X,X,O
TJZSIOL,O,X,O,O,X,X,X,O,O,X,X,X,O
TJZSLIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TJZSLOI,O,X,O,O,X,O,O,X,O,X,O,X,X
TJZSOIL,O,X,O,O,X,X,X,O,O,X,X,X,X
TJZSOLI,O,X,O,O,X,X,X,X,O,X,X,X,X
TJZOILS,O,X,O,O,X,O,O,X,X,X,X,X,X
TJZOISL,O,X,O,O,X,O,X,O,O,X,X,X,X
TJZOLIS,O,X,O,O,X,O,O,X,X,X,O,X,X
TJZOLSI,O,X,O,O,X,O,O,X,O,X,O,X,X
TJZOSIL,O,X,O,O,X,O,X,O,O,X,X,X,X
TJZOSLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJOILSZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TJOISLZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOISZL,O,X,O,O,X,O,X,X,X,X,X,X,O
TJOIZLS,O,X,O,X,X,O,X,X,X,X,X,X,X
TJOIZSL,O,X,O,X,X,O,X,X,X,X,X,X,O
TJOLISZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TJOLIZS,O,X,O,X,X,O,X,X,X,O,O,X,X
TJOLSIZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TJOLSZI,O,X,O,O,X,O,X,X,X,O,O,X,X
TJOLZIS,O,X,O,O,X,O,X,X,X,O,O,X,X
TJOLZSI,O,X,O,O,X,O,X,X,X,O,O,X,X
TJOSILZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOSIZL,O,X,O,O,X,O,X,X,O,X,X,X,O
TJOSLIZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOSLZI,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,O,O,X,O,X,X,O,X,X,X,X
TJOSZLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJOZILS,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOZISL,O,X,O,O,X,O,X,X,O,X,X,X,X
TJOZLIS,O,X,O,O,X,O,X,X,X,X,O,X,X
TJOZLSI,O,X,O,O,X,O,X,X,O,X,O,X,X
TJOZSIL,O,X,O,O,X,O,X,X,O,X,X,X,X
TJOZSLI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSILJZO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSILJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSILZJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TSILZOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIJLZO,O,X,O,O,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,X,O,O,X,X,X,X,X,X,X,X,X
