sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TLISZJO,O,O,O,O,O,O,O,O
TLISZOJ,O,O,O,O,O,O,O,O
TLISOJZ,O,O,O,X,O,O,O,O
TLISOZJ,O,O,O,O,O,O,O,O
TLIZJSO,O,O,O,O,O,O,O,O
TLIZJOS,O,O,X,O,O,O,O,X
TLIZSJO,O,O,O,O,O,O,O,O
TLIZSOJ,O,O,O,O,O,O,O,O
TLIZOJS,O,O,O,X,O,O,O,O
TLIZOSJ,O,O,O,X,O,O,O,O
TLIOJSZ,O,O,O,O,O,O,X,O
TLIOJZS,O,O,O,O,O,O,X,O
TLIOSJZ,O,O,O,O,O,O,O,O
TLIOSZJ,O,O,O,O,O,O,O,O
TLIOZJS,O,O,O,O,O,O,O,O
TLIOZSJ,O,O,O,O,O,O,O,O
TLJISZO,O,O,O,O,O,O,O,O
TLJISOZ,O,O,O,O,O,O,O,O
TLJIZSO,O,O,O,O,O,O,O,O
TLJIZOS,O,O,X,O,O,O,O,X
TLJIOSZ,O,O,X,O,O,O,X,O
TLJIOZS,O,O,X,O,O,O,X,O
TLJSIZO,O,O,O,O,O,O,O,O
TLJSIOZ,O,O,O,O,O,O,O,O
TLJSZIO,O,O,O,O,O,O,O,O
TLJSZOI,O,O,O,O,O,O,O,O
TLJSOIZ,O,O,O,O,O,O,O,O
TLJSOZI,O,O,O,O,O,O,X,O
TLJZISO,O,O,O,O,O,O,O,O
TLJZIOS,O,O,X,O,O,O,O,X
TLJZSIO,O,O,O,O,O,O,O,O
TLJZSOI,O,O,O,O,O,O,O,O
TLJZOIS,O,O,X,O,O,O,O,X
TLJZOSI,O,O,X,O,O,O,O,X
TLJOISZ,O,O,X,O,O,O,X,O
TLJOIZS,O,O,X,O,O,O,X,O
TLJOSIZ,O,O,X,O,O,O,X,O
TLJOSZI,O,O,X,O,O,O,X,O
TLJOZIS,O,O,X,O,O,O,X,O
TLJOZSI,O,O,X,O,O,O,X,O
TLSIJZO,O,O,O,O,O,O,O,O
TLSIJOZ,O,O,O,O,O,O,O,O
TLSIZJO,O,O,O,O,O,O,O,O
TLSIZOJ,O,O,O,O,O,O,O,O
TLSIOJZ,O,O,O,X,O,O,O,O
TLSIOZJ,O,O,O,O,O,O,O,O
TLSJIZO,O,O,O,O,O,O,O,O
TLSJIOZ,O,O,O,O,O,O,O,O
TLSJZIO,O,O,O,O,O,O,O,O
TLSJZOI,O,O,O,O,O,O,O,O
TLSJOIZ,O,O,O,O,O,O,O,O
TLSJOZI,O,O,O,O,O,O,X,O
TLSZIJO,O,O,O,O,O,O,O,O
TLSZIOJ,O,O,O,O,O,O,O,O
TLSZJIO,O,O,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O,O,O
TLSZOIJ,O,O,O,O,O,O,O,O
TLSZOJI,O,O,O,X,O,O,O,O
TLSOIJZ,O,O,O,X,O,O,O,O
TLSOIZJ,O,O,O,O,O,O,O,O
TLSOJIZ,O,O,O,X,O,O,O,O
TLSOJZI,O,O,O,X,O,O,X,O
TLSOZIJ,O,O,O,O,O,O,O,O
TLSOZJI,O,O,O,X,O,O,O,O
TLZIJSO,O,O,O,O,O,O,O,O
TLZIJOS,O,O,X,O,O,O,O,X
TLZISJO,O,O,O,O,O,O,O,O
TLZISOJ,O,O,O,O,O,O,O,O
TLZIOJS,O,O,O,X,O,O,O,O
TLZIOSJ,O,O,O,X,O,O,O,O
TLZJISO,O,O,O,O,O,O,O,O
TLZJIOS,O,O,X,O,O,O,O,X
TLZJSIO,O,O,O,O,O,O,O,O
TLZJSOI,O,O,O,O,O,O,O,O
TLZJOIS,O,O,X,O,O,O,O,X
TLZJOSI,O,O,X,O,O,O,O,X
TLZSIJO,O,O,O,O,O,O,O,O
TLZSIOJ,O,O,O,O,O,O,O,O
TLZSJIO,O,O,O,O,O,O,O,O
TLZSJOI,O,O,O,O,O,O,O,O
TLZSOIJ,O,O,O,O,O,O,O,O
TLZSOJI,O,O,O,X,O,O,O,O
TLZOIJS,O,O,O,X,O,O,O,O
TLZOISJ,O,O,O,X,O,O,O,O
TLZOJIS,O,O,O,X,O,O,O,O
TLZOJSI,O,O,O,X,O,O,O,O
TLZOSIJ,O,O,O,X,O,O,O,O
TLZOSJI,O,O,O,X,O,O,O,O
TLOIJSZ,O,O,O,O,O,O,X,O
TLOIJZS,O,O,O,O,O,O,X,O
TLOISJZ,O,O,O,O,O,O,O,O
TLOISZJ,O,O,O,O,O,O,O,O
TLOIZJS,O,O,O,O,O,O,O,O
TLOIZSJ,O,O,O,O,O,O,O,O
TLOJISZ,O,O,O,O,O,O,X,O
TLOJIZS,O,O,O,O,O,O,X,O
TLOJSIZ,O,O,O,O,O,O,X,O
TLOJSZI,O,O,O,O,O,O,X,O
TLOJZIS,O,O,O,O,O,O,X,O
TLOJZSI,O,O,O,O,O,O,X,O
TLOSIJZ,O,O,O,O,O,O,O,O
TLOSIZJ,O,O,O,O,O,O,O,O
TLOSJIZ,O,O,O,O,O,O,O,O
TLOSJZI,O,O,O,O,O,O,X,O
TLOSZIJ,O,O,O,O,O,O,O,O
TLOSZJI,O,O,O,O,O,O,O,O
TLOZIJS,O,O,O,O,O,O,O,O
TLOZISJ,O,O,O,O,O,O,O,O
TLOZJIS,O,O,O,O,O,O,O,O
TLOZJSI,O,O,O,O,O,O,O,O
TLOZSIJ,O,O,O,O,O,O,O,O
TLOZSJI,O,O,O,O,O,O,O,O
TJILSZO,O,O,O,O,O,O,O,O
TJILSOZ,O,O,O,O,O,O,O,O
TJILZSO,O,O,O,O,O,O,O,O
TJILZOS,O,O,X,O,O,O,O,X
TJILOSZ,O,O,X,O,O,O,X,O
TJILOZS,O,O,X,O,O,O,X,O
TJISLZO,O,O,O,O,X,X,O,O
TJISLOZ,O,O,O,X,X,X,O,O
TJISZLO,O,O,O,O,X,X,O,O
TJISZOL,O,O,O,O,X,X,O,O
TJISOLZ,O,O,O,O,X,X,X,O
TJISOZL,O,O,O,O,X,X,O,O
TJIZLSO,O,O,O,O,O,O,O,O
TJIZLOS,X,O,X,O,O,O,O,X
TJIZSLO,O,O,O,O,X,X,O,O
TJIZSOL,X,O,O,O,X,X,O,O
TJIZOLS,X,O,O,O,O,O,O,X
TJIZOSL,X,O,O,O,X,X,O,O
TJIOLSZ,O,O,O,O,O,O,X,O
TJIOLZS,O,O,O,O,O,O,X,O
TJIOSLZ,O,O,O,O,O,X,X,O
TJIOSZL,O,O,O,O,X,X,X,O
TJIOZLS,X,O,O,O,O,O,X,O
TJIOZSL,X,O,O,O,X,X,X,O
TJLISZO,O,O,O,O,O,O,O,O
TJLISOZ,O,O,O,O,O,O,O,O
TJLIZSO,O,O,O,O,O,O,O,O
TJLIZOS,O,O,X,O,O,O,O,X
TJLIOSZ,O,O,X,O,O,O,X,O
TJLIOZS,O,O,X,O,O,O,X,O
TJLSIZO,O,O,O,O,O,O,O,O
TJLSIOZ,O,O,O,O,O,O,O,O
TJLSZIO,O,O,O,O,O,O,O,O
TJLSZOI,O,O,O,O,O,O,O,O
TJLSOIZ,O,O,O,O,O,O,O,O
TJLSOZI,O,O,O,O,O,O,X,O
TJLZISO,O,O,O,O,O,O,O,O
TJLZIOS,O,O,X,O,O,O,O,X
TJLZSIO,O,O,O,O,O,O,O,O
TJLZSOI,O,O,O,O,O,O,O,O
TJLZOIS,O,O,X,O,O,O,O,X
TJLZOSI,O,O,X,O,O,O,O,X
TJLOISZ,O,O,X,O,O,O,X,O
TJLOIZS,O,O,X,O,O,O,X,O
TJLOSIZ,O,O,X,O,O,O,X,O
TJLOSZI,O,O,X,O,O,O,X,O
TJLOZIS,O,O,X,O,O,O,X,O
TJLOZSI,O,O,X,O,O,O,X,O
TJSILZO,O,O,O,O,X,X,O,O
TJSILOZ,O,O,O,X,X,X,O,O
TJSIZLO,O,O,O,O,X,X,O,O
TJSIZOL,O,O,O,O,X,X,O,O
TJSIOLZ,O,O,O,O,X,X,X,O
TJSIOZL,O,O,O,O,X,X,O,O
TJSLIZO,O,O,O,O,X,X,O,O
TJSLIOZ,O,O,O,X,X,X,O,O
TJSLZIO,O,O,O,O,X,X,O,O
TJSLZOI,O,O,O,X,X,X,O,O
TJSLOIZ,O,O,O,X,X,X,O,O
TJSLOZI,O,O,O,X,X,X,X,O
TJSZILO,O,O,O,O,X,X,O,O
TJSZIOL,O,O,O,O,X,X,O,O
TJSZLIO,O,O,O,O,X,X,O,O
TJSZLOI,O,O,O,X,X,X,O,O
TJSZOIL,O,O,O,O,X,X,O,O
TJSZOLI,O,O,O,O,X,X,O,O
TJSOILZ,O,O,O,O,X,X,X,O
TJSOIZL,O,O,O,O,X,X,O,O
TJSOLIZ,O,O,O,O,X,X,X,O
TJSOLZI,O,O,O,O,X,X,X,O
TJSOZIL,O,O,O,O,X,X,X,O
TJSOZLI,O,O,O,O,X,X,X,O
TJZILSO,O,O,O,O,O,O,O,O
TJZILOS,X,O,X,O,O,O,O,X
TJZISLO,O,O,O,O,X,X,O,O
TJZISOL,X,O,O,O,X,X,O,O
TJZIOLS,X,O,O,O,O,O,O,X
TJZIOSL,X,O,O,O,X,X,O,O
TJZLISO,O,O,O,O,O,O,O,O
TJZLIOS,X,O,X,O,O,O,O,X
TJZLSIO,O,O,O,O,O,O,O,O
TJZLSOI,O,O,O,O,O,O,O,O
TJZLOIS,X,O,X,O,O,O,O,X
TJZLOSI,X,O,X,O,O,O,O,X
TJZSILO,O,O,O,O,X,X,O,O
TJZSIOL,X,O,O,O,X,X,O,O
TJZSLIO,O,O,O,O,X,X,O,O
TJZSLOI,O,O,O,X,X,X,O,O
TJZSOIL,X,O,O,O,X,X,O,O
TJZSOLI,X,O,O,O,X,X,O,O
TJZOILS,X,O,O,O,O,O,O,X
TJZOISL,X,O,O,O,X,X,O,O
TJZOLIS,X,O,O,O,O,O,O,X
TJZOLSI,X,O,O,O,O,O,O,X
TJZOSIL,X,O,O,O,X,X,O,O
TJZOSLI,X,O,O,O,X,X,O,O
TJOILSZ,O,O,O,O,O,O,X,O
TJOILZS,O,O,O,O,O,O,X,O
TJOISLZ,O,O,O,O,O,X,X,O
TJOISZL,O,O,O,O,X,X,X,O
TJOIZLS,X,O,O,O,O,O,X,O
TJOIZSL,X,O,O,O,X,X,X,O
TJOLISZ,O,O,O,O,O,O,X,O
TJOLIZS,O,O,O,O,O,O,X,O
TJOLSIZ,O,O,O,O,O,O,X,O
TJOLSZI,O,O,O,O,O,O,X,O
TJOLZIS,O,O,O,O,O,O,X,O
TJOLZSI,O,O,O,O,O,O,X,O
TJOSILZ,O,O,O,O,O,X,X,O
TJOSIZL,O,O,O,O,X,X,X,O
TJOSLIZ,O,O,O,O,O,X,X,O
TJOSLZI,O,O,O,O,O,X,X,O
TJOSZIL,O,O,O,O,X,X,X,O
TJOSZLI,O,O,O,O,X,X,X,O
TJOZILS,X,O,O,O,O,O,X,O
TJOZISL,X,O,O,O,X,X,X,O
TJOZLIS,X,O,O,O,O,O,X,O
TJOZLSI,X,O,O,O,O,O,X,O
TJOZSIL,X,O,O,O,X,X,X,O
TJOZSLI,X,O,O,O,X,X,X,O
TSILJZO,O,O,O,X,X,O,O,O
TSILJOZ,O,O,O,X,X,O,O,O
TSILZJO,O,O,O,X,X,O,O,O
TSILZOJ,O,O,O,X,X,O,O,O
TSILOJZ,O,O,O,X,X,O,O,O
TSILOZJ,O,O,O,X,X,O,O,O
TSIJLZO,O,O,O,X,X,O,O,O
TSIJLOZ,O,O,O,X,X,O,O,O
TSIJZLO,O,O,O,X,X,O,O,O
TSIJZOL,O,O,O,X,X,X,O,O
TSIJOLZ,O,O,O,X,X,X,X,O
TSIJOZL,O,O,O,X,X,X,O,O
TSIZLJO,O,O,O,X,X,O,O,O
TSIZLOJ,O,O,O,X,X,O,O,O
TSIZJLO,O,O,O,X,X,O,O,O
TSIZJOL,O,O,O,X,X,X,O,O
TSIZOLJ,O,O,O,X,X,O,O,O
TSIZOJL,O,O,O,X,X,X,O,O
TSIOLJZ,O,O,O,X,X,O,O,O
TSIOLZJ,O,O,O,X,X,O,O,O
TSIOJLZ,O,O,O,X,X,O,X,O
TSIOJZL,O,O,O,X,X,O,O,O
TSIOZLJ,O,O,O,X,X,O,O,O
TSIOZJL,O,O,O,X,X,O,O,O
TSLIJZO,O,O,O,X,X,O,O,O
TSLIJOZ,O,O,O,X,X,O,O,O
TSLIZJO,O,O,O,X,X,O,O,O
TSLIZOJ,O,O,O,X,X,O,O,O
TSLIOJZ,O,O,O,X,X,O,O,O
TSLIOZJ,O,O,O,X,X,O,O,O
TSLJIZO,O,O,O,X,X,O,O,O
TSLJIOZ,O,O,O,X,X,O,O,O
TSLJZIO,O,O,O,X,X,O,O,O
TSLJZOI,O,O,O,X,X,O,O,O
TSLJOIZ,O,O,O,X,X,O,O,O
TSLJOZI,O,O,O,X,X,O,X,O
TSLZIJO,O,O,O,X,X,O,O,O
TSLZIOJ,O,O,O,X,X,O,O,O
TSLZJIO,O,O,O,X,X,O,O,O
TSLZJOI,O,O,O,X,X,O,O,O
TSLZOIJ,O,O,O,X,X,O,O,O
TSLZOJI,O,O,O,X,X,O,O,O
TSLOIJZ,O,O,O,X,X,O,O,O
TSLOIZJ,O,O,O,X,X,O,O,O
TSLOJIZ,O,O,O,X,X,O,O,O
TSLOJZI,O,O,O,X,X,O,X,O
TSLOZIJ,O,O,O,X,X,O,O,O
TSLOZJI,O,O,O,X,X,O,O,O
TSJILZO,O,O,O,X,X,O,O,O
TSJILOZ,O,O,O,X,X,O,O,O
TSJIZLO,O,O,O,X,X,O,O,O
TSJIZOL,O,O,O,X,X,X,O,O
TSJIOLZ,O,O,O,X,X,X,X,O
TSJIOZL,O,O,O,X,X,X,O,O
TSJLIZO,O,O,O,X,X,O,O,O
TSJLIOZ,O,O,O,X,X,O,O,O
TSJLZIO,O,O,O,X,X,O,O,O
TSJLZOI,O,O,O,X,X,O,O,O
TSJLOIZ,O,O,O,X,X,O,O,O
TSJLOZI,O,O,O,X,X,O,X,O
TSJZILO,O,O,O,X,X,O,O,O
TSJZIOL,O,O,O,X,X,X,O,O
TSJZLIO,O,O,O,X,X,O,O,O
TSJZLOI,O,O,O,X,X,O,O,O
TSJZOIL,O,O,O,X,X,X,O,O
TSJZOLI,O,O,O,X,X,X,O,O
TSJOILZ,O,O,O,X,X,X,X,O
TSJOIZL,O,O,O,X,X,X,O,O
TSJOLIZ,O,O,O,X,X,X,X,O
TSJOLZI,O,O,O,X,X,X,X,O
TSJOZIL,O,O,O,X,X,X,X,O
TSJOZLI,O,O,O,X,X,X,X,O
TSZILJO,O,O,O,X,X,O,O,O
TSZILOJ,O,O,O,X,X,O,O,O
TSZIJLO,O,O,O,X,X,O,O,O
TSZIJOL,O,O,O,X,X,X,O,O
TSZIOLJ,O,O,O,X,X,O,O,O
TSZIOJL,O,O,O,X,X,X,O,O
TSZLIJO,O,O,O,X,X,O,O,O
TSZLIOJ,O,O,O,X,X,O,O,O
TSZLJIO,O,O,O,X,X,O,O,O
TSZLJOI,O,O,O,X,X,O,O,O
TSZLOIJ,O,O,O,X,X,O,O,O
TSZLOJI,O,O,O,X,X,O,O,O
TSZJILO,O,O,O,X,X,O,O,O
TSZJIOL,O,O,O,X,X,X,O,O
TSZJLIO,O,O,O,X,X,O,O,O
TSZJLOI,O,O,O,X,X,O,O,O
TSZJOIL,O,O,O,X,X,X,O,O
TSZJOLI,O,O,O,X,X,X,O,O
TSZOILJ,O,O,O,X,X,O,O,O
TSZOIJL,O,O,O,X,X,X,O,O
TSZOLIJ,O,O,O,X,X,O,O,O
TSZOLJI,O,O,O,X,X,O,O,O
TSZOJIL,O,O,O,X,X,X,O,O
TSZOJLI,O,O,O,X,X,X,O,O
TSOILJZ,O,O,O,X,X,O,O,O
TSOILZJ,O,O,O,X,X,O,O,O
TSOIJLZ,O,O,O,X,X,O,X,O
TSOIJZL,O,O,O,X,X,O,O,O
TSOIZLJ,O,O,O,X,X,O,O,O
TSOIZJL,O,O,O,X,X,O,O,O
TSOLIJZ,O,O,O,X,X,O,O,O
TSOLIZJ,O,O,O,X,X,O,O,O
TSOLJIZ,O,O,O,X,X,O,O,O
TSOLJZI,O,O,O,X,X,O,X,O
TSOLZIJ,O,O,O,X,X,O,O,O
TSOLZJI,O,O,O,X,X,O,O,O
TSOJILZ,O,O,O,X,X,O,X,O
TSOJIZL,O,O,O,X,X,O,O,O
TSOJLIZ,O,O,O,X,X,O,X,O
TSOJLZI,O,O,O,X,X,O,X,O
TSOJZIL,O,O,O,X,X,O,X,O
TSOJZLI,O,O,O,X,X,O,X,O
TSOZILJ,O,O,O,X,X,O,O,O
TSOZIJL,O,O,O,X,X,O,O,O
TSOZLIJ,O,O,O,X,X,O,O,O
TSOZLJI,O,O,O,X,X,O,O,O
TSOZJIL,O,O,O,X,X,O,O,O
TSOZJLI,O,O,O,X,X,O,O,O
TZILJSO,O,O,O,O,O,O,O,O
TZILJOS,O,O,X,O,O,O,O,X
TZILSJO,O,O,O,O,O,O,O,O
TZILSOJ,O,O,O,O,O,O,O,O
TZILOJS,O,O,O,X,O,O,O,O
TZILOSJ,O,O,O,X,O,O,O,O
TZIJLSO,O,O,O,O,O,O,O,O
TZIJLOS,X,O,X,O,O,O,O,X
TZIJSLO,O,O,O,O,X,X,O,O
TZIJSOL,X,O,O,O,X,X,O,O
TZIJOLS,X,O,O,O,O,O,O,X
TZIJOSL,X,O,O,O,X,X,O,O
TZISLJO,O,O,O,X,X,O,O,O
TZISLOJ,O,O,O,X,X,O,O,O
TZISJLO,O,O,O,X,X,O,O,O
TZISJOL,O,O,O,X,X,X,O,O
TZISOLJ,O,O,O,X,X,O,O,O
TZISOJL,O,O,O,X,X,X,O,O
TZIOLJS,O,O,O,O,O,O,O,O
TZIOLSJ,O,O,O,O,O,O,O,O
TZIOJLS,X,O,O,O,O,O,O,O
TZIOJSL,X,O,O,O,X,O,O,O
TZIOSLJ,O,O,O,O,X,O,O,O
TZIOSJL,O,O,O,O,X,O,O,O
TZLIJSO,O,O,O,O,O,O,O,O
TZLIJOS,O,O,X,O,O,O,O,X
TZLISJO,O,O,O,O,O,O,O,O
TZLISOJ,O,O,O,O,O,O,O,O
TZLIOJS,O,O,O,X,O,O,O,O
TZLIOSJ,O,O,O,X,O,O,O,O
TZLJISO,O,O,O,O,O,O,O,O
TZLJIOS,O,O,X,O,O,O,O,X
TZLJSIO,O,O,O,O,O,O,O,O
TZLJSOI,O,O,O,O,O,O,O,O
TZLJOIS,O,O,X,O,O,O,O,X
TZLJOSI,O,O,X,O,O,O,O,X
TZLSIJO,O,O,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,O,O,O,O
TZLSOJI,O,O,O,X,O,O,O,O
TZLOIJS,O,O,O,X,O,O,O,O
TZLOISJ,O,O,O,X,O,O,O,O
TZLOJIS,O,O,O,X,O,O,O,O
TZLOJSI,O,O,O,X,O,O,O,O
TZLOSIJ,O,O,O,X,O,O,O,O
TZLOSJI,O,O,O,X,O,O,O,O
TZJILSO,O,O,O,O,O,O,O,O
TZJILOS,X,O,X,O,O,O,O,X
TZJISLO,O,O,O,O,X,X,O,O
TZJISOL,X,O,O,O,X,X,O,O
TZJIOLS,X,O,O,O,O,O,O,X
TZJIOSL,X,O,O,O,X,X,O,O
TZJLISO,O,O,O,O,O,O,O,O
TZJLIOS,X,O,X,O,O,O,O,X
TZJLSIO,O,O,O,O,O,O,O,O
TZJLSOI,O,O,O,O,O,O,O,O
TZJLOIS,X,O,X,O,O,O,O,X
TZJLOSI,X,O,X,O,O,O,O,X
TZJSILO,O,O,O,O,X,X,O,O
TZJSIOL,X,O,O,O,X,X,O,O
TZJSLIO,O,O,O,O,X,X,O,O
TZJSLOI,O,O,O,X,X,X,O,O
TZJSOIL,X,O,O,O,X,X,O,O
TZJSOLI,X,O,O,O,X,X,O,O
TZJOILS,X,O,O,O,O,O,O,X
TZJOISL,X,O,O,O,X,X,O,O
