sequence,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBXjB9tB0sBOsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFUhBXjByrB9tBGnBRxB,v115@/gA8IeB8FeD8FeE8OeT/IvhFGhBaoB5oB/rB0sBNsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rB3sBCsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rBUtBCsB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBNnBGtBctB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhBtnBmmB0rBXtB6tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBisBGsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBasBUtBusB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamBRiBurBcsBXtB9tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBGjB/tB0sBNsB
TISLZOJ,O,O,X,X,X,X,X,O,O,X,O
TISLOJZ,X,O,X,X,X,X,X,O,X,X,X
TISLOZJ,O,O,X,X,X,X,X,O,O,X,O
TISJLZO,X,O,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X,X,X,O
TISZLOJ,O,O,O,X,X,X,X,X,X,X,O
TISZJLO,O,O,X,X,X,X,O,X,X,X,X
TISZJOL,O,O,X,X,X,X,O,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X,X,O
TISZOJL,O,O,X,X,X,X,O,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,O,X,X,X
TISOLZJ,O,O,X,X,X,X,X,O,O,X,O
TISOJLZ,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,O
TISOZJL,O,O,X,X,X,X,O,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X,X,X,X,O
TIZLSOJ,O,O,O,X,X,X,X,X,X,X,O
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X,X,X,X,O
TIZJLSO,O,O,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,O,X,X,X,X
TIZJSOL,O,O,X,X,X,X,O,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,O,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X,O
TIZSLOJ,O,O,O,X,X,X,X,X,X,X,O
TIZSJLO,O,O,X,X,X,X,O,X,X,X,X
TIZSJOL,O,O,X,X,X,X,O,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X,O
TIZSOJL,O,O,X,X,X,X,O,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,X,O
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X,X,O
TIZOSJL,O,O,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,O,X,X,X,O,X,X,X,X,X
TIOLJZS,O,O,X,X,X,O,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,O
TIOLZJS,O,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X,X,X,O
TIOJLSZ,X,O,X,X,X,O,X,X,X,X,X
TIOJLZS,O,O,X,X,X,O,X,X,X,X,X
TIOJSLZ,X,O,X,O,X,O,X,X,X,X,X
TIOJSZL,X,O,X,O,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,O,O,X,X,X,X,X
TIOJZSL,O,O,X,X,O,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,O,O,X,O
TIOSJLZ,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X,X,O
TIOSZJL,O,O,X,X,X,X,O,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X,X,X,O
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,O,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X,X,X,O
TIOZSJL,O,O,X,X,X,X,O,X,X,X,X
TLIJSZO,X,O,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,O,X,X,X,X,X
TLIJZSO,O,O,X,X,X,O,X,X,X,X,X
TLIJZOS,O,O,X,X,X,O,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,O,X,X,X,X,X
TLIJOZS,O,O,X,X,X,O,X,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,O,X,X,X
TLISJOZ,X,O,X,X,X,X,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,X,O,X,X,O
TLISZOJ,O,O,X,X,X,X,X,O,X,X,O
TLISOJZ,X,O,X,X,X,X,X,O,X,X,X
TLISOZJ,O,O,X,X,X,X,X,O,X,X,O
TLIZJSO,O,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X,O
TLIZSOJ,O,O,X,X,X,X,X,X,X,X,O
TLIZOJS,O,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X,O
TLIOJSZ,X,O,X,X,X,O,X,X,X,X,X
TLIOJZS,O,O,X,X,X,O,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,O,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,O,X,X,O
TLIOZJS,O,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X,O
TLJISZO,X,X,X,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,X,X,O,X,X,X,X,X
TLJIZSO,O,X,X,X,X,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,X
TLJIOZS,O,X,X,X,X,O,X,X,X,X,X
TLJSIZO,X,X,X,X,X,O,X,O,X,X,X
TLJSIOZ,X,X,X,X,X,O,X,O,X,X,X
TLJSZIO,O,X,X,X,X,X,X,O,X,X,X
TLJSZOI,O,O,X,X,X,X,X,O,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,O,X,X,X
TLJSOZI,O,O,X,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,X,X,O,X,X,X,X,X
TLJZIOS,O,X,X,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,O,X
TLJZSOI,O,O,X,X,X,X,X,X,X,O,X
TLJZOIS,O,X,X,X,X,O,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X,X,O,X
TLJOISZ,X,X,X,X,X,O,X,X,X,X,X
TLJOIZS,O,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,O,X,O,X,X,X
TLJOSZI,O,O,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,X,X,X,O,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,X,O,X
TLSIJZO,X,O,X,X,X,X,X,O,X,X,X
TLSIJOZ,X,O,X,X,X,X,X,O,X,X,X
TLSIZJO,O,O,X,X,X,X,X,O,X,X,O
TLSIZOJ,O,O,X,X,X,X,X,O,X,X,O
TLSIOJZ,X,O,X,X,X,X,X,O,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,O,X,X,O
TLSJIZO,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,O,X,X,X
TLSJZIO,O,X,X,X,X,X,X,O,X,X,X
TLSJZOI,O,O,X,X,X,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,O,X,X,X
TLSJOZI,O,O,X,X,X,X,X,O,X,X,X
TLSZIJO,O,X,X,X,X,X,X,O,X,X,O
TLSZIOJ,O,O,X,X,X,X,X,O,X,X,O
TLSZJIO,O,X,X,X,X,X,X,O,X,O,X
TLSZJOI,O,O,X,X,X,X,X,O,X,O,X
TLSZOIJ,O,O,X,X,X,X,X,O,X,X,O
TLSZOJI,O,O,X,X,X,X,X,O,X,O,X
TLSOIJZ,X,O,X,X,X,X,X,O,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,O,X,X,O
TLSOJIZ,X,X,X,X,X,X,X,O,X,X,X
TLSOJZI,O,O,X,X,X,X,X,O,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,O,X,X,O
TLSOZJI,O,O,X,X,X,X,X,O,X,O,X
TLZIJSO,O,O,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,X,O
TLZISOJ,O,O,X,X,X,X,X,X,X,X,O
TLZIOJS,O,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X,X,X,O
TLZJISO,O,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,O,X
TLZJSOI,O,O,X,X,X,X,X,X,X,O,X
TLZJOIS,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X,X,O,X
TLZSIJO,O,X,X,X,X,X,X,O,X,X,O
TLZSIOJ,O,O,X,X,X,X,X,O,X,X,O
TLZSJIO,O,X,X,X,X,X,X,O,X,O,X
TLZSJOI,O,O,X,X,X,X,X,O,X,O,X
TLZSOIJ,O,O,X,X,X,X,X,O,X,X,O
TLZSOJI,O,O,X,X,X,X,X,O,X,O,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X,O
TLZOJIS,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,O,X
TLZOSIJ,O,O,X,X,X,X,X,O,X,X,O
TLZOSJI,O,O,X,X,X,X,X,O,X,O,X
TLOIJSZ,X,O,X,X,X,O,X,X,X,X,X
TLOIJZS,O,O,X,X,X,O,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,O,X,X,X
TLOISZJ,O,O,X,X,X,X,X,O,X,X,O
TLOIZJS,O,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,X,O
TLOJISZ,X,X,X,X,X,O,X,X,X,X,X
TLOJIZS,O,X,X,X,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,O,X,O,X,X,X
TLOJSZI,O,O,X,X,X,X,X,O,X,X,X
TLOJZIS,O,X,X,X,X,O,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,O,X
TLOSIJZ,X,O,X,X,X,X,X,O,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,O,X,X,O
TLOSJIZ,X,X,X,X,X,X,X,O,X,X,X
TLOSJZI,O,O,X,X,X,X,X,O,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,O,X,X,O
TLOSZJI,O,O,X,X,X,X,X,O,X,O,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X,O
TLOZJIS,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,O,X
TLOZSIJ,O,O,X,X,X,X,X,O,X,X,O
TLOZSJI,O,O,X,X,X,X,X,O,X,O,X
TJILSZO,X,O,X,X,X,O,X,X,X,X,X
TJILSOZ,X,O,X,X,X,O,X,X,X,X,X
TJILZSO,O,O,X,X,X,O,X,X,X,X,X
TJILZOS,O,O,X,X,X,O,X,X,X,X,X
TJILOSZ,X,O,X,X,X,O,X,X,X,X,X
TJILOZS,O,O,X,X,X,O,X,X,X,X,X
TJISLZO,X,O,X,O,X,O,X,X,X,X,X
TJISLOZ,X,O,X,O,X,O,X,X,X,X,X
TJISZLO,X,O,X,O,X,X,X,X,X,X,X
TJISZOL,X,O,X,O,X,X,X,X,X,X,X
TJISOLZ,X,O,X,O,X,O,X,X,X,X,X
TJISOZL,X,O,X,O,X,X,X,X,X,X,X
TJIZLSO,O,O,X,X,O,O,X,X,X,X,X
TJIZLOS,O,O,X,X,O,O,X,X,X,X,X
TJIZSLO,O,O,X,X,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,X,X,X,X,X
TJIZOLS,O,O,X,X,O,O,X,X,X,X,X
TJIZOSL,O,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,O,X,X,X,X,X
TJIOLZS,O,O,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,O,X,O,X,O,X,X,X,X,X
TJIOSZL,X,O,X,O,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,O,O,X,X,X,X,X
TJIOZSL,O,O,X,X,O,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,X,X,O,X,X,X,X,X
TJLIZSO,O,X,X,X,X,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,O,X,X,X,X,X
TJLIOZS,O,X,X,X,X,O,X,X,X,X,X
TJLSIZO,X,X,X,X,X,O,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,O,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,O,X,X,X,X,X
TJLZIOS,O,X,X,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,X,O,X
TJLZSOI,O,O,X,X,X,X,X,X,X,O,X
TJLZOIS,O,X,X,X,X,O,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X,X,O,X
TJLOISZ,X,X,X,X,X,O,X,X,X,X,X
TJLOIZS,O,X,X,X,X,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,O,X,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,X,O,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,O,X
TJSILZO,X,O,X,O,X,O,X,X,X,X,X
TJSILOZ,X,O,X,O,X,O,X,X,X,X,X
TJSIZLO,X,O,X,O,X,X,X,X,X,X,X
TJSIZOL,X,O,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,O,X,X,X,X,X
TJSIOZL,X,O,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,X,O,X,O,X,X,X,X,X
TJSLIOZ,X,X,X,O,X,O,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,X,X,X,X
TJSLZOI,O,O,X,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,O,X,X,X,X,X
TJSLOZI,O,O,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,X,O,X,X,X,X,X,X,X
TJSZLIO,O,X,X,O,X,X,X,X,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X,X
TJSOILZ,X,O,X,O,X,O,X,X,X,X,X
TJSOIZL,X,O,X,O,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,O,X,O,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,X,O,X,X,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,O,O,X,X,X,X,X
TJZILOS,O,X,X,X,O,O,X,X,X,X,X
TJZISLO,O,X,X,X,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,O,O,X,X,X,X,X
TJZIOSL,O,X,X,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,X,O,O,X,X,X,X,X
TJZLIOS,O,X,X,X,O,O,X,X,X,X,X
TJZLSIO,O,X,X,X,O,X,X,X,X,O,X
TJZLSOI,O,O,X,X,O,X,X,X,X,O,X
TJZLOIS,O,X,X,X,O,O,X,X,X,X,X
TJZLOSI,O,O,X,X,O,X,X,X,X,O,X
TJZSILO,O,X,X,X,O,X,X,X,X,X,X
TJZSIOL,O,X,X,X,O,X,X,X,X,X,X
TJZSLIO,O,X,X,X,O,X,X,X,X,O,X
TJZSLOI,O,O,X,X,O,X,X,X,X,O,X
TJZSOIL,O,X,X,X,O,X,X,X,X,X,X
TJZSOLI,O,O,X,X,O,X,X,X,X,O,X
TJZOILS,O,X,X,X,O,O,X,X,X,X,X
TJZOISL,O,X,X,X,O,X,X,X,X,X,X
TJZOLIS,O,X,X,X,O,O,X,X,X,X,X
TJZOLSI,O,O,X,X,O,X,X,X,X,O,X
TJZOSIL,O,X,X,X,O,X,X,X,X,X,X
TJZOSLI,O,O,X,X,O,X,X,X,X,O,X
TJOILSZ,X,O,X,X,X,O,X,X,X,X,X
TJOILZS,O,O,X,X,X,O,X,X,X,X,X
TJOISLZ,X,O,X,O,X,O,X,X,X,X,X
TJOISZL,X,O,X,O,X,X,X,X,X,X,X
TJOIZLS,O,O,X,X,O,O,X,X,X,X,X
TJOIZSL,O,O,X,X,O,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,O,X,X,X,X,X
TJOLIZS,O,X,X,X,X,O,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,O,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,X,O,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X,X,O,X
TJOSILZ,X,O,X,O,X,O,X,X,X,X,X
TJOSIZL,X,O,X,O,X,X,X,X,X,X,X
TJOSLIZ,X,X,X,O,X,O,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,X,O,X,X,X,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,O,O,X,X,X,X,X
TJOZISL,O,X,X,X,O,X,X,X,X,X,X
TJOZLIS,O,X,X,X,O,O,X,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X,X,O,X
TJOZSIL,O,X,X,X,O,X,X,X,X,X,X
TJOZSLI,O,O,X,X,O,X,X,X,X,O,X
TSILJZO,X,O,X,X,X,X,X,O,X,X,X
TSILJOZ,X,O,X,X,X,X,X,O,X,X,X
TSILZJO,O,O,X,X,X,X,X,O,O,X,O
TSILZOJ,O,O,X,X,X,X,X,O,O,X,O
TSILOJZ,X,O,X,X,X,X,X,O,X,X,X
TSILOZJ,O,O,X,X,X,X,X,O,O,X,O
TSIJLZO,X,O,X,O,X,X,X,X,X,X,X
TSIJLOZ,X,O,X,O,X,X,X,X,X,X,X
TSIJZLO,X,O,X,O,X,X,X,X,X,X,X
TSIJZOL,X,O,X,O,X,X,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,X,X,X,X
TSIJOZL,X,O,X,O,X,X,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X,X,X,X,O
TSIZLOJ,O,O,O,X,X,X,X,X,X,X,O
TSIZJLO,O,O,X,X,X,X,O,X,X,X,X
TSIZJOL,O,O,X,X,X,X,O,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X,X,X,O
TSIZOJL,O,O,X,X,X,X,O,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,O,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,O,O,X,O
TSIOJLZ,X,O,X,O,X,X,X,X,X,X,X
TSIOJZL,X,O,X,O,X,X,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X,X,X,O
TSIOZJL,O,O,X,X,X,X,O,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X,O,X,X,X
TSLIJOZ,X,O,X,X,X,X,X,O,X,X,X
TSLIZJO,O,O,X,X,X,X,X,O,O,X,O
TSLIZOJ,O,O,X,X,X,X,X,O,O,X,O
TSLIOJZ,X,O,X,X,X,X,X,O,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,O,O,X,O
TSLJIZO,X,X,X,O,X,X,X,O,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,O,X,X,X
TSLJZIO,O,X,X,O,X,X,X,O,X,X,X
TSLJZOI,O,O,X,O,X,X,X,O,X,X,X
TSLJOIZ,X,X,X,O,X,X,X,O,X,X,X
TSLJOZI,O,O,X,O,X,X,X,O,X,X,X
TSLZIJO,O,X,X,X,X,X,X,O,O,X,O
TSLZIOJ,O,O,X,X,X,X,X,O,O,X,O
TSLZJIO,O,X,X,X,X,X,O,O,O,O,X
TSLZJOI,O,O,X,X,X,X,O,O,O,O,X
TSLZOIJ,O,O,X,X,X,X,X,O,O,X,O
TSLZOJI,O,O,X,X,X,X,O,O,O,O,X
TSLOIJZ,X,O,X,X,X,X,X,O,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,O,O,X,O
TSLOJIZ,X,X,X,O,X,X,X,O,X,X,X
TSLOJZI,O,O,X,O,X,X,X,O,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,O,O,X,O
TSLOZJI,O,O,X,X,X,X,O,O,O,O,X
TSJILZO,X,O,X,O,X,X,X,X,X,X,X
TSJILOZ,X,O,X,O,X,X,X,X,X,X,X
TSJIZLO,X,O,X,O,X,X,X,X,X,X,X
TSJIZOL,X,O,X,O,X,X,X,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,X,X,X,X
TSJIOZL,X,O,X,O,X,X,X,X,X,X,X
TSJLIZO,X,X,X,O,X,X,X,X,X,X,X
TSJLIOZ,X,X,X,O,X,X,X,X,X,X,X
TSJLZIO,O,X,X,O,X,X,X,X,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X,X,X,X
TSJLOIZ,X,X,X,O,X,X,X,X,X,X,X
TSJLOZI,O,O,X,O,X,X,X,X,X,X,X
TSJZILO,O,X,X,O,X,X,O,X,X,X,X
TSJZIOL,O,X,X,O,X,X,O,X,X,X,X
TSJZLIO,O,X,X,O,X,X,O,X,X,X,X
TSJZLOI,O,O,X,O,X,X,O,X,X,X,X
TSJZOIL,O,X,X,O,X,X,O,X,X,X,X
TSJZOLI,O,O,X,O,X,X,O,X,X,X,X
TSJOILZ,X,O,X,O,X,X,X,X,X,X,X
TSJOIZL,X,O,X,O,X,X,X,X,X,X,X
TSJOLIZ,X,X,X,O,X,X,X,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X,X,X
TSJOZIL,O,X,X,O,X,X,O,X,X,X,X
TSJOZLI,O,O,X,O,X,X,O,X,X,X,X
