sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TSIOZJL,X,X,X
TSLIJZO,O,X,X
TSLIJOZ,X,X,X
TSLIZJO,O,X,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,X,X
TSLJIOZ,X,X,X
TSLJZIO,O,X,X
TSLJZOI,X,X,X
TSLJOIZ,X,X,X
TSLJOZI,X,X,X
TSLZIJO,O,X,X
TSLZIOJ,O,X,X
TSLZJIO,O,X,X
TSLZJOI,X,X,X
TSLZOIJ,O,X,X
TSLZOJI,O,X,X
TSLOIJZ,O,X,X
TSLOIZJ,O,X,X
TSLOJIZ,O,X,X
TSLOJZI,O,X,X
TSLOZIJ,O,X,X
TSLOZJI,O,X,X
TSJILZO,O,X,X
TSJILOZ,X,X,X
TSJIZLO,O,O,X
TSJIZOL,X,X,X
TSJIOLZ,X,X,X
TSJIOZL,X,X,X
TSJLIZO,O,X,X
TSJLIOZ,X,X,X
TSJLZIO,O,X,X
TSJLZOI,X,X,X
TSJLOIZ,X,X,X
TSJLOZI,X,X,X
TSJZILO,O,O,X
TSJZIOL,X,X,X
TSJZLIO,X,O,X
TSJZLOI,X,X,X
TSJZOIL,X,X,X
TSJZOLI,X,X,X
TSJOILZ,X,X,X
TSJOIZL,X,X,O
TSJOLIZ,X,X,X
TSJOLZI,X,X,X
TSJOZIL,X,X,O
TSJOZLI,X,X,X
TSZILJO,O,O,X
TSZILOJ,O,X,X
TSZIJLO,O,X,X
TSZIJOL,X,X,X
TSZIOLJ,X,X,X
TSZIOJL,X,X,X
TSZLIJO,O,O,X
TSZLIOJ,O,X,X
TSZLJIO,O,O,X
TSZLJOI,X,X,X
TSZLOIJ,O,X,X
TSZLOJI,O,X,X
TSZJILO,O,O,X
TSZJIOL,X,X,X
TSZJLIO,X,O,X
TSZJLOI,X,X,X
TSZJOIL,X,X,X
TSZJOLI,X,X,X
TSZOILJ,X,X,X
TSZOIJL,X,X,O
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,O
TSZOJLI,X,X,X
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,O
TSOLIJZ,X,X,X
TSOLIZJ,X,X,X
TSOLJIZ,X,X,X
TSOLJZI,X,X,X
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,X,X,X
TSOJIZL,X,X,O
TSOJLIZ,X,X,X
TSOJLZI,X,X,X
TSOJZIL,X,X,O
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,O
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,O
TSOZJLI,X,X,X
TZILJSO,O,X,X
TZILJOS,X,X,X
TZILSJO,O,O,X
TZILSOJ,O,X,X
TZILOJS,O,X,X
TZILOSJ,O,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,O,X,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,O,O,X
TZISLOJ,O,X,X
TZISJLO,O,X,X
TZISJOL,X,X,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,O,X,X
TZLIJOS,X,X,X
TZLISJO,O,O,X
TZLISOJ,O,X,X
TZLIOJS,O,X,X
TZLIOSJ,O,X,X
TZLJISO,O,O,X
TZLJIOS,X,X,X
TZLJSIO,O,O,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,O,O,X
TZLSIOJ,O,X,X
TZLSJIO,O,O,X
TZLSJOI,X,X,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,O,X,X
TZLOISJ,O,X,X
TZLOJIS,O,X,X
TZLOJSI,O,X,X
TZLOSIJ,O,X,X
TZLOSJI,O,X,X
TZJILSO,X,O,X
TZJILOS,X,X,X
TZJISLO,O,O,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,O,X
TZJLIOS,X,X,X
TZJLSIO,X,O,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,O,O,X
TZJSIOL,X,X,X
TZJSLIO,X,O,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,O,O,X
TZSILOJ,O,X,X
TZSIJLO,O,X,X
TZSIJOL,X,X,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,O,O,X
TZSLIOJ,O,X,X
TZSLJIO,O,O,X
TZSLJOI,X,X,X
TZSLOIJ,O,X,X
TZSLOJI,O,X,X
TZSJILO,O,O,X
TZSJIOL,X,X,X
TZSJLIO,X,O,X
TZSJLOI,X,X,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,X,X,O
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,O
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,O
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
