sequence,v115@OhA8IeC8AeE8AeC8JeZEJvhFqkB/lBUhBFiBTjBmrB,v115@OhA8IeC8AeE8AeC8JeZEJvhFUgBamBFiBTjBWqBfsB,v115@OhA8IeC8AeE8AeC8JeZEJvhFqkBmgBFiBTjB0lBfsB,v115@OhA8IeC8AeE8AeC8JeZEJvhFCgB0hBTjBXlBVrBOsB
TSLIJZO,X,X,X,X
TSLIJOZ,X,X,X,X
TSLIZJO,X,X,X,X
TSLIZOJ,O,X,X,O
TSLIOJZ,X,X,X,X
TSLIOZJ,O,X,X,O
TSLJIZO,X,X,X,X
TSLJIOZ,X,X,X,X
TSLJZIO,X,X,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,X,X,X
TSLZIOJ,O,X,X,O
TSLZJIO,X,X,X,X
TSLZJOI,X,X,X,X
TSLZOIJ,O,X,X,O
TSLZOJI,X,X,X,X
TSLOIJZ,X,X,X,X
TSLOIZJ,O,X,X,O
TSLOJIZ,X,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,O,X,X,O
TSLOZJI,X,X,X,X
TSJILZO,X,X,X,X
TSJILOZ,X,X,X,X
TSJIZLO,X,X,X,X
TSJIZOL,X,X,X,X
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,X,X,X,X
TSJLZIO,X,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,X,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,X,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,X,X,X,X
TSZILOJ,X,X,X,O
TSZIJLO,X,X,X,X
TSZIJOL,X,X,X,X
TSZIOLJ,X,X,X,O
TSZIOJL,X,X,X,X
TSZLIJO,X,X,X,X
TSZLIOJ,O,X,X,O
TSZLJIO,X,X,X,X
TSZLJOI,X,X,X,X
TSZLOIJ,O,X,X,O
TSZLOJI,X,X,X,X
TSZJILO,X,X,X,X
TSZJIOL,X,X,X,X
TSZJLIO,X,X,X,X
TSZJLOI,X,X,X,X
TSZJOIL,X,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,O
TSZOIJL,X,X,X,X
TSZOLIJ,O,X,X,O
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,X,O
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,X,X,O
TSOIZJL,X,X,X,X
TSOLIJZ,X,X,X,X
TSOLIZJ,O,X,X,O
TSOLJIZ,X,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,O,X,X,O
TSOLZJI,X,X,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,X
TSOJLIZ,X,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,O
TSOZIJL,X,X,X,X
TSOZLIJ,O,X,X,O
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,X
TSOZJLI,X,X,X,X
TZILJSO,X,X,X,X
TZILJOS,X,X,X,X
TZILSJO,X,X,X,X
TZILSOJ,X,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,X,X,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,X,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,X,X
TZISLOJ,X,X,X,O
TZISJLO,X,X,X,X
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,O
TZISOJL,X,X,X,X
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,O
TZIOSJL,X,X,X,X
TZLIJSO,X,X,X,X
TZLIJOS,X,X,X,X
TZLISJO,X,X,X,X
TZLISOJ,X,X,X,X
TZLIOJS,X,X,X,X
TZLIOSJ,X,X,X,X
TZLJISO,X,X,X,X
TZLJIOS,X,X,X,X
TZLJSIO,X,X,X,X
TZLJSOI,X,X,X,X
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,X,X,X,X
TZLSIOJ,X,X,X,X
TZLSJIO,X,X,X,X
TZLSJOI,X,X,X,X
TZLSOIJ,X,X,X,X
TZLSOJI,X,X,X,X
TZLOIJS,X,X,X,X
TZLOISJ,X,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,X
TZLOSIJ,X,X,X,X
TZLOSJI,X,X,X,X
TZJILSO,X,X,X,X
TZJILOS,X,X,X,X
TZJISLO,X,X,X,X
TZJISOL,X,X,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,X,X,X
TZJLIOS,X,X,X,X
TZJLSIO,X,X,X,X
TZJLSOI,X,X,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,X,X,X
TZJSIOL,X,X,X,X
TZJSLIO,X,X,X,X
TZJSLOI,X,X,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,X,X,X
TZSILOJ,X,X,X,O
TZSIJLO,X,X,X,X
TZSIJOL,X,X,X,X
TZSIOLJ,X,X,X,O
TZSIOJL,X,X,X,X
TZSLIJO,X,X,X,X
TZSLIOJ,X,X,X,O
TZSLJIO,X,X,X,X
TZSLJOI,X,X,X,X
TZSLOIJ,X,X,X,O
TZSLOJI,X,X,X,X
TZSJILO,X,X,X,X
TZSJIOL,X,X,X,X
TZSJLIO,X,X,X,X
TZSJLOI,X,X,X,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,O
TZSOIJL,X,X,X,X
TZSOLIJ,X,X,X,O
TZSOLJI,X,X,X,X
TZSOJIL,X,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,O
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,X,X,X,X
TZOLSJI,X,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,O
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,O
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,O,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,O,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,O,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,X,X,X,O
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,X,X,O
TOISZJL,X,X,X,X
TOIZLJS,X,X,X,X
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,O
TOIZSJL,X,X,X,X
TOLIJSZ,O,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,X,X
TOLISZJ,O,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,O,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,O,X,X,X
TOLJSZI,O,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,X,X,X
TOLSIZJ,O,X,X,X
TOLSJIZ,X,X,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,O,X,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,X,X,X,X
