sequence,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhF6lBThB5oBlnBmn?BXrB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhF6lBThB5oBmnBln?BXrB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhFxgB/nBGmB6tBFo?BzqB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhFxgBTiBWrBVtB6t?BXrB,v115@HhA8IeC8CeA8CeC8BeD8Kel/IvhF3gBTiBeoB5oBCr?BcrB,v115@HhA8IeC8CeA8CeC8BeD8Kel/IvhFTiBxlB6tBuqBcr?BXtB,v115@HhA8IeC8CeA8CeC8BeD8Ke0/IvhFxgB/nBToBCrBFr?BGtB
TOILJZS,X,X,X,X,O,O,X
TOILSJZ,X,X,X,X,X,O,X
TOILSZJ,X,X,X,X,X,O,X
TOILZJS,X,X,X,X,X,O,X
TOILZSJ,X,X,X,X,X,O,X
TOIJLSZ,X,X,X,O,O,O,X
TOIJLZS,X,X,X,O,O,O,X
TOIJSLZ,X,X,X,O,O,X,X
TOIJSZL,X,X,X,O,X,X,X
TOIJZLS,X,X,X,O,O,X,X
TOIJZSL,X,X,X,O,X,X,X
TOISLJZ,O,X,X,X,X,O,X
TOISLZJ,O,X,X,X,X,O,X
TOISJLZ,O,X,X,X,X,X,X
TOISJZL,O,X,X,X,X,X,X
TOISZLJ,O,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,O,X
TOIZLSJ,O,X,X,X,X,O,X
TOIZJLS,X,X,X,O,X,X,X
TOIZJSL,X,X,X,O,X,X,X
TOIZSLJ,O,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,O,O,X
TOLIJZS,X,X,X,X,O,O,X
TOLISJZ,X,X,X,X,X,O,X
TOLISZJ,X,X,X,X,X,O,X
TOLIZJS,X,X,X,X,X,O,X
TOLIZSJ,X,X,X,X,X,O,X
TOLJISZ,X,X,O,O,O,O,X
TOLJIZS,X,X,O,O,O,O,X
TOLJSIZ,X,X,O,O,O,X,X
TOLJSZI,X,X,O,O,X,X,X
TOLJZIS,X,X,O,O,O,X,X
TOLJZSI,X,X,O,O,X,X,X
TOLSIJZ,X,X,X,X,X,O,O
TOLSIZJ,X,X,X,X,X,O,O
TOLSJIZ,X,X,O,X,O,X,O
TOLSJZI,X,X,O,X,X,X,O
TOLSZIJ,X,X,X,X,X,X,O
TOLSZJI,X,X,O,X,X,X,O
TOLZIJS,X,X,X,X,X,O,X
TOLZISJ,X,X,X,X,X,O,X
TOLZJIS,X,X,O,O,O,X,X
TOLZJSI,X,X,O,O,X,X,X
TOLZSIJ,X,X,X,X,X,X,O
TOLZSJI,X,X,O,X,X,X,O
TOJILSZ,X,X,O,O,O,O,X
TOJILZS,X,X,O,O,O,O,X
TOJISLZ,X,X,O,O,O,X,X
TOJISZL,X,X,O,O,X,X,X
TOJIZLS,X,X,O,O,O,X,X
TOJIZSL,X,X,O,O,X,X,X
TOJLISZ,X,X,O,O,O,O,X
TOJLIZS,X,X,O,O,O,O,X
TOJLSIZ,X,X,O,O,O,X,X
TOJLSZI,X,X,O,O,X,X,X
TOJLZIS,X,X,O,O,O,X,X
TOJLZSI,X,X,O,O,X,X,X
TOJSILZ,X,X,O,O,O,X,X
TOJSIZL,X,X,O,O,X,X,X
TOJSLIZ,X,X,O,O,O,X,X
TOJSLZI,X,X,O,O,X,X,X
TOJSZIL,X,X,O,O,X,X,X
TOJSZLI,X,X,O,O,X,X,X
TOJZILS,X,X,O,O,O,X,X
TOJZISL,X,X,O,O,X,X,X
TOJZLIS,X,X,O,O,O,X,X
TOJZLSI,X,X,O,O,X,X,X
TOJZSIL,X,X,O,O,X,X,X
TOJZSLI,X,X,O,O,X,X,X
TOSILJZ,O,X,X,X,X,O,X
TOSILZJ,O,X,X,X,X,O,X
TOSIJLZ,O,X,X,X,X,X,X
TOSIJZL,O,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X,X
TOSLIJZ,O,X,X,X,X,O,O
TOSLIZJ,O,X,X,X,X,O,O
TOSLJIZ,O,X,O,X,O,X,O
TOSLJZI,O,X,O,X,X,X,O
TOSLZIJ,O,X,X,X,X,X,O
TOSLZJI,O,X,O,X,X,X,O
TOSJILZ,O,X,O,O,O,X,X
TOSJIZL,O,X,O,O,X,X,X
TOSJLIZ,O,X,O,O,O,X,X
TOSJLZI,O,X,O,O,X,X,X
TOSJZIL,O,X,O,O,X,X,X
TOSJZLI,O,X,O,O,X,X,X
TOSZILJ,O,X,X,X,X,X,X
TOSZIJL,O,X,X,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,O
TOSZLJI,O,X,O,X,X,X,O
TOSZJIL,O,X,O,O,X,X,X
TOSZJLI,O,X,O,O,X,X,X
TOZILJS,X,X,X,X,X,O,X
TOZILSJ,O,X,X,X,X,O,X
TOZIJLS,X,X,X,O,X,X,X
TOZIJSL,X,X,X,O,X,X,X
TOZISLJ,O,X,X,X,X,X,X
TOZISJL,O,X,X,X,X,X,X
TOZLIJS,X,X,X,X,X,O,X
TOZLISJ,O,X,X,X,X,O,X
TOZLJIS,X,X,O,O,O,X,X
TOZLJSI,X,X,O,O,X,X,X
TOZLSIJ,O,X,X,X,X,X,O
TOZLSJI,O,X,O,X,X,X,O
TOZJILS,X,X,O,O,O,X,X
TOZJISL,X,X,O,O,X,X,X
TOZJLIS,X,X,O,O,O,X,X
TOZJLSI,X,X,O,O,X,X,X
TOZJSIL,X,X,O,O,X,X,X
TOZJSLI,X,X,O,O,X,X,X
TOZSILJ,O,X,X,X,X,X,X
TOZSIJL,O,X,X,X,X,X,X
TOZSLIJ,O,X,X,X,X,X,O
TOZSLJI,O,X,O,X,X,X,O
TOZSJIL,O,X,O,O,X,X,X
TOZSJLI,O,X,O,O,X,X,X
ITLJSZO,X,X,X,X,O,X,X
ITLJSOZ,X,X,X,X,O,X,X
ITLJZSO,X,X,X,X,O,X,X
ITLJZOS,X,X,X,X,O,X,X
ITLJOSZ,X,X,X,X,O,O,X
ITLJOZS,X,X,X,X,O,O,X
ITLSJZO,O,X,X,X,O,X,X
ITLSJOZ,O,X,X,X,O,X,X
ITLSZJO,O,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,O,X
ITLSOZJ,O,X,X,X,X,O,X
ITLZJSO,O,X,X,X,O,X,X
ITLZJOS,X,X,X,X,O,X,X
ITLZSJO,O,X,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,X,X
ITLZOJS,X,X,X,X,X,O,X
ITLZOSJ,O,X,X,X,X,O,X
ITLOJSZ,X,X,X,X,O,O,X
ITLOJZS,X,X,X,X,O,O,X
ITLOSJZ,X,X,X,X,X,O,X
ITLOSZJ,X,X,X,X,X,O,X
ITLOZJS,X,X,X,X,X,O,X
ITLOZSJ,X,X,X,X,X,O,X
ITJLSZO,X,X,X,O,O,X,X
ITJLSOZ,X,X,X,O,O,X,X
ITJLZSO,X,X,X,O,O,X,X
ITJLZOS,X,X,X,O,O,X,X
ITJLOSZ,X,X,X,O,O,O,X
ITJLOZS,X,X,X,O,O,O,X
ITJSLZO,O,O,X,O,O,X,X
ITJSLOZ,O,O,X,O,O,X,X
ITJSZLO,O,O,X,O,X,X,X
ITJSZOL,O,O,X,O,X,X,X
ITJSOLZ,O,O,X,O,O,X,X
ITJSOZL,O,O,X,O,X,X,X
ITJZLSO,O,O,X,O,O,X,X
ITJZLOS,X,X,X,O,O,X,X
ITJZSLO,O,O,X,O,X,X,X
ITJZSOL,O,O,X,O,X,X,X
ITJZOLS,X,X,X,O,O,X,X
ITJZOSL,X,X,X,O,X,X,X
ITJOLSZ,X,X,X,O,O,O,X
ITJOLZS,X,X,X,O,O,O,X
ITJOSLZ,X,X,X,O,O,X,X
ITJOSZL,X,X,X,O,X,X,X
ITJOZLS,X,X,X,O,O,X,X
ITJOZSL,X,X,X,O,X,X,X
ITSLJZO,O,O,X,X,O,X,X
ITSLJOZ,O,O,X,X,O,X,X
ITSLZJO,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,O,X
ITSLOZJ,O,O,X,X,X,O,X
ITSJLZO,O,O,X,X,O,X,X
ITSJLOZ,O,O,X,X,O,X,X
ITSJZLO,O,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X
ITSJOLZ,O,O,X,X,O,X,X
ITSJOZL,O,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X
ITSOLJZ,O,O,X,X,X,O,X
ITSOLZJ,O,O,X,X,X,O,X
ITSOJLZ,O,O,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X
ITZLJSO,O,O,X,X,O,X,X
ITZLJOS,X,X,X,X,O,X,X
ITZLSJO,O,X,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,X,X
ITZLOJS,X,X,X,X,X,O,X
ITZLOSJ,O,X,X,X,X,O,X
ITZJLSO,O,O,X,O,O,X,X
ITZJLOS,X,X,X,O,O,X,X
ITZJSLO,O,O,X,O,X,X,X
ITZJSOL,O,O,X,O,X,X,X
ITZJOLS,X,X,X,O,O,X,X
ITZJOSL,X,X,X,O,X,X,X
ITZSLJO,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X
ITZOLJS,X,X,X,X,X,O,X
ITZOLSJ,O,X,X,X,X,O,X
ITZOJLS,X,X,X,O,X,X,X
ITZOJSL,X,X,X,O,X,X,X
ITZOSLJ,O,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,O,O,X
ITOLJZS,X,X,X,X,O,O,X
ITOLSJZ,X,X,X,X,X,O,X
ITOLSZJ,X,X,X,X,X,O,X
ITOLZJS,X,X,X,X,X,O,X
ITOLZSJ,X,X,X,X,X,O,X
ITOJLSZ,X,X,X,O,O,O,X
ITOJLZS,X,X,X,O,O,O,X
ITOJSLZ,X,X,X,O,O,X,X
ITOJSZL,X,X,X,O,X,X,X
ITOJZLS,X,X,X,O,O,X,X
ITOJZSL,X,X,X,O,X,X,X
ITOSLJZ,O,X,X,X,X,O,X
ITOSLZJ,O,X,X,X,X,O,X
ITOSJLZ,O,X,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,O,X
ITOZLSJ,O,X,X,X,X,O,X
ITOZJLS,X,X,X,O,X,X,X
ITOZJSL,X,X,X,O,X,X,X
ITOZSLJ,O,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X
ILTJSZO,X,X,X,X,O,X,X
ILTJSOZ,X,X,X,X,O,X,X
ILTJZSO,X,X,X,X,O,X,X
ILTJZOS,X,X,X,X,O,X,X
ILTJOSZ,X,X,X,X,O,O,X
ILTJOZS,X,X,X,X,O,O,X
ILTSJZO,O,X,X,X,O,X,X
ILTSJOZ,O,X,X,X,O,X,X
ILTSZJO,O,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,O,X
ILTSOZJ,O,X,X,X,X,O,X
ILTZJSO,O,X,X,X,O,X,X
ILTZJOS,X,X,X,X,O,X,X
ILTZSJO,O,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X,X
ILTZOJS,X,X,X,X,X,O,X
ILTZOSJ,O,X,X,X,X,O,X
ILTOJSZ,X,X,X,X,O,O,X
ILTOJZS,X,X,X,X,O,O,X
ILTOSJZ,X,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,X,O,X
ILTOZJS,X,X,X,X,X,O,X
ILTOZSJ,X,X,X,X,X,O,X
ILJTSZO,X,X,O,X,O,X,X
ILJTSOZ,X,X,X,X,O,X,X
ILJTZSO,X,X,O,X,O,X,X
ILJTZOS,X,X,X,X,O,X,X
ILJTOSZ,X,X,X,X,O,O,X
ILJTOZS,X,X,X,X,O,O,X
ILJSTZO,X,O,O,X,O,X,X
ILJSTOZ,X,O,X,X,O,X,X
ILJSZTO,X,O,O,X,O,X,X
ILJSZOT,X,O,O,X,O,X,X
ILJSOTZ,X,O,X,X,O,X,X
ILJSOZT,X,O,O,X,O,X,X
ILJZTSO,X,O,O,X,O,X,X
ILJZTOS,X,X,X,X,O,X,X
ILJZSTO,X,O,O,X,O,X,X
ILJZSOT,X,O,O,X,O,X,X
ILJZOTS,X,X,X,X,O,X,X
ILJZOST,X,O,O,X,O,X,X
ILJOTSZ,X,X,X,X,O,O,X
ILJOTZS,X,X,X,X,O,O,X
ILJOSTZ,X,X,X,X,O,X,X
ILJOSZT,X,X,O,X,O,X,X
ILJOZTS,X,X,X,X,O,X,X
ILJOZST,X,X,O,X,O,X,X
ILSTJZO,O,O,X,X,O,X,X
ILSTJOZ,O,O,X,X,O,X,X
ILSTZJO,O,O,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,O,X
ILSTOZJ,O,O,X,X,X,O,X
ILSJTZO,O,O,O,X,O,X,X
ILSJTOZ,O,O,X,X,O,X,X
ILSJZTO,O,O,O,X,O,X,X
ILSJZOT,O,O,O,X,O,X,X
ILSJOTZ,O,O,X,X,O,X,X
ILSJOZT,O,O,O,X,O,X,X
ILSZTJO,O,O,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X
ILSZJTO,O,O,O,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,O
ILSZOJT,O,O,O,X,X,X,X
ILSOTJZ,O,O,X,X,X,O,O
ILSOTZJ,O,O,X,X,X,O,O
ILSOJTZ,O,O,O,X,X,X,X
ILSOJZT,O,O,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X,O
ILSOZJT,O,O,O,X,X,X,X
ILZTJSO,O,O,X,X,O,X,X
ILZTJOS,X,X,X,X,O,X,X
ILZTSJO,O,X,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X,X
ILZTOJS,X,X,X,X,X,O,X
ILZTOSJ,O,X,X,X,X,O,X
ILZJTSO,O,O,O,X,O,X,X
ILZJTOS,X,X,X,X,O,X,X
ILZJSTO,X,O,O,X,O,X,X
ILZJSOT,X,O,O,X,O,X,X
ILZJOTS,X,X,X,X,O,X,X
ILZJOST,X,O,O,X,O,X,X
ILZSTJO,O,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,O
ILZSOJT,O,O,O,X,X,X,X
ILZOTJS,X,X,X,X,X,O,X
ILZOTSJ,O,X,X,X,X,O,X
ILZOJTS,X,X,O,X,X,X,X
ILZOJST,X,O,O,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,O
ILZOSJT,X,X,O,X,X,X,X
ILOTJSZ,X,X,X,X,O,O,X
ILOTJZS,X,X,X,X,O,O,X
ILOTSJZ,X,X,X,X,X,O,X
ILOTSZJ,X,X,X,X,X,O,X
ILOTZJS,X,X,X,X,X,O,X
ILOTZSJ,X,X,X,X,X,O,X
ILOJTSZ,X,X,O,X,O,O,X
ILOJTZS,X,X,O,X,O,O,X
ILOJSTZ,X,X,O,X,O,X,X
ILOJSZT,X,X,O,X,O,X,X
ILOJZTS,X,X,O,X,O,X,X
ILOJZST,X,X,O,X,O,X,X
ILOSTJZ,X,X,X,X,X,O,O
ILOSTZJ,X,X,X,X,X,O,O
ILOSJTZ,X,X,O,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,O
ILOSZJT,X,X,O,X,X,X,X
ILOZTJS,X,X,X,X,X,O,X
ILOZTSJ,X,X,X,X,X,O,X
ILOZJTS,X,X,O,X,X,X,X
ILOZJST,X,X,O,X,X,X,X
ILOZSTJ,X,X,X,X,X,X,O
ILOZSJT,X,X,O,X,X,X,X
IJTLSZO,X,X,O,O,O,X,X
IJTLSOZ,X,X,X,O,O,X,X
IJTLZSO,X,X,O,O,O,X,X
IJTLZOS,X,X,X,O,O,X,X
IJTLOSZ,X,X,X,O,O,O,X
IJTLOZS,X,X,X,O,O,O,X
IJTSLZO,O,O,O,O,O,X,X
IJTSLOZ,O,O,X,O,O,X,X
IJTSZLO,O,O,O,O,X,X,X
IJTSZOL,O,O,X,O,X,X,X
IJTSOLZ,O,O,X,O,O,X,X
IJTSOZL,O,O,X,O,X,X,X
IJTZLSO,O,O,O,O,O,X,X
IJTZLOS,X,X,X,O,O,X,X
IJTZSLO,O,O,O,O,X,X,X
IJTZSOL,O,O,X,O,X,X,X
IJTZOLS,X,X,X,O,O,X,X
IJTZOSL,X,X,X,O,X,X,X
IJTOLSZ,X,X,X,O,O,O,X
IJTOLZS,X,X,X,O,O,O,X
IJTOSLZ,X,X,X,O,O,X,X
IJTOSZL,X,X,X,O,X,X,X
IJTOZLS,X,X,X,O,O,X,X
IJTOZSL,X,X,X,O,X,X,X
IJLTSZO,X,X,O,O,O,X,X
IJLTSOZ,X,X,X,O,O,X,X
IJLTZSO,X,X,O,O,O,X,X
IJLTZOS,X,X,X,O,O,X,X
IJLTOSZ,X,X,X,O,O,O,X
IJLTOZS,X,X,X,O,O,O,X
IJLSTZO,X,O,O,X,O,X,X
IJLSTOZ,X,O,X,X,O,X,X
IJLSZTO,X,O,O,X,O,X,X
IJLSZOT,X,O,O,X,O,X,X
IJLSOTZ,X,O,X,X,O,X,X
IJLSOZT,X,O,O,X,O,X,X
IJLZTSO,X,O,O,O,O,X,X
IJLZTOS,X,X,X,O,O,X,X
IJLZSTO,X,O,O,X,O,X,X
IJLZSOT,X,O,O,X,O,X,X
IJLZOTS,X,X,X,O,O,X,X
IJLZOST,X,O,O,X,O,X,X
IJLOTSZ,X,X,X,O,O,O,X
IJLOTZS,X,X,X,O,O,O,X
IJLOSTZ,X,X,X,X,O,X,X
IJLOSZT,X,X,O,X,O,X,X
IJLOZTS,X,X,X,O,O,X,X
IJLOZST,X,X,O,X,O,X,X
IJSTLZO,O,O,O,O,O,X,X
IJSTLOZ,O,O,X,O,O,X,X
IJSTZLO,O,O,O,O,X,X,X
IJSTZOL,O,O,X,O,X,X,X
IJSTOLZ,O,O,X,O,O,X,X
IJSTOZL,O,O,X,O,X,X,X
IJSLTZO,O,O,O,X,O,X,X
IJSLTOZ,O,O,X,X,O,X,X
IJSLZTO,O,O,O,X,O,X,X
IJSLZOT,O,O,O,X,O,X,X
IJSLOTZ,O,O,X,X,O,X,X
IJSLOZT,O,O,O,X,O,X,X
IJSZTLO,O,O,O,O,X,X,X
IJSZTOL,O,O,X,O,X,X,X
IJSZLTO,O,O,O,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X
IJSZOTL,O,O,X,O,X,X,X
IJSZOLT,O,O,O,X,X,X,X
IJSOTLZ,O,O,X,O,O,X,X
IJSOTZL,O,O,X,O,X,X,X
IJSOLTZ,O,O,X,X,O,X,X
IJSOLZT,O,O,O,X,O,X,X
IJSOZTL,O,O,X,O,X,X,X
IJSOZLT,O,O,O,X,X,X,X
IJZTLSO,O,O,O,O,O,X,X
IJZTLOS,X,X,X,O,O,X,X
IJZTSLO,O,O,O,O,X,X,X
IJZTSOL,O,O,X,O,X,X,X
IJZTOLS,X,X,X,O,O,X,X
IJZTOSL,X,X,X,O,X,X,X
IJZLTSO,O,O,O,O,O,X,X
IJZLTOS,X,X,X,O,O,X,X
IJZLSTO,X,O,O,X,O,X,X
IJZLSOT,X,O,O,X,O,X,X
IJZLOTS,X,X,X,O,O,X,X
IJZLOST,X,O,O,X,O,X,X
IJZSTLO,O,O,O,O,X,X,X
IJZSTOL,O,O,X,O,X,X,X
IJZSLTO,O,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X
IJZSOTL,O,O,X,O,X,X,X
IJZSOLT,O,O,O,X,X,X,X
IJZOTLS,X,X,X,O,O,X,X
IJZOTSL,X,X,X,O,X,X,X
IJZOLTS,X,X,X,O,O,X,X
IJZOLST,X,O,O,X,O,X,X
IJZOSTL,X,O,X,O,X,X,X
IJZOSLT,X,O,O,X,X,X,X
IJOTLSZ,X,X,X,O,O,O,X
IJOTLZS,X,X,X,O,O,O,X
IJOTSLZ,X,X,X,O,O,X,X
IJOTSZL,X,X,X,O,X,X,X
IJOTZLS,X,X,X,O,O,X,X
IJOTZSL,X,X,X,O,X,X,X
IJOLTSZ,X,X,X,O,O,O,X
IJOLTZS,X,X,X,O,O,O,X
IJOLSTZ,X,X,X,X,O,X,X
IJOLSZT,X,X,O,X,O,X,X
IJOLZTS,X,X,X,O,O,X,X
IJOLZST,X,X,O,X,O,X,X
IJOSTLZ,X,O,X,O,O,X,X
IJOSTZL,X,O,X,O,X,X,X
IJOSLTZ,X,O,X,X,O,X,X
IJOSLZT,X,O,O,X,O,X,X
IJOSZTL,X,O,X,O,X,X,X
IJOSZLT,X,O,O,X,X,X,X
IJOZTLS,X,X,X,O,O,X,X
IJOZTSL,X,X,X,O,X,X,X
IJOZLTS,X,X,X,O,O,X,X
IJOZLST,X,O,O,X,O,X,X
IJOZSTL,X,O,X,O,X,X,X
IJOZSLT,X,O,O,X,X,X,X
ISTLJZO,O,O,X,X,O,X,X
ISTLJOZ,O,O,X,X,O,X,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,O,X
ISTLOZJ,O,O,X,X,X,O,X
ISTJLZO,O,O,X,X,O,X,X
ISTJLOZ,O,O,X,X,O,X,X
ISTJZLO,O,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X
ISTJOLZ,O,O,X,X,O,X,X
ISTJOZL,O,O,X,X,X,X,X
ISTZLJO,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,O,X
ISTOLZJ,O,O,X,X,X,O,X
ISTOJLZ,O,O,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X
ISLTJZO,O,O,X,X,O,X,X
ISLTJOZ,O,O,X,X,O,X,X
ISLTZJO,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,O,X
ISLTOZJ,O,O,X,X,X,O,X
ISLJTZO,O,O,O,X,O,X,X
ISLJTOZ,O,O,X,X,O,X,X
ISLJZTO,O,O,O,X,O,X,X
ISLJZOT,O,O,O,X,O,X,X
ISLJOTZ,O,O,X,X,O,X,X
ISLJOZT,O,O,O,X,O,X,X
ISLZTJO,O,O,X,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,X,X,X,X,O
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,O,O,X,X,X,O,O
ISLOTZJ,O,O,X,X,X,O,O
ISLOJTZ,O,O,O,X,X,X,X
ISLOJZT,O,O,O,X,X,X,X
ISLOZTJ,O,O,X,X,X,X,O
ISLOZJT,O,O,O,X,X,X,X
ISJTLZO,O,O,O,X,O,X,X
ISJTLOZ,O,O,X,X,O,X,X
ISJTZLO,O,O,O,X,X,X,X
ISJTZOL,O,O,X,X,X,X,X
ISJTOLZ,O,O,X,X,O,X,X
ISJTOZL,O,O,X,X,X,X,X
ISJLTZO,O,O,O,X,O,X,X
ISJLTOZ,O,O,X,X,O,X,X
ISJLZTO,O,O,O,X,O,X,X
ISJLZOT,O,O,O,X,O,X,X
ISJLOTZ,O,O,X,X,O,X,X
ISJLOZT,O,O,O,X,O,X,X
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X
ISJOTLZ,O,O,X,X,O,X,X
ISJOTZL,O,O,X,X,X,X,X
ISJOLTZ,O,O,X,X,O,X,X
ISJOLZT,O,O,O,X,O,X,X
ISJOZTL,O,O,X,X,X,X,X
ISJOZLT,O,O,O,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,O
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,O,O,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X
ISZJLOT,O,O,O,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,O
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,O,O,X,X,X,O,X
ISOTLZJ,O,O,X,X,X,O,X
ISOTJLZ,O,O,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X
ISOTZLJ,O,O,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X
ISOLTJZ,O,O,X,X,X,O,O
ISOLTZJ,O,O,X,X,X,O,O
ISOLJTZ,O,O,O,X,X,X,X
ISOLJZT,O,O,O,X,X,X,X
ISOLZTJ,O,O,X,X,X,X,O
ISOLZJT,O,O,O,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X
ISOJLZT,O,O,O,X,X,X,X
ISOJZTL,O,O,O,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,O
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,O,O,X,X,O,X,X
IZTLJOS,X,X,X,X,O,X,X
IZTLSJO,O,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,O,X
IZTLOSJ,O,X,X,X,X,O,X
IZTJLSO,O,O,X,O,O,X,X
IZTJLOS,X,X,X,O,O,X,X
IZTJSLO,O,O,X,O,X,X,X
IZTJSOL,O,O,X,O,X,X,X
IZTJOLS,X,X,X,O,O,X,X
IZTJOSL,X,X,X,O,X,X,X
IZTSLJO,O,O,X,X,X,X,X
