sequence,v115@HhA8IeF8DeB8CeC8Lel/IvhF3gBzhBGjBxsByvBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFlgBfnBxiBznB+tByvB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziB5oBmsBcqBXrB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBzhBxsBftB6tB1vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFzgBfnBxiBStB2vBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFzgBfnB5oBatBlnB2vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziBxsBcqB+tBXrB,v115@HhA8IeF8DeB8CeC8Lel/IvhFRiBSoBUnBTtBmqB3qB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBfnBxiBCoBTtB1vB
TLSZIJO,X,O,X,X,O,X,X,X,X
TLSZIOJ,X,X,X,X,O,O,X,X,X
TLSZJIO,X,O,X,X,O,X,X,X,X
TLSZJOI,X,O,X,X,O,X,X,X,X
TLSZOIJ,X,X,X,X,O,O,X,X,X
TLSZOJI,X,X,X,X,O,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,O,O,X,X,X
TLSOJIZ,X,X,X,X,O,X,X,X,X
TLSOJZI,X,X,X,X,O,X,X,X,X
TLSOZIJ,X,X,X,X,O,O,X,X,X
TLSOZJI,X,X,X,X,O,X,X,X,X
TLZIJSO,X,X,O,X,X,X,O,X,X
TLZIJOS,X,X,O,X,X,X,O,X,X
TLZISJO,X,X,X,X,X,X,O,X,X
TLZISOJ,X,X,X,X,X,O,X,X,X
TLZIOJS,X,X,X,X,X,X,O,X,X
TLZIOSJ,X,X,X,X,X,O,X,X,X
TLZJISO,X,X,O,X,X,X,X,X,X
TLZJIOS,X,X,O,X,X,X,X,X,X
TLZJSIO,X,O,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,X,X,X
TLZJOIS,X,X,O,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,X
TLZSIJO,X,O,X,X,O,X,X,X,X
TLZSIOJ,X,X,X,X,O,O,X,X,X
