sequence,v115@HhA8IeF8DeB8CeC8Lel/IvhF3gBzhBGjBxsByvBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFlgBfnBxiBznB+tByvB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziB5oBmsBcqBXrB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBzhBxsBftB6tB1vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFzgBfnBxiBStB2vBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFzgBfnB5oBatBlnB2vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziBxsBcqB+tBXrB,v115@HhA8IeF8DeB8CeC8Lel/IvhFRiBSoBUnBTtBmqB3qB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBfnBxiBCoBTtB1vB
IJTZOLS,O,X,O,O,X,X,O,X,X
IJTZOSL,O,O,O,O,X,X,O,X,X
IJTOLSZ,O,X,O,O,X,X,O,X,X
IJTOLZS,O,X,O,O,X,X,O,X,X
IJTOSLZ,X,O,O,O,X,X,O,X,X
IJTOSZL,X,O,O,O,X,X,O,X,X
IJTOZLS,O,X,O,O,X,X,O,X,X
IJTOZSL,O,O,O,O,X,X,O,X,X
IJLTSZO,O,X,O,X,X,X,O,X,X
IJLTSOZ,O,X,O,X,X,X,O,X,X
IJLTZSO,O,X,O,X,X,X,O,X,X
IJLTZOS,O,X,O,X,X,X,O,X,X
IJLTOSZ,O,X,O,X,X,X,O,X,X
IJLTOZS,O,X,O,X,X,X,O,X,X
IJLSTZO,O,X,O,X,X,X,O,X,X
IJLSTOZ,O,X,O,X,X,X,O,X,X
IJLSZTO,O,X,O,X,X,X,O,X,X
IJLSZOT,O,X,O,X,X,O,O,X,X
IJLSOTZ,O,X,O,X,X,X,O,X,X
IJLSOZT,O,X,O,X,X,O,O,X,X
IJLZTSO,O,X,O,X,X,X,O,X,X
IJLZTOS,O,X,O,X,X,X,O,X,X
IJLZSTO,O,X,O,X,X,X,O,X,X
IJLZSOT,O,X,O,X,X,O,O,X,X
IJLZOTS,O,X,O,X,X,X,O,X,X
IJLZOST,O,X,O,X,X,O,O,X,X
IJLOTSZ,O,X,O,X,X,X,O,X,X
IJLOTZS,O,X,O,X,X,X,O,X,X
IJLOSTZ,O,X,O,X,X,X,O,X,X
IJLOSZT,O,X,O,X,X,O,O,X,X
IJLOZTS,O,X,O,X,X,X,O,X,X
IJLOZST,O,X,O,X,X,O,O,X,X
IJSTLZO,X,O,O,O,X,X,O,X,X
IJSTLOZ,X,X,O,O,X,X,O,X,X
IJSTZLO,X,O,O,O,X,X,O,X,X
IJSTZOL,X,O,O,O,X,X,O,X,X
IJSTOLZ,X,O,O,O,X,X,O,X,X
IJSTOZL,X,O,O,O,X,X,O,X,X
IJSLTZO,X,O,O,O,X,X,O,X,X
IJSLTOZ,X,X,O,O,X,X,O,X,X
IJSLZTO,X,O,O,X,X,X,O,X,X
IJSLZOT,X,X,O,O,X,O,O,X,X
IJSLOTZ,X,X,O,O,X,X,O,X,X
IJSLOZT,X,X,O,O,X,O,O,X,X
IJSZTLO,X,O,O,X,X,X,O,X,X
IJSZTOL,X,O,O,X,X,X,O,X,X
IJSZLTO,X,O,O,X,X,X,O,X,X
IJSZLOT,X,X,O,O,X,O,O,X,X
IJSZOTL,X,O,O,O,X,X,O,X,X
IJSZOLT,X,O,O,O,X,O,O,X,X
IJSOTLZ,X,O,O,O,X,X,O,X,X
IJSOTZL,X,O,O,O,X,X,O,X,X
IJSOLTZ,X,O,O,O,X,X,O,X,X
IJSOLZT,X,O,O,O,X,O,O,X,X
IJSOZTL,X,O,O,O,X,X,O,X,X
IJSOZLT,X,O,O,O,X,O,O,X,X
IJZTLSO,O,X,O,X,X,X,O,X,X
IJZTLOS,O,X,O,X,X,X,O,X,X
IJZTSLO,O,O,O,X,X,X,O,X,X
IJZTSOL,O,O,O,X,X,X,O,X,X
IJZTOLS,O,X,O,X,X,X,O,X,X
IJZTOSL,O,O,O,X,X,X,O,X,X
IJZLTSO,O,X,O,X,X,X,O,X,X
IJZLTOS,O,X,O,X,X,X,O,X,X
IJZLSTO,O,X,O,X,X,X,O,X,X
IJZLSOT,O,X,O,X,X,O,O,X,X
IJZLOTS,O,X,O,X,X,X,O,X,X
IJZLOST,O,X,O,X,X,O,O,X,X
IJZSTLO,O,O,O,X,X,X,O,X,X
IJZSTOL,O,O,O,X,X,X,O,X,X
IJZSLTO,O,O,O,X,X,X,O,X,X
IJZSLOT,O,X,O,O,X,O,O,X,X
IJZSOTL,O,O,O,O,X,X,O,X,X
IJZSOLT,O,O,O,O,X,O,O,X,X
IJZOTLS,O,X,O,O,X,X,O,X,X
IJZOTSL,O,O,O,O,X,X,O,X,X
IJZOLTS,O,X,O,X,X,X,O,X,X
IJZOLST,O,X,O,X,X,O,O,X,X
IJZOSTL,O,O,O,O,X,X,O,X,X
IJZOSLT,O,O,O,O,X,O,O,X,X
IJOTLSZ,O,X,O,O,X,X,O,X,X
IJOTLZS,O,X,O,O,X,X,O,X,X
IJOTSLZ,X,O,O,O,X,X,O,X,X
IJOTSZL,X,O,O,O,X,X,O,X,X
IJOTZLS,O,X,O,O,X,X,O,X,X
IJOTZSL,O,O,O,O,X,X,O,X,X
IJOLTSZ,O,X,O,X,X,X,O,X,X
IJOLTZS,O,X,O,X,X,X,O,X,X
IJOLSTZ,O,X,O,X,X,X,O,X,X
IJOLSZT,O,X,O,X,X,O,O,X,X
IJOLZTS,O,X,O,X,X,X,O,X,X
IJOLZST,O,X,O,X,X,O,O,X,X
IJOSTLZ,X,O,O,O,X,X,O,X,X
IJOSTZL,X,O,O,O,X,X,O,X,X
IJOSLTZ,X,O,O,O,X,X,O,X,X
IJOSLZT,X,O,O,O,X,O,O,X,X
IJOSZTL,X,O,O,O,X,X,O,X,X
IJOSZLT,X,O,O,O,X,O,O,X,X
IJOZTLS,O,X,O,O,X,X,O,X,X
IJOZTSL,O,O,O,O,X,X,O,X,X
IJOZLTS,O,X,O,X,X,X,O,X,X
IJOZLST,O,X,O,X,X,O,O,X,X
IJOZSTL,O,O,O,O,X,X,O,X,X
IJOZSLT,O,O,O,O,X,O,O,X,X
ISTLJZO,O,X,O,O,O,X,O,X,X
ISTLJOZ,O,X,O,O,O,X,O,X,X
ISTLZJO,O,O,X,O,O,X,O,X,X
ISTLZOJ,O,X,X,O,O,O,X,X,X
ISTLOJZ,O,X,X,O,O,X,X,X,X
ISTLOZJ,O,X,X,O,O,O,X,X,X
ISTJLZO,X,O,O,O,X,X,O,X,X
ISTJLOZ,X,X,O,O,X,X,O,X,X
ISTJZLO,O,O,O,O,X,X,O,X,X
ISTJZOL,O,O,O,O,X,X,O,X,X
ISTJOLZ,X,O,O,O,O,X,O,X,X
ISTJOZL,O,O,O,O,X,X,O,X,X
ISTZLJO,O,O,X,O,X,X,O,X,X
ISTZLOJ,O,X,X,O,X,O,X,X,X
ISTZJLO,O,O,X,O,X,X,O,X,X
ISTZJOL,O,O,X,O,X,X,O,X,X
ISTZOLJ,O,X,X,O,O,O,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X,X
ISTOLJZ,O,X,X,O,O,X,X,X,X
ISTOLZJ,O,X,X,O,O,O,X,X,X
ISTOJLZ,X,X,X,O,O,X,X,X,X
ISTOJZL,O,X,X,O,X,X,X,X,X
ISTOZLJ,O,X,X,O,O,O,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X
ISLTJZO,O,X,O,O,O,X,O,X,X
ISLTJOZ,O,X,O,O,O,X,O,X,X
ISLTZJO,O,O,X,O,O,X,O,X,X
ISLTZOJ,O,X,X,O,O,O,X,X,X
ISLTOJZ,O,X,X,O,O,X,X,X,X
ISLTOZJ,O,X,X,O,O,O,X,X,X
ISLJTZO,O,X,O,O,O,X,O,X,X
ISLJTOZ,O,X,O,O,O,X,O,X,X
ISLJZTO,O,X,O,X,O,X,O,X,X
ISLJZOT,O,X,O,O,O,O,O,X,X
ISLJOTZ,O,X,O,O,O,X,O,X,X
ISLJOZT,O,X,O,O,O,O,O,X,X
ISLZTJO,O,O,X,O,O,X,O,X,X
ISLZTOJ,O,X,X,O,O,O,X,X,X
ISLZJTO,O,X,X,X,O,X,O,X,X
ISLZJOT,O,X,X,O,O,O,O,X,X
ISLZOTJ,O,X,X,O,O,O,X,X,X
ISLZOJT,O,X,X,O,O,O,X,X,X
ISLOTJZ,O,X,X,O,O,X,X,X,X
ISLOTZJ,O,X,X,O,O,O,X,X,X
ISLOJTZ,O,X,X,O,O,X,X,X,X
ISLOJZT,O,X,X,O,O,O,X,X,X
ISLOZTJ,O,X,X,O,X,O,X,X,X
ISLOZJT,O,X,X,O,X,O,X,X,X
ISJTLZO,X,O,O,O,X,X,O,X,X
ISJTLOZ,X,X,O,O,X,X,O,X,X
ISJTZLO,O,O,O,O,X,X,O,X,X
ISJTZOL,O,O,O,O,X,X,O,X,X
ISJTOLZ,X,O,O,O,O,X,O,X,X
ISJTOZL,O,O,O,O,X,X,O,X,X
ISJLTZO,X,O,O,O,X,X,O,X,X
ISJLTOZ,X,X,O,O,X,X,O,X,X
ISJLZTO,X,O,O,X,X,X,O,X,X
ISJLZOT,X,X,O,O,X,O,O,X,X
ISJLOTZ,X,X,O,O,X,X,O,X,X
ISJLOZT,X,X,O,O,X,O,O,X,X
ISJZTLO,O,O,O,X,X,X,O,X,X
ISJZTOL,O,O,O,X,X,X,O,X,X
ISJZLTO,O,O,O,X,X,X,O,X,X
ISJZLOT,O,X,O,O,X,O,O,X,X
ISJZOTL,O,O,O,O,X,X,O,X,X
ISJZOLT,O,O,O,O,X,O,O,X,X
ISJOTLZ,X,O,O,O,O,X,O,X,X
ISJOTZL,O,O,O,O,X,X,O,X,X
ISJOLTZ,X,O,O,O,X,X,O,X,X
ISJOLZT,X,O,O,O,X,O,O,X,X
ISJOZTL,O,O,O,O,X,X,O,X,X
ISJOZLT,O,O,O,O,X,O,O,X,X
ISZTLJO,O,O,X,O,X,X,O,X,X
ISZTLOJ,O,X,X,O,X,O,X,X,X
ISZTJLO,O,O,X,O,X,X,O,X,X
ISZTJOL,O,O,X,O,X,X,O,X,X
ISZTOLJ,O,X,X,O,O,O,X,X,X
ISZTOJL,O,O,X,O,X,X,X,X,X
ISZLTJO,O,O,X,O,X,X,O,X,X
ISZLTOJ,O,X,X,O,X,O,X,X,X
ISZLJTO,O,X,X,X,X,X,O,X,X
ISZLJOT,O,X,X,O,X,O,O,X,X
ISZLOTJ,O,X,X,O,X,O,X,X,X
ISZLOJT,O,X,X,O,X,O,X,X,X
ISZJTLO,O,O,X,X,X,X,O,X,X
ISZJTOL,O,O,X,X,X,X,O,X,X
ISZJLTO,O,O,X,X,X,X,O,X,X
ISZJLOT,O,X,X,O,X,O,O,X,X
ISZJOTL,O,O,X,O,X,X,O,X,X
ISZJOLT,O,O,X,O,X,O,O,X,X
ISZOTLJ,O,X,X,O,O,O,X,X,X
ISZOTJL,O,O,X,O,X,X,X,X,X
ISZOLTJ,O,X,X,O,X,O,X,X,O
ISZOLJT,O,X,X,O,X,O,X,X,O
ISZOJTL,O,X,X,O,X,X,X,X,X
ISZOJLT,O,X,X,O,X,O,X,X,X
ISOTLJZ,O,X,X,O,O,X,X,X,X
ISOTLZJ,O,X,X,O,O,O,X,X,X
ISOTJLZ,X,X,X,O,O,X,X,X,X
ISOTJZL,O,X,X,O,X,X,X,X,X
ISOTZLJ,O,X,X,O,O,O,X,X,X
ISOTZJL,O,O,X,O,X,X,X,X,X
ISOLTJZ,O,X,X,O,O,X,X,X,O
ISOLTZJ,O,X,X,O,O,O,X,X,O
ISOLJTZ,O,X,X,O,O,X,X,X,O
ISOLJZT,O,X,X,O,X,O,X,X,O
ISOLZTJ,O,X,X,O,O,O,X,X,O
ISOLZJT,O,X,X,O,O,O,X,X,O
ISOJTLZ,X,X,X,O,O,X,X,X,X
ISOJTZL,O,X,X,O,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,X,X
ISOJLZT,X,X,X,O,X,O,X,X,X
ISOJZTL,O,X,X,O,X,X,X,X,X
ISOJZLT,O,X,X,O,X,O,X,X,X
ISOZTLJ,O,X,X,O,O,O,X,X,X
ISOZTJL,O,O,X,O,X,X,X,X,X
ISOZLTJ,O,X,X,O,X,O,X,X,O
ISOZLJT,O,X,X,O,X,O,X,X,O
ISOZJTL,O,X,X,O,X,X,X,X,X
ISOZJLT,O,X,X,O,X,O,X,X,X
IZTLJSO,O,X,O,O,X,X,O,X,X
IZTLJOS,O,X,O,O,X,X,O,X,X
IZTLSJO,O,X,X,O,X,X,O,X,X
IZTLSOJ,O,X,X,O,X,O,X,X,X
IZTLOJS,O,X,X,O,X,X,O,X,X
IZTLOSJ,O,X,X,O,X,O,X,X,X
IZTJLSO,O,X,O,O,X,X,O,X,X
IZTJLOS,O,X,O,O,X,X,O,X,X
IZTJSLO,O,O,O,O,X,X,O,X,X
IZTJSOL,O,O,O,O,X,X,O,X,X
IZTJOLS,O,X,O,O,X,X,O,X,X
IZTJOSL,O,O,O,O,X,X,O,X,X
IZTSLJO,O,O,X,O,X,X,O,X,X
IZTSLOJ,O,X,X,O,X,O,X,X,X
IZTSJLO,O,O,X,O,X,X,O,X,X
IZTSJOL,O,O,X,O,X,X,O,X,X
IZTSOLJ,O,X,X,O,X,O,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X,X
IZTOLJS,O,X,X,O,X,X,O,O,X
IZTOLSJ,O,X,X,O,X,O,X,O,X
IZTOJLS,O,X,X,O,X,X,O,O,X
IZTOJSL,O,X,X,O,X,X,O,O,X
IZTOSLJ,O,X,X,O,X,O,X,O,X
IZTOSJL,O,X,X,O,X,X,X,O,X
IZLTJSO,O,X,O,X,X,X,O,X,X
IZLTJOS,O,X,O,X,X,X,O,X,X
IZLTSJO,O,X,X,X,X,X,O,X,X
IZLTSOJ,O,X,X,X,X,O,X,X,X
IZLTOJS,O,X,X,X,X,X,O,X,X
IZLTOSJ,O,X,X,X,X,O,X,X,X
IZLJTSO,O,X,O,X,X,X,O,X,X
IZLJTOS,O,X,O,X,X,X,O,X,X
IZLJSTO,O,X,O,X,X,X,O,X,X
IZLJSOT,O,X,O,X,X,O,O,X,X
IZLJOTS,O,X,O,X,X,X,O,X,X
IZLJOST,O,X,O,X,X,O,O,X,X
IZLSTJO,O,X,X,X,X,X,O,X,X
IZLSTOJ,O,X,X,O,X,O,X,X,X
IZLSJTO,O,X,X,X,X,X,O,X,X
IZLSJOT,O,X,X,O,X,O,O,X,X
IZLSOTJ,O,X,X,O,X,O,X,X,X
IZLSOJT,O,X,X,O,X,O,X,X,X
IZLOTJS,O,X,X,O,X,X,O,X,X
IZLOTSJ,O,X,X,O,X,O,X,X,X
IZLOJTS,O,X,X,X,X,X,O,X,X
IZLOJST,O,X,X,X,X,O,O,X,X
IZLOSTJ,O,X,X,O,X,O,X,X,X
IZLOSJT,O,X,X,O,X,O,X,X,X
IZJTLSO,O,X,O,X,X,X,O,X,X
IZJTLOS,O,X,O,X,X,X,O,X,X
IZJTSLO,O,O,O,X,X,X,O,X,X
IZJTSOL,O,O,O,X,X,X,O,X,X
IZJTOLS,O,X,O,X,X,X,O,X,X
IZJTOSL,O,O,O,X,X,X,O,X,X
IZJLTSO,O,X,O,X,X,X,O,X,X
IZJLTOS,O,X,O,X,X,X,O,X,X
IZJLSTO,O,X,O,X,X,X,O,X,X
IZJLSOT,O,X,O,X,X,O,O,X,X
IZJLOTS,O,X,O,X,X,X,O,X,X
IZJLOST,O,X,O,X,X,O,O,X,X
IZJSTLO,O,O,O,X,X,X,O,X,X
IZJSTOL,O,O,O,X,X,X,O,X,X
IZJSLTO,O,O,O,X,X,X,O,X,X
IZJSLOT,O,X,O,O,X,O,O,X,X
IZJSOTL,O,O,O,O,X,X,O,X,X
IZJSOLT,O,O,O,O,X,O,O,X,X
IZJOTLS,O,X,O,O,X,X,O,X,X
IZJOTSL,O,O,O,O,X,X,O,X,X
IZJOLTS,O,X,O,X,X,X,O,X,X
IZJOLST,O,X,O,X,X,O,O,X,X
IZJOSTL,O,O,O,O,X,X,O,X,X
IZJOSLT,O,O,O,O,X,O,O,X,X
IZSTLJO,O,O,X,O,X,X,O,X,X
IZSTLOJ,O,X,X,O,X,O,X,X,X
IZSTJLO,O,O,X,O,X,X,O,X,X
IZSTJOL,O,O,X,O,X,X,O,X,X
IZSTOLJ,O,X,X,O,X,O,X,X,X
IZSTOJL,O,O,X,O,X,X,X,X,X
IZSLTJO,O,O,X,O,X,X,O,X,X
IZSLTOJ,O,X,X,O,X,O,X,X,X
IZSLJTO,O,X,X,X,X,X,O,X,X
IZSLJOT,O,X,X,O,X,O,O,X,X
IZSLOTJ,O,X,X,O,X,O,X,X,X
IZSLOJT,O,X,X,O,X,O,X,X,X
IZSJTLO,O,O,X,X,X,X,O,X,X
IZSJTOL,O,O,X,X,X,X,O,X,X
IZSJLTO,O,O,X,X,X,X,O,X,X
IZSJLOT,O,X,X,O,X,O,O,X,X
IZSJOTL,O,O,X,O,X,X,O,X,X
IZSJOLT,O,O,X,O,X,O,O,X,X
IZSOTLJ,O,X,X,O,X,O,X,X,X
IZSOTJL,O,O,X,O,X,X,X,X,X
IZSOLTJ,O,X,X,O,X,O,X,X,O
IZSOLJT,O,X,X,O,X,O,X,X,O
IZSOJTL,O,X,X,O,X,X,X,X,X
IZSOJLT,O,X,X,O,X,O,X,X,X
IZOTLJS,O,X,X,O,X,X,O,O,X
IZOTLSJ,O,X,X,O,X,O,X,O,X
IZOTJLS,O,X,X,O,X,X,O,O,X
IZOTJSL,O,X,X,O,X,X,O,O,X
IZOTSLJ,O,X,X,O,X,O,X,O,X
IZOTSJL,O,X,X,O,X,X,X,O,X
IZOLTJS,O,X,X,O,X,X,O,O,X
IZOLTSJ,O,X,X,O,X,O,X,O,X
IZOLJTS,O,X,X,X,X,X,O,O,X
IZOLJST,O,X,X,X,X,O,O,O,X
IZOLSTJ,O,X,X,O,X,O,X,O,O
IZOLSJT,O,X,X,O,X,O,X,O,O
IZOJTLS,O,X,X,O,X,X,O,O,X
IZOJTSL,O,X,X,O,X,X,O,O,X
IZOJLTS,O,X,X,X,X,X,O,O,X
IZOJLST,O,X,X,X,X,O,O,O,X
IZOJSTL,O,X,X,O,X,X,O,O,X
IZOJSLT,O,X,X,O,X,O,O,O,X
IZOSTLJ,O,X,X,O,X,O,X,O,X
IZOSTJL,O,X,X,O,X,X,X,O,X
IZOSLTJ,O,X,X,O,X,O,X,O,O
IZOSLJT,O,X,X,O,X,O,X,O,O
IZOSJTL,O,X,X,O,X,X,X,O,X
IZOSJLT,O,X,X,O,X,O,X,O,X
IOTLJSZ,O,X,O,O,X,X,O,X,X
IOTLJZS,O,X,O,O,X,X,O,X,X
IOTLSJZ,O,X,X,O,O,X,X,X,X
IOTLSZJ,O,X,X,O,O,O,X,X,X
IOTLZJS,O,X,X,O,X,X,O,O,X
IOTLZSJ,O,X,X,O,X,O,X,O,X
IOTJLSZ,O,X,O,O,X,X,O,X,X
IOTJLZS,O,X,O,O,X,X,O,X,X
IOTJSLZ,X,X,O,O,X,X,O,X,X
IOTJSZL,X,X,O,O,X,X,O,X,X
IOTJZLS,O,X,O,O,X,X,O,X,X
IOTJZSL,O,X,O,O,X,X,O,X,X
IOTSLJZ,O,X,X,O,O,X,X,X,X
IOTSLZJ,O,X,X,O,O,O,X,X,X
IOTSJLZ,X,X,X,O,O,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X
IOTSZLJ,O,X,X,O,O,O,X,X,X
IOTSZJL,O,X,X,O,X,X,X,X,X
IOTZLJS,O,X,X,O,X,X,O,O,X
IOTZLSJ,O,X,X,O,X,O,X,O,X
IOTZJLS,O,X,X,O,X,X,O,O,X
IOTZJSL,O,X,X,O,X,X,O,O,X
IOTZSLJ,O,X,X,O,X,O,X,O,X
IOTZSJL,O,X,X,O,X,X,X,O,X
IOLTJSZ,O,X,O,O,X,X,O,X,X
IOLTJZS,O,X,O,O,X,X,O,X,X
IOLTSJZ,O,X,X,O,O,X,X,X,X
IOLTSZJ,O,X,X,O,O,O,X,X,X
IOLTZJS,O,X,X,O,X,X,O,O,X
IOLTZSJ,O,X,X,O,X,O,X,O,X
IOLJTSZ,O,X,O,X,X,X,O,X,X
IOLJTZS,O,X,O,X,X,X,O,X,X
IOLJSTZ,O,X,O,X,X,X,O,X,X
IOLJSZT,O,X,O,X,X,O,O,X,X
IOLJZTS,O,X,O,X,X,X,O,X,X
IOLJZST,O,X,O,X,X,O,O,X,X
IOLSTJZ,O,X,X,O,O,X,X,X,O
IOLSTZJ,O,X,X,O,O,O,X,X,O
IOLSJTZ,O,X,X,O,O,X,X,X,O
IOLSJZT,O,X,X,O,X,O,X,X,O
IOLSZTJ,O,X,X,O,O,O,X,X,O
IOLSZJT,O,X,X,O,O,O,X,X,O
IOLZTJS,O,X,X,O,X,X,O,O,X
IOLZTSJ,O,X,X,O,X,O,X,O,X
IOLZJTS,O,X,X,X,X,X,O,O,X
IOLZJST,O,X,X,X,X,O,O,O,X
IOLZSTJ,O,X,X,O,X,O,X,O,O
IOLZSJT,O,X,X,O,X,O,X,O,O
IOJTLSZ,O,X,O,O,X,X,O,X,X
IOJTLZS,O,X,O,O,X,X,O,X,X
IOJTSLZ,X,X,O,O,X,X,O,X,X
IOJTSZL,X,X,O,O,X,X,O,X,X
IOJTZLS,O,X,O,O,X,X,O,X,X
IOJTZSL,O,X,O,O,X,X,O,X,X
IOJLTSZ,O,X,O,X,X,X,O,X,X
IOJLTZS,O,X,O,X,X,X,O,X,X
IOJLSTZ,O,X,O,X,X,X,O,X,X
IOJLSZT,O,X,O,X,X,O,O,X,X
IOJLZTS,O,X,O,X,X,X,O,X,X
IOJLZST,O,X,O,X,X,O,O,X,X
IOJSTLZ,X,X,O,O,X,X,O,X,X
IOJSTZL,X,X,O,O,X,X,O,X,X
IOJSLTZ,X,X,O,O,X,X,O,X,X
IOJSLZT,X,X,O,O,X,O,O,X,X
IOJSZTL,X,X,O,O,X,X,O,X,X
IOJSZLT,X,X,O,O,X,O,O,X,X
IOJZTLS,O,X,O,O,X,X,O,X,X
IOJZTSL,O,X,O,O,X,X,O,X,X
IOJZLTS,O,X,O,X,X,X,O,X,X
IOJZLST,O,X,O,X,X,O,O,X,X
IOJZSTL,O,X,O,O,X,X,O,X,X
IOJZSLT,O,X,O,O,X,O,O,X,X
IOSTLJZ,O,X,X,O,O,X,X,X,X
IOSTLZJ,O,X,X,O,O,O,X,X,X
IOSTJLZ,X,X,X,O,O,X,X,X,X
IOSTJZL,O,X,X,O,X,X,X,X,X
IOSTZLJ,O,X,X,O,O,O,X,X,X
IOSTZJL,O,X,X,O,X,X,X,X,X
IOSLTJZ,O,X,X,O,O,X,X,X,O
IOSLTZJ,O,X,X,O,O,O,X,X,O
IOSLJTZ,O,X,X,O,O,X,X,X,O
IOSLJZT,O,X,X,O,X,O,X,X,O
IOSLZTJ,O,X,X,O,O,O,X,X,O
IOSLZJT,O,X,X,O,O,O,X,X,O
IOSJTLZ,X,X,X,O,O,X,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X,X,X
IOSJLZT,X,X,X,O,X,O,X,X,X
IOSJZTL,O,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,O,X,O,X,X,X
IOSZTLJ,O,X,X,O,O,O,X,X,X
IOSZTJL,O,X,X,O,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,O,X,X,O
IOSZLJT,O,X,X,O,X,O,X,X,O
IOSZJTL,O,X,X,O,X,X,X,X,X
IOSZJLT,O,X,X,O,X,O,X,X,X
IOZTLJS,O,X,X,O,X,X,O,O,X
IOZTLSJ,O,X,X,O,X,O,X,O,X
IOZTJLS,O,X,X,O,X,X,O,O,X
IOZTJSL,O,X,X,O,X,X,O,O,X
IOZTSLJ,O,X,X,O,X,O,X,O,X
IOZTSJL,O,X,X,O,X,X,X,O,X
IOZLTJS,O,X,X,O,X,X,O,O,X
IOZLTSJ,O,X,X,O,X,O,X,O,X
IOZLJTS,O,X,X,X,X,X,O,O,X
IOZLJST,O,X,X,X,X,O,O,O,X
IOZLSTJ,O,X,X,O,X,O,X,O,O
IOZLSJT,O,X,X,O,X,O,X,O,O
IOZJTLS,O,X,X,O,X,X,O,O,X
IOZJTSL,O,X,X,O,X,X,O,O,X
IOZJLTS,O,X,X,X,X,X,O,O,X
IOZJLST,O,X,X,X,X,O,O,O,X
IOZJSTL,O,X,X,O,X,X,O,O,X
IOZJSLT,O,X,X,O,X,O,O,O,X
IOZSTLJ,O,X,X,O,X,O,X,O,X
IOZSTJL,O,X,X,O,X,X,X,O,X
IOZSLTJ,O,X,X,O,X,O,X,O,O
IOZSLJT,O,X,X,O,X,O,X,O,O
IOZSJTL,O,X,X,O,X,X,X,O,X
IOZSJLT,O,X,X,O,X,O,X,O,X
LTIJSZO,O,X,O,X,X,X,O,X,X
LTIJSOZ,O,X,O,X,X,X,O,X,X
LTIJZSO,O,X,O,X,X,X,O,X,X
LTIJZOS,O,X,O,X,X,X,O,X,X
LTIJOSZ,O,X,O,X,X,X,O,X,X
LTIJOZS,O,X,O,X,X,X,O,X,X
LTISJZO,O,X,O,X,O,X,O,X,X
LTISJOZ,O,X,O,X,O,X,O,X,X
LTISZJO,O,X,X,X,O,X,O,X,X
LTISZOJ,O,X,X,X,O,O,X,X,X
LTISOJZ,O,X,X,X,O,X,X,X,X
LTISOZJ,O,X,X,X,X,O,X,X,X
LTIZJSO,O,X,O,X,X,X,O,X,X
LTIZJOS,O,X,O,X,X,X,O,X,X
LTIZSJO,O,X,X,X,X,X,O,X,X
LTIZSOJ,O,X,X,X,X,O,X,X,X
LTIZOJS,O,X,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,O,X,X,X
LTIOJSZ,O,X,O,X,X,X,O,X,X
LTIOJZS,O,X,O,X,X,X,O,X,X
LTIOSJZ,O,X,X,X,O,X,X,X,X
LTIOSZJ,O,X,X,X,O,O,X,X,X
LTIOZJS,O,X,X,X,X,X,O,X,X
LTIOZSJ,O,X,X,X,X,O,X,X,X
LTJISZO,X,X,O,X,X,X,O,X,X
LTJISOZ,X,X,O,X,X,X,O,X,X
LTJIZSO,X,X,O,X,X,X,O,X,X
LTJIZOS,X,X,O,X,X,X,O,X,X
LTJIOSZ,X,X,O,X,X,X,O,X,X
LTJIOZS,X,X,O,X,X,X,O,X,X
LTJSIZO,X,O,O,X,O,X,X,X,X
LTJSIOZ,X,X,O,X,O,X,X,X,X
LTJSZIO,X,O,X,X,O,X,X,X,X
LTJSZOI,X,O,X,X,O,X,X,X,X
LTJSOIZ,X,O,O,X,O,X,X,X,X
LTJSOZI,X,O,X,X,O,X,X,X,X
LTJZISO,X,X,O,X,X,X,X,X,X
LTJZIOS,X,X,O,X,X,X,X,X,X
LTJZSIO,X,O,X,X,X,X,X,X,X
LTJZSOI,X,O,X,X,X,X,X,X,X
LTJZOIS,X,X,O,X,X,X,X,X,X
LTJZOSI,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,O,O,X,O,X,X,X,X
LTJOSZI,X,O,X,X,O,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X
LTJOZSI,X,O,X,X,X,X,X,X,X
LTSIJZO,X,X,O,X,O,X,O,X,X
LTSIJOZ,X,X,O,X,O,X,O,X,X
LTSIZJO,O,O,X,X,O,X,O,X,X
LTSIZOJ,O,X,X,X,O,O,X,X,X
LTSIOJZ,X,X,X,X,O,X,X,X,X
