sequence,v115@NhA8HeC8BeA8BeG8Jei/IvhFRhBziB+oBFlBXmB0pB,v115@NhA8HeC8BeA8BeG8JeKEJvhFzfBRhBGjBFmBUoBXqB,v115@NhA8HeC8BeA8BeG8JeKEJvhFRhBGjBFlBXmBUoBzpB,v115@NhA8HeC8BeA8BeG8Jex/IvhFlhBSoBTkBmlBUoBXqB,v115@NhA8HeC8BeA8BeG8JeOEJvhFlhBfoB6oBRlB0lBzpB,v115@NhA8HeC8BeA8BeG8JelAJvhF3hBziB+oBikBRqB0pB
IOLTSJZ,X,O,X,X,O,O
IOLTSZJ,X,O,X,X,O,X
IOLTZJS,X,O,X,X,X,X
IOLTZSJ,X,O,X,X,X,X
IOLJTSZ,X,X,X,O,O,O
IOLJTZS,X,X,X,O,X,O
IOLJSTZ,X,X,X,O,O,O
IOLJSZT,X,X,X,X,O,O
IOLJZTS,X,O,X,O,X,O
IOLJZST,X,O,X,X,X,O
IOLSTJZ,X,X,X,X,O,O
IOLSTZJ,X,O,O,X,O,X
IOLSJTZ,X,X,X,O,O,O
IOLSJZT,X,O,X,X,O,O
IOLSZTJ,X,O,O,X,O,X
IOLSZJT,X,O,O,X,O,X
IOLZTJS,X,O,X,X,X,X
IOLZTSJ,X,O,X,X,X,X
IOLZJTS,X,O,X,O,X,X
IOLZJST,X,O,O,X,X,X
IOLZSTJ,X,O,O,X,X,X
IOLZSJT,X,O,O,X,X,X
IOJTLSZ,X,X,X,O,O,O
IOJTLZS,X,X,X,O,X,O
IOJTSLZ,O,X,X,O,O,O
IOJTSZL,O,X,X,X,O,O
IOJTZLS,O,X,X,O,X,O
IOJTZSL,O,X,X,X,O,O
IOJLTSZ,X,X,X,O,O,O
IOJLTZS,X,X,X,O,X,O
IOJLSTZ,O,X,X,O,O,O
IOJLSZT,O,X,X,X,O,O
IOJLZTS,O,X,X,O,X,O
IOJLZST,O,X,X,X,X,O
IOJSTLZ,O,X,X,O,O,O
IOJSTZL,O,X,X,X,O,O
IOJSLTZ,O,X,X,O,O,O
IOJSLZT,O,X,X,X,O,O
IOJSZTL,O,X,X,X,O,O
IOJSZLT,O,X,X,X,O,O
IOJZTLS,O,X,X,O,X,O
IOJZTSL,O,X,X,X,O,O
IOJZLTS,O,X,X,O,X,O
IOJZLST,O,X,X,X,X,O
IOJZSTL,O,X,X,X,O,O
IOJZSLT,O,X,X,X,O,O
IOSTLJZ,O,X,X,X,O,O
IOSTLZJ,X,X,X,X,O,X
IOSTJLZ,O,X,X,X,O,O
IOSTJZL,O,X,X,X,O,O
IOSTZLJ,X,X,X,X,O,X
IOSTZJL,X,X,X,X,O,X
IOSLTJZ,X,X,X,X,O,O
IOSLTZJ,X,O,O,X,O,X
IOSLJTZ,X,X,X,O,O,O
IOSLJZT,X,O,X,X,O,O
IOSLZTJ,X,O,O,X,O,X
IOSLZJT,X,O,O,X,O,X
IOSJTLZ,O,X,X,O,O,O
IOSJTZL,O,X,X,X,O,O
IOSJLTZ,O,X,X,O,O,O
IOSJLZT,O,X,X,X,O,O
IOSJZTL,O,X,X,X,O,O
IOSJZLT,O,X,X,X,O,O
IOSZTLJ,O,X,X,X,O,X
IOSZTJL,O,X,X,X,O,X
IOSZLTJ,X,O,O,X,O,X
IOSZLJT,O,O,O,X,O,X
IOSZJTL,O,X,X,X,O,X
IOSZJLT,O,O,O,X,O,X
IOZTLJS,O,O,X,X,X,X
IOZTLSJ,X,O,X,X,X,X
IOZTJLS,O,O,X,X,X,X
IOZTJSL,O,O,X,X,O,X
IOZTSLJ,X,O,X,X,O,X
IOZTSJL,X,O,X,X,O,X
IOZLTJS,X,O,X,X,X,X
IOZLTSJ,X,O,X,X,X,X
IOZLJTS,O,O,X,O,X,X
IOZLJST,O,O,O,X,X,X
IOZLSTJ,X,O,O,X,X,X
IOZLSJT,X,O,O,X,X,X
IOZJTLS,O,O,X,O,X,X
IOZJTSL,O,O,X,X,O,X
IOZJLTS,O,O,X,O,X,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,O,X,X,X,O,X
IOZJSLT,O,O,O,X,O,X
IOZSTLJ,O,X,X,X,O,X
IOZSTJL,O,X,X,X,O,X
IOZSLTJ,X,O,O,X,O,X
IOZSLJT,O,O,O,X,O,X
IOZSJTL,O,X,X,X,O,X
IOZSJLT,O,O,O,X,O,X
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,O,X,O,X,O
LTIJZSO,X,O,X,X,X,X
LTIJZOS,X,O,X,X,X,X
LTIJOSZ,X,X,X,O,X,O
LTIJOZS,X,O,X,O,X,X
LTISJZO,X,O,O,X,X,X
LTISJOZ,X,O,X,O,X,O
LTISZJO,X,O,O,X,X,X
LTISZOJ,X,O,O,X,X,X
LTISOJZ,X,O,X,X,X,X
LTISOZJ,X,O,O,X,X,X
LTIZJSO,X,O,O,X,X,X
LTIZJOS,X,O,X,X,X,X
LTIZSJO,X,O,O,X,X,X
LTIZSOJ,X,O,O,X,X,X
LTIZOJS,X,O,X,X,X,X
LTIZOSJ,X,O,X,X,X,X
LTIOJSZ,X,X,X,O,X,X
LTIOJZS,X,O,X,O,X,X
LTIOSJZ,X,O,X,X,X,X
LTIOSZJ,X,O,X,X,X,X
LTIOZJS,X,O,X,X,X,X
LTIOZSJ,X,O,X,X,X,X
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,O,X,O
LTJIZSO,X,O,X,X,X,X
LTJIZOS,X,O,X,X,X,X
LTJIOSZ,X,X,X,O,X,O
LTJIOZS,X,O,X,O,X,X
LTJSIZO,X,O,O,X,X,X
LTJSIOZ,X,O,X,O,O,O
LTJSZIO,X,O,O,X,X,X
LTJSZOI,X,O,O,O,O,O
LTJSOIZ,X,O,X,O,O,O
LTJSOZI,X,O,X,O,O,O
LTJZISO,X,O,O,X,X,X
LTJZIOS,X,O,X,X,X,X
LTJZSIO,X,O,O,X,X,X
LTJZSOI,X,O,O,O,X,O
LTJZOIS,X,O,X,O,X,X
LTJZOSI,X,O,O,O,X,O
LTJOISZ,X,X,X,O,O,O
LTJOIZS,X,O,X,O,X,X
LTJOSIZ,X,X,X,O,O,O
LTJOSZI,X,X,X,O,O,O
LTJOZIS,X,O,X,O,X,X
LTJOZSI,X,O,X,O,X,O
LTSIJZO,X,O,O,X,X,X
LTSIJOZ,X,O,X,O,O,O
LTSIZJO,X,O,O,X,X,X
LTSIZOJ,X,O,O,X,X,X
LTSIOJZ,X,O,X,X,O,X
LTSIOZJ,X,O,O,X,O,X
LTSJIZO,X,O,O,X,X,X
LTSJIOZ,X,O,X,O,O,O
LTSJZIO,X,O,O,X,X,X
LTSJZOI,X,O,O,O,O,O
LTSJOIZ,X,O,X,O,O,O
LTSJOZI,X,O,X,O,O,O
LTSZIJO,X,O,O,X,X,X
LTSZIOJ,X,O,O,X,X,X
LTSZJIO,X,O,O,X,X,X
LTSZJOI,X,O,O,O,O,O
LTSZOIJ,X,O,O,X,O,X
LTSZOJI,X,O,O,X,O,X
LTSOIJZ,X,O,X,O,O,X
LTSOIZJ,X,O,O,X,O,X
LTSOJIZ,X,O,X,O,O,O
LTSOJZI,X,O,X,O,O,O
LTSOZIJ,X,O,O,X,O,X
LTSOZJI,X,O,O,X,O,X
LTZIJSO,X,O,O,X,X,X
LTZIJOS,X,O,X,X,X,X
LTZISJO,X,O,O,X,X,X
LTZISOJ,X,O,O,X,X,X
LTZIOJS,X,O,X,X,X,X
LTZIOSJ,X,O,X,X,X,X
LTZJISO,X,O,O,X,X,X
LTZJIOS,X,O,X,X,X,X
LTZJSIO,X,O,O,X,X,X
LTZJSOI,X,O,O,O,X,O
LTZJOIS,X,O,X,O,X,X
LTZJOSI,X,O,O,O,X,O
LTZSIJO,X,O,O,X,X,X
LTZSIOJ,X,O,O,X,X,X
LTZSJIO,X,O,O,X,X,X
LTZSJOI,X,O,O,O,X,O
LTZSOIJ,X,O,O,X,X,X
LTZSOJI,X,O,O,X,X,X
LTZOIJS,X,O,X,X,X,X
LTZOISJ,X,O,X,X,X,X
LTZOJIS,X,O,X,O,X,X
LTZOJSI,X,O,O,O,X,X
LTZOSIJ,X,O,O,X,X,X
LTZOSJI,X,O,O,X,X,X
LTOIJSZ,X,X,X,O,O,X
LTOIJZS,X,O,X,O,X,X
LTOISJZ,X,O,X,X,O,X
LTOISZJ,X,O,X,X,O,X
LTOIZJS,X,O,X,X,X,X
LTOIZSJ,X,O,X,X,X,X
LTOJISZ,X,X,X,O,O,O
LTOJIZS,X,O,X,O,X,X
LTOJSIZ,X,X,X,O,O,O
LTOJSZI,X,X,X,O,O,O
LTOJZIS,X,O,X,O,X,X
LTOJZSI,X,O,X,O,X,O
LTOSIJZ,X,O,X,X,O,X
LTOSIZJ,X,O,O,X,O,X
LTOSJIZ,X,O,X,O,O,O
LTOSJZI,X,O,X,O,O,O
LTOSZIJ,X,O,O,X,O,X
LTOSZJI,X,O,O,X,O,X
LTOZIJS,X,O,X,X,X,X
LTOZISJ,X,O,X,X,X,X
LTOZJIS,X,O,X,O,X,X
LTOZJSI,X,O,O,O,X,X
LTOZSIJ,X,O,O,X,X,X
LTOZSJI,X,O,O,X,X,X
LITJSZO,X,O,X,X,X,O
LITJSOZ,X,O,X,O,X,O
LITJZSO,X,O,X,X,X,O
LITJZOS,X,O,X,X,X,O
LITJOSZ,X,X,X,O,X,O
LITJOZS,X,O,X,O,X,O
LITSJZO,X,O,O,X,X,O
LITSJOZ,X,O,X,O,X,O
LITSZJO,X,O,O,X,X,O
LITSZOJ,X,O,O,X,X,X
LITSOJZ,X,O,X,X,X,O
LITSOZJ,X,O,O,X,X,X
LITZJSO,X,O,O,X,X,O
LITZJOS,X,O,X,X,X,O
LITZSJO,X,O,O,X,X,O
LITZSOJ,X,O,O,X,X,X
LITZOJS,X,O,X,X,X,X
LITZOSJ,X,O,X,X,X,X
LITOJSZ,X,X,X,O,X,O
LITOJZS,X,O,X,O,X,O
LITOSJZ,X,O,X,X,X,O
LITOSZJ,X,O,X,X,X,X
LITOZJS,X,O,X,X,X,X
LITOZSJ,X,O,X,X,X,X
LIJTSZO,X,O,X,X,X,O
LIJTSOZ,X,O,X,O,X,O
LIJTZSO,X,O,X,X,X,O
LIJTZOS,X,O,X,X,X,O
LIJTOSZ,X,X,X,O,X,O
LIJTOZS,X,O,X,O,X,O
LIJSTZO,O,X,O,X,X,O
LIJSTOZ,O,X,X,O,X,O
LIJSZTO,O,O,O,X,X,O
LIJSZOT,O,O,O,X,X,O
LIJSOTZ,O,X,X,O,X,O
LIJSOZT,O,O,X,O,X,O
LIJZTSO,O,O,O,X,X,O
LIJZTOS,O,O,X,X,X,O
LIJZSTO,O,O,O,X,X,O
LIJZSOT,O,O,O,X,X,O
LIJZOTS,O,O,X,X,X,O
LIJZOST,O,O,O,X,X,O
LIJOTSZ,X,X,X,O,X,O
LIJOTZS,X,X,X,O,X,O
LIJOSTZ,O,X,X,O,X,O
LIJOSZT,O,X,X,X,X,O
LIJOZTS,O,O,X,O,X,O
LIJOZST,O,O,X,X,X,O
LISTJZO,O,O,O,X,X,O
LISTJOZ,O,O,X,O,X,O
LISTZJO,O,O,O,X,X,O
LISTZOJ,X,O,O,X,X,X
LISTOJZ,O,O,X,X,X,O
LISTOZJ,X,O,O,X,X,X
LISJTZO,O,X,O,X,X,O
LISJTOZ,O,X,X,O,X,O
LISJZTO,O,O,O,X,X,O
LISJZOT,O,O,O,X,X,O
LISJOTZ,O,X,X,O,X,O
LISJOZT,O,O,X,O,X,O
LISZTJO,O,O,O,X,X,O
LISZTOJ,O,O,O,X,X,X
LISZJTO,O,O,O,X,X,O
LISZJOT,O,O,O,X,X,O
LISZOTJ,X,O,O,X,X,X
LISZOJT,O,O,O,X,X,X
LISOTJZ,X,O,X,O,X,O
LISOTZJ,X,O,O,X,X,X
LISOJTZ,X,X,X,O,X,O
LISOJZT,X,O,X,O,X,O
LISOZTJ,X,O,O,X,X,X
LISOZJT,X,O,O,O,X,X
LIZTJSO,O,O,O,X,X,O
LIZTJOS,O,O,X,X,X,O
LIZTSJO,O,O,O,X,X,O
LIZTSOJ,X,O,O,X,X,X
LIZTOJS,O,O,X,X,X,X
LIZTOSJ,X,O,X,X,X,X
LIZJTSO,O,O,O,X,X,O
LIZJTOS,O,O,X,X,X,O
LIZJSTO,O,O,O,X,X,O
LIZJSOT,O,O,O,X,X,O
LIZJOTS,O,O,X,X,X,O
LIZJOST,O,O,O,X,X,O
LIZSTJO,O,O,O,X,X,O
LIZSTOJ,O,O,O,X,X,X
LIZSJTO,O,O,O,X,X,O
LIZSJOT,O,O,O,X,X,O
LIZSOTJ,X,O,O,X,X,X
LIZSOJT,O,O,O,X,X,X
LIZOTJS,X,O,X,X,X,X
LIZOTSJ,X,O,X,X,X,X
LIZOJTS,O,O,X,X,X,X
LIZOJST,O,O,O,X,X,X
LIZOSTJ,X,O,O,X,X,X
LIZOSJT,X,O,O,X,X,X
LIOTJSZ,X,X,X,O,X,O
LIOTJZS,X,O,X,O,X,O
LIOTSJZ,X,O,X,X,X,O
LIOTSZJ,X,O,X,X,X,X
LIOTZJS,X,O,X,X,X,X
LIOTZSJ,X,O,X,X,X,X
LIOJTSZ,X,X,X,O,X,O
LIOJTZS,X,X,X,O,X,O
LIOJSTZ,X,X,X,O,X,O
LIOJSZT,X,X,X,X,X,O
LIOJZTS,X,O,X,O,X,O
LIOJZST,X,O,X,X,X,O
LIOSTJZ,X,X,X,X,X,O
LIOSTZJ,X,O,O,X,X,X
LIOSJTZ,X,X,X,O,X,O
LIOSJZT,X,O,X,X,X,O
LIOSZTJ,X,O,O,X,X,X
LIOSZJT,X,O,O,X,X,X
LIOZTJS,X,O,X,X,X,X
LIOZTSJ,X,O,X,X,X,X
LIOZJTS,X,O,X,O,X,X
LIOZJST,X,O,O,X,X,X
LIOZSTJ,X,O,O,X,X,X
LIOZSJT,X,O,O,X,X,X
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,O,X,O
LJTIZSO,X,O,X,X,X,X
LJTIZOS,X,O,X,X,X,X
LJTIOSZ,X,X,X,O,X,O
LJTIOZS,X,O,X,O,X,X
LJTSIZO,X,O,O,X,X,X
LJTSIOZ,X,O,X,O,O,O
LJTSZIO,X,O,O,X,X,X
LJTSZOI,X,O,O,O,O,O
LJTSOIZ,X,O,X,O,O,O
LJTSOZI,X,O,X,O,O,O
LJTZISO,X,O,O,X,X,X
LJTZIOS,X,O,X,X,X,X
LJTZSIO,X,O,O,X,X,X
LJTZSOI,X,O,O,O,X,O
LJTZOIS,X,O,X,O,X,X
LJTZOSI,X,O,O,O,X,O
LJTOISZ,X,X,X,O,O,O
LJTOIZS,X,O,X,O,X,X
LJTOSIZ,X,X,X,O,O,O
LJTOSZI,X,X,X,O,O,O
LJTOZIS,X,O,X,O,X,X
LJTOZSI,X,O,X,O,X,O
LJITSZO,X,O,X,X,X,O
LJITSOZ,X,O,X,O,X,O
LJITZSO,X,O,X,X,X,O
LJITZOS,X,O,X,X,X,O
LJITOSZ,X,X,X,O,X,O
LJITOZS,X,O,X,O,X,O
LJISTZO,O,X,O,X,X,O
LJISTOZ,O,X,X,O,X,O
LJISZTO,O,O,O,X,X,O
LJISZOT,O,O,O,X,X,O
LJISOTZ,O,X,X,O,X,O
LJISOZT,O,O,X,O,X,O
LJIZTSO,O,O,O,X,X,O
LJIZTOS,O,O,X,X,X,O
LJIZSTO,O,O,O,X,X,O
LJIZSOT,O,O,O,X,X,O
LJIZOTS,O,O,X,X,X,O
LJIZOST,O,O,O,X,X,O
LJIOTSZ,X,X,X,O,X,O
LJIOTZS,X,X,X,O,X,O
LJIOSTZ,O,X,X,O,X,O
LJIOSZT,O,X,X,X,X,O
LJIOZTS,O,O,X,O,X,O
LJIOZST,O,O,X,X,X,O
LJSTIZO,O,O,O,X,X,O
LJSTIOZ,O,O,X,O,O,O
LJSTZIO,O,O,O,X,X,X
LJSTZOI,O,O,O,O,O,O
LJSTOIZ,O,O,X,O,O,O
LJSTOZI,O,O,X,O,O,O
LJSITZO,O,X,O,X,X,O
LJSITOZ,O,X,X,O,O,O
LJSIZTO,O,O,O,X,X,O
LJSIZOT,O,O,O,X,X,O
LJSIOTZ,O,X,X,O,O,O
LJSIOZT,O,O,X,O,O,O
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,O,O,O,O,O
LJSZITO,O,O,O,X,X,X
LJSZIOT,O,O,O,X,X,X
LJSZOTI,O,O,O,O,O,O
LJSZOIT,O,O,O,O,O,X
LJSOTIZ,O,O,X,O,O,O
LJSOTZI,O,O,X,O,O,O
LJSOITZ,O,X,X,O,O,O
LJSOIZT,O,O,X,O,O,O
LJSOZTI,O,O,X,O,O,O
LJSOZIT,O,O,X,O,O,X
LJZTISO,O,O,O,X,X,X
LJZTIOS,O,O,X,X,X,X
LJZTSIO,O,O,O,X,X,X
LJZTSOI,O,O,O,O,X,O
LJZTOIS,O,O,X,O,X,X
LJZTOSI,O,O,O,O,X,O
LJZITSO,O,O,O,X,X,X
LJZITOS,O,O,X,X,X,X
LJZISTO,O,O,O,X,X,X
LJZISOT,O,O,O,X,X,X
LJZIOTS,O,O,X,X,X,X
LJZIOST,O,O,O,X,X,X
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,O,O,X,O
LJZSITO,O,O,O,X,X,X
LJZSIOT,O,O,O,X,X,X
LJZSOTI,O,O,O,O,X,O
LJZSOIT,O,O,O,O,X,X
LJZOTIS,O,O,X,O,X,X
LJZOTSI,O,O,O,O,X,O
LJZOITS,O,O,X,O,X,X
LJZOIST,O,O,O,X,X,X
LJZOSTI,O,O,O,X,X,O
LJZOSIT,O,O,O,X,X,X
LJOTISZ,X,X,X,O,O,O
LJOTIZS,X,O,X,O,X,X
LJOTSIZ,X,X,X,O,O,O
LJOTSZI,X,X,X,O,O,O
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,O
LJOITSZ,X,X,X,O,O,O
LJOITZS,X,X,X,O,X,O
LJOISTZ,O,X,X,O,O,O
LJOISZT,O,X,X,X,O,O
LJOIZTS,O,O,X,O,X,O
LJOIZST,O,O,X,X,X,O
LJOSTIZ,O,X,X,O,O,O
LJOSTZI,O,X,X,O,O,O
LJOSITZ,O,X,X,O,O,O
LJOSIZT,O,X,X,O,O,O
LJOSZTI,O,X,X,O,O,O
LJOSZIT,O,X,X,O,O,X
LJOZTIS,O,O,X,O,X,X
LJOZTSI,O,O,X,O,X,O
LJOZITS,O,O,X,O,X,X
LJOZIST,O,O,X,X,X,X
LJOZSTI,O,O,X,X,X,O
LJOZSIT,O,O,X,X,X,X
LSTIJZO,O,O,O,X,X,O
LSTIJOZ,O,O,X,O,O,O
LSTIZJO,O,O,O,X,X,O
LSTIZOJ,X,O,O,X,X,X
LSTIOJZ,O,O,X,X,O,O
LSTIOZJ,X,O,O,X,O,X
LSTJIZO,O,O,O,X,X,O
LSTJIOZ,O,O,X,O,O,O
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,O,O,O,O,O
LSTJOIZ,O,O,X,O,O,O
LSTJOZI,O,O,X,O,O,O
LSTZIJO,O,O,O,X,X,X
LSTZIOJ,X,O,O,X,X,X
LSTZJIO,O,O,O,X,X,X
LSTZJOI,O,O,O,O,O,O
LSTZOIJ,X,O,O,X,O,X
LSTZOJI,X,O,O,X,O,X
LSTOIJZ,O,O,X,O,O,X
LSTOIZJ,X,O,O,X,O,X
LSTOJIZ,O,O,X,O,O,O
LSTOJZI,O,O,X,O,O,O
LSTOZIJ,X,O,O,X,O,X
LSTOZJI,X,O,O,X,O,X
LSITJZO,O,O,O,X,X,O
LSITJOZ,O,O,X,O,O,O
LSITZJO,O,O,O,X,X,O
LSITZOJ,X,O,O,X,X,X
LSITOJZ,O,O,X,X,O,O
LSITOZJ,X,O,O,X,O,X
LSIJTZO,O,X,O,X,X,O
LSIJTOZ,O,X,X,O,O,O
LSIJZTO,O,O,O,X,X,O
LSIJZOT,O,O,O,X,X,O
LSIJOTZ,O,X,X,O,O,O
LSIJOZT,O,O,X,O,O,O
LSIZTJO,O,O,O,X,X,O
LSIZTOJ,O,O,O,X,X,X
LSIZJTO,O,O,O,X,X,O
LSIZJOT,O,O,O,X,X,O
LSIZOTJ,X,O,O,X,X,X
LSIZOJT,O,O,O,X,X,X
LSIOTJZ,X,O,X,O,O,O
LSIOTZJ,X,O,O,X,O,X
LSIOJTZ,X,X,X,O,O,O
LSIOJZT,X,O,X,O,O,O
LSIOZTJ,X,O,O,X,O,X
LSIOZJT,X,O,O,O,O,X
LSJTIZO,O,O,O,X,X,O
LSJTIOZ,O,O,X,O,O,O
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,O,O,O,O,O
LSJTOIZ,O,O,X,O,O,O
LSJTOZI,O,O,X,O,O,O
LSJITZO,O,X,O,X,X,O
LSJITOZ,O,X,X,O,O,O
LSJIZTO,O,O,O,X,X,O
LSJIZOT,O,O,O,X,X,O
LSJIOTZ,O,X,X,O,O,O
LSJIOZT,O,O,X,O,O,O
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,O,O,O,O
LSJZITO,O,O,O,X,X,X
LSJZIOT,O,O,O,X,X,X
LSJZOTI,O,O,O,O,O,O
LSJZOIT,O,O,O,O,O,X
LSJOTIZ,O,O,X,O,O,O
LSJOTZI,O,O,X,O,O,O
LSJOITZ,O,X,X,O,O,O
LSJOIZT,O,O,X,O,O,O
LSJOZTI,O,O,X,O,O,O
LSJOZIT,O,O,X,O,O,X
LSZTIJO,O,O,O,X,X,X
LSZTIOJ,O,O,O,X,X,X
LSZTJIO,O,O,O,X,X,X
LSZTJOI,O,O,O,O,O,O
LSZTOIJ,O,O,O,X,O,X
LSZTOJI,O,O,O,X,O,X
LSZITJO,O,O,O,X,X,X
LSZITOJ,O,O,O,X,X,X
LSZIJTO,O,O,O,X,X,X
LSZIJOT,O,O,O,X,X,X
LSZIOTJ,X,O,O,X,X,X
LSZIOJT,O,O,O,X,X,X
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,O,O,O,O
LSZJITO,O,O,O,X,X,X
LSZJIOT,O,O,O,X,X,X
LSZJOTI,O,O,O,O,O,O
LSZJOIT,O,O,O,O,O,X
LSZOTIJ,X,O,O,X,O,X
LSZOTJI,X,O,O,X,O,X
LSZOITJ,X,O,O,X,O,X
LSZOIJT,O,O,O,O,O,X
LSZOJTI,O,O,O,O,O,X
LSZOJIT,O,O,O,O,O,X
LSOTIJZ,X,O,X,O,O,X
LSOTIZJ,X,O,O,X,O,X
LSOTJIZ,X,O,X,O,O,O
LSOTJZI,X,O,X,O,O,O
LSOTZIJ,X,O,O,X,O,X
LSOTZJI,X,O,O,X,O,X
LSOITJZ,X,O,X,O,O,X
LSOITZJ,X,O,O,X,O,X
LSOIJTZ,X,X,X,O,O,X
LSOIJZT,X,O,X,O,O,X
LSOIZTJ,X,O,O,X,O,X
LSOIZJT,X,O,O,O,O,X
LSOJTIZ,X,O,X,O,O,O
LSOJTZI,X,O,X,O,O,O
LSOJITZ,X,X,X,O,O,O
LSOJIZT,X,O,X,O,O,X
LSOJZTI,X,O,X,O,O,O
LSOJZIT,X,O,X,O,O,X
LSOZTIJ,X,O,O,X,O,X
LSOZTJI,X,O,O,X,O,X
LSOZITJ,X,O,O,X,O,X
LSOZIJT,X,O,O,O,O,X
LSOZJTI,X,O,O,O,O,X
LSOZJIT,X,O,O,O,O,X
LZTIJSO,O,O,O,X,X,X
LZTIJOS,O,O,X,X,X,X
LZTISJO,O,O,O,X,X,X
LZTISOJ,O,O,O,X,X,X
LZTIOJS,O,O,X,X,X,X
LZTIOSJ,X,O,X,X,X,X
LZTJISO,O,O,O,X,X,X
LZTJIOS,O,O,X,X,X,X
LZTJSIO,O,O,O,X,X,X
LZTJSOI,O,O,O,O,X,O
LZTJOIS,O,O,X,O,X,X
LZTJOSI,O,O,O,O,X,O
LZTSIJO,O,O,O,X,X,X
LZTSIOJ,O,O,O,X,X,X
LZTSJIO,O,O,O,X,X,X
LZTSJOI,O,O,O,O,X,O
LZTSOIJ,O,O,O,X,X,X
LZTSOJI,O,O,O,X,X,X
LZTOIJS,O,O,X,X,X,X
LZTOISJ,X,O,X,X,X,X
LZTOJIS,O,O,X,O,X,X
LZTOJSI,O,O,O,O,X,X
LZTOSIJ,O,O,O,X,X,X
LZTOSJI,O,O,O,X,X,X
LZITJSO,O,O,O,X,X,X
LZITJOS,O,O,X,X,X,X
LZITSJO,O,O,O,X,X,X
LZITSOJ,O,O,O,X,X,X
LZITOJS,O,O,X,X,X,X
LZITOSJ,X,O,X,X,X,X
LZIJTSO,O,O,O,X,X,X
LZIJTOS,O,O,X,X,X,X
LZIJSTO,O,O,O,X,X,X
LZIJSOT,O,O,O,X,X,X
LZIJOTS,O,O,X,X,X,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,O,O,X,X,X
LZISTOJ,O,O,O,X,X,X
LZISJTO,O,O,O,X,X,X
LZISJOT,O,O,O,X,X,X
LZISOTJ,X,O,O,X,X,X
LZISOJT,O,O,O,X,X,X
LZIOTJS,X,O,X,X,X,X
LZIOTSJ,X,O,X,X,X,X
LZIOJTS,O,O,X,X,X,X
LZIOJST,O,O,O,X,X,X
LZIOSTJ,X,O,O,X,X,X
LZIOSJT,X,O,O,X,X,X
LZJTISO,O,O,O,X,X,X
LZJTIOS,O,O,X,X,X,X
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,O,O,O,X,O
LZJTOIS,O,O,X,O,X,X
LZJTOSI,O,O,O,O,X,O
LZJITSO,O,O,O,X,X,X
LZJITOS,O,O,X,X,X,X
LZJISTO,O,O,O,X,X,X
LZJISOT,O,O,O,X,X,X
LZJIOTS,O,O,X,X,X,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,O,O,X,O
LZJSITO,O,O,O,X,X,X
LZJSIOT,O,O,O,X,X,X
LZJSOTI,O,O,O,O,X,O
LZJSOIT,O,O,O,O,X,X
LZJOTIS,O,O,X,O,X,X
LZJOTSI,O,O,O,O,X,O
LZJOITS,O,O,X,O,X,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,O,O,X,X,O
LZJOSIT,O,O,O,X,X,X
LZSTIJO,O,O,O,X,X,X
LZSTIOJ,O,O,O,X,X,X
LZSTJIO,O,O,O,X,X,X
LZSTJOI,O,O,O,O,X,O
LZSTOIJ,O,O,O,X,X,X
LZSTOJI,O,O,O,X,X,X
LZSITJO,O,O,O,X,X,X
LZSITOJ,O,O,O,X,X,X
LZSIJTO,O,O,O,X,X,X
LZSIJOT,O,O,O,X,X,X
LZSIOTJ,X,O,O,X,X,X
LZSIOJT,O,O,O,X,X,X
LZSJTIO,O,O,O,X,X,X
LZSJTOI,O,O,O,O,X,O
LZSJITO,O,O,O,X,X,X
LZSJIOT,O,O,O,X,X,X
LZSJOTI,O,O,O,O,X,O
LZSJOIT,O,O,O,O,X,X
LZSOTIJ,X,O,O,X,X,X
LZSOTJI,X,O,O,X,X,X
LZSOITJ,X,O,O,X,X,X
LZSOIJT,O,O,O,O,X,X
LZSOJTI,O,O,O,O,X,X
LZSOJIT,O,O,O,O,X,X
LZOTIJS,O,O,X,X,X,X
LZOTISJ,X,O,X,X,X,X
LZOTJIS,O,O,X,O,X,X
LZOTJSI,O,O,O,O,X,X
LZOTSIJ,O,O,O,X,X,X
LZOTSJI,O,O,O,X,X,X
LZOITJS,X,O,X,X,X,X
LZOITSJ,X,O,X,X,X,X
LZOIJTS,O,O,X,O,X,X
LZOIJST,O,O,O,X,X,X
LZOISTJ,X,O,O,X,X,X
LZOISJT,X,O,O,X,X,X
LZOJTIS,O,O,X,O,X,X
