sequence,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBRiBcoBXmBTnBSwB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBXiBTjB1sBCrBUrB,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBSnBTjB8qBRsB3rB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoBCrBTrB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoB6rBzqB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBTjBCmBXnB0nBVwB
TLJZOIS,O,O,O,X,X,O
TLJZOSI,O,O,X,O,X,O
TLJOISZ,X,O,X,X,X,O
TLJOIZS,O,O,X,X,X,O
TLJOSIZ,O,O,X,O,O,O
TLJOSZI,O,O,X,O,O,O
TLJOZIS,O,O,O,X,X,O
TLJOZSI,O,O,X,O,O,O
TLSIJZO,O,O,X,O,O,O
TLSIJOZ,O,O,X,O,O,O
TLSIZJO,O,O,X,O,O,O
TLSIZOJ,O,O,X,O,X,O
TLSIOJZ,O,O,X,O,O,O
TLSIOZJ,O,O,X,O,O,O
TLSJIZO,O,O,X,O,O,O
TLSJIOZ,O,O,X,O,O,O
TLSJZIO,O,O,X,O,O,O
TLSJZOI,O,O,X,O,O,O
TLSJOIZ,O,O,X,O,O,O
TLSJOZI,O,O,X,O,O,O
TLSZIJO,O,O,X,O,O,O
TLSZIOJ,O,O,X,O,X,O
TLSZJIO,O,O,X,O,O,O
TLSZJOI,O,O,X,O,O,O
TLSZOIJ,O,O,X,O,X,O
TLSZOJI,O,O,X,O,X,O
TLSOIJZ,O,O,X,O,O,O
TLSOIZJ,O,O,X,O,O,O
TLSOJIZ,O,O,X,O,O,O
TLSOJZI,O,O,X,O,O,O
TLSOZIJ,O,O,X,O,O,O
TLSOZJI,O,O,X,O,O,O
TLZIJSO,O,O,O,O,X,O
TLZIJOS,O,O,O,X,X,O
TLZISJO,O,O,O,O,X,O
TLZISOJ,O,O,O,O,X,O
TLZIOJS,O,O,O,X,X,O
TLZIOSJ,O,O,O,X,X,O
TLZJISO,O,O,O,O,X,O
TLZJIOS,O,O,O,X,X,O
TLZJSIO,O,O,X,O,O,O
TLZJSOI,O,O,X,O,O,O
TLZJOIS,O,O,O,X,X,O
TLZJOSI,O,O,X,O,X,O
TLZSIJO,O,O,X,O,O,O
TLZSIOJ,O,O,X,O,X,O
TLZSJIO,O,O,X,O,O,O
TLZSJOI,O,O,X,O,O,O
TLZSOIJ,O,O,X,O,X,O
TLZSOJI,O,O,X,O,X,O
TLZOIJS,O,O,O,X,X,O
TLZOISJ,O,O,O,X,X,O
TLZOJIS,O,O,O,X,X,O
TLZOJSI,O,O,X,O,X,O
TLZOSIJ,O,O,X,O,X,O
TLZOSJI,O,O,X,O,X,O
TLOIJSZ,X,O,X,X,X,O
TLOIJZS,O,O,X,X,X,O
TLOISJZ,X,O,X,X,X,O
TLOISZJ,X,O,X,X,X,O
TLOIZJS,O,O,X,X,X,O
TLOIZSJ,O,O,X,X,X,O
TLOJISZ,X,O,X,X,X,O
TLOJIZS,O,O,X,X,X,O
TLOJSIZ,O,O,X,O,O,O
TLOJSZI,O,O,X,O,O,O
TLOJZIS,O,O,O,X,X,O
TLOJZSI,O,O,X,O,O,O
TLOSIJZ,O,O,X,O,O,O
TLOSIZJ,O,O,X,O,O,O
TLOSJIZ,O,O,X,O,O,O
TLOSJZI,O,O,X,O,O,O
TLOSZIJ,O,O,X,O,O,O
TLOSZJI,O,O,X,O,O,O
TLOZIJS,O,O,O,X,X,O
TLOZISJ,O,O,O,X,X,O
TLOZJIS,O,O,O,X,X,O
TLOZJSI,O,O,X,O,O,O
TLOZSIJ,O,O,X,O,O,O
TLOZSJI,O,O,X,O,O,O
TJILSZO,X,O,X,O,X,O
TJILSOZ,X,O,X,O,X,O
TJILZSO,O,O,O,O,X,O
TJILZOS,O,O,O,X,X,O
TJILOSZ,X,O,X,X,X,O
TJILOZS,O,O,O,X,X,O
TJISLZO,X,O,X,O,O,O
TJISLOZ,X,O,X,O,O,O
TJISZLO,X,X,X,O,O,X
TJISZOL,X,O,X,O,O,X
TJISOLZ,X,O,X,O,O,O
TJISOZL,X,O,X,O,O,X
TJIZLSO,O,O,O,X,X,X
TJIZLOS,O,O,O,X,X,X
TJIZSLO,O,X,O,O,O,X
TJIZSOL,O,O,O,O,O,X
TJIZOLS,O,O,O,X,X,X
TJIZOSL,O,O,O,X,X,X
TJIOLSZ,X,O,X,X,X,O
TJIOLZS,X,O,O,X,X,O
TJIOSLZ,X,O,X,X,O,O
TJIOSZL,X,O,X,X,O,X
TJIOZLS,O,O,O,X,X,X
TJIOZSL,O,O,O,X,O,X
TJLISZO,X,O,X,O,X,O
TJLISOZ,X,O,X,O,X,O
TJLIZSO,O,O,X,O,X,O
TJLIZOS,O,O,X,X,X,O
TJLIOSZ,X,O,X,X,X,O
TJLIOZS,O,O,X,X,X,O
TJLSIZO,O,O,X,O,O,O
TJLSIOZ,O,O,X,O,O,O
TJLSZIO,O,O,X,O,O,O
TJLSZOI,O,O,X,O,O,O
TJLSOIZ,O,O,X,O,O,O
TJLSOZI,O,O,X,O,O,O
TJLZISO,O,O,O,O,X,O
TJLZIOS,O,O,O,X,X,O
TJLZSIO,O,O,X,O,O,O
TJLZSOI,O,O,X,O,O,O
TJLZOIS,O,O,O,X,X,O
TJLZOSI,O,O,X,O,X,O
TJLOISZ,X,O,X,X,X,O
TJLOIZS,O,O,X,X,X,O
TJLOSIZ,O,O,X,O,O,O
TJLOSZI,O,O,X,O,O,O
TJLOZIS,O,O,O,X,X,O
TJLOZSI,O,O,X,O,O,O
TJSILZO,X,O,X,O,O,O
TJSILOZ,X,O,X,O,O,O
TJSIZLO,X,X,X,O,O,X
TJSIZOL,X,O,X,O,O,X
TJSIOLZ,X,O,X,O,O,O
TJSIOZL,X,O,X,O,O,X
TJSLIZO,X,O,X,O,O,O
TJSLIOZ,X,O,X,O,O,O
TJSLZIO,O,O,X,O,O,O
TJSLZOI,O,O,X,O,O,O
TJSLOIZ,X,O,X,O,O,O
TJSLOZI,O,O,X,O,O,O
TJSZILO,O,X,O,O,O,X
TJSZIOL,O,O,O,O,O,X
TJSZLIO,O,O,X,O,O,O
TJSZLOI,O,O,X,O,O,O
TJSZOIL,O,O,O,O,O,X
TJSZOLI,X,O,X,O,O,O
TJSOILZ,X,O,X,O,O,O
TJSOIZL,X,O,X,O,O,X
TJSOLIZ,X,O,X,O,O,O
TJSOLZI,X,O,X,O,O,O
TJSOZIL,O,O,O,O,O,X
TJSOZLI,X,O,X,O,O,O
TJZILSO,O,O,O,X,X,X
TJZILOS,O,O,O,X,X,X
TJZISLO,O,X,O,O,O,X
TJZISOL,O,O,O,O,O,X
TJZIOLS,O,O,O,X,X,X
TJZIOSL,O,O,O,X,X,X
TJZLISO,O,O,O,O,X,O
TJZLIOS,O,O,O,X,X,O
TJZLSIO,O,O,X,O,O,O
TJZLSOI,O,O,X,O,O,O
TJZLOIS,O,O,O,X,X,O
TJZLOSI,O,O,X,O,X,O
TJZSILO,O,X,O,O,O,X
TJZSIOL,O,O,O,O,O,X
TJZSLIO,O,O,X,O,O,O
TJZSLOI,O,O,X,O,O,O
TJZSOIL,O,O,O,O,O,X
TJZSOLI,X,O,X,O,O,O
TJZOILS,O,O,O,X,X,X
TJZOISL,O,O,O,X,O,X
TJZOLIS,O,O,O,X,X,O
TJZOLSI,O,O,X,X,O,O
TJZOSIL,O,O,O,O,O,X
TJZOSLI,X,O,X,O,O,O
TJOILSZ,X,O,X,X,X,O
TJOILZS,X,O,O,X,X,O
TJOISLZ,X,O,X,X,O,O
TJOISZL,X,O,X,X,O,X
TJOIZLS,O,O,O,X,X,X
TJOIZSL,O,O,O,X,O,X
TJOLISZ,X,O,X,X,X,O
TJOLIZS,O,O,X,X,X,O
TJOLSIZ,O,O,X,O,O,O
TJOLSZI,O,O,X,O,O,O
TJOLZIS,O,O,O,X,X,O
TJOLZSI,O,O,X,O,O,O
TJOSILZ,X,O,X,O,O,O
TJOSIZL,X,O,X,O,O,X
TJOSLIZ,X,O,X,O,O,O
TJOSLZI,X,O,X,O,O,O
TJOSZIL,O,O,O,O,O,X
TJOSZLI,X,O,X,O,O,O
TJOZILS,O,O,O,X,X,X
TJOZISL,O,O,O,X,O,X
TJOZLIS,O,O,O,X,X,O
TJOZLSI,O,O,X,X,O,O
TJOZSIL,O,O,O,O,O,X
TJOZSLI,X,O,X,O,O,O
TSILJZO,X,O,X,O,O,O
TSILJOZ,X,O,X,O,O,O
TSILZJO,X,O,X,O,O,O
TSILZOJ,X,O,X,O,X,O
TSILOJZ,X,O,X,O,O,O
TSILOZJ,X,O,X,O,O,O
TSIJLZO,X,O,X,O,O,O
TSIJLOZ,X,O,X,O,O,O
TSIJZLO,X,X,X,O,O,X
TSIJZOL,X,O,X,O,O,X
TSIJOLZ,X,O,X,O,O,O
TSIJOZL,X,O,X,O,O,X
TSIZLJO,X,X,X,O,O,X
TSIZLOJ,X,X,X,O,X,X
TSIZJLO,X,X,X,O,O,X
TSIZJOL,X,O,X,O,O,X
TSIZOLJ,X,X,X,X,O,X
TSIZOJL,X,O,X,O,O,X
TSIOLJZ,X,O,X,O,O,O
TSIOLZJ,X,O,X,O,O,O
TSIOJLZ,X,O,X,O,O,O
TSIOJZL,X,O,X,O,O,X
TSIOZLJ,X,X,X,X,O,X
TSIOZJL,X,O,X,O,O,X
TSLIJZO,X,O,X,O,O,O
TSLIJOZ,X,O,X,O,O,O
TSLIZJO,X,O,X,O,O,O
TSLIZOJ,X,O,X,O,X,O
TSLIOJZ,X,O,X,O,O,O
TSLIOZJ,X,O,X,O,O,O
TSLJIZO,X,O,X,O,O,O
TSLJIOZ,X,O,X,O,O,O
TSLJZIO,O,O,X,O,O,O
TSLJZOI,O,O,X,O,O,O
TSLJOIZ,X,O,X,O,O,O
TSLJOZI,O,O,X,O,O,O
TSLZIJO,O,O,X,O,O,O
TSLZIOJ,X,O,X,O,X,O
TSLZJIO,O,O,X,O,O,O
TSLZJOI,O,O,X,O,O,O
TSLZOIJ,O,O,X,O,X,O
TSLZOJI,O,O,X,O,X,O
TSLOIJZ,X,O,X,O,O,O
TSLOIZJ,X,O,X,O,O,O
TSLOJIZ,X,O,X,O,O,O
TSLOJZI,O,O,X,O,O,O
TSLOZIJ,O,O,X,O,O,O
TSLOZJI,O,O,X,O,O,O
TSJILZO,X,O,X,O,O,O
TSJILOZ,X,O,X,O,O,O
TSJIZLO,X,X,X,O,O,X
TSJIZOL,X,O,X,O,O,X
TSJIOLZ,X,O,X,O,O,O
TSJIOZL,X,O,X,O,O,X
TSJLIZO,X,O,X,O,O,O
TSJLIOZ,X,O,X,O,O,O
TSJLZIO,O,O,X,O,O,O
TSJLZOI,O,O,X,O,O,O
TSJLOIZ,X,O,X,O,O,O
TSJLOZI,O,O,X,O,O,O
TSJZILO,O,X,O,O,O,X
TSJZIOL,O,O,O,O,O,X
TSJZLIO,O,O,X,O,O,O
TSJZLOI,O,O,X,O,O,O
TSJZOIL,O,O,O,O,O,X
TSJZOLI,X,O,X,O,O,O
TSJOILZ,X,O,X,O,O,O
TSJOIZL,X,O,X,O,O,X
TSJOLIZ,X,O,X,O,O,O
TSJOLZI,X,O,X,O,O,O
TSJOZIL,O,O,O,O,O,X
TSJOZLI,X,O,X,O,O,O
TSZILJO,X,X,O,O,O,X
TSZILOJ,X,X,O,O,X,X
TSZIJLO,O,X,O,O,O,X
TSZIJOL,O,O,O,O,O,X
TSZIOLJ,X,X,O,X,O,X
TSZIOJL,X,O,O,O,O,X
TSZLIJO,O,O,X,O,O,O
TSZLIOJ,X,O,X,O,X,O
TSZLJIO,O,O,X,O,O,O
TSZLJOI,O,O,X,O,O,O
TSZLOIJ,O,O,X,O,X,O
TSZLOJI,O,O,X,O,X,O
TSZJILO,O,X,O,O,O,X
TSZJIOL,O,O,O,O,O,X
TSZJLIO,O,O,X,O,O,O
TSZJLOI,O,O,X,O,O,O
TSZJOIL,O,O,O,O,O,X
TSZJOLI,X,O,X,O,O,O
TSZOILJ,X,X,O,X,O,X
TSZOIJL,O,O,O,O,O,X
TSZOLIJ,X,O,X,X,O,O
TSZOLJI,X,O,X,X,O,O
TSZOJIL,O,O,O,O,O,X
TSZOJLI,X,O,X,O,O,O
TSOILJZ,X,O,X,O,O,O
TSOILZJ,X,O,X,O,O,O
TSOIJLZ,X,O,X,O,O,O
TSOIJZL,X,O,X,O,O,X
TSOIZLJ,X,X,X,X,O,X
TSOIZJL,X,O,X,O,O,X
TSOLIJZ,X,O,X,O,O,O
TSOLIZJ,X,O,X,O,O,O
TSOLJIZ,X,O,X,O,O,O
TSOLJZI,X,O,X,O,O,O
TSOLZIJ,X,O,X,O,O,O
TSOLZJI,X,O,X,O,O,O
TSOJILZ,X,O,X,O,O,O
TSOJIZL,X,O,X,O,O,X
TSOJLIZ,X,O,X,O,O,O
TSOJLZI,X,O,X,O,O,O
TSOJZIL,O,O,O,O,O,X
TSOJZLI,X,O,X,O,O,O
TSOZILJ,X,X,O,X,O,X
TSOZIJL,O,O,O,O,O,X
TSOZLIJ,X,O,X,X,O,O
TSOZLJI,X,O,X,X,O,O
TSOZJIL,O,O,O,O,O,X
TSOZJLI,X,O,X,O,O,O
TZILJSO,O,O,O,X,X,X
TZILJOS,O,O,O,X,X,X
TZILSJO,O,O,O,X,X,X
TZILSOJ,O,O,O,X,X,X
TZILOJS,O,O,O,X,X,X
TZILOSJ,O,O,O,X,X,X
TZIJLSO,O,O,O,X,X,X
TZIJLOS,O,O,O,X,X,X
TZIJSLO,O,X,O,O,O,X
TZIJSOL,O,O,O,O,O,X
TZIJOLS,O,O,O,X,X,X
TZIJOSL,O,O,O,X,X,X
TZISLJO,X,X,O,O,O,X
TZISLOJ,X,X,O,X,X,X
TZISJLO,O,X,O,O,O,X
TZISJOL,O,O,O,O,O,X
TZISOLJ,X,X,O,X,X,X
TZISOJL,X,O,O,O,O,X
TZIOLJS,O,O,O,X,X,X
TZIOLSJ,O,O,O,X,X,X
TZIOJLS,O,O,O,X,X,X
TZIOJSL,O,O,O,X,X,X
TZIOSLJ,X,X,O,X,X,X
TZIOSJL,O,O,O,X,X,X
TZLIJSO,O,O,O,O,X,O
TZLIJOS,O,O,O,X,X,O
TZLISJO,O,O,O,O,X,O
TZLISOJ,O,O,O,O,X,O
TZLIOJS,O,O,O,X,X,O
TZLIOSJ,O,O,O,X,X,O
TZLJISO,O,O,O,O,X,O
TZLJIOS,O,O,O,X,X,O
TZLJSIO,O,O,X,O,O,O
TZLJSOI,O,O,X,O,O,O
TZLJOIS,O,O,O,X,X,O
TZLJOSI,O,O,X,O,X,O
TZLSIJO,O,O,X,O,O,O
TZLSIOJ,O,O,X,O,X,O
TZLSJIO,O,O,X,O,O,O
TZLSJOI,O,O,X,O,O,O
TZLSOIJ,O,O,X,O,X,O
TZLSOJI,O,O,X,O,X,O
TZLOIJS,O,O,O,X,X,O
TZLOISJ,O,O,O,X,X,O
TZLOJIS,O,O,O,X,X,O
TZLOJSI,O,O,X,O,X,O
TZLOSIJ,O,O,X,O,X,O
TZLOSJI,O,O,X,O,X,O
TZJILSO,O,O,O,X,X,X
TZJILOS,O,O,O,X,X,X
TZJISLO,O,X,O,O,O,X
TZJISOL,O,O,O,O,O,X
TZJIOLS,O,O,O,X,X,X
TZJIOSL,O,O,O,X,X,X
TZJLISO,O,O,O,O,X,O
TZJLIOS,O,O,O,X,X,O
TZJLSIO,O,O,X,O,O,O
TZJLSOI,O,O,X,O,O,O
TZJLOIS,O,O,O,X,X,O
TZJLOSI,O,O,X,O,X,O
TZJSILO,O,X,O,O,O,X
TZJSIOL,O,O,O,O,O,X
TZJSLIO,O,O,X,O,O,O
TZJSLOI,O,O,X,O,O,O
TZJSOIL,O,O,O,O,O,X
TZJSOLI,X,O,X,O,O,O
TZJOILS,O,O,O,X,X,X
TZJOISL,O,O,O,X,O,X
TZJOLIS,O,O,O,X,X,O
TZJOLSI,O,O,X,X,O,O
TZJOSIL,O,O,O,O,O,X
TZJOSLI,X,O,X,O,O,O
TZSILJO,X,X,O,O,O,X
TZSILOJ,X,X,O,O,X,X
TZSIJLO,O,X,O,O,O,X
TZSIJOL,O,O,O,O,O,X
TZSIOLJ,X,X,O,X,O,X
TZSIOJL,X,O,O,O,O,X
TZSLIJO,O,O,X,O,O,O
TZSLIOJ,X,O,X,O,X,O
TZSLJIO,O,O,X,O,O,O
TZSLJOI,O,O,X,O,O,O
TZSLOIJ,O,O,X,O,X,O
TZSLOJI,O,O,X,O,X,O
TZSJILO,O,X,O,O,O,X
TZSJIOL,O,O,O,O,O,X
TZSJLIO,O,O,X,O,O,O
TZSJLOI,O,O,X,O,O,O
TZSJOIL,O,O,O,O,O,X
TZSJOLI,X,O,X,O,O,O
TZSOILJ,X,X,O,X,O,X
TZSOIJL,O,O,O,O,O,X
TZSOLIJ,X,O,X,X,O,O
TZSOLJI,X,O,X,X,O,O
TZSOJIL,O,O,O,O,O,X
TZSOJLI,X,O,X,O,O,O
TZOILJS,O,O,O,X,X,X
TZOILSJ,O,O,O,X,X,X
TZOIJLS,O,O,O,X,X,X
TZOIJSL,O,O,O,X,O,X
TZOISLJ,X,X,O,X,O,X
TZOISJL,O,O,O,X,O,X
TZOLIJS,O,O,O,X,X,O
TZOLISJ,O,O,O,X,X,O
TZOLJIS,O,O,O,X,X,O
TZOLJSI,O,O,X,X,O,O
TZOLSIJ,O,O,X,X,O,O
TZOLSJI,O,O,X,X,O,O
TZOJILS,O,O,O,X,X,X
TZOJISL,O,O,O,X,O,X
TZOJLIS,O,O,O,X,X,O
TZOJLSI,O,O,X,X,O,O
TZOJSIL,O,O,O,O,O,X
TZOJSLI,X,O,X,O,O,O
TZOSILJ,X,X,O,X,O,X
TZOSIJL,O,O,O,O,O,X
TZOSLIJ,X,O,X,X,O,O
TZOSLJI,X,O,X,X,O,O
TZOSJIL,O,O,O,O,O,X
TZOSJLI,X,O,X,O,O,O
TOILJSZ,X,O,X,X,X,O
TOILJZS,X,O,O,X,X,O
TOILSJZ,X,O,X,X,X,O
TOILSZJ,X,O,X,X,X,O
TOILZJS,X,O,O,X,X,O
TOILZSJ,X,O,O,X,X,O
TOIJLSZ,X,O,X,X,X,O
TOIJLZS,X,O,O,X,X,O
TOIJSLZ,X,O,X,X,O,O
TOIJSZL,X,O,X,X,O,X
TOIJZLS,O,O,O,X,X,X
TOIJZSL,O,O,O,X,O,X
TOISLJZ,X,O,X,X,O,O
TOISLZJ,X,O,X,X,O,O
TOISJLZ,X,O,X,X,O,O
TOISJZL,X,O,X,X,O,X
TOISZLJ,X,X,X,X,O,X
TOISZJL,X,O,X,X,O,X
TOIZLJS,O,O,O,X,X,X
TOIZLSJ,X,O,O,X,X,X
TOIZJLS,O,O,O,X,X,X
TOIZJSL,O,O,O,X,O,X
TOIZSLJ,X,X,O,X,O,X
TOIZSJL,O,O,O,X,O,X
TOLIJSZ,X,O,X,X,X,O
TOLIJZS,O,O,X,X,X,O
TOLISJZ,X,O,X,X,X,O
TOLISZJ,X,O,X,X,X,O
TOLIZJS,O,O,X,X,X,O
TOLIZSJ,O,O,X,X,X,O
TOLJISZ,X,O,X,X,X,O
TOLJIZS,O,O,X,X,X,O
TOLJSIZ,O,O,X,O,O,O
TOLJSZI,O,O,X,O,O,O
TOLJZIS,O,O,O,X,X,O
TOLJZSI,O,O,X,O,O,O
TOLSIJZ,O,O,X,O,O,O
TOLSIZJ,O,O,X,O,O,O
TOLSJIZ,O,O,X,O,O,O
TOLSJZI,O,O,X,O,O,O
TOLSZIJ,O,O,X,O,O,O
TOLSZJI,O,O,X,O,O,O
TOLZIJS,O,O,O,X,X,O
TOLZISJ,O,O,O,X,X,O
TOLZJIS,O,O,O,X,X,O
TOLZJSI,O,O,X,O,O,O
TOLZSIJ,O,O,X,O,O,O
TOLZSJI,O,O,X,O,O,O
TOJILSZ,X,O,X,X,X,O
TOJILZS,X,O,O,X,X,O
TOJISLZ,X,O,X,X,O,O
TOJISZL,X,O,X,X,O,X
TOJIZLS,O,O,O,X,X,X
TOJIZSL,O,O,O,X,O,X
TOJLISZ,X,O,X,X,X,O
TOJLIZS,O,O,X,X,X,O
TOJLSIZ,O,O,X,O,O,O
TOJLSZI,O,O,X,O,O,O
TOJLZIS,O,O,O,X,X,O
TOJLZSI,O,O,X,O,O,O
TOJSILZ,X,O,X,O,O,O
TOJSIZL,X,O,X,O,O,X
TOJSLIZ,X,O,X,O,O,O
TOJSLZI,X,O,X,O,O,O
TOJSZIL,O,O,O,O,O,X
TOJSZLI,X,O,X,O,O,O
TOJZILS,O,O,O,X,X,X
TOJZISL,O,O,O,X,O,X
TOJZLIS,O,O,O,X,X,O
